# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (main domain:PD FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-10-17
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahamas,12,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.0557999528,29.212548346,32.0189549455,33.5328630675,32.6214319913,33.3111595821,32.0860043341,36.1548484022,41.2635694679,43.5456985594,46.783537443,43.7630841033,45.4625310489,48.277447977,51.6134607228,52.4519110543,55.3993072107,58.1961038071,59.6879742437,62.0239357397,61.4896759146,62.8270109161,63.3453882037,68.9910930769,70.2562338797,72.398184014,75.9827449314,76.6832289258,76.9541104404,80.0027293142,80.9260708602,81.8928361048,86.0339355011,86.746668972,89.3025974428,90.6321761978,89.693594927,89.3417280229,88.5736566024,91.4678007792,92.8285906661,95.8293150729,100,102.6429723266,104.8347443785,106.1955598779,111.5654410571,104.7754947637,105.8427357742,103.5423953213,107.5128690366
Bahrain,13,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.5270184306,17.0751694695,19.7530807168,21.7866044587,24.2448531521,26.6609176977,30.7262005419,38.6162870903,46.697954415,53.0780071458,50.1302779912,49.9703295506,55.6617063762,45.9851930937,45.8453884288,46.1778071149,48.3812151747,50.6897297301,51.3294052481,49.7666066631,48.2597300409,53.1469196849,55.2038248449,55.6022333504,56.3207298938,51.3651776829,52.5288392959,58.6676090186,56.6941029857,58.629776438,63.6734973185,70.6719010329,80.3786802949,87.48604942,94.8660867431,105.6506681068,91.922041133,98.7597430407,108.3757357738,111.6420784068,112.0720097322,110.1994615562,100,100.247693945,105.779965201,110.3650164487,110.4850536459,103.7828503095,114.7515148741,123.6339863734,121.330020545
Bangladesh,16,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.6761979722,26.8967336708,29.3880737658,31.0054130231,31.8035298487,38.065515898,42.0392555055,47.2665528602,46.3667475177,41.6873316884,40.5595359548,45.095901195,45.4244039343,45.9214739445,50.0832683449,52.5753122646,55.7052608608,54.5338481055,56.3587423569,55.1948202632,54.490992716,55.6396629475,59.6281265853,59.8986826386,58.7979581649,57.9225949774,57.9272836875,55.545983087,52.7209260448,52.4494433199,54.577107166,55.5888090009,54.037876228,61.5331600329,65.5706424585,71.0103172375,75.329660788,80.0045525663,81.0521191032,79.4124872635,89.2069988904,94.824636558700007,100,105.768878725,108.6317472877,110.7496671076,113.4501604161,117.2182781771,121.7372007273,118.5558146282,107.7630162596
Barbados,14,GDP Deflator,22024,"Value US$, 2015 prices",6179,12.1654862211,15.2560137581,17.2422037321,17.9319882435,19.6806968459,21.0016623397,23.6016364978,29.022762646,32.5708650451,35.7965640641,37.8116278879,39.8004028781,41.2068427833,43.0501029707,46.2206905926,47.5217409461,50.7230060297,52.654473644,54.3598187718,56.4859912241,58.8605243434,59.6272659926,61.4515023674,63.0242414322,63.600476054,69.1270501018,72.2014100162,71.2318529667,72.8456812178,73.5017957222,74.328639015,78.6579916798,83.9024473068,85.0898462623,92.2694159112,93.8404480298,92.2134306681,95.7446134347,99.1328518533,98.5282223031,101.3764586134,101.8546827726,100,99.779424469,102.3754449395,105.7157480268,110.2008544034,112.0462726473,117.3223915474,122.0074914704,125.5773304067
Belarus,57,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,69.8607735029,71.5167110803,73.0438958831,74.5755538697,75.9410082978,66.2635541986,65.977325083,50.8578796991,41.2605779874,46.7244689128,52.5636998084,60.0014617816,69.907539808,83.3875811603,92.7508895064,104.6374564841,127.3583764507,103.0002577112,107.5403381795,109.9561674739,114.9329157915,130.9083555755,134.2575860824,100,86.6692996254,96.9186506837,103.0681865024,109.0100248536,104.5645129914,115.8886498607,127.2457211186,116.3407849662
Belgium,255,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6136514586,64.0014716776,68.4157372653,83.5635747926,93.6942195716,95.7940260473,98.8211748836,109.8986779289,119.8650283801,114.2819711373,111.0154275333,118.6292110107,111.7959822956,116.9954808633,118.0555421679,100,101.6529618883,105.7153721396,112.2262953447,108.2648110897,112.2290591881,119.8990709204,112.8876596835,121.4005209006
Belize,23,GDP Deflator,22024,"Value US$, 2015 prices",6179,26.0047050501,31.7410389889,36.5340075024,28.9889360276,35.7732114612,37.8563673298,42.6011767281,56.2816590293,55.0378456512,51.2884449462,55.2680178143,60.4731539542,59.38035106,61.8435350239,67.4514161814,70.3500230842,71.7835067845,72.6741552692,70.8887052462,73.3059437519,74.6820176524,76.6520405174,80.72664483,82.945378185,81.7011459131,83.6685197684,82.2693200622,83.4326885905,81.8014890342,82.3903855536,78.9653809338,80.6180026817,83.0463806216,85.7431837169,89.0323679601,92.1641360837,89.8846394356,91.8249488562,96.3236764403,97.0426425407,98.8996048873,99.9515451319,100,102.1019411316,105.1976035709,105.2984406592,105.1608557086,104.5828312814,105.0626534032,112.8003436777,117.4492930876
Benin,53,GDP Deflator,22024,"Value US$, 2015 prices",6179,33.3658985595,33.5631429614,43.8376271683,46.0354328598,48.3107610535,58.9484680662,66.4722669158,77.627029508,69.5242619524,61.2096936787,55.2873102421,49.1571817031,45.4735217387,56.8616434541,67.5284282301,67.945215041,63.4621357847,71.5220837364,69.5490984905,76.3673866042,73.083706295,50.3308036145,65.945521286,68.78366205,62.4958777087,65.0650784628,62.6162280102,56.4995488009,55.9573813915,60.9433859346,75.3222723871,83.5047539341,87.2250119887,89.831433968,98.3903858113,112.0783523567,108.9907285079,104.824706622,114.1327521244,113.6113247706,119.0432254967,118.6582045625,100,100.5227921415,102.2138876216,107.5694966494,101.5710850461,106.607999476,112.1791506021,103.8414017593,109.429118375
Bhutan,18,GDP Deflator,22024,"Value US$, 2015 prices",6179,73.1404373048,81.8954106207,79.1526618551,74.020037815,75.9072688422,68.1081077515,72.7945494152,84.6443776414,85.469365318,87.8865804183,91.2450970555,84.3775856898,81.8788875017,84.8387988875,77.7490356975,79.0775763979,70.606923604,68.2314223439,57.7148560365,56.0448860675,51.6979638042,57.3826474962,59.864563392,59.4725196837,65.4880332611,62.4067233835,64.4626603383,64.7911760896,64.958630476,66.1337396982,71.1339280427,75.8935525498,80.3443137875,84.6429381571,95.4853790114,95.7526995368,90.1521313665,101.0222223592,102.1723229877,102.4124370767,98.8736348081,101.5054261916,100,99.6559447741,108.078538659,104.0985533554,104.2390589521,104.3006314831,112.4999458342,111.9652770621,111.4082624838
Bolivia (Plurinational State of),19,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.4723941231,21.6449978135,22.5157290791,24.661262312,23.6155113591,25.2765864637,27.3736728918,26.902200385,30.538393178,30.8835446425,30.7677533388,30.8072224132,31.7167011542,33.4552714792,35.3388728476,41.6978956832,41.2094694447,40.6498371,42.3898278759,44.0493707058,42.9256572002,42.7745512583,45.8770402183,48.42301391,49.4355065711,50.4637529436,48.9930576224,48.445131537,46.1886540818,43.7618607039,43.560133018,45.3887636876,47.311450277,54.1413890749,59.3208731276,71.0236997607,71.4603740927,77.7697418471,90.1499926771,96.9276274473,102.7388153065,104.8444448242,100,98.6451294639,104.6244053031,107.8220053336,107.0747951474,105.0892145085,109.2466695626,114.8449763241,
Bosnia and Herzegovina,80,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,158.592819006,124.3260650892,84.9267718039,52.8474531142,47.6098960252,47.84160222,45.8588043307,46.3901521463,52.1501978008,53.0456401906,58.5831736363,71.2454219606,80.0762890755,85.1638750607,92.6105573525,107.300070488,123.2648077729,117.1169189188,113.2269350651,121.7354400034,113.4120794902,116.934200457,118.0143780568,100,101.0669614636,104.8080856983,112.8276083058,109.6551434971,111.6478580979,121.6794354982,120.8358471791,133.777986549
Botswana,20,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.3633292619,26.0162133933,27.919639656,27.338599853,31.8667460359,33.9863197717,38.782252092,49.5470990652,50.6825935729,40.9406705429,39.7137686225,36.5959580544,28.935202253,36.0225442047,45.8564419778,47.3807338299,60.0518800037,69.0697854885,66.8211825163,68.2589228698,67.1966659461,67.6485139459,70.1993739796,67.9751179189,65.1636224759,61.7352795142,64.4459472325,66.6931852234,63.0938748783,58.933095495,77.793064337,90.3243983646,95.7790004365,90.128473638,90.8574535877,89.3578967116,98.1398110123,111.3035757287,124.569132679,115.1689865425,106.0772828631,108.7867068444,100,103.9810084973,106.643912585,108.2456107462,102.9871656369,100.8989083067,113.1950356861,116.2322240155,110.0445611751
Brazil,21,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.6159020957,17.3262977876,19.3724275479,20.7713020364,23.0390267442,24.9201678096,25.7333225133,22.1977488942,29.5267903136,32.0703939955,23.2607457255,22.4358836685,22.2769977204,24.9127421335,26.3886804745,29.4948365313,38.8916444396,44.0618929656,40.5777055842,39.2370988777,41.9979712935,56.5978977924,72.7855773658,77.8075154965,78.0921626741,75.6117876707,52.4761769335,55.2459984098,46.5525085884,41.1245066587,44.5240122402,50.4743473061,65.1560548123,77.8550970395,92.5834845164,106.9329980252,105.2456597682,129.6913399024,147.7353105108,136.5882337093,133.0120476511,131.4472584725,100,103.0129099571,116.8314017581,106.6303966678,103.3948526213,83.8670456404,89.2719320547,100.980016669,111.3629700825
Brunei Darussalam,26,GDP Deflator,22024,"Value US$, 2015 prices",6179,8.2413275877,18.3154991303,19.8599403355,20.1323742686,22.1015560422,23.1895547709,27.3271412677,51.6516965003,57.0712527587,53.6193034573,48.1022828051,47.0420512285,44.4838668928,30.6394722387,35.0870606559,33.5069488497,36.771702302,42.8898028585,43.7179590481,47.1826035828,46.1536358245,44.5456168924,49.3800446329,51.8670115182,53.478025338,41.9123981,46.1897680451,58.5949531944,53.2258755748,53.4590165494,58.2989030763,69.6369412048,83.9887137528,96.8178019179,103.2179374856,123.6996101437,93.8962401243,105.4835431853,137.4128142478,140.0185924535,135.8913274495,131.7116308546,100,90.4073033703,94.9185422302,106.1230084232,101.4346459241,89.4002690279,105.9842996949,128.3151358719,115.1049141125
Bulgaria,27,GDP Deflator,22024,"Value US$, 2015 prices",6179,64.4214695068,65.1440296819,52.8253570049,52.5819931612,50.5863523096,51.8904315547,32.7076685175,35.6621773663,39.0365842415,41.448368837,43.0718132417,44.6257173744,46.0369812151,46.9641206658,48.1254541463,49.8230417407,51.7762784517,53.7144352818,23.783876855,28.9206097373,36.9608036245,32.5309944012,56.173735733,34.5658803963,37.0434202148,47.4077530852,46.9534681044,43.6066428212,44.9730937927,49.1263645253,60.1766837389,69.8923709034,74.5473478932,80.3429164357,97.3519716941,112.4766313382,111.1238555604,106.6145930027,118.8374052307,111.0336097856,114.7693731673,116.2596504804,100,103.1106767442,110.1026937846,120.1961753811,119.9771564558,127.3262979468,141.5704418487,146.2318027499,166.0311736313
Burkina Faso,233,GDP Deflator,22024,"Value US$, 2015 prices",6179,45.5834301224,47.5840144419,55.2886081217,53.5451997773,60.4251408134,69.7278436442,92.971262471,99.1880799736,88.0548880404,79.0019472283,73.0358870012,64.2496994587,66.413210516,80.6939802613,94.1299147251,98.2191946613,96.1296127499,114.6816963133,106.2799389288,113.5388547868,104.5958262623,61.1579014947,72.626473346,71.1125466881,63.2959508835,67.5942960206,67.6398114661,58.0136920405,58.5790057096,63.4922612432,77.2718086676,85.0887803367,88.4072450151,88.5901550827,99.0626649795,115.7339786966,112.3983663451,111.2083159893,124.5907308792,121.8624385361,123.2479815567,122.390487917,100,102.4404217499,106.0292080816,112.0320158806,119.8274949421,118.5170710136,122.7266143744,115.9767208975,121.4344026455
Burundi,29,GDP Deflator,22024,"Value US$, 2015 prices",6179,28.4728607144,32.4554079263,38.8656393459,38.8082802092,42.2729959053,45.5317943399,57.8874341247,70.7393107622,66.5925055963,70.4055924144,72.2989966758,65.7820867498,68.5549403858,69.554288117,62.943974814,56.2409645638,57.5807072089,56.4553886936,54.4874046636,49.8258489857,48.0723400946,54.3833623966,54.7474238914,52.0316394448,58.0322822551,51.0197478563,46.6019268421,41.262599564,37.7483364601,34.2553947522,32.8708433915,36.0210507946,58.651896691,63.4223612962,65.3161157347,74.0015876353,78.5409181394,85.5379981368,90.4605495571,90.1773973651,90.5543977864,95.8826471875,100,101.0211963016,109.503245713,104.5997420471,101.6796354146,103.8403869441,109.2109187432,115.5494193879,
Cabo Verde,35,GDP Deflator,22024,"Value US$, 2015 prices",6179,40.5119117149,39.6513373009,55.5539286079,50.7845870331,50.1366683754,52.6242806878,54.6733078941,58.0559344761,52.4905278199,51.4782655305,46.2862493877,42.5225501889,40.8339118554,54.9489087122,65.2263579083,69.1457360024,66.1596492299,75.4239331329,77.5317588088,83.9912965162,78.9430438767,83.5276131486,93.202572186,89.8907685498,81.6064573301,80.2063978939,81.4069457046,68.5674772025,67.4537613065,70.6637517706,88.4811757212,96.3531930658,95.1185241046,98.4360428386,108.8623022704,120.8364009563,116.8369581337,112.1187550367,120.9141085885,112.5148445078,117.9262528884,117.7186153829,100,101.4126692361,104.703559432,111.4961474701,106.4824008956,109.3390152535,114.0005160127,107.173295562,
Cambodia,115,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.5013462785,25.616160661,27.988886246,29.5292228075,31.3639816964,33.5700710921,36.3552312077,39.6392271992,43.3899482899,46.0706953613,47.8751864597,49.6023821474,51.1710302825,52.2015644238,53.4924099382,55.3793126827,57.5503745605,55.4523822751,68.2548270986,67.8971949404,66.3238780965,67.7291595062,79.0709328935,80.1017109165,74.4718524011,64.4650311681,64.6474965445,61.6371602528,62.4526208483,62.9663272249,63.1100677138,65.4474229477,68.130961041,71.099419508,76.6128082216,86.0432041303,86.3833843914,88.1087830401,93.9096133743,95.8647269507,96.7517446067,99.0463511401,100,103.6115006889,107.2695335064,110.5619225066,114.1233157037,112.4448176239,113.7066893734,118.1525103756,120.8709065748
Cameroon,32,GDP Deflator,22024,"Value US$, 2015 prices",6179,38.9457188605,40.1932265904,50.850144037,58.6278614089,60.2922322057,65.052768307,81.640262905,90.897634609,79.5099494283,74.2466135501,71.4660035804,65.1562946942,62.5621921382,80.7384180136,93.2311792568,94.7077230781,90.1208780506,106.7988483329,106.6224701552,112.0958164407,122.4042266456,66.1002675314,78.4015115843,76.8145295158,71.4731828921,71.4657628535,69.9753379938,61.4397013711,61.1479423986,66.0949915602,80.8104981909,89.0288710937,90.3768312585,93.2646729933,102.2530275697,114.8438122456,112.8386557838,108.3182462155,116.6358321282,109.8971215257,117.0322559085,119.2990011742,100,100.5010741232,103.6206835509,110.37865347340001,105.8635376722,108.5228635988,116.4238997039,109.9706022767,118.5155727329
Canada,33,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.7852617416,29.1906011167,31.11289244,35.0739682897,34.7316336929,34.587156313,37.0517315605,40.7830961458,43.8697678029,46.404669255500004,49.1412347925,48.4174289535,47.4537237836,48.0831926503,52.7999599765,59.4709345769,64.724177951,67.9069382351,71.2653654619,68.5373629207,65.0413218567,62.336549893,63.4242704198,64.9557449501,64.6977411092,60.2769930261,61.3300681205,64.0155862749,62.4028035941,62.3483523035,72.1092168191,80.1900075067,88.7859248029,97.2858663463,106.1105240434,111.0713081135,101.2815362225,115.587710589,124.2272763697,124.5188130841,122.9170727963,116.6627505976,100,97.234416124,101.8542310833,103.6600478068,102.8157980546,102.3456713714,118.3948275018,122.2630785779,118.4663573346
Central African Republic,37,GDP Deflator,22024,"Value US$, 2015 prices",6179,27.9122908391,29.854310261,39.4549124911,45.0098582657,46.8444096806,55.7077992097,65.552079816,78.0545336735,68.6698052574,63.4303299206,59.4549108201,53.1089649353,56.4583078069,70.7318804403,79.619737972,82.1443629036,78.1974946632,92.7346098705,87.6239894078,91.0329265293,82.7372523785,52.3606400649,65.2516095172,63.7704640491,55.9154357229,55.1686046181,53.8064573048,48.3034118519,48.9105614642,52.3558558562,64.7577249829,70.2186872383,72.9171288082,75.7517331954,83.113684499,93.8385126063,92.4363600094,91.8380596535,100.2590593791,98.3944403177,104.2073479527,116.513021329,100,102.815698425,111.6928911794,115.3330083668,111.9881844768,116.1212079347,124.5143674456,117.9457119715,129.2538896069
Chad,39,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.5775013443,25.1883982247,31.038508558,29.5905483071,32.3514057556,38.7090573661,44.4256386805,48.6358896222,64.0629198398,56.8446144593,52.6070792188,53.9417376234,49.3581272448,57.3535625407,62.8164307589,68.1798523818,63.2783238307,73.798127334,70.5686594469,71.865352046500007,63.8098331448,48.9691547257,59.140658121,64.7380084623,58.5299015194,62.3709650388,54.5192547331,49.653984837,54.9511698686,58.861816837,70.5596494325,85.5928522981,105.5189345801,119.6535239431,114.4887604522,139.5385020493,116.2486694346,117.6690692417,138.8226107302,137.789457153,128.530785735,126.259943737,100,94.9753341342,97.325420681,105.6214373951,101.7113713499,101.5677879295,112.76502646,111.7057788364,114.9094424837
Chile,40,GDP Deflator,22024,"Value US$, 2015 prices",6179,41.6041586985,39.9339372544,21.3315600131,28.1380560758,34.7211517939,36.9776836588,45.9738977152,56.6533547237,63.9556751437,52.8829114236,44.8836805222,42.0192526485,36.3484209403,37.0039336047,40.5366029785,44.0881684589,45.4793983282,48.277369144,51.0953017043,55.0055087337,54.5955179978,59.1323942322,68.4586029456,67.0102915564,68.7004310506,63.7874520559,59.1114324122,58.2777793675,51.4047582762,49.3502465198,51.6174438115,62.9252915011,73.418244533,86.9277567616,92.9363354733,92.8872622065,90.5561035442,108.4587401686,117.9809407762,118.6265151067,118.8219058164,109.2755418501,100,100.9461693756,110.3585197295,113.4617078622,106.177931242,103.2193759065,115.1413250866,106.7103336785,124.1426748184
"China, Hong Kong SAR",96,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.4420439374,25.6201296092,27.2852964531,30.1002493649,32.8894281952,35.3963144676,39.02476714,45.4106258589,44.7201858066,45.1676539879,39.4736723342,40.2193011351,42.5237609193,44.0560251133,47.8809919095,52.0437072087,58.6258128564,63.1431048992,69.0794443256,76.2178401042,82.8359003297,88.1537513999,91.7149327246,97.1309330026,102.6219842028,103.8301894766,99.42151804,95.6318817475,93.8440755816,90.6496719344,85.3368351731,82.2593130557,82.2485259715,81.9086926744,84.1148590419,85.3523813127,85.4167257417,85.4558921721,88.6176385176,92.0852643034,93.7592892009,96.4555494234,100,101.5007973444,104.0092364677,107.1931214431,109.4212381409,111.2364330445,111.7659972805,112.944308234,115.4564940709
"China, Macao SAR",128,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.2614234845,12.0143671084,12.8906142017,11.8948721006,14.1027155477,17.0816169013,18.0896299113,19.9921765177,19.4972807747,19.4869400992,17.5646102968,18.6437806083,19.3270827294,20.3759523269,22.7802294428,24.7027142155,27.8052216054,30.8973052394,34.5694755161,39.8235931287,43.6477652306,46.637933054,50.4077239215,51.559057345,52.3566005156,51.3180194541,50.6236172457,49.5287655644,48.7500205927,48.0983818749,48.1958411737,49.1221772728,51.9290971682,56.0183744006,60.6656817697,66.9077019548,67.8276563133,70.9178128493,76.0779767351,81.6318556805,87.9509038984,95.654936239,100,100.7342199008,102.5022787347,105.5224337409,108.0860508022,108.9054354728,107.7264607658,106.4709082581,108.9030254821
