# List of GCAM technologies mapped to intermediate GCAM sectors / fuels / services and to BEND technologies,,,,,,,,,,,
gcam_consumer,supplysector,subsector,technology,minicam_energy_input,GCAM_sector,GCAM_fuel,service,BEND_sector,BEND_service,BEND_fuel,BEND_technology
comm,comm heating,electricity,electric furnace,elect_td_bld,comm,electricity,comm heating,Commercial,Heating,Electricity,Direct Fired
comm,comm heating,electricity,electric heat pump,elect_td_bld,comm,electricity,comm heating,Commercial,Heating,Electricity,Heat Pump
comm,comm heating,electricity,electric heat pump hi-eff,elect_td_bld,comm,electricity,comm heating,Commercial,Heating,Electricity,Heat Pump
comm,comm heating,gas,gas furnace,delivered gas,comm,gas,comm heating,Commercial,Heating,Fossil,Fossil
comm,comm heating,gas,gas furnace hi-eff,delivered gas,comm,gas,comm heating,Commercial,Heating,Fossil,Fossil
comm,comm heating,refined liquids,fuel boiler,refined liquids enduse,comm,refined liquids,comm heating,Commercial,Heating,Fossil,Fossil
comm,comm heating,refined liquids,fuel boiler hi-eff,refined liquids enduse,comm,refined liquids,comm heating,Commercial,Heating,Fossil,Fossil
comm,comm cooling,electricity,air conditioning,elect_td_bld,comm,electricity,comm cooling,Commercial,Cooling,Electricity,Air Conditioning
comm,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,comm,electricity,comm cooling,Commercial,Cooling,Electricity,Air Conditioning
comm,comm cooling,gas,gas cooling,delivered gas,comm,gas,comm cooling,Commercial,Cooling,Fossil,Fossil
comm,comm hot water,electricity,electric resistance water heater,elect_td_bld,comm,electricity,comm hot water,Commercial,Hot Water Heating,Electricity,Electric Water Heater
comm,comm hot water,electricity,electric heat pump water heater,elect_td_bld,comm,electricity,comm hot water,Commercial,Hot Water Heating,Electricity,Electric Water Heater
comm,comm hot water,gas,gas water heater,delivered gas,comm,gas,comm hot water,Commercial,Hot Water Heating,Fossil,Fossil
comm,comm hot water,gas,gas water heater hi-eff,delivered gas,comm,gas,comm hot water,Commercial,Hot Water Heating,Fossil,Fossil
comm,comm hot water,refined liquids,fuel water heater,refined liquids enduse,comm,refined liquids,comm hot water,Commercial,Hot Water Heating,Fossil,Fossil
comm,comm lighting,electricity,incandescent,elect_td_bld,comm,electricity,comm lighting,Commercial,Lighting,Electricity,Electric Lighting
comm,comm lighting,electricity,fluorescent,elect_td_bld,comm,electricity,comm lighting,Commercial,Lighting,Electricity,Electric Lighting
comm,comm lighting,electricity,solid state,elect_td_bld,comm,electricity,comm lighting,Commercial,Lighting,Electricity,Electric Lighting
comm,comm cooking,electricity,electric stove,elect_td_bld,comm,electricity,comm cooking,Commercial,Other,Electricity,Electricity
comm,comm cooking,gas,gas stove,delivered gas,comm,gas,comm cooking,Commercial,Other,Fossil,Fossil
comm,comm refrigeration,electricity,refrigeration,elect_td_bld,comm,electricity,comm refrigeration,Commercial,Other,Electricity,Electricity
comm,comm refrigeration,electricity,refrigeration hi-eff,elect_td_bld,comm,electricity,comm refrigeration,Commercial,Other,Electricity,Electricity
comm,comm ventilation,electricity,ventilation,elect_td_bld,comm,electricity,comm ventilation,Commercial,Ventilation,Electricity,Ventilation
comm,comm ventilation,electricity,ventilation hi-eff,elect_td_bld,comm,electricity,comm ventilation,Commercial,Ventilation,Electricity,Ventilation
comm,comm office,electricity,office equipment,elect_td_bld,comm,electricity,comm office,Commercial,Other,Electricity,Electricity
comm,comm other,electricity,electricity,elect_td_bld,comm,electricity,comm other,Commercial,Other,Electricity,Electricity
comm,comm other,gas,gas,delivered gas,comm,gas,comm other,Commercial,Other,Fossil,Fossil
comm,comm other,refined liquids,refined liquids,refined liquids enduse,comm,refined liquids,comm other,Commercial,Other,Fossil,Fossil
comm,comm non-building,electricity,electricity,elect_td_bld,comm,electricity,comm other,..,..,..,..
