# File: A_biocrops_R_AEZ,,,,,,,,,,,,,,
# Description: Sets the name of the bioenergy crop in regions and AEZs,,,,,,,,,,,,,,
# Original source: Patrick Luckow's biomass work,,,,,,,,,,,,,,
region,old_AgSupplySector,old_AgSupplySubsector,old_AgProductionTechnology,old_LandNode2,old_LandNode3,old_LandNode4,old_LandLeaf,AgSupplySector,AgSupplySubsector,AgProductionTechnology,LandNode2,LandNode3,LandNode4,LandLeaf
Eastern Europe,biomass,biomassAEZ15,biomassAEZ15RFD,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15RFD,biomass,willowAEZ15,willowAEZ15RFD,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15RFD
Eastern Europe,biomass,biomassAEZ16,biomassAEZ16RFD,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16RFD,biomass,willowAEZ16,willowAEZ16RFD,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16RFD
USA,biomass,biomassAEZ14,biomassAEZ14RFD,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomassAEZ14RFD,biomass,willowAEZ14,willowAEZ14RFD,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14,willowAEZ14RFD
USA,biomass,biomassAEZ15,biomassAEZ15RFD,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15RFD,biomass,willowAEZ15,willowAEZ15RFD,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15RFD
USA,biomass,biomassAEZ16,biomassAEZ16RFD,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16RFD,biomass,willowAEZ16,willowAEZ16RFD,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16RFD
Western Europe,biomass,biomassAEZ13,biomassAEZ13RFD,AgroForest_NonPastureAEZ13,CropLandAEZ13,biomassAEZ13,biomassAEZ13RFD,biomass,willowAEZ13,willowAEZ13RFD,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,willowAEZ13,willowAEZ13RFD
Western Europe,biomass,biomassAEZ14,biomassAEZ14RFD,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomassAEZ14RFD,biomass,willowAEZ14,willowAEZ14RFD,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14,willowAEZ14RFD
Western Europe,biomass,biomassAEZ15,biomassAEZ15RFD,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15RFD,biomass,willowAEZ15,willowAEZ15RFD,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15RFD
Western Europe,biomass,biomassAEZ16,biomassAEZ16RFD,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16RFD,biomass,willowAEZ16,willowAEZ16RFD,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16RFD
Latin America,biomass,biomassAEZ01,biomassAEZ01IRR,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,biomassAEZ01IRR,biomass,eucalyptusAEZ01,eucalyptusAEZ01IRR,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,eucalyptusAEZ01,eucalyptusAEZ01IRR
Latin America,biomass,biomassAEZ02,biomassAEZ02IRR,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,biomassAEZ02IRR,biomass,eucalyptusAEZ02,eucalyptusAEZ02IRR,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,eucalyptusAEZ02,eucalyptusAEZ02IRR
Africa,biomass,biomassAEZ03,biomassAEZ03IRR,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,biomassAEZ03IRR,biomass,eucalyptusAEZ03,eucalyptusAEZ03IRR,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,eucalyptusAEZ03,eucalyptusAEZ03IRR
Latin America,biomass,biomassAEZ03,biomassAEZ03IRR,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,biomassAEZ03IRR,biomass,eucalyptusAEZ03,eucalyptusAEZ03IRR,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,eucalyptusAEZ03,eucalyptusAEZ03IRR
Africa,biomass,biomassAEZ04,biomassAEZ04IRR,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04IRR,biomass,eucalyptusAEZ04,eucalyptusAEZ04IRR,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,eucalyptusAEZ04,eucalyptusAEZ04IRR
Latin America,biomass,biomassAEZ04,biomassAEZ04IRR,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04IRR,biomass,eucalyptusAEZ04,eucalyptusAEZ04IRR,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,eucalyptusAEZ04,eucalyptusAEZ04IRR
Africa,biomass,biomassAEZ05,biomassAEZ05IRR,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,biomassAEZ05IRR,biomass,eucalyptusAEZ05,eucalyptusAEZ05IRR,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,eucalyptusAEZ05,eucalyptusAEZ05IRR
Latin America,biomass,biomassAEZ05,biomassAEZ05IRR,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,biomassAEZ05IRR,biomass,eucalyptusAEZ05,eucalyptusAEZ05IRR,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,eucalyptusAEZ05,eucalyptusAEZ05IRR
Africa,biomass,biomassAEZ06,biomassAEZ06IRR,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,biomassAEZ06IRR,biomass,eucalyptusAEZ06,eucalyptusAEZ06IRR,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,eucalyptusAEZ06,eucalyptusAEZ06IRR
Latin America,biomass,biomassAEZ06,biomassAEZ06IRR,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,biomassAEZ06IRR,biomass,eucalyptusAEZ06,eucalyptusAEZ06IRR,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,eucalyptusAEZ06,eucalyptusAEZ06IRR
Africa,biomass,biomassAEZ07,biomassAEZ07IRR,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,biomassAEZ07IRR,biomass,eucalyptusAEZ07,eucalyptusAEZ07IRR,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,eucalyptusAEZ07,eucalyptusAEZ07IRR
Latin America,biomass,biomassAEZ07,biomassAEZ07IRR,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,biomassAEZ07IRR,biomass,eucalyptusAEZ07,eucalyptusAEZ07IRR,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,eucalyptusAEZ07,eucalyptusAEZ07IRR
Africa,biomass,biomassAEZ08,biomassAEZ08IRR,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08IRR,biomass,eucalyptusAEZ08,eucalyptusAEZ08IRR,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,eucalyptusAEZ08,eucalyptusAEZ08IRR
Latin America,biomass,biomassAEZ08,biomassAEZ08IRR,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08IRR,biomass,eucalyptusAEZ08,eucalyptusAEZ08IRR,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,eucalyptusAEZ08,eucalyptusAEZ08IRR
Africa,biomass,biomassAEZ09,biomassAEZ09IRR,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09IRR,biomass,eucalyptusAEZ09,eucalyptusAEZ09IRR,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,eucalyptusAEZ09,eucalyptusAEZ09IRR
Latin America,biomass,biomassAEZ09,biomassAEZ09IRR,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09IRR,biomass,eucalyptusAEZ09,eucalyptusAEZ09IRR,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,eucalyptusAEZ09,eucalyptusAEZ09IRR
Africa,biomass,biomassAEZ10,biomassAEZ10IRR,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10IRR,biomass,eucalyptusAEZ10,eucalyptusAEZ10IRR,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,eucalyptusAEZ10,eucalyptusAEZ10IRR
Latin America,biomass,biomassAEZ10,biomassAEZ10IRR,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10IRR,biomass,eucalyptusAEZ10,eucalyptusAEZ10IRR,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,eucalyptusAEZ10,eucalyptusAEZ10IRR
Africa,biomass,biomassAEZ11,biomassAEZ11IRR,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11IRR,biomass,eucalyptusAEZ11,eucalyptusAEZ11IRR,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,eucalyptusAEZ11,eucalyptusAEZ11IRR
Latin America,biomass,biomassAEZ11,biomassAEZ11IRR,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11IRR,biomass,eucalyptusAEZ11,eucalyptusAEZ11IRR,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,eucalyptusAEZ11,eucalyptusAEZ11IRR
Africa,biomass,biomassAEZ12,biomassAEZ12IRR,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12IRR,biomass,eucalyptusAEZ12,eucalyptusAEZ12IRR,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,eucalyptusAEZ12,eucalyptusAEZ12IRR
Latin America,biomass,biomassAEZ12,biomassAEZ12IRR,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12IRR,biomass,eucalyptusAEZ12,eucalyptusAEZ12IRR,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,eucalyptusAEZ12,eucalyptusAEZ12IRR
Latin America,biomass,biomassAEZ01,biomassAEZ01RFD,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,biomassAEZ01RFD,biomass,eucalyptusAEZ01,eucalyptusAEZ01RFD,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,eucalyptusAEZ01,eucalyptusAEZ01RFD
Latin America,biomass,biomassAEZ02,biomassAEZ02RFD,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,biomassAEZ02RFD,biomass,eucalyptusAEZ02,eucalyptusAEZ02RFD,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,eucalyptusAEZ02,eucalyptusAEZ02RFD
Africa,biomass,biomassAEZ03,biomassAEZ03RFD,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,biomassAEZ03RFD,biomass,eucalyptusAEZ03,eucalyptusAEZ03RFD,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,eucalyptusAEZ03,eucalyptusAEZ03RFD
Latin America,biomass,biomassAEZ03,biomassAEZ03RFD,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,biomassAEZ03RFD,biomass,eucalyptusAEZ03,eucalyptusAEZ03RFD,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,eucalyptusAEZ03,eucalyptusAEZ03RFD
Africa,biomass,biomassAEZ04,biomassAEZ04RFD,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04RFD,biomass,eucalyptusAEZ04,eucalyptusAEZ04RFD,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,eucalyptusAEZ04,eucalyptusAEZ04RFD
Latin America,biomass,biomassAEZ04,biomassAEZ04RFD,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04RFD,biomass,eucalyptusAEZ04,eucalyptusAEZ04RFD,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,eucalyptusAEZ04,eucalyptusAEZ04RFD
Africa,biomass,biomassAEZ05,biomassAEZ05RFD,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,biomassAEZ05RFD,biomass,eucalyptusAEZ05,eucalyptusAEZ05RFD,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,eucalyptusAEZ05,eucalyptusAEZ05RFD
Latin America,biomass,biomassAEZ05,biomassAEZ05RFD,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,biomassAEZ05RFD,biomass,eucalyptusAEZ05,eucalyptusAEZ05RFD,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,eucalyptusAEZ05,eucalyptusAEZ05RFD
Africa,biomass,biomassAEZ06,biomassAEZ06RFD,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,biomassAEZ06RFD,biomass,eucalyptusAEZ06,eucalyptusAEZ06RFD,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,eucalyptusAEZ06,eucalyptusAEZ06RFD
Latin America,biomass,biomassAEZ06,biomassAEZ06RFD,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,biomassAEZ06RFD,biomass,eucalyptusAEZ06,eucalyptusAEZ06RFD,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,eucalyptusAEZ06,eucalyptusAEZ06RFD
Africa,biomass,biomassAEZ07,biomassAEZ07RFD,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,biomassAEZ07RFD,biomass,eucalyptusAEZ07,eucalyptusAEZ07RFD,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,eucalyptusAEZ07,eucalyptusAEZ07RFD
Latin America,biomass,biomassAEZ07,biomassAEZ07RFD,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,biomassAEZ07RFD,biomass,eucalyptusAEZ07,eucalyptusAEZ07RFD,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,eucalyptusAEZ07,eucalyptusAEZ07RFD
Africa,biomass,biomassAEZ08,biomassAEZ08RFD,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08RFD,biomass,eucalyptusAEZ08,eucalyptusAEZ08RFD,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,eucalyptusAEZ08,eucalyptusAEZ08RFD
Latin America,biomass,biomassAEZ08,biomassAEZ08RFD,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08RFD,biomass,eucalyptusAEZ08,eucalyptusAEZ08RFD,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,eucalyptusAEZ08,eucalyptusAEZ08RFD
Africa,biomass,biomassAEZ09,biomassAEZ09RFD,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09RFD,biomass,eucalyptusAEZ09,eucalyptusAEZ09RFD,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,eucalyptusAEZ09,eucalyptusAEZ09RFD
Latin America,biomass,biomassAEZ09,biomassAEZ09RFD,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09RFD,biomass,eucalyptusAEZ09,eucalyptusAEZ09RFD,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,eucalyptusAEZ09,eucalyptusAEZ09RFD
Africa,biomass,biomassAEZ10,biomassAEZ10RFD,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10RFD,biomass,eucalyptusAEZ10,eucalyptusAEZ10RFD,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,eucalyptusAEZ10,eucalyptusAEZ10RFD
Latin America,biomass,biomassAEZ10,biomassAEZ10RFD,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10RFD,biomass,eucalyptusAEZ10,eucalyptusAEZ10RFD,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,eucalyptusAEZ10,eucalyptusAEZ10RFD
Africa,biomass,biomassAEZ11,biomassAEZ11RFD,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11RFD,biomass,eucalyptusAEZ11,eucalyptusAEZ11RFD,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,eucalyptusAEZ11,eucalyptusAEZ11RFD
Latin America,biomass,biomassAEZ11,biomassAEZ11RFD,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11RFD,biomass,eucalyptusAEZ11,eucalyptusAEZ11RFD,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,eucalyptusAEZ11,eucalyptusAEZ11RFD
Africa,biomass,biomassAEZ12,biomassAEZ12RFD,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12RFD,biomass,eucalyptusAEZ12,eucalyptusAEZ12RFD,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,eucalyptusAEZ12,eucalyptusAEZ12RFD
Latin America,biomass,biomassAEZ12,biomassAEZ12RFD,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12RFD,biomass,eucalyptusAEZ12,eucalyptusAEZ12RFD,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,eucalyptusAEZ12,eucalyptusAEZ12RFD
Africa,biomass,biomassAEZ01,biomassAEZ01IRR,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,biomassAEZ01IRR,biomassOil,JatrophaAEZ01,JatrophaAEZ01IRR,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,JatrophaAEZ01IRR
India,biomass,biomassAEZ01,biomassAEZ01IRR,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,biomassAEZ01IRR,biomassOil,JatrophaAEZ01,JatrophaAEZ01IRR,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,JatrophaAEZ01IRR
Africa,biomass,biomassAEZ02,biomassAEZ02IRR,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,biomassAEZ02IRR,biomassOil,JatrophaAEZ02,JatrophaAEZ02IRR,AgroForest_NonPastureAEZ02,CropLandAEZ02,JatrophaAEZ02,JatrophaAEZ02IRR
India,biomass,biomassAEZ02,biomassAEZ02IRR,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,biomassAEZ02IRR,biomassOil,JatrophaAEZ02,JatrophaAEZ02IRR,AgroForest_NonPastureAEZ02,CropLandAEZ02,JatrophaAEZ02,JatrophaAEZ02IRR
India,biomass,biomassAEZ03,biomassAEZ03IRR,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,biomassAEZ03IRR,biomassOil,JatrophaAEZ03,JatrophaAEZ03IRR,AgroForest_NonPastureAEZ03,CropLandAEZ03,JatrophaAEZ03,JatrophaAEZ03IRR
India,biomass,biomassAEZ04,biomassAEZ04IRR,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04IRR,biomassOil,JatrophaAEZ04,JatrophaAEZ04IRR,AgroForest_NonPastureAEZ04,CropLandAEZ04,JatrophaAEZ04,JatrophaAEZ04IRR
India,biomass,biomassAEZ05,biomassAEZ05IRR,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,biomassAEZ05IRR,biomassOil,JatrophaAEZ05,JatrophaAEZ05IRR,AgroForest_NonPastureAEZ05,CropLandAEZ05,JatrophaAEZ05,JatrophaAEZ05IRR
India,biomass,biomassAEZ06,biomassAEZ06IRR,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,biomassAEZ06IRR,biomassOil,JatrophaAEZ06,JatrophaAEZ06IRR,AgroForest_NonPastureAEZ06,CropLandAEZ06,JatrophaAEZ06,JatrophaAEZ06IRR
Africa,biomass,biomassAEZ01,biomassAEZ01RFD,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,biomassAEZ01RFD,biomassOil,JatrophaAEZ01,JatrophaAEZ01RFD,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,JatrophaAEZ01RFD
India,biomass,biomassAEZ01,biomassAEZ01RFD,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,biomassAEZ01RFD,biomassOil,JatrophaAEZ01,JatrophaAEZ01RFD,AgroForest_NonPastureAEZ01,CropLandAEZ01,JatrophaAEZ01,JatrophaAEZ01RFD
Africa,biomass,biomassAEZ02,biomassAEZ02RFD,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,biomassAEZ02RFD,biomassOil,JatrophaAEZ02,JatrophaAEZ02RFD,AgroForest_NonPastureAEZ02,CropLandAEZ02,JatrophaAEZ02,JatrophaAEZ02RFD
India,biomass,biomassAEZ02,biomassAEZ02RFD,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,biomassAEZ02RFD,biomassOil,JatrophaAEZ02,JatrophaAEZ02RFD,AgroForest_NonPastureAEZ02,CropLandAEZ02,JatrophaAEZ02,JatrophaAEZ02RFD
India,biomass,biomassAEZ03,biomassAEZ03RFD,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,biomassAEZ03RFD,biomassOil,JatrophaAEZ03,JatrophaAEZ03RFD,AgroForest_NonPastureAEZ03,CropLandAEZ03,JatrophaAEZ03,JatrophaAEZ03RFD
India,biomass,biomassAEZ04,biomassAEZ04RFD,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04RFD,biomassOil,JatrophaAEZ04,JatrophaAEZ04RFD,AgroForest_NonPastureAEZ04,CropLandAEZ04,JatrophaAEZ04,JatrophaAEZ04RFD
India,biomass,biomassAEZ05,biomassAEZ05RFD,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,biomassAEZ05RFD,biomassOil,JatrophaAEZ05,JatrophaAEZ05RFD,AgroForest_NonPastureAEZ05,CropLandAEZ05,JatrophaAEZ05,JatrophaAEZ05RFD
India,biomass,biomassAEZ06,biomassAEZ06RFD,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,biomassAEZ06RFD,biomassOil,JatrophaAEZ06,JatrophaAEZ06RFD,AgroForest_NonPastureAEZ06,CropLandAEZ06,JatrophaAEZ06,JatrophaAEZ06RFD
Western Europe,biomass,biomassAEZ04,biomassAEZ04IRR,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04IRR,biomass,miscanthusAEZ04,miscanthusAEZ04IRR,AgroForest_NonPastureAEZ04,CropLandAEZ04,miscanthusAEZ04,miscanthusAEZ04IRR
Western Europe,biomass,biomassAEZ07,biomassAEZ07IRR,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,biomassAEZ07IRR,biomass,miscanthusAEZ07,miscanthusAEZ07IRR,AgroForest_NonPastureAEZ07,CropLandAEZ07,miscanthusAEZ07,miscanthusAEZ07IRR
Western Europe,biomass,biomassAEZ08,biomassAEZ08IRR,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08IRR,biomass,miscanthusAEZ08,miscanthusAEZ08IRR,AgroForest_NonPastureAEZ08,CropLandAEZ08,miscanthusAEZ08,miscanthusAEZ08IRR
Western Europe,biomass,biomassAEZ09,biomassAEZ09IRR,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09IRR,biomass,miscanthusAEZ09,miscanthusAEZ09IRR,AgroForest_NonPastureAEZ09,CropLandAEZ09,miscanthusAEZ09,miscanthusAEZ09IRR
Western Europe,biomass,biomassAEZ10,biomassAEZ10IRR,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10IRR,biomass,miscanthusAEZ10,miscanthusAEZ10IRR,AgroForest_NonPastureAEZ10,CropLandAEZ10,miscanthusAEZ10,miscanthusAEZ10IRR
