Notes,,,,,,,,,,,,,
"CCS Techs at botton, where needed, values and names are linked to base tech values.",,,,,,,,,,,,,
"For the phased shutdown rate, MAW used a grandparent header to change Stephen's initial table with a row for each region and period",,,,,,,,,,,,,
added a table to add profit-shutdown decider tag to the techs listed in that table,,,,,,,,,,,,,
added table to put in the GHG object name =CO2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Not_Read_in,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10,,,,,,,,,,,,,
Define supplysector,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,,,,,,,,,
Fossil - Reference - logitexp (tech level),,,1975 fillout,,,,,,,,,,
region,supplysector,subsector,logit-exponent,,,,,,,,,,
ALL,electricity,coal,-10,,,,,,,,,,
ALL,electricity,gas,-10,,,,,,,,,,
ALL,electricity,oil,-10,,,,,,,,,,
ALL,electricity,biomass ,-10,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
30000,,,,delete,,,,,,,,,
"Technology: delete ""refined oil"" input",,,,minicam-energy-input,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,oil,Oil (existing),refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,
ALL,electricity,oil,Oil (peak load conv),refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,
ALL,electricity,oil,Oil (base load conv),refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,
ALL,electricity,oil,Oil (IGCC),refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,
ALL,electricity,oil,Oil (IGCC)_CCS,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,refined oil,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
16,,,,,,,,,,,,,
Define energy inputs and set efficiencies (existing tech efficiencies will be over-written in calibration),,,,,efficiency,,,,,,,,
region,supplysector,subsector,technology,minicam energy input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,electricity,coal,Coal (existing),regional coal,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
ALL,electricity,coal,Coal (conv pul),regional coal,1.000,1.000,0.391,0.391,0.400,0.409,0.419,0.428,0.438
ALL,electricity,coal,Coal (IGCC),regional coal,1.000,1.000,0.426,0.426,0.449,0.470,0.486,0.496,0.500
ALL,electricity,gas,Gas (existing),wholesale gas,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400
ALL,electricity,gas,Gas (peak load conv),wholesale gas,1.000,1.000,0.384,0.384,0.393,0.402,0.411,0.421,0.430
ALL,electricity,gas,Gas (base load conv),wholesale gas,1.000,1.000,0.384,0.384,0.393,0.402,0.411,0.421,0.430
ALL,electricity,gas,Gas (CC),wholesale gas,1.000,1.000,0.554,0.554,0.599,0.640,0.672,0.693,0.700
ALL,electricity,oil,Oil (existing),refined liquids electricity,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
ALL,electricity,oil,Oil (peak load conv),refined liquids electricity,1.000,1.000,0.384,0.384,0.393,0.402,0.411,0.421,0.430
ALL,electricity,oil,Oil (base load conv),refined liquids electricity,1.000,1.000,0.384,0.384,0.393,0.402,0.411,0.421,0.430
ALL,electricity,oil,Oil (IGCC),refined liquids electricity,1.000,1.000,0.426,0.426,0.449,0.470,0.486,0.496,0.500
ALL,electricity,biomass ,Biomass (existing),regional biomass,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300
ALL,electricity,biomass ,Biomass (conv),regional biomass,1.000,1.000,0.382,0.382,0.390,0.399,0.408,0.418,0.427
ALL,electricity,biomass ,Biomass (IGCC),regional biomass,1.000,1.000,0.416,0.416,0.438,0.458,0.474,0.484,0.488
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
18,,,,minicam-non-energy-input,,,,,,,,,
Fossil - Reference - Nonenergy Cost (1975$),,,,input-cost,,,,,,,,,
region,Supply Sector,Subsector,Technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,coal,Coal (conv pul),0.00,0.00,3.71,3.71,3.50,3.29,3.10,2.92,2.75,
ALL,electricity,coal,Coal (IGCC),0.00,0.00,4.18,4.18,3.78,3.23,3.21,3.05,3.00,
ALL,electricity,gas,Gas (peak load conv),0.00,0.00,8.98,9.28,8.74,8.23,7.75,7.30,6.87,
ALL,electricity,gas,Gas (base load conv),0.00,0.00,2.04,2.10,1.98,1.87,1.76,1.66,1.56,
ALL,electricity,gas,Gas (CC),0.00,0.00,1.72,1.72,1.51,1.34,1.31,1.26,1.24,
ALL,electricity,oil,Oil (peak load conv),0.00,0.00,8.98,9.28,8.74,8.23,7.75,7.30,6.87,
ALL,electricity,oil,Oil (base load conv),0.00,0.00,2.04,2.10,1.98,1.87,1.76,1.66,1.56,
ALL,electricity,oil,Oil (IGCC),0.00,0.00,3.76,3.76,3.30,2.91,2.85,2.74,2.70,
ALL,electricity,biomass ,Biomass (conv),0.00,0.00,3.82,3.82,3.60,3.39,3.19,3.00,2.83,
ALL,electricity,biomass ,Biomass (IGCC),0.00,0.00,4.30,4.30,3.89,3.33,3.30,3.14,3.09,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Not_Read_in,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
18,,,,minicam-non-energy-input,,,,,,,,,
Fossil - Reference - Nonenergy Cost -Existing Technologies,,,,input-cost,,,,,,,,,
region,Supply Sector,Subsector,Technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,coal,Coal (existing),3.9924,3.9924,3.4,3.4,3.4,3.4,3.4,3.4,3.4,
ALL,electricity,gas,Gas (existing),2.0528,2.0528,1.6,1.6,1.6,1.6,1.6,1.6,1.6,
ALL,electricity,oil,Oil (existing),2.0528,2.0528,2,1.96,1.93,1.89,1.86,1.82,1.79,
ALL,electricity,biomass ,Biomass (existing),3.9924,3.9924,3.9,3.83,3.76,3.69,3.62,3.55,3.49,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
180,,,,minicam-non-energy-input,,,,,,,,,
Existing techs: adjust non-energy costs,,,,input-cost,,,,,,,,,
region,supplysector,subsector,technology,1990,2005,,,,,,,,
Africa,electricity,biomass ,Biomass (existing),3.58,3.58,,,,,,,,
Australia_NZ,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Canada,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
China,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Eastern Europe,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Former Soviet Union,electricity,biomass ,Biomass (existing),3.45,3.45,,,,,,,,
India,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Japan,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Korea,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Latin America,electricity,biomass ,Biomass (existing),2.28,2.28,,,,,,,,
Middle East,electricity,biomass ,Biomass (existing),3.76,3.76,,,,,,,,
Southeast Asia,electricity,biomass ,Biomass (existing),3.77,3.77,,,,,,,,
USA,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Western Europe,electricity,biomass ,Biomass (existing),3.90,3.90,,,,,,,,
Africa,electricity,coal,Coal (existing),3.08,3.08,,,,,,,,
Australia_NZ,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Canada,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
China,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Eastern Europe,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Former Soviet Union,electricity,coal,Coal (existing),2.95,2.95,,,,,,,,
India,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Japan,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Korea,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Latin America,electricity,coal,Coal (existing),1.78,1.78,,,,,,,,
Middle East,electricity,coal,Coal (existing),3.26,3.26,,,,,,,,
Southeast Asia,electricity,coal,Coal (existing),3.27,3.27,,,,,,,,
USA,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Western Europe,electricity,coal,Coal (existing),3.40,3.40,,,,,,,,
Africa,electricity,gas,Gas (existing),1.28,1.28,,,,,,,,
Australia_NZ,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Canada,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
China,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Eastern Europe,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Former Soviet Union,electricity,gas,Gas (existing),1.15,1.15,,,,,,,,
India,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Japan,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Korea,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Latin America,electricity,gas,Gas (existing),1.00,1.00,,,,,,,,
Middle East,electricity,gas,Gas (existing),1.46,1.46,,,,,,,,
Southeast Asia,electricity,gas,Gas (existing),1.47,1.47,,,,,,,,
USA,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Western Europe,electricity,gas,Gas (existing),1.60,1.60,,,,,,,,
Africa,electricity,oil,Oil (existing),1.68,1.68,,,,,,,,
Australia_NZ,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
Canada,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
China,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
Eastern Europe,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
Former Soviet Union,electricity,oil,Oil (existing),1.55,1.55,,,,,,,,
India,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
Japan,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
Korea,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
Latin America,electricity,oil,Oil (existing),0.38,0.38,,,,,,,,
Middle East,electricity,oil,Oil (existing),1.86,1.86,,,,,,,,
Southeast Asia,electricity,oil,Oil (existing),1.87,1.87,,,,,,,,
USA,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
Western Europe,electricity,oil,Oil (existing),2.00,2.00,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
don't want to double this one either,,,,,,,,,,,,,
danger,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
30,,,,,,,,,,,,,
list techs to give it a  <profit-shutdown-decider,,,,,,,,,,,,,
region,supplysector,subsector,technology,,,,,,,,,,
ALL,electricity,coal,Coal (existing),,,,,,,,,,
ALL,electricity,coal,Coal (conv pul),,,,,,,,,,
ALL,electricity,coal,Coal (IGCC),,,,,,,,,,
ALL,electricity,gas,Gas (existing),,,,,,,,,,
ALL,electricity,gas,Gas (base load conv),,,,,,,,,,
ALL,electricity,gas,Gas (CC),,,,,,,,,,
ALL,electricity,oil,Oil (existing),,,,,,,,,,
ALL,electricity,oil,Oil (base load conv),,,,,,,,,,
ALL,electricity,oil,Oil (IGCC),,,,,,,,,,
ALL,electricity,biomass ,Biomass (existing),,,,,,,,,,
ALL,electricity,biomass ,Biomass (conv),,,,,,,,,,
ALL,electricity,biomass ,Biomass (IGCC),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
37,,,,,,,,,,,,,
Fossil - Reference - share-weight (tech level),,,,share-weight,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,coal,Coal (existing),1,1,1,0,0,0,0,0,0,
ALL,electricity,coal,Coal (conv pul),0,0,0,1,1,1,1,1,1,
ALL,electricity,coal,Coal (IGCC),0,0,0,1,1,1,1,1,1,
ALL,electricity,gas,Gas (existing),1,1,1,0,0,0,0,0,0,
ALL,electricity,gas,Gas (peak load conv),0,0,0,1,1,1,1,1,1,
ALL,electricity,gas,Gas (base load conv),0,0,0,0,0,0,0,0,0,
ALL,electricity,gas,Gas (CC),0,0,0,1,1,1,1,1,1,
ALL,electricity,oil,Oil (existing),1,1,1,0,0,0,0,0,0,
ALL,electricity,oil,Oil (peak load conv),0,0,0,1,1,1,1,1,1,
ALL,electricity,oil,Oil (base load conv),0,0,0,0,0,0,0,0,0,
ALL,electricity,oil,Oil (IGCC),0,0,0,1,1,1,1,1,1,
ALL,electricity,biomass ,Biomass (existing),1,1,1,0,0,0,0,0,0,
ALL,electricity,biomass ,Biomass (conv),0,0,0,1,1,1,1,1,1,
ALL,electricity,biomass ,Biomass (IGCC),0,0,0,1,1,1,1,1,1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
question this nbased on 2005 calibration,,,,,,,,,,,,,
Not_Read_in,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
39,,,,,,,,,,,,,
Fossil - Reference - lifetime,,,,lifetime,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,coal,Coal (existing),-1,-1,45,-1,-1,-1,-1,-1,-1,
ALL,electricity,coal,Coal (conv pul),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,coal,Coal (IGCC),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,gas,Gas (existing),-1,-1,45,-1,-1,-1,-1,-1,-1,
ALL,electricity,gas,Gas (peak load conv),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,gas,Gas (base load conv),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,gas,Gas (CC),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,oil,Oil (existing),-1,-1,45,-1,-1,-1,-1,-1,-1,
ALL,electricity,oil,Oil (peak load conv),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,oil,Oil (base load conv),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,oil,Oil (IGCC),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,biomass ,Biomass (existing),-1,-1,45,-1,-1,-1,-1,-1,-1,
ALL,electricity,biomass ,Biomass (conv),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,biomass ,Biomass (IGCC),-1,-1,-1,45,45,45,45,45,45,
ALL,electricity,nuclear ,Gen_II_LWR,-1,-1,45,-1,-1,-1,-1,-1,-1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
don't read this thing in again as it compounds,,,,,,,,,,,,,
no__INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
43,,,,,,,,,,,,,
Fossil - Reference - shutdown-rate - using technology as grandparent,,,,,,,,,,,,,
Region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,coal,Coal (existing),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,coal,Coal (conv pul),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,coal,Coal (IGCC),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,gas,Gas (existing),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,gas,Gas (peak load conv),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,gas,Gas (base load conv),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,gas,Gas (CC),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,oil,Oil (existing),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,oil,Oil (peak load conv),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,oil,Oil (base load conv),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,oil,Oil (IGCC),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,biomass ,Biomass (existing),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,biomass ,Biomass (conv),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,biomass ,Biomass (IGCC),0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
ALL,electricity,nuclear,Gen_II_LWR,0.025,0.025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Not_Read_in,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
41,,,,,,,,,,,,,
"list techs to give it a  <GHG name =""CO2"" tag",,,,,,,,,,,,,
Region,supplysector,subsector,technology,,,,,,,,,,
ALL,electricity,coal,Coal (existing),,,,,,,,,,
ALL,electricity,coal,Coal (conv pul),,,,,,,,,,
ALL,electricity,coal,Coal (IGCC),,,,,,,,,,
ALL,electricity,gas,Gas (existing),,,,,,,,,,
ALL,electricity,gas,Gas (base load conv),,,,,,,,,,
ALL,electricity,gas,Gas (CC),,,,,,,,,,
ALL,electricity,oil,Oil (existing),,,,,,,,,,
ALL,electricity,oil,Oil (base load conv),,,,,,,,,,
ALL,electricity,oil,Oil (IGCC),,,,,,,,,,
ALL,electricity,biomass ,Biomass (existing),,,,,,,,,,
ALL,electricity,biomass ,Biomass (conv),,,,,,,,,,
ALL,electricity,biomass ,Biomass (IGCC),,,,,,,,,,
ALL,electricity,nuclear,Gen_II_LWR,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CCS Capture Technologies,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
18,,,,minicam-non-energy-input,,,,,,,,,
Fossil - Reference - Base (w/o capture) Nonenergy Cost (1975$),,,,input-cost,,,,,,,,,
Region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,coal,Coal (IGCC)_CCS,0.00,0.00,4.18,4.18,3.78,3.23,3.21,3.05,3.00,
ALL,electricity,gas,Gas (CC)_CCS,0.00,0.00,1.72,1.72,1.51,1.34,1.31,1.26,1.24,
ALL,electricity,oil,Oil (IGCC)_CCS,0.00,0.00,3.76,3.76,3.30,2.91,2.85,2.74,2.70,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
18,,,,minicam-non-energy-input,,,,,,,,,
Fossil - Reference - Base (w/o capture) Nonenergy Cost (1975$),,,,input-cost,,,,,,,,,
Region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,electricity,biomass ,Biomass (IGCC)_CCS,0.00,0.00,4.30,4.30,3.89,3.33,3.30,3.14,3.09,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
16,,,,,,,,,,,,,
Fossil - Reference w/o capture- fuelname and efficiencies,,,,,efficiency,,,,,,,,
Region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,electricity,coal,Coal (IGCC)_CCS,regional coal,1.00,1.00,0.43,0.43,0.45,0.47,0.49,0.50,0.50
ALL,electricity,gas,Gas (CC)_CCS,wholesale gas,1.00,1.00,0.55,0.55,0.60,0.64,0.67,0.69,0.70
ALL,electricity,oil,Oil (IGCC)_CCS,refined liquids electricity,1.00,1.00,0.43,0.43,0.45,0.47,0.49,0.50,0.50
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
16,,,,,,,,,,,,,
Fossil - Reference w/o capture- fuelname and efficiencies,,,,,efficiency,,,,,,,,
Region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,electricity,biomass ,Biomass (IGCC)_CCS,regional biomass,1.00,1.00,0.42,0.42,0.44,0.46,0.47,0.48,0.49
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10021,,,power-plant-capture-component,,,,,,,,,,
Fossil - Reference - CO2 Capture Removal Fraction (% of CO2 captured),,,remove-fraction,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
electricity,coal,Coal (IGCC)_CCS,0.00,0.00,0.90,0.91,0.92,0.93,0.94,0.94,0.94,,
electricity,gas,Gas (CC)_CCS,0.00,0.00,0.90,0.91,0.92,0.93,0.94,0.94,0.94,,
electricity,oil,Oil (IGCC)_CCS,0.00,0.00,0.90,0.91,0.92,0.93,0.94,0.94,0.94,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10021,,,power-plant-capture-component,,,,,,,,,,
Fossil - Reference - CO2 Capture Removal Fraction (% of CO2 captured),,,remove-fraction,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
electricity,biomass ,Biomass (IGCC)_CCS,0.00,0.00,0.90,0.91,0.92,0.93,0.94,0.94,0.94,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10022,,,power-plant-capture-component,,,,,,,,,,
Fossil - Reference - CO2 Capture Energy Requirement (GJ electricity per kg Carbon),,,capture-energy,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
electricity,coal,Coal (IGCC)_CCS,1.00000,1.00000,0.00256,0.00227,0.00201,0.00178,0.00178,0.00178,0.00178,,
electricity,gas,Gas (CC)_CCS,1.00000,1.00000,0.00467,0.00441,0.00416,0.00392,0.00392,0.00392,0.00392,,
electricity,oil,Oil (IGCC)_CCS,1.00000,1.00000,0.00339,0.00320,0.00301,0.00284,0.00284,0.00284,0.00284,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10022,,,power-plant-capture-component,,,,,,,,,,
Fossil - Reference - CO2 Capture Energy Requirement (GJ electricity per kg Carbon),,,capture-energy,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
electricity,biomass ,Biomass (IGCC)_CCS,1.00000,1.00000,0.00256,0.00227,0.00201,0.00178,0.00178,0.00178,0.00178,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10023,,,power-plant-capture-component,,,,,,,,,,
Fossil - Reference - CO2 Capture non-Energy Cost (1975$ per kg Carbon),,,non-energy-penalty,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
electricity,coal,Coal (IGCC)_CCS,0.0000,0.0000,0.0104,0.0100,0.0097,0.0093,0.0093,0.0093,0.0093,,
electricity,gas,Gas (CC)_CCS,0.0000,0.0000,0.0284,0.0274,0.0265,0.0255,0.0255,0.0255,0.0255,,
electricity,oil,Oil (IGCC)_CCS,0.0000,0.0000,0.0206,0.0199,0.0192,0.0185,0.0185,0.0185,0.0185,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10023,,,power-plant-capture-component,,,,,,,,,,
Fossil - Reference - CO2 Capture non-Energy Cost (1975$ per kg Carbon),,,non-energy-penalty,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
electricity,biomass ,Biomass (IGCC)_CCS,0.0000,0.0000,0.0104,0.0100,0.0097,0.0093,0.0093,0.0093,0.0093,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
