VISLM--ENVIRONMENTAL COST AMOUNTS BY REGION AND FUEL (UNITS=1975 DOLLARS/GIGAJOULE),,,,,,,,,,,
INPUT_TABLE,,,,Pegged to GDP,,,Gas,No environmental cost,,,
5,0,0,0,0,0,0,0,0,0,WEUR,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,JAPAN,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,AUS&NZ,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,FSU,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,ACENP,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,MIDEAST,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,AFR,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,LA,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,S&E ASIA,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,EEUR,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,KOR,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,INDIA,Nuclear Fuel




EoF
