Input drivers,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
10000,,,,,,

refined liquids industrial,gas to liquids,gas to liquids,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
refined liquids enduse,biomass liquids,biomass liquids,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
refined liquids enduse,shale oil refining,shale oil refining,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
refined liquids enduse,coal to liquids,coal to liquids,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
refined liquids enduse,gas to liquids,gas to liquids,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,coal,Coal (existing),1990,NMVOC,0.000804018,0.000907051,0.000857058,0.005662647,0.001968955,0.000173731,0.002566037,0.001434818,0.002707299,0.000984092,1.1258E-05,0.002434906,4.64451E-05,0.000205437
electricity,coal,Coal (conv pul),1990,NMVOC,0.000804018,0.000907051,0.000857058,0.005662647,0.001968955,0.000173731,0.002566037,0.001434818,0.002707299,0.000984092,1.1258E-05,0.002434906,4.64451E-05,0.000205437
electricity,coal,Coal (IGCC),1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,coal,Coal (IGCC)_CCS,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,gas,Gas (existing),1990,NMVOC,0.000572278,0.000645613,0.00061003,0.004030514,0.001401447,0.000123657,0.001826434,0.001021263,0.00192698,0.000700449,8.01312E-06,0.001733098,3.30583E-05,0.000146224
electricity,gas,Gas (peak load conv),1990,NMVOC,0.000572278,0.000645613,0.00061003,0.004030514,0.001401447,0.000123657,0.001826434,0.001021263,0.00192698,0.000700449,8.01312E-06,0.001733098,3.30583E-05,0.000146224
electricity,gas,Gas (CC),1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,gas,Gas (CC)_CCS,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,oil,Oil (existing),1990,NMVOC,0.003250534,0.00366708,0.003464967,0.022893292,0.007960208,0.00070237,0.01037413,0.005800767,0.010945231,0.003978547,4.55145E-05,0.009843985,0.000187771,0.000830552
electricity,oil,Oil (peak load conv),1990,NMVOC,0.003250534,0.00366708,0.003464967,0.022893292,0.007960208,0.00070237,0.01037413,0.005800767,0.010945231,0.003978547,4.55145E-05,0.009843985,0.000187771,0.000830552
electricity,oil,Oil (IGCC),1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,oil,Oil (IGCC)_CCS,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,biomass,Biomass (existing),1990,NMVOC,0.003882497,0.001862386,0.011807576,0.177016497,0.074325878,0.004309864,0.004213471,0,0.981072483,0.180094149,0.001198269,0.068066007,0.019309818,0.027968571
