HHID,NWEIGHT,REGIONC,DIVISION,YEARMADE,FUELHEAT,EQUIPM,FUELH2O,COOLMAIN,COOLUNIT,FUELFOOD,MONEYPY,ELWATER,ELWARM,ELCOOL,ELFOOD,ELOTHER,UGWATER,UGWARM,UGCOOL,UGFOOD,UGOUTSID,UGOTHER,HEATED,TYPEHOME,AREA1980,CDD65,CDD70,CDD75,HDD50,HDD55,HDD60,HDD65,HDD70,HUMIDITY,KWH,BTUEL,CUFEETNG,BTUNG,BTUCONV,BTUELEST,BTUNGEST,BTUELSPH,BTUNGSPH,BTUELWTH,BTUNGWTH,BTUELAPL,BTUNGAPL,BTUELCOL,BTUNGCOL,BTUELRFG,BTUELFZZ
1011,16610,1,2,3,1,3,1,0,1,5,25,0,1,1,1,1,1,1,0,0,0,0,3968,21,2,552,186,21,2443,3389,4504,5782,7241,73,13715,46796,1542,158363,1027,42091,163561,2587,122512,9999999,35851,32525,9999999,1502,9999999,10182,9999999
1012,22470,3,5,5,5,3,1,1,0,5,23,0,1,1,1,1,1,0,0,0,0,0,1000,31,2,3017,1968,1112,143,312,633,1170,1949,68,14945,50994,286,29330,1027,45455,27082,7931,9999999,9999999,29330,16071,9999999,21981,9999999,5011,9999999
1013,14363,1,1,5,1,3,1,1,0,1,22,0,0,1,1,1,1,1,0,1,0,0,2072,21,2,589,215,43,2278,3220,4319,5584,7031,67,6063,20687,1079,110837,1027,20938,121322,9999999,85577,9999999,20432,11840,4828,3012,9999999,5835,9999999
1014,18890,4,9,4,5,3,8,1,0,5,14,0,1,1,1,1,0,0,0,0,0,0,951,41,2,1529,723,249,66,287,684,1412,2425,74,3703,12635,999999,9999999,1027,15634,9999999,2801,9999999,9999999,9999999,5302,9999999,2320,9999999,2212,9999999
1015,15398,1,2,1,3,2,3,9,9,1,3,0,0,0,1,1,0,0,0,1,0,0,2112,31,1,1304,705,256,1082,1827,2691,3721,4915,66,7621,26003,119,12238,1027,19016,5375,9999999,9999999,9999999,9999999,19487,12238,9999999,9999999,6516,5190
1016,12807,3,6,6,5,3,5,1,0,5,13,1,1,1,1,1,0,0,0,0,0,0,476,41,4,1515,786,257,629,1220,2015,2979,4116,72,13143,44844,999999,9999999,1027,34061,9999999,7251,9999999,13743,9999999,9463,9999999,9319,9999999,5068,9999999
1017,17920,2,3,2,1,3,5,1,0,5,20,1,0,1,1,1,0,1,0,0,0,0,1200,21,1,852,391,114,1869,2684,3639,4794,6130,73,18818,64207,942,96730,1027,57455,77110,9999999,96730,17728,9999999,30915,9999999,9835,9999999,5729,4612
1018,23030,2,3,5,1,3,1,1,0,1,21,0,0,1,1,1,1,1,0,1,0,0,1221,41,2,706,301,73,2967,3932,5053,6303,7729,69,3087,10533,668,68649,1027,12772,66126,9999999,36868,9999999,26521,5181,5260,2342,9999999,3010,9999999
1019,30795,1,2,1,1,2,1,0,1,1,23,0,0,1,1,1,1,1,0,1,0,0,965,31,1,995,508,158,1316,2124,3113,4252,5573,66,3721,12696,2536,260440,1027,13061,107907,9999999,184941,9999999,61959,8964,13540,778,9999999,2954,2331
1020,7564,2,4,10,2,3,2,1,0,2,19,0,0,1,1,1,0,0,0,0,0,0,1232,21,4,1168,589,217,1813,2629,3578,4680,5943,71,8255,28166,999999,9999999,1027,25736,9999999,9999999,9999999,9999999,9999999,17348,9999999,7389,9999999,3429,4034
1021,10089,4,8,1,3,3,5,0,1,5,22,1,0,1,1,1,0,0,0,0,0,0,2481,21,4,1133,665,324,2253,3102,4122,5311,6669,41,18491,63091,999999,9999999,1027,66968,9999999,9999999,9999999,18239,9999999,32310,9999999,7294,9999999,5248,4095
1022,18173,2,3,1,1,3,5,1,0,1,14,1,1,1,0,1,0,1,0,1,0,0,546,11,4,977,453,146,1762,2575,3536,4661,5962,71,6857,23396,648,66550,1027,27194,74074,9999999,61271,7110,9999999,6857,5279,5920,9999999,3509,9999999
1023,25662,1,2,5,3,2,3,9,9,1,9,0,0,0,0,1,0,0,0,1,0,0,1980,41,1,1262,679,248,1160,1898,2785,3851,5085,66,1629,5559,34,3465,1027,7157,5629,9999999,9999999,9999999,9999999,3354,3465,9999999,9999999,2205,9999999
1024,17994,2,4,1,1,3,1,1,0,5,5,0,0,1,1,1,1,1,0,0,0,0,483,31,4,949,418,117,2444,3420,4465,5625,6946,69,5159,17603,507,52064,1027,11714,75676,9999999,45426,9999999,6638,5552,9999999,5472,9999999,6579,9999999
1025,21487,4,8,5,1,3,1,1,0,5,22,0,0,0,1,1,1,1,1,0,0,0,505,31,1,737,318,91,2457,3355,4420,5648,7044,52,2398,8182,885,90906,1027,11814,54143,9999999,43713,9999999,28222,3618,9999999,1562,18971,3002,9999999
1026,30696,4,9,5,1,3,5,1,0,5,15,1,0,1,1,1,0,1,0,0,0,0,969,41,2,1656,776,243,38,150,427,1013,1946,68,7961,27165,47,4837,1027,17946,9388,9999999,4837,9302,9999999,9310,9999999,4310,9999999,4243,9999999
1027,17920,2,3,1,1,3,5,9,9,5,2,1,1,0,1,1,0,1,0,0,0,0,1256,21,1,803,324,91,2344,3266,4301,5483,6845,70,6732,22970,952,97739,1027,27752,86638,1315,97739,5864,9999999,10096,9999999,9999999,9999999,5695,3133
1028,16533,3,7,5,1,6,1,9,9,1,14,0,0,0,0,1,1,1,0,1,0,0,816,21,1,1619,940,436,1448,2164,3045,4087,5248,62,3710,12659,842,86500,1027,10773,70635,9999999,48599,9999999,30534,8106,7367,9999999,9999999,4553,9999999
1029,18175,4,9,1,5,5,5,0,1,5,10,1,1,1,1,1,0,0,0,0,0,0,1035,41,4,379,183,67,2867,4121,5633,6454,7608,53,16744,57131,999999,9999999,1027,31671,9999999,27839,9999999,7261,9999999,13796,9999999,990,9999999,7245,9999999
1030,19460,4,9,5,5,3,1,1,0,1,25,0,1,1,1,1,1,1,0,1,0,1,1657,21,2,1061,358,100,35,147,477,1138,2293,37,11222,38289,437,44867,1027,32486,45309,10973,16236,9999999,19605,18183,9026,5037,9999999,4096,9999999
1031,15319,2,4,4,1,2,1,9,9,5,5,0,0,0,1,1,1,1,0,0,0,0,2863,21,1,625,258,64,4228,5282,6455,7748,9208,66,9476,32332,1110,114010,1027,21912,145424,9999999,95125,9999999,18885,25743,9999999,9999999,9999999,6589,5305
1032,11490,1,1,1,3,2,2,0,1,5,16,0,0,1,1,1,0,0,0,0,0,0,2553,21,2,780,311,70,1843,2733,3792,5006,6368,67,11653,39759,999999,9999999,1027,22738,9999999,9999999,9999999,9999999,9999999,30142,9999999,4440,9999999,5177,6157
1033,12657,3,6,4,1,7,1,9,9,1,3,0,0,0,1,1,1,1,0,1,0,1,1054,21,2,2516,1554,808,94,251,572,1118,1887,75,14600,49815,830,85275,1027,31559,64418,9999999,27242,9999999,40235,34847,17798,9999999,9999999,14968,5860
1034,17194,3,7,2,1,7,1,9,9,1,20,0,0,0,1,1,1,1,0,1,0,0,837,21,1,2258,1425,763,597,1100,1781,2621,3606,59,5741,19588,655,67300,1027,27060,75719,9999999,27996,9999999,30572,14985,8732,9999999,9999999,4603,3667
1035,22641,2,3,4,1,3,1,1,0,1,15,0,0,1,1,1,1,1,0,1,0,1,896,41,2,952,415,108,2024,2936,4056,5302,6624,68,2866,9779,624,64107,1027,12248,57652,9999999,38642,9999999,14872,4775,10593,2775,9999999,2229,9999999
1036,15710,4,9,5,1,3,1,1,0,1,24,0,0,1,1,1,1,1,0,1,0,1,1470,21,1,1887,1057,507,185,449,916,1638,2620,66,6850,23372,285,29252,1027,23178,52437,9999999,13268,9999999,11500,13255,4484,5053,9999999,5064,1943
1037,13358,1,2,1,3,2,3,0,1,5,21,1,1,1,1,1,0,0,0,0,0,0,2434,21,2,636,241,28,2278,3140,4231,5439,6864,69,8629,29442,999999,9999999,1027,22708,9999999,1861,9999999,5227,9999999,16912,9999999,1780,9999999,3662,2890
1038,17920,2,3,1,1,3,5,9,9,5,22,1,0,0,1,1,0,1,0,0,0,0,3234,21,1,718,290,81,2399,3343,4402,5612,7005,70,13416,45775,1449,148773,1027,45341,112511,9999999,148773,17106,9999999,26459,9999999,9999999,9999999,2210,3822
1039,19695,3,5,2,1,2,1,0,1,1,3,0,0,1,1,1,1,1,0,1,0,0,405,41,1,1832,1130,570,835,1459,2252,3188,4295,68,6105,20832,439,45136,1027,15078,49038,9999999,25156,9999999,16185,11085,3795,3900,9999999,5847,4543
1040,10966,3,6,5,5,4,5,1,0,5,18,1,1,1,1,1,0,0,0,0,0,0,480,41,1,2371,1491,749,420,880,1570,2422,3411,73,11645,39733,999999,9999999,1027,42844,9999999,4466,9999999,9666,9999999,13600,9999999,7680,9999999,4321,9999999
1041,15485,2,3,3,2,2,5,9,9,5,14,1,1,0,1,1,0,0,0,0,0,0,1952,21,4,417,121,13,3623,4704,5902,7265,8791,70,12362,42179,999999,9999999,1027,37297,9999999,1688,9999999,9896,9999999,22932,9999999,9999999,9999999,7663,2426
1042,18744,2,3,5,5,5,5,9,9,5,23,1,1,0,1,1,0,0,0,0,0,0,1896,22,4,707,273,80,2022,2906,3949,5150,6537,69,20054,68424,999999,9999999,1027,65484,9999999,27112,9999999,11312,9999999,25578,9999999,9999999,9999999,4422,2557
1043,14168,4,9,4,1,3,1,9,9,5,25,0,0,0,1,1,1,1,0,0,0,0,3589,21,2,545,136,26,344,828,1576,2619,4026,77,11370,38796,1243,127700,1027,29837,122314,9999999,87087,9999999,40613,32080,9999999,9999999,9999999,6716,9999999
1044,22477,2,3,7,1,3,5,1,0,5,25,1,0,1,1,1,0,1,0,0,0,0,3200,21,2,539,207,46,4296,5293,6416,7631,9117,72,18982,64767,692,71113,1027,60738,123453,9999999,71113,19092,9999999,30433,9999999,5155,9999999,10087,2707
1045,15710,4,9,4,1,3,1,1,0,5,23,0,0,1,1,1,1,1,0,0,0,0,2860,22,1,4491,3263,2184,83,231,514,939,1554,66,8423,28739,369,37892,1027,38751,35206,9999999,26730,9999999,11162,8331,9999999,13350,9999999,7058,9999999
1046,21579,3,7,5,5,4,5,1,0,5,24,1,1,1,1,1,0,0,0,0,0,0,4950,21,4,2524,1538,756,85,252,613,1159,1941,78,29875,101933,999999,9999999,1027,106833,9999999,15227,9999999,10038,9999999,25877,9999999,41499,9999999,9292,8321
1047,15821,2,3,2,3,3,3,9,9,5,1,0,0,0,1,1,0,0,0,0,0,0,720,31,1,704,298,69,3403,4404,5558,6838,8269,72,6235,21274,999999,9999999,1027,11264,9999999,9999999,9999999,9999999,9999999,13721,9999999,9999999,9999999,7553,9999999
1048,38142,3,5,6,1,3,1,1,0,5,25,0,0,1,1,1,1,1,0,0,1,1,2628,21,4,1021,497,147,740,1437,2374,3313,4373,74,32490,110856,1710,175617,1027,82610,132831,9999999,79149,9999999,44989,69304,51479,20694,9999999,20858,10163
1049,20024,4,9,4,1,6,1,0,1,5,22,0,0,1,1,1,1,1,0,0,0,0,597,41,2,766,221,40,542,1047,1737,2752,4041,77,2409,8220,343,35220,1027,6178,26810,9999999,16361,9999999,18859,5037,9999999,9999999,9999999,3183,9999999
1050,17141,3,6,4,2,7,5,0,1,5,16,1,1,1,1,1,0,0,0,0,0,0,1056,21,4,1823,1050,494,353,752,1393,2251,3288,72,17724,60474,999999,9999999,1027,48783,9999999,2863,9999999,14343,9999999,33420,9999999,7201,9999999,2647,6067
1051,18424,2,3,1,1,2,1,0,1,1,14,0,0,1,0,1,1,1,0,1,0,0,556,31,2,922,425,132,2387,3320,4382,5573,6919,69,1778,6067,924,94943,1027,10779,90055,9999999,63329,9999999,26272,2436,5342,1241,9999999,2390,9999999
1052,40430,3,6,5,7,8,5,9,9,5,4,1,1,0,1,1,0,0,0,0,0,0,1960,21,2,1229,574,158,739,1374,2199,3175,4348,75,10587,36123,999999,9999999,1027,48188,9999999,1719,9999999,9986,9999999,18458,9999999,9999999,9999999,5960,9999999
1053,9792,4,8,5,7,8,5,0,1,2,5,1,0,1,1,1,0,0,0,0,0,0,1272,11,4,779,379,132,3191,4205,5351,6636,8065,49,4425,15098,999999,9999999,1027,36486,9999999,9999999,9999999,4904,9999999,5171,9999999,3079,9999999,1944,1517
1054,9679,4,8,6,1,3,1,1,0,5,3,0,0,1,1,1,1,1,0,0,0,0,1489,41,1,892,409,113,2597,3499,4572,5782,7133,39,4674,15948,686,70502,1027,22064,67375,9999999,35670,9999999,34832,7713,9999999,6030,9999999,2205,9999999
1055,16537,2,3,1,3,3,5,0,1,5,5,1,0,1,1,1,0,0,0,0,0,0,1684,21,2,629,273,68,3583,4596,5739,6998,8463,72,7894,26934,999999,9999999,1027,21946,9999999,9999999,9999999,8688,9999999,13568,9999999,1089,9999999,3589,4136
1056,25899,2,3,1,1,3,1,9,9,1,18,0,0,0,1,1,1,1,0,1,0,1,1024,21,2,622,226,37,1956,2817,3886,5120,6559,71,3326,11348,930,95507,1027,22645,95676,9999999,54063,9999999,30371,9880,11073,9999999,9999999,1468,9999999
1057,7862,1,1,5,3,1,3,0,1,5,24,0,0,1,1,1,0,0,0,0,0,0,1144,21,2,735,251,38,1964,2875,3954,5164,6521,70,8947,30527,999999,9999999,1027,36977,9999999,9999999,9999999,9999999,9999999,24628,9999999,932,9999999,4967,3138
1058,7625,2,4,5,1,3,1,1,0,1,25,0,0,1,1,1,1,1,0,1,0,1,1134,21,2,1750,1043,513,1314,2043,2916,3937,5089,71,17134,58461,1238,127092,1027,48963,105290,9999999,69621,9999999,39936,33121,17535,15122,9999999,10218,9999999
1059,13082,3,6,5,1,3,1,1,0,5,18,0,0,1,1,1,1,1,0,0,0,0,1550,21,1,2064,1259,632,466,937,1634,2520,3549,73,9086,31001,440,45232,1027,50100,81110,9999999,26612,9999999,18620,14229,9999999,8272,9999999,8500,3397
1060,20221,4,8,5,5,3,5,1,0,5,12,1,1,1,1,1,0,0,0,0,0,0,847,31,2,3603,2497,1597,190,453,903,1495,2216,30,11591,39548,999999,9999999,1027,31973,9999999,6217,9999999,6294,9999999,9923,9999999,9543,9999999,7571,9999999
1061,39503,3,7,3,2,7,2,9,9,2,1,0,0,0,0,1,0,0,0,0,0,0,594,21,2,2612,1631,814,176,397,815,1447,2302,79,4396,14999,999999,9999999,1027,11800,9999999,9999999,9999999,9999999,9999999,3308,9999999,9999999,9999999,11691,9999999
1062,22470,3,5,8,5,4,5,1,0,5,22,1,1,1,1,1,0,0,0,0,0,0,1620,22,2,1274,677,237,1129,1835,2705,3752,4980,68,11087,37827,999999,9999999,1027,51021,9999999,8411,9999999,8387,9999999,12935,9999999,5681,9999999,2413,9999999
1063,18890,4,9,5,1,3,1,1,0,5,23,0,0,1,1,1,1,1,0,0,0,0,1165,41,2,121,13,0,207,611,1347,2537,4377,77,3264,11137,3533,362826,1027,10118,39572,9999999,143198,9999999,219628,8180,9999999,1136,9999999,1821,9999999
1064,20799,1,2,1,3,3,5,9,9,5,1,1,0,0,1,1,0,0,0,0,0,0,1680,21,4,465,137,10,2214,3157,4276,5557,7049,68,4319,14736,999999,9999999,1027,21036,9999999,9999999,9999999,5727,9999999,7064,9999999,9999999,9999999,1945,1535
1065,15858,4,9,3,5,4,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,280,21,2,1579,782,273,83,296,684,1397,2338,72,1474,5028,106,10930,1027,7333,10549,3307,9999999,9999999,10930,1721,9999999,9999999,9999999,9999999,9999999
1066,17549,2,3,1,3,3,5,9,9,5,18,1,0,0,1,1,0,0,0,0,0,0,3694,21,4,716,276,81,2017,2899,3940,5137,6521,69,13912,47468,999999,9999999,1027,32977,9999999,9999999,9999999,15732,9999999,25157,9999999,9999999,9999999,6579,5134
1067,14564,1,2,4,5,5,5,0,1,5,24,1,1,1,1,1,0,0,0,0,0,0,3045,21,2,874,372,79,1816,2652,3650,4817,6129,68,26320,89804,999999,9999999,1027,72555,9999999,42433,9999999,17857,9999999,22004,9999999,1480,9999999,6030,3222
1068,13358,1,2,1,3,2,3,1,0,5,23,0,0,1,1,1,0,0,0,0,0,0,1296,21,2,906,417,93,1688,2524,3514,4638,5901,68,9483,32356,999999,9999999,1027,35696,9999999,9999999,9999999,9999999,9999999,21868,9999999,7443,9999999,3045,9999999
1069,29284,1,2,5,5,3,5,1,0,5,18,1,1,1,1,1,0,0,0,0,0,0,1176,11,2,1172,633,263,1580,2372,3284,4334,5593,68,16909,57694,999999,9999999,1027,69076,9999999,22491,9999999,9130,9999999,13105,9999999,8341,9999999,4627,9999999
1070,14692,3,6,4,2,7,2,0,1,2,8,0,0,1,1,1,0,0,0,0,0,0,828,21,4,1790,1024,482,355,756,1399,2261,3301,72,12078,41210,999999,9999999,1027,25096,9999999,9999999,9999999,9999999,9999999,22586,9999999,8144,9999999,10480,5503
1071,9001,1,1,1,3,2,5,0,1,5,23,1,0,1,1,1,0,0,0,0,0,0,4181,21,1,383,119,10,3380,4478,5693,7065,8611,70,10168,34693,999999,9999999,1027,28823,9999999,9999999,9999999,6149,9999999,21867,9999999,520,9999999,6157,7376
1072,15485,2,3,1,7,8,5,1,0,5,23,1,0,1,1,1,0,0,0,0,0,0,1686,21,4,706,294,73,3130,4066,5172,6416,7823,72,5990,20438,999999,9999999,1027,54454,9999999,9999999,9999999,6087,9999999,9557,9999999,1809,9999999,2985,1409
1073,40979,4,9,5,1,3,1,1,0,1,12,0,0,1,1,1,1,1,0,1,1,1,1962,21,2,1863,922,322,70,248,573,1170,2259,72,10524,35908,533,54757,1027,34547,66525,9999999,26009,9999999,19660,11325,9088,10767,9999999,13816,9999999
1074,21252,4,9,1,5,3,5,9,9,5,23,1,1,0,1,1,0,0,0,0,0,0,2887,21,2,77,5,0,1396,2361,3559,5157,7024,67,37166,126811,999999,9999999,1027,86092,9999999,75674,9999999,19182,9999999,28228,9999999,9999999,9999999,3727,6607
1075,26831,4,9,3,1,6,1,9,9,5,12,0,0,0,1,1,1,1,0,0,0,0,168,41,1,857,289,81,43,182,589,1406,2628,72,2259,7706,345,35436,1027,8127,23223,9999999,6793,9999999,28643,5278,9999999,9999999,9999999,2428,9999999
1076,20332,2,4,3,1,3,1,1,0,1,23,0,0,1,1,1,1,1,0,1,1,1,2160,21,2,1273,666,247,1851,2701,3686,4791,6049,71,8103,27647,1341,137700,1027,39235,149751,9999999,78068,9999999,30510,15718,29122,3900,9999999,8029,3005
1077,22470,3,5,4,1,3,1,1,0,1,24,0,0,1,1,1,1,1,0,1,0,0,2580,21,2,1042,467,109,1183,1893,2796,3890,5148,68,10680,36440,1059,108763,1027,32451,116173,9999999,77365,9999999,26154,18233,5244,6563,9999999,11644,9999999
1078,12956,3,6,2,1,7,1,0,1,1,15,0,1,1,0,1,1,1,0,1,0,0,612,31,4,2282,1455,797,366,763,1384,2157,3049,74,9781,33373,674,69188,1027,17875,33039,1989,44871,9999999,15735,7260,8582,16232,9999999,7892,9999999
1079,8617,1,1,4,1,2,1,0,1,5,17,0,0,1,1,1,1,1,0,0,0,0,773,41,2,773,344,105,2135,3012,4045,5218,6578,66,4615,15746,399,40986,1027,13325,51851,9999999,23238,9999999,17748,11255,9999999,1211,9999999,3280,9999999
1080,22470,3,5,8,5,4,5,1,0,5,23,1,1,1,1,1,0,0,0,0,0,0,1559,22,2,1357,733,257,1096,1795,2651,3689,4897,68,13978,47694,999999,9999999,1027,44270,9999999,9478,9999999,8996,9999999,19420,9999999,6586,9999999,3214,9999999
1081,15710,4,9,1,1,3,1,9,9,5,23,0,0,0,1,1,1,1,0,1,0,1,1490,21,1,219,73,11,1383,2282,3466,4922,6625,67,6058,20670,1201,123314,1027,20859,123286,9999999,93048,9999999,22447,16065,7819,9999999,9999999,4605,9999999
1082,16751,1,2,1,3,3,3,9,9,1,3,0,1,0,0,1,0,0,0,1,0,0,1835,22,1,823,301,56,2019,2855,3867,5103,6493,68,1210,4129,141,14448,1027,6222,3271,700,9999999,9999999,9999999,2726,14448,9999999,9999999,703,9999999
1083,25755,2,4,9,1,3,1,1,0,5,24,0,0,1,1,1,1,1,0,0,0,0,1214,22,2,767,304,82,3648,4639,5737,6935,8319,68,3926,13396,344,35376,1027,17396,77406,9999999,23887,9999999,11489,8815,9999999,2385,9999999,2196,9999999
1084,34134,2,3,1,1,2,1,0,1,5,17,0,0,1,1,1,1,1,0,0,0,1,3240,21,1,799,349,91,2364,3270,4337,5513,6887,68,6180,21085,1869,191948,1027,31096,239127,9999999,153774,9999999,32757,16873,5417,948,9999999,3264,2624
1085,22173,3,7,6,5,5,5,1,0,5,19,1,1,1,1,1,0,0,0,0,0,0,590,41,1,2679,1781,1075,696,1175,1973,2911,3920,69,11252,38392,999999,9999999,1027,39257,9999999,4140,9999999,7631,9999999,9333,9999999,11439,9999999,5849,9999999
1086,22749,3,7,7,5,3,5,1,0,5,25,1,1,1,1,1,0,0,0,0,0,0,3900,21,2,3086,2027,1158,122,273,576,1056,1755,75,29739,101470,999999,9999999,1027,94314,9999999,15413,9999999,9810,9999999,22235,9999999,42245,9999999,11767,9999999
1087,18175,4,9,1,5,5,5,0,1,5,5,1,1,1,1,1,0,0,0,0,0,0,976,41,4,508,246,90,2355,3386,4628,5830,7273,53,14063,47983,999999,9999999,1027,31238,9999999,23196,9999999,7000,9999999,12515,9999999,1030,9999999,4242,9999999
1088,25025,1,2,1,1,2,1,9,9,1,12,0,0,0,0,1,1,1,0,1,0,0,520,41,1,1003,527,164,1267,2084,3085,4216,5526,66,2189,7469,673,69087,1027,6436,56447,9999999,43114,9999999,21315,3887,4658,9999999,9999999,3582,9999999
1089,9679,4,8,3,1,3,1,0,1,5,20,0,0,1,1,1,1,1,0,0,0,0,2160,21,1,871,378,105,2652,3551,4640,5869,7240,39,7993,27272,1172,120333,1027,26068,116950,9999999,96081,9999999,24252,21042,9999999,1215,9999999,5015,2679
1090,26954,3,5,2,1,3,1,1,0,5,21,1,0,1,1,1,1,1,0,0,0,0,2444,21,4,1571,884,371,478,1058,1729,2659,3795,72,10634,36283,588,60372,1027,37817,73655,9999999,48914,2763,11458,16418,9999999,11315,9999999,5787,6804
1091,40963,3,5,3,3,3,5,1,0,5,15,1,0,1,1,1,0,0,0,0,0,0,1020,21,2,1680,955,403,515,1083,1804,2708,3806,72,11406,38917,999999,9999999,1027,35026,9999999,9999999,9999999,9915,9999999,14185,9999999,10592,9999999,4225,3334
1092,15336,4,9,3,1,6,1,9,9,1,7,0,0,0,0,1,1,1,0,1,0,0,530,21,1,2164,1324,722,464,933,1507,2211,3171,37,3714,12672,892,91571,1027,15707,61789,9999999,41755,9999999,37382,8384,12434,9999999,9999999,4288,3452
1093,19460,4,9,5,5,5,5,9,9,5,21,1,1,0,1,1,0,0,0,0,0,0,2158,21,2,578,207,63,1013,1811,2864,4099,5553,65,21781,74317,999999,9999999,1027,67238,9999999,25655,9999999,15397,9999999,27869,9999999,9999999,9999999,5396,4344
1094,36107,3,5,3,0,99,5,9,9,5,24,1,0,0,1,1,0,0,0,0,0,0,0,31,1,5350,3448,1758,0,0,1,14,88,75,3230,11021,999999,9999999,1027,14519,9999999,9999999,9999999,2451,9999999,3730,9999999,9999999,9999999,4840,9999999
1095,18302,1,2,5,3,2,3,1,1,5,20,0,0,1,1,1,0,0,0,0,0,0,1848,21,2,714,304,59,1594,2439,3469,4670,6037,71,9948,33943,999999,9999999,1027,40040,9999999,9999999,9999999,9999999,9999999,26980,9999999,3279,9999999,3684,2966
1096,12807,3,6,3,5,5,5,0,1,5,19,1,1,1,1,1,0,0,0,0,0,0,1458,21,4,1551,881,382,992,1655,2479,3466,4623,71,27133,92578,999999,9999999,1027,74078,9999999,33508,9999999,16265,9999999,23837,9999999,11209,9999999,7759,9999999
1097,20860,3,5,7,5,4,5,1,0,5,18,1,1,1,1,1,0,0,0,0,0,0,1196,21,1,2420,1487,704,152,423,890,1590,2482,75,12633,43104,999999,9999999,1027,46871,9999999,6044,9999999,7606,9999999,12849,9999999,11133,9999999,5472,9999999
1098,16533,3,7,1,1,6,1,9,9,1,21,0,0,0,1,1,1,1,0,1,0,0,1912,21,1,1419,825,382,1638,2408,3265,4192,5382,62,6220,21223,1572,161408,1027,26298,146284,9999999,103900,9999999,46209,14932,11299,9999999,9999999,6291,9999999
1099,15398,1,2,2,3,2,3,0,1,1,20,0,0,1,0,1,0,0,0,1,0,1,2401,31,1,1250,671,246,1184,1920,2813,3890,5137,66,7245,24720,58,5938,1027,16836,7333,9999999,9999999,9999999,9999999,15417,5938,2949,9999999,6354,7698
