# File: FAO_CL_kha_RESOURCESTAT.csv
# Title: FAO cropland area by country, year
# Units: tons
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,10,Arable land,6621,Area (1000 Ha),11,30185,32103,33034,35380,36966,39614,41278,41390,41500,41614,41110,40616,40216,42121,42226,42076,41087,42518,43932,44031,43014,46374,44817,47080,47150,46813,46941,47000,47700,47900,45700,47200,46300,47300,40097,36284,39871,44055,45530,47304,49807,47799,47040,47743,49402,47715,44140,43979,47111,42568,47678
Austria,11,Arable land,6621,Area (1000 Ha),11,1689,1681,1656,1657,1660,1616,1600,1601,1585,1586,1587,1588,1514,1514,1511,1520,1529,1547,1523,1536,1549,1535,1439,1445,1448,1439,1439,1458,1459,1426,1445,1436,1419,1423,1414,1410,1406,1404,1402,1399,1387,1385,1387,1386,1387,1383,1382,1374,1371,1368,1363
Azerbaijan,52,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.5,1715.8,1723.6,1726.3,1784.8,1801.2,1809.7,1824.9,1825.6,1835.7,1837.3,1838.5,1840.7,1843.2,1841.3,1854,1860.2,1874,1884.1,1885.7
Bahamas,12,Arable land,6621,Area (1000 Ha),11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,9,9
Bahrain,13,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.7,1.5,1.5,1.45,1.4,1.2,1.36,1.36,1.36
Bangladesh,16,Arable land,6621,Area (1000 Ha),11,8605,8597,8605,8640,8777,8798,8843,8829,8810,8837,8837,9133,9131,9131,9144,9138,9131,9125,9118,9121,9109,9104,9089,9185,9152,9161,9235,9537,9553,9456,9385,8609,8506,8408,8404,8357,8390,8454,8436,8350,8303,8253,8228,8143,7911,7880,7816,7803,7796,7741,7628
Barbados,14,Arable land,6621,Area (1000 Ha),11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,13,13,13,13,13,13,11,12
Belarus,57,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084,6104,6225,6232,6230,6175,6187,6182,6133,5761,5616,5569,5548,5542,5540,5519,5516,5544,5535,5529
Belgium,255,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,845,832,835,840,843,842,840,845,840,836,826
Belgium-Luxembourg,15,Arable land,6621,Area (1000 Ha),11,1007,1004,1001,998,996,994,990,989,988,987,987,987,985,983,982,981,977,971,962,762,760,758,759,762,764,765,668,767,767,766,760,832,841,940,874,862,870,873,873,,,,,,,,,,,,
Belize,23,Arable land,6621,Area (1000 Ha),11,36,36,37,37,37,38,38,38,39,39,40,40,41,41,42,42,43,43,43,45,46,46,46,46,43,44,49,50,52,52,54,56,60,60,62,63,64,64,64,64,65,70,70,70,70,70,70,70,73,75,75
Benin,53,Arable land,6621,Area (1000 Ha),11,920,940,960,980,1000,1030,1070,1100,1180,1200,1250,1280,1300,1330,1370,1400,1430,1450,1470,1500,1530,1550,1560,1570,1580,1590,1600,1610,1620,1615,1620,1630,1650,1700,1790,1950,2100,2250,2300,2380,2450,2550,2650,2750,2700,2500,2500,2600,2450,2540,2580
Bermuda,17,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.74,0.74,0.74,0.74
Bhutan,18,Arable land,6621,Area (1000 Ha),11,100,100,100,100,100,100,100,100,100,110,110,110,110,115,115,120,120,120,125,130,130,135,145,145,145,145,146,141,133,135,135,135,136,140,146,151,153,153,153,106,111,111,111,158,167,151.3,136.3,86,93,95.7,95.4
Bolivia (Plurinational State of),19,Arable land,6621,Area (1000 Ha),11,1294,1296,1304,1341,1375,1414,1448,1488,1527,1564,1591,1634,1678,1711,1752,1807,1845,1877,1910,1943,1980,2018,2051,2093,2050,2060,2070,2080,2090,2100,2110,2150,2200,2350,2500,2590,2859,2960,3000,3000,3000,3100,3514,3579,3806,3491,3609,3600,3735,3746,3836
Bosnia and Herzegovina,80,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,850,850,900,900,950,950,1000,1010,997,1017,1028,1025,1027,1022,1008,997,1004,1005
Botswana,20,Arable land,6621,Area (1000 Ha),11,399,399,399,399,400,400,400,400,400,400,400,401,401,401,401,401,401,401,403,403,403,405,405,405,407,407,409,409,414,420,300,250,350,395,345,345,300,230,240,350,200,245,195,225,240,201,182,279,316,259,259
Brazil,21,Arable land,6621,Area (1000 Ha),11,22118,24000,26000,27000,28000,29000,30000,32000,33000,35000,37000,38000,39000,41000,42000,43000,44000,44000,44900,45000,45600,47000,47000,47100,47300,49000,49500,49800,49900,50681,51998,51803,52264,52745,58059,57858,57788,57717.2,57746.8,57776.4,59071,61504,64642,67206,68023.11,67434.5,67831.6,70239,70420,70321,71930
British Virgin Islands,239,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Brunei Darussalam,26,Arable land,6621,Area (1000 Ha),11,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Bulgaria,27,Arable land,6621,Area (1000 Ha),11,4252,4154,4138,4180,4167,4166,4146,4154,4158,4142,4132,4128,4120,4098,3957,3940,3937,3926,3897,3827,3824,3818,3812,3807,3810,3819,3825,3840,3848,3856,3864,4047,4063,4001,3998,4203,4298,3536,3578,3526,3467,3355,3323,3313,3173,3099,3086,3082,3139,3183,3250
Burkina Faso,233,Arable land,6621,Area (1000 Ha),11,2124,2134,2144,2149,2159,2170,2180,2190,2202,2216,2200,2282,2353,2433,2506,2550,2600,2650,2700,2745,2790,2835,2875,2915,2955,3005,3070,3504,3540,3520,3495,3470,3435,3371,3390,3490,3850,3900,4000,3700,4600,4700,5100,4600,4900,4700,4900,6100,5700,6000,5700
Burundi,29,Arable land,6621,Area (1000 Ha),11,675,700,724,744,756,753,788,800,992,940,929,896,930,930,930,935,942,935,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,940,940,950,950,960,960,975,986,990,985,956,950,930,940,970,920,920
Cambodia,115,Arable land,6621,Area (1000 Ha),11,2838,2850,2850,2900,2900,2900,2902,2850,2750,2693,1800,1800,1800,1850,1850,1900,1900,1950,1950,2000,2000,2030,2040,2040,2300,2600,3000,3450,3685,3695,3700,3700,3716,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3800,3800,3900,3900,4000,4000
Cameroon,32,Arable land,6621,Area (1000 Ha),11,5000,5050,5100,5150,5200,5250,5300,5350,5400,5400,5450,5450,5450,5500,5550,5600,5666,5639,5898,5910,5910,5910,5910,5910,5910,5930,5930,5940,5940,5940,5950,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5963,5963,5963,5963,5963,6200,6200
Canada,33,Arable land,6621,Area (1000 Ha),11,40843,41224,41604,41984,42365,42745,42754,42762,42771,42779,42788,42895,43003,43111,43219,43327,43676,44025,44374,44723,45072,45106,45139,45173,45206,45239,45306,45372,45438,45504,45570,45562,45553,45545,45537,45529,45599,45669,45739,45810,45880,45726,45573,45419,45266,45112,44683,44254,43826,43397,42968
Cape Verde,35,Arable land,6621,Area (1000 Ha),11,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,40,40,41,41,41,41,41,42,42,44,44,44,44,46,47,47,47,47,47,47,47,47,47,47
Cayman Islands,36,Arable land,6621,Area (1000 Ha),11,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Central African Republic,37,Arable land,6621,Area (1000 Ha),11,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1870,1880,1890,1900,1900,1920,1920,1920,1920,1920,1920,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1910,1930,1930,1930,1930,1930,1950,1800,1800
Chad,39,Arable land,6621,Area (1000 Ha),11,2897,2897,2897,2897,2897,2897,2897,2897,2897,2897,2897,2897,2907,2917,2997,3095,3095,3143,3140,3137,3135,3132,3130,3127,3130,3180,3180,3203,3223,3273,3322,3342,3370,3390,3420,3400,3600,3600,3600,3600,3900,3700,3800,3800,4500,4450,4300,4300,4300,4500,4900
Channel Islands,259,Arable land,6621,Area (1000 Ha),11,4,4,4,4,4,4,4,4,4.1,4.1,4.1,4.1,4,4,4,4,4,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.5,3.7,3.9,3.9,3.7,3.6,3.6,3.7,3.8,3.6,3.4,3.7,4.1,4.26,4.36
Chile,40,Arable land,6621,Area (1000 Ha),11,3640,3660,3680,3700,3720,3740,3760,3780,3800,3902,3952,4002,4102,4152,4152,4198,4095,3992,3889,3836,3733,3580,3528,3475,3444,3354,3076,3059,3070,2802,2685,2440,2304,2276,2120,1985,1982,1979,1800,1750,1750,1650,1500,1500,1450,1350,1266,1304,1314,1271,1317
China,351,Arable land,6621,Area (1000 Ha),11,103397,103100,102903,102705,102458,102001,101514,101027,100562,100067,99634,99170,98697,99258,97786,97659,97521,97221,97235,96949,97549,97750,111251,111944,120835,120820,121613,122192,123286,123681,124170,124362,121911,121748,122069,121313,120127,121589,121035,120971,120034,118932,116664,122180.2,118347.2,118143.2,109335,108617,109999,111351.7,111598.5
Colombia,44,Arable land,6621,Area (1000 Ha),11,3532,3532,3550,3550,3560,3570,3570,3570,3572,3572,3573,3588,3604,3619,3635,3650,3666,3681,3697,3712,3728,3743,3759,3774,3790,3805,3824,3639,3472,3305,3038,3070,2923,2832,2399,2433,2539,2551,2536,2818,2434,2211,2264,2238,2026,1904.6,1998,1830,1775,1764,2098
Comoros,45,Arable land,6621,Area (1000 Ha),11,65,65,70,70,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,77,77,77,78,78,78,78,78,78,78,78,78,78,78,80,80,80,80,80,80,80,80,80,85,82,82
Congo,46,Arable land,6621,Area (1000 Ha),11,520,520,520,518,518,518,518,518,519,520,520,520,524,526,527,531,528,483,485,488,491,516,520,522,528,525,498,500,502,479,481,480,485,473,475,477,490,491,495,490,490,490,490,490,490,490,490,490,500,500,500
Cook Islands,47,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2
Costa Rica,48,Arable land,6621,Area (1000 Ha),11,285,285,285,285,285,285,285,285,285,285,285,285,283,283,283,283,283,283,283,283,283,283,283,283,285,285,285,280,260,260,260,250,230,230,220,210,210,210,220,210,210,200,210,210,200,200,200,200,230,250,250
Cote dIvoire,107,Arable land,6621,Area (1000 Ha),11,1680,1680,1680,1680,1680,1680,1700,1700,1700,1700,1700,1710,1740,1775,1815,1840,1880,1910,1925,1955,1970,1990,2034,2301,2380,2380,2400,2420,2420,2430,2450,2600,2902,3000,3000,3000,2900,2900,2800,2800,2800,2800,2700,2800,2800,2800,2900,2900,2900,2900,2900
Croatia,98,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,1062,1104,1117,986,983,1089,1068,842,853,858,864,847,873,881,852,860.7,868.3,904.4,896.7
Cuba,49,Arable land,6621,Area (1000 Ha),11,1450,1505,1592,1762,1620,1551,1693,1947,1943,2310,2277,2610,2784,2636,2870,3027,3031,3036,2979,2980,3000,3050,3100,3107,3168,3250,3330,3380,3401,3391,3435,3575,3630,3686,3684,3485,3628,3574,3610,3504,3549,3798,3752,3706,3672,3634,3573,3500,3550,3550,3550
Cyprus,50,Arable land,6621,Area (1000 Ha),11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,103,103,103,103,103,103,103,103,103,103,103,104,104,106,107,108,109,101,99,99,98,101,101,98,98,100,115,113,123,115,109.8,82.4,86.9,82.1,83.8
Czech Republic,167,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,3317,3301,3257,3250,3261,3256,3243,3236,3229,3223,3216,3209,3202,3195,3188,3180,3171,3164
Czechoslovakia,51,Arable land,6621,Area (1000 Ha),11,5330,5321,5319,4932,5283,5265,5251,5238,5225,5213,5205,5197,5184,5161,5126,5125,5126,5112,5079,5035,5036,5036,5035,5030,5018,5010,5000,4986,4976,4964,4851,4819,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,Arable land,6621,Area (1000 Ha),11,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2200,2200,2200,2200,2200,2200,2200,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2288,2300,2300,2300,2400,2400,2300,2300,2300,2300,2300,2300,2300,2300,2300,2350,2350,2350,2350,2300,2300,2300
Democratic Republic of the Congo,250,Arable land,6621,Area (1000 Ha),11,6400,6400,6400,6380,6360,6360,6370,6400,6420,6440,6470,6500,6520,6550,6545,6590,6610,6620,6600,6620,6650,6640,6650,6670,6700,6720,6700,6700,6700,6670,6680,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6750,6790,6800,6800
Denmark,54,Arable land,6621,Area (1000 Ha),11,2807,2773,2744,2726,2693,2686,2685,2694,2678,2661,2647,2651,2653,2641,2650,2657,2637,2643,2642,2639,2637,2630,2593,2612,2601,2594,2578,2560,2545,2561,2548,2539,2533,2365,2319,2322,2365,2366,2294,2281,2292,2276,2266,2269,2332,2347,2306,2402,2431,2421,2499
Djibouti,72,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1.3,1,2,2,2
Dominica,55,Arable land,6621,Area (1000 Ha),11,7,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,3,3,3,3,4,5,5,5,5,5,5,5,5,5,6,6,6
Dominican Republic,56,Arable land,6621,Area (1000 Ha),11,720,730,740,750,760,770,780,780,815,820,826,850,865,885,915,960,990,1015,1040,1070,1075,1075,1075,1075,1075,1075,991,991,995,900,900,900,900,900,900,900,860,870,850,868,868,868,820,820,820,820,820,800,800,800,800
Ecuador,58,Arable land,6621,Area (1000 Ha),11,1705,1705,1710,1710,1715,1715,1720,1715,1720,1725,1730,1735,1740,1753,1720,1680,1650,1610,1580,1542,1600,1552,1560,1575,1590,1605,1616,1625,1583,1604,1644,1633,1569,1621,1574,1607,1609,1602,1610,1616,1500,1360,1299,1277,1296,1233,1195,1236,1199.4,1186.4,1155.7
Egypt,59,Arable land,6621,Area (1000 Ha),11,2499,2433,2413,2422,2582,2683,2694,2687,2725,2725,2735,2725,2723,2707,2691,2596,2499,2395,2304,2286,2307,2305,2308,2310,2305,2318,2288,2310,2296,2284,2267,2519,2847,2846,2817,2820,2834,2834,2994,2801,2861,2936,2906,2965,2563,2605,2564,2642,2884,2873,2870
El Salvador,60,Arable land,6621,Area (1000 Ha),11,488,488,488,485,480,470,460,458,455,450,488,488,488,488,488,475,475,515,560,558,516,479,470,480,500,520,520,540,540,550,565,588,586,584,582,565,565,600,631,650,700,690,681,694,702,604,630,686,677,662.34,665
Equatorial Guinea,61,Arable land,6621,Area (1000 Ha),11,110,115,120,121,121,125,125,125,125,125,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,131,132,130,130
Eritrea,178,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,437,438,369,391,498,498,560,562,562,597,598,620,670,670,670,690,690,690
Estonia,63,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,1066,949,874,884,888,887,859,843,677,613,545,518,591,558,598,598,596,645,632
Ethiopia,238,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,9932,9940,9927,9900,9950,10000,10000,10712,9600,10928,10928,12364,12923,13396,14038,13606,13948,14565
Ethiopia PDR,62,Arable land,6621,Area (1000 Ha),11,11000,11459,11631,11631,11995,12070,12150,12250,12530,12530,12770,13000,13000,13000,13000,13000,13030,13060,13105,13000,12800,12600,12400,12000,11850,11600,11300,11100,10900,10750,10650,10650,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),65,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,64,Arable land,6621,Area (1000 Ha),11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Fiji,66,Arable land,6621,Area (1000 Ha),11,89,89,86,86,81,81,79,67,67,67,67,70,70,70,75,80,85,90,90,90,95,100,105,110,120,120,130,140,150,160,171,180,180,180,180,180,180,170,170,170,170,170,170,170,170,170,169,169,167.6,167.6,167.6
Finland,67,Arable land,6621,Area (1000 Ha),11,2674,2674,2674,2674,2674,2674,2674,2649,2599,2573,2549,2529,2498,2478,2451,2448,2428,2398,2378,2369,2353,2325,2312,2291,2272,2257,2288,2245,2257,2269,2296,2280,2272,2296,2138,2118,2153,2194,2172,2183,2188,2200,2210,2219,2235,2259,2255,2257,2257,2253,2249
France,68,Arable land,6621,Area (1000 Ha),11,19606,19530,19455,19078,18796,18463,18076,17579,17565,17417,17056,17027,17096,17278,17333,17131,17265,17353,17401,17472,17526,17651,17669,17809,17923,17998,18167,17813,17908,17999,18028,18046,18255,18316,18310,18288,18320,18345,18362,18440,18447,18449,18459,18461,18517,18482,18433,18337,18345.6,18370,18370
French Guiana,69,Arable land,6621,Area (1000 Ha),11,3,4,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,6,9,10,10,10,11,11,10,10,10,10,8,12,12,12,12,12,12,12.7,12.1,11.8,11.5,11.5,11.9
French Polynesia,70,Arable land,6621,Area (1000 Ha),11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5
Gabon,74,Arable land,6621,Area (1000 Ha),11,90,100,110,120,130,140,150,160,170,180,190,200,210,220,232,258,273,287,288,290,290,290,290,290,290,290,290,290,290,295,295,295,295,295,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
Gambia,75,Arable land,6621,Area (1000 Ha),11,121,122,123,124,125,126,128,128,130,130,133,138,143,170,164,163,170,177,166,159,181,202,183,169,169,177,184,199,181,187,196,162,161,180,185,190,205,200,240,280,320,280,310,315,330,293,303,372,428,450,450
Georgia,73,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,795,795,771,781,785,792,790,793,795,799,802,472,489,479.9,472.6,468.3,467,413.5,414
Germany,79,Arable land,6621,Area (1000 Ha),11,12220,12185,12165,12161,12153,12155,12049,12032,12001,11952,11965,12004,11990,12020,12041,12087,12071,12086,12057,12030,12004,11975,11967,11952,11957,11960,11945,11948,11949,11971,11559,11467,11676,11805,11835,11835,11832,11879,11822,11804,11813,11791,11827,11898,11904,11866,11877,11932,11945,11846,11875
Ghana,81,Arable land,6621,Area (1000 Ha),11,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1800,1800,1800,1900,1900,1900,1900,2100,2100,2300,2400,2400,2500,2600,2600,2700,2800,2800,2800,2800,3000,3200,3600,3800,3850,3950,4060,4181,4185,4000,4000,4200,4300,4500,4650,4700,4800
Gibraltar,82,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,84,Arable land,6621,Area (1000 Ha),11,2794,2863,3057,3001,2991,2995,3020,3053,3017,3010,2991,2985,2957,2948,2908,2888,2868,2923,2929,2903,2925,2928,2900,2922,2890,2879,2870,2863,2893,2899,2867,2864,2839,2836,2821,2810,2789,2784,2762,2741,2720,2717,2035.1,2629,2058,2584,2118.6,2571.4,2550.8,2500,2500
Greenland,85,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Grenada,86,Arable land,6621,Area (1000 Ha),11,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,3,3
Guadeloupe,87,Arable land,6621,Area (1000 Ha),11,36,36,36,36,36,36,36,36,36,38,38,38,37,31,31,32,31,31,30,30,29,25,23,23,22,22,22,21,23,21,23,23,23,21,21,19,18,19,18,19,19,19,20,19,19,21,21.2,21.1,21,20.5,17.9
Guam,88,Arable land,6621,Area (1000 Ha),11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
Guatemala,89,Arable land,6621,Area (1000 Ha),11,1100,1100,1100,1100,1100,1100,1110,1110,1100,1100,1100,1120,1150,1170,1170,1200,1250,1250,1249,1270,1275,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1324,1354,1355,1361,1370,1380,1390,1395,1405,1425,1938,1600,1400,1506,1576,1325,1500,1500,1500
Guinea,90,Arable land,6621,Area (1000 Ha),11,3520,3519,3495,3471,3448,3424,3400,3376,3352,3329,3305,3281,3257,3234,3210,3186,3162,3138,3115,3091,3067,3043,3019,2996,2972,2948,2924,2901,2877,2853,2829,2805,2782,2758,2734,2617,2500,2385,2200,2149,2200,2390,2475,2550,2741,2750,2800,2850,2850,2850,2850
Guinea-Bissau,175,Arable land,6621,Area (1000 Ha),11,235,235,235,235,235,235,245,245,245,245,245,245,250,255,255,255,255,255,255,255,257,270,280,285,290,250,240,230,240,250,250,250,270,280,280,270,270,260,280,300,300,280,270,280,280,280,280,280,280,300,300
