# File: FAO_For_Imp_m3_FORESTAT.csv
# Title: NA
# Units: NA
countries,country codes,item,item codes,element,element codes,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,22,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445,622,843,433,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022
Australia,10,Roundwood + (Total),1861,Import Quantity (m3),61,107600,151800,130500,164400,97300,126600,122000,115600,130500,120500,97600,98000,103500,41000,47100,22500,22000,17500,600,400,1300,1400,700,600,1100,1000,900,5700,2725,1449,10583,4494,3600,2100,1800,1600,4100,1700,3100,1200,2200,2200,2200,1200,1700,1700,733,3200,2150,2200
Austria,11,Roundwood + (Total),1861,Import Quantity (m3),61,566300,927400,923900,970600,732900,946500,1146500,1144500,2028700,1677400,1635400,2753800,3327600,2248800,2429600,2454700,2407100,3220400,3756000,3075400,3206800,3099000,2942400,4132400,3693800,4436000,4325500,3878100,4587609,6400486,4983929,4786453,5090000,4998000,4747000,5433000,5237000,7210000,8590000,7666000,7452000,7694000,9069000,8901000,9428000,8983000,7817000,8599710,8651751,8252239
Azerbaijan,52,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,1600,6000,3100,1460,1100,1000,1439,8106,6400,4091,20854,5440,3954,7551,10700,10700
Bahamas,12,Roundwood + (Total),1861,Import Quantity (m3),61,100,,100,200,100,100,100,15000,11500,11500,2900,2700,2900,4200,1400,2300,2300,2300,2300,3400,100,100,100,100,300,300,11700,14400,25888,49960,22208,25647,21231,32800,13400,17900,11500,8400,17300,11700,9657,27541,67327,67327,24932,28370,24232,12799,7246,17496
Bahrain,13,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,1000,1200,1400,400,400,400,400,500,2500,11600,45500,56300,72000,72000,72000,32000,30000,30000,30000,30000,1984,1227,873,372,1773,1870,600,600,0,0,0,0,71,726,906,954,401,883,2592,1468,4550,4579
Bangladesh,16,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,100500,24000,38100,50000,60000,3429,3379,18637,,99,10046,16806,7000,76700,4900,4900,3700,123633,194226,343783,3156,34,407,722,515,17486,6944
Barbados,14,Roundwood + (Total),1861,Import Quantity (m3),61,2300,6400,4500,3900,4700,2200,1600,1600,1100,2300,1600,2700,2700,2700,1800,2100,2100,800,1000,2600,500,900,3200,500,500,500,500,700,4194,2894,172,,1811,954,1200,2700,2500,3000,3000,3100,3470,4815,8042,8042,8006,9500,2138,1312,1189,1017
Belarus,57,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,85,,,47,0,60400,150300,105300,106548,131300,76504,76504,76504,76504,76504,76504,5455,35410,35410
Belgium,255,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024000,4545440,2688133,2691904,2898085,3207000,3330248,4145343,3712527,3098601,4254764,4433476
Belgium-Luxembourg,15,Roundwood + (Total),1861,Import Quantity (m3),61,895900,894600,1149700,1059100,1098400,1189400,1208900,1825500,1943900,2477300,2219600,2867400,3107600,1629800,2529400,2692700,2597000,2698100,2938000,2815700,3148100,2938000,3021800,3352700,3252300,3292500,3341200,3434200,2191330,2510466,2329230,2510100,3514500,3249500,2472400,2878400,2878400,3868000,,,,,,,,,,,,
Belize,23,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,100,,,,,,,,100,300,400,,,,,,,,,0,,,976,68,644,,154,0,0,0,67,128,519,700,643,9089,3476,3476,1824,3776,3608,902,7267,12457
Benin,53,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8675,5801,48001,48001,48001,66001,66001,15001,15001,16,165,45,45,45,78
Bhutan,18,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,175,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2158,2158
Bolivia (Plurinational State of),19,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9772,652,137,,0,0,100,100,3000,1000,1200,856,798,1200,1360,2300,5618,7258,1761,1888,7415,8167
Bosnia and Herzegovina,80,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1481,7,7,7,2264,0,0,0,0,0,0,13387,53634,53634,30371,153150,54320,112020,112020
Botswana,20,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,400,300,300,200,400,400,400,400,400,400,400,400,400,400,400,400,400
Brazil,21,Roundwood + (Total),1861,Import Quantity (m3),61,12600,10900,500,2000,100,,,200,6000,26600,69400,81800,93700,97000,50600,46100,84400,58100,44700,31100,31000,26500,45400,55800,64000,55400,25900,40000,4287,5679,8871,8245,9900,11200,5300,11000,31000,16400,25640,90034,16480,19157,14005,12464,16490,8000,18832,25932,26084,28822
British Virgin Islands,239,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,347,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
Brunei Darussalam,26,Roundwood + (Total),1861,Import Quantity (m3),61,,,400,500,1100,300,600,400,,,1300,100,200,,,,,,,,,,,,,0,,,1503,455,672,,1154,1717,700,700,327,1704,189,257,121,1544,259,259,259,324,266,292,244,244
Bulgaria,27,Roundwood + (Total),1861,Import Quantity (m3),61,87400,48000,38700,64500,163200,341000,425500,357500,435700,428900,376000,394500,379700,394000,369100,407200,404100,219000,321700,330700,319200,381900,374600,279200,405800,336500,223500,134800,,711,130922,210,1900,1900,2500,1000,0,51000,105000,124068,71000,71000,78000,48037,52211,135536,205489,44829,39815,60132
Burkina Faso,233,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8,4,,,0,29,29,29,8,8,8,8,0,0,3404,3404,3404,3404,1559,57,138,407
Burundi,29,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,234,235,1464,44,635,341,341
Cambodia,115,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1452,5,0,0,61,184,10,60
Cameroon,32,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,0,0,0,0,0,0,437,75,9,9,0,0,5842,4319,5821,625,752,752
Canada,33,Roundwood + (Total),1861,Import Quantity (m3),61,1463200,1395600,1742200,2030400,1673900,1989100,2070300,2000500,2116600,2291400,3328900,3316800,3450400,2918400,3136600,2742200,3045500,3730300,2998800,2677800,2529700,3193800,3835000,4400000,4747900,4758500,4977000,4650000,1548777,2281285,5151335,4468935,5315055,6623100,6156000,6775300,7011600,6201235,6539938,7594072,6995307,6653064,6027072,6345655,5877350,5172068,4739185,4728170,4839948,4257659
Cape Verde,35,Roundwood + (Total),1861,Import Quantity (m3),61,200,,1500,2100,1200,,,,,300,400,300,600,900,900,900,400,200,500,200,200,200,200,,,0,,,176,296,1200,764,3600,3600,1600,100,349,471,471,604,604,459,2921,2921,1952,2349,3910,8914,1859,1828
Cayman Islands,36,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140,8030,4004,1595,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
Central African Republic,37,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,39,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,184,184,1165,513,513,1404
Chile,40,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770,96,597,404,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,2998
China,351,Roundwood + (Total),1861,Import Quantity (m3),61,1176600,1533200,1755900,2625900,2569000,1093900,1540000,1578200,1995600,2785700,4491100,4853900,4806100,4820800,5977600,7384200,8638500,8664700,8316200,8684000,9309900,12954900,13066100,14148400,12766700,12918300,13963900,11844714,7249807,8059028,8495021,5991205,6409241,6152339,5847800,6740598,6897731,12277194,15742895,18523231,25867001,26738649,27380324,30725712,33142479,38265922,31098264,28915903,35446680,43309960
Christmas Island,42,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos (Keeling) Islands,43,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,44,Roundwood + (Total),1861,Import Quantity (m3),61,500,200,1600,,,,,52600,47800,,,,,,,,,,,,,,,,,0,,,,179,6264,4317,6255,2387,2000,6700,11500,700,202,7,210,1776,1899,249,269,151,196,81,108,228
Comoros,45,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,412,412,412,412,193,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,46,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,72,873,0,0,0
Cook Islands,47,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,27,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,48,Roundwood + (Total),1861,Import Quantity (m3),61,,,400,100,200,4000,3700,900,200,300,700,500,1900,5400,4100,3100,6100,4000,4700,2500,1400,1100,1100,1100,1100,,,,207,,27,5055,15805,4900,4900,1100,1100,4800,4800,1266,1608,1000,3434,3711,3218,3218,1775,4607,3266,1581
Cote dIvoire,107,Roundwood + (Total),1861,Import Quantity (m3),61,100,400,200,200,200,800,500,700,200,200,200,200,200,200,,,,,,,,,,,,0,,,,140,,,0,0,0,0,0,84000,37000,37000,10000,10000,10000,10000,10000,0,115,1,1047,224
Croatia,98,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30184,20020,13600,88600,192200,278000,172200,139500,96000,98000,89000,95000,50000,63000,70000,50000,20000,11000,13000,15000
Cuba,49,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,6200,4900,4900,4900,4900,4900,4900,4900,4900,,,,,,30900,30400,11300,20700,20700,5700,,,,,,0,100,0,0,0,0,0,0,0,112,112,112,30438,12034,6362,16167,14765
Cyprus,50,Roundwood + (Total),1861,Import Quantity (m3),61,8100,3200,2600,3700,4700,3200,3300,5300,4600,4500,4200,1900,1100,5200,1900,3500,2300,4000,3500,5000,2500,6000,9200,10500,8100,26600,26600,26600,4050,4149,2968,2618,4600,3500,2900,13500,0,0,2110,3100,2280,781,777,493,787,698,520,944,594,611
Czech Republic,167,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257826,274000,334000,217100,504000,784000,817000,954000,976000,994000,597000,707000,1162000,1273000,884000,780321,569000,1049000,1830050
Czechoslovakia,51,Roundwood + (Total),1861,Import Quantity (m3),61,86700,97200,84600,85300,78400,80000,68300,64000,72800,76400,84500,91000,89000,88000,104000,90000,76000,83000,83000,85000,80000,73000,80000,78000,114400,154600,154600,92300,95239,324121,356900,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,2000,1300,1500,1500,1500,1500,1500,1500,1500,20700,20700,20700,20700,70600,70600,70600,70600,,,,,,286,,,3969,8954,1852,1221,38633,11200,11200,11200,0,0,0,0,0,0,51987,45756,25780,20644,3112
Democratic Republic of the Congo,250,Roundwood + (Total),1861,Import Quantity (m3),61,19300,7100,6000,300,,,,,,,2600,,,,500,300,,,,,,,,,,0,,,,11,30,,0,326,326,0,0,0,0,0,100,46,122,122,920,1764,9196,17843,3916,1532
Denmark,54,Roundwood + (Total),1861,Import Quantity (m3),61,155500,184100,190200,192700,190000,179100,174900,153800,161800,145300,173200,344700,324900,129600,123800,131351,58500,60700,105400,74100,103100,118900,177700,280300,340300,232800,230700,282500,286536,319306,364276,221877,484400,680500,524000,977600,804000,753000,637000,533000,596459,870374,782809,771072,617090,788998,547745,517906,829611,828654
Djibouti,72,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291,515,,59,59,50,450,450,65,3450,3461,41,74,183,850,850,902,273,3171,712,1439,1388
Dominica,55,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,300,500,100,200,100,400,700,700,600,3454,1539,,,0,627,786,8100,7725,1492,425,200,254,546,1376,1376,1118,1384,1056,477,954,781
Dominican Republic,56,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,61000,45400,38200,42100,27300,30300,40500,40500,40500,17500,2375,962,3925,1007,12699,11246,8200,5400,14000,9200,9200,9200,9200,9200,12673,12673,16672,5638,5195,7096,7364,40217
Ecuador,58,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,30,0,0,0,0,77000,88000,0,300,922,176,690,0,0,0,258,68,114,114
Egypt,59,Roundwood + (Total),1861,Import Quantity (m3),61,60900,45900,78000,65500,97900,62500,18800,34800,38700,32100,56100,60200,51100,88700,93800,119200,80900,57500,100000,181100,227700,287600,251300,345900,159300,200100,200100,116700,70380,96321,102479,40157,169800,131400,119600,214800,176900,218900,184300,144098,129091,104474,186062,122539,97224,120773,173972,158120,144710,136021
El Salvador,60,Roundwood + (Total),1861,Import Quantity (m3),61,1100,800,1100,1700,3600,300,400,300,,,2300,2300,2200,400,200,300,300,300,300,300,,,,,100,200,100,,2992,41,31,3383,6000,1303,1103,2600,4495,800,800,7900,4000,20272,1751,579,2344,246,478,433,659,659
Equatorial Guinea,61,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418
Eritrea,178,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4429,4429,6444,1289,1363,1363,260,50
Estonia,63,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,3055,47200,118000,113200,298100,380244,346480,582890,639060,941109,1484365,1883926,1811022,1433953,568328,284792,336396,346599
Ethiopia,238,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,43,145,502,200,200,200,0,0,0,0,0,0,0,643,2469,5233,1233,4823
Ethiopia PDR,62,Roundwood + (Total),1861,Import Quantity (m3),61,,1300,,300,,,,,,,,,,,,,,,,,,,,,,0,,,,,552,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),65,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,3,168,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,64,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,598,456,85,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214
Fiji,66,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,1100,1000,100,100,100,100,,,,,,,,,0,,,,,,,,,,,,,,,16,23,98,243,1424,100,172,5,179,46
Finland,67,Roundwood + (Total),1861,Import Quantity (m3),61,545600,928500,1678200,2322800,1911100,1835600,2034000,2098200,2406000,2834400,2536600,4193000,4203000,4267000,4336000,3902300,3643000,3466000,3852000,3737100,4509000,5544000,6623000,5458600,4730600,5503000,5825000,6437500,5237074,4456030,5264283,5546759,6788500,9046000,6613800,6775000,9347100,10300773,10004597,11992921,12688494,13043674,13114524,16211820,14829207,13097525,13612281,4649790,6407984,5823297
France,68,Roundwood + (Total),1861,Import Quantity (m3),61,2152900,2131400,2539700,2246800,2333900,2387500,2413900,2960600,2887300,2526900,2663300,2845000,2996000,2473500,2846200,2525300,2266300,2417300,2539000,2023600,1783600,1617400,1497400,1462000,1329000,1242000,1213000,1083000,1350581,1853381,1845307,1333650,2025600,2350500,1576900,1797600,1996200,2175665,2043152,2008815,2019441,2281159,2213819,2393854,2645661,3229704,2393142,1542880,1733081,1512632
French Guiana,69,Roundwood + (Total),1861,Import Quantity (m3),61,,300,,,100,100,2100,800,300,300,300,,,,,,,600,,,,,,,,0,,,11,48,35,49,700,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714
French Polynesia,70,Roundwood + (Total),1861,Import Quantity (m3),61,200,200,200,,,,,,,,,,,,600,1300,1300,1300,1300,1300,1200,1100,1000,1300,1300,1300,1300,1300,701,3878,1198,2502,1017,1080,910,791,1525,1017,39,804,2508,11223,1919,1919,3557,4892,2601,1945,2594,2905
Gabon,74,Roundwood + (Total),1861,Import Quantity (m3),61,,,100,100,,,,,,,,,,,,,,,,,,,,,,0,,,,,21,,436,436,436,1300,500,0,0,0,0,0,0,0,0,0,0,0,0,47
Gambia,75,Roundwood + (Total),1861,Import Quantity (m3),61,800,900,400,,,,,,,,,,,,,,,,,,,,,,,0,,,11,7,284,200,46,46,0,245,175,0,224,224,490,759,759,759,116,116,116,69,926,759
Georgia,73,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0,2054,0,0,0,18,0,0,63,1,4410,16735,16735,16735,16735,16735
Germany,79,Roundwood + (Total),1861,Import Quantity (m3),61,5112300,5133500,5824400,5092600,4628200,3981400,4417700,5507700,5325700,4579600,4312600,4358200,3459000,3407000,3839800,3852200,3926800,3861700,3787400,3628100,3263600,3226700,3046000,3041300,2785100,2734000,2952700,2819400,2016000,1601493,1631845,1029031,1615000,1776000,1304000,1815000,2304000,2756000,3596000,3566000,2703000,2608000,2347000,3421000,4216283,5218000,6231000,4904877,8071435,7657024
Ghana,81,Roundwood + (Total),1861,Import Quantity (m3),61,,,100,,,,,,,,,,,,,,,,,,,,,,,0,,,801,281,,,0,0,0,0,0,0,0,0,0,0,65,65,65,487,23017,6751,18515,18242
Gibraltar,82,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,140,728,49,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
Greece,84,Roundwood + (Total),1861,Import Quantity (m3),61,46400,52500,77700,94400,122900,168100,211200,189500,194600,217000,259500,358800,276600,257700,290800,330900,356300,392000,362200,270700,146800,220900,201800,161900,299000,241100,307400,552900,268319,281549,251757,72430,23749,21500,23000,269200,500100,515000,445371,631894,459766,493283,650568,327835,284660,490330,490330,490330,490330,490330
Greenland,85,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,191,45,42,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892
Grenada,86,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066,3066,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,87,Roundwood + (Total),1861,Import Quantity (m3),61,200,500,,500,1000,1100,1100,,,,,,,,200,,,800,800,500,500,900,900,900,900,900,900,900,7792,5613,4565,4107,13177,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305
Guatemala,89,Roundwood + (Total),1861,Import Quantity (m3),61,,,100,,500,200,,,,,,,,,,,,2800,2800,2700,5000,5000,100,100,100,100,,,,2940,1883,3159,200,1200,3100,3100,1600,1000,1800,300,45,2434,11819,1216,79,60,839,27,174,174
Guinea,90,Roundwood + (Total),1861,Import Quantity (m3),61,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,0,,,186,262,593,,0,0,0,886,886,0,0,0,0,0,697,697,697,697,365,365,318,318
Guinea-Bissau,175,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,41,41,41
Guyana,91,Roundwood + (Total),1861,Import Quantity (m3),61,12100,10900,11000,17700,15800,15100,12100,10800,18500,12200,9100,8500,8500,8900,8200,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,1,1002,12,12,271,171,505,505
Haiti,93,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,200,,100,700,1400,2000,2500,3000,3500,4000,4500,5600,5600,5600,,,,,,,,0,,,39,573,,230,297,383,4145,4145,3300,300,1000,600,600,600,600,600,600,600,600,600,24193,10363
Honduras,95,Roundwood + (Total),1861,Import Quantity (m3),61,,,100,300,400,200,,,,,,,200,,,,,,,,,,,,,,,,,43,32,,0,22600,51600,0,0,0,0,0,300,10000,0,300,981,1691,4067,987,934,269
Hungary,97,Roundwood + (Total),1861,Import Quantity (m3),61,1628800,1661800,2123500,1977100,1824000,1705100,1677800,1767500,1682500,1849200,1588700,1926700,1965500,1702000,1636500,1851100,2031100,1489900,1562700,1567700,963100,1293200,1280000,1111300,1180600,1218400,1217400,1223400,212043,712550,32079,363106,141700,240000,218600,258600,320700,361200,353700,317000,332000,530000,589000,350000,357000,496000,290300,284109,509449,361134
Iceland,99,Roundwood + (Total),1861,Import Quantity (m3),61,7200,7000,9800,5700,5400,4400,3000,2500,3500,4300,4200,4700,7000,9400,7900,12900,5500,10500,18500,30300,13500,6800,2400,1600,1900,1800,1800,1200,533,1216,2783,3924,3176,2550,2500,3200,3667,3817,3817,100,752,978,825,604,1484,1417,1590,1590,197,155
India,100,Roundwood + (Total),1861,Import Quantity (m3),61,12500,9800,18100,32100,44800,34500,17900,11200,4700,5300,5300,13200,11500,5900,11200,7900,7900,41800,41800,22500,27200,27200,27200,27200,406400,867400,1037400,902400,1342008,772606,726419,272463,284651,355580,893600,1052400,1761300,2108600,2241500,2505200,2144000,3482250,3787136,3796868,3687376,4733786,4805532,5985001,6099716,6326288
Indonesia,101,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,106700,,,,,,,,,,,,0,6000,10000,61226,31212,67948,59416,89086,145100,127900,119000,165000,322000,186700,116000,106491,103753,75606,179836,72477,125961,112941,47541,110865,68660
Iran (Islamic Republic of),102,Roundwood + (Total),1861,Import Quantity (m3),61,4300,4300,9900,12900,5400,7400,15400,16600,30300,24200,27000,31400,20300,141800,166100,155000,155000,105700,105700,105700,105700,105700,105700,22000,17000,11100,100,4000,6846,54438,21213,121,7573,7299,8400,9457,9000,8400,8400,15180,36500,22683,14684,98013,98013,122751,107751,100751,18024,85872
Iraq,103,Roundwood + (Total),1861,Import Quantity (m3),61,,,200,200,,300,700,,,,,0,,,2200,,,,,,,,,,,0,,,43310,,,1825,537,537,537,181,0,26,35,300,300,300,1342,1342,1342,1342,1832,1353,1353,3845
Ireland,104,Roundwood + (Total),1861,Import Quantity (m3),61,17700,27900,32567,48500,25400,31400,30600,30900,23500,20400,31300,64000,47800,37100,33000,28900,32500,57100,27800,47000,28000,10400,15000,10200,12514,10292,16712,11034,30168,12504,18454,48245,63000,50000,3000,82000,112000,322000,107000,100020,142974,163585,194653,232911,208850,272000,330880,193809,121298,113445
Israel,105,Roundwood + (Total),1861,Import Quantity (m3),61,116800,122700,146100,130000,104700,116400,133100,151300,143600,168600,159700,150200,179000,120800,135100,119200,178000,208700,184000,146300,152600,152000,157200,142800,302170,284054,275240,244699,310696,297493,295371,200659,138682,89080,190466,131500,195500,216329,42697,21784,10737,7742,6603,12606,11407,11119,7691,6595,5375,5375
