# File: USDA_cost_data.csv,,,,,,,,,,,,,,,,,,,,,
# Title: USDA_cost_data,,,,,,,,,,,,,,,,,,,,,
# Units: varying,,,,,,,,,,,,,,,,,,,,,
# Description: Itemized costs and returns of crop production by crop; USA national averages,,,,,,,,,,,,,,,,,,,,,# Original source: http://www.ers.usda.gov/Data/CostsAndReturns/,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
Crop, Item,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Corn,Primary output,USD/acre,366.459,327.6,259.76,228.15,244.26,264.96,310.88,317.37,359.97,259.26,350.52,467.61,627.84,560.04,688.47,836.58,801.22,719.16,601.8
Corn,Secondary output,USD/acre,3.47,3.77,3.12,2.55,2.41,1.96,1.94,2.25,2.38,1.17,1.35,1.33,1.52,1.18,0.92,1.19,1.33,1.35,1.38
Corn,Total output,USD/acre,369.929,331.37,262.88,230.7,246.67,266.92,312.82,319.62,362.35,260.43,351.87,468.94,629.36,561.22,689.39,837.77,802.55,720.51,603.18
Barley,Total output,USD/acre,,,,,,,,172.726,169.381,144.014,143.91,189.75,302.698,306.468,250.881,363.642,423.528,418.39,365.562
Barley,Seed,USD/acre,,,,,,,,9.65,9.28,9.4,9.2,10.34,14.44,14.09,12.66,16.87,20.38,22.04,21.97
Barley,Fertilizer,USD/acre,,,,,,,,19.91,21.14,26.33,28.1,33.38,55.24,52.57,42.04,62.45,63.23,63.5,60.76
Barley,Chemicals,USD/acre,,,,,,,,12.42,12.42,12.63,13.14,13.11,13.83,15.26,14.78,18.33,19.67,20.13,20.46
Barley,Custom operations,USD/acre,,,,,,,,7.7,7.76,7.45,7.58,8.09,9.24,9.36,9.78,13.59,12.48,13.42,13.71
Barley,"Fuel, lube, and electricity",USD/acre,,,,,,,,11.36,13.23,17.53,19.39,22.84,29.27,19.58,26,37.48,33.31,34.56,34.2
Barley,Repairs,USD/acre,,,,,,,,15.13,15.47,16.24,16.58,17.52,18.04,18.41,19,30.39,30,31.01,31.44
Barley,Purchased irrigation water,USD/acre,,,,,,,,2.11,2.13,2.26,2.38,2.79,2.69,3.07,3.5,6.78,5.77,6.37,6.5
Barley,Interest on operating capital,USD/acre,,,,,,,,0.41,0.64,1.56,2.32,2.6,1.19,0.19,0.13,0.09,0.12,0.09,0.06
Barley,Total operating costs,USD/acre,,,,,,,,78.69,82.07,93.4,98.69,110.67,143.94,132.53,127.89,185.98,184.96,191.12,189.1
Barley,Hired labor,USD/acre,,,,,,,,3.18,3.26,3.34,3.46,3.89,3.94,4.06,4.43,8.36,7.36,7.97,7.99
Barley,Opportunity cost of unpaid labor,USD/acre,,,,,,,,21.47,22.02,22.56,23.38,24.9,25.52,26.41,27.58,25.72,25.53,26.85,27.26
Barley,Capital recovery of machinery and equipment,USD/acre,,,,,,,,65.07,67.23,74.55,78.43,82.55,90.14,95.74,99.64,99.2,103.17,106.7,110.43
Barley,Opportunity cost of land (rental rate),USD/acre,,,,,,,,47.29,47.29,47.29,46.32,61.47,66.16,80.64,88.28,71.86,73.75,83.02,85.39
Barley,Taxes and insurance,USD/acre,,,,,,,,6.6,6.7,7.88,8.29,9.56,10.78,10.35,10.64,8.63,8.71,8.88,9.03
Barley,General farm overhead,USD/acre,,,,,,,,8.59,8.78,9.25,9.58,10.03,10.26,10.47,10.81,17.62,16.78,17.5,17.7
Barley,Total allocated overhead,USD/acre,,,,,,,,152.2,155.28,164.87,169.46,192.4,206.8,227.67,241.38,231.39,235.3,250.92,257.8
Barley,Total costs listed,USD/acre,,,,,,,,230.89,237.35,258.27,268.15,303.07,350.74,360.2,369.27,417.37,420.26,442.04,446.9
Barley,Value of production less total costs listed,USD/acre,,,,,,,,-58.164,-67.969,-114.256,-124.24,-113.32,-48.042,-53.732,-118.389,-53.728,3.268,-23.65,-81.338
Barley,Value of production less operating costs,USD/acre,,,,,,,,94.036,87.311,50.614,45.22,79.08,158.758,173.938,122.991,177.662,238.568,227.27,176.462
Barley,Yield,bu/acre,,,,,,,,57.2,60.3,53.1,51,51.5,55.4,62.4,61.1,67.8,66.2,68,65.3
Barley,Price,USD/bu,,,,,,,,2.88,2.67,2.54,2.64,3.46,5.22,4.72,3.91,5.19,6.24,5.99,5.44
Barley,Enterprise size,acres,,,,,,,,219,219,219,219,219,219,219,219,174,174,174,174
Barley,Irrigated,percent,,,,,,,,80,80,80,80,80,80,80,80,67,67,67,67
Barley,Dryland,percent,,,,,,,,20,20,20,20,20,20,20,20,33,33,33,33
Wheat,Primary output,USD/acre,,,110.952,95.728,92.496,95.22,91.512,126.4837,136.912,126.483,136.784,196.35,324.618,221.6,215.175,276.36,332.004,275.801,237.636
Wheat,Secondary output,USD/acre,,,3.32,3.05,3.2,3.18,3.66,3.54,5.57,6.2,7.23,7.76,9.21,7.1,7.06,9.35,10.7,10.83,9.89
Wheat,Total output,USD/acre,,,114.272,98.778,95.696,98.4,95.172,130.0237,142.482,132.683,144.014,204.11,333.828,228.7,222.235,285.71,342.704,286.631,247.526
Wheat,Seed,USD/acre,,,7.61,6.38,6.14,6.34,6.65,7.6,7.89,8.06,8.46,9.77,16.02,13.99,11.07,13.39,15.33,16.06,15.82
Wheat,Fertilizer,USD/acre,,,18.61,16.95,17.28,23.9,17.71,23.11,22.84,26.16,28.44,32.69,52.51,43.36,32.56,44.32,46.08,46.15,43.63
Wheat,Chemicals,USD/acre,,,7.36,7.22,7.13,7.2,7.13,6.94,8.57,8.57,8.84,8.78,9.32,14.16,13.78,13.49,14.16,14.22,14.88
Wheat,Custom operations,USD/acre,,,6.77,6.47,6.5,6.37,5.67,7.19,6.77,6.6,6.71,6.79,7.86,9.41,9.42,9.96,10.13,10.59,10.83
Wheat,"Fuel, lube, and electricity",USD/acre,,,6.14,6.53,9.13,9.19,8.67,10.95,12.23,16.22,17.81,19.77,25.25,12.22,15.36,19.71,19.42,19.38,19.19
Wheat,Repairs,USD/acre,,,9,9.44,9.97,10.24,10.15,10.85,11.66,12.21,12.42,12.86,13.34,19.09,19.9,20.33,20.93,21.07,21.5
Wheat,Purchased irrigation water,USD/acre,,,0.58,0.57,0.59,0.62,0.61,0.68,0.31,0.3,0.33,0.33,0.35,0.53,0.59,0.63,0.59,0.62,0.62
Wheat,Interest on operating capital,USD/acre,,,1.34,1.26,1.64,1.08,0.48,0.36,0.55,1.33,2,2.04,1.03,0.16,0.1,0.06,0.08,0.06,0.04
Wheat,Total operating costs,USD/acre,,,57.41,54.82,58.38,64.94,57.07,67.68,70.82,79.45,85.01,93.03,125.68,112.92,102.78,121.89,126.72,128.15,126.51
Wheat,Hired labor,USD/acre,,,2.12,2.17,2.3,2.45,2.53,2.66,2.37,2.43,2.49,2.57,2.65,1.97,2.04,2.1,2.13,2.18,2.2
Wheat,Opportunity cost of unpaid labor,USD/acre,,,14.85,15.32,15.74,16,16.72,17.2,20.32,20.97,21.69,22.52,23.04,15.87,15.98,16.36,16.93,17.39,17.58
Wheat,Capital recovery of machinery and equipment,USD/acre,,,43,45.52,48.25,49.4,48.97,52.3,45.91,48.78,51.33,53.71,58.95,70.33,73.31,77.37,81.21,82.96,86.5
Wheat,Opportunity cost of land (rental rate),USD/acre,,,37.52,37.89,38.53,39.54,39.19,39.93,37.8,41.07,40.86,43.54,48.9,46.2,46.83,52.65,57.58,63.7,65.06
Wheat,Taxes and insurance,USD/acre,,,3.7,3.74,3.82,3.91,3.9,3.95,5.45,6.53,6.86,7.88,9.05,5.8,6.01,6.36,6.42,6.47,6.6
Wheat,General farm overhead,USD/acre,,,6.59,6.69,6.84,7.1,7.25,7.4,7.93,8.22,8.54,8.74,9.13,10.15,10.45,10.84,11.01,11.18,11.33
Wheat,Total allocated overhead,USD/acre,,,107.78,111.33,115.48,118.4,118.56,123.44,119.78,128,131.77,138.96,151.72,150.32,154.62,165.68,175.28,183.88,189.27
Wheat,Total costs listed,USD/acre,,,165.19,166.15,173.86,183.34,175.63,191.12,190.6,207.45,216.78,231.99,277.4,263.24,257.4,287.57,302,312.03,315.78
Wheat,Value of production less total costs listed,USD/acre,,,-50.918,-67.372,-78.164,-84.94,-80.458,-61.0963,-48.118,-74.767,-72.766,-27.88,56.428,-34.54,-35.165,-1.86,40.704,-25.399,-68.254
Wheat,Value of production less operating costs,USD/acre,,,56.862,43.958,37.316,33.46,38.102,62.3437,71.662,53.233,59.004,111.08,208.148,115.78,119.455,163.82,215.984,158.481,121.016
Wheat,Yield,bu/acre,,,41.4,38.6,37.6,34.5,27.9,40.67,39.8,39.9,33.2,37.4,41.3,40,45.3,37.6,43.8,38.9,36.9
Wheat,Price,USD/bu,,,2.68,2.48,2.46,2.76,3.28,3.11,3.44,3.17,4.12,5.25,7.86,5.54,4.75,7.35,7.58,7.09,6.44
Wheat,Enterprise size,acres,,,296,296,296,296,296,296,412,412,412,412,412,443,443,443,443,443,443
Wheat,Irrigated,percent,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Wheat,Dryland,percent,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Cotton,Primary output,USD/acre,,477.48,307.2,274.48,324.33,222.6,257.88,489.72,414.12,392.16,322.42,519.27,379.2,364.62,639.8788,475.7376,473.57,476.42,465.8
Cotton,Secondary output,USD/acre,,67.14,48.9,40.32,50.85,48.8,49.95,72,69.37,64.53,62.19,117.92,112.53,79.9176,100.94,112.2716,140.27,141,99.72
Cotton,Total output,USD/acre,,544.62,356.1,314.8,375.18,271.4,307.83,561.72,483.49,456.69,384.61,637.19,491.73,444.5376,740.8188,588.0092,613.84,617.42,565.52
Cotton,Seed,USD/acre,,17.63,17.87,18.35,30.1,37.82,47.99,37.19,45.91,53.39,61.69,60.34,64.78,73.17,80.98,96.61,98.6,100.74,100.82
Cotton,Fertilizer,USD/acre,,35.31,31.76,29.91,31.32,35.26,30.56,34.44,33.51053037,39.13,44.55,62.81,98.25,90.77,72.86,95.06,99.6,96.72,93.22
Cotton,Chemicals,USD/acre,,60.19,58.54,58.6,58.32,59.25,56.8,65.81,59.85,61.11,62.99,63.35,62.68,67.93,67.12,66.72,69.28,70.04,71.32
Cotton,Custom operations,USD/acre,,23.27,13.02,19.67,19.93,19.99,19.25,28.38,24.71,26.13,26.66,21.89,20.79,21.69,22.88,23.4,23.66,24.07,24.49
Cotton,"Fuel, lube, and electricity",USD/acre,,31.64,26.29,26.64,36.97,36.49,31.37,24.39,28.63,37.99,39,48.86,61.28,40.77,51.74,62.95,64.5,63.97,64.01
Cotton,Repairs,USD/acre,,25.39,27.32,26.28,27.18,28.53,29.1,20.95,20.85147808,21.84,22.52,32.75,33.44,33.92,34.84,35.86,36.89,36.83,37.6
Cotton,Ginning,USD/acre,,62.75,43.78,53.08,51.46,57.14,55.61,88.33,98.43,104.01,91.65,137.17,96.24,99.3,129.88,80.85,110.8,100.58,121.83
Cotton,Purchased irrigation water,USD/acre,,8.71,6.89,6.12,6.55,5.05,5.01,3.66,1.76,1.56,1.28,3.19,2.91,2.89,3.13,3.35,3.42,3.52,3.31
Cotton,Interest on operating capital,USD/acre,,6.57,5.4,5.61,7.55,4.71,2.31,1.14,1.7,4.1,6.12,6.5,3.26,0.62,0.47,0.23,0.25,0.22,0.16
Cotton,Total operating costs,USD/acre,,271.46,230.87,244.26,269.38,284.24,278,304.29,315.3520085,349.26,356.46,436.86,443.63,431.06,463.9,465.03,507,496.69,516.76
Cotton,Hired labor,USD/acre,,33.72,33.92,35.48,36.98,37.89,38.16,16.48,15.19,15.5910641,15.84400227,14.09,14.21,14.35,14.6,14.77,15.19,15.39,15.62
Cotton,Opportunity cost of unpaid labor,USD/acre,,28.03,28.76,29.27,29.9,30.28,32.73,33.86,33.75,34.33164654,35.31709123,24.32,25.62,26.29,26.3,26.68,27.63,28.61,29.08
Cotton,Capital recovery of machinery and equipment,USD/acre,,94.21,93.16,96.8,97.97,101.49,100.39,62.45,64.85,69.32785698,72.49719831,113.28,122.08,128.85,133.91,141.8,148.69,151.19,156.87
Cotton,Opportunity cost of land (rental rate),USD/acre,,58.33,46.04,51.84,51.68,43.83,46.76,52.7,47.71,50.40587329,48.92867586,54.78,56.93,64.43,67.95,73.59,82.01,86.56,89.52
Cotton,Taxes and insurance,USD/acre,,14.97,14.2,15.07,15.93,16.68,17.01,8.81,8.05,8.088103742,8.389509198,7.56,7.69,7.43,7.75,8.15,8.19,8.23,8.39
Cotton,General farm overhead,USD/acre,,15.55,14.21,15.35,15.82,16.11,15.97,18.15,16.61,17.22221564,17.63749828,15.5,15.53,15.64,16.29,16.79,17.18,17.15,17.41
Cotton,Total allocated overhead,USD/acre,,244.81,230.29,243.81,248.28,246.28,251.02,192.45,186.16,194.9667603,198.6139752,229.53,242.06,256.99,266.8,281.78,298.89,307.13,316.89
Cotton,Total costs listed,USD/acre,,516.27,461.16,488.07,517.66,530.52,529.02,496.74,501.5120085,544.2267603,555.0739752,666.39,685.69,688.05,730.7,746.81,805.89,803.82,833.65
Cotton,Value of production less total costs listed,USD/acre,,28.35,-105.06,-173.27,-142.48,-259.12,-221.19,64.98,-18.02200846,-87.53676028,-170.4639752,-29.2,-193.96,-243.5124,10.1188,-158.8008,-192.05,-186.4,-268.13
Cotton,Value of production less operating costs,USD/acre,,273.16,125.23,70.54,105.8,-12.84,29.83,257.43,168.1379915,107.43,28.15,200.33,48.1,13.4776,276.9188,122.9792,106.84,120.73,48.76
Cotton,Yield,lb/acre,,692,480,584,569,636,614,742,812,817,686,911,632,618,780.34,495.56,667,581,685
Cotton,Price,USD/lb,,0.69,0.64,0.47,0.57,0.35,0.42,0.66,0.51,0.48,0.47,0.57,0.6,0.59,0.82,0.96,0.71,0.82,0.68
Cotton,Yield (seed),lb/acre,,1119,815,1008,1017,1220,999,1200,1308.598418,1315.250611,1113.25,1474,1023,998.97,1261.75,801.94,1079,940,1108
Cotton,Price (seed),USD/lb,,0.06,0.06,0.04,0.05,0.04,0.05,0.06,0.053013583,0.04905959,0.055864973,0.08,0.11,0.08,0.08,0.14,0.13,0.15,0.09
Cotton,Enterprise size,acres,,472,472,472,472,472,472,740,740,740,740,687,687,687,687,687,687,687,687
Cotton,Irrigated,percent,,33,33,33,33,33,33,31,31,31,31,43,43,43,43,43,43,43,43
Cotton,Dryland,percent,,67,67,67,67,67,67,69,69,69,69,57,57,57,57,57,57,57,57
Soybeans,Primary output,USD/acre,,281.22,223.17,178,182.45,178.616,208,233.4704,253.456,264.5744,254.84,357.75,450.64,437.1,449.32,525.36,596.82,540.08,497.76
Soybeans,Total output,USD/acre,,281.22,223.17,178,182.45,178.616,208,233.4704,253.456,264.5744,254.84,357.75,450.64,437.1,449.32,525.36,596.82,540.08,497.76
Soybeans,Seed,USD/acre,,19.72,20.46,19.25,19.18,22.59,25.45,27.42,29.71,32.62,32.3,39.76716704,44.34941435,55.26,59.19990266,55.55,55.32,59.34,60.06
Soybeans,Fertilizer,USD/acre,,8,8,7.96,7.87,8.32,6.79,7.39,8.09,10.06,13.05,15.31,25.12,23.65,17.86641398,22.84,37.54,38.19,36.7
Soybeans,Soil conditioners,USD/acre,,0.1,0.1,0.1,0.14,0.11,0.11,0.12,0.13,0.13,,,,,,,,,
Soybeans,Manure,USD/acre,,0.86,0.8,0.79,0.84,1.09,0.4,0.46,0.48,0.6,,,,,,,,,
Soybeans,Chemicals,USD/acre,,26.37,26.65,24.88,22.32,22.89,17.12,16.92,16.07,13.59,14.46,15,15.73,17.38,17.04263436,16.42,26.38,28.18,28.62
Soybeans,Custom operations,USD/acre,,5.85,5.84,5.86,5.94,6.13,6.16,6.32,6.38,6.67,6.01,6.511323225,6.557777279,7.17,7.231442417,7.18,9.41,9.96,10.25
Soybeans,"Fuel, lube, and electricity",USD/acre,,7.14,5.97,5.9,8.6,8.69,6.98,8.73,9.44,13.62,13.51,15.22582347,20.2,13.48,16.81064257,20.98,21.24,21.57,21.58
Soybeans,Repairs,USD/acre,,9.4,9.59,9.79,10.17,10.59,9.76,9.77,10.7,11.29,11.8,12.36037957,12.91125784,13.22,13.45542903,13.68,22.23,22.78,23.33
Soybeans,Purchased irrigation water,USD/acre,,0.05,0.05,0.05,0.06,0.06,0.12,0.12,0.13,0.13,0.11,0.111361814,0.120254364,0.14,0.155356381,0.15,0.06,0.06,0.06
Soybeans,Interest on operating capital,USD/acre,,1.98,1.86,1.75,2.16,1.36,0.61,0.41,0.64,1.5,2.17,2.34,2.8,0.19,0.131761821,0.07,0.11,0.08,0.05
Soybeans,Total operating costs,USD/acre,,79.47,79.32,76.33,77.28,81.83,73.5,77.66,81.77,90.21,93.41,106.6260551,127.7887038,130.49,131.8935832,136.87,172.29,180.16,180.65
Soybeans,Hired labor,USD/acre,,1.94,1.98,2.01,2.03,2.04,1.84,1.9,2.04,2.03,1.78,1.932854868,2.072530133,2.14,2.114472586,2.07,2.81,3.05,3.1
Soybeans,Opportunity cost of unpaid labor,USD/acre,,17.63,18.11,18.46,19.49,20.17,15.59,16.11,16.12,16.77,15.2,16.15978821,16.77428142,17.19,17.32532095,17.09,16.76,17.7,18.07
Soybeans,Capital recovery of machinery and equipment,USD/acre,,49.61,50.66,51.58,53.61,55.75,43.3,43.43,47.49,50.17,60.38,64.59255828,70.9832725,75.54,78.18267228,81.34,81.16,84.63,88.19
Soybeans,Opportunity cost of land (rental rate),USD/acre,,76.74,77.66,79.74,80.12,81.98,80.74,81.93,83.88,86.68,86.17,85.1400021,93.13857649,107.4993383,110.3,120.64,137.55,153.97,158.43
Soybeans,Taxes and insurance,USD/acre,,6.76,6.89,6.77,7.01,7.14,5.66,5.8,5.85,6.06,7.93,8.709581976,9.644791452,10.84,9.413776394,9.93,9.58,9.97,10.17
Soybeans,General farm overhead,USD/acre,,13.68,12.94,14.13,14.56,15.17,11.37,11.66,11.86,12.47,13.22,13.88605467,14.28728131,14.57,14.85873317,15.1,17.44,17.96,18.32
Soybeans,Total allocated overhead,USD/acre,,166.36,168.24,172.69,176.82,182.25,158.5,160.83,167.24,174.18,184.68,190.4208401,206.9007333,227.7793383,232.1949754,246.17,265.3,287.28,296.28
Soybeans,Total costs listed,USD/acre,,245.83,247.56,249.02,254.1,264.08,232,238.49,249.01,264.39,278.09,297.0468952,334.6894371,358.2693383,364.0885586,383.04,437.59,467.44,476.93
Soybeans,Value of production less total costs listed,USD/acre,,32.94,-24.39,-71.02,-71.65,-85.464,-24,-5.0196,4.446,0.1844,-23.25,60.70310479,115.9505629,78.83066174,85.23144142,142.32,159.23,72.64,20.83
Soybeans,Value of production less operating costs,USD/acre,,199.31,143.85,101.67,105.17,96.786,134.5,155.8104,171.686,174.3644,161.43,251.1239449,322.8512962,306.61,317.4264168,388.49,424.53,359.92,317.11
Soybeans,Yield,bu/acre,,43,43,40,41,43.04,40,35.59,45.26,46.58,46,45,43,47,47,44,42,43,48
Soybeans,Price,USD/bu,,6.54,5.19,4.45,4.45,4.15,5.2,6.56,5.6,5.68,5.54,7.95,10.48,9.3,9.56,11.94,14.21,12.56,10.37
Soybeans,Enterprise size,acres,,220,220,220,220,220,268,268,268,268,303,303,303,303,303,303,273,273,273
Soybeans,Irrigated,percent,,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,10,10,10
Soybeans,Dryland,percent,,95,95,95,95,95,91,91,91,91,91,91,91,91,91,91,90,90,90
Rice,Primary output,USD/acre,,,,,368.7684,328.6716,280.5599,449.694,602.3297,469.1421,620.64,779.76,1287.36,1072.26,795.746,1069.9388,1166.1,1395.23,1152.1
Rice,Total output,USD/acre,,,,,368.7684,328.6716,280.5599,449.694,602.3297,469.1421,620.64,779.76,1287.36,1072.26,795.746,1069.9388,1166.1,1395.23,1152.1
Rice,Seed,USD/acre,,,,,23.31,21.21,20.32,19.06,27.01,27.56,36.75,40.75,45.09,65.48,65.65,67.4,68.28,84.39,98.91
Rice,Fertilizer,USD/acre,,,,,46.66,59.12,43.47,54.32,58.45,70.1,60.49,66.96,110.8,103.94,79.2,107.25,112.45,138.82,135.4
Rice,Chemicals,USD/acre,,,,,49.25,49.44,55.4,59.02,57.43,56.95,65.96,66.16,68.68,75.89,73.65,74.92,78.19,102.41,100.36
Rice,Custom operations,USD/acre,,,,,68.69,65.59,67.58,69.38,71.68,70.71,41.9,45.5,44.91,48.11,48.03,53.34,53.13,65.65,60.69
Rice,"Fuel, lube, and electricity",USD/acre,,,,,57.84,69.25,60.66,73.78,78.23,110.15,95.9,105.6,138.96,92.2,115.42,143.93,142.76,106.07,109.58
Rice,Repairs,USD/acre,,,,,19.16,19.9,20.44,20.58,21.94,22.93,26.4,27.07,27.96,28.5,29.27,30.08,31.07,45.25,47.68
Rice,Purchased irrigation water,USD/acre,,,,,11.12,9.64,10.46,10.79,11.64,10.5,10.36,11.84,11.32,12.18,11.24,15.13,14.47,15.57,11.78
Rice,Commercial Drying,USD/acre,,,,,,,,,,,20.61,23.34,29.4,20.43,23.23,33.47,33.63,44.09,36.72
Rice,Interest on operating capital,USD/acre,,,,,7.77,4.96,2.34,1.62,2.57,6.22,8.11,8.74,3.31,0.62,0.42,0.25,0.34,0.27,0.18
Rice,Total operating costs,USD/acre,,,,,283.8,299.11,280.67,308.55,328.95,375.12,366.48,395.96,480.43,447.35,446.11,525.77,534.32,602.52,601.3
Rice,Hired labor,USD/acre,,,,,26.28,26.13,27.67,27.96,30.04,29.81,18.42,19.21,19.52,20.08,20.23,20.45,21.44,26.83,26.81
Rice,Opportunity cost of unpaid labor,USD/acre,,,,,43.55,43.9,46.93,47.24,47.87,48.08,41.23,43.34,44.4,45.42,44.95,48.1,49.18,66.62,66.21
Rice,Capital recovery of machinery and equipment,USD/acre,,,,,79.42,82.09,84.64,85.26,90.99,94.77,96.8,101.52,110.87,117.81,121.87,129.82,136.45,119.65,127.59
Rice,Opportunity cost of land (rental rate),USD/acre,,,,,108.04,104.29,107.21,105.08,113.11,113.37,118.31,117.16,126.6,147.33,146.9,173.74,192.73,158.54,150.15
Rice,Taxes and insurance,USD/acre,,,,,15.69,15.87,15.88,16.34,16.47,16.83,15.49,17.87,18.98,18.25,19.01,19.54,19.85,16.01,16.45
