# File: Various_ag_resbio_data.csv,,,,,
# Title: Various_ag_resbio_data,,,,,
# Units: Varied,,,,,
# Description: Residue biomass characteristics by crop type,,,,,
# Original source: see aglu data documentation,,,,,
item,HarvestIndex,ErosCtrl_tHa,ResEnergy_GJt,Root_Shoot,WaterContent
Strawberries,0.45,4.01,6.9,0.15,0.92
Sugar beet,0.4,1.028,6.9,0.43,0.85
Sugar cane,0.7,4.679,16.6,0.18,0.74
Sunflower seed,0.27,1.389,6.9,0.06,0.09
Sweet potatoes,0.53,0.616,6.9,0.15,0.8
"Tangerines, mandarins, clem.",0.91,0.011,17.3,0.15,0.8
Tea,1,0,0,0.15,0
"Tobacco, unmanufactured",0.6,0,6.9,0.8,0.2
Tomatoes,0.33,13.793,6.9,0.14,0.95
Vanilla,1,0,0,0.15,0
Vegetables fresh nes,1,0,6.9,0.15,0
"Walnuts, with shell",0.4,0.036,18.4,0.15,0.2
Watermelons,0.91,0.549,6.9,0.15,0.92
Wheat,0.39,2.96,16.2,0.2,0.13
Yams,0.53,0.458,6.9,0.15,0.8
