# File: Various_CarbonData_LTsage.csv
# Title: Assumed vegetation carbon content by land use type and AEZ
# Units: Listed in table
# Source: Listed in table
LT_SAGE,variable,value,unit,Source
Boreal Evergreen Forest/Woodland,veg_c,90,tC/ha,"Houghton 1999, Table 1, boreal forest"
Boreal Deciduous Forest/Woodland,veg_c,90,tC/ha,"Houghton 1999, Table 1, boreal forest"
Evergreen/Deciduous Mixed Forest/Woodland,veg_c,103,tC/ha,"1-12: King et al 1997, Table III, Cold deciduous forest with evergreens. 13-18: Olsen et al 1983, Table 2, Northern or Maritime Taiga"
Savanna,veg_c,25,tC/ha,"King et al 1997, Table III, tall/medium/short grassland with 10-40% woody cover"
Grassland/Steppe,veg_c,7,tC/ha,"1-6: Gibbs et al, 2008, Table S1 (online annex). 7-18: Assume increase from arid to moist. Moist from Houghton Latin America grassland."
Dense Shrubland,veg_c,19,tC/ha,"King et al 1997, Table III, Drought deciduous shrubland, sclerophyllous shrubland, evergreen broadleaved shrubland"
Open Shrubland,veg_c,9,tC/ha,"King et al 1997, Table III, Xeromorphic shrubland"
Tundra,veg_c,9,tC/ha,"King et al 1997, Table III, Arctic/alpine tundra, mossy bog"
Desert,veg_c,1,tC/ha,"King et al 1997, Table III, Desert"
Polar Desert/Rock/Ice,veg_c,0,tC/ha,no vegetation assumed
Pasture,veg_c,7,tC/ha,set equal to grassland/steppe
UrbanLand,veg_c,3,tC/ha,"Houghton 1999, Table 1, cultivated lands"
Cropland,veg_c,3,tC/ha,"Houghton 1999, Table 1, cultivated lands"
Tropical Evergreen Forest/Woodland,pasture_yield,6,tC/ha,Assuming grassland NPP
Tropical Deciduous Forest/Woodland,pasture_yield,6,tC/ha,Assuming grassland NPP
Temperate Broadleaf Evergreen Forest/Woodland,pasture_yield,6,tC/ha,Assuming grassland NPP
Temperate Needleleaf Evergreen Forest/Woodland,pasture_yield,6,tC/ha,Assuming grassland NPP
Temperate Deciduous Forest/Woodland,pasture_yield,6,tC/ha,Assuming grassland NPP
Boreal Evergreen Forest/Woodland,pasture_yield,3.5,tC/ha,"King et al 1997, Table III,meadow, short grassland, no woody cover"
Boreal Deciduous Forest/Woodland,pasture_yield,3.5,tC/ha,"King et al 1997, Table III,meadow, short grassland, no woody cover"
Evergreen/Deciduous Mixed Forest/Woodland,pasture_yield,6,tC/ha,Assuming grassland NPP
Savanna,pasture_yield,5,tC/ha,"King et al 1997, Table III, tall/medium/short grassland with 10-40% woody cover. Assuming 90% of NPP is forage"
Grassland/Steppe,pasture_yield,6,tC/ha,"King et al 1997, Table III, tall/medium/short grassland with < 10% woody cover"
Dense Shrubland,pasture_yield,2.8,tC/ha,"King et al 1997, Table III, Drought deciduous shrubland, sclerophyllous shrubland. Assuming 90% of NPP is forage"
Open Shrubland,pasture_yield,1.6,tC/ha,"King et al 1997, Table III, Xeromorphic shrubland. Assuming 2/3 of NPP is forage"
Tundra,pasture_yield,1,tC/ha,"King et al 1997, Table III, Arctic/alpine tundra, mossy bog. Assuming 2/3 of NPP is forage"
Desert,pasture_yield,0.1,tC/ha,Assuming a slight amount of available forage
Polar Desert/Rock/Ice,pasture_yield,0,tC/ha,Assuming these are not pastures
