INPUT_TABLE
Variable ID
LN1_Delete

region,LandAllocatorRoot,LandNode1,AEZ
USA,root,TundraAEZ04,AEZ04
Canada,root,TundraAEZ04,AEZ04
Japan,root,TundraAEZ04,AEZ04
Former Soviet Union,root,TundraAEZ04,AEZ04
Middle East,root,TundraAEZ04,AEZ04
Eastern Europe,root,TundraAEZ04,AEZ04
Korea,root,TundraAEZ04,AEZ04
USA,root,UrbanLandAEZ04,AEZ04
Canada,root,UrbanLandAEZ04,AEZ04
Japan,root,UrbanLandAEZ04,AEZ04
Former Soviet Union,root,UrbanLandAEZ04,AEZ04
Middle East,root,UrbanLandAEZ04,AEZ04
Eastern Europe,root,UrbanLandAEZ04,AEZ04
Korea,root,UrbanLandAEZ04,AEZ04
USA,root,AgroForestLandAEZ05,AEZ05
Canada,root,AgroForestLandAEZ05,AEZ05
Western Europe,root,AgroForestLandAEZ05,AEZ05
Japan,root,AgroForestLandAEZ05,AEZ05
Former Soviet Union,root,AgroForestLandAEZ05,AEZ05
Middle East,root,AgroForestLandAEZ05,AEZ05
Eastern Europe,root,AgroForestLandAEZ05,AEZ05
Korea,root,AgroForestLandAEZ05,AEZ05
USA,root,RockIceDesertAEZ05,AEZ05
Canada,root,RockIceDesertAEZ05,AEZ05
Western Europe,root,RockIceDesertAEZ05,AEZ05
Japan,root,RockIceDesertAEZ05,AEZ05
Former Soviet Union,root,RockIceDesertAEZ05,AEZ05
Middle East,root,RockIceDesertAEZ05,AEZ05
Eastern Europe,root,RockIceDesertAEZ05,AEZ05
Korea,root,RockIceDesertAEZ05,AEZ05
USA,root,TundraAEZ05,AEZ05
Canada,root,TundraAEZ05,AEZ05
Western Europe,root,TundraAEZ05,AEZ05
Japan,root,TundraAEZ05,AEZ05
Former Soviet Union,root,TundraAEZ05,AEZ05
Middle East,root,TundraAEZ05,AEZ05
Eastern Europe,root,TundraAEZ05,AEZ05
Korea,root,TundraAEZ05,AEZ05
USA,root,UrbanLandAEZ05,AEZ05
Canada,root,UrbanLandAEZ05,AEZ05
Western Europe,root,UrbanLandAEZ05,AEZ05
Japan,root,UrbanLandAEZ05,AEZ05
Former Soviet Union,root,UrbanLandAEZ05,AEZ05
Middle East,root,UrbanLandAEZ05,AEZ05
Eastern Europe,root,UrbanLandAEZ05,AEZ05
Korea,root,UrbanLandAEZ05,AEZ05
USA,root,AgroForestLandAEZ06,AEZ06
Canada,root,AgroForestLandAEZ06,AEZ06
Western Europe,root,AgroForestLandAEZ06,AEZ06
Japan,root,AgroForestLandAEZ06,AEZ06
Former Soviet Union,root,AgroForestLandAEZ06,AEZ06
Middle East,root,AgroForestLandAEZ06,AEZ06
Eastern Europe,root,AgroForestLandAEZ06,AEZ06
Korea,root,AgroForestLandAEZ06,AEZ06
USA,root,RockIceDesertAEZ06,AEZ06
Canada,root,RockIceDesertAEZ06,AEZ06
Western Europe,root,RockIceDesertAEZ06,AEZ06
Japan,root,RockIceDesertAEZ06,AEZ06
Former Soviet Union,root,RockIceDesertAEZ06,AEZ06
Middle East,root,RockIceDesertAEZ06,AEZ06
Eastern Europe,root,RockIceDesertAEZ06,AEZ06
Korea,root,RockIceDesertAEZ06,AEZ06
USA,root,TundraAEZ06,AEZ06
Canada,root,TundraAEZ06,AEZ06
Western Europe,root,TundraAEZ06,AEZ06
Japan,root,TundraAEZ06,AEZ06
Former Soviet Union,root,TundraAEZ06,AEZ06
Middle East,root,TundraAEZ06,AEZ06
Eastern Europe,root,TundraAEZ06,AEZ06
Korea,root,TundraAEZ06,AEZ06
USA,root,UrbanLandAEZ06,AEZ06
Canada,root,UrbanLandAEZ06,AEZ06
Western Europe,root,UrbanLandAEZ06,AEZ06
Japan,root,UrbanLandAEZ06,AEZ06
Former Soviet Union,root,UrbanLandAEZ06,AEZ06
Middle East,root,UrbanLandAEZ06,AEZ06
Eastern Europe,root,UrbanLandAEZ06,AEZ06
Korea,root,UrbanLandAEZ06,AEZ06
Japan,root,AgroForestLandAEZ07,AEZ07
Eastern Europe,root,AgroForestLandAEZ07,AEZ07
Korea,root,AgroForestLandAEZ07,AEZ07
Japan,root,RockIceDesertAEZ07,AEZ07
Eastern Europe,root,RockIceDesertAEZ07,AEZ07
Korea,root,RockIceDesertAEZ07,AEZ07
Japan,root,TundraAEZ07,AEZ07
Eastern Europe,root,TundraAEZ07,AEZ07
Korea,root,TundraAEZ07,AEZ07
Japan,root,UrbanLandAEZ07,AEZ07
Eastern Europe,root,UrbanLandAEZ07,AEZ07
Korea,root,UrbanLandAEZ07,AEZ07
Japan,root,AgroForestLandAEZ08,AEZ08
Korea,root,AgroForestLandAEZ08,AEZ08
Japan,root,RockIceDesertAEZ08,AEZ08
Korea,root,RockIceDesertAEZ08,AEZ08
Japan,root,TundraAEZ08,AEZ08
Korea,root,TundraAEZ08,AEZ08
Japan,root,UrbanLandAEZ08,AEZ08
Korea,root,UrbanLandAEZ08,AEZ08
Korea,root,AgroForestLandAEZ09,AEZ09
Korea,root,RockIceDesertAEZ09,AEZ09
Korea,root,TundraAEZ09,AEZ09
Korea,root,UrbanLandAEZ09,AEZ09
Middle East,root,AgroForestLandAEZ11,AEZ11
Middle East,root,RockIceDesertAEZ11,AEZ11
Middle East,root,TundraAEZ11,AEZ11
Middle East,root,UrbanLandAEZ11,AEZ11
Canada,root,AgroForestLandAEZ12,AEZ12
Middle East,root,AgroForestLandAEZ12,AEZ12
Korea,root,AgroForestLandAEZ12,AEZ12
Canada,root,RockIceDesertAEZ12,AEZ12
Middle East,root,RockIceDesertAEZ12,AEZ12
Korea,root,RockIceDesertAEZ12,AEZ12
Canada,root,TundraAEZ12,AEZ12
Middle East,root,TundraAEZ12,AEZ12
Korea,root,TundraAEZ12,AEZ12
Canada,root,UrbanLandAEZ12,AEZ12
Middle East,root,UrbanLandAEZ12,AEZ12
Korea,root,UrbanLandAEZ12,AEZ12
Japan,root,AgroForestLandAEZ13,AEZ13
Australia_NZ,root,AgroForestLandAEZ13,AEZ13
Middle East,root,AgroForestLandAEZ13,AEZ13
Africa,root,AgroForestLandAEZ13,AEZ13
Eastern Europe,root,AgroForestLandAEZ13,AEZ13
Korea,root,AgroForestLandAEZ13,AEZ13
Japan,root,RockIceDesertAEZ13,AEZ13
Australia_NZ,root,RockIceDesertAEZ13,AEZ13
Middle East,root,RockIceDesertAEZ13,AEZ13
Africa,root,RockIceDesertAEZ13,AEZ13
Eastern Europe,root,RockIceDesertAEZ13,AEZ13
Korea,root,RockIceDesertAEZ13,AEZ13
Japan,root,TundraAEZ13,AEZ13
Australia_NZ,root,TundraAEZ13,AEZ13
Middle East,root,TundraAEZ13,AEZ13
Africa,root,TundraAEZ13,AEZ13
Eastern Europe,root,TundraAEZ13,AEZ13
Korea,root,TundraAEZ13,AEZ13
Japan,root,UrbanLandAEZ13,AEZ13
Australia_NZ,root,UrbanLandAEZ13,AEZ13
Middle East,root,UrbanLandAEZ13,AEZ13
Africa,root,UrbanLandAEZ13,AEZ13
Eastern Europe,root,UrbanLandAEZ13,AEZ13
Korea,root,UrbanLandAEZ13,AEZ13
Japan,root,AgroForestLandAEZ14,AEZ14
Australia_NZ,root,AgroForestLandAEZ14,AEZ14
Middle East,root,AgroForestLandAEZ14,AEZ14
Africa,root,AgroForestLandAEZ14,AEZ14
Eastern Europe,root,AgroForestLandAEZ14,AEZ14
Korea,root,AgroForestLandAEZ14,AEZ14
Japan,root,RockIceDesertAEZ14,AEZ14
Australia_NZ,root,RockIceDesertAEZ14,AEZ14
Middle East,root,RockIceDesertAEZ14,AEZ14
Africa,root,RockIceDesertAEZ14,AEZ14
Eastern Europe,root,RockIceDesertAEZ14,AEZ14
Korea,root,RockIceDesertAEZ14,AEZ14
Japan,root,TundraAEZ14,AEZ14
Australia_NZ,root,TundraAEZ14,AEZ14
Middle East,root,TundraAEZ14,AEZ14
Africa,root,TundraAEZ14,AEZ14
Eastern Europe,root,TundraAEZ14,AEZ14
Korea,root,TundraAEZ14,AEZ14
Japan,root,UrbanLandAEZ14,AEZ14
Australia_NZ,root,UrbanLandAEZ14,AEZ14
Middle East,root,UrbanLandAEZ14,AEZ14
Africa,root,UrbanLandAEZ14,AEZ14
Eastern Europe,root,UrbanLandAEZ14,AEZ14
Korea,root,UrbanLandAEZ14,AEZ14
Middle East,root,AgroForestLandAEZ15,AEZ15
Africa,root,AgroForestLandAEZ15,AEZ15
Korea,root,AgroForestLandAEZ15,AEZ15
Middle East,root,RockIceDesertAEZ15,AEZ15
Africa,root,RockIceDesertAEZ15,AEZ15
Korea,root,RockIceDesertAEZ15,AEZ15
Middle East,root,TundraAEZ15,AEZ15
Africa,root,TundraAEZ15,AEZ15
Korea,root,TundraAEZ15,AEZ15
Middle East,root,UrbanLandAEZ15,AEZ15
Africa,root,UrbanLandAEZ15,AEZ15
Korea,root,UrbanLandAEZ15,AEZ15
Japan,root,AgroForestLandAEZ16,AEZ16
Middle East,root,AgroForestLandAEZ16,AEZ16
Africa,root,AgroForestLandAEZ16,AEZ16
Korea,root,AgroForestLandAEZ16,AEZ16
Japan,root,RockIceDesertAEZ16,AEZ16
Middle East,root,RockIceDesertAEZ16,AEZ16
Africa,root,RockIceDesertAEZ16,AEZ16
Korea,root,RockIceDesertAEZ16,AEZ16
Japan,root,TundraAEZ16,AEZ16
Middle East,root,TundraAEZ16,AEZ16
Africa,root,TundraAEZ16,AEZ16
Korea,root,TundraAEZ16,AEZ16
Japan,root,UrbanLandAEZ16,AEZ16
Middle East,root,UrbanLandAEZ16,AEZ16
Africa,root,UrbanLandAEZ16,AEZ16
Korea,root,UrbanLandAEZ16,AEZ16
USA,root,AgroForestLandAEZ17,AEZ17
Canada,root,AgroForestLandAEZ17,AEZ17
Western Europe,root,AgroForestLandAEZ17,AEZ17
Japan,root,AgroForestLandAEZ17,AEZ17
Former Soviet Union,root,AgroForestLandAEZ17,AEZ17
Middle East,root,AgroForestLandAEZ17,AEZ17
Africa,root,AgroForestLandAEZ17,AEZ17
Southeast Asia,root,AgroForestLandAEZ17,AEZ17
Eastern Europe,root,AgroForestLandAEZ17,AEZ17
Korea,root,AgroForestLandAEZ17,AEZ17
India,root,AgroForestLandAEZ17,AEZ17
USA,root,RockIceDesertAEZ17,AEZ17
Canada,root,RockIceDesertAEZ17,AEZ17
Western Europe,root,RockIceDesertAEZ17,AEZ17
Japan,root,RockIceDesertAEZ17,AEZ17
Former Soviet Union,root,RockIceDesertAEZ17,AEZ17
Middle East,root,RockIceDesertAEZ17,AEZ17
Africa,root,RockIceDesertAEZ17,AEZ17
Southeast Asia,root,RockIceDesertAEZ17,AEZ17
Eastern Europe,root,RockIceDesertAEZ17,AEZ17
Korea,root,RockIceDesertAEZ17,AEZ17
India,root,RockIceDesertAEZ17,AEZ17
USA,root,TundraAEZ17,AEZ17
Canada,root,TundraAEZ17,AEZ17
Western Europe,root,TundraAEZ17,AEZ17
Japan,root,TundraAEZ17,AEZ17
Former Soviet Union,root,TundraAEZ17,AEZ17
Middle East,root,TundraAEZ17,AEZ17
Africa,root,TundraAEZ17,AEZ17
Southeast Asia,root,TundraAEZ17,AEZ17
Eastern Europe,root,TundraAEZ17,AEZ17
Korea,root,TundraAEZ17,AEZ17
India,root,TundraAEZ17,AEZ17
USA,root,UrbanLandAEZ17,AEZ17
Canada,root,UrbanLandAEZ17,AEZ17
Western Europe,root,UrbanLandAEZ17,AEZ17
Japan,root,UrbanLandAEZ17,AEZ17
Former Soviet Union,root,UrbanLandAEZ17,AEZ17
Middle East,root,UrbanLandAEZ17,AEZ17
Africa,root,UrbanLandAEZ17,AEZ17
Southeast Asia,root,UrbanLandAEZ17,AEZ17
Eastern Europe,root,UrbanLandAEZ17,AEZ17
Korea,root,UrbanLandAEZ17,AEZ17
India,root,UrbanLandAEZ17,AEZ17
USA,root,AgroForestLandAEZ18,AEZ18
Canada,root,AgroForestLandAEZ18,AEZ18
Western Europe,root,AgroForestLandAEZ18,AEZ18
Japan,root,AgroForestLandAEZ18,AEZ18
Australia_NZ,root,AgroForestLandAEZ18,AEZ18
Former Soviet Union,root,AgroForestLandAEZ18,AEZ18
China,root,AgroForestLandAEZ18,AEZ18
Middle East,root,AgroForestLandAEZ18,AEZ18
Africa,root,AgroForestLandAEZ18,AEZ18
Southeast Asia,root,AgroForestLandAEZ18,AEZ18
Eastern Europe,root,AgroForestLandAEZ18,AEZ18
Korea,root,AgroForestLandAEZ18,AEZ18
India,root,AgroForestLandAEZ18,AEZ18
USA,root,RockIceDesertAEZ18,AEZ18
Canada,root,RockIceDesertAEZ18,AEZ18
Western Europe,root,RockIceDesertAEZ18,AEZ18
Japan,root,RockIceDesertAEZ18,AEZ18
Australia_NZ,root,RockIceDesertAEZ18,AEZ18
Former Soviet Union,root,RockIceDesertAEZ18,AEZ18
China,root,RockIceDesertAEZ18,AEZ18
Middle East,root,RockIceDesertAEZ18,AEZ18
Africa,root,RockIceDesertAEZ18,AEZ18
Southeast Asia,root,RockIceDesertAEZ18,AEZ18
Eastern Europe,root,RockIceDesertAEZ18,AEZ18
Korea,root,RockIceDesertAEZ18,AEZ18
India,root,RockIceDesertAEZ18,AEZ18
USA,root,TundraAEZ18,AEZ18
Canada,root,TundraAEZ18,AEZ18
Western Europe,root,TundraAEZ18,AEZ18
Japan,root,TundraAEZ18,AEZ18
Australia_NZ,root,TundraAEZ18,AEZ18
Former Soviet Union,root,TundraAEZ18,AEZ18
China,root,TundraAEZ18,AEZ18
Middle East,root,TundraAEZ18,AEZ18
Africa,root,TundraAEZ18,AEZ18
Southeast Asia,root,TundraAEZ18,AEZ18
Eastern Europe,root,TundraAEZ18,AEZ18
Korea,root,TundraAEZ18,AEZ18
India,root,TundraAEZ18,AEZ18
USA,root,UrbanLandAEZ18,AEZ18
Canada,root,UrbanLandAEZ18,AEZ18
Western Europe,root,UrbanLandAEZ18,AEZ18
Japan,root,UrbanLandAEZ18,AEZ18
Australia_NZ,root,UrbanLandAEZ18,AEZ18
Former Soviet Union,root,UrbanLandAEZ18,AEZ18
China,root,UrbanLandAEZ18,AEZ18
Middle East,root,UrbanLandAEZ18,AEZ18
Africa,root,UrbanLandAEZ18,AEZ18
Southeast Asia,root,UrbanLandAEZ18,AEZ18
Eastern Europe,root,UrbanLandAEZ18,AEZ18
Korea,root,UrbanLandAEZ18,AEZ18
India,root,UrbanLandAEZ18,AEZ18
