Dairy Supply,,,,,,,,,,,,,,,,,,
Units and sector type,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,sectorType,,,,,,,,,,,,,
Japan,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
China,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
India,Dairy,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Efficiency: Mixed,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
7001,,,,minicam-energy-input,,,,,,,,,,,,,,
,,,,efficiency,,,,,,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,minicam-energy-input,,,,,
USA,Dairy,Mixed,Corn,0.30901,0.30901,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,Corn,,,,,
Canada,Dairy,Mixed,Corn,0.30003,0.30003,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,Corn,,,,,
Western Europe,Dairy,Mixed,Corn,0.29759,0.29759,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,Corn,,,,,
Japan,Dairy,Mixed,Corn,0.25571,0.25571,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,Corn,,,,,
Australia_NZ,Dairy,Mixed,Corn,0.42949,0.42949,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,Corn,,,,,
Former Soviet Union,Dairy,Mixed,Corn,0.22998,0.22998,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,Corn,,,,,
China,Dairy,Mixed,Corn,0.13182,0.13182,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,Corn,,,,,
Middle East,Dairy,Mixed,Corn,0.28158,0.28158,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,Corn,,,,,
Africa,Dairy,Mixed,Corn,0.11146,0.11146,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,Corn,,,,,
Latin America,Dairy,Mixed,Corn,0.15957,0.15957,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,Corn,,,,,
Southeast Asia,Dairy,Mixed,Corn,0.17413,0.17413,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,Corn,,,,,
Eastern Europe,Dairy,Mixed,Corn,0.28041,0.28041,0.29140,0.29140,0.29140,0.29140,0.29140,0.29140,0.29140,Corn,,,,,
Korea,Dairy,Mixed,Corn,0.33987,0.33987,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,Corn,,,,,
India,Dairy,Mixed,Corn,0.18762,0.18762,0.20470,0.20470,0.20470,0.20470,0.20470,0.20470,0.20470,Corn,,,,,
USA,Dairy,Mixed,FodderCrop,0.30901,0.30901,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,FodderCrop,,,,,
Canada,Dairy,Mixed,FodderCrop,0.30003,0.30003,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,FodderCrop,,,,,
Western Europe,Dairy,Mixed,FodderCrop,0.29759,0.29759,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,FodderCrop,,,,,
Japan,Dairy,Mixed,FodderCrop,0.25571,0.25571,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,FodderCrop,,,,,
Australia_NZ,Dairy,Mixed,FodderCrop,0.42949,0.42949,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,FodderCrop,,,,,
Former Soviet Union,Dairy,Mixed,FodderCrop,0.22998,0.22998,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,FodderCrop,,,,,
China,Dairy,Mixed,FodderCrop,0.13182,0.13182,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,FodderCrop,,,,,
Middle East,Dairy,Mixed,FodderCrop,0.28158,0.28158,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,FodderCrop,,,,,
Africa,Dairy,Mixed,FodderCrop,0.11146,0.11146,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,FodderCrop,,,,,
Latin America,Dairy,Mixed,FodderCrop,0.15957,0.15957,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,FodderCrop,,,,,
Southeast Asia,Dairy,Mixed,FodderCrop,0.17413,0.17413,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,FodderCrop,,,,,
Eastern Europe,Dairy,Mixed,FodderCrop,0.28041,0.28041,0.29140,0.29140,0.29140,0.29140,0.29140,0.29140,0.29140,FodderCrop,,,,,
Korea,Dairy,Mixed,FodderCrop,0.33987,0.33987,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,FodderCrop,,,,,
India,Dairy,Mixed,FodderCrop,0.18762,0.18762,0.20470,0.20470,0.20470,0.20470,0.20470,0.20470,0.20470,FodderCrop,,,,,
USA,Dairy,Mixed,MiscCrop,0.30901,0.30901,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,MiscCrop,,,,,
Canada,Dairy,Mixed,MiscCrop,0.30003,0.30003,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,MiscCrop,,,,,
Western Europe,Dairy,Mixed,MiscCrop,0.29759,0.29759,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,MiscCrop,,,,,
Japan,Dairy,Mixed,MiscCrop,0.25571,0.25571,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,MiscCrop,,,,,
Australia_NZ,Dairy,Mixed,MiscCrop,0.42949,0.42949,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,MiscCrop,,,,,
Former Soviet Union,Dairy,Mixed,MiscCrop,0.22998,0.22998,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,MiscCrop,,,,,
China,Dairy,Mixed,MiscCrop,0.13182,0.13182,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,MiscCrop,,,,,
Middle East,Dairy,Mixed,MiscCrop,0.28158,0.28158,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,MiscCrop,,,,,
Africa,Dairy,Mixed,MiscCrop,0.11146,0.11146,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,MiscCrop,,,,,
Latin America,Dairy,Mixed,MiscCrop,0.15957,0.15957,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,MiscCrop,,,,,
Southeast Asia,Dairy,Mixed,MiscCrop,0.17413,0.17413,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,MiscCrop,,,,,
Eastern Europe,Dairy,Mixed,MiscCrop,0.28041,0.28041,0.29140,0.29140,0.29140,0.29140,0.29140,0.29140,0.29140,MiscCrop,,,,,
Korea,Dairy,Mixed,MiscCrop,0.33987,0.33987,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,MiscCrop,,,,,
India,Dairy,Mixed,MiscCrop,0.18762,0.18762,0.20470,0.20470,0.20470,0.20470,0.20470,0.20470,0.20470,MiscCrop,,,,,
USA,Dairy,Mixed,OilCrop,0.30901,0.30901,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,0.32309,OilCrop,,,,,
Canada,Dairy,Mixed,OilCrop,0.30003,0.30003,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,0.29196,OilCrop,,,,,
Western Europe,Dairy,Mixed,OilCrop,0.29759,0.29759,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,0.29969,OilCrop,,,,,
Japan,Dairy,Mixed,OilCrop,0.25571,0.25571,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,0.26635,OilCrop,,,,,
Australia_NZ,Dairy,Mixed,OilCrop,0.42949,0.42949,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,0.39612,OilCrop,,,,,
Former Soviet Union,Dairy,Mixed,OilCrop,0.22998,0.22998,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,0.25489,OilCrop,,,,,
China,Dairy,Mixed,OilCrop,0.13182,0.13182,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,0.21627,OilCrop,,,,,
Middle East,Dairy,Mixed,OilCrop,0.28158,0.28158,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,0.27630,OilCrop,,,,,
Africa,Dairy,Mixed,OilCrop,0.11146,0.11146,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,0.12724,OilCrop,,,,,
Latin America,Dairy,Mixed,OilCrop,0.15957,0.15957,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,0.18250,OilCrop,,,,,
Southeast Asia,Dairy,Mixed,OilCrop,0.17413,0.17413,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,0.19083,OilCrop,,,,,
