Maximum Yield,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
92002,,,,,,,,,,,,
,,,,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield
Australia_NZ,FiberCrop,FiberCrop,FiberCrop,4456005.004,4456005.004,7035992.521,3241582.269,3484700.939,3746053.509,4027007.522,4329033.087,4653710.568
Former Soviet Union,FiberCrop,FiberCrop,FiberCrop,2518764.581,2518764.581,2389769.832,1101001.101,1183576.184,1272344.398,1367770.228,1470352.995,1580629.469
China,FiberCrop,FiberCrop,FiberCrop,3949805.429,3949805.429,4957183.309,2283845.167,2455133.555,2639268.571,2837213.714,3050004.743,3278755.099
Middle East,FiberCrop,FiberCrop,FiberCrop,2719079.827,2719079.827,1192079.549,549208.0778,590398.6836,634678.5849,682279.4788,733450.4397,788459.2227
Africa,FiberCrop,FiberCrop,FiberCrop,1309866.636,1309866.636,1365757.484,629223.9836,676415.7824,727146.9661,781682.9885,840309.2127,903332.4036
Latin America,FiberCrop,FiberCrop,FiberCrop,1696619.862,1696619.862,999211.3964,460350.9648,494877.2871,531993.0837,571892.5649,614784.5073,660893.3454
Southeast Asia,FiberCrop,FiberCrop,FiberCrop,2660562.395,2660562.395,3095895.556,1426323.31,1533297.558,1648294.875,1771916.991,1904810.765,2047671.572
Eastern Europe,FiberCrop,FiberCrop,FiberCrop,2112716.31,2112716.31,4393209.915,2024014.568,2175815.661,2339001.835,2514426.973,2703008.996,2905734.67
Korea,FiberCrop,FiberCrop,FiberCrop,1519374.179,1519374.179,42.28912098,19.48320217,20.94444233,22.5152755,24.20392117,26.01921525,27.9706564
India,FiberCrop,FiberCrop,FiberCrop,1573332.327,1573332.327,2187036.623,1007599.016,1083168.942,1164406.613,1251737.108,1345617.392,1446538.696
USA,FodderCrop,FodderCrop,FodderCrop,98433.79044,98433.79044,107083.9383,49335.10015,53035.23266,57012.87511,61288.84075,65885.5038,70826.91659
Canada,FodderCrop,FodderCrop,FodderCrop,114114.1146,114114.1146,120371.3277,55456.79024,59616.04951,64087.25322,68893.79721,74060.832,79615.3944
Western Europe,FodderCrop,FodderCrop,FodderCrop,119996.1637,119996.1637,91147.20419,41992.81907,45142.2805,48527.95154,52167.54791,56080.114,60286.12255
Japan,FodderCrop,FodderCrop,FodderCrop,186831.4594,186831.4594,185498.4947,85461.80648,91871.44197,98761.80011,106168.9351,114131.6053,122691.4757
Australia_NZ,FodderCrop,FodderCrop,FodderCrop,84033.0973,84033.0973,75116.05521,34607.03972,37202.5677,39992.76028,42992.2173,46216.6336,49682.88112
Former Soviet Union,FodderCrop,FodderCrop,FodderCrop,70778.50087,70778.50087,70000,32250,34668.75,37268.90625,40064.07422,43068.87979,46299.04577
China,FodderCrop,FodderCrop,FodderCrop,128903.5766,128903.5766,140599.9831,64776.42076,69634.65232,74857.25124,80471.54509,86506.91097,92994.92929
Middle East,FodderCrop,FodderCrop,FodderCrop,79062.17446,79062.17446,78132.86926,35996.92905,38696.69873,41598.95114,44718.87247,48072.78791,51678.247
Africa,FodderCrop,FodderCrop,FodderCrop,138783.0966,138783.0966,129703.919,59756.44838,64238.18201,69056.04566,74235.24908,79802.89276,85788.10972
Latin America,FodderCrop,FodderCrop,FodderCrop,87500,87500,105000,48375,52003.125,55903.35938,60096.11133,64603.31968,69448.56865
Southeast Asia,FodderCrop,FodderCrop,FodderCrop,87500,87500,115880.2268,53387.6759,57391.75159,61696.13296,66323.34293,71297.59365,76644.91317
Eastern Europe,FodderCrop,FodderCrop,FodderCrop,73500,73500,87500,40312.5,43335.9375,46586.13281,50080.09277,53836.09973,57873.80721
Korea,FodderCrop,FodderCrop,FodderCrop,116063.3054,116063.3054,126867.3629,58449.6065,62833.32698,67545.82651,72611.7635,78057.64576,83911.96919
India,FodderCrop,FodderCrop,FodderCrop,99383.81342,99383.81342,121704.4154,56070.96279,60276.285,64797.00638,69656.78185,74881.04049,80497.11853
USA,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
Canada,biomass,biomass,biomass,392000,392000,392000,180600,194145,208705.875,224358.8156,241185.7268,259274.6563
Western Europe,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
Japan,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
Australia_NZ,biomass,biomass,biomass,245000,245000,245000,112875,121340.625,130441.1719,140224.2598,150741.0792,162046.6602
Former Soviet Union,biomass,biomass,biomass,24500,24500,24500,11287.5,12134.0625,13044.11719,14022.42598,15074.10792,16204.66602
China,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
Middle East,biomass,biomass,biomass,245000,245000,245000,112875,121340.625,130441.1719,140224.2598,150741.0792,162046.6602
Africa,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
Latin America,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
Southeast Asia,biomass,biomass,biomass,686000,686000,686000,316050,339753.75,365235.2813,392627.9273,422075.0219,453730.6485
Eastern Europe,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
Korea,biomass,biomass,biomass,490000,490000,490000,225750,242681.25,260882.3438,280448.5195,301482.1585,324093.3204
India,biomass,biomass,biomass,686000,686000,686000,316050,339753.75,365235.2813,392627.9273,422075.0219,453730.6485
USA,Pasture,Pasture,Pasture,26950,26950,26810.35,11490.15,11490.15,11490.15,11490.15,11490.15,11490.15
Canada,Pasture,Pasture,Pasture,26600,26600,30204.125,12944.625,12944.625,12944.625,12944.625,12944.625,12944.625
Western Europe,Pasture,Pasture,Pasture,28875,28875,25794.92466,11054.96771,11054.96771,11054.96771,11054.96771,11054.96771,11054.96771
Japan,Pasture,Pasture,Pasture,129433.414,129433.414,139971.2687,59987.68659,59987.68659,59987.68659,59987.68659,59987.68659,59987.68659
Australia_NZ,Pasture,Pasture,Pasture,14000,14000,18849.775,8078.475,8078.475,8078.475,8078.475,8078.475,8078.475
Former Soviet Union,Pasture,Pasture,Pasture,42000,42000,17577,7533,7533,7533,7533,7533,7533
China,Pasture,Pasture,Pasture,14525,14525,30722.65,13166.85,13166.85,13166.85,13166.85,13166.85,13166.85
Middle East,Pasture,Pasture,Pasture,22400,22400,19535.6875,8372.4375,8372.4375,8372.4375,8372.4375,8372.4375,8372.4375
Africa,Pasture,Pasture,Pasture,27475,27475,32470.025,13915.725,13915.725,13915.725,13915.725,13915.725,13915.725
Latin America,Pasture,Pasture,Pasture,22750,22750,26307.8375,11274.7875,11274.7875,11274.7875,11274.7875,11274.7875,11274.7875
Southeast Asia,Pasture,Pasture,Pasture,24500,24500,26515.825,11363.925,11363.925,11363.925,11363.925,11363.925,11363.925
Eastern Europe,Pasture,Pasture,Pasture,260345.1904,260345.1904,159372.8981,68302.67061,68302.67061,68302.67061,68302.67061,68302.67061,68302.67061
Korea,Pasture,Pasture,Pasture,2350890.945,2350890.945,1663783.634,713050.1288,713050.1288,713050.1288,713050.1288,713050.1288,713050.1288
India,Pasture,Pasture,Pasture,126492.9988,126492.9988,147005.019,63002.151,63002.151,63002.151,63002.151,63002.151,63002.151



Maximum Yield,,,,,,,,,,,,
NOT READ IN,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
92003,,,,,,,,,,,,
,,,,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield,maxYield
region,ForestSupplySector,ForestSupplySubsector,ForestProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,Forest,Forest,Forest,177984.72,177984.72,177984.72,177984.72,177984.72,177984.72,177984.72,177984.72,177984.72
Canada,Forest,Forest,Forest,189449.17,189449.17,189449.17,189449.17,189449.17,189449.17,189449.17,189449.17,189449.17
Western Europe,Forest,Forest,Forest,181729.76,181729.76,181729.76,181729.76,181729.76,181729.76,181729.76,181729.76,181729.76
Japan,Forest,Forest,Forest,170471.2,170471.2,170471.2,170471.2,170471.2,170471.2,170471.2,170471.2,170471.2
Australia_NZ,Forest,Forest,Forest,182014.15,182014.15,182014.15,182014.15,182014.15,182014.15,182014.15,182014.15,182014.15
Former Soviet Union,Forest,Forest,Forest,190325.19,190325.19,190325.19,190325.19,190325.19,190325.19,190325.19,190325.19,190325.19
China,Forest,Forest,Forest,191588.07,191588.07,191588.07,191588.07,191588.07,191588.07,191588.07,191588.07,191588.07
Middle East,Forest,Forest,Forest,170192.31,170192.31,170192.31,170192.31,170192.31,170192.31,170192.31,170192.31,170192.31
Africa,Forest,Forest,Forest,357026.97,357026.97,357026.97,357026.97,357026.97,357026.97,357026.97,357026.97,357026.97
Latin America,Forest,Forest,Forest,340289.7,340289.7,340289.7,340289.7,340289.7,340289.7,340289.7,340289.7,340289.7
Southeast Asia,Forest,Forest,Forest,339367.16,339367.16,339367.16,339367.16,339367.16,339367.16,339367.16,339367.16,339367.16
Eastern Europe,Forest,Forest,Forest,170944.38,170944.38,170944.38,170944.38,170944.38,170944.38,170944.38,170944.38,170944.38
Korea,Forest,Forest,Forest,172293.57,172293.57,172293.57,172293.57,172293.57,172293.57,172293.57,172293.57,172293.57
India,Forest,Forest,Forest,322862.9,322862.9,322862.9,322862.9,322862.9,322862.9,322862.9,322862.9,322862.9
