INPUT_TABLE
Variable ID
TechCoef

region,supplysector,subsector,technology,year,minicam.energy.input,coefficient
Korea,N fertilizer,gas,gas,1990,wholesale gas,0.04492857
Korea,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874133
Korea,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464286
Korea,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Latin America,N fertilizer,coal,coal,1990,delivered coal,0.06557143
Latin America,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422177
Latin America,N fertilizer,gas,gas,1990,wholesale gas,0.04371429
Latin America,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874133
Latin America,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464286
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Middle East,N fertilizer,coal,coal,1990,delivered coal,0.06557143
Middle East,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422177
Middle East,N fertilizer,gas,gas,1990,wholesale gas,0.04371429
Middle East,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874133
Middle East,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464286
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Southeast Asia,N fertilizer,coal,coal,1990,delivered coal,0.06557143
Southeast Asia,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422177
Southeast Asia,N fertilizer,gas,gas,1990,wholesale gas,0.04492857
Southeast Asia,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874133
Southeast Asia,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464286
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
USA,N fertilizer,coal,coal,1990,delivered coal,0.06557143
USA,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422177
USA,N fertilizer,gas,gas,1990,wholesale gas,0.04602143
USA,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874133
USA,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464286
USA,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Western Europe,N fertilizer,coal,coal,1990,delivered coal,0.06557143
Western Europe,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422177
Western Europe,N fertilizer,gas,gas,1990,wholesale gas,0.0425
Western Europe,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874133
Western Europe,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.04371429
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Africa,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Africa,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Africa,N fertilizer,gas,gas,2005,wholesale gas,0.04371429
Africa,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Africa,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Australia_NZ,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Australia_NZ,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Australia_NZ,N fertilizer,gas,gas,2005,wholesale gas,0.04371429
Australia_NZ,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Australia_NZ,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Canada,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Canada,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Canada,N fertilizer,gas,gas,2005,wholesale gas,0.04602143
Canada,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Canada,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
China,N fertilizer,coal,coal,2005,delivered coal,0.06557143
China,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
China,N fertilizer,gas,gas,2005,wholesale gas,0.04128571
China,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
China,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.051
China,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Eastern Europe,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Eastern Europe,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Eastern Europe,N fertilizer,gas,gas,2005,wholesale gas,0.05294286
Eastern Europe,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Eastern Europe,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05294286
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Former Soviet Union,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Former Soviet Union,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Former Soviet Union,N fertilizer,gas,gas,2005,wholesale gas,0.04845
Former Soviet Union,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Former Soviet Union,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
India,N fertilizer,coal,coal,2005,delivered coal,0.06557143
India,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
India,N fertilizer,gas,gas,2005,wholesale gas,0.04432143
India,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
India,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.06071429
India,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Japan,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Japan,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Japan,N fertilizer,gas,gas,2005,wholesale gas,0.04492857
Japan,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Japan,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Korea,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Korea,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Korea,N fertilizer,gas,gas,2005,wholesale gas,0.04492857
Korea,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Korea,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Latin America,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Latin America,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Latin America,N fertilizer,gas,gas,2005,wholesale gas,0.04371429
Latin America,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Latin America,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Middle East,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Middle East,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Middle East,N fertilizer,gas,gas,2005,wholesale gas,0.04371429
Middle East,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Middle East,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Southeast Asia,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Southeast Asia,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Southeast Asia,N fertilizer,gas,gas,2005,wholesale gas,0.04492857
Southeast Asia,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Southeast Asia,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
USA,N fertilizer,coal,coal,2005,delivered coal,0.06557143
USA,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
USA,N fertilizer,gas,gas,2005,wholesale gas,0.04602143
USA,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
USA,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.05464286
USA,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Western Europe,N fertilizer,coal,coal,2005,delivered coal,0.06557143
Western Europe,N fertilizer,coal,coal CCS,2005,delivered coal,0.04422177
Western Europe,N fertilizer,gas,gas,2005,wholesale gas,0.0425
Western Europe,N fertilizer,gas,gas CCS,2005,wholesale gas,0.04874133
Western Europe,N fertilizer,refined liquids,refined liquids,2005,refined liquids industrial,0.04371429
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2005,N fertilizer,1
Africa,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Africa,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Africa,N fertilizer,gas,gas,2020,wholesale gas,0.04054801
Africa,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Africa,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Australia_NZ,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Australia_NZ,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Australia_NZ,N fertilizer,gas,gas,2020,wholesale gas,0.04054801
Australia_NZ,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Australia_NZ,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Canada,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Canada,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Canada,N fertilizer,gas,gas,2020,wholesale gas,0.04268805
Canada,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Canada,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
China,N fertilizer,coal,coal,2020,delivered coal,0.06082202
China,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
China,N fertilizer,gas,gas,2020,wholesale gas,0.03829535
China,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
China,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.04730602
China,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Eastern Europe,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Eastern Europe,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Eastern Europe,N fertilizer,gas,gas,2020,wholesale gas,0.04910815
Eastern Europe,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Eastern Europe,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.04910815
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Former Soviet Union,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Former Soviet Union,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Former Soviet Union,N fertilizer,gas,gas,2020,wholesale gas,0.04494072
Former Soviet Union,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Former Soviet Union,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
India,N fertilizer,coal,coal,2020,delivered coal,0.06082202
India,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
India,N fertilizer,gas,gas,2020,wholesale gas,0.04111118
India,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
India,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05631669
India,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Japan,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Japan,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Japan,N fertilizer,gas,gas,2020,wholesale gas,0.04167435
Japan,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Japan,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Japan,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Korea,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Korea,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Korea,N fertilizer,gas,gas,2020,wholesale gas,0.04167435
Korea,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Korea,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Korea,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Latin America,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Latin America,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Latin America,N fertilizer,gas,gas,2020,wholesale gas,0.04054801
Latin America,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Latin America,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Middle East,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Middle East,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Middle East,N fertilizer,gas,gas,2020,wholesale gas,0.04054801
Middle East,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Middle East,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Southeast Asia,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Southeast Asia,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Southeast Asia,N fertilizer,gas,gas,2020,wholesale gas,0.04167435
Southeast Asia,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Southeast Asia,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
USA,N fertilizer,coal,coal,2020,delivered coal,0.06082202
USA,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
USA,N fertilizer,gas,gas,2020,wholesale gas,0.04268805
USA,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
USA,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.05068502
USA,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Western Europe,N fertilizer,coal,coal,2020,delivered coal,0.06082202
Western Europe,N fertilizer,coal,coal CCS,2020,delivered coal,0.04101874
Western Europe,N fertilizer,gas,gas,2020,wholesale gas,0.03942168
Western Europe,N fertilizer,gas,gas CCS,2020,wholesale gas,0.04521094
Western Europe,N fertilizer,refined liquids,refined liquids,2020,refined liquids industrial,0.04054801
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,2020,N fertilizer,1
Africa,N fertilizer,coal,coal,2035,delivered coal,0.05641662
Africa,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
Africa,N fertilizer,gas,gas,2035,wholesale gas,0.03761108
Africa,N fertilizer,gas,gas CCS,2035,wholesale gas,0.04193627
Africa,N fertilizer,refined liquids,refined liquids,2035,refined liquids industrial,0.04701385
Africa,Exports_fertilizer,N fertilizer,N fertilizer,2035,N fertilizer,1
Australia_NZ,N fertilizer,coal,coal,2035,delivered coal,0.05641662
Australia_NZ,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
Australia_NZ,N fertilizer,gas,gas,2035,wholesale gas,0.03761108
Australia_NZ,N fertilizer,gas,gas CCS,2035,wholesale gas,0.04193627
Australia_NZ,N fertilizer,refined liquids,refined liquids,2035,refined liquids industrial,0.04701385
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,2035,N fertilizer,1
Canada,N fertilizer,coal,coal,2035,delivered coal,0.05641662
Canada,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
Canada,N fertilizer,gas,gas,2035,wholesale gas,0.03959611
Canada,N fertilizer,gas,gas CCS,2035,wholesale gas,0.04193627
Canada,N fertilizer,refined liquids,refined liquids,2035,refined liquids industrial,0.04701385
Canada,Exports_fertilizer,N fertilizer,N fertilizer,2035,N fertilizer,1
China,N fertilizer,coal,coal,2035,delivered coal,0.05641662
China,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
China,N fertilizer,gas,gas,2035,wholesale gas,0.03552158
China,N fertilizer,gas,gas CCS,2035,wholesale gas,0.04193627
China,N fertilizer,refined liquids,refined liquids,2035,refined liquids industrial,0.04387959
China,Exports_fertilizer,N fertilizer,N fertilizer,2035,N fertilizer,1
Eastern Europe,N fertilizer,coal,coal,2035,delivered coal,0.05641662
Eastern Europe,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
Eastern Europe,N fertilizer,gas,gas,2035,wholesale gas,0.0455512
Eastern Europe,N fertilizer,gas,gas CCS,2035,wholesale gas,0.04193627
Eastern Europe,N fertilizer,refined liquids,refined liquids,2035,refined liquids industrial,0.0455512
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,2035,N fertilizer,1
Former Soviet Union,N fertilizer,coal,coal,2035,delivered coal,0.05641662
Former Soviet Union,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
Former Soviet Union,N fertilizer,gas,gas,2035,wholesale gas,0.04168561
Former Soviet Union,N fertilizer,gas,gas CCS,2035,wholesale gas,0.04193627
Former Soviet Union,N fertilizer,refined liquids,refined liquids,2035,refined liquids industrial,0.04701385
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,2035,N fertilizer,1
India,N fertilizer,coal,coal,2035,delivered coal,0.05641662
India,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
India,N fertilizer,gas,gas,2035,wholesale gas,0.03813346
India,N fertilizer,gas,gas CCS,2035,wholesale gas,0.04193627
India,N fertilizer,refined liquids,refined liquids,2035,refined liquids industrial,0.05223761
India,Exports_fertilizer,N fertilizer,N fertilizer,2035,N fertilizer,1
Japan,N fertilizer,coal,coal,2035,delivered coal,0.05641662
Japan,N fertilizer,coal,coal CCS,2035,delivered coal,0.03804771
