INPUT_TABLE
Variable ID
ImportTech

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,renewable.input
Latin America,SheepGoat,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Middle East,Beef,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Middle East,Dairy,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Middle East,Pork,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Middle East,Poultry,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Middle East,SheepGoat,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Southeast Asia,Beef,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Southeast Asia,Dairy,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Southeast Asia,Pork,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Southeast Asia,Poultry,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Southeast Asia,SheepGoat,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
USA,Beef,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
USA,Dairy,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
USA,Pork,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
USA,Poultry,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
USA,SheepGoat,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Western Europe,Beef,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Western Europe,Dairy,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Western Europe,Pork,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Western Europe,Poultry,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
Western Europe,SheepGoat,Imports,Imports,share-weight,2005,9999,fixed,CO2,1,renewable
