INPUT_TABLE
Variable ID
LN2_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,UnmanagedLandLeaf2,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
India,root,AgroForestLandAEZ01,AllPastureLandAEZ01,UnmanagedPastureAEZ01,0.4,6,0.4,6,10,0,0,UnmanagedPasture,AEZ01,Pasture
USA,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Canada,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Western Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Japan,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Australia_NZ,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,9.2,0.7,9.2,10,0,0,UnmanagedPasture,AEZ02,Pasture
Former Soviet Union,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
China,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Middle East,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Africa,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ02,Pasture
Latin America,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,8.9,0.7,8.9,10,0,0,UnmanagedPasture,AEZ02,Pasture
Southeast Asia,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Eastern Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Korea,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
India,root,AgroForestLandAEZ02,AllPastureLandAEZ02,UnmanagedPastureAEZ02,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
USA,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Canada,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Western Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Japan,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Australia_NZ,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Former Soviet Union,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
China,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Middle East,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Africa,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Latin America,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9.4,0.7,9.4,10,0,0,UnmanagedPasture,AEZ03,Pasture
Southeast Asia,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Eastern Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Korea,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
India,root,AgroForestLandAEZ03,AllPastureLandAEZ03,UnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
USA,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Canada,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Western Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Japan,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Australia_NZ,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Former Soviet Union,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
China,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Middle East,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Africa,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Latin America,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,9.6,0.7,9.6,10,0,0,UnmanagedPasture,AEZ04,Pasture
Southeast Asia,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Eastern Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Korea,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
India,root,AgroForestLandAEZ04,AllPastureLandAEZ04,UnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
USA,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Canada,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Western Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Japan,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Australia_NZ,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Former Soviet Union,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
China,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Middle East,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Africa,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Latin America,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,9.7,0.8,9.7,10,0,0,UnmanagedPasture,AEZ05,Pasture
Southeast Asia,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Eastern Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Korea,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
India,root,AgroForestLandAEZ05,AllPastureLandAEZ05,UnmanagedPastureAEZ05,0.8,9.9,0.8,9.9,10,0,0,UnmanagedPasture,AEZ05,Pasture
USA,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Canada,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Western Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Japan,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Australia_NZ,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,10.2,1,10.2,10,0,0,UnmanagedPasture,AEZ06,Pasture
Former Soviet Union,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
China,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,9.5,1,9.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Middle East,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Africa,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,9.6,1,9.6,10,0,0,UnmanagedPasture,AEZ06,Pasture
Latin America,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,10.6,1,10.6,10,0,0,UnmanagedPasture,AEZ06,Pasture
Southeast Asia,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,11.2,1,11.2,10,0,0,UnmanagedPasture,AEZ06,Pasture
Eastern Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Korea,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
India,root,AgroForestLandAEZ06,AllPastureLandAEZ06,UnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
USA,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.6,0.6,8.6,10,0,0,UnmanagedPasture,AEZ07,Pasture
Canada,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Western Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Japan,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Australia_NZ,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,9.4,0.6,9.4,10,0,0,UnmanagedPasture,AEZ07,Pasture
Former Soviet Union,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.6,0.6,8.6,10,0,0,UnmanagedPasture,AEZ07,Pasture
China,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Middle East,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.8,0.6,8.8,10,0,0,UnmanagedPasture,AEZ07,Pasture
Africa,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.9,0.6,8.9,10,0,0,UnmanagedPasture,AEZ07,Pasture
Latin America,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Southeast Asia,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.7,0.6,8.7,10,0,0,UnmanagedPasture,AEZ07,Pasture
Eastern Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Korea,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
India,root,AgroForestLandAEZ07,AllPastureLandAEZ07,UnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
USA,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
Canada,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ08,Pasture
Western Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ08,Pasture
Japan,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
Australia_NZ,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ08,Pasture
Former Soviet Union,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
China,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
Middle East,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
Africa,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ08,Pasture
Latin America,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
Southeast Asia,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
Eastern Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ08,Pasture
Korea,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
India,root,AgroForestLandAEZ08,AllPastureLandAEZ08,UnmanagedPastureAEZ08,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ08,Pasture
USA,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,11,0.7,11,10,0,0,UnmanagedPasture,AEZ09,Pasture
Canada,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ09,Pasture
Western Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ09,Pasture
Japan,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ09,Pasture
Australia_NZ,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,9.6,0.7,9.6,10,0,0,UnmanagedPasture,AEZ09,Pasture
Former Soviet Union,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,10.4,0.7,10.4,10,0,0,UnmanagedPasture,AEZ09,Pasture
China,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,10.3,0.7,10.3,10,0,0,UnmanagedPasture,AEZ09,Pasture
Middle East,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ09,Pasture
Africa,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ09,Pasture
Latin America,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,11.3,0.7,11.3,10,0,0,UnmanagedPasture,AEZ09,Pasture
Southeast Asia,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,11.4,0.7,11.4,10,0,0,UnmanagedPasture,AEZ09,Pasture
Eastern Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ09,Pasture
Korea,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,11.5,0.7,11.5,10,0,0,UnmanagedPasture,AEZ09,Pasture
India,root,AgroForestLandAEZ09,AllPastureLandAEZ09,UnmanagedPastureAEZ09,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ09,Pasture
USA,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,10.7,0.7,10.7,10,0,0,UnmanagedPasture,AEZ10,Pasture
Canada,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ10,Pasture
Western Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,9.6,0.7,9.6,10,0,0,UnmanagedPasture,AEZ10,Pasture
Japan,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
Australia_NZ,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ10,Pasture
Former Soviet Union,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
China,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,12.2,0.7,12.2,10,0,0,UnmanagedPasture,AEZ10,Pasture
Middle East,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
Africa,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
Latin America,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,12,0.7,12,10,0,0,UnmanagedPasture,AEZ10,Pasture
Southeast Asia,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,10.2,0.7,10.2,10,0,0,UnmanagedPasture,AEZ10,Pasture
Eastern Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ10,Pasture
Korea,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ10,Pasture
India,root,AgroForestLandAEZ10,AllPastureLandAEZ10,UnmanagedPastureAEZ10,0.7,12.6,0.7,12.6,10,0,0,UnmanagedPasture,AEZ10,Pasture
USA,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,10.3,0.8,10.3,10,0,0,UnmanagedPasture,AEZ11,Pasture
Canada,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,14.5,0.8,14.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Western Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Japan,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,11.6,0.8,11.6,10,0,0,UnmanagedPasture,AEZ11,Pasture
Australia_NZ,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,11,0.8,11,10,0,0,UnmanagedPasture,AEZ11,Pasture
Former Soviet Union,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
China,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,12.7,0.8,12.7,10,0,0,UnmanagedPasture,AEZ11,Pasture
Middle East,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,14.5,0.8,14.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Africa,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,10.5,0.8,10.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Latin America,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,12.9,0.8,12.9,10,0,0,UnmanagedPasture,AEZ11,Pasture
Southeast Asia,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,11.7,0.8,11.7,10,0,0,UnmanagedPasture,AEZ11,Pasture
Eastern Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
