INPUT_TABLE
Variable ID
LN1_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Middle East,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ02,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,8.9,0.7,8.9,10,0,0,UnmanagedPasture,AEZ02,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,7.5,0.7,7.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
India,root,ProtectedUnmanagedPastureAEZ02,ProtectedUnmanagedPastureAEZ02,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ02,Pasture
USA,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
China,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9.4,0.7,9.4,10,0,0,UnmanagedPasture,AEZ03,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9,0.7,9,10,0,0,UnmanagedPasture,AEZ03,Pasture
India,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ03,Pasture
USA,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
China,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,9.6,0.7,9.6,10,0,0,UnmanagedPasture,AEZ04,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
India,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ04,Pasture
USA,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
China,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,9.7,0.8,9.7,10,0,0,UnmanagedPasture,AEZ05,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ05,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,12,0.8,12,10,0,0,UnmanagedPasture,AEZ05,Pasture
India,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,0.8,9.9,0.8,9.9,10,0,0,UnmanagedPasture,AEZ05,Pasture
USA,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,10.2,1,10.2,10,0,0,UnmanagedPasture,AEZ06,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
China,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,9.5,1,9.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,9.6,1,9.6,10,0,0,UnmanagedPasture,AEZ06,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,10.6,1,10.6,10,0,0,UnmanagedPasture,AEZ06,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,11.2,1,11.2,10,0,0,UnmanagedPasture,AEZ06,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
India,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ06,Pasture
USA,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.6,0.6,8.6,10,0,0,UnmanagedPasture,AEZ07,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,9.4,0.6,9.4,10,0,0,UnmanagedPasture,AEZ07,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.6,0.6,8.6,10,0,0,UnmanagedPasture,AEZ07,Pasture
China,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.8,0.6,8.8,10,0,0,UnmanagedPasture,AEZ07,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.9,0.6,8.9,10,0,0,UnmanagedPasture,AEZ07,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.7,0.6,8.7,10,0,0,UnmanagedPasture,AEZ07,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
India,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,0.6,8.5,0.6,8.5,10,0,0,UnmanagedPasture,AEZ07,Pasture
USA,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ08,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ08,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ08,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
China,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ08,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ08,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ08,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ08,Pasture
India,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ08,Pasture
USA,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,11,0.7,11,10,0,0,UnmanagedPasture,AEZ09,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,10,0.7,10,10,0,0,UnmanagedPasture,AEZ09,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ09,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ09,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,9.6,0.7,9.6,10,0,0,UnmanagedPasture,AEZ09,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,10.4,0.7,10.4,10,0,0,UnmanagedPasture,AEZ09,Pasture
China,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,10.3,0.7,10.3,10,0,0,UnmanagedPasture,AEZ09,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,9.8,0.7,9.8,10,0,0,UnmanagedPasture,AEZ09,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ09,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,11.3,0.7,11.3,10,0,0,UnmanagedPasture,AEZ09,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,11.4,0.7,11.4,10,0,0,UnmanagedPasture,AEZ09,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ09,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,11.5,0.7,11.5,10,0,0,UnmanagedPasture,AEZ09,Pasture
India,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ09,Pasture
USA,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,10.7,0.7,10.7,10,0,0,UnmanagedPasture,AEZ10,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ10,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,9.6,0.7,9.6,10,0,0,UnmanagedPasture,AEZ10,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,9.7,0.7,9.7,10,0,0,UnmanagedPasture,AEZ10,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
China,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,12.2,0.7,12.2,10,0,0,UnmanagedPasture,AEZ10,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,10.1,0.7,10.1,10,0,0,UnmanagedPasture,AEZ10,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,12,0.7,12,10,0,0,UnmanagedPasture,AEZ10,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,10.2,0.7,10.2,10,0,0,UnmanagedPasture,AEZ10,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ10,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ10,Pasture
India,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,0.7,12.6,0.7,12.6,10,0,0,UnmanagedPasture,AEZ10,Pasture
USA,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,10.3,0.8,10.3,10,0,0,UnmanagedPasture,AEZ11,Pasture
Canada,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,14.5,0.8,14.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Western Europe,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Japan,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,11.6,0.8,11.6,10,0,0,UnmanagedPasture,AEZ11,Pasture
Australia_NZ,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,11,0.8,11,10,0,0,UnmanagedPasture,AEZ11,Pasture
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
China,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,12.7,0.8,12.7,10,0,0,UnmanagedPasture,AEZ11,Pasture
Middle East,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,14.5,0.8,14.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Africa,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,10.5,0.8,10.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Latin America,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,12.9,0.8,12.9,10,0,0,UnmanagedPasture,AEZ11,Pasture
Southeast Asia,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,11.7,0.8,11.7,10,0,0,UnmanagedPasture,AEZ11,Pasture
Eastern Europe,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,9.5,0.8,9.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
Korea,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,14.5,0.8,14.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
India,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,0.8,13.2,0.8,13.2,10,0,0,UnmanagedPasture,AEZ11,Pasture
