Forest,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
7020,,,,,,,,,,,fract-harvested,,,,,
,,,,,,kg/m3,,kg/m2,GJ/kg,,price,,,,,
USA,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
USA,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,1
Canada,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Canada,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4274,0.8,1,,2
Western Europe,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Western Europe,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,3
Japan,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Japan,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,4
Australia_NZ,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Australia_NZ,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.4521,0.8,1,,5
Former Soviet Union,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
Former Soviet Union,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,6
China,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
China,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.0467,0.8,1,,7
Middle East,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Middle East,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,8
Africa,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Africa,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.9000,0.9,1,,9
Latin America,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ8,ForestAEZ8,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ9,ForestAEZ9,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ10,ForestAEZ10,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ11,ForestAEZ11,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ12,ForestAEZ12,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ13,ForestAEZ13,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ14,ForestAEZ14,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ15,ForestAEZ15,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ16,ForestAEZ16,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ17,ForestAEZ17,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Latin America,Forest,ForestAEZ18,ForestAEZ18,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.6000,0.8,1,,10
Southeast Asia,Forest,ForestAEZ1,ForestAEZ1,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.5909,0.8,1,,11
Southeast Asia,Forest,ForestAEZ2,ForestAEZ2,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.5909,0.8,1,,11
Southeast Asia,Forest,ForestAEZ3,ForestAEZ3,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.5909,0.8,1,,11
Southeast Asia,Forest,ForestAEZ4,ForestAEZ4,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.5909,0.8,1,,11
Southeast Asia,Forest,ForestAEZ5,ForestAEZ5,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.5909,0.8,1,,11
Southeast Asia,Forest,ForestAEZ6,ForestAEZ6,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.5909,0.8,1,,11
Southeast Asia,Forest,ForestAEZ7,ForestAEZ7,BASE YEARS,biomass,500,0.8,0.2,0.018926067,0,0,0.5909,0.8,1,,11
