INPUT_TABLE
Variable ID
AgResBioCurve

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,residue.biomass.production,price,fract.harvested
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2035,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2035,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2035,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2035,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,0,0
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2050,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2050,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2050,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2050,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,0,0
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2065,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2065,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2065,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2065,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,0,0
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2080,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2080,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2080,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2080,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,0,0
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,0,0
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,0,0
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,0,0
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2095,biomass,0,0
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2095,biomass,0,0
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2095,biomass,0,0
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2095,biomass,0,0
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,1990,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,1990,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,1990,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,1990,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2005,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2005,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2005,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2005,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2020,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2020,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2020,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2020,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2035,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2035,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2035,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2035,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2050,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2050,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2050,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2050,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2065,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2065,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2065,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2065,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2080,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2080,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2080,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2080,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,1.2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,1.2,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,1.2,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2095,biomass,1.2,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2095,biomass,1.2,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2095,biomass,1.2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2095,biomass,1.2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,1990,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,1990,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,1990,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,1990,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2005,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2005,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2005,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2005,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2020,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2020,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2020,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2020,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2035,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2035,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2035,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2035,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2050,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2050,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2050,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2050,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2065,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2065,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2065,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2065,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2080,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2080,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2080,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2080,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,1.5,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,1.5,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,1.5,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2095,biomass,1.5,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2095,biomass,1.5,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2095,biomass,1.5,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2095,biomass,1.5,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,1990,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,1990,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,1990,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,1990,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,1990,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,1990,biomass,10,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2005,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2005,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2005,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2005,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2005,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2005,biomass,10,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2020,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2020,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2020,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2020,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2020,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2020,biomass,10,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2035,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2035,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2035,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2035,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2035,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2035,biomass,10,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2050,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2050,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2050,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2050,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2050,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2050,biomass,10,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2065,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2065,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2065,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2065,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2065,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2065,biomass,10,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2080,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2080,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2080,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2080,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2080,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2080,biomass,10,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,10,1
Africa,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,10,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,2095,biomass,10,1
India,biomassOil,JatrophaAEZ02,JatrophaAEZ02,2095,biomass,10,1
India,biomassOil,JatrophaAEZ03,JatrophaAEZ03,2095,biomass,10,1
India,biomassOil,JatrophaAEZ04,JatrophaAEZ04,2095,biomass,10,1
India,biomassOil,JatrophaAEZ05,JatrophaAEZ05,2095,biomass,10,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,2095,biomass,10,1
