Australia_NZ,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0.01318456,0.013746104,0.016588758,0,0,0,9.17745E-06,0.000715532,0.007338712,0.01318456,,5,5Corn,AEZ4
Australia_NZ,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0.000746686,0.000524116,0.000632501,0,0,0,0,0.000104321,0.000577695,0.000746686,,5,5Corn,AEZ5
Australia_NZ,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0.001443894,0.001155436,0.001394377,2.0065E-05,1.76931E-05,1.76102E-05,9.69924E-05,0.001128276,0.001508489,0.001443894,,5,5Corn,AEZ6
Australia_NZ,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0.091540682,0.106931341,0.129044428,0,0,0,0.000217112,0.005818057,0.046896907,0.091540682,,5,5Corn,AEZ7
Australia_NZ,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,0.05900002,0.071408396,0.05266821,0,0,0,4.40041E-05,0.001871221,0.02796216,0.05900002,,5,5Corn,AEZ8
Australia_NZ,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,0.06124198,0.070612564,0.073981952,0,0,0,0.000176759,0.004697523,0.032557202,0.06124198,,5,5Corn,AEZ9
Australia_NZ,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,0.056183,0.062500696,0.075425657,1.22225E-05,1.03319E-05,9.64423E-06,0.000225332,0.006147146,0.032209248,0.056183,,5,5Corn,AEZ10
Australia_NZ,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.145633148,0.151945659,0.183367575,0.000566265,0.000563371,0.000579287,0.001583598,0.024944019,0.098161422,0.145633148,,5,5Corn,AEZ11
Australia_NZ,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0.2521154,0.251503656,0.303513874,0.010095588,0.009116852,0.008488849,0.016639458,0.076637877,0.19826008,0.2521154,,5,5Corn,AEZ12
Australia_NZ,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0,0,0,0,0,0,0,0,0,0,,5,5Corn,AEZ13
Australia_NZ,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0,0,0,0,0,0,0,0,0,0,,5,5Corn,AEZ14
Australia_NZ,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0,0,0,0,0,0,0,0,0,0,,5,5Corn,AEZ15
Australia_NZ,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0.002275672,0.003406747,0.004111253,6.1593E-05,5.37198E-05,4.58931E-05,7.0535E-05,0.00021333,0.001342823,0.002275672,,5,5Corn,AEZ16
Australia_NZ,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,0,0,0,0,0,0,0,0,0,,5,5Corn,AEZ17
Australia_NZ,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,0,0,0,0,0,0,0,0,0,,5,5Corn,AEZ18
Former Soviet Union,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ1
Former Soviet Union,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ2
Former Soviet Union,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ3
Former Soviet Union,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ4
Former Soviet Union,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ5
Former Soviet Union,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ6
Former Soviet Union,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0.775713323,0.747249027,0.84412577,0.123481048,0.163320155,0.201570359,0.262614394,0.387943228,0.582443198,0.775713323,,6,6Corn,AEZ7
Former Soviet Union,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,7.740839733,7.762791885,8.769195329,1.453637791,1.96441459,2.412931108,3.165376817,4.978719815,6.47790669,7.740839733,,6,6Corn,AEZ8
Former Soviet Union,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,11.84757337,11.38689089,12.86313892,2.010382785,2.843470814,3.594820106,4.942178773,8.56030676,10.93295145,11.84757337,,6,6Corn,AEZ9
Former Soviet Union,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,11.19158457,10.36369065,11.70728637,2.245644349,3.215894451,4.081746556,5.579404859,8.921304751,11.07596325,11.19158457,,6,6Corn,AEZ10
Former Soviet Union,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.178113106,0.178412624,0.201542843,0.036071751,0.033879845,0.0458326,0.065121152,0.106960736,0.155975941,0.178113106,,6,6Corn,AEZ11
Former Soviet Union,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0.477428368,0.447947801,0.359138843,0.25557121,0.200628688,0.255856758,0.317755093,0.402637935,0.4709372,0.477428368,,6,6Corn,AEZ12
Former Soviet Union,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0.579047339,0.603071646,0.681256581,0.015644315,0.024293022,0.033935837,0.050308041,0.131045132,0.372621973,0.579047339,,6,6Corn,AEZ13
Former Soviet Union,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0.933230406,1.029530589,1.16300359,0.070824408,0.101937452,0.128019633,0.176519435,0.357380499,0.687634363,0.933230406,,6,6Corn,AEZ14
Former Soviet Union,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,1.043823714,1.131660825,1.278374451,0.133310862,0.192947245,0.237660966,0.334968889,0.609408256,0.864334143,1.043823714,,6,6Corn,AEZ15
Former Soviet Union,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0.262765445,0.303647976,0.343014272,0.020954212,0.029209704,0.042341999,0.072536266,0.12067716,0.198379994,0.262765445,,6,6Corn,AEZ16
Former Soviet Union,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ17
Former Soviet Union,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,0,0,0,0,0,0,0,0,0,,6,6Corn,AEZ18
China,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,0,0,0,0,0,0,0,0,0,,7,7Corn,AEZ1
China,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,0,0,0,0,0,0,0,0,0,,7,7Corn,AEZ2
China,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,0,0,0,0,0,0,0,0,0,,7,7Corn,AEZ3
China,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0.034568747,0.057483036,0.101177591,0.002172968,0.00312905,0.004431767,0.006687299,0.01045954,0.020883982,0.034568747,,7,7Corn,AEZ4
China,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,1.940167173,2.352073381,3.215036512,0.142740357,0.210572215,0.294192401,0.444010072,0.839392831,1.562902068,1.940167173,,7,7Corn,AEZ5
China,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,1.774256166,2.0737939,1.960793327,0.677872435,0.817985591,0.930691232,1.092957197,1.30886182,1.694171704,1.774256166,,7,7Corn,AEZ6
China,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,3.296681733,5.0665917,6.51665828,2.057005677,2.395557071,2.583274462,2.774068711,2.940569147,3.128252819,3.296681733,,7,7Corn,AEZ7
China,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,23.18136109,34.43635087,62.8261216,14.25798443,16.73889632,18.24091798,19.73171126,20.66261969,23.53298967,23.18136109,,7,7Corn,AEZ8
China,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,42.63105368,53.25272198,69.8992153,31.7672129,35.12819965,37.26735094,39.34961181,40.78554719,43.97186637,42.63105368,,7,7Corn,AEZ9
China,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,18.85572307,23.82888592,34.73793745,10.51633297,12.13310371,13.30731074,14.4973435,15.53992202,18.51553009,18.85572307,,7,7Corn,AEZ10
China,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,15.82639127,19.65011262,22.70775945,9.501766315,11.14108546,12.28789647,13.48686684,14.40660182,16.26335711,15.82639127,,7,7Corn,AEZ11
China,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,16.37190296,20.50539393,23.51012708,11.50377557,13.0113167,13.94046357,14.85141578,15.49557833,17.00572329,16.37190296,,7,7Corn,AEZ12
China,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0.330535143,0.734210839,0.931190246,0.069780122,0.086857188,0.099422717,0.113464234,0.129742221,0.218020291,0.330535143,,7,7Corn,AEZ13
China,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0.112679662,0.201209177,0.258795563,0.006549261,0.007860959,0.008698018,0.009834167,0.011133984,0.052361257,0.112679662,,7,7Corn,AEZ14
China,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0.515852357,0.955891251,2.126424552,0.094941682,0.118080158,0.131753108,0.145699923,0.154448747,0.275644071,0.515852357,,7,7Corn,AEZ15
China,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0.076133499,0.224513485,0.721923998,0.005892574,0.007397642,0.009467831,0.012187317,0.014943037,0.048449983,0.076133499,,7,7Corn,AEZ16
