INPUT_TABLE
Variable ID
TechInput

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,minicam.energy.input,coefficient,input.cost
Japan,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Japan,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Japan,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Korea,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Korea,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Korea,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Korea,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Korea,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Latin America,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Latin America,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Latin America,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Latin America,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Latin America,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Middle East,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Middle East,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Middle East,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Middle East,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Middle East,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Southeast Asia,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Southeast Asia,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Southeast Asia,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Southeast Asia,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Southeast Asia,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
USA,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
USA,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
USA,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
USA,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
USA,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
Western Europe,Exports_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,0,Beef,1,0
Western Europe,Exports_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,0,Dairy,1,0
Western Europe,Exports_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,0,Pork,1,0
Western Europe,Exports_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,0,Poultry,1,0
Western Europe,Exports_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,0,SheepGoat,1,0
