INPUT_TABLE
Variable ID
Tech

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,input.cost
Former Soviet Union,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
India,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
India,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
India,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
India,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
India,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
India,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Japan,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Japan,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Japan,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Japan,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Japan,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Japan,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Korea,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Korea,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Korea,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Korea,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Korea,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Korea,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Latin America,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Latin America,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Latin America,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Latin America,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Latin America,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Middle East,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Middle East,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Middle East,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Middle East,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Middle East,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Southeast Asia,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Southeast Asia,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Southeast Asia,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Southeast Asia,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Southeast Asia,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
USA,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
USA,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
USA,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
USA,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
USA,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
USA,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
Western Europe,N fertilizer,coal,coal,share-weight,2005,9999,fixed,CO2,1,0.1406
Western Europe,N fertilizer,coal,coal CCS,share-weight,2005,2035,linear,CO2,1,0.1632
Western Europe,N fertilizer,gas,gas,share-weight,2005,9999,fixed,CO2,1,0.0901
Western Europe,N fertilizer,gas,gas CCS,share-weight,2005,2035,linear,CO2,1,0.1043
Western Europe,N fertilizer,refined liquids,refined liquids,share-weight,2005,9999,fixed,CO2,1,0.0202
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,share-weight,2005,9999,fixed,CO2,1,0
