INPUT_TABLE
Variable ID
OutputDriver

region,supplysector,subsector,technology,year,generic.ghg
China,Pork,Mixed,Pasture_FodderGrass,1975,CH4_AGR
China,Pork,Mixed,FeedCrops,1975,CH4_AGR
China,Pork,Mixed,Scavenging_Other,1975,CH4_AGR
China,Poultry,Mixed,FodderHerb_Residue,1975,CH4_AGR
China,Poultry,Mixed,Pasture_FodderGrass,1975,CH4_AGR
China,Poultry,Mixed,FeedCrops,1975,CH4_AGR
China,Poultry,Mixed,Scavenging_Other,1975,CH4_AGR
China,SheepGoat,Mixed,FodderHerb_Residue,1975,CH4_AGR
China,SheepGoat,Mixed,Pasture_FodderGrass,1975,CH4_AGR
China,SheepGoat,Mixed,FeedCrops,1975,CH4_AGR
China,SheepGoat,Mixed,Scavenging_Other,1975,CH4_AGR
China,SheepGoat,Pastoral,FodderHerb_Residue,1975,CH4_AGR
China,SheepGoat,Pastoral,Pasture_FodderGrass,1975,CH4_AGR
China,SheepGoat,Pastoral,FeedCrops,1975,CH4_AGR
China,SheepGoat,Pastoral,Scavenging_Other,1975,CH4_AGR
Eastern Europe,Beef,Mixed,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,Beef,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,Beef,Mixed,FeedCrops,1975,CH4_AGR
Eastern Europe,Beef,Mixed,Scavenging_Other,1975,CH4_AGR
Eastern Europe,Beef,Pastoral,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,Beef,Pastoral,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,Beef,Pastoral,FeedCrops,1975,CH4_AGR
Eastern Europe,Beef,Pastoral,Scavenging_Other,1975,CH4_AGR
Eastern Europe,Dairy,Mixed,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,Dairy,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,Dairy,Mixed,FeedCrops,1975,CH4_AGR
Eastern Europe,Dairy,Mixed,Scavenging_Other,1975,CH4_AGR
Eastern Europe,Dairy,Pastoral,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,Dairy,Pastoral,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,Dairy,Pastoral,FeedCrops,1975,CH4_AGR
Eastern Europe,Dairy,Pastoral,Scavenging_Other,1975,CH4_AGR
Eastern Europe,Pork,Mixed,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,Pork,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,Pork,Mixed,FeedCrops,1975,CH4_AGR
Eastern Europe,Pork,Mixed,Scavenging_Other,1975,CH4_AGR
Eastern Europe,Poultry,Mixed,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,Poultry,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,Poultry,Mixed,FeedCrops,1975,CH4_AGR
Eastern Europe,Poultry,Mixed,Scavenging_Other,1975,CH4_AGR
Eastern Europe,SheepGoat,Mixed,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,SheepGoat,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,SheepGoat,Mixed,FeedCrops,1975,CH4_AGR
Eastern Europe,SheepGoat,Mixed,Scavenging_Other,1975,CH4_AGR
Eastern Europe,SheepGoat,Pastoral,FodderHerb_Residue,1975,CH4_AGR
Eastern Europe,SheepGoat,Pastoral,Pasture_FodderGrass,1975,CH4_AGR
Eastern Europe,SheepGoat,Pastoral,FeedCrops,1975,CH4_AGR
