INPUT_TABLE
Variable ID
LN3_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,GCAM_commodity,AEZ,Cdensity_LT,HarvestIndex,WaterContent,Root_Shoot,Yield
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.148,7.5,0.148,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.305377837073275
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.148,7.5,0.148,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.305377837073275
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.081,9.2,0.081,9.2,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.165997581917764
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.093,7.5,0.093,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.190561112055523
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.148,7.5,0.148,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.305377837073275
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.105,9.5,0.105,9.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.216281544804317
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,JatrophaAEZ02,0.063,9,0.063,9,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.129818953088906
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,eucalyptusAEZ02,0.133,8.9,0.133,8.9,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.274772787923494
Southeast Asia,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.115,7.5,0.115,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.23759689456841
Eastern Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.148,7.5,0.148,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.305377837073275
Korea,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,0.148,7.5,0.148,7.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.305377837073275
India,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,JatrophaAEZ02,0.118,9.5,0.118,9.5,10,0,0,biomass,AEZ02,Pasture,1,0.15,0.77,0.242922825710344
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.266,9,0.266,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.547305627026336
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.23,9,0.23,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.474088727515525
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.266,9,0.266,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.547305627026336
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.266,9,0.266,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.547305627026336
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.145,9.5,0.145,9.5,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.297504925462411
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.166,9,0.166,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.341528284828864
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.266,9,0.266,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.547305627026336
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.188,9.5,0.188,9.5,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.387625073344625
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,eucalyptusAEZ03,0.113,9.5,0.113,9.5,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.232664702197028
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,eucalyptusAEZ03,0.239,9.4,0.239,9.4,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.492454509552891
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.207,9.5,0.207,9.5,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.425826964417431
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.266,9,0.266,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.547305627026336
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,biomassAEZ03,0.266,9,0.266,9,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.547305627026336
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,CropLandAEZ03,JatrophaAEZ03,0.211,9.5,0.211,9.5,10,0,0,biomass,AEZ03,Pasture,1,0.15,0.77,0.435372228445338
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.239,10.5,0.239,10.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.492590706802809
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.207,10.5,0.207,10.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.426693404639304
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,miscanthusAEZ04,0.239,9.5,0.239,9.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.492590706802809
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.239,10.5,0.239,10.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.492590706802809
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.13,9.5,0.13,9.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.267762935870189
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.149,10.5,0.149,10.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.307385217526561
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.239,9.5,0.239,9.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.492590706802809
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.169,10.5,0.169,10.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.34887364467775
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,eucalyptusAEZ04,0.102,9.5,0.102,9.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.209404881740389
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,eucalyptusAEZ04,0.215,9.6,0.215,9.6,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.443223133383235
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.186,9.5,0.186,9.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.383256438487127
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.239,10.5,0.239,10.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.492590706802809
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,0.239,10.5,0.239,10.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.492590706802809
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,JatrophaAEZ04,0.19,9.5,0.19,9.5,10,0,0,biomass,AEZ04,Pasture,1,0.15,0.77,0.391847448924334
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.247,12,0.247,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.507971110714301
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.214,12,0.214,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.44001626440724
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.247,12,0.247,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.507971110714301
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.247,12,0.247,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.507971110714301
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.134,9.5,0.134,9.5,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.276123430799013
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.154,12,0.154,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.31698285860401
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.247,9.5,0.247,9.5,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.507971110714301
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.175,12,0.175,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.359766699490021
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,eucalyptusAEZ05,0.105,9.5,0.105,9.5,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.215943234205683
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,eucalyptusAEZ05,0.222,9.7,0.222,9.7,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.457062109068743
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.192,9.5,0.192,9.5,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.395223044320743
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.247,12,0.247,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.507971110714301
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,biomassAEZ05,0.247,12,0.247,12,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.507971110714301
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,JatrophaAEZ05,0.196,9.9,0.196,9.9,10,0,0,biomass,AEZ05,Pasture,1,0.15,0.77,0.404082296137066
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.28,13.5,0.28,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.575886138998577
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.242,13.5,0.242,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.498845824617342
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.28,13.5,0.28,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.575886138998577
Japan,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.28,13.5,0.28,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.575886138998577
Australia_NZ,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.152,10.2,0.152,10.2,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.313040747979307
Former Soviet Union,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.175,13.5,0.175,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.359363024234787
China,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.28,9.5,0.28,9.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.575886138998577
Middle East,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.198,13.5,0.198,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.40786700491339
Africa,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,eucalyptusAEZ06,0.119,9.6,0.119,9.6,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.244814543123732
Latin America,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,eucalyptusAEZ06,0.252,10.6,0.252,10.6,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.518170674911051
Southeast Asia,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.218,11.2,0.218,11.2,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.448063813544602
Eastern Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.28,13.5,0.28,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.575886138998577
Korea,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,biomassAEZ06,0.28,13.5,0.28,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.575886138998577
India,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,JatrophaAEZ06,0.223,13.5,0.223,13.5,10,0,0,biomass,AEZ06,Pasture,1,0.15,0.77,0.458107534959671
USA,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.349,8.6,0.349,8.6,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.717603581567051
Canada,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.302,8.5,0.302,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.621604734258166
Western Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,miscanthusAEZ07,0.349,8.5,0.349,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.717603581567051
Japan,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.349,8.5,0.349,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.717603581567051
Australia_NZ,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.189,9.4,0.189,9.4,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.390075653352256
Former Soviet Union,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.218,8.6,0.218,8.6,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.447797187343463
China,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.349,8.5,0.349,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.717603581567051
Middle East,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.247,8.8,0.247,8.8,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.508237312392747
Africa,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,eucalyptusAEZ07,0.148,8.9,0.148,8.9,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.305059943395729
Latin America,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,eucalyptusAEZ07,0.314,8.5,0.314,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.645685157183657
Southeast Asia,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.271,8.7,0.271,8.7,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.558325987719233
Eastern Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.349,8.5,0.349,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.717603581567051
Korea,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.349,8.5,0.349,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.717603581567051
India,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,0.277,8.5,0.277,8.5,10,0,0,biomass,AEZ07,Pasture,1,0.15,0.77,0.570841327074767
USA,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.307,10,0.307,10,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.631824720726606
Canada,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.266,9.8,0.266,9.8,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.547301111244949
Western Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,miscanthusAEZ08,0.307,9.8,0.307,9.8,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.631824720726606
Japan,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.307,10,0.307,10,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.631824720726606
Australia_NZ,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.167,9.5,0.167,9.5,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.343447896683204
Former Soviet Union,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.192,9.9,0.192,9.9,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.394269677720396
China,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.307,9.9,0.307,9.9,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.631824720726606
Middle East,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.217,9.9,0.217,9.9,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.447485082591361
Africa,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,eucalyptusAEZ08,0.13,9.7,0.13,9.7,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.268594553444088
Latin America,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,eucalyptusAEZ08,0.276,10,0.276,10,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.568503076899371
Southeast Asia,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.239,9.9,0.239,9.9,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.491586399965799
Eastern Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,willowAEZ08,0.307,9.8,0.307,9.8,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.631824720726606
Korea,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.307,10,0.307,10,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.631824720726606
India,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,0.244,9.5,0.244,9.5,10,0,0,biomass,AEZ08,Pasture,1,0.15,0.77,0.502605716195857
USA,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,0.419,11,0.419,11,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.863555118698937
Canada,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,0.363,10,0.363,10,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.748031314035434
Western Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,miscanthusAEZ09,0.419,10.1,0.419,10.1,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.863555118698937
Japan,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,0.419,9.5,0.419,9.5,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.863555118698937
Australia_NZ,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,0.228,9.6,0.228,9.6,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.469412131969271
Former Soviet Union,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,0.262,10.4,0.262,10.4,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.538873499523223
China,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,0.419,10.3,0.419,10.3,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.863555118698937
Middle East,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,0.297,9.8,0.297,9.8,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.611606385341794
Africa,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,eucalyptusAEZ09,0.178,9.7,0.178,9.7,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.367105296567943
Latin America,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,eucalyptusAEZ09,0.377,11.3,0.377,11.3,10,0,0,biomass,AEZ09,Pasture,1,0.15,0.77,0.777009391921177
