INPUT_TABLE
Variable ID
LN1_UnmgdAllocation

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,year,allocation
Western Europe,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
Japan,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,189.908775
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
China,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
Middle East,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0.129771
Africa,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,1018.609191
Latin America,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,146.67606
Southeast Asia,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0.143757
Eastern Europe,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,0
India,root,ProtectedUnmanagedPastureAEZ03,ProtectedUnmanagedPastureAEZ03,1975,15.382998
USA,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0.034632
Japan,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,38.035467
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0
China,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,1.128438
Middle East,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,1252.4751
Latin America,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,316.453275
Southeast Asia,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,8.263314
Eastern Europe,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,0
India,root,ProtectedUnmanagedPastureAEZ04,ProtectedUnmanagedPastureAEZ04,1975,4.465827
USA,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
Japan,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,1.965375
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
China,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,6.15114
Middle East,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,554.096016
Latin America,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,907.092648
Southeast Asia,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,10.675206
Eastern Europe,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,0
India,root,ProtectedUnmanagedPastureAEZ05,ProtectedUnmanagedPastureAEZ05,1975,1.187631
USA,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
Japan,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,3.792168
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
China,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,17.454843
Middle East,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,341.155656
Latin America,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,568.971243
Southeast Asia,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,78.290073
Eastern Europe,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0
India,root,ProtectedUnmanagedPastureAEZ06,ProtectedUnmanagedPastureAEZ06,1975,0.90315
USA,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,1195.983729
Canada,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,25.838631
Western Europe,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,0.303768
Japan,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,2355.661287
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,1069.623162
China,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,1045.942335
Middle East,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,676.512351
Africa,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,1152.745398
Latin America,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,765.126873
Southeast Asia,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,71.06166
Eastern Europe,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,0
India,root,ProtectedUnmanagedPastureAEZ07,ProtectedUnmanagedPastureAEZ07,1975,6.180867
USA,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,372.310614
Canada,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,10.561068
Western Europe,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,50.121864
Japan,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,190.973088
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,339.148341
China,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,397.99134
Middle East,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,251.297181
Africa,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,458.166258
Latin America,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,246.799359
Southeast Asia,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,129.471516
Eastern Europe,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,2.183805
Korea,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,0
India,root,ProtectedUnmanagedPastureAEZ08,ProtectedUnmanagedPastureAEZ08,1975,4.006197
USA,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,59.94612
Canada,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,18.057969
Western Europe,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,82.281114
Japan,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,0.024741
Australia_NZ,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,91.679679
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,147.61053
China,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,94.741524
Middle East,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,36.761535
Africa,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,411.030747
Latin America,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,147.201363
Southeast Asia,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,4.485033
Eastern Europe,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,20.342313
Korea,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,0
India,root,ProtectedUnmanagedPastureAEZ09,ProtectedUnmanagedPastureAEZ09,1975,2.057157
USA,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,170.901432
Canada,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,9.305775
Western Europe,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,177.215697
Japan,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,0.405585
Australia_NZ,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,52.578954
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,174.97233
China,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,64.033614
Middle East,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,1.02762
Africa,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,164.709639
Latin America,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,97.578747
Southeast Asia,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,2.620845
Eastern Europe,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,104.639373
Korea,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,0.05796
India,root,ProtectedUnmanagedPastureAEZ10,ProtectedUnmanagedPastureAEZ10,1975,5.88456
USA,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,160.470981
Canada,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,0.042507
Western Europe,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,142.373646
Japan,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,0.174186
Australia_NZ,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,69.063273
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,1.766214
China,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,155.699208
Middle East,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,34.827669
Latin America,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,81.728658
Southeast Asia,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,8.164764
Eastern Europe,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,24.113016
Korea,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,0.068193
India,root,ProtectedUnmanagedPastureAEZ11,ProtectedUnmanagedPastureAEZ11,1975,2.509965
USA,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,79.35696
Canada,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,40.594761
Japan,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,0.048771
Australia_NZ,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,88.043067
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,0.842904
China,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,220.531356
Middle East,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,2.062026
Latin America,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,499.144572
Southeast Asia,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,5.669568
Eastern Europe,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,1.720764
Korea,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,0
India,root,ProtectedUnmanagedPastureAEZ12,ProtectedUnmanagedPastureAEZ12,1975,1.169208
USA,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,52.736409
Canada,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,10.420587
Western Europe,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,1.089144
Japan,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,0
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,600.612678
China,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,711.779544
Middle East,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,0
Latin America,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,112.767786
Southeast Asia,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,27.396126
Eastern Europe,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,0
India,root,ProtectedUnmanagedPastureAEZ13,ProtectedUnmanagedPastureAEZ13,1975,2.141622
USA,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,12.014208
Canada,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,4.49748
Western Europe,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,18.987417
Japan,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,0
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,160.313166
China,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,729.393102
Middle East,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,0
Latin America,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,62.999559
Southeast Asia,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,14.392575
Eastern Europe,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,0
India,root,ProtectedUnmanagedPastureAEZ14,ProtectedUnmanagedPastureAEZ14,1975,3.257055
USA,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,3.648906
Canada,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,35.792991
Western Europe,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,24.967161
Japan,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,0.0135
Australia_NZ,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,5.420061
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,180.072819
China,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,271.024677
Middle East,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,0
Latin America,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,29.304639
Southeast Asia,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,2.436093
Eastern Europe,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,1.301445
Korea,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,0
India,root,ProtectedUnmanagedPastureAEZ15,ProtectedUnmanagedPastureAEZ15,1975,1.988172
USA,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,1.50552
Canada,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,2.581011
Western Europe,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,18.525564
Japan,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,26.842545
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,3.146031
China,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,68.095449
Middle East,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,0
Latin America,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,16.57836
Southeast Asia,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,1.670148
Eastern Europe,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,1.210725
Korea,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,0
India,root,ProtectedUnmanagedPastureAEZ16,ProtectedUnmanagedPastureAEZ16,1975,1.139895
USA,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Japan,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,5.541597
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
China,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,2.590092
Middle East,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Latin America,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,1.746756
Southeast Asia,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Eastern Europe,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
India,root,ProtectedUnmanagedPastureAEZ17,ProtectedUnmanagedPastureAEZ17,1975,0
USA,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Canada,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Western Europe,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Japan,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Australia_NZ,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Former Soviet Union,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
China,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Middle East,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Africa,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Latin America,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0.789912
Southeast Asia,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Eastern Europe,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
Korea,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
India,root,ProtectedUnmanagedPastureAEZ18,ProtectedUnmanagedPastureAEZ18,1975,0
USA,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1990,0
Canada,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1990,0
Western Europe,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1990,0
Japan,root,ProtectedUnmanagedPastureAEZ01,ProtectedUnmanagedPastureAEZ01,1990,0
