INPUT_TABLE
Variable ID
LN2_MgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf2,year,allocation
Africa,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,26.07886
Latin America,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,4.20901
Southeast Asia,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
Eastern Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
Korea,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,0
India,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1975,3.4318
USA,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
Canada,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
Western Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
Japan,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
Australia_NZ,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,4.67493
Former Soviet Union,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
China,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
Middle East,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0.00102
Africa,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,32.64042
Latin America,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,13.93223
Southeast Asia,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0.04185
Eastern Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
Korea,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,0
India,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1975,12.20627
USA,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0
Canada,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0
Western Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0.0063
Japan,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0
Australia_NZ,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0.93631
Former Soviet Union,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0
China,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0.03913
Middle East,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0
Africa,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,40.13444
Latin America,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,30.05875
Southeast Asia,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,2.40552
Eastern Europe,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0
Korea,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,0
India,root,AgroForestLandAEZ04,AllPastureLandAEZ04,PastureAEZ04,1975,3.5436
USA,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
Canada,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
Western Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
Japan,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
Australia_NZ,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0.04838
Former Soviet Union,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
China,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0.21328
Middle East,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
Africa,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,17.75551
Latin America,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,86.16143
Southeast Asia,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,3.10764
Eastern Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
Korea,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0
India,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1975,0.94238
USA,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
Canada,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
Western Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
Japan,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
Australia_NZ,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0.09335
Former Soviet Union,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
China,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0.60521
Middle East,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
Africa,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,10.93203
Latin America,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,54.04451
Southeast Asia,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,22.79091
Eastern Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
Korea,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0
India,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1975,0.71664
USA,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,30.02352
Canada,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,5.79411
Western Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,0.05526
Japan,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,0
Australia_NZ,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,57.98867
Former Soviet Union,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,75.52631
China,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,36.26577
Middle East,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,5.33355
Africa,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,36.93869
Latin America,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,72.67662
Southeast Asia,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,20.68666
Eastern Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,0
Korea,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,0
India,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1975,5.39806
USA,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,9.34634
Canada,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,2.36824
Western Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,9.11879
Japan,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,0
Australia_NZ,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,4.70113
Former Soviet Union,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,23.94733
China,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,13.79948
Middle East,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,1.9812
Africa,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,14.68153
Latin America,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,23.44745
Southeast Asia,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,37.69027
Eastern Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,0.36412
Korea,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,0
India,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1975,3.17888
USA,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,1.50486
Canada,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,4.04936
Western Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,14.9696
Japan,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,0.1612
Australia_NZ,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,2.25685
Former Soviet Union,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,10.42281
China,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,3.28496
Middle East,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,0.28982
Africa,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,13.17111
Latin America,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,13.98212
Southeast Asia,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,1.30563
Eastern Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,3.39181
Korea,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,0
India,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1975,1.63234
USA,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,4.29024
Canada,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,2.08675
Western Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,32.24127
Japan,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,2.55369
Australia_NZ,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,1.29432
Former Soviet Union,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,12.35483
China,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,2.22023
Middle East,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,0.0081
Africa,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,5.27797
Latin America,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,9.26865
Southeast Asia,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,0.76295
Eastern Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,17.44723
Korea,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,0.04964
India,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1975,4.67454
USA,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,4.0284
Canada,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,0.00953
Western Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,25.90237
Japan,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,1.09675
Australia_NZ,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,1.70011
Former Soviet Union,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,0.12471
China,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,5.39853
Middle East,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,0
Africa,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,1.11602
Latin America,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,7.76517
Southeast Asia,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,2.38029
Eastern Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,4.02053
Korea,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,0.05841
India,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1975,1.99709
USA,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,1.99215
Canada,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0
Western Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,7.3855
Japan,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0.3071
Australia_NZ,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,2.16733
Former Soviet Union,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0.05952
China,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,7.64644
Middle East,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0
Africa,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0.06608
Latin America,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,47.41193
Southeast Asia,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,1.67631
Eastern Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0.28691
Korea,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0
India,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1975,0.92776
USA,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,1.32387
Canada,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,2.33674
Western Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,0.19815
Japan,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,0
Australia_NZ,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,0
Former Soviet Union,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,42.40938
China,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,24.68814
Middle East,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,0
Africa,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,0
Latin America,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,10.7114
Southeast Asia,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,8.05352
Eastern Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,0
Korea,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,0
India,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1975,1.69937
USA,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,0.3016
Canada,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,1.00853
Western Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,3.4545
Japan,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,0
Australia_NZ,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,0
Former Soviet Union,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,11.31975
China,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,25.29012
Middle East,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,0
Africa,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,0
Latin America,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,5.99607
Southeast Asia,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,4.1898
Eastern Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,0
Korea,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,0
India,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1975,2.58444
USA,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0.0916
Canada,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,8.0263
Western Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,4.54233
Japan,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0.08833
Australia_NZ,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0.13342
Former Soviet Union,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,12.71498
China,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,9.39719
Middle East,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0
Africa,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0
Latin America,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,2.78354
Southeast Asia,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0.70917
Eastern Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0.21889
Korea,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,0
India,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1975,1.64115
USA,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0.03779
Canada,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0.57877
Western Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,3.39448
Japan,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0
Australia_NZ,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0.66078
Former Soviet Union,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0.22214
China,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,2.36413
Middle East,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0
Africa,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0
Latin America,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,1.57478
Southeast Asia,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0.4862
Eastern Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0.20187
Korea,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0
India,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1975,0.90681
USA,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Canada,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Western Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Japan,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Australia_NZ,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0.13642
Former Soviet Union,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
China,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0.09008
Middle East,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Africa,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Latin America,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0.16592
Southeast Asia,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Eastern Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
Korea,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
India,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1975,0
USA,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Canada,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Western Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Japan,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Australia_NZ,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Former Soviet Union,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
China,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Middle East,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Africa,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Latin America,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0.07503
Southeast Asia,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Eastern Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
Korea,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
India,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1975,0
USA,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
Canada,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
Western Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
Japan,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
Australia_NZ,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,11.04321
Former Soviet Union,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
China,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
Middle East,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,4.59256
Africa,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,49.04814
Latin America,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,4.72128
Southeast Asia,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,1.27248
Eastern Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
Korea,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,0
India,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1990,1.57959
USA,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
Canada,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
Western Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
Japan,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
Australia_NZ,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,8.31535
Former Soviet Union,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
China,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
Middle East,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0.00043
Africa,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,26.78297
Latin America,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,4.69212
Southeast Asia,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
Eastern Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
Korea,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,0
India,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1990,3.19017
USA,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1990,0
Canada,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1990,0
Western Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1990,0
