INPUT_TABLE
Variable ID
LN2_HistMgdAllocation

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf2,year,allocation
China,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0.00944
Middle East,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
Africa,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,3.25234
Latin America,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,2.8831
Southeast Asia,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0.84365
Eastern Europe,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
Korea,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0
India,root,AgroForestLandAEZ05,AllPastureLandAEZ05,PastureAEZ05,1700,0.25898
USA,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
Canada,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
Western Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
Japan,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
Australia_NZ,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
Former Soviet Union,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
China,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0.08963
Middle East,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
Africa,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,2.21531
Latin America,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,3.2957
Southeast Asia,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,2.8148
Eastern Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
Korea,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0
India,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,1700,0.1516
USA,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0.16413
Canada,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0
Western Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0.01887
Japan,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0
Australia_NZ,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0
Former Soviet Union,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,7.63808
China,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,3.18417
Middle East,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0.56041
Africa,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,3.42441
Latin America,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,3.21719
Southeast Asia,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,1.75316
Eastern Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0
Korea,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0
India,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,1700,0.74327
USA,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0.04295
Canada,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0
Western Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,3.23618
Japan,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0
Australia_NZ,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0
Former Soviet Union,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,2.30542
China,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,1.67466
Middle East,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0.50753
Africa,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,1.63764
Latin America,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,1.80586
Southeast Asia,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,2.68213
Eastern Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0.17881
Korea,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0
India,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,1700,0.77764
USA,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0.00394
Canada,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0
Western Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,14.33356
Japan,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0.07161
Australia_NZ,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0
Former Soviet Union,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0.67069
China,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0.46213
Middle East,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0.07592
Africa,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,1.72738
Latin America,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,1.41011
Southeast Asia,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0.13482
Eastern Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,1.6074
Korea,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0
India,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,1700,0.56777
USA,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.01574
Canada,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0
Western Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,44.39277
Japan,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,1.31012
Australia_NZ,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0
Former Soviet Union,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.87397
China,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.3065
Middle East,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.00228
Africa,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.60079
Latin America,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.60244
Southeast Asia,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.23517
Eastern Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,9.41993
Korea,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.00667
India,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,1700,0.62076
USA,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.01342
Canada,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0
Western Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,24.37283
Japan,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.92757
Australia_NZ,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0
Former Soviet Union,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.01042
China,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.74843
Middle East,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0
Africa,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.12634
Latin America,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.31363
Southeast Asia,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.71736
Eastern Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,1.89947
Korea,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.00488
India,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,1700,0.30565
USA,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.00433
Canada,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0
Western Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,4.50868
Japan,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.28792
Australia_NZ,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0
Former Soviet Union,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.00819
China,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,1.09101
Middle East,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0
Africa,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.01105
Latin America,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.83652
Southeast Asia,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.33201
Eastern Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.12381
Korea,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0
India,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,1700,0.13433
USA,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0.00533
Canada,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0
Western Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0.12425
Japan,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0
Australia_NZ,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0
Former Soviet Union,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,4.47751
China,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,2.75666
Middle East,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0
Africa,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0
Latin America,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0.41595
Southeast Asia,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0.73919
Eastern Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0
Korea,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0
India,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,1700,0.23214
USA,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0.00036
Canada,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0
Western Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,1.01693
Japan,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0
Australia_NZ,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0
Former Soviet Union,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,1.26046
China,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,2.37367
Middle East,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0
Africa,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0
Latin America,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0.41843
Southeast Asia,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0.47486
Eastern Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0
Korea,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0
India,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,1700,0.3501
USA,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,1e-05
Canada,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0
Western Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,2.8039
Japan,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0.03908
Australia_NZ,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0
Former Soviet Union,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0.62455
China,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,1.07571
Middle East,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0
Africa,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0
Latin America,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0.31527
Southeast Asia,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0.23024
Eastern Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0.08985
Korea,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0
India,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,1700,0.20925
USA,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0
Canada,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0
Western Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,1.86247
Japan,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0
Australia_NZ,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0
Former Soviet Union,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0.01973
China,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0.31603
Middle East,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0
Africa,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0
Latin America,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0.20859
Southeast Asia,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0.12651
Eastern Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0.07578
Korea,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0
India,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,1700,0.11752
USA,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Canada,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Western Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Japan,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Australia_NZ,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Former Soviet Union,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
China,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0.01204
Middle East,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Africa,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Latin America,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0.01702
Southeast Asia,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Eastern Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
Korea,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
India,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,1700,0
USA,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Canada,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Western Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Japan,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Australia_NZ,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Former Soviet Union,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
China,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Middle East,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Africa,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Latin America,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0.00757
Southeast Asia,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Eastern Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
Korea,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
India,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,1700,0
USA,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
Canada,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
Western Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
Japan,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
Australia_NZ,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
Former Soviet Union,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
China,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
Middle East,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0.59501
Africa,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,8.23508
Latin America,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0.49471
Southeast Asia,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0.20843
Eastern Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
Korea,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0
India,root,AgroForestLandAEZ01,AllPastureLandAEZ01,PastureAEZ01,1750,0.33029
USA,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Canada,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Western Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Japan,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Australia_NZ,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Former Soviet Union,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
China,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Middle East,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,6e-05
Africa,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,6.00775
Latin America,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0.2769
Southeast Asia,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Eastern Europe,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
Korea,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0
India,root,AgroForestLandAEZ02,AllPastureLandAEZ02,PastureAEZ02,1750,0.86095
USA,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1750,0
Canada,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1750,0
Western Europe,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1750,0
Japan,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1750,0
Australia_NZ,root,AgroForestLandAEZ03,AllPastureLandAEZ03,PastureAEZ03,1750,0
