Carbon densities by crop type,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableID,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,,,,,,,,,,,,,,,,,,,,,,,,year to use for C contents,,
,,,,,,land-use-history,,land-carbon-densities,,,,,,,,,,,,,,,,2005,,
Canada,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,0.486773567,7,0.486773567,7,1,0,0,,,0.530,1.117,0.130,0.180,,2,2CropLand,AEZ8,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,0.317301356,8,0.317301356,8,1,0,0,,,0.530,0.728,0.130,0.180,,2,2CropLand,AEZ9,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,0.367710043,9,0.367710043,9,1,0,0,,,0.530,0.844,0.130,0.180,,2,2CropLand,AEZ10,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.365185252,9,0.365185252,9,1,0,0,,,0.530,0.838,0.130,0.180,,2,2CropLand,AEZ11,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0,9,0,9,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ12,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0,9,0,9,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ13,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0,10,0,10,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ14,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0.337140489,11,0.337140489,11,1,0,0,,,0.530,0.774,0.130,0.180,,2,2CropLand,AEZ15,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0.365184238,12,0.365184238,12,1,0,0,,,0.530,0.838,0.130,0.180,,2,2CropLand,AEZ16,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ17,Corn,2Corn2005,,
Canada,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,2,2CropLand,AEZ18,Corn,2Corn2005,,
Western Europe,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,3,0,3,1,0,0,,,0.530,0.000,0.130,0.180,,3,3CropLand,AEZ1,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,4,0,4,1,0,0,,,0.530,0.000,0.130,0.180,,3,3CropLand,AEZ2,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,5,0,5,1,0,0,,,0.530,0.000,0.130,0.180,,3,3CropLand,AEZ3,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0.447809116,6,0.447809116,6,1,0,0,,,0.530,1.028,0.130,0.180,,3,3CropLand,AEZ4,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,3,3CropLand,AEZ5,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,3,3CropLand,AEZ6,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0.189823203,6,0.189823203,6,1,0,0,,,0.530,0.436,0.130,0.180,,3,3CropLand,AEZ7,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,0.245760394,7,0.245760394,7,1,0,0,,,0.530,0.564,0.130,0.180,,3,3CropLand,AEZ8,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,0.317699005,8,0.317699005,8,1,0,0,,,0.530,0.729,0.130,0.180,,3,3CropLand,AEZ9,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,0.420765612,9,0.420765612,9,1,0,0,,,0.530,0.965,0.130,0.180,,3,3CropLand,AEZ10,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.467246251,9,0.467246251,9,1,0,0,,,0.530,1.072,0.130,0.180,,3,3CropLand,AEZ11,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0.409345878,9,0.409345878,9,1,0,0,,,0.530,0.939,0.130,0.180,,3,3CropLand,AEZ12,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0.175594693,9,0.175594693,9,1,0,0,,,0.530,0.403,0.130,0.180,,3,3CropLand,AEZ13,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0.369014464,10,0.369014464,10,1,0,0,,,0.530,0.847,0.130,0.180,,3,3CropLand,AEZ14,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0.381092964,11,0.381092964,11,1,0,0,,,0.530,0.874,0.130,0.180,,3,3CropLand,AEZ15,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0.401628291,12,0.401628291,12,1,0,0,,,0.530,0.922,0.130,0.180,,3,3CropLand,AEZ16,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,3,3CropLand,AEZ17,Corn,3Corn2005,,
Western Europe,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,3,3CropLand,AEZ18,Corn,3Corn2005,,
Japan,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,3,0,3,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ1,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,4,0,4,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ2,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,5,0,5,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ3,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ4,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ5,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ6,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ7,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,0,7,0,7,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ8,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,0.420933709,8,0.420933709,8,1,0,0,,,0.530,0.966,0.130,0.180,,4,4CropLand,AEZ9,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,0.420896051,9,0.420896051,9,1,0,0,,,0.530,0.966,0.130,0.180,,4,4CropLand,AEZ10,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.420913911,9,0.420913911,9,1,0,0,,,0.530,0.966,0.130,0.180,,4,4CropLand,AEZ11,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0.614704184,9,0.614704184,9,1,0,0,,,0.530,1.410,0.130,0.180,,4,4CropLand,AEZ12,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0,9,0,9,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ13,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0,10,0,10,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ14,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0.420836652,11,0.420836652,11,1,0,0,,,0.530,0.966,0.130,0.180,,4,4CropLand,AEZ15,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ16,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ17,Corn,4Corn2005,,
Japan,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,4,4CropLand,AEZ18,Corn,4Corn2005,,
Australia_NZ,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0.3053554,3,0.3053554,3,1,0,0,,,0.530,0.701,0.130,0.180,,5,5CropLand,AEZ1,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0.183834308,4,0.183834308,4,1,0,0,,,0.530,0.422,0.130,0.180,,5,5CropLand,AEZ2,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0.183333468,5,0.183333468,5,1,0,0,,,0.530,0.421,0.130,0.180,,5,5CropLand,AEZ3,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0.183421853,6,0.183421853,6,1,0,0,,,0.530,0.421,0.130,0.180,,5,5CropLand,AEZ4,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0.180946229,6,0.180946229,6,1,0,0,,,0.530,0.415,0.130,0.180,,5,5CropLand,AEZ5,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0.230350303,6,0.230350303,6,1,0,0,,,0.530,0.529,0.130,0.180,,5,5CropLand,AEZ6,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0.216779146,6,0.216779146,6,1,0,0,,,0.530,0.497,0.130,0.180,,5,5CropLand,AEZ7,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,0.437099217,7,0.437099217,7,1,0,0,,,0.530,1.003,0.130,0.180,,5,5CropLand,AEZ8,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,0.294463598,8,0.294463598,8,1,0,0,,,0.530,0.676,0.130,0.180,,5,5CropLand,AEZ9,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,0.221748645,9,0.221748645,9,1,0,0,,,0.530,0.509,0.130,0.180,,5,5CropLand,AEZ10,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.400439293,9,0.400439293,9,1,0,0,,,0.530,0.919,0.130,0.180,,5,5CropLand,AEZ11,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0.406165439,9,0.406165439,9,1,0,0,,,0.530,0.932,0.130,0.180,,5,5CropLand,AEZ12,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0,9,0,9,1,0,0,,,0.530,0.000,0.130,0.180,,5,5CropLand,AEZ13,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0,10,0,10,1,0,0,,,0.530,0.000,0.130,0.180,,5,5CropLand,AEZ14,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0,11,0,11,1,0,0,,,0.530,0.000,0.130,0.180,,5,5CropLand,AEZ15,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0.483123235,12,0.483123235,12,1,0,0,,,0.530,1.109,0.130,0.180,,5,5CropLand,AEZ16,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,5,5CropLand,AEZ17,Corn,5Corn2005,,
Australia_NZ,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,5,5CropLand,AEZ18,Corn,5Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,3,0,3,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ1,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,4,0,4,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ2,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,5,0,5,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ3,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ4,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,CornAEZ5,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ5,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,CornAEZ6,0,6,0,6,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ6,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,CornAEZ7,0.148666013,6,0.148666013,6,1,0,0,,,0.530,0.341,0.130,0.180,,6,6CropLand,AEZ7,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,CornAEZ8,0.152316272,7,0.152316272,7,1,0,0,,,0.530,0.349,0.130,0.180,,6,6CropLand,AEZ8,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,CornAEZ9,0.156816458,8,0.156816458,8,1,0,0,,,0.530,0.360,0.130,0.180,,6,6CropLand,AEZ9,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,CornAEZ10,0.181259118,9,0.181259118,9,1,0,0,,,0.530,0.416,0.130,0.180,,6,6CropLand,AEZ10,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,CornAEZ11,0.120337297,9,0.120337297,9,1,0,0,,,0.530,0.276,0.130,0.180,,6,6CropLand,AEZ11,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,CornAEZ12,0.149718303,9,0.149718303,9,1,0,0,,,0.530,0.344,0.130,0.180,,6,6CropLand,AEZ12,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,CornAEZ13,0.203574012,9,0.203574012,9,1,0,0,,,0.530,0.467,0.130,0.180,,6,6CropLand,AEZ13,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,CornAEZ14,0.206995697,10,0.206995697,10,1,0,0,,,0.530,0.475,0.130,0.180,,6,6CropLand,AEZ14,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,CornAEZ15,0.127914658,11,0.127914658,11,1,0,0,,,0.530,0.294,0.130,0.180,,6,6CropLand,AEZ15,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,CornAEZ16,0.123462531,12,0.123462531,12,1,0,0,,,0.530,0.283,0.130,0.180,,6,6CropLand,AEZ16,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,CropLandAEZ17,CornAEZ17,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ17,Corn,6Corn2005,,
Former Soviet Union,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,CropLandAEZ18,CornAEZ18,0,12,0,12,1,0,0,,,0.530,0.000,0.130,0.180,,6,6CropLand,AEZ18,Corn,6Corn2005,,
China,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,CornAEZ1,0,3,0,3,1,0,0,,,0.530,0.000,0.130,0.180,,7,7CropLand,AEZ1,Corn,7Corn2005,,
China,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,CornAEZ2,0,4,0,4,1,0,0,,,0.530,0.000,0.130,0.180,,7,7CropLand,AEZ2,Corn,7Corn2005,,
China,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,CornAEZ3,0,5,0,5,1,0,0,,,0.530,0.000,0.130,0.180,,7,7CropLand,AEZ3,Corn,7Corn2005,,
China,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,CornAEZ4,0.220965231,6,0.220965231,6,1,0,0,,,0.530,0.507,0.130,0.180,,7,7CropLand,AEZ4,Corn,7Corn2005,,
