SheepGoat Supply,,,,,,,,,,,,,,,,,,
Units and sector type,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,sectorType,,,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,FodderCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,MiscCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,OilCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,OtherGrain,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,Rice,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,SugarCrop,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,Wheat,share-weight,2005,2095,fixed,,,,,,,,,,,
USA,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Canada,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Western Europe,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Japan,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Australia_NZ,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Former Soviet Union,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
China,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Middle East,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Africa,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Latin America,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Southeast Asia,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Eastern Europe,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
Korea,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
India,SheepGoat,Mixed,Pasture,share-weight,2005,2095,fixed,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Efficiency: Mixed,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
7001,,,,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,,,,,,
,,,,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,minicam-energy-input,,,,,
USA,SheepGoat,Mixed,Corn,0.01865,0.01865,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,Corn,,,,,
Canada,SheepGoat,Mixed,Corn,0.01778,0.01778,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,Corn,,,,,
Western Europe,SheepGoat,Mixed,Corn,0.02662,0.02662,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,Corn,,,,,
Japan,SheepGoat,Mixed,Corn,0.02212,0.02212,0.02114,0.02114,0.02114,0.02114,0.02114,0.02114,0.02114,Corn,,,,,
Australia_NZ,SheepGoat,Mixed,Corn,0.01897,0.01897,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,Corn,,,,,
Former Soviet Union,SheepGoat,Mixed,Corn,0.01604,0.01604,0.02442,0.02442,0.02442,0.02442,0.02442,0.02442,0.02442,Corn,,,,,
China,SheepGoat,Mixed,Corn,0.03115,0.03115,0.03798,0.03798,0.03798,0.03798,0.03798,0.03798,0.03798,Corn,,,,,
Middle East,SheepGoat,Mixed,Corn,0.03312,0.03312,0.03860,0.03860,0.03860,0.03860,0.03860,0.03860,0.03860,Corn,,,,,
Africa,SheepGoat,Mixed,Corn,0.02860,0.02860,0.03100,0.03100,0.03100,0.03100,0.03100,0.03100,0.03100,Corn,,,,,
Latin America,SheepGoat,Mixed,Corn,0.01131,0.01131,0.01159,0.01159,0.01159,0.01159,0.01159,0.01159,0.01159,Corn,,,,,
Southeast Asia,SheepGoat,Mixed,Corn,0.03082,0.03082,0.03865,0.03865,0.03865,0.03865,0.03865,0.03865,0.03865,Corn,,,,,
Eastern Europe,SheepGoat,Mixed,Corn,0.01283,0.01283,0.01474,0.01474,0.01474,0.01474,0.01474,0.01474,0.01474,Corn,,,,,
Korea,SheepGoat,Mixed,Corn,0.03077,0.03077,0.03756,0.03756,0.03756,0.03756,0.03756,0.03756,0.03756,Corn,,,,,
India,SheepGoat,Mixed,Corn,0.03081,0.03081,0.03879,0.03879,0.03879,0.03879,0.03879,0.03879,0.03879,Corn,,,,,
USA,SheepGoat,Mixed,FodderCrop,0.01865,0.01865,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,FodderCrop,,,,,
Canada,SheepGoat,Mixed,FodderCrop,0.01778,0.01778,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,FodderCrop,,,,,
Western Europe,SheepGoat,Mixed,FodderCrop,0.02662,0.02662,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,FodderCrop,,,,,
Japan,SheepGoat,Mixed,FodderCrop,0.02212,0.02212,0.02114,0.02114,0.02114,0.02114,0.02114,0.02114,0.02114,FodderCrop,,,,,
Australia_NZ,SheepGoat,Mixed,FodderCrop,0.01897,0.01897,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,FodderCrop,,,,,
Former Soviet Union,SheepGoat,Mixed,FodderCrop,0.01604,0.01604,0.02442,0.02442,0.02442,0.02442,0.02442,0.02442,0.02442,FodderCrop,,,,,
China,SheepGoat,Mixed,FodderCrop,0.03115,0.03115,0.03798,0.03798,0.03798,0.03798,0.03798,0.03798,0.03798,FodderCrop,,,,,
Middle East,SheepGoat,Mixed,FodderCrop,0.03312,0.03312,0.03860,0.03860,0.03860,0.03860,0.03860,0.03860,0.03860,FodderCrop,,,,,
Africa,SheepGoat,Mixed,FodderCrop,0.02860,0.02860,0.03100,0.03100,0.03100,0.03100,0.03100,0.03100,0.03100,FodderCrop,,,,,
Latin America,SheepGoat,Mixed,FodderCrop,0.01131,0.01131,0.01159,0.01159,0.01159,0.01159,0.01159,0.01159,0.01159,FodderCrop,,,,,
Southeast Asia,SheepGoat,Mixed,FodderCrop,0.03082,0.03082,0.03865,0.03865,0.03865,0.03865,0.03865,0.03865,0.03865,FodderCrop,,,,,
Eastern Europe,SheepGoat,Mixed,FodderCrop,0.01283,0.01283,0.01474,0.01474,0.01474,0.01474,0.01474,0.01474,0.01474,FodderCrop,,,,,
Korea,SheepGoat,Mixed,FodderCrop,0.03077,0.03077,0.03756,0.03756,0.03756,0.03756,0.03756,0.03756,0.03756,FodderCrop,,,,,
India,SheepGoat,Mixed,FodderCrop,0.03081,0.03081,0.03879,0.03879,0.03879,0.03879,0.03879,0.03879,0.03879,FodderCrop,,,,,
USA,SheepGoat,Mixed,MiscCrop,0.01865,0.01865,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,MiscCrop,,,,,
Canada,SheepGoat,Mixed,MiscCrop,0.01778,0.01778,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,MiscCrop,,,,,
Western Europe,SheepGoat,Mixed,MiscCrop,0.02662,0.02662,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,MiscCrop,,,,,
Japan,SheepGoat,Mixed,MiscCrop,0.02212,0.02212,0.02114,0.02114,0.02114,0.02114,0.02114,0.02114,0.02114,MiscCrop,,,,,
Australia_NZ,SheepGoat,Mixed,MiscCrop,0.01897,0.01897,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,MiscCrop,,,,,
Former Soviet Union,SheepGoat,Mixed,MiscCrop,0.01604,0.01604,0.02442,0.02442,0.02442,0.02442,0.02442,0.02442,0.02442,MiscCrop,,,,,
China,SheepGoat,Mixed,MiscCrop,0.03115,0.03115,0.03798,0.03798,0.03798,0.03798,0.03798,0.03798,0.03798,MiscCrop,,,,,
Middle East,SheepGoat,Mixed,MiscCrop,0.03312,0.03312,0.03860,0.03860,0.03860,0.03860,0.03860,0.03860,0.03860,MiscCrop,,,,,
Africa,SheepGoat,Mixed,MiscCrop,0.02860,0.02860,0.03100,0.03100,0.03100,0.03100,0.03100,0.03100,0.03100,MiscCrop,,,,,
Latin America,SheepGoat,Mixed,MiscCrop,0.01131,0.01131,0.01159,0.01159,0.01159,0.01159,0.01159,0.01159,0.01159,MiscCrop,,,,,
Southeast Asia,SheepGoat,Mixed,MiscCrop,0.03082,0.03082,0.03865,0.03865,0.03865,0.03865,0.03865,0.03865,0.03865,MiscCrop,,,,,
Eastern Europe,SheepGoat,Mixed,MiscCrop,0.01283,0.01283,0.01474,0.01474,0.01474,0.01474,0.01474,0.01474,0.01474,MiscCrop,,,,,
Korea,SheepGoat,Mixed,MiscCrop,0.03077,0.03077,0.03756,0.03756,0.03756,0.03756,0.03756,0.03756,0.03756,MiscCrop,,,,,
India,SheepGoat,Mixed,MiscCrop,0.03081,0.03081,0.03879,0.03879,0.03879,0.03879,0.03879,0.03879,0.03879,MiscCrop,,,,,
USA,SheepGoat,Mixed,OilCrop,0.01865,0.01865,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,0.02078,OilCrop,,,,,
Canada,SheepGoat,Mixed,OilCrop,0.01778,0.01778,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,0.02094,OilCrop,,,,,
Western Europe,SheepGoat,Mixed,OilCrop,0.02662,0.02662,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,0.02433,OilCrop,,,,,
