INPUT_TABLE
Variable ID
MAC_12pt_Ag

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,generic.ghg,X0,X10,X20,X30,X40,X50,X75,X100,X125,X150,X175,X200,final.reduction
India,Rice,RiceAEZ03,RiceAEZ03,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ03,RiceAEZ03,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Middle East,Rice,RiceAEZ03,RiceAEZ03,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ03,RiceAEZ03,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
Africa,Rice,RiceAEZ04,RiceAEZ04,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ04,RiceAEZ04,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ04,RiceAEZ04,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
India,Rice,RiceAEZ04,RiceAEZ04,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ04,RiceAEZ04,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ04,RiceAEZ04,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
Western Europe,Rice,RiceAEZ04,RiceAEZ04,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Africa,Rice,RiceAEZ05,RiceAEZ05,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ05,RiceAEZ05,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ05,RiceAEZ05,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
India,Rice,RiceAEZ05,RiceAEZ05,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ05,RiceAEZ05,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ05,RiceAEZ05,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
Africa,Rice,RiceAEZ06,RiceAEZ06,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ06,RiceAEZ06,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ06,RiceAEZ06,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
India,Rice,RiceAEZ06,RiceAEZ06,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ06,RiceAEZ06,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ06,RiceAEZ06,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
Africa,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
India,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Middle East,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ07,RiceAEZ07,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Africa,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Eastern Europe,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
India,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Middle East,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ08,RiceAEZ08,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Africa,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Eastern Europe,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
India,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Japan,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Latin America,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Middle East,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ09,RiceAEZ09,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Africa,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Eastern Europe,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
India,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Japan,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Korea,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Middle East,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ10,RiceAEZ10,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Africa,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Eastern Europe,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
India,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Japan,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Korea,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ11,RiceAEZ11,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Africa,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Australia_NZ,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Eastern Europe,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
India,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Japan,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Latin America,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ12,RiceAEZ12,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ13,RiceAEZ13,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
India,Rice,RiceAEZ13,RiceAEZ13,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ13,RiceAEZ13,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ13,RiceAEZ13,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ13,RiceAEZ13,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ13,RiceAEZ13,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ14,RiceAEZ14,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
India,Rice,RiceAEZ14,RiceAEZ14,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ14,RiceAEZ14,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ14,RiceAEZ14,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ14,RiceAEZ14,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ14,RiceAEZ14,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Australia_NZ,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Eastern Europe,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
India,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Japan,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Latin America,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ15,RiceAEZ15,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Australia_NZ,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Eastern Europe,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
India,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Southeast Asia,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.1337,0.1337,0.1701,0.1701,0.1845,0.1845,0.2254,0.2555,0.2659,0.3349,0.3402,0.3402,0.377
USA,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Western Europe,Rice,RiceAEZ16,RiceAEZ16,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
Australia_NZ,Rice,RiceAEZ17,RiceAEZ17,2020,CH4_AGR,0.016,0.0569,0.0978,0.1387,0.1796,0.2205,0.241,0.241,0.241,0.241,0.241,0.241,0.3698
China,Rice,RiceAEZ17,RiceAEZ17,2020,CH4_AGR,0.1007,0.1203,0.1699,0.2009,0.2255,0.2364,0.2806,0.2878,0.3003,0.3134,0.3134,0.3344,0.3503
Latin America,Rice,RiceAEZ17,RiceAEZ17,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
Latin America,Rice,RiceAEZ18,RiceAEZ18,2020,CH4_AGR,0.099,0.099,0.1221,0.1412,0.1412,0.1663,0.1813,0.2044,0.2473,0.3094,0.3094,0.3203,0.3698
