INPUT_TABLE
Variable ID
LN2_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf2,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Canada,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
Western Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
Japan,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
Australia_NZ,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,7.65,0.5,7.65,10,0,0,Pasture,AEZ06,Pasture
Former Soviet Union,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
China,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,7.125,0.5,7.125,10,0,0,Pasture,AEZ06,Pasture
Middle East,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
Africa,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,7.2,0.5,7.2,10,0,0,Pasture,AEZ06,Pasture
Latin America,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,7.95,0.5,7.95,10,0,0,Pasture,AEZ06,Pasture
Southeast Asia,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,8.4,0.5,8.4,10,0,0,Pasture,AEZ06,Pasture
Eastern Europe,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
Korea,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
India,root,AgroForestLandAEZ06,AllPastureLandAEZ06,PastureAEZ06,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ06,Pasture
USA,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.45,0.3,6.45,10,0,0,Pasture,AEZ07,Pasture
Canada,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
Western Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
Japan,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
Australia_NZ,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,7.05,0.3,7.05,10,0,0,Pasture,AEZ07,Pasture
Former Soviet Union,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.45,0.3,6.45,10,0,0,Pasture,AEZ07,Pasture
China,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
Middle East,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.6,0.3,6.6,10,0,0,Pasture,AEZ07,Pasture
Africa,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.675,0.3,6.675,10,0,0,Pasture,AEZ07,Pasture
Latin America,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
Southeast Asia,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.525,0.3,6.525,10,0,0,Pasture,AEZ07,Pasture
Eastern Europe,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
Korea,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
India,root,AgroForestLandAEZ07,AllPastureLandAEZ07,PastureAEZ07,0.3,6.375,0.3,6.375,10,0,0,Pasture,AEZ07,Pasture
USA,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.5,0.35,7.5,10,0,0,Pasture,AEZ08,Pasture
Canada,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.35,0.35,7.35,10,0,0,Pasture,AEZ08,Pasture
Western Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.35,0.35,7.35,10,0,0,Pasture,AEZ08,Pasture
Japan,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.5,0.35,7.5,10,0,0,Pasture,AEZ08,Pasture
Australia_NZ,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ08,Pasture
Former Soviet Union,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.425,0.35,7.425,10,0,0,Pasture,AEZ08,Pasture
China,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.425,0.35,7.425,10,0,0,Pasture,AEZ08,Pasture
Middle East,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.425,0.35,7.425,10,0,0,Pasture,AEZ08,Pasture
Africa,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.275,0.35,7.275,10,0,0,Pasture,AEZ08,Pasture
Latin America,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.5,0.35,7.5,10,0,0,Pasture,AEZ08,Pasture
Southeast Asia,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.425,0.35,7.425,10,0,0,Pasture,AEZ08,Pasture
Eastern Europe,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.35,0.35,7.35,10,0,0,Pasture,AEZ08,Pasture
Korea,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.5,0.35,7.5,10,0,0,Pasture,AEZ08,Pasture
India,root,AgroForestLandAEZ08,AllPastureLandAEZ08,PastureAEZ08,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ08,Pasture
USA,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,8.25,0.35,8.25,10,0,0,Pasture,AEZ09,Pasture
Canada,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.5,0.35,7.5,10,0,0,Pasture,AEZ09,Pasture
Western Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.575,0.35,7.575,10,0,0,Pasture,AEZ09,Pasture
Japan,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ09,Pasture
Australia_NZ,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.2,0.35,7.2,10,0,0,Pasture,AEZ09,Pasture
Former Soviet Union,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.8,0.35,7.8,10,0,0,Pasture,AEZ09,Pasture
China,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.725,0.35,7.725,10,0,0,Pasture,AEZ09,Pasture
Middle East,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.35,0.35,7.35,10,0,0,Pasture,AEZ09,Pasture
Africa,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.275,0.35,7.275,10,0,0,Pasture,AEZ09,Pasture
Latin America,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,8.475,0.35,8.475,10,0,0,Pasture,AEZ09,Pasture
Southeast Asia,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,8.55,0.35,8.55,10,0,0,Pasture,AEZ09,Pasture
Eastern Europe,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.425,0.35,7.425,10,0,0,Pasture,AEZ09,Pasture
Korea,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,8.625,0.35,8.625,10,0,0,Pasture,AEZ09,Pasture
India,root,AgroForestLandAEZ09,AllPastureLandAEZ09,PastureAEZ09,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ09,Pasture
USA,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,8.025,0.35,8.025,10,0,0,Pasture,AEZ10,Pasture
Canada,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.275,0.35,7.275,10,0,0,Pasture,AEZ10,Pasture
Western Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.2,0.35,7.2,10,0,0,Pasture,AEZ10,Pasture
Japan,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.575,0.35,7.575,10,0,0,Pasture,AEZ10,Pasture
Australia_NZ,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.275,0.35,7.275,10,0,0,Pasture,AEZ10,Pasture
Former Soviet Union,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.575,0.35,7.575,10,0,0,Pasture,AEZ10,Pasture
China,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,9.15,0.35,9.15,10,0,0,Pasture,AEZ10,Pasture
Middle East,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.575,0.35,7.575,10,0,0,Pasture,AEZ10,Pasture
Africa,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.575,0.35,7.575,10,0,0,Pasture,AEZ10,Pasture
Latin America,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,9,0.35,9,10,0,0,Pasture,AEZ10,Pasture
Southeast Asia,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.65,0.35,7.65,10,0,0,Pasture,AEZ10,Pasture
Eastern Europe,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ10,Pasture
Korea,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ10,Pasture
India,root,AgroForestLandAEZ10,AllPastureLandAEZ10,PastureAEZ10,0.35,9.45,0.35,9.45,10,0,0,Pasture,AEZ10,Pasture
USA,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,7.725,0.4,7.725,10,0,0,Pasture,AEZ11,Pasture
Canada,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,10.875,0.4,10.875,10,0,0,Pasture,AEZ11,Pasture
Western Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,7.125,0.4,7.125,10,0,0,Pasture,AEZ11,Pasture
Japan,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,8.7,0.4,8.7,10,0,0,Pasture,AEZ11,Pasture
Australia_NZ,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,8.25,0.4,8.25,10,0,0,Pasture,AEZ11,Pasture
Former Soviet Union,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,7.125,0.4,7.125,10,0,0,Pasture,AEZ11,Pasture
China,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,9.525,0.4,9.525,10,0,0,Pasture,AEZ11,Pasture
Middle East,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,10.875,0.4,10.875,10,0,0,Pasture,AEZ11,Pasture
Africa,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,7.875,0.4,7.875,10,0,0,Pasture,AEZ11,Pasture
Latin America,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,9.675,0.4,9.675,10,0,0,Pasture,AEZ11,Pasture
Southeast Asia,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,8.775,0.4,8.775,10,0,0,Pasture,AEZ11,Pasture
Eastern Europe,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,7.125,0.4,7.125,10,0,0,Pasture,AEZ11,Pasture
Korea,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,10.875,0.4,10.875,10,0,0,Pasture,AEZ11,Pasture
India,root,AgroForestLandAEZ11,AllPastureLandAEZ11,PastureAEZ11,0.4,9.9,0.4,9.9,10,0,0,Pasture,AEZ11,Pasture
USA,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,10.125,0.5,10.125,10,0,0,Pasture,AEZ12,Pasture
Canada,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,12,0.5,12,10,0,0,Pasture,AEZ12,Pasture
Western Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,7.125,0.5,7.125,10,0,0,Pasture,AEZ12,Pasture
Japan,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,12,0.5,12,10,0,0,Pasture,AEZ12,Pasture
Australia_NZ,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,8.625,0.5,8.625,10,0,0,Pasture,AEZ12,Pasture
Former Soviet Union,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,12,0.5,12,10,0,0,Pasture,AEZ12,Pasture
China,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,7.575,0.5,7.575,10,0,0,Pasture,AEZ12,Pasture
Middle East,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,12,0.5,12,10,0,0,Pasture,AEZ12,Pasture
Africa,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,7.575,0.5,7.575,10,0,0,Pasture,AEZ12,Pasture
Latin America,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,10.5,0.5,10.5,10,0,0,Pasture,AEZ12,Pasture
Southeast Asia,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,9.225,0.5,9.225,10,0,0,Pasture,AEZ12,Pasture
Eastern Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,7.125,0.5,7.125,10,0,0,Pasture,AEZ12,Pasture
Korea,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,12,0.5,12,10,0,0,Pasture,AEZ12,Pasture
India,root,AgroForestLandAEZ12,AllPastureLandAEZ12,PastureAEZ12,0.5,10.8,0.5,10.8,10,0,0,Pasture,AEZ12,Pasture
USA,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Canada,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.1,0.3,8.1,10,0,0,Pasture,AEZ13,Pasture
Western Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
