BEND_sector,BEND_service,BEND_fuel,BEND_technology,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Commercial,Hot Water Heating Energy (kBtu/Yr),District Hot Water,District Hot Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial,Lighting Energy (kBtu/Yr),Electricity,electric lighting,1.14E+10,2.09E+09,3.19E+09,7.30E+09,4.81E+10,1.51E+10,5.94E+09,1.25E+09,8.40E+08,2.70E+10,2.57E+10,8.50E+08,4.67E+09,2.38E+10,1.15E+10,7.58E+09,4.63E+09,6.05E+09,6.27E+09,3.50E+09,7.78E+09,1.10E+10,2.13E+10,1.60E+10,6.00E+09,9.80E+09,2.96E+09,3.45E+09,3.06E+09,3.50E+09,1.47E+10,2.86E+09,3.83E+10,2.51E+10,1.96E+09,2.07E+10,9.67E+09,2.53E+09,2.18E+10,1.81E+09,1.17E+10,2.40E+09,1.45E+10,3.58E+10,7.83E+09,1.65E+09,1.44E+10,7.99E+09,2.16E+09,1.70E+10,1.61E+09
Commercial,Ventilation (kBtu/Yr),Electricity,ventilation,1.24E+10,2.99E+09,4.48E+09,7.94E+09,6.22E+10,2.06E+10,8.34E+09,1.37E+09,9.17E+08,2.90E+10,2.80E+10,9.80E+08,6.54E+09,3.42E+10,1.64E+10,1.08E+10,6.42E+09,6.61E+09,6.82E+09,5.02E+09,8.49E+09,1.55E+10,3.06E+10,2.35E+10,6.54E+09,1.36E+10,4.16E+09,4.96E+09,4.30E+09,4.85E+09,2.01E+10,4.04E+09,5.24E+10,2.75E+10,2.93E+09,2.97E+10,1.05E+10,3.26E+09,3.02E+10,2.55E+09,1.28E+10,3.50E+09,1.59E+10,3.97E+10,1.12E+10,2.36E+09,1.58E+10,1.01E+10,2.40E+09,2.49E+10,2.26E+09
Commercial,Pumping Energy (kBtu/Yr),Electricity,HVAC Pumps,4.68E+08,2.59E+07,1.53E+08,2.77E+08,1.71E+09,2.81E+08,7.03E+07,4.48E+07,3.01E+07,1.90E+09,1.00E+09,5.38E+07,7.79E+07,6.15E+08,3.01E+08,2.03E+08,1.38E+08,2.17E+08,3.88E+08,4.51E+07,2.79E+08,1.32E+08,5.43E+08,3.81E+08,2.64E+08,2.90E+08,4.27E+07,8.89E+07,7.93E+07,4.99E+07,1.99E+08,7.30E+07,5.54E+08,8.59E+08,3.43E+07,5.41E+08,3.74E+08,3.82E+07,2.90E+08,2.15E+07,4.56E+08,6.27E+07,4.85E+08,2.07E+09,1.33E+08,2.18E+07,4.78E+08,1.13E+08,7.49E+07,4.25E+08,2.34E+07
Commercial,Other Energy (kBtu/Yr),Gas,Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial,Other Energy (kBtu/Yr),Electricity,Electricity,1.72E+10,2.94E+09,4.58E+09,1.10E+10,6.86E+10,2.12E+10,8.70E+09,1.88E+09,1.26E+09,4.14E+10,3.86E+10,1.23E+09,6.57E+09,3.57E+10,1.72E+10,1.14E+10,6.95E+09,9.09E+09,9.56E+09,5.13E+09,1.17E+10,1.61E+10,3.18E+10,2.39E+10,9.05E+09,1.47E+10,4.15E+09,5.17E+09,4.33E+09,5.13E+09,2.16E+10,4.05E+09,5.61E+10,3.76E+10,2.92E+09,3.10E+10,1.45E+10,3.56E+09,3.19E+10,2.66E+09,1.76E+10,3.60E+09,2.17E+10,5.44E+10,1.10E+10,2.41E+09,2.16E+10,1.12E+10,3.24E+09,2.54E+10,2.27E+09
Commercial,Other Energy (kBtu/Yr),Refined Liquids,Refined Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,Heating Energy (kBtu/Yr),Electricity,Direct Fired,5.26E+10,1.53E+10,2.07E+10,2.99E+10,2.01E+11,5.04E+10,7.61E+10,1.63E+10,1.09E+10,1.57E+11,9.17E+10,2.34E+08,1.61E+10,1.79E+11,8.46E+10,3.09E+10,2.67E+10,7.87E+10,6.16E+10,5.39E+09,1.22E+11,1.37E+11,1.33E+11,4.57E+10,4.75E+10,5.68E+10,1.01E+10,2.46E+10,2.01E+10,4.68E+09,1.30E+11,1.41E+10,1.58E+11,9.95E+10,6.36E+09,1.56E+11,3.45E+10,3.64E+10,1.92E+11,2.32E+10,4.70E+10,6.45E+09,8.63E+10,3.67E+11,2.89E+10,2.50E+09,1.34E+11,6.41E+10,6.77E+10,4.72E+10,5.88E+09
Residential,Heating Energy (kBtu/Yr),Electricity,Heat Pump,2.16E+09,6.04E+08,2.23E+08,4.02E+09,1.21E+09,1.32E+09,1.29E+10,3.88E+09,2.61E+09,1.36E+09,5.62E+09,8.69E+05,3.50E+08,5.76E+10,3.17E+10,5.47E+09,2.22E+10,1.88E+10,5.80E+08,0.00E+00,2.73E+10,2.32E+10,3.34E+10,1.68E+09,1.09E+09,4.56E+10,4.88E+08,6.70E+09,1.18E+08,0.00E+00,2.92E+10,3.29E+08,4.51E+10,1.28E+10,2.37E+08,6.77E+10,2.42E+09,1.24E+09,4.41E+10,3.94E+09,2.34E+09,2.33E+08,1.49E+10,3.98E+09,1.35E+08,0.00E+00,2.82E+10,1.85E+09,1.38E+10,1.72E+09,2.71E+08
Residential,Heating Energy (kBtu/Yr),Gas,Direct Fired,9.18E+10,5.32E+10,4.54E+10,8.08E+10,6.08E+11,1.92E+11,2.75E+11,3.55E+10,2.39E+10,5.64E+10,2.36E+11,2.06E+08,7.36E+10,7.99E+11,4.02E+11,2.67E+11,1.94E+11,1.72E+11,2.25E+10,7.51E+10,2.56E+11,5.00E+11,7.30E+11,6.71E+11,4.45E+10,4.03E+11,4.33E+10,1.13E+11,5.21E+10,6.56E+10,6.20E+11,6.77E+10,1.24E+12,3.42E+11,9.32E+10,7.81E+11,8.59E+10,1.88E+11,9.51E+11,8.38E+10,1.00E+11,9.45E+10,2.54E+11,1.54E+11,1.47E+11,3.49E+10,3.38E+11,3.24E+11,1.29E+11,6.93E+11,2.44E+10
Residential,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired,1.60E+09,3.90E+09,8.37E+08,4.21E+09,1.80E+10,1.23E+10,1.61E+11,4.58E+09,3.07E+09,1.16E+09,4.07E+09,5.83E+06,4.08E+09,6.22E+10,4.11E+10,2.12E+10,4.54E+10,2.21E+10,4.45E+08,4.84E+10,3.08E+10,2.93E+11,4.84E+10,5.89E+10,7.93E+08,9.23E+10,3.46E+09,6.74E+09,1.74E+09,4.23E+10,5.40E+11,1.52E+09,1.26E+12,1.14E+10,8.16E+09,9.47E+10,2.16E+09,1.70E+09,8.22E+11,4.90E+10,1.74E+09,8.32E+09,1.56E+10,2.96E+09,5.96E+09,2.25E+10,3.19E+10,5.77E+09,1.28E+10,6.08E+10,1.92E+09
Residential,Heating Energy (kBtu/Yr),District Heating,District Heating,0.00E+00,0.00E+00,1.03E+07,1.79E+08,1.41E+07,0.00E+00,4.96E+09,2.53E+08,1.70E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.90E+08,1.05E+09,1.96E+08,1.96E+09,1.22E+09,0.00E+00,0.00E+00,1.57E+09,8.91E+09,2.37E+08,6.82E+08,0.00E+00,3.96E+09,0.00E+00,1.23E+07,0.00E+00,0.00E+00,7.17E+09,1.88E+07,4.92E+09,3.56E+08,9.47E+07,2.90E+09,4.23E+07,9.52E+07,1.03E+10,1.51E+09,0.00E+00,9.63E+07,7.18E+08,0.00E+00,0.00E+00,0.00E+00,1.66E+09,1.28E+08,4.90E+08,7.04E+08,0.00E+00
Residential,Cooling Energy (kBtu/Yr),Electricity,Air Conditioning,9.70E+10,9.26E+08,1.34E+11,5.23E+10,5.34E+11,1.96E+10,7.46E+10,1.63E+10,1.10E+10,7.71E+11,1.91E+11,3.61E+10,6.91E+09,1.78E+11,9.70E+10,4.20E+10,7.06E+10,7.90E+10,1.47E+11,1.03E+10,1.18E+11,1.35E+11,1.30E+11,6.73E+10,6.54E+10,1.45E+11,2.57E+09,2.25E+10,3.87E+10,1.18E+10,2.63E+11,1.87E+10,5.36E+11,1.48E+11,5.49E+09,1.80E+11,6.72E+10,8.85E+09,3.48E+11,2.28E+10,8.10E+10,1.14E+10,1.03E+11,7.51E+11,1.69E+10,5.00E+09,1.37E+11,1.71E+10,4.57E+10,7.61E+10,1.37E+09
Residential,Cooling Energy (kBtu/Yr),District Cooling,District Cooling,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Residential,Hot Water Heating Energy (kBtu/Yr),Electricity,electric water heater,2.40E+10,1.79E+09,3.92E+10,7.30E+09,5.68E+10,9.95E+09,2.98E+09,4.94E+09,3.32E+09,2.20E+11,3.04E+10,6.33E+09,2.90E+09,1.81E+10,1.23E+10,5.51E+09,1.44E+10,2.39E+10,5.66E+10,4.75E+08,3.22E+10,5.40E+09,1.29E+10,1.39E+10,2.68E+10,2.92E+10,2.25E+09,1.87E+09,1.74E+10,4.47E+08,2.01E+10,5.91E+09,5.05E+10,1.14E+10,1.81E+09,2.64E+10,1.01E+10,1.88E+10,2.89E+10,9.10E+08,1.57E+10,2.04E+09,1.63E+10,3.04E+11,4.06E+09,2.22E+08,3.38E+10,2.78E+10,1.08E+10,1.46E+10,1.23E+09
Residential,Hot Water Heating Energy (kBtu/Yr),Gas,gas water heater,1.15E+11,2.28E+10,7.93E+10,8.61E+10,1.21E+12,1.55E+11,1.17E+11,2.79E+10,1.87E+10,2.06E+11,2.64E+11,1.43E+10,5.80E+10,5.06E+11,2.58E+11,1.28E+11,1.38E+11,1.35E+11,5.31E+10,1.83E+10,2.13E+11,2.13E+11,4.05E+11,2.60E+11,5.95E+10,2.87E+11,2.88E+10,6.84E+10,5.14E+10,1.73E+10,3.22E+11,7.07E+10,6.15E+11,2.94E+11,3.38E+10,4.85E+11,1.03E+11,1.23E+11,4.55E+11,3.58E+10,1.20E+11,3.81E+10,2.02E+11,3.14E+11,1.22E+11,8.58E+09,2.56E+11,2.26E+11,1.04E+11,2.73E+11,1.58E+10
Residential,Hot Water Heating Energy (kBtu/Yr),Refined Liquids,fuel water heater,1.07E+09,1.06E+09,4.24E+08,8.65E+08,1.00E+10,5.35E+09,4.65E+10,3.03E+08,2.04E+08,1.38E+09,2.54E+09,1.02E+08,1.31E+09,3.38E+09,1.87E+09,1.29E+09,1.38E+09,1.47E+09,3.51E+08,1.30E+10,2.60E+09,8.48E+10,3.08E+09,3.23E+09,5.07E+08,2.84E+09,1.33E+09,4.54E+08,4.17E+08,1.23E+10,1.24E+11,4.71E+08,2.59E+11,2.95E+09,4.21E+08,3.68E+09,1.01E+09,7.51E+08,1.78E+11,1.42E+10,1.15E+09,4.71E+08,2.07E+09,2.16E+09,1.10E+09,6.07E+09,2.71E+09,2.00E+09,1.52E+09,3.38E+09,7.27E+08
Residential,Lighting Energy (kBtu/Yr),Electricity,electric lighting,1.04E+10,1.09E+09,1.03E+10,6.39E+09,8.19E+10,8.68E+09,1.23E+10,2.10E+09,1.41E+09,4.59E+10,2.12E+10,2.19E+09,3.07E+09,2.96E+10,1.55E+10,7.73E+09,9.39E+09,1.02E+10,1.06E+10,2.37E+09,1.56E+10,2.24E+10,2.35E+10,1.53E+10,6.87E+09,1.94E+10,1.54E+09,3.94E+09,4.62E+09,2.37E+09,3.67E+10,4.29E+09,7.39E+10,1.97E+10,1.88E+09,2.90E+10,8.00E+09,7.20E+09,5.08E+10,3.77E+09,9.72E+09,2.30E+09,1.38E+10,5.79E+10,6.31E+09,1.12E+09,1.83E+10,1.29E+10,6.90E+09,1.62E+10,8.41E+08
Residential,Ventilation (kBtu/Yr),Electricity,ventilation,2.49E+10,2.79E+09,2.42E+10,1.53E+10,1.28E+11,1.10E+10,2.28E+10,5.79E+09,3.89E+09,1.35E+11,5.09E+10,5.26E+09,7.55E+09,7.11E+10,3.76E+10,1.76E+10,2.38E+10,2.80E+10,2.93E+10,3.47E+09,4.18E+10,4.13E+10,5.48E+10,3.39E+10,1.67E+10,4.91E+10,1.04E+10,9.30E+09,9.25E+09,3.53E+09,6.56E+10,5.83E+09,1.26E+11,4.92E+10,3.99E+09,7.14E+10,1.84E+10,8.77E+09,9.00E+10,6.96E+09,2.24E+10,5.15E+09,3.64E+10,1.58E+11,1.04E+10,1.65E+09,5.00E+10,1.62E+10,1.78E+10,3.63E+10,5.10E+09
Residential,Pumping Energy (kBtu/Yr),Electricity,HVAC Pumps,1.44E+08,2.71E+07,1.39E+08,9.51E+07,1.32E+09,1.68E+08,2.22E+08,3.53E+07,2.37E+07,5.21E+08,3.00E+08,2.62E+07,6.17E+07,5.32E+08,2.80E+08,1.34E+08,1.73E+08,1.71E+08,1.29E+08,3.67E+07,2.59E+08,4.03E+08,4.17E+08,2.77E+08,9.26E+07,3.57E+08,3.25E+07,6.99E+07,7.46E+07,3.42E+07,5.89E+08,7.91E+07,1.12E+09,3.03E+08,3.61E+07,5.39E+08,1.15E+08,1.48E+08,8.42E+08,6.79E+07,1.38E+08,4.04E+07,2.21E+08,7.15E+08,1.27E+08,1.72E+07,3.03E+08,2.62E+08,1.18E+08,2.90E+08,1.78E+07
Residential,Other Energy (kBtu/Yr),Gas,Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,Other Energy (kBtu/Yr),Electricity,Electricity,8.85E+10,9.28E+09,8.77E+10,5.42E+10,6.96E+11,7.37E+10,1.04E+11,1.79E+10,1.20E+10,3.90E+11,1.80E+11,1.86E+10,2.61E+10,2.53E+11,1.32E+11,6.59E+10,8.01E+10,8.64E+10,9.04E+10,2.00E+10,1.33E+11,1.89E+11,2.00E+11,1.30E+11,5.84E+10,1.66E+11,1.31E+10,3.36E+10,3.92E+10,2.00E+10,3.09E+11,3.65E+10,6.23E+11,1.67E+11,1.60E+10,2.47E+11,6.80E+10,6.12E+10,4.28E+11,3.18E+10,8.25E+10,1.96E+10,1.18E+11,4.92E+11,5.36E+10,9.40E+09,1.55E+11,1.10E+11,5.86E+10,1.38E+11,7.15E+09
Residential,Other Energy (kBtu/Yr),Refined Liquids,Refined Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
