Country,iso,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Georgia,geo,25576,26258,26407,28627,29629,29884,31465,32391,33394,33423,33652,34147,35183,36508,37181,37717,39482,40209,41285,42125,41325,32605,17966,12702,11381,11677,12984,14348,14793,15221,15495,16239,17132,19034,20149,22083,24155,27137,27765,26672,28139
Ghana,gha,12515,13514,13109,13484,14411,12616,12171,12450,13508,13163,12747,12765,11879,11339,12319,12943,13621,14274,15077,15843,16372,17240,17912,18808,19429,20206,21135,22023,23058,24073,24963,26011,27182,28595,30196,31978,34024,36222,39276,41106,43819
Guinea,gin,1694,1747,1783,1861,1992,2076,2280,2332,2394,2400,2484,2499,2546,2578,2651,2713,2782,2870,3043,3168,3304,3383,3502,3673,3820,3999,4203,4413,4625,4838,4939,5136,5252,5417,5544,5710,5852,5955,6249,6232,6392
Gambia,gmb,426,475,509,533,638,598,668,701,665,773,697,691,779,685,665,609,641,676,747,799,833,851,889,943,979,945,1003,1052,1089,1159,1224,1295,1254,1338,1432,1506,1604,1705,1809,1893,1988
Guinea-Bissau,gnb,540,519,552,558,584,630,661,614,694,708,595,703,745,685,713,752,747,735,765,769,794,834,844,861,889,928,970,1024,736,795,870,871,826,831,856,900,920,923,955,983,1006
Equatorial Guinea,gnq,354,325,284,289,282,276,277,281,306,341,378,387,403,418,528,455,474,502,538,560,576,603,668,710,746,852,1100,1884,2298,3250,3773,5301,5809,6873,9485,10409,10540,12801,14246,13471,13875
Greece,grc,54609,58496,65775,68355,65868,69853,74296,76843,81989,85015,86505,86553,86895,87244,89645,92442,93941,93507,97670,101425,101452,104597,105329,103644,105717,107937,110482,114501,118353,122399,127880,133773,138912,145334,151682,155140,162102,168998,171116,167204,160486
Guatemala,gtm,15364,16221,17412,18593,19779,20164,21654,23344,24511,25667,26632,26804,25858,25193,25321,25167,25199,26094,27110,28179,29050,30125,31601,32865,34212,35923,37000,38518,40482,42020,43533,44549,45551,46512,47978,49542,52208,55499,57330,57659,58903
Hong Kong,hkg,22548,24144,26639,29931,30629,30729,35718,39908,43300,48289,53177,58066,59662,63055,69340,69639,77122,87099,94083,96478,99770,105395,112336,119466,126016,130912,136550,143476,136347,141006,155337,156057,159003,164103,177997,190603,203983,216998,221805,215503,228501
Honduras,hnd,4296,4462,4635,4866,4826,4949,5467,6047,6662,6976,7014,7196,7078,7030,7312,7640,7710,8167,8571,8894,8898,9138,9668,10355,10158,10534,10913,11459,11791,11567,12134,12450,12789,13234,14059,14909,15889,16891,17561,17226,17638
Croatia ,hrv,18995,21185,21917,22648,25569,25569,26361,28281,29839,31887,33421,33956,34263,34573,35365,35672,37152,36720,36207,35747,33139,26147,23088,21241,22494,24023,25441,27171,27850,27599,28400,29649,31191,32532,33915,35342,37017,39043,39964,37641,37340
Haiti,hti,4174,4445,4603,4810,5114,4995,5422,5448,5710,6127,6591,6410,6191,6238,6256,6269,6261,6214,6263,6329,6323,6329,5456,5336,4893,5138,5349,5493,5614,5765,5817,5755,5723,5752,5550,5649,5777,5970,6020,6194,5668
Hungary,hun,51974,54293,55460,58339,59852,61135,61316,65164,66743,66875,67549,68026,70477,69753,71579,69819,71217,72319,73421,71776,66990,59019,57211,56881,58558,59430,60214,62964,66024,68766,72345,75130,77758,79927,83684,86947,90425,91329,91877,86089,86347
Indonesia,idn,138612,146200,162748,186900,196374,196374,213675,230338,240853,253961,275805,294768,283922,295296,315677,323451,342452,359323,379917,414090,450901,473680,524482,560544,602585,651997,704156,735844,639448,644564,675503,697794,727094,762545,800908,846500,893065,949731,1006777,1052544,1114811
India,ind,469584,474338,472766,494832,500146,544683,551402,593834,625695,594510,637202,675882,697705,753942,783042,814344,848990,886154,978822,1043912,1098100,1112340,1169301,1238272,1328047,1425623,1537383,1611108,1715943,1819937,1899526,2009448,2080337,2267136,2454813,2683177,2936351,3219242,3384028,3643104,3989199
Ireland,irl,18289,18923,20151,21103,22002,23246,23571,25506,27340,28180,29047,30013,30698,30624,31957,32943,32802,34331,36123,38223,41459,42259,43672,44848,47429,51999,56292,62867,68227,75542,82504,87604,92961,97077,101540,107650,113379,119758,115510,106754,104627
Iran,irn,120865,135829,157909,171466,186655,195684,229241,226315,199481,182267,156643,151918,175826,199031,202379,207245,187780,184939,174532,181227,199819,220999,234472,239395,244901,252983,267403,280773,285827,296117,312995,324580,348923,371952,390862,408933,433036,466920,477842,484301,491367
Iraq,irq,32691,34712,33430,39042,41133,47977,57735,59320,70127,86258,84392,69078,68501,62544,62699,61714,61073,62812,49540,45160,44583,16540,21370,21370,20306,18475,20799,19996,22993,24948,27692,30185,32297,25256,36999,36740,39019,39604,43367,45189,47263
Israel,isr,23520,26107,29342,30839,32941,34038,34480,34480,36144,38416,41053,43173,43948,45496,45905,47489,49760,53344,54417,54895,58511,61848,66051,68298,74172,79215,82938,85675,88246,87903,94408,93558,92155,100065,105067,110424,116716,122920,128270,129281,134184
Italy,ita,521506,531385,546933,582713,610040,596946,635737,654108,678494,716984,742299,745816,749233,758360,777841,799697,822404,847870,880671,906053,925654,938522,945660,937303,957993,986004,996782,1016980,1035224,1052447,1084305,1103435,1107664,1110691,1125728,1134730,1158615,1174513,1158992,1100381,1112160
Jamaica,jam,7481,7481,7706,8411,8095,8093,7603,7443,7496,7363,6957,7142,7237,7405,7343,7003,7119,7668,7889,8428,8890,8917,9140,9304,9481,9642,9497,9355,9317,9308,9411,9574,9672,9895,10033,10136,10411,10560,10502,10182,10242
Jordan,jor,3600,3682,3800,3999,4355,4657,5789,6166,7462,8142,9689,10147,10897,11115,12071,12493,13626,13997,13853,12387,12371,12656,14807,15666,16445,17495,17861,18409,18950,19530,20288,21282,22304,23040,25012,27043,29192,31669,34075,34865,36266
Japan,jpn,1013602,1061230,1150516,1242932,1227706,1265661,1315966,1373741,1446165,1525477,1568457,1618185,1667653,1706380,1773223,1851315,1904918,1984142,2107060,2208858,2321153,2398928,2422245,2428242,2454919,2504246,2590265,2636148,2608549,2605014,2667151,2672570,2664475,2699261,2772784,2826468,2883985,2950633,2916121,2732327,2854388
Kazakhstan,kaz,93698,96194,96742,104875,107205,106793,111049,112902,114953,113625,112981,113219,115200,118044,118716,118921,122924,123613,125322,126259,122295,108843,103074,93591,81799,75091,75467,76750,75291,77324,84902,96364,105807,115647,126749,139044,153921,167620,173152,175230,184867
Kenya,ken,10291,10944,11509,12107,12704,12652,13162,14369,15663,16252,17160,17555,18614,18729,19056,19876,21302,22569,23927,25018,26093,26458,26247,26352,27064,28254,29441,30059,30540,30937,30906,31246,31590,32095,33733,35726,37983,40645,41276,42346,44467
Kyrgyzstan,kgz,10525,10806,10867,11781,12137,12186,12772,13089,13433,13385,13417,13555,13905,14366,14568,14715,15338,15554,15904,16160,15787,14540,12533,10591,8462,8005,8573,9422,9620,9976,10515,11072,11072,11814,12644,12622,13014,14125,15312,15671,15129
Cambodia,khm,4785,4546,4301,5858,5007,4342,4650,5016,5484,5593,5705,5774,6218,6660,7106,7554,7998,7839,8035,8233,8235,8860,9482,9870,10258,10940,11543,11846,11998,13294,14224,15035,15862,16687,18413,20852,23098,25457,27153,26600,27907
South Korea,kor,69877,76695,82304,96231,104605,111548,124664,137531,150442,161172,156846,166581,179220,199828,217167,231386,258122,287854,320301,340751,373150,407582,429744,453344,490745,534517,571926,598526,557500,610387,662185,687591,735518,758297,793323,824716,867425,911715,932669,934494,992208
Kuwait,kwt,22944,24537,25503,23847,20799,18287,19466,18722,20072,22827,18178,14737,13006,14039,14775,14148,15352,14733,15247,16389,13111,7735,13723,18416,19970,20186,19518,19708,19354,19173,20151,20292,20191,22149,24408,26995,28399,29641,31289,30035,30611
Laos,lao,2127,2193,2261,2331,2403,2477,2554,2633,2714,2798,2885,2974,3066,3161,3258,3359,3463,3570,3681,3795,3912,4031,4245,4674,4964,5230,5355,5636,5806,6257,6615,6992,7401,7830,8331,8923,9682,10421,11178,11896,12812
Lebanon,lbn,6950,7590,8514,8915,10465,10724,10989,11260,11539,10873,10879,10366,9680,9584,9786,10028,9581,6705,6099,6106,6099,8429,8808,9425,10179,10841,11274,11725,12077,12198,12198,12442,12691,13072,14050,14170,14264,15352,16775,18285,19738
Liberia,lbr,2083,2186,2269,2212,2375,2017,2096,2079,2161,2257,2149,2197,2134,2119,2100,2071,2131,2189,2189,2216,2245,2281,2321,2374,2426,2492,2541,2555,2580,2623,2667,2712,2851,2998,3079,3242,3492,3824,4093,4281,4485
Libya,lby,18222,17142,15241,15410,13186,14172,17438,18904,19553,22155,22290,18098,17502,17311,15939,14529,13265,12842,12927,13014,12780,12013,11508,10979,10836,10804,11160,11741,11318,11397,11879,12223,12676,13348,13935,15315,16219,17192,17845,18220,19056
Sri Lanka,lka,18912,18752,19147,19922,20570,21047,21669,23082,24523,26125,27550,29302,30788,32366,33951,35381,37163,37529,38520,39543,42089,44025,45918,49086,51835,54686,56765,60397,63236,65955,69913,68833,71562,75786,79913,84901,91410,97624,103433,107097,114701
Lesotho,lso,645,585,697,878,931,855,996,1172,1351,1262,1351,1365,1414,1292,1402,1450,1479,1555,1754,1947,2033,2116,2214,2296,2287,2575,2819,2954,2866,2934,3037,3137,3278,3449,3527,3564,3796,3888,4061,4096,4325
Lithuania,ltu,22017,22603,22732,24643,25341,25396,26569,27177,27842,27691,27707,27940,28610,29504,29863,30110,31328,31711,32364,32825,32010,30185,23756,19907,17957,18890,19778,21163,22707,22321,23192,24676,26354,28911,31036,33458,36082,39633,40727,34607,34746
Latvia,lva,16973,17426,17525,18998,19616,19739,20734,21296,21905,21874,21974,22248,22873,23682,24066,24361,25447,25860,26497,26980,26413,23085,15675,13888,14193,14066,14600,15812,16555,17101,18281,19744,21007,22583,24543,27144,30465,33505,31980,26219,25642
Morocco,mar,25713,27154,27807,28800,30351,32385,35950,37711,38808,40584,44278,43054,47203,46930,48894,51955,56023,54762,60367,61748,64082,68504,65764,65106,71877,67133,75323,73566,79339,79259,80052,85095,87818,92385,96821,99705,107442,110349,116514,122167,126397
Moldova,mda,17988,18467,18573,20134,20749,20838,21847,22395,22991,22915,22977,23219,23826,24623,24976,25235,26311,26690,27297,27744,27112,22367,15881,15690,10842,10690,10059,10220,9556,9231,9425,10000,10780,11459,12308,13231,13865,14290,15399,14400,14774
Madagascar,mdg,8296,8621,8511,8292,8459,8564,8300,8498,8274,9087,9157,8366,8213,8278,7975,8155,8213,8393,8525,8867,9210,8630,8733,8917,8917,9069,9259,9602,9976,10445,10946,11602,10129,11122,11707,12246,12861,13662,14664,14728,14822
Mexico,mex,227970,237480,257636,279302,296370,312998,326267,337499,365340,398788,431983,469972,466649,446602,462678,475505,457655,466148,471953,491767,516692,538508,558049,568934,594054,557419,586144,625759,655910,679523,724371,724134,729724,740226,770192,794880,834089,861955,874800,817606,860121
Macedonia ,mkd,4238,4727,4890,5053,5705,5705,5882,6310,6658,7115,7457,7576,7645,7714,7891,7959,8289,8193,8078,7976,7394,6936,6478,5992,5884,5819,5889,5972,6175,6440,6730,6427,6485,6706,6979,7266,7553,7999,8383,8324,8424
Mali,mli,3248,3361,3535,3449,3365,3831,4352,4648,4524,5612,4953,4787,4512,4711,4918,5029,5348,5449,5440,5995,6040,5986,6488,6333,6498,6952,7251,7737,8116,8660,8981,10068,10501,11278,11524,12225,12873,13427,14085,14690,15423
Burma,mmr,17575,18149,18284,18352,19323,20125,21350,22625,24086,25222,27381,28930,30499,31827,33397,34349,33986,32624,28921,29989,30834,30634,33593,35622,38286,40946,43584,46088,48748,54084,61518,68470,76686,87269,91722,96541,101016,104450,105599,107500,114379
Mongolia,mng,982,1041,1103,1170,1243,1319,1396,1479,1567,1661,1758,1905,2064,2184,2314,2446,2675,2768,2909,3031,2954,2681,2426,2354,2408,2560,2620,2726,2821,2821,2821,2821,2821,2821,3119,3347,3632,4003,4358,4290,4565
Mozambique,moz,16216,17321,17881,18894,17463,14643,13942,14055,14162,14367,14771,15040,14629,13581,13212,12022,12199,12639,13361,13900,14105,14796,13598,14781,15890,16573,17749,19720,22204,23870,24252,27405,29433,31522,34007,36860,40060,42977,45873,48779,52584
Mauritania,mrt,1365,1378,1396,1309,1443,1351,1459,1440,1434,1500,1560,1619,1586,1663,1543,1587,1676,1727,1792,1852,1825,1872,1904,2009,2101,2198,2319,2393,2482,2583,2713,2832,2948,3143,3306,3486,3894,3968,4114,4069,4267
Mauritius,mus,2443,2563,2817,3169,3511,3514,4086,4353,4520,4679,4208,4455,4701,4719,4940,5285,5817,6408,6844,7145,7652,8142,8533,9104,9505,9837,10349,10970,11628,12244,12563,13455,13912,14330,15153,15341,15947,16827,17684,18062,18766
Malawi,mwi,2017,2307,2543,2756,2955,3117,3269,3437,3747,3919,3945,3746,3783,3945,4123,4446,4463,4572,4690,4923,5146,5594,5185,5688,5102,5954,6389,6632,6850,7124,7388,7085,7234,7516,7943,8146,8814,9572,10500,11309,12078
Malaysia,mys,22684,24359,26195,29982,32222,32489,36536,39513,42970,46469,50333,53901,57102,60588,65290,64617,65434,68898,74982,81996,89823,98397,107140,117741,128587,141226,155353,166729,154459,163939,177955,178532,185880,195543,208808,219941,232806,247892,259563,255115,274034
Namibia,nam,2540,2627,2783,2895,3021,3052,3221,3424,3651,3806,3986,4110,4164,4057,4006,4023,4147,4268,4368,4738,4619,4882,5346,5239,5595,5830,6005,6257,6470,6703,6931,7083,7261,7529,8453,8667,9280,9778,10198,10116,10541
Niger,ner,4061,4291,4069,3377,3671,3570,3595,3873,4394,4709,4937,4995,4935,4844,4025,4095,4283,4130,4362,4368,4289,4396,4110,4168,4335,4447,4599,4727,5219,5188,5115,5478,5643,5942,5893,6330,6697,6918,7575,7651,7925
Nigeria,nga,60814,67970,70530,76585,85465,82904,91927,95277,89653,95852,97646,89820,89007,83000,79290,86302,87930,87284,95947,102146,107459,113907,116868,119439,118700,121809,129605,133363,135764,137122,143018,147452,149663,165677,183239,193134,205108,218337,231437,244398,262999
Nicaragua,nic,5771,6055,6248,6566,7505,7493,7880,8556,7884,5785,6043,6367,6312,6609,6474,6204,6077,6035,5367,5296,5297,5281,5323,5302,5514,5762,6033,6340,6600,7889,7500,7726,7775,7952,8374,8733,9074,9360,10063,9495,9780
