# File: PRIMA_pop_India.csv,,,,,,,,,,,,,,,,,,,,,
# Title: 2005-2100 population projections by state,,,,,,,,,,,,,,,,,,,,,
# Units: Persons,,,,,,,,,,,,,,,,,,,,,
# Source: Interpolation from the IIASA estimates,,,,,,,,,,,,,,,,,,,,,
state,state_name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MZ,Mizoram,972200,1076200,1125200,1160450,1195700,1230950,1246600,1257350,1268100,1278850,1248347,1207531,1166714,1125898,1085082,1044265,1003449,962633,921816,881000
NL,Nagaland,1985600,1980100,2051600,2142350,2233100,2323850,2373600,2413100,2452600,2492100,2440327,2365735,2291143,2216551,2141959,2067367,1992776,1918184,1843592,1769000
OD,Odisha,38872600,41457100,43476600,45354850,47233100,49111350,50271800,51252800,52233800,53214800,53201041,52938592,52676143,52413694,52151245,51888796,51626347,51363898,51101449,50839000
PY,Puducherry,1083600,1220600,1333400,1440150,1546900,1653650,1733000,1805500,1878000,1950500,1975449,1988510,2001571,2014633,2027694,2040755,2053816,2066878,2079939,2093000
PB,Punjab,25712600,27404600,28933000,30420500,31908000,33395500,34533600,35584350,36635100,37685850,37866122,37828776,37791429,37754082,37716735,37679388,37642041,37604694,37567347,37530000
RJ,Rajasthan,61323400,67343900,73104400,78799900,84495400,90190900,94417200,98276200,102135200,105994200,107151469,107633306,108115143,108596980,109078816,109560653,110042490,110524327,111006163,111488000
SK,Sikkim,569000,604000,646000,689750,733500,777250,807200,833700,860200,886700,884898,876020,867143,858265,849388,840510,831633,822755,813878,805000
TN,Tamil Nadu,66302400,71172900,73948400,76200150,78451900,80703650,81611800,82184050,82756300,83328550,82413367,81126327,79839286,78552245,77265204,75978163,74691122,73404082,72117041,70830000
TS,Telangana,38188032,40197072,41877696,43476216,45074736,46673256,47551296,48249216,48947136,49645056,49248137,48577509,47906880,47236251,46565623,45894994,45224366,44553737,43883109,43212480
TR,Tripura,3389000,3626500,3791200,3937700,4084200,4230700,4285000,4316250,4347500,4378750,4255286,4093143,3931000,3768857,3606714,3444571,3282429,3120286,2958143,2796000
UP,Uttar Pradesh,179643600,196450600,212701800,228814050,244926300,261038550,272010000,281696250,291382500,301068750,302512204,301894959,301277714,300660469,300043224,299425980,298808735,298191490,297574245,296957000
UK,Uttarakhand,9127800,9926300,10652800,11361300,12069800,12778300,13357600,13904600,14451600,14998600,15166041,15238592,15311143,15383694,15456245,15528796,15601347,15673898,15746449,15819000
WB,West Bengal,84616000,90166000,94161600,97768600,101375600,104982600,106410200,107292950,108175700,109058450,107383571,105069286,102755000,100440714,98126429,95812143,93497857,91183571,88869286,86555000
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
