# File: SE_PopH_Census_1961_2011.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Population by state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source: Interpolation of the data given by Census of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,state_name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GA,Goa,590000,611000,631000,652000,672000,693000,713000,734000,754000,775000,795000,816000,838000,859000,880000,902000,923000,944000,965000,987000,1008000,1024000,1040000,1057000,1073000,1089000,1105000,1121000,1138000,1154000,1170000,1188000,1206000,1223000,1241000,1259000,1277000,1295000,1312000,1330000,1348000,1359000,1370000,1381000,1392400,1404000,1415000,1426000,1437000,1447900,1459000
GJ,Gujarat,20633000,21239000,21846000,22452000,23059000,23665000,24271000,24878000,25484000,26091000,26697000,27436000,28175000,28914000,29653000,30392000,31130000,31869000,32608000,33347000,34086000,34808000,35531000,36253000,36976000,37698000,38420000,39143000,39865000,40588000,41310000,42246000,43182000,44118000,45054000,45991000,46927000,47863000,48799000,49735000,50671000,51648000,52625000,53602000,54578600,55556000,56532000,57509000,58486000,59463100,60440000
HR,Haryana,7591000,7836000,8080000,8325000,8569000,8814000,9058000,9303000,9547000,9792000,10036000,10325000,10613000,10902000,11190000,11479000,11768000,12056000,12345000,12633000,12922000,13276000,13630000,13985000,14339000,14693000,15047000,15401000,15756000,16110000,16464000,16932000,17400000,17868000,18336000,18805000,19273000,19741000,20209000,20677000,21145000,21566000,21986000,22407000,22827400,23248000,23669000,24089000,24510000,24930400,25351000
HP,Himachal Pradesh,2812000,2877000,2942000,3006000,3071000,3136000,3201000,3266000,3330000,3395000,3460000,3542000,3624000,3706000,3788000,3871000,3953000,4035000,4117000,4199000,4281000,4370000,4459000,4548000,4637000,4726000,4815000,4904000,4993000,5082000,5171000,5262000,5352000,5443000,5534000,5625000,5715000,5806000,5897000,5987000,6078000,6157000,6235000,6314000,6392800,6472000,6550000,6629000,6708000,6786300,6865000
JK,Jammu and Kashmir,3561000,3667000,3772000,3878000,3983000,4089000,4195000,4300000,4406000,4511000,4617000,4754000,4891000,5028000,5165000,5302000,5439000,5576000,5713000,5850000,5987000,6172000,6357000,6542000,6727000,6912000,7097000,7282000,7467000,7652000,7837000,8068000,8298000,8529000,8760000,8991000,9221000,9452000,9683000,9913000,10144000,10384000,10623000,10863000,11102800,11343000,11582000,11822000,12062000,12301300,12541000
JH,Jharkhand,11606000,11868000,12130000,12392000,12654000,12917000,13179000,13441000,13703000,13965000,14227000,14566000,14904000,15243000,15581000,15920000,16258000,16597000,16935000,17274000,17612000,18035000,18458000,18882000,19305000,19728000,20151000,20574000,20998000,21421000,21844000,22354000,22864000,23375000,23885000,24395000,24905000,25415000,25926000,26436000,26946000,27550000,28154000,28759000,29362800,29967000,30571000,31175000,31780000,32383800,32988000
KA,Karnataka,23587000,24158000,24729000,25301000,25872000,26443000,27014000,27585000,28157000,28728000,29299000,30083000,30866000,31650000,32434000,33218000,34001000,34785000,35569000,36352000,37136000,37920000,38704000,39488000,40272000,41057000,41841000,42625000,43409000,44193000,44977000,45764000,46552000,47339000,48127000,48914000,49701000,50489000,51276000,52064000,52851000,53675000,54500000,55324000,56148600,56973000,57797000,58622000,59446000,60270600,61095000
KL,Kerala,16904000,17348000,17793000,18237000,18681000,19126000,19570000,20014000,20458000,20903000,21347000,21758000,22168000,22579000,22990000,23401000,23811000,24222000,24633000,25043000,25454000,25819000,26183000,26548000,26912000,27277000,27641000,28006000,28370000,28735000,29099000,29373000,29647000,29922000,30196000,30470000,30744000,31018000,31293000,31567000,31841000,31998000,32154000,32311000,32467000,32624000,32780000,32937000,33093000,33249500,33406000
LD,Lakshadweep,24000,25000,26000,26000,27000,28000,29000,30000,30000,31000,32000,33000,34000,34000,35000,36000,37000,38000,38000,39000,40000,41000,42000,44000,45000,46000,47000,48000,50000,51000,52000,53000,54000,55000,56000,57000,57000,58000,59000,60000,61000,61000,62000,62000,62200,63000,63000,63000,63000,63700,64000
MP,Madhya Pradesh,23218000,23898000,24578000,25258000,25938000,26618000,27297000,27977000,28657000,29337000,30017000,30832000,31647000,32463000,33278000,34093000,34908000,35723000,36539000,37354000,38169000,39209000,40248000,41288000,42328000,43368000,44407000,45447000,46487000,47526000,48566000,49744000,50922000,52101000,53279000,54457000,55635000,56813000,57992000,59170000,60348000,61576000,62804000,64032000,65259600,66488000,67715000,68943000,70171000,71399100,72627000
MH,Maharashtra,39554000,40640000,41726000,42811000,43897000,44983000,46069000,47155000,48240000,49326000,50412000,51649000,52886000,54123000,55360000,56598000,57835000,59072000,60309000,61546000,62783000,64398000,66014000,67629000,69245000,70860000,72475000,74091000,75706000,77322000,78937000,80731000,82525000,84320000,86114000,87908000,89702000,91496000,93291000,95085000,96879000,98429000,99978000,101528000,103077000,104627000,106176000,107726000,109275000,110824500,112374000
MN,Manipur,780000,809000,839000,868000,897000,927000,956000,985000,1014000,1044000,1073000,1108000,1143000,1177000,1212000,1247000,1282000,1317000,1351000,1386000,1421000,1463000,1504000,1546000,1587000,1629000,1671000,1712000,1754000,1795000,1837000,1883000,1928000,1974000,2020000,2066000,2111000,2157000,2203000,2248000,2294000,2350000,2406000,2463000,2518800,2575000,2631000,2687000,2744000,2799800,2856000
ML,Meghalaya,769000,793000,818000,842000,866000,891000,915000,939000,963000,988000,1012000,1044000,1077000,1109000,1142000,1174000,1206000,1239000,1271000,1304000,1336000,1380000,1424000,1468000,1512000,1556000,1599000,1643000,1687000,1731000,1775000,1829000,1884000,1938000,1993000,2047000,2101000,2156000,2210000,2265000,2319000,2384000,2449000,2513000,2578200,2643000,2708000,2773000,2837000,2902200,2967000
MZ,Mizoram,266000,273000,279000,286000,292000,299000,306000,312000,319000,325000,332000,348000,364000,381000,397000,413000,429000,445000,462000,478000,494000,514000,533000,553000,572000,592000,612000,631000,651000,670000,690000,710000,730000,750000,770000,790000,809000,829000,849000,869000,889000,910000,931000,951000,972200,993000,1014000,1035000,1055000,1076200,1097000
NL,Nagaland,369000,384000,398000,413000,428000,443000,457000,472000,487000,501000,516000,542000,568000,594000,620000,646000,671000,697000,723000,749000,775000,819000,862000,906000,949000,993000,1036000,1080000,1123000,1167000,1210000,1288000,1366000,1444000,1522000,1600000,1678000,1756000,1834000,1912000,1990000,1989000,1988000,1987000,1985600,1985000,1983000,1982000,1981000,1980100,1979000
OD,Odisha,17549000,17989000,18428000,18868000,19307000,19747000,20187000,20626000,21066000,21505000,21945000,22388000,22830000,23273000,23715000,24158000,24600000,25043000,25485000,25928000,26370000,26899000,27428000,27957000,28486000,29015000,29544000,30073000,30602000,31131000,31660000,32175000,32689000,33204000,33718000,34233000,34747000,35262000,35776000,36291000,36805000,37322000,37839000,38356000,38872600,39390000,39906000,40423000,40940000,41457100,41974000
PY,Puducherry,369000,379000,390000,400000,410000,421000,431000,441000,451000,462000,472000,485000,498000,512000,525000,538000,551000,564000,578000,591000,604000,624000,645000,665000,686000,706000,726000,747000,767000,788000,808000,825000,841000,858000,874000,891000,908000,924000,941000,957000,974000,1001000,1029000,1056000,1083600,1111000,1138000,1166000,1193000,1220600,1248000
PB,Punjab,11135000,11377000,11618000,11860000,12101000,12343000,12585000,12826000,13068000,13309000,13551000,13875000,14199000,14522000,14846000,15170000,15494000,15818000,16141000,16465000,16789000,17138000,17488000,17837000,18186000,18536000,18885000,19234000,19583000,19933000,20282000,20690000,21097000,21505000,21913000,22321000,22728000,23136000,23544000,23951000,24359000,24697000,25036000,25374000,25712600,26051000,26389000,26728000,27066000,27404600,27743000
RJ,Rajasthan,20156000,20717000,21278000,21839000,22400000,22961000,23522000,24083000,24644000,25205000,25766000,26616000,27465000,28315000,29164000,30014000,30864000,31713000,32563000,33412000,34262000,35236000,36211000,37185000,38160000,39134000,40108000,41083000,42057000,43032000,44006000,45256000,46506000,47756000,49006000,50257000,51507000,52757000,54007000,55257000,56507000,57711000,58915000,60119000,61323400,62528000,63732000,64936000,66140000,67343900,68548000
SK,Sikkim,162000,167000,172000,176000,181000,186000,191000,196000,200000,205000,210000,221000,231000,242000,252000,263000,274000,284000,295000,305000,316000,325000,334000,343000,352000,361000,370000,379000,388000,397000,406000,420000,433000,447000,460000,474000,487000,501000,514000,528000,541000,548000,555000,562000,569000,576000,583000,590000,597000,604000,611000
TN,Tamil Nadu,33687000,34438000,35189000,35941000,36692000,37443000,38194000,38945000,39697000,40448000,41199000,41920000,42641000,43362000,44083000,44804000,45524000,46245000,46966000,47687000,48408000,49153000,49898000,50643000,51388000,52134000,52879000,53624000,54369000,55114000,55859000,56514000,57168000,57823000,58478000,59133000,59787000,60442000,61097000,61751000,62406000,63380000,64354000,65328000,66302400,67277000,68251000,69225000,70199000,71172900,72147000
TS,Telangana,17272000,17633000,17994000,18355000,18716000,19077000,19438000,19799000,20160000,20520000,20881000,21364000,21846000,22328000,22811000,23293000,23775000,24258000,24740000,25222000,25704000,26326000,26948000,27570000,28192000,28814000,29436000,30058000,30680000,31302000,31924000,32390000,32855000,33321000,33787000,34252000,34718000,35184000,35649000,36115000,36581000,36983000,37384000,37786000,38188032,38590000,38992000,39393000,39795000,40197072,40599000
TR,Tripura,1142000,1183000,1225000,1266000,1308000,1349000,1390000,1432000,1473000,1515000,1556000,1606000,1655000,1705000,1755000,1805000,1854000,1904000,1954000,2003000,2053000,2123000,2194000,2264000,2335000,2405000,2475000,2546000,2616000,2687000,2757000,2801000,2845000,2890000,2934000,2978000,3022000,3066000,3111000,3155000,3199000,3247000,3294000,3342000,3389000,3437000,3484000,3532000,3579000,3626500,3674000
UP,Uttar Pradesh,70144000,71515000,72885000,74256000,75626000,76997000,78367000,79738000,81108000,82479000,83849000,85978000,88107000,90235000,92364000,94493000,96622000,98751000,100879000,103008000,105137000,107830000,110522000,113215000,115907000,118600000,121292000,123985000,126677000,129370000,132062000,135476000,138889000,142303000,145716000,149130000,152544000,155957000,159371000,162784000,166198000,169559000,172921000,176282000,179643600,183005000,186366000,189728000,193089000,196450600,199812000
UK,Uttarakhand,3611000,3699000,3787000,3876000,3964000,4052000,4140000,4228000,4317000,4405000,4493000,4616000,4740000,4863000,4986000,5110000,5233000,5356000,5479000,5603000,5726000,5859000,5991000,6124000,6256000,6389000,6521000,6654000,6786000,6919000,7051000,7195000,7339000,7482000,7626000,7770000,7914000,8058000,8201000,8345000,8489000,8649000,8808000,8968000,9127800,9288000,9447000,9607000,9767000,9926300,10086000
WB,West Bengal,34926000,35865000,36803000,37742000,38680000,39619000,40558000,41496000,42435000,43373000,44312000,45339000,46366000,47393000,48420000,49447000,50473000,51500000,52527000,53554000,54581000,55931000,57280000,58630000,59980000,61330000,62679000,64029000,65379000,66728000,68078000,69288000,70498000,71707000,72917000,74127000,75337000,76547000,77756000,78966000,80176000,81286000,82396000,83506000,84616000,85726000,86836000,87946000,89056000,90166000,91276000
