# File: A10.SE_SGDP_MOSPI_11INR.csv
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 2011-12
# Units: INR Crores
#The raw data is available in different price series but for uniformity all the GDP values are converted into 2011-12 base price year
# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
#------------
state,state_name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ML,Meghalaya,2729,2808,2894,3036,3204,3297,3541,3676,4092,4580,4887,4782,4963,5180,5639,5937,6266,6828,7393,7919,8452,8882,9451,10041,10789,11629,12243,13577,14664,15851,17686,18710,20265,20300,20518
MN,Manipur,2832,2922,3123,3287,3470,3585,3820,4049,4158,4353,4682,4948,5109,5052,5175,5577,6068,6293,6896,7056,7545,7811,8007,8539,9112,9389,9857,10489,11204,11337,12142,13071,13909,14962,16129
MP,Madhya Pradesh,63247,66030,69533,68707,72215,71795,78046,85088,88583,98233,97049,100817,110234,115247,121397,129204,136138,144561,158385,150387,156043,151688,167255,177723,186333,201775,213378,235979,260105,278496,300791,326847,357231,379242,410128
MZ,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,4549,4790,5244,5915,6660,7731,7871,8244,8875,10705,12058
NL,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,7628,8266,8880,9463,10103,10989,11929,12752,13581,14247,14595
OD,Odisha,56629,54582,61629,62403,66946,69598,68687,78535,86184,77739,81005,82605,86527,91423,96194,93932,101918,106892,111706,112802,117423,119576,133507,147280,156750,174199,194020,210481,221643,237542,249256,258769,264703,269475,287262
PB,Punjab,57567,60179,61664,65416,70493,73674,77124,81223,87301,89717,93322,97784,102611,106142,110239,117493,122235,128295,135508,140939,144461,147862,155757,164490,173999,189931,207619,221319,235008,250195,266512,280074,295391,308956,325570
RJ,Rajasthan,61889,64189,74599,74656,73794,79427,77874,97417,103244,114987,113626,123350,121043,134364,143755,157440,175241,185236,190009,187884,200018,193881,227440,240911,253379,279940,298539,322831,346255,389787,427644,457015,480674,512689,553053
SK,Sikkim,,,,,,,,,,,,,,1731,1859,1991,2131,2281,2380,2515,2687,2933,3165,3373,3675,3929,4213,4816,7748,9232,10181,11031,11893,12832,14045
TN,Tamil Nadu,114693,113778,117613,130245,138609,139510,145966,157062,168336,180511,187720,196646,212083,236791,249901,261352,280737,296306,313428,336157,336567,342279,353994,380428,428854,492871,533130,563059,616750,694389,754771,787538,837496,883430,949151
TR,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,11320,12190,13146,14333,15819,17197,18477,20367,22337,25929,26831
TS,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,190157,214062,237172,267457,277993,316483,350420,368576,385531,409738,452490
UK,Uttarakhand,,,,,,,,,,,,,,25707,26197,27446,28242,28721,29016,31413,33624,36700,40880,45665,51935,59078,69174,78757,92051,102917,112711,121610,131575,139504,149843
UP,Uttar Pradesh,168026,179154,187793,192119,198422,206892,216299,238745,251154,264346,270696,275004,282083,296387,308806,336667,344805,351846,368814,376450,385752,405289,425006,445225,472380,508726,546874,585520,624624,671835,712921,753780,792607,826342,889383
UT,Union Territories,10775,11168,11848,12282,12835,13288,13788,15228,16316,17213,17684,18535,19609,20857,26644,30286,31475,34756,38224,44073,52277,53632,58024,63455,72785,71020,74470,81261,95363,95970,105489,89029,54911,45804,48357
WB,West Bengal,79786,81738,89547,93938,97711,101837,107023,112026,116481,122428,131187,136744,145388,155466,166767,178566,192755,205868,219775,234076,250112,268627,287954,308277,328231,352641,380037,401219,430412,457584,480350,513267,549476,570398,600750
