Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries: 2009 and 2008,,,,,,
"NOTE: For information on confidentiality protection, sampling error, nonsampling error, and definitions, see Survey Methodology.  For information on the ASM industry groupings, see Comparability. Data in this table represent those available when this report was created. Data may not be available for all NAICS industries or geographies.  Detail items may not add to total due to independent rounding.
",,,,,,
Geographic Area Name,NAICS-based code,Meaning of NAICS-based code,Year,"Quantity of electricity purchased (1,000 kWh)","Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)"
United States,311615,Poultry processing,2008,"8,247,778",D,S
United States,31161N,Animal (except poultry) slaughtering and processing,2008,"12,366,886",D,D
United States,3117,Seafood product preparation & packaging,2008,"1,058,902","158,183",D
United States,31171,Seafood product preparation and packaging,2008,"1,058,902","158,183",D
United States,31171M,Seafood product preparation and packaging,2008,"1,058,902","158,183",D
United States,3118,Bakeries & tortilla mfg,2008,"7,852,485",D,S
United States,31181,Bread and bakery product manufacturing,2008,"5,076,850",D,S
United States,31181M,Bread and bakery product manufacturing,2008,"5,076,850",D,S
United States,31182,"Cookie, cracker, and pasta manufacturing",2008,"2,370,758",S,S
United States,31182M,"Cookie, cracker, and pasta manufacturing",2008,"2,370,758",S,S
United States,31183,Tortilla manufacturing,2008,"404,877",(s)64,S
United States,311830,Tortilla manufacturing,2008,"404,877",(s)64,S
United States,3119,Other food mfg,2008,"6,889,139","17,618",D
United States,31191,Snack food manufacturing,2008,"1,746,959",D,D
United States,31191M,Snack food manufacturing,2008,"1,746,959",D,D
United States,31192,Coffee and tea manufacturing,2008,"701,374",S,S
United States,311920,Coffee and tea manufacturing,2008,"701,374",S,S
United States,31193,Flavoring syrup and concentrate manufacturing,2008,"257,011",(s)105,S
United States,311930,Flavoring syrup and concentrate manufacturing,2008,"257,011",(s)105,S
United States,31194,Seasoning and dressing manufacturing,2008,"1,354,748",D,D
United States,31194M,Seasoning and dressing manufacturing,2008,"1,354,748",D,D
United States,31199,All other food manufacturing,2008,"2,829,046",187,(s)871
United States,31199M,All other food manufacturing,2008,"2,829,046",187,(s)871
United States,312,Beverage & tobacco product mfg,2008,"10,513,253",D,S
United States,3121,Beverage mfg,2008,"9,334,667",D,S
United States,31211,Soft drink and ice manufacturing,2008,"5,351,009",S,S
United States,31211M,Soft drink and ice manufacturing,2008,"5,351,009",S,S
United States,31212,Breweries,2008,"2,775,340",D,S
United States,312120,Breweries,2008,"2,775,340",D,S
United States,31213,Wineries,2008,"940,930","4,692",S
United States,312130,Wineries,2008,"940,930","4,692",S
United States,31214,Distilleries,2008,"267,388",S,S
United States,312140,Distilleries,2008,"267,388",S,S
United States,3122,Tobacco mfg,2008,"1,178,586",D,S
United States,31221,Tobacco stemming and redrying,2008,"82,187",S,S
United States,312210,Tobacco stemming and redrying,2008,"82,187",S,S
United States,31222,Tobacco product manufacturing,2008,"1,096,399",D,S
United States,31222M,Tobacco product manufacturing,2008,"1,096,399",D,S
United States,313,Textile mills,2008,"14,502,102",D,D
United States,3131,"Fiber, yarn, & thread mills",2008,"6,122,003",D,S
United States,31311,"Fiber, yarn, and thread mills",2008,"6,122,003",D,S
United States,31311M,"Fiber, yarn, and thread mills",2008,"6,122,003",D,S
United States,3132,Fabric mills,2008,"6,448,417",D,D
United States,31321,Broadwoven fabric mills,2008,"2,620,478",S,S
United States,313210,Broadwoven fabric mills,2008,"2,620,478",S,S
United States,31322,Narrow fabric mills and schiffli machine embroidery,2008,"276,498",S,S
United States,31322M,Narrow fabric mills and schiffli machine embroidery,2008,"276,498",S,S
United States,31323,Nonwoven fabric mills,2008,"2,974,764",D,D
United States,313230,Nonwoven fabric mills,2008,"2,974,764",D,D
United States,31324,Knit fabric mills,2008,"576,677",S,S
United States,31324M,Knit fabric mills,2008,"576,677",S,S
United States,3133,Textile & fabric finishing & fabric coating mills,2008,"1,931,682",D,S
United States,31331,Textile and fabric finishing mills,2008,"1,598,360",D,S
United States,31331M,Textile and fabric finishing mills,2008,"1,598,360",D,S
United States,31332,Fabric coating mills,2008,"333,322",S,S
United States,313320,Fabric coating mills,2008,"333,322",S,S
United States,314,Textile product mills,2008,"4,049,649",S,S
United States,3141,Textile furnishings mills,2008,"2,167,018",S,S
United States,31411,Carpet and rug mills,2008,"1,753,087",S,S
United States,314110,Carpet and rug mills,2008,"1,753,087",S,S
United States,31412,Curtain and linen mills,2008,"413,930",S,S
United States,31412M,Curtain and linen mills,2008,"413,930",S,S
United States,3149,Other textile product mills,2008,"1,882,631",S,S
United States,31491,Textile bag and canvas mills,2008,"253,969",S,S
United States,31491M,Textile bag and canvas mills,2008,"253,969",S,S
United States,31499,All other textile product mills,2008,"1,628,662",S,S
United States,314991,"Rope, cordage, and twine mills",2008,"115,514",S,S
United States,314992,Tire cord and tire fabric mills,2008,"734,592",S,S
United States,314999,All other miscellaneous textile product mills,2008,"778,557",S,S
United States,315,Apparel mfg,2008,"1,451,555",S,S
United States,3151,Apparel knitting mills,2008,"602,072",S,S
United States,31511,Hosiery and sock mills,2008,"570,356",S,S
United States,31511M,Hosiery and sock mills,2008,"570,356",S,S
United States,31519,Other apparel knitting mills,2008,S,S,S
United States,31519M,Other apparel knitting mills,2008,S,S,S
United States,3152,Cut & sew apparel mfg,2008,"755,866",S,S
United States,31521,Cut and sew apparel contractors,2008,"164,472",S,S
United States,31521M,Cut and sew apparel contractors,2008,"164,472",S,S
United States,31522,Men's and boys' cut and sew apparel manufacturing,2008,"233,387",S,S
United States,31522M,Men's and boys' cut and sew apparel manufacturing,2008,"233,387",S,S
United States,31523,Women's and girls' cut and sew apparel manufacturing,2008,"261,592",S,S
United States,31523M,Women's and girls' cut and sew apparel manufacturing,2008,"261,592",S,S
United States,31529,Other cut and sew apparel manufacturing,2008,"96,415",S,S
United States,31529M,Other cut and sew apparel manufacturing,2008,"96,415",S,S
United States,3159,Apparel accessories & other apparel mfg,2008,"93,618",S,S
United States,31599,Apparel accessories and other apparel manufacturing,2008,"93,618",S,S
United States,31599M,Apparel accessories and other apparel manufacturing,2008,"93,618",S,S
United States,316,Leather & allied product mfg,2008,"506,280",D,S
United States,3161,Leather & hide tanning & finishing,2008,"248,577",S,S
United States,31611,Leather and hide tanning and finishing,2008,"248,577",S,S
United States,316110,Leather and hide tanning and finishing,2008,"248,577",S,S
United States,3162,Footwear mfg,2008,"139,496",S,S
United States,31621,Footwear manufacturing,2008,"139,496",S,S
United States,31621M,Footwear manufacturing,2008,"139,496",S,S
United States,3169,Other leather & allied product mfg,2008,"118,207",D,S
United States,31699,Other leather and allied product manufacturing,2008,"118,207",D,S
United States,31699M,Other leather and allied product manufacturing,2008,"118,207",D,S
United States,321,Wood product mfg,2008,"22,992,342","1,090,186",D
United States,3211,Sawmills & wood preservation,2008,"7,460,111","686,152","483,021"
United States,32111,Sawmills and wood preservation,2008,"7,460,111","686,152","483,021"
United States,32111M,Sawmills and wood preservation,2008,"7,460,111","686,152","483,021"
United States,3212,"Veneer, plywood, & engineered wood product mfg",2008,"8,899,996",D,S
United States,32121,"Veneer, plywood, and engineered wood product manufacturing",2008,"8,899,996",D,S
United States,321219,Reconstituted wood product manufacturing,2008,"5,633,915",D,S
United States,32121N,Veneer and plywood manufacturing,2008,"2,384,600",D,S
United States,32121P,Engineered wood product manufacturing,2008,"881,482",(s)6,S
United States,3219,Other wood product mfg,2008,"6,632,235",D,D
United States,32191,Millwork,2008,"3,898,217",D,D
United States,32191M,Millwork,2008,"3,898,217",D,D
United States,32192,Wood container and pallet manufacturing,2008,"890,024",(s)179,S
United States,321920,Wood container and pallet manufacturing,2008,"890,024",(s)179,S
United States,32199,All other wood product manufacturing,2008,"1,843,995",D,D
United States,321991,Manufactured home (mobile home) manufacturing,2008,"313,770",S,S
United States,321992,Prefabricated wood building manufacturing,2008,"266,188",D,D
United States,321999,All other miscellaneous wood product manufacturing,2008,"1,264,037",D,D
United States,322,Paper mfg,2008,"67,848,946","37,475,549","6,432,581"
United States,3221,"Pulp, paper, & paperboard mills",2008,"53,257,772","37,332,620","6,411,054"
United States,32211,Pulp mills,2008,"1,891,852","5,338,588","286,523"
United States,322110,Pulp mills,2008,"1,891,852","5,338,588","286,523"
United States,32212,Paper mills,2008,"31,764,181","16,887,682","2,044,366"
United States,32212M,Paper and newsprint mills,2008,"31,764,181","16,887,682","2,044,366"
United States,32213,Paperboard mills,2008,"19,601,738","15,106,350","4,080,165"
United States,322130,Paperboard mills,2008,"19,601,738","15,106,350","4,080,165"
United States,3222,Converted paper product mfg,2008,"14,591,174","142,929","21,527"
United States,32221,Paperboard container manufacturing,2008,"6,717,095",D,D
United States,32221M,Paperboard container manufacturing,2008,"6,717,095",D,D
United States,32222,Paper bag and coated and treated paper manufacturing,2008,"3,587,480",D,D
United States,32222N,Coated and laminated paper and packaging manufacturing,2008,"2,799,259",D,D
United States,32222P,"Coated, uncoated, and multiwall bag and packaging mfg",2008,"788,221",S,S
United States,32223,Stationery product manufacturing,2008,"1,037,410",S,S
United States,32223M,Stationery product manufacturing,2008,"1,037,410",S,S
United States,32229,Other converted paper product manufacturing,2008,"3,249,190",D,D
United States,322291,Sanitary paper product manufacturing,2008,"2,089,889",S,D
United States,322299,All other converted paper product manufacturing,2008,"1,159,300",D,S
United States,323,Printing & related support activities,2008,"17,013,622","7,948",957
United States,3231,Printing & related support activities,2008,"17,013,622","7,948",957
United States,32311,Printing,2008,"16,320,408","5,492",957
United States,32311M,Printing,2008,"16,320,408","5,492",957
United States,32312,Support activities for printing,2008,"693,214","(s)2,456",S
United States,32312M,Support activities for printing,2008,"693,214","(s)2,456",S
United States,324,Petroleum & coal products mfg,2008,"50,675,027","17,436,681","3,347,659"
United States,3241,Petroleum & coal products mfg,2008,"50,675,027","17,436,681","3,347,659"
United States,32411,Petroleum refineries,2008,"46,183,200","17,086,770","3,048,054"
United States,324110,Petroleum refineries,2008,"46,183,200","17,086,770","3,048,054"
United States,32412,"Asphalt paving, roofing, and saturated materials manufacturing",2008,"3,198,940","6,160",S
United States,324121,Asphalt paving mixture and block manufacturing,2008,"2,214,318","6,160",S
United States,324122,Asphalt shingle and coating materials manufacturing,2008,"984,622",S,S
United States,32419,Other petroleum and coal products manufacturing,2008,"1,292,887","343,751","299,605"
United States,324191,Petroleum lubricating oil and grease manufacturing,2008,"619,289",D,S
United States,324199,All other petroleum and coal products manufacturing,2008,"673,598",D,"299,605"
United States,325,Chemical mfg,2008,"157,320,780","43,495,457","13,147,760"
United States,3251,Basic chemical mfg,2008,"97,010,804","32,300,259","10,545,465"
United States,32511,Petrochemical manufacturing,2008,"8,527,794","3,580,835",D
United States,325110,Petrochemical manufacturing,2008,"8,527,794","3,580,835",D
United States,32512,Industrial gas manufacturing,2008,"19,449,149",D,D
United States,325120,Industrial gas manufacturing,2008,"19,449,149",D,D
United States,32513,Synthetic dye and pigment manufacturing,2008,"2,625,570",D,D
United States,32513M,Synthetic dye and pigment manufacturing,2008,"2,625,570",D,D
United States,32518,Other basic inorganic chemical manufacturing,2008,"38,098,584","11,601,294","5,039,243"
United States,325181,Alkalies and chlorine manufacturing,2008,"12,220,153",D,"4,624,052"
United States,325182,Carbon black manufacturing,2008,"559,552","500,160","216,271"
United States,325188,All other basic inorganic chemical manufacturing,2008,"25,318,879",D,"198,921"
United States,32519,Other basic organic chemical manufacturing,2008,"28,309,707","15,783,944","4,258,868"
United States,32519M,Other basic organic chemical manufacturing,2008,"28,309,707","15,783,944","4,258,868"
United States,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"29,436,179","7,390,300","1,672,947"
United States,32521,Resin and synthetic rubber manufacturing,2008,"26,295,561",D,D
United States,325211,Plastics material and resin manufacturing,2008,"24,679,491","6,689,509","1,591,913"
United States,325212,Synthetic rubber manufacturing,2008,"1,616,069",D,D
United States,32522,Artificial and synthetic fibers and filaments manufacturing,2008,"3,140,619",D,D
United States,32522M,Artificial and synthetic fibers and filaments manufacturing,2008,"3,140,619",D,D
United States,3253,"Pesticide, fertilizer, & other agricultural chemical mfg",2008,"6,690,150","2,159,474","534,765"
United States,32531,Fertilizer manufacturing,2008,"5,736,420","2,159,474","534,765"
United States,325311,Nitrogenous fertilizer manufacturing,2008,"3,358,968",D,D
United States,325312,Phosphatic fertilizer manufacturing,2008,"2,052,248",D,D
United States,325314,Fertilizer (mixing only) manufacturing,2008,"325,204",S,S
United States,32532,Pesticide and other agricultural chemical manufacturing,2008,"953,730",S,S
United States,325320,Pesticide and other agricultural chemical manufacturing,2008,"953,730",S,S
United States,3254,Pharmaceutical & medicine mfg,2008,"10,692,332","396,629",D
United States,32541,Pharmaceutical and medicine manufacturing,2008,"10,692,332","396,629",D
United States,325411,Medicinal and botanical manufacturing,2008,"1,568,783",D,S
United States,325412,Pharmaceutical preparation manufacturing,2008,"6,999,327",D,D
United States,325413,In-vitro diagnostic substance manufacturing,2008,"677,802",D,S
United States,325414,Biological product (except diagnostic) manufacturing,2008,"1,446,419","221,843",D
United States,3255,"Paint, coating, & adhesive mfg",2008,"2,725,878","(s)2,003",S
United States,32551,Paint and coating manufacturing,2008,"1,562,807","(s)1,645",S
United States,325510,Paint and coating manufacturing,2008,"1,562,807","(s)1,645",S
United States,32552,Adhesive manufacturing,2008,"1,163,072",359,S
United States,325520,Adhesive manufacturing,2008,"1,163,072",359,S
United States,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"4,539,310","607,219",D
United States,32561,Soap and cleaning compound manufacturing,2008,"2,782,420","605,071",D
United States,32561M,Soap and cleaning compound manufacturing,2008,"2,782,420","605,071",D
United States,32562,Toilet preparation manufacturing,2008,"1,756,890","2,148",S
United States,325620,Toilet preparation manufacturing,2008,"1,756,890","2,148",S
United States,3259,Other chemical product & preparation mfg,2008,"6,226,125","639,573",D
United States,32591,Printing ink manufacturing,2008,"437,228",(s)159,S
United States,325910,Printing ink manufacturing,2008,"437,228",(s)159,S
United States,32592,Explosives manufacturing,2008,"203,816",D,D
United States,325920,Explosives manufacturing,2008,"203,816",D,D
United States,32599,All other chemical product and preparation manufacturing,2008,"5,585,081",D,D
United States,325991,Custom compounding of purchased resins,2008,"2,096,084",S,S
United States,32599N,All other miscellaneous chemical product and preparation mfg,2008,"3,488,997",D,D
United States,326,Plastics & rubber products mfg,2008,"58,568,209","181,311","13,683"
United States,3261,Plastics product mfg,2008,"49,978,439",D,D
United States,32611,"Unsupported plastics film, sheet, and bag manufacturing",2008,"10,904,241",D,D
United States,326111,Plastics bag manufacturing,2008,"2,725,858",D,S
United States,326112,Plastics packaging film and sheet (including laminated) mfg,2008,"2,609,580",D,S
United States,326113,Unlaminated plastics film and sheet (except packaging) mfg,2008,"5,568,802",D,D
United States,32612,"Plastics pipe, pipe fitting, and unsupported profile shape mfg",2008,"4,146,940",S,S
United States,326121,Unsupported plastics profile shape manufacturing,2008,"1,241,270",S,S
United States,326122,Plastics pipe and pipe fitting manufacturing,2008,"2,905,670",S,S
United States,32613,"Laminated plastics plate, sheet, and shape manufacturing",2008,"804,995",S,S
United States,326130,"Laminated plastics plate, sheet, and shape manufacturing",2008,"804,995",S,S
United States,32614,Polystyrene foam product manufacturing,2008,"2,347,870",S,S
United States,326140,Polystyrene foam product manufacturing,2008,"2,347,870",S,S
United States,32615,Urethane and other foam product (except polystyrene) mfg,2008,"1,209,491",D,S
United States,326150,Urethane and other foam product (except polystyrene) mfg,2008,"1,209,491",D,S
United States,32616,Plastics bottle manufacturing,2008,"7,054,838",D,S
United States,326160,Plastics bottle manufacturing,2008,"7,054,838",D,S
United States,32619,Other plastics product manufacturing,2008,"23,510,064","73,086",D
United States,32619M,Other plastics product manufacturing,2008,"23,510,064","73,086",D
United States,3262,Rubber product mfg,2008,"8,589,769",D,D
United States,32621,Tire manufacturing,2008,"4,659,746",D,D
United States,32621M,Tire manufacturing,2008,"4,659,746",D,D
United States,32622,Rubber and plastics hoses and belting manufacturing,2008,"873,191",D,D
United States,326220,Rubber and plastics hoses and belting manufacturing,2008,"873,191",D,D
United States,32629,Other rubber product manufacturing,2008,"3,056,831",D,S
United States,32629M,Other rubber product manufacturing,2008,"3,056,831",D,S
United States,327,Nonmetallic mineral product mfg,2008,"43,547,990","364,072","10,382"
United States,3271,Clay product & refractory mfg,2008,"2,595,223",D,D
United States,32711,"Pottery, ceramics, and plumbing fixture manufacturing",2008,"620,211",D,S
United States,327111,Vitreous china plumbing fixture manufacturing,2008,"109,707",S,S
United States,327112,Vitreous china and earthenware articles mfg,2008,"194,990",D,S
United States,327113,Porcelain electrical supply manufacturing,2008,"315,515",S,S
United States,32712,Clay building material and refractories manufacturing,2008,"1,975,012",S,D
United States,327121,Brick and structural clay tile manufacturing,2008,"837,007",S,S
United States,327122,Ceramic wall and floor tile manufacturing,2008,"398,439",S,S
United States,327123,Other structural clay product manufacturing,2008,"55,262",S,S
United States,32712N,Refractory manufacturing,2008,"684,303",S,D
United States,3272,Glass & glass product mfg,2008,"12,361,152",D,D
United States,32721,Glass and glass product manufacturing,2008,"12,361,152",D,D
United States,327211,Flat glass manufacturing,2008,"1,940,847",S,S
United States,327212,Other pressed and blown glass and glassware manufacturing,2008,"3,162,244",D,D
United States,327213,Glass container manufacturing,2008,"4,093,961",S,S
United States,327215,Glass product manufacturing made of purchased glass,2008,"3,164,101",D,S
United States,3273,Cement & concrete product mfg,2008,"17,492,979","337,656",D
United States,32731,Cement manufacturing,2008,"12,472,393","334,272","5,444"
United States,327310,Cement manufacturing,2008,"12,472,393","334,272","5,444"
United States,32732,Ready-mix concrete manufacturing,2008,"2,801,141",D,(s)199
United States,327320,Ready-mix concrete manufacturing,2008,"2,801,141",D,(s)199
United States,32733,"Concrete pipe, brick, and block manufacturing",2008,"955,336",S,"(s)3,057"
United States,32733M,"Concrete pipe, brick, and block manufacturing",2008,"955,336",S,"(s)3,057"
United States,32739,Other concrete product manufacturing,2008,"1,264,110",D,D
United States,327390,Other concrete product manufacturing,2008,"1,264,110",D,D
United States,3274,Lime & gypsum product mfg,2008,"3,823,093",D,S
United States,32741,Lime manufacturing,2008,"1,711,506",S,S
United States,327410,Lime manufacturing,2008,"1,711,506",S,S
United States,32742,Gypsum product manufacturing,2008,"2,111,587",D,S
United States,327420,Gypsum product manufacturing,2008,"2,111,587",D,S
United States,3279,Other nonmetallic mineral product mfg,2008,"7,275,543",D,S
United States,32791,Abrasive product manufacturing,2008,"733,643",S,S
United States,327910,Abrasive product manufacturing,2008,"733,643",S,S
United States,32799,All other nonmetallic mineral product manufacturing,2008,"6,541,900",D,S
United States,327991,Cut stone and stone product manufacturing,2008,"552,607",D,S
United States,327992,Ground or treated mineral and earth manufacturing,2008,"1,503,240",S,S
United States,327993,Mineral wool manufacturing,2008,"3,846,138",S,S
United States,327999,All other miscellaneous nonmetallic mineral product mfg,2008,"639,915",S,S
United States,331,Primary metal mfg,2008,"138,821,287","4,188,734","575,392"
United States,3311,Iron & steel mills & ferroalloy mfg,2008,"57,436,943","3,092,244",D
United States,33111,Iron and steel mills and ferroalloy manufacturing,2008,"57,436,943","3,092,244",D
United States,33111M,Iron and steel mills and ferroalloy manufacturing,2008,"57,436,943","3,092,244",D
United States,3312,Steel product mfg from purchased steel,2008,"6,462,539",S,S
United States,33121,Iron and steel pipe and tube mfg from purchased steel,2008,"3,382,415",S,S
United States,331210,Iron and steel pipe and tube mfg from purchased steel,2008,"3,382,415",S,S
United States,33122,Rolling and drawing of purchased steel,2008,"3,080,124",S,S
United States,33122M,Rolling and drawing of purchased steel,2008,"3,080,124",S,S
United States,3313,Alumina & aluminum production & processing,2008,"46,704,103",D,D
United States,33131,Alumina and aluminum production and processing,2008,"46,704,103",D,D
United States,331311,Alumina refining,2008,"285,156",D,S
United States,331312,Primary aluminum production,2008,"33,453,617",S,D
United States,331314,Secondary smelting and alloying of aluminum,2008,"6,405,540",D,S
United States,331316,Aluminum extruded product manufacturing,2008,"1,492,746",D,S
United States,33131N,Aluminum rolling and drawing,2008,"5,067,043",S,S
United States,3314,Nonferrous metal (except aluminum) production & processing,2008,"13,886,012",D,D
United States,33141,Nonferrous metal (except aluminum) smelting and refining,2008,"7,419,808",D,"439,848"
United States,331411,Primary smelting and refining of copper,2008,"531,233",D,D
United States,331419,Primary nonferrous metal (except copper and aluminum),2008,"6,888,575",D,D
United States,33142,"Copper rolling, drawing, extruding, and alloying",2008,"2,852,812",D,S
United States,33142M,"Copper rolling, drawing, extruding, and alloying",2008,"2,852,812",D,S
United States,33149,Nonferrous metal (except copper and aluminum) shaping,2008,"3,613,391",S,D
United States,33149M,Nonferrous metal (except copper and aluminum) shaping,2008,"3,613,391",S,D
United States,3315,Foundries,2008,"14,331,691",D,S
United States,33151,Ferrous metal foundries,2008,"10,311,919",D,S
United States,33151M,Ferrous metal foundries,2008,"10,311,919",D,S
United States,33152,Nonferrous metal foundries,2008,"4,019,771",D,S
United States,33152N,Aluminum foundries,2008,"2,860,322",D,S
United States,33152P,Foundries not aluminum,2008,"1,159,450",S,S
United States,332,Fabricated metal product mfg,2008,"48,698,926","254,997","3,462"
United States,3321,Forging & stamping,2008,"6,105,017","5,215",S
United States,33211,Forging and stamping,2008,"6,105,017","5,215",S
United States,332114,Custom roll forming,2008,"737,084",S,S
United States,332117,Powder metallurgy parts manufacturing,2008,"610,939",D,S
United States,33211N,Forging,2008,"2,725,184","3,930",S
United States,33211P,"Crown, closure, and metal stamping manufacturing",2008,"2,031,810",D,S
United States,3322,Cutlery & handtool mfg,2008,"1,678,059",D,S
United States,33221,Cutlery and hand tool manufacturing,2008,"1,678,059",D,S
United States,33221N,"Cutlery, kitchen utensil, pot, and pan manufacturing",2008,"382,252",D,S
United States,33221P,Hand tool and saw blade manufacturing,2008,"1,295,807","(s)2,152",S
United States,3323,Architectural & structural metals mfg,2008,"7,724,548",D,(s)815
United States,33231,Plate work and fabricated structural product manufacturing,2008,"3,945,426",D,(s)815
United States,33231M,Plate work and fabricated structural product manufacturing,2008,"3,945,426",D,(s)815
United States,33232,Ornamental and architectural metal work manufacturing,2008,"3,779,122",(s)341,S
United States,33232M,Ornamental and architectural metal work manufacturing,2008,"3,779,122",(s)341,S
United States,3324,"Boiler, tank, & shipping container mfg",2008,"4,887,878","(s)2,425",S
United States,33241,Power boiler and heat exchanger manufacturing,2008,"681,700",S,S
United States,332410,Power boiler and heat exchanger manufacturing,2008,"681,700",S,S
United States,33242,Metal tank (heavy gauge) manufacturing,2008,"922,249","(s)2,425",S
United States,332420,Metal tank (heavy gauge) manufacturing,2008,"922,249","(s)2,425",S
United States,33243,"Metal can, box, and other metal container (light gauge) mfg",2008,"3,283,930",S,S
United States,33243M,"Metal can, box, and other metal container (light gauge) mfg",2008,"3,283,930",S,S
United States,3325,Hardware mfg,2008,"916,492",D,S
United States,33251,Hardware manufacturing,2008,"916,492",D,S
United States,332510,Hardware manufacturing,2008,"916,492",D,S
United States,3326,Spring & wire product mfg,2008,"1,629,851","(s)5,015",S
United States,33261,Spring and wire product manufacturing,2008,"1,629,851","(s)5,015",S
United States,33261M,Spring and wire product manufacturing,2008,"1,629,851","(s)5,015",S
United States,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"9,269,891","19,061",D
United States,33271,Machine shops,2008,"5,347,175",D,D
United States,332710,Machine shops,2008,"5,347,175",D,D
United States,33272,"Turned product and screw, nut, and bolt manufacturing",2008,"3,922,716",D,D
United States,332721,Precision turned product manufacturing,2008,"2,656,479",D,D
United States,332722,"Bolt, nut, screw, rivet, and washer manufacturing",2008,"1,266,236",D,S
United States,3328,"Coating, engraving, heat treating, & allied activities",2008,"6,870,739","29,863",S
United States,33281,"Coating, engraving, heat treating, and allied activities",2008,"6,870,739","29,863",S
United States,33281M,"Coating, engraving, heat treating, and allied activities",2008,"6,870,739","29,863",S
United States,3329,Other fabricated metal product mfg,2008,"9,616,451",D,D
United States,33291,Metal valve manufacturing,2008,"3,542,611",314,S
United States,332913,Plumbing fixture fitting and trim manufacturing,2008,"265,788",D,S
United States,33291N,Valve and fitting (except plumbing) manufacturing,2008,"3,276,822",D,S
United States,33299,All other fabricated metal product manufacturing,2008,"6,073,840",D,D
United States,332991,Ball and roller bearing manufacturing,2008,"1,613,718",S,S
United States,332992,Small arms ammunition manufacturing,2008,"367,033",S,S
United States,332993,Ammunition (except small arms) manufacturing,2008,"237,595",S,D
United States,332994,Small arms manufacturing,2008,"293,862",S,S
