# File: IFA2002_Fert_ktN,,,,,,
# Author: Geoff Morrison,,,,,,
# Description: IFA N-Fertilizer Application Rates (kg N/ha),,,,,,
# Original source: IFA (2002) and FAO (2006),,,,,,
# ----------,,,,,,
COUNTRY,YEAR,CROP,AREA_thousHa,N_kt,P2O5_kt,K2O_kt
AUSTRALIA,2000,Cereals,16357,702,491,64
AUSTRALIA,2000,Cotton,462,56,9,6
AUSTRALIA,2000,Oilseeds,4298,55,98,14
AUSTRALIA,2000,Sugar cane,419,96,28,69
AUSTRIA,2000,Barley,245,24,6,5
AUSTRIA,2000,Fodder (legumes),18,0,0,0
AUSTRIA,2000,Fodder (other),109,5,3,3
AUSTRIA,2000,Maize,175,21,10,12
AUSTRIA,2000,Maize,80,8,5,5
AUSTRIA,2000,Rapeseed,55,7,3,4
AUSTRIA,2000,Potato,22,2,1,3
AUSTRIA,2000,Pulses,55,0,0,1
AUSTRIA,2000,Rye,113,8,2,2
AUSTRIA,2000,"Set-aside, industrial crops",7,0,0,0
AUSTRIA,2000,Sugar beet,49,4,3,5
AUSTRIA,2000,Sunflower,45,2,2,1
AUSTRIA,2000,Vegetables,11,1,1,1
AUSTRIA,2000,Wheat,260,30,7,7
AZERBAIJAN,1998,Cotton,136,3,1,1
AZERBAIJAN,1998,Fruits,105,1,1,1
AZERBAIJAN,1998,Maize,4,0,0,0
AZERBAIJAN,1998,Potato,2,0,0,0
AZERBAIJAN,1998,Rice,2,0,0,0
AZERBAIJAN,1998,Sugar beet,2,0,0,0
AZERBAIJAN,1998,Tea,7,0,0,0
AZERBAIJAN,1998,Tobacco,6,0,0,0
AZERBAIJAN,1998,Vegetables,6,0,0,0
AZERBAIJAN,1998,Wheat,319,3,3,2
BANGLADESH,1998,Banana,39,2,1,1
BANGLADESH,1998,Cotton,43,3,2,2
BANGLADESH,1998,Groundnut,580,29,9,5
BANGLADESH,1998,Jute,525,48,12,28
BANGLADESH,1998,Maize,24,1,0,0
BANGLADESH,1998,Pineapple,14,1,0,0
BANGLADESH,1998,Pulses,625,3,1,0
BANGLADESH,1998,Rice,10117,728,152,101
BANGLADESH,1998,Sugar cane,172,15,12,12
BANGLADESH,1998,Wheat,882,40,9,7
BANGLADESH,1998,Yam,142,11,3,2
BELARUS,1996,Cereals,2447,115,49,169
BELARUS,1996,Potato,26,1,1,3
BELARUS,1996,Sugar beet,45,4,2,6
BELGIUM,1999,Barley,50,5,1,2
BELGIUM,1999,Fodder (legumes),11,0,0,1
BELGIUM,1999,Fodder (other),22,2,0,1
BELGIUM,1999,Maize,35,2,1,1
BELGIUM,1999,Maize,185,15,6,10
BELGIUM,1999,Rapeseed,15,2,1,2
BELGIUM,1999,Potato,59,9,3,9
BELGIUM,1999,Pulses,4,0,0,0
BELGIUM,1999,Rye,30,3,1,1
BELGIUM,1999,Sugar beet,98,11,5,15
BELGIUM,1999,Sunflower,16,0,0,1
BELGIUM,1999,Vegetables,38,4,2,3
BELGIUM,1999,Wheat,220,34,6,9
BOLIVIA,1999,Barley,86,0,0,0
BOLIVIA,1999,Coffee,25,0,0,0
BOLIVIA,1999,Cotton,21,0,0,0
BOLIVIA,1999,Maize,285,1,0,0
BOLIVIA,1999,Oat,6,0,0,0
BOLIVIA,1999,Peach,6,0,0,0
BOLIVIA,1999,Potato,130,4,4,0
BOLIVIA,1999,Rice,194,1,0,1
BOLIVIA,1999,Sorghum,35,0,0,0
BOLIVIA,1999,Soybean,420,1,1,0
BOLIVIA,1999,Sugar cane,84,1,0,0
BOLIVIA,1999,Tomato,5,0,0,0
BOLIVIA,1999,Wheat,124,0,0,0
BRAZIL,1999,Banana,620,19,15,45
BRAZIL,1999,Barley,75,2,1,2
BRAZIL,1999,Cassava,1969,39,79,59
BRAZIL,1995,Citrus fruits,0,0,0,0
BRAZIL,1999,Citrus fruits,0,0,0,0
BRAZIL,1999,Cocoa,750,24,30,18
BRAZIL,1995,Coffee,0,0,0,0
BRAZIL,1999,Coffee,0,0,0,0
BRAZIL,1999,Coffee,2075,149,83,62
BRAZIL,1995,Cotton,0,0,0,0
BRAZIL,1999,Cotton,0,0,0,0
BRAZIL,1999,Cotton,1150,37,46,46
BRAZIL,1999,Groundnut,90,1,3,2
BRAZIL,1995,Maize,0,0,0,0
BRAZIL,1999,Maize,0,0,0,0
BRAZIL,1999,Maize,14191,596,298,496
BRAZIL,1999,Orange,950,49,46,46
BRAZIL,1995,Potato,0,0,0,0
BRAZIL,1999,Potato,0,0,0,0
BRAZIL,1999,Potato,128,9,15,17
BRAZIL,1999,Pulses,5300,186,318,159
BRAZIL,1999,Rice,4503,126,158,108
BRAZIL,1999,Sorghum,158,6,3,4
BRAZIL,1999,Soybean,12200,110,549,695
BRAZIL,1995,Soybean,0,0,0,0
BRAZIL,1999,Soybean,0,0,0,0
BRAZIL,1995,Sugar cane,0,0,0,0
BRAZIL,1999,Sugar cane,0,0,0,0
BRAZIL,1999,Sugar cane,4257,255,230,383
BRAZIL,1999,Tobacco,327,11,11,11
BRAZIL,1995,Wheat,0,0,0,0
BRAZIL,1999,Wheat,0,0,0,0
BRAZIL,1999,Wheat,1267,71,41,61
BULGARIA,1998,Barley,290,15,0,0
BULGARIA,1998,Fruits,209,1,0,0
BULGARIA,1998,Maize,477,4,0,0
BULGARIA,1998,Maize,62,1,0,0
BULGARIA,1998,Oilseeds,539,6,0,0
BULGARIA,1998,Sunflower,539,6,0,0
BULGARIA,1998,Wheat,1142,69,4,0
CAMBODIA,2001,Cassava,7,0,0,0
CAMBODIA,2001,Fruits,57,0,0,0
CAMBODIA,2001,Maize,90,1,0,0
CAMBODIA,2001,Rice,1873,10,6,1
CAMBODIA,2001,Tobacco,15,0,0,0
CAMBODIA,2001,Vegetables,75,1,0,0
CANADA,2000,Barley,5081,306,99,20
CANADA,2000,Flax,595,42,11,8
CANADA,2000,Maize,1111,165,52,95
CANADA,2000,Oat,1820,68,27,4
CANADA,2000,Potato,126,27,16,10
CANADA,2000,Rapeseed,4895,360,93,70
CANADA,2000,Rye,150,6,2,1
CANADA,2000,Soybean,1067,5,13,23
CANADA,2000,Wheat,11162,502,218,27
CHILE,1997,Barley,35,3,3,1
CHILE,1997,Grape,130,9,5,5
CHILE,1997,Maize,120,24,12,3
CHILE,1997,Oat,115,12,9,0
CHILE,1997,Potato,70,7,8,4
CHILE,1997,Pulses,75,4,5,3
CHILE,1997,Rapeseed,10,1,2,0
CHILE,1997,Rice,29,3,2,1
CHILE,1997,Sorghum,45,3,3,1
CHILE,1997,Sugar beet,50,10,13,5
CHILE,1997,Sunflower,4,0,0,0
CHILE,1997,Tobacco,10,1,0,0
CHILE,1997,Tomato,22,2,2,1
CHILE,1997,Vegetables,160,16,13,6
CHILE,1997,Wheat,420,42,34,8
CHINA,1997,Apple,2690,377,170,73
CHINA,1997,Banana,151,33,12,17
CHINA,1997,Barley,1400,112,47,16
CHINA,1997,Cabbage,9,3,1,1
CHINA,1997,Cantaloupe,169,17,7,8
CHINA,1997,Cassava,231,20,5,4
CHINA,1997,Bean,243,11,4,1
CHINA,1997,Citrus fruits,1124,169,76,46
CHINA,1997,Cotton,5528,663,348,62
CHINA,1997,Flax,93,5,3,0
CHINA,1997,Garlic,9,2,1,1
CHINA,1997,Grape,149,22,13,7
CHINA,1997,Grape,5,1,1,1
CHINA,1997,Groundnut,3776,283,221,91
CHINA,1997,Groundnut,34,1,2,2
CHINA,1997,Jute,176,18,10,4
CHINA,1997,Linseed,668,41,21,1
CHINA,1997,Maize,21152,2750,423,296
CHINA,1997,Maize,73,10,6,5
CHINA,1997,Millet,1672,98,25,0
CHINA,1997,Oat,400,26,5,1
CHINA,1997,Pear,750,90,56,32
CHINA,1997,Potato,3208,401,168,96
CHINA,1997,"Potato, sweet",6511,814,260,391
CHINA,1997,"Potato, sweet",11,1,1,2
CHINA,1997,Pulses,3514,174,225,53
CHINA,1997,Rapeseed,5783,723,330,145
CHINA,1997,Rice,30172,4375,1629,724
CHINA,1997,Rice,348,40,14,17
CHINA,1997,Rye,500,40,8,1
CHINA,1997,Sesame,690,66,17,4
CHINA,1997,Sorghum,1368,123,16,0
CHINA,1997,Sorghum,13,2,1,1
CHINA,1997,Soybean,9222,542,581,111
CHINA,1997,Sugar beet,698,84,45,13
CHINA,1997,Sugar cane,1057,159,79,69
CHINA,1997,Sugar cane,57,12,4,6
CHINA,1997,Sunflower,805,64,15,1
CHINA,1997,Taro,83,13,5,5
CHINA,1997,Tea,1135,148,48,28
CHINA,1997,Tea,21,6,2,2
CHINA,1997,Tobacco,1490,149,89,99
CHINA,1997,Vegetables,8921,1204,468,178
CHINA,1997,Watermelon,867,139,70,54
CHINA,1997,Watermelon,20,4,4,4
CHINA,1997,Wheat,28981,3478,2414,93
COLOMBIA,1997,Banana,52,10,3,21
COLOMBIA,1997,Barley,10,1,1,0
COLOMBIA,1997,Cocoa,110,4,2,3
COLOMBIA,1997,Coffee,1006,113,16,60
COLOMBIA,1997,Cotton,61,3,1,2
COLOMBIA,1997,Maize,573,29,41,5
COLOMBIA,1997,Oil Palm,120,12,4,18
COLOMBIA,1997,Orange,23,1,0,1
COLOMBIA,1997,Potato,167,17,13,13
COLOMBIA,1997,Pulses,139,6,8,5
COLOMBIA,1997,Rice,394,43,25,25
COLOMBIA,1997,Sorghum,103,9,7,4
COLOMBIA,1997,Soybean,43,1,1,1
COLOMBIA,1997,Sugar cane,50,4,7,5
COLOMBIA,1997,Tobacco,10,1,0,0
COLOMBIA,1997,Tomato,12,1,1,0
COLOMBIA,1997,Vegetables,82,8,7,3
COLOMBIA,1997,Wheat,24,2,2,0
COSTA RICA,1997,Banana,66,30,7,30
COSTA RICA,1997,Citrus fruits,24,2,1,2
COSTA RICA,1997,Cocoa,4,0,0,0
COSTA RICA,1997,Coffee,180,36,7,14
COSTA RICA,1997,Cotton,0,0,0,0
COSTA RICA,1997,Fruits,17,1,1,1
COSTA RICA,1997,Maize,13,1,0,0
COSTA RICA,1997,Oil Palm,27,2,1,3
COSTA RICA,1997,Pineapple,9,2,1,3
COSTA RICA,1997,Potato,4,1,2,1
COSTA RICA,1997,Pulses,43,3,1,4
COSTA RICA,1997,Rice,84,12,3,2
COSTA RICA,1997,Sugar cane,48,4,2,2
COSTA RICA,1997,Tobacco,0,0,0,0
COSTA RICA,1997,Tomato,0,0,0,0
COSTA RICA,1997,Vegetables,11,2,1,2
CROATIA,1999,Alfalfa,43,3,2,3
CROATIA,1999,Barley,45,1,2,1
CROATIA,1999,Cabbage,10,1,1,0
CROATIA,1999,Carrot,3,0,0,0
CROATIA,1999,Clover,37,3,2,3
CROATIA,1999,Cabbage,1,0,0,0
CROATIA,1999,Cucumber,4,1,0,0
CROATIA,1999,Dry beans,7,0,0,0
CROATIA,1999,Fodder (beet),6,1,0,0
CROATIA,1999,Fodder (other),20,2,1,2
CROATIA,1999,Garlic,3,0,0,0
CROATIA,1999,Grape,59,5,2,4
CROATIA,1999,Maize,386,39,14,14
CROATIA,1999,"Maize, green",17,2,1,1
CROATIA,1999,Oat,24,1,1,1
CROATIA,1999,Olive,15,1,1,1
CROATIA,1999,Onion,7,1,0,0
CROATIA,1999,"Pea, dry",1,0,0,0
CROATIA,1999,"Pea, green",3,1,0,0
CROATIA,1999,Pepper,5,1,0,0
CROATIA,1999,Potato,66,5,2,3
CROATIA,1999,Rapeseed,16,1,1,1
CROATIA,1999,Rye,3,0,0,0
CROATIA,1999,Soybean,47,1,2,3
CROATIA,1999,Sugar beet,28,3,2,2
CROATIA,1999,Sunflower,42,3,2,2
CROATIA,1999,Tobacco,7,0,0,1
CROATIA,1999,Tomato,6,1,0,0
CROATIA,1999,Watermelon,3,1,0,0
CROATIA,1999,Wheat,170,18,6,6
CUBA,1998,Onion,2910,0,0,0
CUBA,1998,Pepper,1941,0,0,0
CUBA,1998,Potato,13700,0,0,0
CUBA,1998,Rice,95700,0,0,0
CUBA,1998,Sugar cane,0,0,0,0
CUBA,1998,Tobacco,48,0,0,0
CUBA,1998,Tomato,26497,0,0,0
CZECH REPUBLIC,2000,Alfalfa,68,0,0,0
CZECH REPUBLIC,2000,Barley,199,13,3,2
CZECH REPUBLIC,2000,Clover,105,0,0,0
CZECH REPUBLIC,2000,Flax,6,0,0,0
CZECH REPUBLIC,2000,Fodder (beet),2,0,0,0
CZECH REPUBLIC,2000,Hop,8,1,0,0
CZECH REPUBLIC,2000,Maize,11,1,0,0
CZECH REPUBLIC,2000,Maize,263,27,6,3
CZECH REPUBLIC,2000,Mustard,13,1,0,0
CZECH REPUBLIC,2000,Oat,26,1,0,0
CZECH REPUBLIC,2000,"Pea, dry",32,0,1,1
CZECH REPUBLIC,2000,Poppy,49,2,1,1
CZECH REPUBLIC,2000,Potato,2,0,0,0
CZECH REPUBLIC,2000,Potato,4,0,0,0
CZECH REPUBLIC,2000,Potato,35,3,2,2
CZECH REPUBLIC,2000,Rapeseed,334,49,6,4
CZECH REPUBLIC,2000,Rye,51,4,0,0
CZECH REPUBLIC,2000,Sugar beet,52,5,2,3
CZECH REPUBLIC,2000,Sunflower,8,1,0,0
CZECH REPUBLIC,2000,Triticale,37,3,0,0
CZECH REPUBLIC,2000,Grape,1,0,0,0
CZECH REPUBLIC,2000,Wheat,40,3,0,0
CZECH REPUBLIC,2000,Wheat,725,77,12,9
DENMARK,1999,Barley,826,64,13,25
DENMARK,1999,Fodder (legumes),228,25,2,15
DENMARK,1999,Fodder (other),60,9,1,5
DENMARK,1999,Maize,59,2,1,1
DENMARK,1999,Rapeseed,77,8,1,4
DENMARK,1999,Potato,40,5,1,3
DENMARK,1999,Pulses,53,0,1,3
DENMARK,1999,Rye,159,13,2,5
DENMARK,1999,Sugar beet,58,6,2,4
DENMARK,1999,Sunflower,6,0,0,0
DENMARK,1999,Vegetables,21,3,1,2
DENMARK,1999,Wheat,639,96,11,26
DOMINICAN REPUBLIC,1998,Avocado,16,1,1,1
DOMINICAN REPUBLIC,1998,Banana,29,3,2,4
DOMINICAN REPUBLIC,1998,Cassava,20,0,0,0
DOMINICAN REPUBLIC,1998,Citrus fruits,12,1,1,1
DOMINICAN REPUBLIC,1998,Cocoa,153,2,1,1
DOMINICAN REPUBLIC,1998,Coconut,37,0,2,2
DOMINICAN REPUBLIC,1998,Coffee,139,5,2,3
DOMINICAN REPUBLIC,1998,"Pea, dry",64,3,2,2
DOMINICAN REPUBLIC,1998,Grape,1,0,0,0
DOMINICAN REPUBLIC,1998,Maize,29,1,1,1
DOMINICAN REPUBLIC,1998,Pineapple,9,1,1,1
DOMINICAN REPUBLIC,1998,Plantain,36,1,1,2
DOMINICAN REPUBLIC,1998,Potato,2,0,0,0
DOMINICAN REPUBLIC,1998,"Potato, sweet",8,0,0,0
DOMINICAN REPUBLIC,1998,Pulses,65,2,3,4
DOMINICAN REPUBLIC,1998,Rice,121,13,7,6
DOMINICAN REPUBLIC,1998,Sorghum,9,0,0,0
DOMINICAN REPUBLIC,1998,Sugar cane,257,12,9,9
DOMINICAN REPUBLIC,1998,Tobacco,31,2,2,1
DOMINICAN REPUBLIC,1998,Tomato,12,1,1,1
DOMINICAN REPUBLIC,1998,Vegetables,28,2,2,2
ECUADOR,1995,Banana,110,23,2,31
ECUADOR,1995,Barley,45,0,0,0
ECUADOR,1995,Cassava,20,0,0,0
ECUADOR,1995,Cocoa,310,1,0,1
ECUADOR,1995,Coffee,380,2,0,1
ECUADOR,1995,Cotton,20,1,0,0
ECUADOR,1995,Maize,320,23,8,8
ECUADOR,1995,Oil Palm,70,4,1,3
ECUADOR,1995,Potato,57,7,9,3
ECUADOR,1995,Rice,356,21,9,6
ECUADOR,1995,Soybean,81,0,1,1
ECUADOR,1995,Sugar cane,45,2,1,3
ECUADOR,1995,Wheat,35,0,0,0
EGYPT,1997,Apple,29,5,2,3
EGYPT,1997,Banana,19,20,4,4
EGYPT,1997,Banana,19,20,4,4
EGYPT,1997,Barley,58,6,2,3
EGYPT,1997,Bean,149,5,11,9
EGYPT,1997,Bean,149,5,11,9
EGYPT,1997,Cabbage,17,2,1,1
EGYPT,1997,Carrot,5,1,0,0
EGYPT,1997,Citrus fruits,91,24,6,8
EGYPT,1997,Clover,666,24,30,0
EGYPT,1997,Clover,666,24,30,0
EGYPT,1997,Cotton,361,19,21,21
EGYPT,1997,Cotton,361,19,21,21
EGYPT,1997,Cucumber,23,3,1,1
EGYPT,1997,Flax,9,1,0,0
EGYPT,1997,Garlic,7,1,1,1
EGYPT,1997,Grape,57,12,5,5
EGYPT,1997,Grape,57,12,5,5
EGYPT,1997,Lentil,4,0,0,0
EGYPT,1997,Maize,814,190,29,0
EGYPT,1997,Maize,814,190,29,0
EGYPT,1997,Mango,29,7,2,3
EGYPT,1997,Onion,26,7,2,2
EGYPT,1997,Orange,91,24,6,8
EGYPT,1997,Peach,39,8,2,2
EGYPT,1997,Groundnut,43,3,2,2
EGYPT,1997,Pepper,26,6,1,2
EGYPT,1997,Potato,82,25,12,9
EGYPT,1997,Potato,82,25,12,9
EGYPT,1997,Rice,651,78,23,0
EGYPT,1997,Rice,651,78,23,0
EGYPT,1997,Sesame,28,1,1,1
EGYPT,1997,Soybean,13,1,1,1
EGYPT,1997,Squash,31,4,2,2
EGYPT,1997,Sugar beet,27,1,0,3
EGYPT,1997,Sugar cane,122,10,2,0
EGYPT,1997,Sunflower,12,1,1,1
EGYPT,1997,Tomato,169,50,18,19
EGYPT,1997,Tomato,169,50,18,19
EGYPT,1997,Watermelon,63,8,3,4
EGYPT,1997,Wheat,1045,177,37,0
EGYPT,1997,Wheat,1045,177,37,0
EL SALVADOR,1998,Banana,2,0,0,0
EL SALVADOR,1998,Bean,78,1,5,0
EL SALVADOR,1998,Cabbage,1,0,0,0
EL SALVADOR,1998,Coconut,6,0,0,0
EL SALVADOR,1998,Coffee,162,8,14,3
EL SALVADOR,1998,Maize,295,22,10,0
EL SALVADOR,1998,Orange,5,1,0,0
EL SALVADOR,1998,Plantain,2,0,0,0
EL SALVADOR,1998,Potato,1,0,0,0
EL SALVADOR,1998,Rice,10,1,1,0
EL SALVADOR,1998,Sesame,13,1,0,0
EL SALVADOR,1998,Sugar cane,73,10,4,1
EL SALVADOR,1998,Tomato,1,0,0,0
EL SALVADOR,1998,Watermelon,2,0,0,0
ESTONIA,1998,Apple,8,0,0,0
ESTONIA,1998,Barley,167,6,2,2
ESTONIA,1998,Fruits,4,0,0,0
ESTONIA,1998,Oat,61,1,0,0
ESTONIA,1998,"Pea, dry",6,0,0,0
ESTONIA,1998,Potato,33,0,0,0
ESTONIA,1998,Rapeseed,18,1,0,1
ESTONIA,1998,Roots & tubers,5,0,0,0
ESTONIA,1998,Rye,39,1,0,0
ESTONIA,1998,Vegetables,4,0,0,0
ESTONIA,1998,Wheat,67,5,1,1
ETHIOPIA,1995,Barley,880,8,15,0
ETHIOPIA,1995,Coffee,350,1,1,0
ETHIOPIA,1995,Maize,1100,8,15,0
ETHIOPIA,1995,Rapeseed,385,1,2,0
ETHIOPIA,1995,Pulses,880,1,3,0
ETHIOPIA,1995,Teff,1900,23,45,0
ETHIOPIA,1995,Wheat,770,10,20,0
FIJI,1994,Cocoa,2,0,0,0
FIJI,1994,Coconut,60,1,0,4
FIJI,1994,Rice,15,1,1,1
FIJI,1994,Sugar cane,75,8,3,6
FINLAND,1999,Barley,620,45,13,17
FINLAND,1999,Rapeseed,60,5,2,2
FINLAND,1999,Potato,32,2,4,3
FINLAND,1999,Pulses,5,0,0,0
FINLAND,1999,Rye,420,29,11,50
FINLAND,1999,Sugar beet,35,4,3,2
FINLAND,1999,Vegetables,15,1,1,2
FINLAND,1999,Wheat,150,13,4,5
FRANCE,1999,Barley,1546,186,74,39
FRANCE,1999,Fodder (legumes),448,0,22,34
FRANCE,1999,Fodder (other),50,3,1,2
FRANCE,1999,Maize,1808,307,107,65
FRANCE,1999,Maize,1403,65,31,42
FRANCE,1999,Rapeseed,1050,163,47,84
FRANCE,1999,Potato,1130,40,34,45
FRANCE,1999,Rye,481,0,19,38
FRANCE,1999,Sugar beet,190,28,7,7
FRANCE,1999,Sunflower,426,55,34,77
FRANCE,1999,Vegetables,1100,50,44,88
FRANCE,1999,Wheat,320,26,26,22
GERMANY,1999,Barley,2050,308,62,66
GERMANY,1999,Fodder (legumes),225,7,7,11
GERMANY,1999,Fodder (other),260,39,9,13
GERMANY,1999,Maize,350,53,18,32
GERMANY,1999,Maize,1190,101,36,36
GERMANY,1999,Rapeseed,739,126,33,67
GERMANY,1999,Potato,285,40,20,48
GERMANY,1999,Pulses,190,5,6,9
GERMANY,1999,Rye,1554,179,39,47
GERMANY,1999,Sugar beet,457,66,32,71
GERMANY,1999,Sunflower,192,10,6,8
GERMANY,1999,Vegetables,107,18,4,15
GERMANY,1999,Wheat,2921,482,88,117
GREECE,1999,Barley,130,10,2,0
GREECE,1999,Maize,210,40,9,1
GREECE,1999,Maize,7,1,0,0
GREECE,1999,Potato,50,10,6,6
GREECE,1999,Pulses,28,1,1,0
GREECE,1999,Rye,85,7,3,0
GREECE,1999,Sugar beet,40,6,3,2
GREECE,1999,Sunflower,32,2,1,0
GREECE,1999,Vegetables,160,27,14,21
GREECE,1999,Wheat,840,59,17,0
GUATEMALA,1997,Banana,21,2,1,3
GUATEMALA,1997,Citrus fruits,8,0,0,0
GUATEMALA,1997,Coffee,264,25,6,8
GUATEMALA,1997,Cotton,16,1,1,1
GUATEMALA,1997,Dry beans,126,5,4,3
GUATEMALA,1997,Maize,620,62,37,11
GUATEMALA,1997,Oil Palm,10,1,0,1
GUATEMALA,1997,Potato,8,1,1,1
GUATEMALA,1997,Rice,15,1,1,1
GUATEMALA,1997,Sesame,37,3,2,4
GUATEMALA,1997,Sorghum,52,5,3,2
GUATEMALA,1997,Soybean,14,0,1,0
GUATEMALA,1997,Sugar cane,132,9,7,5
GUATEMALA,1997,Tobacco,8,0,0,0
GUATEMALA,1997,Tomato,5,0,0,0
GUATEMALA,1997,Vegetables,3,0,0,0
GUATEMALA,1997,Wheat,12,1,1,1
GUINEA,1997,Maize,85,3,2,1
GUINEA,1997,Rice,480,8,6,5
HONDURAS,1997,Banana,23,5,2,3
HONDURAS,1997,Citrus fruits,5,0,0,0
HONDURAS,1997,Cocoa,5,0,0,0
HONDURAS,1997,Coffee,191,23,4,10
HONDURAS,1997,Dry beans,90,2,2,4
HONDURAS,1997,Maize,453,27,11,11
HONDURAS,1997,Oil Palm,24,3,1,2
HONDURAS,1997,Pineapple,6,1,1,0
HONDURAS,1997,Plantain,18,1,0,0
HONDURAS,1997,Potato,2,0,0,0
HONDURAS,1997,Rice,23,3,1,2
HONDURAS,1997,Sorghum,97,3,2,1
HONDURAS,1997,Soybean,4,0,0,0
HONDURAS,1997,Sugar cane,42,6,1,3
HONDURAS,1997,Tobacco,7,1,0,0
HONDURAS,1997,Tomato,4,0,0,0
HONDURAS,1997,Vegetables,10,1,1,1
HONDURAS,1997,Wheat,1,0,0,0
HUNGARY,1999,Apple,99,5,2,4
HUNGARY,1999,Barley,40,2,0,1
HUNGARY,1999,Barley,333,25,6,7
HUNGARY,1999,Maize,120,14,2,3
HUNGARY,1999,Grape,99,3,1,3
HUNGARY,1999,"Pea, dry",58,3,2,1
HUNGARY,1999,Potato,56,7,4,10
HUNGARY,1999,Rapeseed,52,6,1,1
HUNGARY,1999,Soybean,18,1,0,0
HUNGARY,1999,Sugar beet,55,3,3,6
HUNGARY,1999,Sunflower,520,26,7,8
HUNGARY,1999,Wheat,734,76,22,20
INDIA,2003,Cotton,9,0,0,0
INDIA,1997,Cotton,8868,505,216,46
INDIA,1997,Gram,7563,38,29,1
INDIA,2003,Groundnut,7,0,0,0
INDIA,1997,Groundnut,7088,160,181,48
INDIA,2003,Jute,1,0,0,0
INDIA,1997,Jute,906,20,6,4
INDIA,2003,Maize,7,0,0,0
INDIA,1997,Maize,6321,115,46,9
INDIA,1997,Millet,9668,100,32,4
INDIA,2003,Rice,45,0,0,0
INDIA,1997,Rice,43446,2206,788,305
INDIA,2003,Pearl millet,10,0,0,0
INDIA,2003,"Pea, dry",4,0,0,0
INDIA,2003,Rapeseed,6,0,0,0
INDIA,1997,Rapeseed,7041,323,127,15
INDIA,2003,Sorghum,10,0,0,0
INDIA,1997,Sorghum,10801,137,75,16
INDIA,2003,Sugar cane,4,0,0,0
INDIA,1997,Sugar cane,3930,343,137,89
INDIA,2003,Wheat,26,0,0,0
INDIA,1997,Wheat,26696,2349,813,90
INDONESIA,2001,Cassava,1360,35,14,4
INDONESIA,2001,Cassava,1360,35,14,4
INDONESIA,2001,Cocoa,360,24,12,9
INDONESIA,2001,Cocoa,360,24,12,9
INDONESIA,2001,Coconut,2800,19,8,4
INDONESIA,2001,Coconut,2800,19,8,4
INDONESIA,2001,Coffee,900,44,16,14
INDONESIA,2001,Coffee,900,44,16,14
INDONESIA,2001,Fruits,868,70,17,26
INDONESIA,2001,Fruits,868,70,17,26
INDONESIA,2001,Groundnut,650,5,4,1
INDONESIA,2001,Maize,3402,259,51,14
INDONESIA,2001,Maize,3402,259,51,14
INDONESIA,2001,Oil Palm,2500,190,53,131
INDONESIA,2001,Oil Palm,2500,190,53,131
INDONESIA,2001,Onion,80,4,2,1
INDONESIA,2001,Pepper,80,4,1,1
INDONESIA,2001,Potato,63,4,2,2
INDONESIA,2001,Rice,11523,1193,178,65
INDONESIA,2001,Rice,11523,1193,178,65
INDONESIA,2001,Soybean,967,8,6,2
INDONESIA,2001,Sugar cane,340,25,7,5
INDONESIA,2001,Sugar cane,340,25,7,5
