IPCC-Annex,World Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,OECD_Europe,ESP,Spain,2E,Production of halocarbons and SF6,6.45E-02,6.89E-02,7.11E-02,8.26E-02,9.15E-02,8.12E-02,9.69E-02,1.07E-01,1.16E-01,1.20E-01,1.27E-01,1.30E-01,1.21E-01,1.38E-01,1.44E-01,1.43E-01,1.51E-01,1.56E-01,1.80E-01,1.90E-01,1.67E-01,1.83E-01,1.90E-01,1.88E-01,1.90E-01,1.89E-01,2.07E-01,1.97E-01,2.30E-01,9.59E-02,5.41E-02,5.62E-02,3.47E-02,3.65E-02,1.49E-02,1.58E-02,1.88E-02,2.14E-02,1.99E-02
Annex_I,OECD_Europe,ESP,Spain,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,8.13E-06,1.63E-05,3.25E-05,6.50E-05,1.30E-04,2.60E-04,5.87E-04,2.70E-03,6.21E-03,1.57E-02,3.32E-02,5.16E-02,6.75E-02,8.67E-02,1.00E-01,1.08E-01,1.29E-01,1.44E-01,1.60E-01
Annex_I,OECD_Europe,FRA,France,2E,Production of halocarbons and SF6,1.06E-01,1.13E-01,1.17E-01,1.36E-01,1.50E-01,1.33E-01,1.59E-01,1.75E-01,1.90E-01,1.97E-01,2.08E-01,2.13E-01,1.98E-01,2.27E-01,2.37E-01,2.35E-01,2.48E-01,2.56E-01,2.95E-01,3.12E-01,3.93E-01,4.80E-01,5.67E-01,8.00E-01,5.63E-01,2.33E-01,2.28E-01,2.14E-01,2.54E-01,2.53E-01,2.64E-01,2.58E-01,2.46E-01,2.04E-01,1.37E-01,6.17E-02,4.67E-02,6.36E-02,9.29E-02
Annex_I,OECD_Europe,FRA,France,2F7,Semiconductor/Electronics Manufacture,,2.40E-05,4.40E-05,1.08E-04,1.60E-04,2.04E-04,2.84E-04,3.04E-04,4.04E-04,5.44E-04,6.64E-04,6.84E-04,7.20E-04,9.12E-04,1.33E-03,1.11E-03,1.37E-03,1.70E-03,2.36E-03,2.53E-03,2.57E-03,2.83E-03,3.11E-03,3.42E-03,3.77E-03,4.14E-03,3.28E-03,5.68E-03,6.20E-03,2.15E-03,2.30E-03,1.75E-03,1.77E-03,1.77E-03,1.42E-03,1.64E-03,1.34E-03,1.22E-03,1.09E-03
Annex_I,OECD_Europe,FRA,France,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.93E-03,2.12E-03,2.33E-03,2.57E-03,2.82E-03,3.16E-03,2.67E-03,4.59E-03,5.11E-03,2.19E-03,2.43E-03,2.24E-03,2.41E-03,2.56E-03,2.39E-03,2.59E-03,2.58E-03,2.62E-03,2.66E-03
Annex_I,OECD_Europe,GBR,United Kingdom,2E,Production of halocarbons and SF6,9.08E-02,9.70E-02,1.00E-01,1.16E-01,1.29E-01,1.14E-01,1.36E-01,1.50E-01,1.63E-01,1.69E-01,1.78E-01,1.82E-01,1.70E-01,1.95E-01,2.03E-01,2.01E-01,2.13E-01,2.20E-01,2.53E-01,2.67E-01,2.22E-01,2.30E-01,2.37E-01,1.79E-01,3.65E-01,3.57E-01,3.07E-01,2.58E-01,2.67E-01,2.26E-01,1.51E-01,1.24E-01,1.27E-01,9.60E-02,1.14E-02,1.34E-02,1.17E-04,1.82E-02,4.20E-03
Annex_I,OECD_Europe,GBR,United Kingdom,2F7,Semiconductor/Electronics Manufacture,,1.20E-05,2.40E-05,5.60E-05,8.40E-05,1.08E-04,1.52E-04,1.64E-04,2.16E-04,2.92E-04,3.56E-04,3.68E-04,3.88E-04,4.92E-04,7.20E-04,6.00E-04,7.44E-04,9.20E-04,1.28E-03,1.37E-03,1.39E-03,1.32E-03,1.27E-03,1.22E-03,1.26E-03,1.12E-03,9.23E-04,1.33E-03,1.87E-03,1.23E-03,1.06E-03,5.77E-04,3.68E-04,4.41E-04,4.18E-04,4.40E-04,2.00E-04,9.90E-05,
Annex_I,OECD_Europe,GRC,Greece,2E,Production of halocarbons and SF6,1.01E-02,1.08E-02,1.11E-02,1.29E-02,1.43E-02,1.27E-02,1.51E-02,1.67E-02,1.81E-02,1.88E-02,1.98E-02,2.02E-02,1.88E-02,2.16E-02,2.25E-02,2.23E-02,2.36E-02,2.44E-02,2.81E-02,2.97E-02,4.33E-02,5.13E-02,4.53E-02,7.44E-02,9.94E-02,1.49E-01,1.74E-01,1.84E-01,2.02E-01,2.33E-01,1.73E-01,1.58E-04,1.45E-01,1.23E-01,1.18E-01,1.00E-01,,,
Annex_I,OECD_Europe,IRL,Ireland,2F7,Semiconductor/Electronics Manufacture,,,,4.00E-06,4.00E-06,4.00E-06,8.00E-06,8.00E-06,8.00E-06,1.20E-05,1.60E-05,1.60E-05,1.60E-05,2.00E-05,2.80E-05,2.40E-05,2.80E-05,3.60E-05,4.80E-05,5.20E-05,5.33E-05,6.93E-05,8.40E-05,1.15E-04,1.47E-04,2.08E-04,3.35E-04,5.01E-04,4.00E-04,1.03E-03,1.36E-03,3.53E-04,2.15E-04,3.01E-04,1.55E-04,2.53E-04,,,
Annex_I,OECD_Europe,IRL,Ireland,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,4.17E-05,5.94E-05,7.50E-05,1.02E-04,1.30E-04,1.82E-04,2.80E-04,4.12E-04,3.41E-04,8.20E-04,1.08E-03,3.37E-04,2.40E-04,3.16E-04,2.15E-04,2.99E-04,,,
Annex_I,OECD_Europe,ITA,Italy,2E,Production of halocarbons and SF6,4.50E-02,4.81E-02,4.97E-02,5.77E-02,6.39E-02,5.67E-02,6.76E-02,7.45E-02,8.08E-02,8.40E-02,8.85E-02,9.04E-02,8.43E-02,9.67E-02,1.01E-01,9.99E-02,1.06E-01,1.09E-01,1.25E-01,1.33E-01,1.68E-01,1.71E-01,1.77E-01,1.96E-01,2.17E-01,1.86E-01,3.04E-01,2.48E-01,2.72E-01,2.96E-01,1.84E-01,1.91E-01,1.53E-01,8.52E-02,3.58E-02,,,,
Annex_I,OECD_Europe,ITA,Italy,2F7,Semiconductor/Electronics Manufacture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01E-03,2.26E-03,5.84E-04,8.45E-04,7.05E-04,9.76E-04,1.01E-03,8.20E-04,1.02E-03,1.07E-03,1.13E-03
Annex_I,OECD_Europe,ITA,Italy,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,4.21E-06,8.42E-06,1.68E-05,3.37E-05,6.74E-05,1.35E-04,2.10E-04,2.94E-04,1.89E-03,2.19E-03,1.04E-03,1.37E-03,1.41E-03,1.77E-03,1.97E-03,2.06E-03,2.33E-03,2.54E-03,2.75E-03
Annex_I,OECD_Europe,LUX,Luxembourg,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.80E-05,2.60E-05,3.40E-05,4.20E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05
Annex_I,OECD_Europe,NLD,Netherlands,2E,Production of halocarbons and SF6,1.60E-01,1.71E-01,1.76E-01,2.05E-01,2.27E-01,2.01E-01,2.40E-01,2.64E-01,2.87E-01,2.98E-01,3.14E-01,3.21E-01,2.99E-01,3.43E-01,3.57E-01,3.54E-01,3.74E-01,3.86E-01,4.45E-01,4.70E-01,2.38E-01,2.58E-01,2.77E-01,3.26E-01,3.50E-01,3.35E-01,3.87E-01,3.68E-01,4.54E-01,3.91E-01,3.95E-01,1.41E-01,4.87E-02,6.71E-02,1.79E-02,1.72E-02,2.02E-02,1.56E-02,1.59E-02
Annex_I,OECD_Europe,NLD,Netherlands,2F7,Semiconductor/Electronics Manufacture,,4.00E-06,8.00E-06,2.00E-05,2.80E-05,3.60E-05,5.20E-05,5.60E-05,7.20E-05,9.60E-05,1.16E-04,1.20E-04,1.28E-04,1.60E-04,2.32E-04,1.92E-04,2.36E-04,2.92E-04,4.04E-04,4.32E-04,4.39E-04,4.30E-04,4.26E-04,4.14E-04,4.16E-04,3.64E-04,3.52E-04,8.51E-04,1.32E-03,9.61E-04,9.46E-04,6.33E-04,4.12E-04,7.59E-04,8.01E-04,9.12E-04,8.12E-04,8.31E-04,8.51E-04
Annex_I,OECD_Europe,NOR,Norway,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,6.84E-07,2.56E-06,8.89E-06,3.79E-05,6.74E-05,6.69E-05,6.05E-05,6.09E-05,6.96E-05,8.66E-05,1.02E-04,1.16E-04,1.24E-04,1.36E-04,1.48E-04
Annex_I,OECD_Europe,PRT,Portugal,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,1.62E-05,3.25E-05,6.49E-05,1.30E-04,2.60E-04,5.19E-04,1.15E-03,3.46E-04,4.04E-04,9.81E-04,1.38E-03,2.31E-04,6.58E-04,6.31E-04,6.05E-04
Annex_I,OECD_Europe,SWE,Sweden,2F7,Semiconductor/Electronics Manufacture,,,,,,,,,,,,,,,,,,,,,,2.13E-05,2.13E-05,2.53E-05,4.13E-05,4.13E-05,6.53E-05,4.93E-05,5.20E-05,2.00E-05,2.00E-05,3.47E-05,4.13E-05,1.73E-05,6.67E-06,,,,
Annex_I,OECD_Europe,SWE,Sweden,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,1.62E-05,1.62E-05,1.92E-05,3.40E-05,3.91E-05,5.85E-05,4.98E-05,6.43E-05,5.23E-05,6.23E-05,8.48E-05,1.14E-04,1.14E-04,7.48E-05,6.90E-05,8.69E-05,8.70E-05,8.71E-05
Annex_I,Central Europe,CZE,Czech Republic,2F7,Semiconductor/Electronics Manufacture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20E-05,,,,,,,,,
Annex_I,Central Europe,CZE,Czech Republic,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70E-05,2.70E-05,3.74E-04,1.22E-04,2.89E-04,3.05E-04,1.73E-04,3.50E-04,1.29E-03,1.01E-03,1.18E-03,1.35E-03
Annex_I,Central Europe,HUN,Hungary,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,2.11E-05,4.22E-05,8.45E-05,1.69E-04,1.00E-03,6.00E-05,2.70E-05,7.09E-06,8.10E-05,1.47E-04,6.60E-05,1.11E-04,1.24E-04,1.38E-04
Annex_I,Central Europe,LVA,Latvia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,8.29E-06,1.97E-06,4.19E-06,1.49E-05,,7.69E-07,7.69E-07,1.71E-06,1.00E-05,,,2.42E-06,2.48E-06,2.54E-06
Annex_I,Central Europe,POL,Poland,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06E-05,2.13E-05,4.25E-05,8.50E-05,1.70E-04,1.70E-04,2.15E-04,2.15E-04,2.10E-04,2.10E-04,2.30E-04,2.39E-04,2.49E-04
Annex_I,Central Europe,ROU,Romania,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,6.25E-06,1.25E-05,2.50E-05,5.00E-05,1.00E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,2.07E-04,2.18E-05,9.12E-05,7.78E-05,6.43E-05
Annex_I,Central Europe,SVK,Slovakia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E-06,6.21E-05,6.50E-05,4.87E-05,5.28E-05,5.79E-05,6.00E-05,4.21E-05,7.90E-05,7.77E-05,7.78E-05,8.47E-05,9.01E-05,9.55E-05
Annex_I,Ukraine +,BLR,Belarus,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,1.10E-05,1.40E-05,2.10E-05,2.80E-05,3.10E-05,3.60E-05,5.00E-05,6.40E-05,7.50E-05,9.00E-05,1.02E-04,1.16E-04,1.29E-04,1.42E-04
Annex_I,Russia +,RUS,Russian Federation,2E,Production of halocarbons and SF6,7.31E-02,8.02E-02,8.50E-02,1.01E-01,1.16E-01,1.06E-01,1.30E-01,1.48E-01,1.65E-01,1.78E-01,1.94E-01,2.04E-01,1.96E-01,2.33E-01,2.51E-01,2.58E-01,2.83E-01,3.03E-01,3.63E-01,4.00E-01,4.30E-01,4.19E-01,5.30E-01,6.40E-01,5.76E-01,6.64E-01,5.78E-01,7.45E-01,8.74E-01,9.55E-01,1.20E+00,1.16E+00,8.47E-01,7.56E-01,1.10E+00,1.22E+00,1.17E+00,1.25E+00,1.25E+00
Annex_I,Russia +,RUS,Russian Federation,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43E-05,6.86E-05,1.37E-04,2.74E-04,5.49E-04,1.10E-03,2.69E-03,4.43E-03,7.52E-03,1.06E-02,1.16E-02,1.36E-02,1.57E-02
Non-Annex_I,Middle_East,ISR,Israel,2F7,Semiconductor/Electronics Manufacture,,4.00E-06,4.00E-06,1.20E-05,2.00E-05,2.80E-05,4.00E-05,4.40E-05,6.00E-05,8.00E-05,9.60E-05,1.00E-04,1.04E-04,1.32E-04,1.92E-04,1.60E-04,1.96E-04,2.44E-04,3.36E-04,3.60E-04,3.67E-04,3.73E-04,3.77E-04,4.43E-04,4.68E-04,5.34E-04,5.43E-04,4.71E-04,4.85E-04,5.46E-04,4.28E-04,7.70E-04,7.99E-04,8.08E-04,7.08E-04,7.06E-04,8.24E-04,8.59E-04,8.94E-04
Non-Annex_I,India +,IND,India,2E,Production of halocarbons and SF6,2.05E-02,2.25E-02,2.39E-02,2.85E-02,3.25E-02,2.97E-02,3.65E-02,4.14E-02,4.64E-02,4.98E-02,5.43E-02,5.73E-02,5.51E-02,6.53E-02,7.05E-02,7.24E-02,7.93E-02,8.50E-02,1.02E-01,1.12E-01,1.45E-01,1.65E-01,1.84E-01,2.37E-01,2.38E-01,2.82E-01,2.51E-01,3.11E-01,5.22E-01,5.23E-01,6.93E-01,7.33E-01,7.20E-01,9.47E-01,1.22E+00,8.41E-01,8.15E-01,1.32E+00,1.16E+00
Non-Annex_I,Korea,KOR,"Korea, Republic of",2E,Production of halocarbons and SF6,2.24E-02,2.45E-02,2.60E-02,3.11E-02,3.54E-02,3.23E-02,3.97E-02,4.52E-02,5.06E-02,5.43E-02,5.92E-02,6.24E-02,6.01E-02,7.12E-02,7.68E-02,7.89E-02,8.65E-02,9.26E-02,1.11E-01,1.22E-01,1.57E-01,1.77E-01,1.97E-01,2.23E-01,2.40E-01,2.76E-01,4.60E-01,5.42E-01,4.95E-01,8.72E-01,7.02E-01,3.56E-01,6.56E-01,4.69E-01,3.75E-01,4.10E-01,2.37E-01,2.08E-01,2.03E-01
Non-Annex_I,Korea,KOR,"Korea, Republic of",2F7,Semiconductor/Electronics Manufacture,,4.80E-05,9.20E-05,2.28E-04,3.44E-04,4.40E-04,6.16E-04,6.60E-04,8.80E-04,1.19E-03,1.45E-03,1.50E-03,1.57E-03,1.99E-03,2.90E-03,2.42E-03,3.00E-03,3.70E-03,5.14E-03,5.52E-03,5.61E-03,5.75E-03,5.94E-03,7.15E-03,7.87E-03,9.59E-03,1.30E-02,1.34E-02,1.52E-02,1.51E-02,1.31E-02,1.69E-02,1.61E-02,1.56E-02,1.31E-02,1.21E-02,1.28E-02,1.23E-02,1.18E-02
Non-Annex_I,Korea,PRK,"Korea, Democratic People's Republic of",2E,Production of halocarbons and SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58E-02
Non-Annex_I,China +,CHN,China,2E,Production of halocarbons and SF6,1.07E-01,1.18E-01,1.25E-01,1.49E-01,1.70E-01,1.55E-01,1.91E-01,2.17E-01,2.43E-01,2.61E-01,2.84E-01,2.99E-01,2.88E-01,3.42E-01,3.68E-01,3.78E-01,4.15E-01,4.44E-01,5.32E-01,5.86E-01,5.10E-01,3.42E-01,3.34E-01,7.62E-01,1.43E+00,7.50E-01,9.78E-01,1.66E+00,1.06E+00,4.41E+00,3.20E+00,4.24E+00,6.00E+00,7.12E+00,9.92E+00,1.24E+01,1.42E+01,1.24E+01,1.30E+01
Non-Annex_I,China +,CHN,China,2F7,Semiconductor/Electronics Manufacture,,4.00E-06,4.00E-06,1.20E-05,2.00E-05,2.40E-05,3.20E-05,3.60E-05,4.80E-05,6.40E-05,7.60E-05,8.00E-05,8.40E-05,1.08E-04,1.60E-04,1.32E-04,1.64E-04,2.04E-04,2.84E-04,3.04E-04,3.08E-04,3.13E-04,3.17E-04,3.72E-04,3.93E-04,4.48E-04,4.56E-04,3.95E-04,4.07E-04,1.37E-03,1.89E-03,4.10E-03,4.99E-03,5.91E-03,5.80E-03,6.23E-03,7.59E-03,8.39E-03,9.18E-03
Non-Annex_I,China +,TWN,Taiwan_Province of China,2F7,Semiconductor/Electronics Manufacture,,4.00E-06,4.00E-06,8.00E-06,1.20E-05,1.60E-05,2.00E-05,2.00E-05,2.40E-05,3.20E-05,4.00E-05,4.00E-05,4.40E-05,5.60E-05,8.00E-05,6.80E-05,8.40E-05,1.04E-04,1.44E-04,1.56E-04,1.58E-04,2.01E-04,2.29E-04,3.29E-04,4.73E-04,8.48E-04,1.46E-03,2.68E-03,2.66E-03,3.85E-03,5.90E-03,5.23E-03,6.20E-03,6.56E-03,6.52E-03,8.48E-03,8.19E-03,8.68E-03,9.17E-03
Non-Annex_I,Southeastern Asia,MYS,Malaysia,2F7,Semiconductor/Electronics Manufacture,,,,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,4.00E-06,5.00E-06,5.09E-06,5.15E-06,6.04E-06,6.39E-06,7.28E-06,7.41E-06,6.42E-06,6.62E-06,3.60E-04,5.87E-04,1.36E-03,1.71E-03,2.06E-03,2.06E-03,2.23E-03,2.74E-03,3.04E-03,3.35E-03
Non-Annex_I,Southeastern Asia,SGP,Singapore,2F7,Semiconductor/Electronics Manufacture,,8.00E-06,1.60E-05,4.40E-05,6.40E-05,8.40E-05,1.16E-04,1.24E-04,1.64E-04,2.24E-04,2.72E-04,2.80E-04,2.96E-04,3.76E-04,5.48E-04,4.56E-04,5.64E-04,6.96E-04,9.68E-04,1.04E-03,1.05E-03,1.07E-03,1.08E-03,1.27E-03,1.35E-03,1.54E-03,1.56E-03,1.35E-03,1.39E-03,2.12E-03,2.22E-03,4.16E-03,4.62E-03,5.15E-03,4.83E-03,5.01E-03,5.98E-03,6.45E-03,6.92E-03
Annex_I,Japan,JPN,Japan,2E,Production of halocarbons and SF6,2.19E-01,2.34E-01,2.42E-01,2.81E-01,3.11E-01,2.76E-01,3.29E-01,3.63E-01,3.93E-01,4.09E-01,4.31E-01,4.40E-01,4.10E-01,4.71E-01,4.91E-01,4.86E-01,5.14E-01,5.30E-01,6.11E-01,6.46E-01,7.70E-01,9.12E-01,9.92E-01,1.73E+00,1.29E+00,2.43E+00,1.69E+00,1.62E+00,1.53E+00,1.44E+00,1.08E+00,9.02E-01,4.13E-01,3.50E-01,4.95E-02,5.26E-02,5.27E-02,4.90E-02,4.83E-02
