"Buildings, industrial energy use, and industrial feedstocks",,,,,,,,,,,,,,,
Transportation is calibrated in the transportation workbook (no need to be redundant),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Buildings sector final energy use,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
,,,,,calibrated-value,,subsector sharewt,,tech sharewt,,,,,,
Former Soviet Union,industrial energy use,biomass,biomass,delivered biomass,0.056603874,0.166945035,1,1,1,1,,,,,6
Former Soviet Union,industrial energy use,coal,coal,delivered coal,4.106589095,2.579994936,1,1,1,1,,,,,6
Former Soviet Union,industrial energy use,electricity,electricity,elect_td_ind,4.004286383,2.470263449,1,1,1,1,,,,,6
Former Soviet Union,industrial energy use,gas,gas,wholesale gas,4.145176478,5.258776165,1,1,1,1,,,,,6
Former Soviet Union,industrial energy use,refined liquids,refined liquids,refined liquids industrial,3.619724846,1.637629641,1,1,1,1,,,,,6
China,industrial energy use,biomass,biomass,delivered biomass,0.000184219,0.066707598,1,1,1,1,,,,,7
China,industrial energy use,coal,coal,delivered coal,10.67947356,19.26711581,1,1,1,1,,,,,7
China,industrial energy use,electricity,electricity,elect_td_ind,1.612994872,5.679752025,1,1,1,1,,,,,7
China,industrial energy use,gas,gas,wholesale gas,0.450991456,1.242488715,1,1,1,1,,,,,7
China,industrial energy use,refined liquids,refined liquids,refined liquids industrial,1.624075729,3.378890614,1,1,1,1,,,,,7
Middle East,industrial energy use,biomass,biomass,delivered biomass,0.01423512,0.018974578,1,1,1,1,,,,,8
Middle East,industrial energy use,coal,coal,delivered coal,0.027791978,0.051476706,1,1,1,1,,,,,8
Middle East,industrial energy use,electricity,electricity,elect_td_ind,0.162516559,0.464451471,1,1,1,1,,,,,8
Middle East,industrial energy use,gas,gas,wholesale gas,0.95554499,2.034391241,1,1,1,1,,,,,8
Middle East,industrial energy use,refined liquids,refined liquids,refined liquids industrial,1.089112284,1.620241358,1,1,1,1,,,,,8
Africa,industrial energy use,biomass,biomass,delivered biomass,0.313809034,3.072667399,1,1,1,1,,,,,9
Africa,industrial energy use,coal,coal,delivered coal,0.78425064,0.716740262,1,1,1,1,,,,,9
Africa,industrial energy use,electricity,electricity,elect_td_ind,0.572254246,0.835869442,1,1,1,1,,,,,9
Africa,industrial energy use,gas,gas,wholesale gas,0.628991338,1.075249789,1,1,1,1,,,,,9
Africa,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.680543406,0.773670398,1,1,1,1,,,,,9
Latin America,industrial energy use,biomass,biomass,delivered biomass,2.067914948,2.451300224,1,1,1,1,,,,,10
Latin America,industrial energy use,coal,coal,delivered coal,0.537328139,0.625740819,1,1,1,1,,,,,10
Latin America,industrial energy use,electricity,electricity,elect_td_ind,0.982467117,1.74501597,1,1,1,1,,,,,10
Latin America,industrial energy use,gas,gas,wholesale gas,1.80452336,2.643248257,1,1,1,1,,,,,10
Latin America,industrial energy use,refined liquids,refined liquids,refined liquids industrial,1.64729646,1.972962511,1,1,1,1,,,,,10
Southeast Asia,industrial energy use,biomass,biomass,delivered biomass,1.230086027,1.508001624,1,1,1,1,,,,,11
Southeast Asia,industrial energy use,coal,coal,delivered coal,0.432324108,1.305410946,1,1,1,1,,,,,11
Southeast Asia,industrial energy use,electricity,electricity,elect_td_ind,0.486221421,1.139299239,1,1,1,1,,,,,11
Southeast Asia,industrial energy use,gas,gas,wholesale gas,0.743663603,1.810296958,1,1,1,1,,,,,11
Southeast Asia,industrial energy use,refined liquids,refined liquids,refined liquids industrial,1.183415767,1.615610758,1,1,1,1,,,,,11
Eastern Europe,industrial energy use,biomass,biomass,delivered biomass,0.053005441,0.122980655,1,1,1,1,,,,,12
Eastern Europe,industrial energy use,coal,coal,delivered coal,1.89475764,0.795879765,1,1,1,1,,,,,12
Eastern Europe,industrial energy use,electricity,electricity,elect_td_ind,0.779773264,0.677479904,1,1,1,1,,,,,12
Eastern Europe,industrial energy use,gas,gas,wholesale gas,1.46631728,0.716126048,1,1,1,1,,,,,12
Eastern Europe,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.894783526,0.474937196,1,1,1,1,,,,,12
Korea,industrial energy use,biomass,biomass,delivered biomass,0.011425777,0.067981204,1,1,1,1,,,,,13
Korea,industrial energy use,coal,coal,delivered coal,0.491876179,0.503114418,1,1,1,1,,,,,13
Korea,industrial energy use,electricity,electricity,elect_td_ind,0.213294131,0.68735988,1,1,1,1,,,,,13
Korea,industrial energy use,gas,gas,wholesale gas,0.004161679,0.223071076,1,1,1,1,,,,,13
Korea,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.501582827,0.375745841,1,1,1,1,,,,,13
India,industrial energy use,biomass,biomass,delivered biomass,0,1.142527478,0,1,0,1,,,,,14
India,industrial energy use,coal,coal,delivered coal,1.52462322,1.812758796,1,1,1,1,,,,,14
India,industrial energy use,electricity,electricity,elect_td_ind,0.557572756,1.096609463,1,1,1,1,,,,,14
India,industrial energy use,gas,gas,wholesale gas,0.043525973,0.305674081,1,1,1,1,,,,,14
India,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.456591474,1.04668744,1,1,1,1,,,,,14
,,,,,,,,,,,,,,,
Industrial energy use - cogen,,,,,,,,,,,,,,,
"These inputs are backed out from elec outputs, using assumed elec efficiencies",,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
,,,,,calibrated-value,,efficiency,,tech sharewt,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1990,2005,1990,2005,,,,,region ID
USA,industrial energy use,biomass,biomass cogen,delivered biomass,1.113966,0.612612,0.551767301,0.55176888,1,1,,,,,1
USA,industrial energy use,coal,coal cogen,delivered coal,0.3595824,0.2866752,0.622804177,0.622809202,1,1,,,,,1
USA,industrial energy use,gas,gas cogen,wholesale gas,1.4269392,1.0955088,0.60303834,0.603039613,1,1,,,,,1
USA,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0.0783504,0.2152512,0.604572024,0.604571061,1,1,,,,,1
Canada,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,2
Canada,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,2
Canada,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,2
Canada,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,2
Western Europe,industrial energy use,biomass,biomass cogen,delivered biomass,0.116334,0.432414,0.551767301,0.55176888,1,1,,,,,3
Western Europe,industrial energy use,coal,coal cogen,delivered coal,0.1538928,0.093816,0.622804177,0.622809202,1,1,,,,,3
Western Europe,industrial energy use,gas,gas cogen,wholesale gas,0.3239424,1.5325056,0.60303834,0.603039613,1,1,,,,,3
Western Europe,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0.3336192,0.41076,0.604572024,0.604571061,1,1,,,,,3
Japan,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,4
Japan,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,4
Japan,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,4
Japan,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,4
Australia_NZ,industrial energy use,biomass,biomass cogen,delivered biomass,0.01674,0.026928,0.551767301,0.55176888,1,1,,,,,5
Australia_NZ,industrial energy use,coal,coal cogen,delivered coal,0.0027648,0.008784,0.622804177,0.622809202,1,1,,,,,5
Australia_NZ,industrial energy use,gas,gas cogen,wholesale gas,0.0010656,0.0810576,0.60303834,0.603039613,1,1,,,,,5
Australia_NZ,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,5
Former Soviet Union,industrial energy use,biomass,biomass cogen,delivered biomass,0,0.04842,0.551767301,0.55176888,0,1,,,,,6
Former Soviet Union,industrial energy use,coal,coal cogen,delivered coal,0.0001728,0.0888336,0.622804177,0.622809202,1,1,,,,,6
Former Soviet Union,industrial energy use,gas,gas cogen,wholesale gas,0.117144,0.4212864,0.60303834,0.603039613,1,1,,,,,6
Former Soviet Union,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0.0006768,0.0482112,0.604572024,0.604571061,1,1,,,,,6
China,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,7
China,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,7
China,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,7
China,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,7
Middle East,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,8
Middle East,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,8
Middle East,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,8
Middle East,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,8
Africa,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,9
Africa,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,9
Africa,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,9
Africa,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,9
Latin America,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,10
Latin America,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,10
Latin America,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,10
Latin America,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,10
Southeast Asia,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,11
Southeast Asia,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,11
Southeast Asia,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,11
Southeast Asia,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,11
Eastern Europe,industrial energy use,biomass,biomass cogen,delivered biomass,0.00459,0.027288,0.551767301,0.55176888,1,1,,,,,12
Eastern Europe,industrial energy use,coal,coal cogen,delivered coal,0.2212848,0.1969344,0.622804177,0.622809202,1,1,,,,,12
Eastern Europe,industrial energy use,gas,gas cogen,wholesale gas,0.0518256,0.0822384,0.60303834,0.603039613,1,1,,,,,12
Eastern Europe,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0.0567216,0.0498672,0.604572024,0.604571061,1,1,,,,,12
Korea,industrial energy use,biomass,biomass cogen,delivered biomass,0,0.002142,0.551767301,0.55176888,0,1,,,,,13
Korea,industrial energy use,coal,coal cogen,delivered coal,0.0848304,0.1948032,0.622804177,0.622809202,1,1,,,,,13
Korea,industrial energy use,gas,gas cogen,wholesale gas,0,0.0618048,0.60303834,0.603039613,0,1,,,,,13
Korea,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0.0712944,0.604572024,0.604571061,0,1,,,,,13
India,industrial energy use,biomass,biomass cogen,delivered biomass,0,0,0.551767301,0.55176888,0,0,,,,,14
India,industrial energy use,coal,coal cogen,delivered coal,0,0,0.622804177,0.622809202,0,0,,,,,14
India,industrial energy use,gas,gas cogen,wholesale gas,0,0,0.60303834,0.603039613,0,0,,,,,14
India,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,0,0,0.604572024,0.604571061,0,0,,,,,14
,,,,,,,,,,,,,,,
Secondary output from cogen,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
105,,,,,,,,not read,,,,,,,
,,,,,output-ratio,,,output / fuel input,,,,,,,
region,supplysector,subsector,technology,secondary-output,1990,2005,,1990,2005,,,,,,region ID
USA,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,1
USA,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,1
USA,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,1
USA,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,1
Canada,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,2
Canada,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,2
Canada,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,2
Canada,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,2
Western Europe,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,3
Western Europe,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,3
Western Europe,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,3
Western Europe,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,3
Japan,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,4
Japan,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,4
Japan,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,4
Japan,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,4
Australia_NZ,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,5
Australia_NZ,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,5
Australia_NZ,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,5
Australia_NZ,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,5
Former Soviet Union,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,6
Former Soviet Union,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,6
Former Soviet Union,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,6
Former Soviet Union,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,6
China,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,7
China,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,7
China,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,7
China,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,7
Middle East,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,8
Middle East,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,8
Middle East,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,8
Middle East,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,8
Africa,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,9
Africa,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,9
Africa,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,9
Africa,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,9
Latin America,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,10
Latin America,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,10
Latin America,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,10
Latin America,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,10
Southeast Asia,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,11
