"Base year electricity technology inputs, outputs, IO coefficients, and shareweights",,,,,,,,,,,,,,,,
Calibrate inputs to fossil/bio electric technologies,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,not read,,,
,,,,,calibrated-value,,efficiency,,subsector sharewt,,tech sharewt,,output,,,
China,electricity,coal,Coal (existing),regional coal,5.758997828,22.2914736,0.286290436,0.321013017,1,1,1,1,1.648746,7.1558532,7,7regional coal
China,electricity,gas,Gas (existing),wholesale gas,0.038648351,0.381815226,0.358618148,0.361513084,1,1,1,1,0.01386,0.1380312,7,7wholesale gas
China,electricity,oil,Oil (existing),refined liquids electricity,0.556475962,0.698634569,0.33334917,0.334377385,1,1,1,1,0.1855008,0.2336076,7,7refined liquids electricity
Middle East,electricity,biomass,Biomass (existing),regional biomass,0,0,1,1,0,0,0,0,0,0,8,8regional biomass
Middle East,electricity,coal,Coal (existing),regional coal,0.099846806,0.319591004,0.377426193,0.39901874,1,1,1,1,0.0376848,0.1275228,8,8regional coal
Middle East,electricity,gas,Gas (existing),wholesale gas,1.32063395,4.08483886,0.283489304,0.302369626,1,1,1,1,0.3743856,1.2351312,8,8wholesale gas
Middle East,electricity,oil,Oil (existing),refined liquids electricity,1.195293719,2.458589443,0.342105705,0.351798794,1,1,1,1,0.4089168,0.8649288,8,8refined liquids electricity
Africa,electricity,biomass,Biomass (existing),regional biomass,0.000083736,0.023450267,0.128976784,0.097943449,1,1,1,1,0.0000108,0.0022968,9,9regional biomass
Africa,electricity,coal,Coal (existing),regional coal,1.638625597,2.46279299,0.361536644,0.3667938,1,1,1,1,0.5924232,0.9033372,9,9regional coal
Africa,electricity,gas,Gas (existing),wholesale gas,0.466229488,1.451362594,0.331376724,0.369926028,1,1,1,1,0.1544976,0.5368968,9,9wholesale gas
Africa,electricity,oil,Oil (existing),refined liquids electricity,0.466761211,0.70902202,0.332834855,0.298303288,1,1,1,1,0.1553544,0.2115036,9,9refined liquids electricity
Latin America,electricity,biomass,Biomass (existing),regional biomass,0.08309542,0.259929104,0.284723275,0.302994927,1,1,1,1,0.0236592,0.0787572,10,10regional biomass
Latin America,electricity,coal,Coal (existing),regional coal,0.258614449,0.621258318,0.310646216,0.34564173,1,1,1,1,0.0803376,0.2147328,10,10regional coal
Latin America,electricity,gas,Gas (existing),wholesale gas,0.718530242,1.90532057,0.298960277,0.39567074,1,1,1,1,0.214812,0.7538796,10,10wholesale gas
Latin America,electricity,oil,Oil (existing),refined liquids electricity,1.273126331,1.692283626,0.341802058,0.34843521,1,1,1,1,0.4351572,0.5896512,10,10refined liquids electricity
Southeast Asia,electricity,biomass,Biomass (existing),regional biomass,0,0.078799763,1,0.284437404,0,1,0,1,0,0.0224136,11,11regional biomass
Southeast Asia,electricity,coal,Coal (existing),regional coal,0.783588928,2.778774973,0.36339564,0.329616471,1,1,1,1,0.2847528,0.91593,11,11regional coal
Southeast Asia,electricity,gas,Gas (existing),wholesale gas,0.504429851,2.83280144,0.328676821,0.423158638,1,1,1,1,0.1657944,1.1987244,11,11wholesale gas
Southeast Asia,electricity,oil,Oil (existing),refined liquids electricity,1.053273276,1.075082317,0.346850156,0.395366934,1,1,1,1,0.365328,0.425052,11,11refined liquids electricity
Eastern Europe,electricity,biomass,Biomass (existing),regional biomass,0.001155557,0.035813887,0.143307538,0.273916091,1,1,1,1,0.0001656,0.00981,12,12regional biomass
Eastern Europe,electricity,coal,Coal (existing),regional coal,3.264368411,3.122628484,0.294979205,0.319428201,1,1,1,1,0.9629208,0.9974556,12,12regional coal
Eastern Europe,electricity,gas,Gas (existing),wholesale gas,0.603116914,0.402263557,0.19581875,0.288992622,1,1,1,1,0.1181016,0.1162512,12,12wholesale gas
Eastern Europe,electricity,oil,Oil (existing),refined liquids electricity,0.408740537,0.078402017,0.18585678,0.261544292,1,1,1,1,0.0759672,0.0205056,12,12refined liquids electricity
Korea,electricity,biomass,Biomass (existing),regional biomass,0,0.000427054,1,0.379343483,0,1,0,1,0,0.000162,13,13regional biomass
Korea,electricity,coal,Coal (existing),regional coal,0.163435925,1.227733045,0.259257566,0.393130414,1,1,1,1,0.042372,0.4826592,13,13regional coal
Korea,electricity,gas,Gas (existing),wholesale gas,0.085272556,0.436712548,0.405457533,0.487869655,1,1,1,1,0.0345744,0.2130588,13,13wholesale gas
Korea,electricity,oil,Oil (existing),refined liquids electricity,0.178960579,0.193400852,0.379330467,0.391661149,1,1,1,1,0.0678852,0.0757476,13,13refined liquids electricity
India,electricity,biomass,Biomass (existing),regional biomass,0,0.045791032,1,0.149924554,0,1,0,1,0,0.0068652,14,14regional biomass
India,electricity,coal,Coal (existing),regional coal,2.430374598,6.511131328,0.283812545,0.265366787,1,1,1,1,0.6897708,1.727838,14,14regional coal
India,electricity,gas,Gas (existing),wholesale gas,0.144930269,0.536684958,0.247352056,0.419072673,1,1,1,1,0.0358488,0.22491,14,14wholesale gas
India,electricity,oil,Oil (existing),refined liquids electricity,0.150435911,0.343769774,0.240453226,0.326960682,1,1,1,1,0.0361728,0.1123992,14,14refined liquids electricity
,,,,,,,,,,,,,,,,
Fix output for hydro and nuclear,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
,,,,fixedOutput,,,,,,,,,,,,
region,supplysector,subsector,technology,1990,2005,,,,,,,,,,region ID,
USA,electricity,hydro,hydro,0.9833472,0.98181,,,,,,,,,,1,
Canada,electricity,hydro,hydro,1.0683468,1.3087656,,,,,,,,,,2,
Western Europe,electricity,hydro,hydro,1.5816528,1.7218944,,,,,,,,,,3,
Japan,electricity,hydro,hydro,0.321498,0.2815596,,,,,,,,,,4,
Australia_NZ,electricity,hydro,hydro,0.1349568,0.1409616,,,,,,,,,,5,
Former Soviet Union,electricity,hydro,hydro,0.8373888,0.8816112,,,,,,,,,,6,
China,electricity,hydro,hydro,0.5316804,1.5539292,,,,,,,,,,7,
Middle East,electricity,hydro,hydro,0.04293,0.076302,,,,,,,,,,8,
Africa,electricity,hydro,hydro,0.2027592,0.3267648,,,,,,,,,,9,
Latin America,electricity,hydro,hydro,1.3955832,2.3288436,,,,,,,,,,10,
Southeast Asia,electricity,hydro,hydro,0.207252,0.3074832,,,,,,,,,,11,
Eastern Europe,electricity,hydro,hydro,0.1459728,0.2451996,,,,,,,,,,12,
Korea,electricity,hydro,hydro,0.0228996,0.0132228,,,,,,,,,,13,
India,electricity,hydro,hydro,0.2579616,0.3599964,,,,,,,,,,14,
USA,electricity,nuclear,Gen_II_LWR,2.2013028,2.9186136,,,,,,,,,,1,
Canada,electricity,nuclear,Gen_II_LWR,0.2626812,0.331344,,,,,,,,,,2,
Western Europe,electricity,nuclear,Gen_II_LWR,2.6777772,3.3275592,,,,,,,,,,3,
Japan,electricity,nuclear,Gen_II_LWR,0.7281792,1.097118,,,,,,,,,,4,
Australia_NZ,electricity,nuclear,Gen_II_LWR,0,0,,,,,,,,,,5,
Former Soviet Union,electricity,nuclear,Gen_II_LWR,0.7614612,0.904518,,,,,,,,,,6,
China,electricity,nuclear,Gen_II_LWR,0,0.1911168,,,,,,,,,,7,
Middle East,electricity,nuclear,Gen_II_LWR,0,0,,,,,,,,,,8,
Africa,electricity,nuclear,Gen_II_LWR,0.0304164,0.0406548,,,,,,,,,,9,
Latin America,electricity,nuclear,Gen_II_LWR,0.044838,0.0991188,,,,,,,,,,10,
Southeast Asia,electricity,nuclear,Gen_II_LWR,0.1193724,0.1528416,,,,,,,,,,11,
Eastern Europe,electricity,nuclear,Gen_II_LWR,0.2075004,0.3109716,,,,,,,,,,12,
Korea,electricity,nuclear,Gen_II_LWR,0.1903932,0.5284044,,,,,,,,,,13,
India,electricity,nuclear,Gen_II_LWR,0.0221076,0.0623268,,,,,,,,,,14,
,,,,,,,,,,,,,,,,
Calibrate output from intermittent renewables,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
24,,,,CalDataOutput,,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,,
region,supplysector,subsector,intermittent-technology,1990,2005,1990,2005,1990,2005,,,,,,region ID,
USA,electricity,solar,PV,0.0023976,0.0022032,1,1,1,1,,,,,,1,
Canada,electricity,solar,PV,0,0.0000612,0,1,0,1,,,,,,2,
Western Europe,electricity,solar,PV,0.0000468,0.005436,1,1,1,1,,,,,,3,
Japan,electricity,solar,PV,0.0000036,0.0000072,1,1,1,1,,,,,,4,
Australia_NZ,electricity,solar,PV,0,0.0000396,0,1,0,1,,,,,,5,
Former Soviet Union,electricity,solar,PV,0,0,0,0,0,0,,,,,,6,
China,electricity,solar,PV,0,0,0,0,0,0,,,,,,7,
Middle East,electricity,solar,PV,0,0,0,0,0,0,,,,,,8,
Africa,electricity,solar,PV,0,0.0019332,0,1,0,1,,,,,,9,
Latin America,electricity,solar,PV,0,0.000126,0,1,0,1,,,,,,10,
Southeast Asia,electricity,solar,PV,0,0,0,0,0,0,,,,,,11,
Eastern Europe,electricity,solar,PV,0,0,0,0,0,0,,,,,,12,
Korea,electricity,solar,PV,0.0000036,0.000054,1,1,1,1,,,,,,13,
India,electricity,solar,PV,0,0.0000144,0,1,0,1,,,,,,14,
USA,electricity,wind,wind,0.0110376,0.0643716,1,1,1,1,,,,,,1,
Canada,electricity,wind,wind,0,0.0052956,0,1,0,1,,,,,,2,
Western Europe,electricity,wind,wind,0.0028008,0.2548476,1,1,1,1,,,,,,3,
Japan,electricity,wind,wind,0,0.0063144,0,1,0,1,,,,,,4,
Australia_NZ,electricity,wind,wind,0,0.0053892,0,1,0,1,,,,,,5,
Former Soviet Union,electricity,wind,wind,0,0.0005364,0,1,0,1,,,,,,6,
China,electricity,wind,wind,0,0,0,0,0,0,,,,,,7,
Middle East,electricity,wind,wind,0.0000036,0.0000504,1,1,1,1,,,,,,8,
Africa,electricity,wind,wind,0,0.0029952,0,1,0,1,,,,,,9,
Latin America,electricity,wind,wind,0,0.0013932,0,1,0,1,,,,,,10,
Southeast Asia,electricity,wind,wind,0,0.0000072,0,1,0,1,,,,,,11,
Eastern Europe,electricity,wind,wind,0,0.000666,0,1,0,1,,,,,,12,
Korea,electricity,wind,wind,0,0.000468,0,1,0,1,,,,,,13,
India,electricity,wind,wind,0.0001152,0.0221976,1,1,1,1,,,,,,14,
,,,,,,,,,,,,,,,,
Calibrate output from non-intermittent renewables,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
23,,,,CalDataOutput,,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,,
region,supplysector,subsector,technology,1990,2005,1990,2005,1990,2005,,,,,,region ID,
USA,electricity,geothermal,geothermal,0.0576432,0.0604008,1,1,1,1,,,,,,1,
Canada,electricity,geothermal,geothermal,0,0,0,0,0,0,,,,,,2,
Western Europe,electricity,geothermal,geothermal,0.0129816,0.0257364,1,1,1,1,,,,,,3,
Japan,electricity,geothermal,geothermal,0.0062676,0.0116136,1,1,1,1,,,,,,4,
Australia_NZ,electricity,geothermal,geothermal,0.0079776,0.01017,1,1,1,1,,,,,,5,
Former Soviet Union,electricity,geothermal,geothermal,0.0001008,0.001476,1,1,1,1,,,,,,6,
China,electricity,geothermal,geothermal,0,0,0,0,0,0,,,,,,7,
Middle East,electricity,geothermal,geothermal,0,0,0,0,0,0,,,,,,8,
Africa,electricity,geothermal,geothermal,0.0011736,0.0031932,1,1,1,1,,,,,,9,
Latin America,electricity,geothermal,geothermal,0.0213444,0.0351684,1,1,1,1,,,,,,10,
Southeast Asia,electricity,geothermal,geothermal,0.0236268,0.0594288,1,1,1,1,,,,,,11,
Eastern Europe,electricity,geothermal,geothermal,0,0,0,0,0,0,,,,,,12,
Korea,electricity,geothermal,geothermal,0,0,0,0,0,0,,,,,,13,
India,electricity,geothermal,geothermal,0,0,0,0,0,0,,,,,,14,
