Outputs and IO coefficients for all refining technologies (inputs will be calculated by the model),,,,,,,,,,,,,,,,,,,,
"Changes tech attributes of the existing (2005) vintage only. This file is read in AFTER the ref liquids input file, so it over-writes whatever was set in that file.",,,,,,,,,,,,,,,,,,,,
"The output of refineries needs to be disaggregated to the different refining ""sectors""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Assume that all biomass liquids are produced for enduse consumption. Tabulate biomass liquids outputs,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
23,,,,CalDataOutput,,,,,,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,,,,,,
Biomass liquids coefficients by technology,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,,,,,,,,,region ID,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,1,,,,,
Canada,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,2,,,,,
Western Europe,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,3,,,,,
Japan,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,6,,,,,
China,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,7,,,,,
Middle East,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,8,,,,,
Africa,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,9,,,,,
Latin America,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,12,,,,,
Korea,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,13,,,,,
India,refined liquids enduse,biomass liquids,biomass liquids-ethanol,regional biomass,2.057471264,2.057471264,,,,,,,,,14,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,1,,,,,
Canada,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,2,,,,,
Western Europe,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,3,,,,,
Japan,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,6,,,,,
China,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,7,,,,,
Middle East,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,8,,,,,
Africa,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,9,,,,,
Latin America,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,12,,,,,
Korea,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,13,,,,,
India,refined liquids enduse,biomass liquids,biomass liquids-FT,regional biomass,1.960784314,1.960784314,,,,,,,,,14,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),regional corn for ethanol,1,1,,,,,,,,,1,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),elect_td_ind,1,0.025670868,,,,,,,,,1,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),wholesale gas,1,0.318361955,,,,,,,,,1,,,,,
Latin America,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),regional sugar for ethanol,1,1,,,,,,,,,10,,,,,
Western Europe,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),regional sugarbeet for ethanol,1,1,,,,,,,,,3,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),regional biomassOil,1,1.030927835,,,,,,,,,1,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),wholesale gas,1,0.057672982,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,
"The output of crude oil refining and coal-to-liquids needs to be disaggregated between ""enduse"" and ""industrial""",,,,,,,,,,,,,,,,,,,,
"First, calculate the total outputs of these two technologies, minus what is consumed by ref liq electricity",,,,,,,,,,,,,,,,,,,,
,,,,total,,,,,,,,,,,,,,,,
region,,,,1990,2005,,,,,,,,,,Region ID,,,,,
USA,,,crude oil refining,31.62593583,38.8268927,,,,,,,,,,1,,,,,
Canada,,,crude oil refining,3.140866184,4.062133843,,,,,,,,,,2,,,,,
Western Europe,,,crude oil refining,25.24091511,28.52586582,,,,,,,,,,3,,,,,
Japan,,,crude oil refining,10.40297127,10.2319363,,,,,,,,,,4,,,,,
Australia_NZ,,,crude oil refining,1.540353028,2.038506865,,,,,,,,,,5,,,,,
Former Soviet Union,,,crude oil refining,16.65304724,7.113783506,,,,,,,,,,6,,,,,
China,,,crude oil refining,4.645920301,13.51488154,,,,,,,,,,7,,,,,
Middle East,,,crude oil refining,6.432674882,11.38076073,,,,,,,,,,8,,,,,
Africa,,,crude oil refining,3.647167535,5.423011315,,,,,,,,,,9,,,,,
Latin America,,,crude oil refining,9.30787186,12.88001613,,,,,,,,,,10,,,,,
Southeast Asia,,,crude oil refining,6.240651487,11.38345703,,,,,,,,,,11,,,,,
Eastern Europe,,,crude oil refining,3.185325814,2.940632474,,,,,,,,,,12,,,,,
Korea,,,crude oil refining,2.079830581,4.207863791,,,,,,,,,,13,,,,,
India,,,crude oil refining,2.410688264,4.794103714,,,,,,,,,,14,,,,,
USA,,,coal to liquids,0,0,,,,,,,,,,1,,,,,
Canada,,,coal to liquids,0,0,,,,,,,,,,2,,,,,
Western Europe,,,coal to liquids,0,0,,,,,,,,,,3,,,,,
Japan,,,coal to liquids,0,0,,,,,,,,,,4,,,,,
Australia_NZ,,,coal to liquids,0,0,,,,,,,,,,5,,,,,
Former Soviet Union,,,coal to liquids,0.004195174,0.014335603,,,,,,,,,,6,,,,,
China,,,coal to liquids,0,0,,,,,,,,,,7,,,,,
Middle East,,,coal to liquids,0,0,,,,,,,,,,8,,,,,
Africa,,,coal to liquids,0.197168972,0.301223513,,,,,,,,,,9,,,,,
Latin America,,,coal to liquids,0,0,,,,,,,,,,10,,,,,
Southeast Asia,,,coal to liquids,0,0,,,,,,,,,,11,,,,,
Eastern Europe,,,coal to liquids,0,0,,,,,,,,,,12,,,,,
Korea,,,coal to liquids,0,0,,,,,,,,,,13,,,,,
India,,,coal to liquids,0,0,,,,,,,,,,14,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Calculate the total consumption of refined liquids enduse, net biomass liquids",,,,,,,,,,,,,,,,,,,,
,,total minus biomass liquids,,biomass liquids,,total,,buildings,,transportation,,,,,share,,diff (should be 0),,,
region,fuel name,1990,2005,1990,2005,1990,2005,1990,2005,1990,2005,,,,1990,2005,1990,2005,Region ID,
USA,refined liquids,23.5799613,29.19643627,0,0.337916628,23.5799613,29.5343529,2.018410225,1.924470994,21.56155108,27.60988191,,,,74.6%,75.2%,0.00%,0.00%,1,
Canada,refined liquids,2.124855428,2.662046989,0,0.007125934,2.124855428,2.669172923,0.37085837,0.465015316,1.753997058,2.204157607,,,,67.7%,65.5%,0.00%,0.00%,2,
Western Europe,refined liquids,17.00166323,20.37298539,0,0.128501266,17.00166323,20.50148665,3.977625369,3.455030936,13.02403786,17.04645572,,,,67.4%,71.4%,0.00%,0.00%,3,
Japan,refined liquids,4.882775951,5.693989385,0,0,4.882775951,5.693989385,1.510170386,1.623050701,3.372605564,4.070938684,,,,46.9%,55.6%,0.00%,0.00%,4,
Australia_NZ,refined liquids,1.15512556,1.562798462,0,0.000456361,1.15512556,1.563254824,0.033833531,0.046707941,1.121292029,1.516546883,,,,75.0%,76.7%,0.00%,0.00%,5,
Former Soviet Union,refined liquids,7.628759906,4.101129698,0,0.000242834,7.628759906,4.101372533,2.20436276,0.902544289,5.424397146,3.198828244,,,,45.8%,57.5%,0.00%,0.00%,6,
China,refined liquids,1.64061014,6.775146749,0,0,1.64061014,6.775146749,0.318033515,1.767202225,1.322576626,5.007944524,,,,35.3%,50.1%,0.00%,0.00%,7,
Middle East,refined liquids,3.670215869,6.175735153,0,0,3.670215869,6.175735153,0.80020215,1.164951979,2.870013719,5.010783174,,,,57.1%,54.3%,0.00%,0.00%,8,
Africa,refined liquids,2.456763998,3.93004449,0,0,2.456763998,3.93004449,0.606478914,0.938931768,1.850285084,2.991112722,,,,63.9%,68.7%,0.00%,0.00%,9,
Latin America,refined liquids,5.588025664,8.131979772,0.252577084,0.294805148,5.840602747,8.42678492,1.092704558,1.178065037,4.747898189,7.248719884,,,,60.0%,63.2%,0.01%,0.02%,10,
Southeast Asia,refined liquids,3.511393798,7.2852539,0,0,3.511393798,7.2852539,0.655761737,0.931140133,2.855632061,6.354113767,,,,56.3%,64.0%,0.00%,0.00%,11,
Eastern Europe,refined liquids,1.35242851,1.871415864,0,0.002738167,1.35242851,1.874154031,0.246150346,0.224366425,1.106278164,1.649787606,,,,42.5%,63.6%,0.00%,0.00%,12,
Korea,refined liquids,1.106550306,2.168127148,0,0.000443801,1.106550306,2.168570949,0.418998197,0.441930442,0.687552109,1.726640507,,,,53.2%,51.5%,0.00%,0.00%,13,
India,refined liquids,1.536978467,2.37591689,0,0.004312404,1.536978467,2.380229294,0.459735761,0.895058291,1.077242706,1.485171004,,,,63.8%,49.6%,0.00%,0.00%,14,
,,,,,,,,,,,,,,,,,,,,
Calculate the total consumption of refined liquids industrial,,,,,,,,,,,,,,,,,,,,
,,total,,industrial energy - no cogen,,industrial energy - cogen,,industrial feedstocks,,district heat,,electric sector consumption,,,share,,diff (should be 0),,,
region,fuel name,1990,2005,1990,2005,1990,2005,1990,2005,1990,2005,1990,2005,,1990,2005,1990,2005,Region ID,
USA,refined liquids,8.045974526,9.630456426,2.575959383,2.158706268,0.0783504,0.2152512,4.250447734,6.045940166,0,0,1.14121701,1.210558792,,25.4%,24.8%,0.00%,0.00%,1,refined liquids industrial
Canada,refined liquids,1.016010756,1.400086854,0.390414913,0.394203967,0,0,0.466614673,0.830903954,0,0,0.15898117,0.174978932,,32.3%,34.5%,0.00%,0.00%,2,refined liquids industrial
Western Europe,refined liquids,8.239251878,8.152842756,2.958576786,2.835705814,0.3336192,0.41076,3.264079522,3.881502731,0,0,1.68297637,1.024874212,,32.6%,28.6%,0.00%,0.00%,3,refined liquids industrial
Japan,refined liquids,5.520195317,4.537946916,2.018188325,1.743404454,0,0,1.460527499,1.697157061,0,0,2.041479493,1.097385401,,53.1%,44.4%,0.00%,0.00%,4,refined liquids industrial
Australia_NZ,refined liquids,0.385227468,0.475708403,0.192601174,0.312109193,0,0,0.156008542,0.145859738,0,0,0.036617753,0.017739472,,25.0%,23.3%,0.00%,0.00%,5,refined liquids industrial
Former Soviet Union,refined liquids,9.028482509,3.026989411,3.504298633,1.441067054,0.0006768,0.0482112,0.846290444,0.681887369,1.229483128,0.413718642,3.447733504,0.442105146,,54.2%,42.5%,0.00%,0.00%,6,refined liquids industrial
China,refined liquids,3.005310161,6.739734794,1.50451402,3.298549446,0,0,0.794034994,2.63056644,0.150285186,0.11198434,0.556475962,0.698634569,,64.7%,49.9%,0.00%,0.00%,7,refined liquids industrial
Middle East,refined liquids,2.762459014,5.205025573,1.089112284,1.620241358,0,0,0.478053011,1.126194772,0,0,1.195293719,2.458589443,,42.9%,45.7%,0.00%,0.00%,8,refined liquids industrial
Africa,refined liquids,1.387572509,1.794190338,0.680543406,0.773670398,0,0,0.240267892,0.31149792,0,0,0.466761211,0.70902202,,36.1%,31.3%,0.00%,0.00%,9,refined liquids industrial
Latin America,refined liquids,3.71859853,4.745072099,1.64729646,1.972962511,0,0,0.798175739,1.079825962,0,0,1.273126331,1.692283626,,40.0%,36.8%,0.01%,0.02%,10,refined liquids industrial
Southeast Asia,refined liquids,2.72925769,4.098203125,1.183415767,1.615610758,0,0,0.492568646,1.40751005,0,0,1.053273276,1.075082317,,43.7%,36.0%,0.00%,0.00%,11,refined liquids industrial
Eastern Europe,refined liquids,1.832897304,1.06921661,0.827518,0.465741407,0.0567216,0.0498672,0.403795926,0.447146053,0.136121242,0.028059934,0.408740537,0.078402017,,57.5%,36.4%,0.00%,0.00%,12,refined liquids industrial
Korea,refined liquids,0.973280275,2.039736642,0.501582827,0.375745841,0,0.0712944,0.292736869,1.399295549,0,0,0.178960579,0.193400852,,46.8%,48.5%,0.00%,0.00%,13,refined liquids industrial
India,refined liquids,0.873709798,2.418186823,0.456591474,1.04668744,0,0,0.266682413,1.027729609,0,0,0.150435911,0.343769774,,36.2%,50.4%,0.00%,0.00%,14,refined liquids industrial
,,,,,,,,,,,,,,,,,,,,
Refined liquids enduse - output,,,,,,,,,,,,,,,,,,,,
The output of the refineries should be equal to the sum of the demands,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
23,,,,CalDataOutput,,,,,,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,,,,,,
region,supplysector,subsector,technology,1990,2005,1990,2005,1990,2005,,,,,,Region ID,,,,,
USA,refined liquids enduse,oil refining,oil refining,23.5799613,29.19643627,1,1,1,1,,,,,,1,,,,,
Canada,refined liquids enduse,oil refining,oil refining,2.124855428,2.662046989,1,1,1,1,,,,,,2,,,,,
Western Europe,refined liquids enduse,oil refining,oil refining,17.00166323,20.3730123,1,1,1,1,,,,,,3,,,,,
Japan,refined liquids enduse,oil refining,oil refining,4.882775951,5.693989385,1,1,1,1,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,oil refining,oil refining,1.15512556,1.562798462,1,1,1,1,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,oil refining,oil refining,7.626838582,4.092881777,1,1,1,1,,,,,,6,,,,,
China,refined liquids enduse,oil refining,oil refining,1.64061014,6.775146749,1,1,1,1,,,,,,7,,,,,
Middle East,refined liquids enduse,oil refining,oil refining,3.670215869,6.175735153,1,1,1,1,,,,,,8,,,,,
Africa,refined liquids enduse,oil refining,oil refining,2.330761076,3.723235747,1,1,1,1,,,,,,9,,,,,
Latin America,refined liquids enduse,oil refining,oil refining,5.588774807,8.133851727,1,1,1,1,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,oil refining,oil refining,3.511393798,7.2852539,1,1,1,1,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,oil refining,oil refining,1.35242851,1.871415864,1,1,1,1,,,,,,12,,,,,
Korea,refined liquids enduse,oil refining,oil refining,1.106550306,2.168127148,1,1,1,1,,,,,,13,,,,,
India,refined liquids enduse,oil refining,oil refining,1.536978467,2.37591689,1,1,1,1,,,,,,14,,,,,
USA,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,1,,,,,
Canada,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,2,,,,,
Western Europe,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,3,,,,,
Japan,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,coal to liquids,coal to liquids,0.001921325,0.008247922,1,1,1,1,,,,,,6,,,,,
China,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,7,,,,,
Middle East,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,8,,,,,
Africa,refined liquids enduse,coal to liquids,coal to liquids,0.126002922,0.206808743,1,1,1,1,,,,,,9,,,,,
Latin America,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,12,,,,,
Korea,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,13,,,,,
India,refined liquids enduse,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,14,,,,,
,,,,,,,,,,,,,,,,,,,,
Refined liquids enduse - coefficients,,,,,,,,,,,,,,,,,,,,
"If a value is zero, set it to a small number (can't delete a minicam-energy-input in only one period)",,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,,,,,,,,,Region ID,,,,,
USA,refined liquids enduse,oil refining,oil refining,regional oil,1.069550056,1.039401448,,,,,,,,,1,,,,,
Canada,refined liquids enduse,oil refining,oil refining,regional oil,1.063911072,1.042152122,,,,,,,,,2,,,,,
Western Europe,refined liquids enduse,oil refining,oil refining,regional oil,1.044874101,1.048239132,,,,,,,,,3,,,,,
Japan,refined liquids enduse,oil refining,oil refining,regional oil,1.037419301,1.04665414,,,,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,oil refining,oil refining,regional oil,1.024805182,1.024907114,,,,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,oil refining,oil refining,regional oil,1.126439845,1.10452958,,,,,,,,,6,,,,,
China,refined liquids enduse,oil refining,oil refining,regional oil,1.066642996,1.056625921,,,,,,,,,7,,,,,
Middle East,refined liquids enduse,oil refining,oil refining,regional oil,1.049610197,1.079199543,,,,,,,,,8,,,,,
Africa,refined liquids enduse,oil refining,oil refining,regional oil,1.119371699,1.137242292,,,,,,,,,9,,,,,
Latin America,refined liquids enduse,oil refining,oil refining,regional oil,1.117132155,1.117489652,,,,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,oil refining,oil refining,regional oil,1.057421603,1.113850421,,,,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,oil refining,oil refining,regional oil,1.060273238,1.046780986,,,,,,,,,12,,,,,
Korea,refined liquids enduse,oil refining,oil refining,regional oil,1.021449033,1.044223512,,,,,,,,,13,,,,,
India,refined liquids enduse,oil refining,oil refining,regional oil,1.054478857,1.099936946,,,,,,,,,14,,,,,
USA,refined liquids enduse,oil refining,oil refining,wholesale gas,0.020816352,0.017181595,,,,,,,,,1,,,,,
Canada,refined liquids enduse,oil refining,oil refining,wholesale gas,0.018518148,0.017241379,,,,,,,,,2,,,,,
