# File: pwt1001_na.csv
# Title: Penn World Table version 10.01 supplemental National Accounts
# Units: million constant 2017 local currency; xr provides local currency to USD exchange rates
# Description: PWT used to provide macro-economic data for GCAM macroeconomic module.
# Source: DOI: 10.1257/aer.20130954 ; https://www.rug.nl/ggdc/productivity/pwt/?lang=en; https://www.rug.nl/ggdc/productivity/pwt/
# Column types: cinnnnnnnnnnnnnnnnnnn
# ----------
countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
ABW,1993,"1,184",638,293,"2,043","1,913","2,169","2,179",938,543,"3,540","3,104","3,712",0,2,2,625,876,0,
ABW,1994,"1,303",734,299,"2,251","1,990","2,495","2,337","1,023",607,"3,819","3,372","4,016",0,2,2,753,955,0,
ABW,1995,"1,342",762,352,"2,358","2,261","2,477","2,359","1,077",590,"3,888","3,381","4,117",0,2,2,723,"1,005",0,
ABW,1996,"1,486",727,372,"2,515","2,423","2,588","2,529","1,009",603,"4,027","3,534","4,168",0,2,2,700,942,0,
ABW,1997,"1,538",859,483,"2,660","2,616","2,873","2,543","1,171",745,"4,236","3,817","4,494",0,2,2,836,"1,093",0,
ABW,1998,"1,688",978,489,"2,790","2,757","3,124","2,738","1,325",707,"4,379","4,147","4,793",0,2,2,920,"1,237",0,
ABW,1999,"1,803",985,503,"2,898","2,887","3,232","2,860","1,323",696,"4,436","4,223","4,849",0,2,2,971,"1,235",0,
ABW,2000,"1,863",885,536,"2,932","2,622","3,514","2,780","1,062",762,"4,101","3,329","5,068",0,2,2,871,991,0,
ABW,2001,"1,926",843,629,"2,848","2,606","3,602","2,855","1,085",820,"4,083","3,619","5,049",0,2,2,829,"1,013",0,
ABW,2002,"2,048",968,652,"2,652","2,667","3,641","2,939","1,225",829,"3,708","3,688","4,940",0,2,2,952,"1,144",0,
ABW,2003,"2,191","1,094",668,"2,684","2,835","3,791","3,032","1,359",858,"3,690","3,854","4,963",0,2,2,"1,059","1,268",0,
ABW,2004,"2,313","1,188",689,"3,051","3,025","4,180","3,122","1,452",850,"4,032","3,960","5,336",0,2,2,"1,159","1,356",0,
ABW,2005,"2,473","1,450",720,"3,362","3,597","4,372","3,229","1,733",870,"4,213","4,488","5,399",0,2,2,"1,446","1,618",0,
ABW,2006,"2,658","1,579",737,"3,336","3,738","4,542","3,349","1,845",844,"4,124","4,552","5,413",0,2,2,"1,579","1,722",0,
ABW,2007,"2,973","1,575",760,"3,616","3,964","4,899","3,556","1,779",851,"4,282","4,695","5,565",0,2,2,"1,575","1,661",0,
ABW,2008,"3,055","1,691",809,"3,884","4,237","5,143","3,353","1,814",849,"4,353","4,615","5,435",0,2,2,"1,691","1,694",0,
ABW,2009,"2,859","1,402",850,"3,331","3,762","4,681","3,205","1,513",895,"3,739","4,264","4,970",0,2,2,"1,402","1,413",0,
ABW,2010,"2,910","1,281",871,"3,049","3,660","4,478","3,196","1,350",874,"3,370","3,879","4,808",0,2,2,"1,281","1,260",0,
ABW,2011,"3,156","1,346",889,"3,613","4,217","4,776","3,321","1,370",846,"3,842","4,219","4,825",0,2,2,"1,346","1,279",0,
ABW,2012,"3,187","1,251",955,"3,456","4,124","4,748","3,334","1,254",903,"3,617","4,044","4,759",0,2,2,"1,251","1,171",0,
ABW,2013,"3,235","1,148",960,"3,700","4,206","4,836","3,467","1,152",920,"3,828","4,058","4,959",0,2,2,"1,072","1,076",0,
ABW,2014,"3,266","1,152",901,"3,839","4,208","4,950","3,484","1,119",845,"3,951","3,998","4,972",0,2,2,"1,077","1,045",0,
ABW,2015,"3,242","1,127",891,"3,842","3,875","5,226","3,332","1,062",883,"3,951","3,878","5,257",0,2,2,"1,051",991,0,
ABW,2016,"3,257","1,136",891,"3,785","3,761","5,309","3,330","1,121",883,"3,898","3,874","5,365",0,2,2,"1,061","1,047",0,
ABW,2017,"3,326","1,138",913,"4,012","3,919","5,471","3,326","1,138",913,"4,012","3,919","5,471",0,2,2,"1,063","1,063",0,
ABW,2018,"3,520","1,219",966,"4,169","4,140","5,734","3,326","1,141",905,"4,243","4,051","5,520",0,2,2,"1,138","1,066",0,
ABW,2019,"3,607","1,247",989,"4,270","4,218","5,895","3,309","1,140",895,"4,184","3,956","5,482",0,2,2,"1,164","1,064",0,
AFG,1970,70,4,5,7,9,78,"179,842","103,107","22,025","12,343","11,512","679,116",11,0,0,4,"104,002",,
AFG,1971,75,4,5,9,12,82,"171,966","109,981","22,604","15,943","16,796","677,243",11,0,0,4,"110,936",,
AFG,1972,67,5,5,10,13,74,"166,359","100,687","23,641","19,312","17,585","590,488",12,0,0,5,"97,069",,
AFG,1973,68,5,5,10,12,77,"179,234","97,589","24,807","24,035","18,397","578,564",12,0,0,5,"97,069",,
AFG,1974,80,8,6,13,14,93,"193,504","119,275","25,519","32,548","25,453","606,898",12,0,0,8,"124,803",,
AFG,1975,89,10,6,14,15,104,"198,125","140,651","33,356","36,127","30,075","643,584",13,0,0,10,"144,217",,
AFG,1976,94,15,7,15,17,113,"199,448","200,289","36,918","45,603","36,365","679,782",13,0,0,15,"214,938",,
AFG,1977,108,16,8,15,19,129,"212,491","206,330","39,574","49,453","43,940","660,733",13,0,0,16,"202,458",,
AFG,1978,121,20,9,16,20,145,"220,360","228,481","42,489","52,130","48,178","690,636",13,0,0,20,"234,352",,
AFG,1979,132,21,10,19,23,159,"217,392","223,693","42,324","55,666","49,655","687,325",13,0,0,21,"219,115",,
AFG,1980,135,21,10,19,23,161,"210,737","212,520","41,028","53,302","48,131","663,555",13,0,0,21,"209,181",4,
AFG,1981,142,23,10,19,24,170,"212,055","217,134","41,285","53,037","48,065","668,928",13,0,0,23,"217,919",4,
AFG,1982,145,23,10,20,25,174,"216,397","220,787","42,130","54,761","49,304","682,712",13,0,0,23,"220,095",4,
AFG,1983,144,23,10,20,25,172,"225,830","229,785","43,967","56,906","51,403","711,964",13,0,0,23,"230,980",3,
AFG,1984,142,23,10,20,24,170,"231,358","236,120","45,043","58,238","52,605","729,710",12,0,0,23,"235,972",3,
AFG,1985,141,22,10,19,24,169,"232,781","237,313","45,320","58,721","52,984","734,160",12,0,0,22,"236,071",3,
AFG,1986,140,22,10,19,24,168,"238,365","242,939","46,408","60,067","54,237","751,689",12,0,0,22,"243,237",3,
AFG,1987,126,20,9,17,22,151,"220,741","225,096","42,976","55,624","50,220","696,171",12,0,0,20,"218,371",3,
AFG,1988,115,18,8,16,20,137,"201,421","205,343","39,214","50,774","45,834","635,226",12,0,0,18,"200,214",3,
AFG,1989,135,22,10,19,23,161,"186,624","190,256","36,335","47,034","42,463","588,554",12,0,0,22,"186,109",3,
AFG,1990,150,24,11,21,26,180,"179,067","182,569","34,863","45,131","40,743","564,730",12,0,0,24,"180,307",3,
AFG,1991,148,23,11,23,33,172,"167,926","164,788","32,691","47,251","48,759","513,044",13,0,0,23,"159,225",4,
AFG,1992,157,23,11,27,44,174,"172,509","160,996","33,590","54,901","63,708","505,696",14,0,0,23,"160,400",4,
AFG,1993,134,19,10,26,44,144,"144,719","129,128","28,176","50,606","63,188","408,948",16,0,0,19,"119,309",4,
AFG,1994,711,94,51,151,278,729,"115,710","98,543","22,518","44,065","58,237","314,862",17,0,0,94,"91,935",5,
AFG,1995,"2,319",294,168,526,"1,009","2,297","157,180","127,370","30,630","64,849","89,795","410,995",18,1,1,294,"136,622",5,
AFG,1996,"6,973",846,504,"1,683","3,331","6,675","168,136","130,819","32,723","73,519","104,943","425,649",19,3,3,846,"128,265",5,
AFG,1997,"9,446","1,103",682,"2,393","4,850","8,774","164,912","122,938","32,050","76,213","111,724","403,639",19,3,3,"1,103","120,575",5,
AFG,1998,"9,779","1,097",710,"2,600","5,381","8,806","162,332","116,122","31,749","78,845","118,143","384,756",20,3,3,"1,097","114,055",5,
AFG,1999,"116,098","12,395","8,337","32,507","68,769","100,568","159,606","109,558","30,953","80,966","123,565","366,362",20,47,47,"12,395","107,523",5,
AFG,2000,"187,439","19,355","13,470","54,244","116,237","158,271","155,763","102,736","30,145","82,204","127,421","346,749",21,47,47,"19,355","100,664",5,
AFG,2001,"204,000","22,724","15,099","58,012","128,908","170,927","148,360","105,175","29,558","77,131","123,995","327,208",22,48,48,"22,724","105,744",6,
AFG,2002,"220,769","22,988","15,472","59,611","123,099","195,741","207,579","136,956","39,020","102,125","151,802","486,123",23,47,47,"22,988","144,936",6,
AFG,2003,"284,376","26,228","21,365","95,034","185,255","230,601","263,267","154,964","53,235","160,378","226,132","562,964",24,49,49,"26,228","158,026",6,
AFG,2004,"312,604","40,614","27,760","96,954","197,458","257,814","266,318","181,576","65,495","153,208","236,050","579,067",25,48,48,"40,614","188,433",7,
AFG,2005,"356,932","60,292","35,474","101,500","211,479","307,885","297,817","196,015","71,040","157,241","247,865","622,546",26,49,49,"60,292","198,476",7,
AFG,2006,"389,523","77,223","45,312","116,461","223,397","354,705","314,254","193,302","92,576","162,266","251,116","675,856",26,50,50,"77,223","192,223",7,
AFG,2007,"508,525","82,438","61,720","119,937","235,921","470,251","340,973","195,298","118,738","163,064","251,452","828,889",27,50,50,"82,438","196,508",7,
AFG,2008,"570,824","81,304","68,960","132,239","209,931","514,400","351,930","189,730","129,995","198,256","251,945","819,730",28,50,50,"81,304","188,201",7,
AFG,2009,"583,318","86,504","89,649","138,995","202,071","583,525","359,555","248,587","161,072","259,620","292,428","908,821",28,50,50,"86,504","265,773",8,
AFG,2010,"655,588","98,350","133,534","124,773","237,071","682,800","476,683","238,740","181,849","294,021","344,278","956,532",29,46,46,"98,350","231,689",8,
AFG,2011,"737,072","105,487","155,153","97,985","268,830","811,093","543,522","213,369","219,989","335,672","383,865","1,021,217",30,47,47,"105,487","208,686",8,
AFG,2012,"816,116","125,055","187,724","104,653","356,736","974,457","770,115","218,237","246,028","296,152","485,933","1,120,308",31,51,51,"125,055","221,284",9,
AFG,2013,"863,705","139,102","212,590","135,975","389,098","1,086,606","962,758","209,524","258,193","211,070","534,700","1,194,817",32,55,55,"139,102","206,651",9,
AFG,2014,"873,031","145,850","237,340","158,692","363,664","1,119,229","960,889","166,416","264,934","266,992","454,449","1,231,538",33,57,57,"145,850","155,576",9,
AFG,2015,"915,786","156,783","253,694","185,698","379,660","1,144,181","985,172","159,784","277,868","242,358","440,569","1,214,064",34,61,61,"156,783","161,243",10,
AFG,2016,"974,266","153,835","281,337","211,303","396,596","1,224,144","977,116","160,181","292,204","208,610","402,735","1,234,103",35,68,68,"153,835","160,181",10,
AFG,2017,"912,820","188,478","272,353","298,663","405,447","1,266,867","912,820","188,478","272,353","298,663","405,447","1,266,867",36,68,68,"188,478","188,478",11,
AFG,2018,"1,154,110","200,573","252,990","220,876","531,990","1,296,559","1,160,579","196,972","246,197","224,951","543,028","1,286,893",37,72,72,"200,573","196,972",11,
AFG,2019,"1,345,235","171,113","335,480","177,019","639,161","1,389,686","1,312,844","162,020","310,188","177,190","624,344","1,338,722",38,78,78,"171,113","162,020",12,
AGO,1970,0,0,0,0,0,0,"2,859,814","2,033,267","1,200,798","701,708","1,747,928","4,774,977",6,0,0,0,"1,733,296",4,
AGO,1971,0,0,0,0,0,0,"3,032,408","2,153,408","1,270,089","745,261","1,852,981","5,061,475",6,0,0,0,"1,835,712",4,
AGO,1972,0,0,0,0,0,0,"3,037,477","2,165,367","1,274,685","746,895","1,862,108","5,071,598",6,0,0,0,"1,845,907",4,
AGO,1973,0,0,0,0,0,0,"3,284,852","2,343,288","1,382,472","806,635","2,018,520","5,482,398",6,0,0,0,"1,997,579",4,
AGO,1974,0,0,0,0,0,0,"3,373,137","2,414,174","1,437,979","831,587","2,084,343","5,652,352",7,0,0,0,"2,058,007",4,
AGO,1975,0,0,0,0,0,0,"3,225,168","2,266,813","1,334,630","784,036","1,933,656","5,369,734",7,0,0,0,"1,932,386",4,
AGO,1976,0,0,0,0,0,0,"3,054,853","2,156,428","1,263,510","756,829","1,864,499","5,090,508",7,0,0,0,"1,838,287",4,
AGO,1977,0,0,0,0,0,0,"3,068,158","2,229,543","1,300,074","756,405","1,911,428","5,131,232",8,0,0,0,"1,900,615",5,
AGO,1978,0,0,0,0,0,0,"2,917,437","2,088,149","1,245,451","711,590","1,813,832","4,859,277",8,0,0,0,"1,780,081",5,
AGO,1979,0,0,0,0,0,0,"2,850,157","2,074,096","1,294,466","716,821","1,811,275","4,873,855",8,0,0,0,"1,768,102",5,
AGO,1980,0,0,0,0,0,0,"3,093,727","1,983,001","1,094,298","700,962","1,581,255","4,990,827",8,0,0,0,"1,690,446",5,
AGO,1981,0,0,0,0,0,0,"3,142,650","2,013,086","1,151,504","756,690","1,854,886","4,771,231",9,0,0,0,"1,716,092",5,
AGO,1982,0,0,0,0,0,0,"3,151,412","2,283,845","1,303,887","659,076","1,885,701","4,771,231",9,0,0,0,"1,946,906",5,
AGO,1983,0,0,0,0,0,0,"3,393,658","1,975,480","1,319,174","689,174","1,835,606","4,971,622",9,0,0,0,"1,684,035",5,
AGO,1984,0,0,0,0,0,0,"3,416,742","2,088,297","1,610,132","775,290","1,875,261","5,269,920",10,0,0,0,"1,780,207",6,
AGO,1985,0,0,0,0,0,0,"4,151,244","1,654,822","1,466,116","729,555","1,699,262","5,454,367",10,0,0,0,"1,410,683",6,
AGO,1986,0,0,0,0,0,0,"3,761,991","1,405,362","1,565,885","838,160","1,405,395","5,627,607",10,0,0,0,"1,212,836",6,
AGO,1987,0,0,0,0,0,0,"3,649,075","1,612,817","1,632,740","1,067,901","1,582,768","6,021,560",11,0,0,0,"1,344,220",6,
AGO,1988,0,0,0,0,0,0,"3,640,032","1,216,083","1,725,479","1,351,562","1,605,881","6,357,135",11,0,0,0,"1,097,841",6,
AGO,1989,0,0,0,0,0,0,"3,971,965","1,129,703","1,626,268","1,327,925","1,587,517","6,381,767",11,0,0,0,"908,206",6,
AGO,1990,0,0,0,0,0,0,"3,861,007","1,216,992","1,637,046","1,380,144","1,709,304","6,353,391",12,0,0,0,"979,407",7,
AGO,1991,0,0,0,0,0,0,"2,375,774","2,736,340","1,911,463","1,303,477","1,697,584","6,416,376",12,0,0,0,"2,202,143",7,
AGO,1992,0,0,0,0,0,0,"1,952,715","4,421,949","1,865,122","1,747,939","2,618,854","6,041,770",13,0,0,0,"3,558,683",7,
AGO,1993,0,0,0,0,0,0,"1,512,854","3,448,778","975,210","1,387,199","2,063,283","4,592,747",13,0,0,0,"2,775,496",7,
AGO,1994,0,0,0,1,1,1,"1,717,876","3,397,505","1,218,295","2,028,898","2,877,588","4,654,260",14,0,0,0,"2,734,233",7,
AGO,1995,10,5,4,14,14,18,"1,999,952","4,243,483","1,535,173","2,269,728","3,410,805","5,352,400",14,0,0,5,"3,415,057",8,
AGO,1996,211,388,370,924,775,"1,117","1,888,354","6,328,306","665,037","2,958,136","3,630,119","6,077,348",14,0,0,388,"5,092,875",8,
AGO,1997,"1,260",596,502,"1,604","1,620","2,342","2,673,343","4,900,641","1,999,368","2,583,932","3,818,522","6,519,432",15,0,0,596,"3,943,922",8,
AGO,1998,957,"1,192","1,788","1,902","2,453","3,385","3,852,555","6,773,176","1,050,468","2,119,858","3,999,138","6,825,268",15,0,0,"1,192","5,450,895",8,
AGO,1999,"13,728","6,328","4,372","19,780","21,247","22,960","3,196,850","5,483,563","2,292,226","3,361,247","5,282,062","6,974,160",16,3,3,"6,328","4,413,045",9,
AGO,2000,"48,451","14,353","41,833","82,709","64,777","122,568","2,462,533","3,080,666","1,680,431","3,596,198","3,687,936","7,187,195",16,10,10,"14,353","2,479,249",9,
AGO,2001,"135,971","35,317","91,113","198,698","197,539","263,561","4,391,190","2,828,975","1,409,545","3,119,702","4,537,636","7,412,873",17,22,22,"35,317","2,276,694",9,
AGO,2002,"276,187","202,897","127,292","379,835","320,827","665,385","4,230,472","3,038,602","1,636,200","3,552,717","4,313,023","8,489,963",18,44,44,"201,789","2,445,397",10,
AGO,2003,"570,822","404,677","290,430","721,898","658,887","1,328,940","4,578,362","3,462,980","1,701,138","3,504,986","4,731,155","8,743,800",18,75,75,"394,360","2,755,960",10,
AGO,2004,"818,775","607,855","281,600","1,148,680","889,334","1,967,570","4,759,700","4,056,555","1,736,920","3,963,676","5,068,625","9,701,517",19,84,84,"602,229","3,259,477",10,
AGO,2005,"1,029,630","887,970","516,512","2,111,490","1,323,250","3,222,350","4,999,204","4,551,292","1,880,506","4,872,469","5,674,392","11,159,577",19,87,87,"895,564","3,655,504",11,
AGO,2006,"1,222,807","980,907","645,850","2,671,846","1,311,648","4,209,762","5,319,664","4,744,267","2,065,172","5,568,737","6,034,711","12,459,439",20,80,80,"923,944","3,806,841",11,
AGO,2007,"1,551,012","1,288,159","777,831","3,399,591","2,010,258","5,006,335","5,637,779","5,319,746","2,240,711","6,490,920","6,493,350","14,204,922",21,77,77,"1,259,386","4,262,519",11,
AGO,2008,"1,913,019","2,046,422","1,117,054","4,814,772","3,247,914","6,643,353","6,098,386","6,726,026","2,517,215","7,180,256","7,673,191","15,790,824",22,75,75,"1,941,186","5,339,648",12,
AGO,2009,"2,354,312","2,388,265","1,109,812","3,277,095","3,552,144","5,577,341","6,727,614","6,972,617","2,284,733","6,989,942","7,636,787","15,926,397",23,79,79,"2,386,683","5,832,229",12,
AGO,2010,"2,757,018","2,171,659","1,312,542","4,739,836","3,279,403","7,701,651","6,990,962","6,341,328","2,400,344","6,823,656","6,740,363","16,700,294",23,92,92,"2,174,677","5,314,337",12,
AGO,2011,"3,568,472","2,774,806","1,914,937","6,370,916","4,128,189","10,500,942","7,707,426","7,011,046","3,054,069","6,474,005","7,478,435","17,280,124",24,94,94,"2,771,451","5,860,301",13,
AGO,2012,"4,328,809","3,260,098","2,181,253","6,838,653","4,383,863","12,224,950","8,466,121","7,513,472","3,073,074","6,810,644","7,471,745","18,756,219",25,95,95,"3,261,719","6,290,942",13,
AGO,2013,"4,955,099","3,449,566","2,853,017","6,696,080","4,758,758","13,195,004","9,165,986","7,637,176","3,730,175","6,730,694","7,798,906","19,685,513",26,97,97,"3,451,615","6,394,998",14,
AGO,2014,"6,369,354","3,939,127","2,574,808","6,402,053","4,961,483","14,323,859","10,327,660","7,900,787","3,202,774","6,778,121","7,396,602","20,634,871",27,98,98,"3,936,026","6,606,555",14,
AGO,2015,"7,357,941","4,771,347","2,292,428","4,150,853","4,622,278","13,950,291","10,633,234","7,750,133","2,921,532","5,782,461","5,628,050","20,829,577",28,120,120,"3,935,322","6,451,334",15,
AGO,2016,"9,272,026","4,503,916","2,297,193","4,654,480","4,178,049","16,549,565","11,259,959","6,235,991","2,613,926","4,718,744","4,235,736","20,292,215",29,164,164,"4,338,173","5,954,070",15,
AGO,2017,"11,586,487","4,889,354","2,621,094","5,876,897","4,711,535","20,262,296","11,586,487","4,889,354","2,621,094","5,876,897","4,711,535","20,262,296",30,166,166,"4,709,427","4,709,427",16,
AGO,2018,"14,444,171","4,579,529","2,684,389","10,465,419","6,545,767","25,627,742","11,191,038","4,618,395","2,576,314","5,429,428","3,958,842","19,856,322",31,253,253,"4,406,613","4,437,393",16,
AGO,2019,"17,799,499","5,354,625","3,905,146","13,141,342","9,167,669","31,010,417","11,018,904","4,476,062","2,529,056","5,474,040","3,958,121","19,557,960",32,365,365,"5,152,442","4,300,630",17,
AIA,1970,3,4,1,4,4,8,41,48,13,47,53,104,0,2,2,4,48,,
AIA,1971,4,4,1,4,5,9,40,46,13,46,52,101,0,2,2,4,46,,
AIA,1972,4,5,1,5,5,10,45,52,14,51,57,113,0,2,2,5,52,,
AIA,1973,5,6,2,5,6,12,47,54,15,54,60,118,0,2,2,6,54,,
AIA,1974,5,6,2,6,7,14,47,54,15,53,60,118,0,2,2,6,54,0,
AIA,1975,6,7,2,7,8,16,48,56,16,55,62,122,0,2,2,7,56,0,
AIA,1976,7,8,2,8,9,18,49,56,16,56,63,124,0,3,3,8,56,0,
AIA,1977,8,10,3,10,11,21,49,57,16,56,63,124,0,3,3,10,57,0,
AIA,1978,10,11,3,11,13,25,52,61,17,61,68,133,0,3,3,11,61,0,
AIA,1979,11,13,4,13,14,28,58,66,19,65,73,146,0,3,3,13,66,0,
AIA,1980,13,15,4,15,17,33,61,68,20,69,77,153,0,3,3,15,68,0,
AIA,1981,15,17,5,17,19,38,62,73,20,73,81,158,0,3,3,17,73,0,
AIA,1982,17,21,5,20,22,44,60,75,20,71,80,157,0,3,3,21,75,0,
AIA,1983,20,23,6,24,27,50,63,72,19,74,83,157,0,3,3,23,72,0,
AIA,1984,25,25,8,23,27,58,69,71,23,63,75,164,0,3,3,25,71,0,
AIA,1985,30,30,9,36,38,73,76,75,23,91,95,185,0,3,3,30,75,0,
AIA,1986,31,49,11,47,50,95,68,108,24,103,109,208,0,3,3,49,108,0,
AIA,1987,42,67,14,52,63,118,82,130,28,101,123,231,0,3,3,67,130,0,
AIA,1988,72,56,17,83,92,148,131,101,31,149,165,266,0,3,3,56,101,0,
AIA,1989,78,75,21,113,118,184,122,118,33,177,185,289,0,3,3,75,118,0,
AIA,1990,95,79,23,111,117,204,168,140,41,198,208,363,0,3,3,79,140,0,
AIA,1991,99,69,27,117,121,210,140,97,38,166,171,297,0,3,3,69,97,0,
AIA,1992,136,76,30,123,151,228,227,127,50,207,252,382,0,3,3,76,127,0,
AIA,1993,147,64,33,147,162,249,243,105,54,243,268,410,0,3,3,64,105,0,
AIA,1994,145,69,38,170,172,277,232,111,61,272,275,443,0,3,3,69,111,0,
AIA,1995,195,77,42,153,202,280,301,119,65,237,312,433,0,3,3,77,119,0,
AIA,1996,214,82,44,159,217,296,320,122,66,239,326,444,0,3,3,82,122,0,
AIA,1997,220,79,52,183,225,331,327,117,77,271,333,491,0,3,3,79,117,0,
AIA,1998,241,118,42,224,273,374,349,171,61,324,396,542,0,3,3,118,171,0,
AIA,1999,309,163,50,194,322,398,436,231,71,274,455,562,0,3,3,163,231,0,
AIA,2000,329,166,59,187,335,406,462,233,83,263,471,570,0,3,3,166,233,0,
AIA,2001,309,132,69,200,291,418,430,184,96,278,405,583,0,3,3,132,184,0,
AIA,2002,339,100,68,189,271,426,447,132,90,249,357,561,0,3,3,100,132,0,
AIA,2003,365,116,72,208,300,461,472,150,93,269,388,596,0,3,3,116,150,,
AIA,2004,450,179,57,227,369,543,560,223,71,282,460,676,0,3,3,179,223,,
AIA,2005,480,217,75,307,460,618,594,268,93,379,569,764,0,3,3,217,268,,
AIA,2006,787,305,86,367,779,765,943,366,103,440,934,917,0,3,3,305,366,,
AIA,2007,837,498,103,387,867,959,910,542,112,421,942,"1,043",0,3,3,498,542,,
AIA,2008,807,550,115,367,880,958,866,590,123,394,945,"1,029",0,3,3,550,590,,
AIA,2009,641,227,122,363,590,763,705,249,135,399,649,839,0,3,3,227,249,,
AIA,2010,579,175,129,344,504,723,641,193,143,381,558,800,0,3,3,175,193,,
AIA,2011,664,122,126,370,497,785,701,128,133,391,525,829,0,3,3,122,128,,
AIA,2012,626,136,124,370,499,756,646,140,128,381,515,781,0,3,3,136,140,,
AIA,2013,603,148,121,397,508,761,615,151,123,405,518,776,0,3,3,148,151,,
AIA,2014,667,207,124,519,677,841,647,201,121,503,657,815,0,3,3,207,201,,
AIA,2015,702,225,150,561,745,892,661,212,141,528,702,841,0,3,3,225,212,,
AIA,2016,721,180,141,562,739,865,683,170,133,533,700,819,0,3,3,180,170,,
AIA,2017,491,166,146,755,790,767,491,166,146,755,790,767,0,3,3,166,166,,
AIA,2018,696,398,137,640,"1,006",865,669,382,132,615,966,832,0,3,3,398,382,,
AIA,2019,"1,050",196,145,742,961,"1,025",898,168,124,634,822,877,0,3,3,196,168,,
ALB,1970,"6,563","4,124","1,029","2,543","2,523","11,328","250,794","101,033","11,523","47,034","27,769","402,773",2,5,5,"3,835","122,899",1,
ALB,1971,"6,751","4,242","1,058","2,616","2,595","11,653","260,866","105,028","11,988","48,918","28,886","418,887",2,5,5,"3,946","127,817",1,
ALB,1972,"6,946","4,362","1,089","2,692","2,670","11,988","271,344","109,207","12,468","50,918","30,028","435,701",2,5,5,"4,058","132,890",1,
ALB,1973,"7,144","4,494","1,119","2,766","2,747","12,333","282,110","113,824","12,958","52,880","31,253","453,207",2,5,5,"4,176","138,346",1,
ALB,1974,"7,350","4,614","1,153","2,848","2,824","12,685","293,571","117,987","13,498","55,034","32,511","471,202",2,5,5,"4,299","143,782",1,
ALB,1975,"7,563","4,743","1,185","2,936","2,908","13,051","305,371","122,765","14,026","57,425","33,734","490,301",2,5,5,"4,411","149,351",1,
ALB,1976,"7,772","4,915","1,217","2,999","2,992","13,429","317,039","128,879","14,550","59,229","35,234","510,059",2,5,5,"4,551","156,093",1,
ALB,1977,"8,007","4,994","1,259","3,110","3,070","13,804","330,825","131,405","15,255","62,037","36,598","529,590",3,5,5,"4,690","161,407",1,
