# File: GCAMFAOSTAT_NFertilizer.csv
# Title: FAO fertilizer production and consumption by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gcamfaostat
# Data source: FAOSTAT (main domain:RFN FAO.udpate:2024-07-17T00:00:00)
# Date of CSV last update: 2024-10-15
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16,Bangladesh,3102,Nutrient nitrogen N (total),5510,Production,t,80169,21251,92230,129700,32680,130983,128058,107674,134851,168125,160508,193428,236579,335316,343096,386182,391327,592734,666108,677340,659300,759100,925200,995760,909840,981640,965739,868247,1010100,1048800,1099800,1116680,1155433,952070,923410,880646,815701,855556,692900,594020,491520,425340,437820,477460,394580,415220,482040,435200,361160,379840,379840,379840,379840
17,Bermuda,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.10583333333334,92.21166666666667,88.3175,84.42333333333333,80.52916666666667,76.635,72.74083333333334,68.84666666666666,64.9525,61.05833333333334,57.164166666666674,53.27,44.21,41.13,22.26,40,77,46,53.9,29.6,29.6
17,Bermuda,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bhutan,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,74,74,74,74,74,100,100,100,100,100,100,100,100,121,118,100,100,100,100,100,100,100,100,100,100,100,100,100,236.6,373.2,509.8,646.4,783,787,818,887,768,800,774,1608,686,845,776.16,758.2,888.72,920.35,853.68,790.31,1508.01,801.61,801.61,801.61,447.83
18,Bhutan,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bolivia (Plurinational State of),3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,589,2800,3667,2769,3800,1600,1300,1900,1523,1614,1448,2717,1300,3126,2533,2700,2800,4706,3058,4645,2326,3551,5503,2555,4314,2810,4029,4872,1332,901,3218,5369,6040,6198,6260,12192,8709,11883,13473,13825,17962,20426,19266.6,24037.58,23819.71,23119.81,19915.76,20426.96,18413.03,14593.93,22573,26653.3,17095.93
19,Bolivia (Plurinational State of),3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87011.76,133065.84,3258.48,72673.1,167717.38
20,Botswana,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,1100,1050,1150,1200,1161,1500,1000,1000,1000,500,600,600,600,500,400,139,216,300,300,300,300,300,300,400,500,2132,3190,3500,3748,4100,4100,4100,5291.375,6482.75,7674.125,8865.5,10056.875,11248.25,12439.625,13631,19939,8460,15152,21983,21156,13124.18,10698.94,5589.49,12644.5,9996.86,13642.16,13084.65,15900.44
20,Botswana,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brazil,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,278595,278281,411642,347591,389183,406234,498272,700480,702243,778653,905460,667840,642300,568049,812880,834100,980900,957900,814952,802500,796600,830800,841300,1085500,1220800,1140100,1250900,1438100,1545500,1660767,1668000,1640000,1977904.69,2279335.63,2607760.06,2200284.46,2345762.85,3094425.28,2821756.15,2430181.22,3091463.31,3822966.67,3456071.73,4067449.33,4529776.68,3502211.88,3632034.56,4556517.85,4593940.12,4911743.83,5910866.03,6700508.1,6775061.93
21,Brazil,3102,Nutrient nitrogen N (total),5510,Production,t,22177,67711,78492,114338,150171,160760,200272,231367,266868,284216,384305,349579,396759,533295,669237,696187,714174,746069,705089,748499,737221,704320,664628,709188,768253,795645,779003,808425,728048,847608,772211,657750,894759.25,841991.98,909389.14,916965.66,919394.59,824270.52,837947.44,724633.53,927493.1,888308.36,797713.89,848885.74,813012.06,831223.85,708327.87,510760.96,541930.88,356784.6,333703.5,704574.04,836234.06
22,Aruba,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.05,78.10499999999999,154.16,1.69,3.28,5.94,2.82,2.99,1.86,1.74,1.13,5.3,5.31
22,Aruba,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Belize,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,1500,395,727,647,600,800,300,252,723,718,829,501,447,716,824,1126,1444,1502,1822,1900,1500,1500,1500,1500,1200,1300,1000,1300,1938,2295,2840,1900,12140,20694,2594,4109,2861,2594,1668,5858,2280,5701,6095.85,13685.78,17786.06,17603.87,16811.64,13578.74,16140.95,16541.86,16635.19,16982.09,6756.2
23,Belize,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Solomon Islands,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,197.28,594.59,991.9,1389.21,188.65,200.15,44.26,19.08
25,Solomon Islands,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Brunei Darussalam,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,3,3,3,3,3,3,3,3,3,3,3,68,183,94,177,73,247,300,300,100,93.76923076923077,87.53846153846153,81.3076923076923,75.07692307692308,68.84615384615384,62.61538461538461,56.38461538461539,50.15384615384615,43.92307692307693,37.692307692307686,31.461538461538467,25.230769230769226,19,78,101,299,82,442,126,172,604,263,293,70,243,243,243,243,243,243,243,243,243
26,Brunei Darussalam,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Bulgaria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,378802,321774,353654,328057,329536,379972,348400,362574,376334,420551,450000,518000,535600,550300,479400,499000,478000,469400,548000,495000,452900,377268,189175,166139,207700,112000,152000,157800,135000,110594,144900,172302,283556,315624,240614,189946,146882,200117,213562,278360,270129,371015,245000,292381,296591,329546,365913,351120,339329,352486,364335,342890,342890
27,Bulgaria,3102,Nutrient nitrogen N (total),5510,Production,t,601552,561993,523275,518604,592863,672462,663047,704979,685343,676710,730400,752864,758067,831304,836103,837776,817929,935626,956270,926046,911147,760387,681479,648900,698400,833000,835186,694900,362900,277500,403600,326776,270353,288200,331300,348700,237540,262130,281953,190288,264177,368944,258000,185988.78,210008.67,319561.8,318761.79,818442,677167,646485,639897,644550,644550
28,Myanmar,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,14916,27214,31795,36471,38142,42470,42931,49901,67942,69700,66800,92900,114700,115000,127400,132453,115041,92029,66800,64100,57800,63074,55000,60000,110600,115247,130893,135463,135000,125000,165000,74000,32292,68839,102012,53794,67020,80495,62235,57701,51300,116065,131001.52,185009.25,236030.75,116874.34,149662.64,256266.76,271304.03,353343.97,472539.59,315298.81,96944.24
28,Myanmar,3102,Nutrient nitrogen N (total),5510,Production,t,15679,32467,36800,36800,43328,47354,55490,53000,57524,61600,59800,60000,51200,60000,86500,115000,140300,136200,98600,88300,70300,69000,44600,50000,68800,65500,73600,56100,51600,65500,77100,27600,20400,30000,40000,46058,52925,50614,48823,32097,16235,76273,95963,77034.82,78269.92,66539.46,36228.22,23023,23023,57678.94,90843.76,90843.76,0
29,Burundi,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,422,457,576,228,601,329,467,442,411,500,900,300,500,1247,639,1617,1100,1000,1000,2000,1000,1000,1799,1366,1000,1000,1000,1000,1391,1822,1500,1500,514,282,429,1098,1488,809,997,1049,1942,2673,3167.75,3938.82,5613.82,4617.71,8086.77,10147.51,13456.65,6888.5,6888.5,6888.5,6888.5
29,Burundi,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cameroon,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,11565,9000,7302,9326,9763,6100,4000,14600,15400,14200,16086,16590,16900,24500,26000,26900,20700,24600,22075,18200,9000,6000,9400,10204,15000,15000,18000,18900,16525,25985,21858,25576,20791,19370,33167,22773,25383,22299,22895,25297,25457,36977,28128.81,37118.28,26009.73,42633.41,39758.69,46470.08,42024.56,42024.56,42024.56,42024.56,45754.65
32,Cameroon,3102,Nutrient nitrogen N (total),5510,Production,t,1400,1400,1400,1400,1400,1400,1400,1400,3175,4950,6725,8500,8095.238095238095,7690.476190476191,7285.714285714286,6880.952380952381,6476.190476190476,6071.428571428572,5666.666666666667,5261.9047619047615,4857.142857142857,4452.380952380952,4047.6190476190477,3642.857142857143,3238.0952380952376,2833.333333333334,2428.5714285714284,2023.8095238095239,1619.0476190476193,1214.2857142857147,809.5238095238092,404.7619047619055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Canada,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,291820,350000,409746,512641,531200,563000,599100,755300,834400,831100,937800,965900,1069800,1254900,1338500,1225000,1144600,1182800,1160166,1197188,1157764,1253287,1317640,1405920,1456136,1576205,1670630,1652700,1625800,1682052,1564348,1541191,1642988,1649912,1539450,1776685,1371962,2068032,1909243,1914550,2051264,2490486,2787716.1,2461000,2543000,2581000,2461000,2471000,2769000,2567000,3046000,2830000,2751000
33,Canada,3102,Nutrient nitrogen N (total),5510,Production,t,726155,805000,771615,802930,895000,774700,1204000,1577700,1673900,1708600,1755000,1825000,1897100,2370900,2542900,2825300,2466500,2762000,3000000,2706001,2842790,2904173,2971740,3850610,3801330,4018940,3864200,3654300,3737100,4141400,3831040,3331790,3087621,2905009,3048059,3109020,2309320,3234810,3192990,3129160,3361936,3443253,3358080,3820380,3707220,3994220,4122960,3735920,3822840,3899100,3885980,3745760,3399720
35,Cabo Verde,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,28,28,28,28,23,50,100,100,100,53,61,53.25,45.5,37.75,30,52,99,99.27272727272727,99.54545454545455,99.81818181818181,100.0909090909091,100.36363636363636,100.63636363636364,100.9090909090909,101.18181818181819,101.45454545454545,101.72727272727273,102,108,180,120,243,234.25,225.5,216.75,208,199.25,190.5,181.75,173,164.25,155.5,146.75,138,129.25,120.5,135.71,161.97,178.65,176.95,264.61,378.62,302.41
35,Cabo Verde,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Central African Republic,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,1167,1400,1000,937,1800,600,1200,1200,1200,100,1400,1200,700,278,1100,2500,622,769,518,690,800,800,900,1000,100,100,100,100,200,200,200,200,0.77,0.07,11.85,245.07,300.82,349.7,176.77,190.06,221.67,402.7,226.51,113.26,0,219.25,210.43,86.18,213.5,208.73,223.7,223.7,18.56
37,Central African Republic,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sri Lanka,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,51000,57000,51200,56800,55300,40100,52300,65400,80900,77200,91600,78500,79400,83009,100313,101727,99261,103908,106000,108531,92406,95824,102196,115061,123800,115924,117568,122494,142226,163798,157473,158448,188317,150656,163234,181556,175249,161607,209393,181732,166096,209380,164271.63,127751.91,227848.88,150059.65,117776.99,109729.92,68829.65,143689.88,239288.66,119230.06,119230.06
38,Sri Lanka,3102,Nutrient nitrogen N (total),5510,Production,t,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,38403,96981,57574,64302,5500,5303.571428571428,5107.142857142857,4910.714285714286,4714.285714285715,4517.857142857143,4321.428571428572,4125,3928.5714285714284,3732.142857142857,3535.714285714286,3339.285714285714,3142.857142857143,2946.4285714285716,2750,2553.5714285714284,2357.1428571428573,2160.714285714286,1964.2857142857142,1767.8571428571427,1571.4285714285716,1375,1178.5714285714284,982.1428571428569,785.7142857142862,589.2857142857138,392.8571428571431,196.42857142857156,0,0,0,0,0,0,0,0,0,0
39,Chad,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,1133,1252,1137,2212,4500,2800,3078,3360,3600,2050,500,1600,1700,2500,3000,3200,2600,2000,2178,2028,2000,3400,4224,2128,2000,3558,7500,3450,10695,11000,11000,11000,4252.2,4059.8,1153.9,5678.4,6405.9,5896.5,6722.01,7061.25,8088.85,2217.5,2217.5,2631.2,4817.5,3026.6,3026.6,3026.6,7080.8,14092.32,14305.84,13345,13345
39,Chad,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Chile,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,38496,45102,52527,59301,52080,36693,48545,37105,49336,56722,50836,47733,48057,64871,86290,104465,135978,142700,152500,156900,164098,157400,174000,195000,195000,215000,225000,220000,215000,235996,235000,226000,194516.44,207631.97,253230.69,214565.4,222842.78,228818.51,250786.74,204426.6,258568.65,255054.75,252978.15,274124.43,264333.17,305802.76,244807.82,247244.3,237390.08,250894.31,247936.31,275023.63,196753.08
40,Chile,3102,Nutrient nitrogen N (total),5510,Production,t,101574,126636,108039,106654,111410,85268,95872,88890,90218,93863,100730,98220,90728,98080,112750,126700,122260,115000,115000,105000,110000,98000,126000,116000,97000,111000,111000,115000,97000,95000,112500,115000,115000,167555,120370,130750,122776,167056,207643,198198,116900,110000,70900,67900,58500,73800,64275.43,81959.27,73100.37,55586.16,44519.4,58183.73,94040.51
