# File: FAO_an_Exp_t_SUA.csv
# Title: FAO animal exports by country, item, year
# Units: tons
# Column types: ciciciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
countries,country.codes,item,item.codes,element,element.codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,3,Hides & Skins,2748,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866,2437,0,878,382,1837,2933,3352,4444,4078,4028,4212,4996,4642,,,,
Albania,3,Honey,2745,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,6,0,1,5,0,0,4,0,5,6,0,0,0,0
Albania,3,"Marine Fish, Other",2764,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,140,220,0,1130,960,1020,1750,470,250,224,0,0,314,226,153,515,385,182,158,200,219,185,241,225,307,307,307,1000,1000,0,0
Albania,3,"Meat, Other",2735,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,85,90,100,150,120,90,10,0,0,0,0,5,0,5,0,0,75,311,206,0,1,14,20,53,140,0,14,45,19,23,34,0,0,0,0
Albania,3,Milk - Excluding Butter,2848,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,2531,209,0,123,27,0,16,0,58,26,0,0,1000,0
Albania,3,"Milk, Skimmed",2739,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1756,0,0,0,0,0,0,0,0,0,,,,
Albania,3,"Milk, Whole",2738,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,189,0,3,0,0,8,0,2,0,,,,
Albania,3,"Molluscs, Other",2767,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683,1623,2358,1502,3263,962,721,217,130,22,285,0,36,1308,498,680,127,50,377,32,30,58,58,58,0,0,0,0
Albania,3,Mutton & Goat Meat,2732,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,22,0,0,0,0,0,0,0,0,0,0,0,0
Albania,3,"Offals, Edible",2736,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,12,25,0,3,105,325,10,0,465,0,0,0,0
Albania,3,Pelagic Fish,2763,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,500,50,70,80,57,879,1206,2166,2767,2214,2579,2694,3688,3928,3835,6403,4010,4010,4010,4000,4000,5000,8000
Albania,3,Pigmeat,2733,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,22,21,2,5,215,37,0,16,0,0,0,0
Albania,3,Poultry Meat,2734,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,5,2,30,16,7,0,3,227,1,5,0,0,0,0,0
Albania,3,Silk,2747,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,25,14,0,0,,,,
Albania,3,Whey,2742,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,41,0,,,,
Albania,3,Wool (Clean Eq.),2746,Export Quantity (tonnes),91,250,240,557,307,417,474,253,309,281,300,300,300,350,350,400,400,400,410,420,430,440,450,460,0,0,300,100,160,70,50,0,40,5,30,350,86,54,0,27,38,30,138,273,376,342,187,146,305,40,,,,
Algeria,4,Bovine Meat,2731,Export Quantity (tonnes),91,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,38,0,34,0,2,6,8,3,23,0,0,0,0,0,0,0
Algeria,4,"Butter, Ghee",2740,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Algeria,4,Cephalopods,2766,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,92,111,235,104,127,57,190,275,413,521,574,455,701,656,854,854,854,1000,1000,1000,1000
Algeria,4,Cheese,2741,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,132,207,62,23,0,0,7,,,,
Algeria,4,Crustaceans,2765,Export Quantity (tonnes),91,100,100,200,200,200,200,600,300,300,400,800,895,800,700,35,28,0,15,0,67,52,18,2,0,0,0,0,3,27,50,218,353,325,563,912,362,489,257,876,1332,1276,1427,1383,1372,1751,1511,1170,1170,1170,1000,1000,0,0
Algeria,4,Demersal Fish,2762,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,68,55,61,65,15,8,2,0,4,26,2,5,5,6,6,6,0,0,0,0
Algeria,4,Eggs,2744,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,27,0,1,3,0,0,0,0,0,0,0
Algeria,4,"Fats, Animals, Raw",2737,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,8,19,0,0,95,0,0,0,0
Algeria,4,Freshwater Fish,2761,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,44,24,25,40,91,60,46,33,55,123,133,88,131,72,168,212,212,212,0,0,0,0
Algeria,4,Hides & Skins,2748,Export Quantity (tonnes),91,0,0,0,0,0,0,0,10726,4493,1697,10091,7776,20,3467,0,15,0,0,717,0,0,0,0,15,537,7,0,0,0,0,50,394,0,333,333,2149,2284,2115,265,872,2632,2259,3571,1309,806,3697,613,1369,526,,,,
Algeria,4,"Meat, Other",2735,Export Quantity (tonnes),91,0,0,0,0,0,0,0,34,36,124,98,257,417,158,45,20,0,8,2,1,0,0,0,0,0,0,0,12,12,12,6,18,145,72,23,44,42,37,45,128,148,62,97,425,266,251,491,317,259,0,0,0,0
Algeria,4,Milk - Excluding Butter,2848,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2453,0,453,0,0,0,0,0,0,0,0,0,0,0,0,5274,3836,0,4302,42,2,0,1420,23455,12130,12836,6991,1577,1015,2935,3000,2000,2000,5000
Algeria,4,"Milk, Skimmed",2739,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5010,10,0,920,40,0,0,0,10,0,0,10,0,0,0,,,,
Algeria,4,"Milk, Whole",2738,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3825,0,0,0,2,0,1373,22387,10751,12128,6627,1577,1015,2888,,,,
Algeria,4,"Molluscs, Other",2767,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,8,15,19,20,1,0,1,7,1,3,5,1,1,0,0,0,0,0,0,0
Algeria,4,Mutton & Goat Meat,2732,Export Quantity (tonnes),91,11,0,0,181,0,0,399,1,124,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,3,3,0,0,0,0,0,0,0
Algeria,4,"Offals, Edible",2736,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Algeria,4,Pelagic Fish,2763,Export Quantity (tonnes),91,10704,5600,3600,1978,1700,1364,2100,2550,2554,3973,2100,1100,3375,1700,1998,2749,3760,677,498,395,423,6,67,87,135,91,132,107,60,142,286,583,228,105,158,186,152,100,99,133,138,901,242,87,149,333,422,422,422,1000,0,0,0
Algeria,4,Pigmeat,2733,Export Quantity (tonnes),91,0,66,481,281,0,0,0,1,0,0,0,15,31,65,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,4,Poultry Meat,2734,Export Quantity (tonnes),91,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,29,0,0,0,0,3,1,0,2,3,0,0,0,0,0,0,0
Algeria,4,Whey,2742,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,,,,
Algeria,4,Wool (Clean Eq.),2746,Export Quantity (tonnes),91,120,0,0,0,0,0,0,5,297,209,123,202,287,457,261,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Angola,7,Bovine Meat,2731,Export Quantity (tonnes),91,2382,1637,1989,2268,2276,2787,2308,2395,2263,2202,2374,2876,1976,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Angola,7,Cephalopods,2766,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,94,401,252,216,1123,241,102,27,819,856,1501,3670,4118,1101,1665,751,149,763,0,0,0,0,0,0
Angola,7,Cheese,2741,Export Quantity (tonnes),91,0,0,0,0,1,0,1,1,1,7,584,437,104,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Angola,7,Crustaceans,2765,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,320,67,277,357,817,0,0,243,616,1613,1764,1497,1542,1843,2799,1007,1033,1587,1837,1405,899,916,1000,1000,1000,1000
Angola,7,Demersal Fish,2762,Export Quantity (tonnes),91,1200,9100,13200,9900,2600,2600,800,3000,0,0,6250,9000,5000,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,70,1032,888,1227,1085,2473,1987,237,76,464,437,264,2,4,0,0,0,0
Angola,7,Eggs,2744,Export Quantity (tonnes),91,0,6,4,6,7,11,8,11,12,0,0,36,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,7,"Fats, Animals, Raw",2737,Export Quantity (tonnes),91,304,100,33,36,14,29,65,151,66,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,7,Fish Meal,2855,Export Quantity (tonnes),91,12900,0,0,0,6900,0,0,6000,17900,7100,5200,18500,11700,300,22300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,0,0,0,,,,
Angola,7,"Fish, Body Oil",2781,Export Quantity (tonnes),91,3000,2700,3100,7400,4700,5300,4600,3900,8400,11700,8300,19400,17700,10600,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,965,690,400,0,0,922,811,851,500,0,40,8,0,1000,1000,1000
Angola,7,Freshwater Fish,2761,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,18,0,8,0,0,0,0,0,0,0,0
Angola,7,Hides & Skins,2748,Export Quantity (tonnes),91,0,0,0,0,0,0,0,1413,1954,2161,42,2245,2095,1098,1100,1100,1250,1500,1625,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,20,38,23,38,97,100,35,35,,,,
Angola,7,Honey,2745,Export Quantity (tonnes),91,17,17,17,22,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,7,"Marine Fish, Other",2764,Export Quantity (tonnes),91,25600,49000,31500,32700,28400,27900,29000,35700,34100,31500,47900,72700,70761,57434,3288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
Angola,7,Milk - Excluding Butter,2848,Export Quantity (tonnes),91,0,0,0,0,8,0,8,8,8,56,4719,3519,868,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,0,0,0,0
Angola,7,"Milk, Skimmed",2739,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,30,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Angola,7,"Milk, Whole",2738,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,15,13,26,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,,,,
Angola,7,Mutton & Goat Meat,2732,Export Quantity (tonnes),91,0,0,0,0,0,0,167,47,7,3,9,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,7,"Offals, Edible",2736,Export Quantity (tonnes),91,0,126,90,107,85,19,14,274,51,28,42,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,7,Pelagic Fish,2763,Export Quantity (tonnes),91,170685,172668,142458,258139,190471,283853,183853,184339,340043,262311,201631,455307,347315,296793,134000,0,0,0,0,0,0,0,0,0,0,0,0,2808,1660,673,466,387,2063,1098,1482,965,2154,3212,3117,2069,7787,11744,7040,12148,16026,18638,15142,5312,5683,32000,7000,7000,7000
Angola,7,Pigmeat,2733,Export Quantity (tonnes),91,150,176,165,149,161,214,204,98,19,14,19,15,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,46,46,46,0,0,0,0
Angola,7,Poultry Meat,2734,Export Quantity (tonnes),91,0,4,7,2,2,3,24,6,5,60,90,40,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,8,Bovine Meat,2731,Export Quantity (tonnes),91,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,89,121,0,57,57,57,33,,,,
Antigua and Barbuda,8,Crustaceans,2765,Export Quantity (tonnes),91,0,0,0,0,0,0,0,100,0,100,100,100,100,90,86,86,92,53,0,33,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,142,95,45,35,34,52,66,56,46,1,41,7,7,7,,,,
Antigua and Barbuda,8,Demersal Fish,2762,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,283,0,366,0,0,74,8,8,8,,,,
Antigua and Barbuda,8,Fish Meal,2855,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,54,0,0,0,,,,
Antigua and Barbuda,8,"Fish, Body Oil",2781,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,
Antigua and Barbuda,8,Freshwater Fish,2761,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,
Antigua and Barbuda,8,"Marine Fish, Other",2764,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,50,500,184,216,200,82,549,300,139,194,204,205,172,36,99,100,119,88,57,55,58,9,125,89,156,124,54,107,34,34,34,,,,
Antigua and Barbuda,8,Milk - Excluding Butter,2848,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,,,,
Antigua and Barbuda,8,Pelagic Fish,2763,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,24,0,0,0,,,,
Antigua and Barbuda,8,Poultry Meat,2734,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,90,352,0,8,0,0,24,30,77,1,0,0,0,0,0,0,,,,
Argentina,9,Aquatic Plants,2775,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,74,239,753,430,236,200,230,121,19,2,1,62,46,90,171,89,117,127,0,0,0,0
Argentina,9,Bovine Meat,2731,Export Quantity (tonnes),91,458316,562933,762706,589289,482976,597012,659797,540369,739785,696978,454084,627684,505972,281273,251479,510066,599332,755179,699187,444216,460946,494397,379679,259030,283259,299550,323719,365118,411539,496968,421250,319079,309058,412195,556305,407797,473737,323554,364152,369253,191588,360591,393568,619438,736939,540040,528133,423249,640483,302000,257000,213000,233000
Argentina,9,"Butter, Ghee",2740,Export Quantity (tonnes),91,14098,11096,13321,11022,6974,5722,5475,1709,3837,76,6002,17104,6435,1688,3675,9109,5687,1506,29,328,76,5412,7329,890,4,25,0,1017,6355,6088,3168,171,1273,1187,6640,5157,5107,4434,9856,8515,4938,7718,686,6902,7124,15937,18963,22433,16719,15000,27000,21000,18000
Argentina,9,Cephalopods,2766,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,1000,1700,957,3221,913,48014,61804,9593,6527,36198,22235,19927,16555,15054,33147,11210,19412,18922,41120,56325,185660,184029,185478,244916,305141,236797,278539,266997,157139,102644,84554,51801,92846,176432,149429,176465,56623,54000,52000,68000,130000
Argentina,9,Cheese,2741,Export Quantity (tonnes),91,3882,3924,5412,4532,5120,7283,5130,3748,6405,1767,5254,6186,6737,5761,7247,22842,17383,16351,4935,4110,2243,7196,6667,4762,5840,8223,5682,9978,14494,20565,9960,3220,5076,13035,13641,11035,21609,19056,23324,24955,17546,25781,23208,34823,52081,58197,45372,36213,48076,,,,
Argentina,9,Cream,2743,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1726,2500,1645,1160,552,696,456,153,25,78,515,1362,798,396,528,1000,1000,0,0
Argentina,9,Crustaceans,2765,Export Quantity (tonnes),91,0,0,0,0,0,0,200,300,0,800,1000,400,600,600,0,302,312,352,432,444,467,7673,19690,21527,10370,6909,1540,13432,12397,10479,9305,20421,19629,15501,7023,8931,5519,22854,19051,32997,61775,52721,48004,28211,8546,39873,45433,43539,52264,65000,80000,81000,94000
Argentina,9,Demersal Fish,2762,Export Quantity (tonnes),91,400,1579,7756,2327,12824,7867,9464,18011,10105,25483,31220,64692,112800,101194,83271,164341,249025,274776,295477,218458,190954,234952,175166,123375,175559,249483,285354,260985,285525,331099,381991,337352,443466,543800,655635,657814,613171,548135,465155,353152,355895,481733,503421,551113,529294,557775,481307,441900,513278,454000,417000,360000,369000
Argentina,9,Eggs,2744,Export Quantity (tonnes),91,12434,8050,6636,217,2839,553,24,17,27,26,0,11,45,10,73,27,4,174,1,2,4,3,1,1,1,218,117,0,88,838,1130,557,365,431,654,917,2912,1946,481,483,669,1236,2289,9381,10886,10671,11488,11609,8838,10000,16000,13000,9000
Argentina,9,"Fats, Animals, Raw",2737,Export Quantity (tonnes),91,35003,21340,56124,37224,42600,92257,129561,88627,223126,171181,43619,55484,69364,22857,4600,50319,60106,116131,120693,98049,130414,48969,47130,35405,33844,35297,43935,32801,24058,31103,32918,22891,45857,46208,75264,25505,57204,95745,90547,150737,86619,129510,141816,239749,261901,299909,225467,182058,209641,206000,180000,188000,181000
Argentina,9,Fish Meal,2855,Export Quantity (tonnes),91,0,400,2600,600,1100,4000,6200,0,0,0,0,100,5300,3800,698,3245,6589,5719,2014,0,1577,2596,2113,906,666,586,375,2078,4806,2213,4716,2721,6520,4766,8119,15297,9174,17969,13935,11130,17150,12142,33075,39023,35911,37945,30131,42525,38736,,,,
Argentina,9,"Fish, Body Oil",2781,Export Quantity (tonnes),91,500,400,500,700,1200,1900,2500,400,1300,900,800,100,600,400,0,0,101,292,190,0,0,0,200,0,0,0,0,74,184,353,375,368,46,209,537,531,575,443,113,96,913,1249,1000,992,685,463,959,1543,1015,1000,1000,0,1000
Argentina,9,"Fish, Liver Oil",2782,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,1,1995,5,0,0,0,0,0,0,0,31,27,5,25,0,0,0,0,0,0,0
