# File: FAO_Paper_Prod_t_FORESTAT.csv
# Title: FAO paper and paperboard production by country and year
# Units: tonnes
# Source: FAOSTAT 
# Date of last update: 2022-06-29
# Column types: cicicicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country.codes,item,item.codes,element,element.codes,unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,21,Paper and paperboard,1876,Production,5510,tonnes,533100,601700,656300,718300,750700,813200,822600,886900,952200,1098600,1237300,1345700,1587900,1853700,1687800,2044900,2235500,2534100,2979000,3361000,3102000,3329000,3426000,3768000,4022000,4525000,4712000,4685000,4806000,4844000,4888000,4913000,5352000,5730000,5856000,5885000,6475000,6524000,6889000,7116000,7354000,7661000,7811000,8221000,8597000,8725000,9009000,9409000,9428000,9978000,10159000,10260000,10444000,10398000,10477000,10335000,10471000,10433000,10534000,10184000
Bulgaria,27,Paper and paperboard,1876,Production,5510,tonnes,84100,90000,103700,115000,125600,169000,187000,222000,225000,232000,252000,255000,261000,304000,343000,497000,513000,363000,382000,395000,427000,435000,442000,445000,454000,458000,456000,477000,438000,322000,258000,153000,138800,147500,149500,149500,149500,109000,126000,136000,171000,171000,171000,326000,326000,313000,367000,326190,216900,248028,290585,304504,336764,345440,351288,362705,383648,372706,363971,363971
Myanmar,28,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,400,400,400,500,2000,6700,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,15000,23000,9000,8000,10000,11000,11000,11000,15000,15000,15000,15000,39000,41000,37400,39200,41600,49400,44900,42900,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,356000,356000
Cameroon,32,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,33,Paper and paperboard,1876,Production,5510,tonnes,7975400,8055100,8218200,8960800,9758000,10563000,10316400,10397500,11354000,11253000,11161000,12038000,12578000,13218000,10067000,11791000,12151000,13286000,13486000,13390000,13835000,12408000,13353000,14222000,14448000,15259000,16044000,16639000,16555000,16466000,16559000,16585000,17557000,18348000,18713000,18564000,19119000,18875000,20280000,20920896,19834000,20073000,19964000,20462000,19498000,18189000,17367000,15789000,12823000,12755000,12057000,10756000,11174000,10775000,10300000,9911000,9958000,10142000,9473000,8667451
Sri Lanka,38,Paper and paperboard,1876,Production,5510,tonnes,4400,5200,5400,6600,6800,9500,9500,8600,8600,9300,9900,15800,21300,22500,19000,18000,20000,24000,20800,17600,20100,19000,22200,22900,22500,24600,24600,28000,16500,15900,23000,26000,29000,31000,28000,24500,24500,24500,24500,23500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500
Chile,40,Paper and paperboard,1876,Production,5510,tonnes,123300,125300,136900,158500,193700,215100,238800,228900,247400,234300,260000,286000,238000,276000,235000,276000,296000,294000,276000,356000,318000,306000,333000,381000,385000,388000,442000,449000,438000,462000,486000,508000,526000,553000,573000,680000,614000,597822,824000,861000,877000,1016000,1098000,1168000,1215000,1231000,1344000,1379000,1348000,1362000,1437000,1347000,1268000,1231300,1244200,1190700,1106100,1201300,1015000,960000
"China, mainland",41,Paper and paperboard,1876,Production,5510,tonnes,2400000,2600000,2850000,2900000,3.00E+06,3125000,2194000,2296000,2397000,2498000,2599000,2700000,3429000,3290000,3343000,3343000,3636000,4139000,4929000,5346000,5402000,5890000,6613000,7560000,9112000,10004000,11411000,12645000,13333000,13989000,14779000,16196000,17871000,21290000,23994000,26380000,27230000,27800000,29098000,30500000,32140000,37800000,4.30E+07,49500000,5.60E+07,6.50E+07,73500000,79800000,86400000,92700000,99300000,102500000,101100000,104700000,107100000,108550000,111300000,104350000,107650000,113100000
Colombia,44,Paper and paperboard,1876,Production,5510,tonnes,64500,96400,105100,114100,123400,167500,144700,176500,203000,220000,236000,250000,278000,308000,258000,283000,281000,307000,325000,351000,407000,366000,366000,413000,446000,457000,488000,5.00E+05,5.00E+05,549000,521000,629000,595000,672000,690000,693000,704000,712000,733000,771000,771000,847000,864000,899000,919000,990000,1013000,1025000,1076000,1145000,1137575,1153277,1160416,1203289,1218948,1212254,1252903,1313109,1250177,1161145
Congo,46,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Costa Rica,48,Paper and paperboard,1876,Production,5510,tonnes,2700,2700,2700,2700,2700,2700,2700,2700,2700,5000,5000,6000,6000,6500,6900,7300,8000,8000,11000,12000,15000,18000,13000,13000,13000,13000,13000,17000,18000,19000,19000,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,254513,250221,250221,250221,250221,250221,250221
Cuba,49,Paper and paperboard,1876,Production,5510,tonnes,87100,89800,93400,96700,90000,93000,105100,87800,83300,79900,104300,103400,119500,121100,122600,122600,70400,72700,72700,72700,72700,111500,108800,122000,132000,150000,149000,140000,168000,123000,119000,60000,57000,57000,52000,53000,53000,53000,53000,43000,31000,24700,33400,19600,21800,22600,19800,21910,21400,19600,20000,25900,25600,31000,27500,25700,15600,15600,15600,15600
Cyprus,50,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,52,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,146200,143600,8200,7800,5100,3000,200,3300,1200,3800,47400,7200,7800,7800,14900,19310,13300,19700,22100,38500
Denmark,54,Paper and paperboard,1876,Production,5510,tonnes,190400,191900,189000,197300,210800,217000,204000,265000,276000,296000,274000,236000,239000,256000,173000,231000,243000,270000,284600,224800,227000,171400,322000,332000,302000,293000,326000,343000,326000,335000,356000,317000,339000,345000,345000,345000,391000,393000,397000,263000,389000,383728,388331,402043,422624,441917,416936,517936,518936,534932,522699,522110,481520,481520,167000,147000,147000,152000,152000,152000
Dominican Republic,56,Paper and paperboard,1876,Production,5510,tonnes,900,1900,1900,2300,2900,6900,7200,6500,8000,8100,8200,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9600,9600,9600,9600,9600,9600,9600,9600,9600,7000,7000,7000,21000,21000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
Belarus,57,Paper and paperboard,1876,Production,5510,tonnes,125562.7669,133690.6325,140469.9285,150165.0507,170564.8999,189729.1678,206896.0947,217571.6635,220108.4323,244236.8943,256884.2906,270588.6738,287573.3616,298835.7404,312831.7063,324968.833,330363.1115,336632.1379,318153.0892,318298.8805,326353.8504,327228.5983,348295.4428,358464.3867,365608.161,378875.1703,385107.7489,396588.8147,391267.4318,390647.8187,349534.6689,267000,175000,131000,131000,131000,131000,195200,208400,235500,223500,216000,279300,257000,283900,285000,285000,285000,474200,587750,357400,359800,308000,332700,296099,264000,296999,357000,368001,357000
Ecuador,58,Paper and paperboard,1876,Production,5510,tonnes,600,300,300,300,400,500,500,5100,7500,8000,12000,12500,13700,13700,34000,34000,34000,36000,21300,25900,31000,34000,34000,34000,34300,34300,34800,35800,35798,43800,129300,159900,102900,78100,83200,86300,91400,91400,91400,91400,91400,94400,101000,126716,126942,127636,136749,141654,239654,239654,239654,239654,239654,244654,244654,244654,244654,244654,244654,244654
Egypt,59,Paper and paperboard,1876,Production,5510,tonnes,49700,87900,96000,103200,106000,107800,108400,110000,115000,120000,125000,130000,127000,104000,106000,118000,118000,124000,122000,122000,146000,110000,110000,145000,145000,145000,160000,160000,216000,223000,208000,201000,220000,219000,221000,221000,282000,343000,343000,440000,460000,460000,460000,460000,460000,460000,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,670000,670000,670000
El Salvador,60,Paper and paperboard,1876,Production,5510,tonnes,600,600,600,600,800,800,800,800,1000,1000,2500,4500,4500,5000,5000,5000,5000,4500,16000,16000,16000,16000,16000,16000,16000,16000,16900,17400,17400,17400,17400,17400,17400,17400,17400,56000,56000,56000,56000,68000,68000,98000,98000,98000,103000,103000,103000,108000,108000,114520,115208,115208,115208,115208,115208,115208,115208,115208,115208,115208
Estonia,63,Paper and paperboard,1876,Production,5510,tonnes,29749.81465,31675.56463,33281.79555,35578.87848,40412.25185,44952.87669,49020.26789,51549.64981,52150.69106,57867.49144,60864.06203,64111.06647,68135.27943,70803.69531,74119.78496,76995.45645,78273.53266,79758.86448,75380.58987,75415.13248,77323.61115,77530.86675,82522.27252,84931.6189,86624.20633,89767.58297,91244.27914,93964.50893,92703.70401,92556.89796,82815.88463,41700,41700,41700,41700,53000,35000,42600,48100,54000,70070,75030,64004,65788,64038,77994,77700,68374,63378,75671,74001,78177,73042,73636,69863,73791,76778,76734,76073,72100
Finland,67,Paper and paperboard,1876,Production,5510,tonnes,2404000,2514000,2748000,2984000,3210000,3466000,3394000,3634000,4065000,4266000,4429000,4971000,5453000,5523000,3994000,4550000,4620000,5140000,5738000,5919000,6135000,5895000,6388000,7318000,7447000,7549000,8011000,8652000,8754000,8968000,8778000,9152000,9990000,10909000,10942000,10442000,12149000,12703000,12947000,13509000,12502000,12789000,13058000,14036000,12391140,14189360,14334000,13126000,10602000,11758000,11329000,10847000,10591998,10407971,10319990,10139999,10276018,10540012,9720010,8210011
France,68,Paper and paperboard,1876,Production,5510,tonnes,2744000,2822000,3002000,3128000,3166000,3451200,3528500,3612100,3997200,4134200,4225800,4529500,4785000,5060000,1549000,4552000,4642000,4963000,5260000,5152000,5148000,5067000,5263000,5566000,5150000,5583000,5581000,6313000,6754000,7049000,7442000,7691000,7975000,8701000,8619000,8556000,9143000,9161300,9603000,10006000,9625000,9809000,9939000,10255000,10332000,10006200,9870500,9404000,8331500,8829800,8527213,8354181,8043150,8096000,7983677,7983500,8021410,7863503,7325000,6873000
Georgia,73,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1373,1659,1659,1659,1659,1659,1659,12190,13822,14355,16261,21836,23668,34493,37110
Germany,79,Paper and paperboard,1876,Production,5510,tonnes,4358700,4476000,4611800,4320900,4533900,4636500,4510300,5025000,5474400,5891800,5977500,6226300,6733500,6873400,5563600,6703000,6874000,7129000,7727000,7868000,8119000,8075000,8560000,9443000,9478000,9713000,10255000,10902000,11579000,12194000,12904000,13214000,13034000,14457000,14827000,14733000,15930000,16311000,16742000,18182000,17879000,18526000,19310000,20391000,21679000,22656000,23317000,22828000,20870000,23072000,22706000,22603000,22401000,22540000,22601000,22629000,22925000,22681549,22080042,21339418
Bosnia and Herzegovina,80,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,81000,81000,117944,111341,92510,107880,112000,146000,128000,149000,106000,146020,97133,135450,142840,154400,167000
Greece,84,Paper and paperboard,1876,Production,5510,tonnes,72000,72000,80000,90000,1.00E+05,110000,125000,136000,145000,125000,135000,160000,235000,234000,211000,214000,213000,196000,311000,307000,287000,266000,277000,294000,282000,283000,280000,280000,280000,361000,387000,387000,750000,750000,750000,750000,478000,622000,545000,496000,495000,493000,493000,510000,510000,412000,409000,409000,521729,607774,507896,409000,409000,409000,409000,409000,295846,320541,320541,320541
Guatemala,89,Paper and paperboard,1876,Production,5510,tonnes,2700,3000,4000,6500,10200,9400,10100,11000,12000,14000,15500,22100,21400,21000,18500,17600,23000,26700,29400,31700,29000,12000,16000,18000,14100,17100,14000,14000,14000,14000,14000,14000,14000,25000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
Honduras,95,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89500,102500,88000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,75000,75000,75000,75000,75000,75000,75000,75000,50937,39991
"China, Hong Kong SAR",96,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,8000,8000,11000,14000,17000,17000,17000,17000,32000,36000,40000,40000,40000,40000,40000,80000,115000,120000,193000,250000,280000,280000,180000,180000,180000,190000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000
Hungary,97,Paper and paperboard,1876,Production,5510,tonnes,151000,160900,161600,173100,173700,192300,196300,215500,250600,258700,269100,289700,318700,333000,343000,371000,424000,444000,436000,440000,457000,461000,479000,506000,494000,517000,522000,535000,504000,443000,364000,348000,292000,328000,321000,363000,820000,482000,473000,506000,495000,517000,546000,579000,571000,553000,552000,424000,461000,640000,744000,641000,710632,765000,792801,822639,852467,843928,873411,873411
Croatia,98,Paper and paperboard,1876,Production,5510,tonnes,48205.20338,54459.54132,64691.97858,81051.11424,94985.09844,101856.3609,112726.9959,122874.3401,128299.021,124384.7415,118981.3338,130128.5212,136553.0452,113811.9321,149040.4479,161464.0307,195713.9766,192522.9879,208903.3968,233367.6439,244855.2034,243578.8079,256342.7629,273999.5673,279317.8819,276765.0909,288890.8481,293783.6975,276977.8235,190182.9295,145721.8196,1.00E+05,114000,247800,324800,304200,393000,403000,417000,406000,451000,467000,463000,464000,592000,564000,545000,535000,526000,560000,540000,499700,299285,264086,288740,337710,348962,341031,346790,343324
Iceland,99,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,100,Paper and paperboard,1876,Production,5510,tonnes,449500,479000,558200,588400,630000,669900,694400,732600,801800,860600,820000,845000,840000,893000,911000,934000,990000,998000,1044000,962000,1266000,1288000,1481000,1557000,1559000,1806000,1871000,1977000,2050000,2185000,2362000,2528000,2626000,2859000,3025000,3025000,2922000,3320027,3845000,3794000,4284000,4285800,4255600,4614600,4655007,6799169,8300610,7941178,7788520,10111244,10172000,10247000,11800000,14490000,15435000,15540000,16227000,17284000,17284000,17284000
Indonesia,101,Paper and paperboard,1876,Production,5510,tonnes,10000,10000,10000,15000,16000,18000,19000,19000,19000,19000,19000,19000,43200,43000,46000,58000,78000,154000,212000,231000,258000,329000,374000,403000,5.00E+05,611000,813000,974000,1158000,1438000,1755000,2263000,2600000,3054000,3425000,4121000,4822000,5487000,6978000,6977000,6995000,6995000,7040000,7223000,7223000,7223000,7727000,9731000,9908000,9908000,10034000,10247000,10247000,10376256,10554716,11015709,11693369,11803369,11953369,11953369
Iran (Islamic Republic of),102,Paper and paperboard,1876,Production,5510,tonnes,5000,5000,5000,6000,7000,7000,7000,7000,14000,26000,50000,63000,76000,66000,70000,69000,77000,77000,78000,78000,78000,78000,78000,78000,78000,80000,90000,1.00E+05,142000,211000,235000,190000,260000,205000,205000,205000,205000,225000,230000,251000,251000,415000,411000,411000,464000,392500,389800,421000,429000,419000,381000,766000,766000,766000,766000,766000,766000,766000,766000,766000
Iraq,103,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,14000,24000,25000,22000,25000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,55000,13000,13000,13000,18000,18000,18000,18000,20000,20000,10000,13000,13000,7000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
Ireland,104,Paper and paperboard,1876,Production,5510,tonnes,84900,80500,83400,91800,85000,58000,85000,104000,106000,95000,1.00E+05,115000,152000,139000,112000,107000,131000,88000,97000,55000,52000,20000,20000,20000,22000,37000,29000,33000,34000,35000,36000,0,0,0,0,0,0,42000,42000,43000,43000,44000,45000,45000,45000,45000,49000,48000,45000,45000,47000,53000,60000,60000,60000,60000,60000,60000,60000,60000
Israel,105,Paper and paperboard,1876,Production,5510,tonnes,38500,39600,41000,47400,49400,53700,63200,67100,68200,73100,94400,104800,76300,79500,97000,106000,117000,114000,107500,109000,107000,107000,157000,148000,131000,151000,160000,170000,179000,194000,2.00E+05,215000,213000,229000,275000,275000,275000,250000,283000,302000,305000,305000,305000,305000,305000,305000,305000,396000,396000,403000,403000,403000,403000,403000,403000,403000,403000,403000,403000,403000
Italy,106,Paper and paperboard,1876,Production,5510,tonnes,1599600,1761700,1926400,2045800,2208000,2524000,2851000,3052000,3461000,3549000,3288000,3723000,4100000,4200000,3496000,4499000,4288000,4616000,4756800,4934000,4855000,4503000,4259000,4722000,4587000,4631000,4882000,5512000,5640000,5732000,5795000,6040000,6019000,6705000,6810000,6954000,8032000,8253900,8568000,9129317,8926000,9317261,9491000,9667000,9999371,10008360,10112031,9467019,8404170,9086755,9130256,8587595,8652142,8648460,8840350,8888000,9071483,9080992,8908943,8513702
Kazakhstan,108,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2703,23815,46904,64200,58000,69400,81100,165527,201555,172267,207483,211376,211376,168477,220895,220246,220246,220246,220246,261960,250736,264731
Jamaica,109,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,3500,9000,10000,10000,10000,18000,18000,18000,15000,11000,2300,2800,3700,4000,4000,4600,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,110,Paper and paperboard,1876,Production,5510,tonnes,5392700,5672200,6380000,7366000,7298600,8194600,9044000,9958000,11310000,12973000,12907000,13648000,15975000,15645000,13600000,15394000,15702000,16499000,17861000,18089000,16980000,17453000,18441000,19345000,20469000,21062000,22537000,24625000,26809000,28088000,29053000,28324000,27764000,28527000,29664000,30014000,31014000,29888000,30631000,31828000,30717000,30686000,30457000,30891000,30953000,31097000,31268000,30628000,26268000,27364000,26609000,25957000,26238000,26626000,26404000,26220000,26544000,26056000,25376000,22702000
Jordan,112,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,3000,3900,3500,3800,9300,9900,3700,4000,6000,6000,6000,6000,6000,6000,6000,6000,5000,7000,13000,14000,12000,10000,12000,15000,15000,15000,29000,31000,31000,31000,32000,32000,32000,18800,27300,25300,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
Kyrgyzstan,113,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,6686,15623,2700,2400,2400,2400,367,304,158,1120,740,800,730,730,730,1200,700,800,800,800
Kenya,114,Paper and paperboard,1876,Production,5510,tonnes,1400,3000,2400,2600,2600,2600,3000,3200,3200,2300,3500,4200,4200,4500,29000,41000,55000,58000,61000,62000,63000,66000,69000,76000,105000,105000,107000,100600,108100,91000,90000,176000,176000,108000,113000,129000,129000,129000,129000,129000,70000,84000,105800,160700,273000,279000,178400,176300,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,115,Paper and paperboard,1876,Production,5510,tonnes,1500,1300,1300,1600,2100,2800,3800,4600,4500,3900,,,0,,,,,,,,,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Peoples Republic of Korea,116,Paper and paperboard,1876,Production,5510,tonnes,60000,60000,60000,60000,60000,60000,65000,70000,75000,75000,75000,80000,80000,75000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
Republic of Korea,117,Paper and paperboard,1876,Production,5510,tonnes,66800,89600,98000,108100,120400,139000,154700,198000,240900,330000,433000,486000,512000,618000,662000,698000,1124000,1365000,1594000,1680000,1783000,1737000,1982000,2207000,2312000,2773000,3163000,3659000,4029000,4524000,4922000,5504000,5804000,6435000,6878000,7681000,8334000,7750000,8875000,9308000,9332000,9812000,10148000,10511000,10549000,10703000,10932000,9890000,9726000,11022000,11256000,11332000,11767000,11622000,11569000,11652000,11091000,11529000,11579000,11984000
Kuwait,118,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000,42000,42000,56000,56000,56000,56000,56000,56000,57000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
Latvia,119,Paper and paperboard,1876,Production,5510,tonnes,11664.49567,12419.55592,13049.33711,13949.99192,15845.09155,17625.40848,19220.17698,20211.91306,20447.57311,22689.0524,23863.96677,25137.07283,26714.91172,27761.16111,29061.35453,30188.86602,30689.98223,31272.36054,29555.69891,29569.24259,30317.53099,30398.79308,32355.85505,33300.52684,33964.16723,35196.64224,35775.63463,36842.19954,36347.85517,36290.29452,32470.97635,45400,10000,4000,6000,8300,16000,18000,19000,16000,24300,33000,38000,38000,39000,57000,60000,52000,54000,53000,54000,43934,44213,40000,45000,20187,16000,16000,36276,24531
Lebanon,121,Paper and paperboard,1876,Production,5510,tonnes,1900,2200,1800,5000,5000,5000,5000,5000,6000,8000,10000,12000,12000,12000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,42000,42000,37000,37000,37000,42000,42000,42000,42000,42000,42000,42000,42000,42000,64000,66000,66000,1.00E+05,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
