# File: FAO_ag_items_PRODSTAT.csv
# Title: Mapping file of FAO primary Ag products to commodities in GCAM and other database
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases.
# item and item_code are both updated for primary (land-based) crops  (Pumpkins for Fodder has data issue so not mapped). 
# FAO only has price data for items with TRUE for price_item.
# Sources: FAO and other databases
# Date of last update: 2022-03-15 (XZ)
# Column types: cilcccciccccccccccc
# ----------
item,item_code,price_item,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix
Cabbage for Fodder,644,FALSE,Cabbage4Fddr,FodderHerb,FodderHerb,,,,Other,Fodder crops,Crop25,,,Vegetables other,Cabbages and other brassicas,ocr,,
Cabbages and other brassicas,358,TRUE,Cabbages,Vegetables,Vegetables,VEGE,16,Cabbage,FruitsAndVeg,Others (annual),Crop26,Cabbagesandotherbrassicas,,Vegetables other,,v_f,,C4
Canary seed,101,TRUE,CanarySeed,OtherGrain,OtherGrain,OTHC,7,,Other,Others (annual),Crop26,Canaryseed,,,,gro,,C4
Carobs,461,TRUE,Carobs,Vegetables,Vegetables,,,,Other,Others (perennial) ,Crop24,Carobs,,,,ocr,Nfix,
Carrots and turnips,426,TRUE,Carrots,Vegetables,Vegetables,VEGE,16,Carrot,FruitsAndVeg,Others (annual),Crop26,Carrotsandturnips,,Vegetables other,,v_f,,
Carrots for Fodder,648,FALSE,Carrots4Fddr,FodderHerb,FodderHerb,,,,Other,Fodder crops,Crop25,,,Roots other,Carrots and turnips,ocr,,
"Cashew nuts, with shell",217,TRUE,CashewNuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Cashewnuts,,Nuts,,v_f,,Tree
Cashewapple,591,TRUE,Cashewapple,Fruits,FruitsTree,,,,FruitsAndVeg,Others (perennial) ,Crop24,Cashewapple,,,,v_f,,Tree
Cassava,125,TRUE,Cassava,RootTuber,RootTuber,CASS,10,Cassava,Other,Cassava,Crop11,,Cassava,Cassava,,,,Tree
Cassava leaves,378,FALSE,,Vegetables,Vegetables,,,,,,,,,,,,,
Castor oil seed,265,TRUE,CastorBeans,OilCrop,OilCrop,OILC,20,,Other,Others (annual),Crop26,Castoroilseed,,Oilcrops other,,osd,,
Cauliflowers and broccoli,393,TRUE,Cauliflower,Vegetables,Vegetables,VEGE,16,Cauliflower,FruitsAndVeg,Others (annual),Crop26,Cauliflowersandbroccoli,,Vegetables other,,v_f,,Tree
Cereals nes,108,TRUE,Cerealsnes,OtherGrain,OtherGrain,OTHC,7,Cereals,OtherCoarseGrains,Others (annual),Crop26,Cereals_nes,,Cereals other,,gro,,Tree
Cherries,531,TRUE,Cherries,Fruits,FruitsTree,FRUI,19,Cherry,FruitsAndVeg,Others (perennial) ,Crop24,Cherries,,Fruits other,,v_f,,Tree
"Cherries, sour",530,TRUE,SourCherries,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Sourcherries,,Fruits other,,v_f,,
Chestnut,220,TRUE,Chestnuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Chestnuts,,Nuts,,v_f,,
Chick peas,191,TRUE,ChickPeas,Legumes,Legumes,PULS,15,Chickpea,Other,Pulses,Crop17,,,Pulses other,,,Nfix,Tree
Chicory roots,459,TRUE,ChicoryRoots,Vegetables,Vegetables,,,,Other,Others (annual),Crop26,,,,Lettuce and chicory,ocr,,Tree
"Chillies and peppers, dry",689,TRUE,Pimento,Vegetables,Vegetables,VEGE,16,,FruitsAndVeg,Others (annual),Crop26,Chilliesandpeppers_dry,,Pimento,,v_f,,Tree
"Chillies and peppers, green",401,TRUE,Chll_PpprGrn,Vegetables,Vegetables,VEGE,16,,FruitsAndVeg,Others (annual),Crop26,Chilliesandpeppers_green,,Vegetables other,,v_f,,Tree
Cinnamon (cannella),693,TRUE,CnnmnCnlla,MiscCrop,MiscCropTree,,,,Other,Others (perennial) ,Crop24,Cinnamon.canella.,,Spices other,,ocr,,Tree
Clover for forage and silage,640,FALSE,Clovr4FrgSlg,FodderHerb,FodderHerb,,,Clover,Other,Fodder crops,Crop25,,,Peas,"Peas, green",ocr,Nfix,Tree
Cloves,698,TRUE,cloves,MiscCrop,MiscCropTree,,,,Other,Others (perennial) ,Crop24,Cloves,,Cloves,,ocr,,Tree
"Cocoa, beans",661,TRUE,CocoaBeans,MiscCrop,MiscCropTree,COCO,28,Cocoa,Other,Cocoa,Crop22,,,Cocoa Beans,,ocr,,
Coconuts,249,TRUE,Coconuts,OilCrop,OilCropTree,COCN,27,Coconut,FruitsAndVeg,Others (perennial) ,Crop24,Coconuts,Coconuts,Coconuts,,osd,,Tree
"Coffee, green",656,TRUE,CoffeeGreen,MiscCrop,MiscCropTree,COFF,29,Coffee,Other,Coffee,Crop23,,Coffee,Coffee,,ocr,,
"Cow peas, dry",195,TRUE,CowPeasDry,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Pulses other,,,Nfix,Tree
Cranberries,554,TRUE,Cranberries,Fruits,Fruits,FRUI,19,Cranberry,FruitsAndVeg,Others (perennial) ,Crop24,Cranberries,,Fruits other,,v_f,,Tree
Cucumbers and gherkins,397,TRUE,Ccmbr_Ghrkn,Vegetables,Vegetables,VEGE,16,Cucumber,FruitsAndVeg,Others (annual),Crop26,Cucumbersandgherkins,,Vegetables other,,v_f,,Tree
Currants,550,TRUE,Currants,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Currants,,Fruits other,,v_f,,
Dates,577,TRUE,Dates,Fruits,FruitsTree,FRUI,19,Date,FruitsAndVeg,Date palm,Crop19,,,Dates,,v_f,,Tree
Eggplants (aubergines),399,TRUE,Eggplants,Vegetables,Vegetables,VEGE,16,Eggplant,FruitsAndVeg,Others (annual),Crop26,Eggplants.aubergines.,,Vegetables other,,v_f,,Tree
Fibre crops nes,821,TRUE,FibreCropNES,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,FibreCropsNes,,,,pfb,,Tree
Figs,569,TRUE,Figs,Fruits,FruitsTree,FRUI,19,Fig,FruitsAndVeg,Others (perennial) ,Crop24,Figs,,Fruits other,,v_f,,Tree
Flax fibre and tow,773,TRUE,FlaxFibr_Tow,FiberCrop,FiberCrop,FIBR,33,Flax,Other,Others (annual),Crop26,Flaxfibreandtow,,,,pfb,,Tree
Fonio,94,TRUE,Fonio,OtherGrain,OtherGrain,OTHC,7,,OtherCoarseGrains,Others (annual),Crop26,Fonio,,,,gro,,
forage Products,651,FALSE,FrgProdNES,FodderGrass,FodderGrass,,,Fodder (other),Other,Fodder crops,Crop25,,,,,ocr,,Tree
"Fruit, citrus nes",512,TRUE,CitrusFrtNES,Fruits,FruitsTree,CITR,18,Citrus fruits,FruitsAndVeg,Citrus,Crop18,,,Citrus other,,v_f,,Tree
"Fruit, fresh nes",619,TRUE,FrtFrshNES,Fruits,FruitsTree,FRUI,19,Fruits,FruitsAndVeg,Others (perennial) ,Crop24,FruitFreshNes,,Fruits other,,v_f,,Tree
"Fruit, pome nes",542,TRUE,,Fruits,FruitsTree,,,,,,,,,,,v_f,,
"Fruit, stone nes",541,TRUE,StnFrtNESFrh,Fruits,FruitsTree,,,,FruitsAndVeg,Others (perennial) ,Crop24,Stonefruit_nes,,,,v_f,,
"Fruit, tropical fresh nes",603,TRUE,FrtTrpFrNES,Fruits,FruitsTree,CITR,18,Fruits,FruitsAndVeg,Others (perennial) ,Crop24,Fruit_tropicalfreshnes,,Citrus other,,v_f,,Tree
Garlic,406,TRUE,Garlic,Vegetables,Vegetables,VEGE,16,Garlic,FruitsAndVeg,Others (annual),Crop26,Garlic,,Vegetables other,,v_f,,
Ginger,720,TRUE,ginger,MiscCrop,MiscCrop,,,,Other,Others (perennial) ,Crop24,Ginger,,,,ocr,,C4
Gooseberries,549,TRUE,Gooseberries,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Gooseberries,,Fruits other,,v_f,,
"Grain, mixed",103,TRUE,MixedGrain,OtherGrain,OtherGrain,OTHC,7,,OtherCoarseGrains,Others (annual),Crop26,Mixedgrain,,,,gro,,
Grapefruit (inc. pomelos),507,TRUE,Grpfrt_Pmlos,Fruits,FruitsTree,CITR,18,Grapefruit,FruitsAndVeg,Citrus,Crop18,,,Grapefruit,,v_f,,
Grapes,560,TRUE,Grapes,Fruits,Fruits,FRUI,19,Grape,FruitsAndVeg,Grapes,Crop20,,,Grapes,,v_f,,
Grasses Nes for forage;Sil,639,FALSE,GrsNESFrgSlg,FodderGrass,FodderGrass,,,Hay,Other,Fodder crops,Crop25,,,,,,,
Grasses Nes for forage;Sil,639,FALSE,MxGrss_Lgm,FodderGrass,FodderGrass,,,Hay,Other,Fodder crops,Crop25,,,,,,,
Green Oilseeds for Silage,642,FALSE,GrnOlsd4Fddr,FodderHerb,FodderHerb,,,Fodder (other),Other,Fodder crops,Crop25,,,Oilcrops other,"Oilseeds, Nes",ocr,,
"Groundnuts, with shell",242,TRUE,GrndntWShll,NutsSeeds,NutsSeeds,GROU,24,Groundnut,OtherOilSeeds,Ground nuts,Crop16,,Groundnut,Groundnut,,osd,Nfix,
"Hazelnuts, with shell",225,TRUE,HzlntFlbrt,NutsSeeds,NutsSeedsTree,,,Hazelnut,Other,Others (perennial) ,Crop24,Hazelnuts_withshell,,Nuts,,v_f,,
Hemp tow waste,777,TRUE,HempFibr_Tow,FiberCrop,FiberCrop,FIBR,33,,Other,Others (annual),Crop26,HempTowWaste,,,,pfb,,
Hempseed,336,TRUE,Hempseed,OilCrop,OilCrop,OILC,20,,Other,Others (annual),Crop26,Hempseed,,Oilcrops other,,osd,,
Hops,677,TRUE,Hops,MiscCrop,MiscCrop,,,Hop,Other,Others (perennial) ,Crop24,Hops,,,,ocr,,Tree
Jojoba seed,277,FALSE,,OilCrop,OilCrop,,,,,,,,,,,osd,,Tree
Jute,780,TRUE,Jute,FiberCrop,FiberCrop,FIBR,33,Jute,Other,Others (annual),Crop26,Jute,,,,pfb,,Tree
Kapok fruit,310,TRUE,KapksdShell,OilCrop,OilCropTree,,,,,Others (perennial) ,Crop24,,,,,osd,,Tree
Karite nuts (sheanuts),263,TRUE,KrtNtSheant,OilCrop,OilCropTree,OILC,20,,Other,Others (perennial) ,Crop24,,,Nuts,,osd,,Tree
Kiwi fruit,592,TRUE,KiwiFruit,Fruits,FruitsTree,FRUI,19,Kiwi,FruitsAndVeg,Others (perennial) ,Crop24,Kiwifruit,,Fruits other,,v_f,,
Kola nuts,224,TRUE,Kolanuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Kolanuts,,Nuts,,v_f,,
"Leeks, other alliaceous vegetables",407,TRUE,,Vegetables,Vegetables,VEGE,16,Onion,FruitsAndVeg,,,,,Vegetables other,,v_f,,Tree
Leguminous for Silage,643,FALSE,LgmNESFrgSlg,FodderHerb,FodderHerb,,,Fodder (legumes),Other,Others (annual),Crop26,,,Peas,"Peas, green",ocr,,
Lemons and limes,497,TRUE,Lmn_Lme,Fruits,FruitsTree,CITR,18,Lemon,FruitsAndVeg,Citrus,Crop18,,,"Lemons, Limes",,v_f,,Tree
Lentils,201,TRUE,Lentils,Legumes,Legumes,PULS,15,Lentil,Other,Pulses,Crop17,,,Beans,,,Nfix,
Lettuce and chicory,372,TRUE,Lettuce,Vegetables,Vegetables,VEGE,16,Lettuce,FruitsAndVeg,Others (annual),Crop26,Lettuceandchicory,,Vegetables other,,v_f,,
Linseed,333,TRUE,Linseed,OilCrop,OilCrop,OILC,20,Linseed,OtherOilSeeds,Others (annual),Crop26,Linseed,,Oilcrops other,,osd,,
Lupins,210,TRUE,Lupins,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Beans,,ocr,Nfix,
Maize,56,TRUE,Maize,Corn,CornC4,MAIZ,3,Maize,Maize,Maize,Crop2,,Maize,Maize,,gro,,
Maize for forage and silage,636,FALSE,Maize4FrgSlg,FodderHerb,FodderHerbC4,MAIZ,3,Fodder (other),Other,Maize,Crop2,,,Maize,Maize,ocr,,
"Maize, green",446,TRUE,GrnCornMaize,Vegetables,Vegetables,MAIZ,3,"Maize, green",Maize,Others (annual),Crop26,Maize_green,,,,gro,,
"Mangoes, mangosteens, guavas",571,TRUE,Mangoes,Fruits,FruitsTree,FRUI,19,Mango,FruitsAndVeg,Others (perennial) ,Crop24,Mangoes_mangosteens_guavas,,Fruits other,,v_f,,Tree
Manila fibre (abaca),809,TRUE,Abaca_M_H,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,ManilaFibre.Abaca.,,,,pfb,,Tree
Mate,671,TRUE,Mate,MiscCrop,MiscCropTree,TEAS,30,,Other,Others (perennial) ,Crop24,,,,Tea,ocr,,Tree
"Melons, other (inc.cantaloupes)",568,TRUE,Cntlp_othMln,Vegetables,Vegetables,FRUI,19,Cantaloupe,FruitsAndVeg,Others (annual),Crop26,Othermelons.inc.cantaloupes.,,Fruits other,,v_f,,Tree
Melonseed,299,TRUE,Melonseed,OilCrop,OilCrop,OILC,20,,Other,Others (annual),Crop26,Melonseed,,Oilcrops other,,osd,,Tree
Millet,79,TRUE,Millet,OtherGrain,OtherGrainC4,MILL,5,Millet,OtherCoarseGrains,Millet,Crop6,,Millet,Millet,,gro,,
Mushrooms and truffles,449,TRUE,Mushrooms,Vegetables,Vegetables,VEGE,16,,Other,Others (annual),Crop26,,,Vegetables other,,v_f,,Tree
Mustard seed,292,TRUE,MustardSeed,OilCrop,OilCrop,OILC,20,Mustard,OtherOilSeeds,Others (annual),Crop26,Mustardseed,,Rapeseed,,osd,,Tree
"Nutmeg, mace and cardamoms",702,TRUE,Ntmg_Mc_Crdm,MiscCrop,MiscCropTree,,,,Other,Others (perennial) ,Crop24,Nutmeg_maceandcardamoms,,Spices other,,ocr,,Tree
Nuts nes,234,TRUE,Nutsnes,NutsSeeds,NutsSeedsTree,,,,Other,Others (annual),Crop26,Nuts_nes,,Nuts,,v_f,,Tree
Oats,75,TRUE,Oats,OtherGrain,OtherGrain,OTHC,7,Oat,OtherCoarseGrains,Others (annual),Crop26,Oats,,Oats,,gro,,
Oil palm fruit,254,TRUE,OilPalmFruit,OilPalm,OilPalmTree,PALM,22,Oil Palm,OilPalm,Oil palm,Crop14,,Oilpalm,Oilpalm,,osd,,Tree
Oilseeds nes,339,TRUE,Oilseedsnes,OilCrop,OilCrop,OILC,20,Oilseeds,OtherOilSeeds,Others (annual),Crop26,Oilseeds_Nes,,Oilcrops other,,osd,,Tree
Okra,430,TRUE,Okra,Vegetables,Vegetables,VEGE,16,,FruitsAndVeg,Others (annual),Crop26,Okra,,Vegetables other,,v_f,,
Olives,260,TRUE,Olives,OilCrop,OilCropTree,OILC,20,Olive,OtherOilSeeds,Others (perennial) ,Crop24,Olives,Olives,Olives,,osd,,Tree
"Onions, dry",403,TRUE,OnionDry,Vegetables,Vegetables,VEGE,16,Onion,FruitsAndVeg,Others (annual),Crop26,Onions_dry,,Onions,,v_f,,
"Onions, shallots, green",402,TRUE,OnionShlltGn,Vegetables,Vegetables,VEGE,16,Onion,FruitsAndVeg,Others (annual),Crop26,Onions.inc.shallots._green,,Onions,,v_f,,
Oranges,490,TRUE,Oranges,Fruits,FruitsTree,CITR,18,Orange,FruitsAndVeg,Citrus,Crop18,,,"Oranges, Mandarines",,v_f,,Tree
Papayas,600,TRUE,Papayas,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Papayas,,Fruits other,,v_f,,Tree
Peaches and nectarines,534,TRUE,Peach_Nctrn,Fruits,FruitsTree,FRUI,19,Peach,FruitsAndVeg,Others (perennial) ,Crop24,Peachesandnectarines,,Fruits other,,v_f,,
Pears,521,TRUE,Pears,Fruits,FruitsTree,FRUI,19,Pear,FruitsAndVeg,Others (perennial) ,Crop24,Pears,,Fruits other,,v_f,,
"Peas, dry",187,TRUE,PeasDry,Legumes,Legumes,PULS,15,"Pea, dry",Other,Pulses,Crop17,,,Peas,"Peas, green",,Nfix,
"Peas, green",417,TRUE,PeasGreen,Vegetables,Vegetables,VEGE,,"Pea, green",Other,Others (annual),Crop26,Peas_green,,Peas,"Peas, green",v_f,Nfix,
Pepper (piper spp.),687,TRUE,Pepper,MiscCrop,MiscCrop,,,Pepper,FruitsAndVeg,Others (perennial) ,Crop24,Pepper.Piperspp..,,Pepper,,ocr,,Tree
Peppermint,748,TRUE,Peppermint,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,Peppermint,,,,ocr,,
Persimmons,587,TRUE,Persimmons,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,,,Fruits other,Fruit Fresh Nes,v_f,,
Pigeon peas,197,TRUE,PigeonPeas,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Pulses other,,,Nfix,
Pineapples,574,TRUE,Pineapples,Fruits,Fruits,CITR,18,Pineapple,FruitsAndVeg,Others (perennial) ,Crop24,Pineapples,,Pineapples,,v_f,,
Pistachios,223,TRUE,Pistachios,NutsSeeds,NutsSeedsTree,,,Pistachio,Other,Others (perennial) ,Crop24,Pistachios,,,,v_f,,Tree
Plantains and others,489,TRUE,Plantains,Fruits,FruitsTree,PLAN,12,Plantain,FruitsAndVeg,Others (perennial) ,Crop24,Plantains,,Plantains,,v_f,,Tree
Plums and sloes,536,TRUE,Plums,Fruits,FruitsTree,FRUI,19,Plum,FruitsAndVeg,Others (perennial) ,Crop24,Plumsandsloes,,Fruits other,,v_f,,
Poppy seed,296,TRUE,PoppySeed,OilCrop,OilCrop,OILC,20,Poppy,OtherOilSeeds,Others (annual),Crop26,Poppyseed,,Oilcrops other,,osd,,
Potatoes,116,TRUE,Potatoes,RootTuber,RootTuber,POTA,8,Potato,Other,Potatoes,Crop10,,Potatoes,Potatoes,,,,
Pulses nes,211,TRUE,Pulsesnes,Legumes,Legumes,PULS,15,Pulses,Other,Pulses,Crop17,,,Beans,,,Nfix,
Pumpkins for Fodder,645,FALSE,,,,,,,,,,,,,,,,
"Pumpkins, squash and gourds",394,TRUE,PmpknSqshGrd,Vegetables,Vegetables,VEGE,16,Squash,FruitsAndVeg,Others (annual),Crop26,Pumpkins_squashandgourds,,Vegetables other,,v_f,,
"Pyrethrum, dried",754,TRUE,PrthrmDrdFlw,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,,,,,ocr,,C4
Quinces,523,TRUE,Quinces,Fruits,FruitsTree,FRUI,19,,Other,Others (annual),Crop26,,,Fruits other,Pears,v_f,,
Quinoa,92,TRUE,Quinoa,OtherGrain,OtherGrain,,,,Other,Others (annual),Crop26,Quinoa,,,,gro,,
Ramie,788,TRUE,Ramie,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,Ramie,,,,pfb,,
Rapeseed,270,TRUE,Rapeseed,OilCrop,OilCrop,RAPE,21,Rapeseed,OtherOilSeeds,Rapeseed,Crop15,,Rapeseed,Rapeseed,,osd,,C4
Raspberries,547,TRUE,Raspberries,Fruits,Fruits,FRUI,19,Raspberry,FruitsAndVeg,Others (perennial) ,Crop24,Raspberries,,Fruits other,,v_f,,
"Rice, paddy",27,TRUE,PaddyRice,Rice,Rice,RICE,2,Rice,Rice,Rice,Crop3,,Rice,Rice,,pdr,,
Roots and tubers nes,149,TRUE,Root_TbrNES,RootTuber,RootTuber,OTHR,11,Roots & tubers,Other,Others (annual),Crop26,Rootsandtubersnes,,Roots other,,,,
"Rubber, natural",836,TRUE,NatRubber,MiscCrop,MiscCropTree,,,,,Others (perennial) ,Crop24,Naturalrubber,,,,,,
Rye,71,TRUE,Rye,OtherGrain,OtherGrain,OTHC,7,Rye,OtherCoarseGrains,Rye,Crop5,,,Rye,,gro,,
Rye grass for forage & silage,638,FALSE,RyeGrsFrgSlg,FodderGrass,FodderGrass,OTHC,7,,Other,Rye,Crop5,,,Rye,Rye,,,
Safflower seed,280,TRUE,SfflwrSeed,OilCrop,OilCrop,OILC,20,Safflower,OtherOilSeeds,Others (annual),Crop26,Safflowerseed,,Oilcrops other,,osd,,
Seed cotton,328,TRUE,SeedCotton,FiberCrop,FiberCrop,COTT,32,Cotton,Cotton,Cotton,Crop21,,Cotton,Cotton,,pfb,,
Sesame seed,289,TRUE,SesameSeed,OilCrop,OilCrop,SESA,26,Sesame,OtherOilSeeds,Others (annual),Crop26,Sesameseed,,Sesameseed,,osd,,
Sisal,789,TRUE,Sisal,FiberCrop,FiberCrop,,,Sisal,Other,Others (annual),Crop26,Sisal,,,,pfb,,
Sorghum,83,TRUE,Sorghum,OtherGrain,OtherGrainC4,SORG,6,Sorghum,OtherCoarseGrains,Sorghum,Crop7,,Sorghum,Sorghum,,gro,,
Sorghum for forage and silage,637,FALSE,Srgm4FrgSlg,FodderHerb,FodderHerbC4,SORG,6,,Other,Sorghum,Crop7,,,Sorghum,Sorghum,ocr,,C4
Soybeans,236,TRUE,Soybeans,Soybean,Soybean,SOYB,23,Soybean,Soybean,Soybeans,Crop8,,Soybean,Soybean,,osd,Nfix,
Spices nes,723,TRUE,spicesnes,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,Spices_nes,,,,ocr,,
Spinach,373,TRUE,Spinach,Vegetables,Vegetables,VEGE,16,Spinach,FruitsAndVeg,Others (annual),Crop26,Spinach,,Vegetables other,,v_f,,
Strawberries,544,TRUE,Strawberries,Fruits,Fruits,FRUI,19,Strawberry,FruitsAndVeg,Others (perennial) ,Crop24,Strawberries,,Fruits other,,v_f,,
String beans,423,TRUE,StringBeans,Vegetables,Vegetables,VEGE,,,Other,Others (annual),Crop26,Stringbeans,,Vegetables other,,v_f,Nfix,
Sugar beet,157,TRUE,SugarBeets,SugarCrop,SugarCrop,BEET,13,Sugar beet,SugarCrops,Sugar beets,Crop13,,,Sugar Beet,,c_b,,
Sugar cane,156,TRUE,SugarCane,SugarCrop,SugarCropC4,CANE,14,Sugar cane,SugarCrops,Sugar cane,Crop12,,Sugarcane,Sugarcane,,c_b,,
Sugar crops nes,161,TRUE,SugarCrpNES,SugarCrop,SugarCrop,,,,SugarCrops,Others (annual),Crop26,Sugarcrops_nes,,,,c_b,,
Sunflower seed,267,TRUE,SnflwrSeed,OilCrop,OilCrop,SUNF,25,Sunflower,OtherOilSeeds,Sunflower,Crop9,,Sunflower,Sunflower,,osd,,
Swedes for Fodder,649,FALSE,Swedes4Fddr,FodderHerb,FodderHerb,,,,Other,Others (annual),Crop26,,,,,ocr,,
Sweet potatoes,122,TRUE,SweetPotato,RootTuber,RootTuber,SPOT,9,"Potato, sweet",Other,Others (annual),Crop26,Sweetpotatoes,,Sweet Potatoes,,,,
Tallowtree seed,305,FALSE,,OilCrop,OilCropTree,,,,Other,Others (perennial) ,Crop24,,,,,,,
"Tangerines, mandarins, clementines, satsumas",495,TRUE,TngMndClmnt,Fruits,FruitsTree,CITR,18,Tangerine,FruitsAndVeg,Citrus,Crop18,,,"Oranges, Mandarines",,v_f,,
Taro (cocoyam),136,TRUE,TaroCocoYam,RootTuber,RootTuber,CASS,10,Taro,Other,Others (annual),Crop26,Taro.cocoyam.,,,,,,
Tea,667,TRUE,Tea,MiscCrop,MiscCrop,TEAS,30,Tea,Other,Others (perennial) ,Crop24,Tea,,Tea,,ocr,,
