# File: GCAMDATA_FAOSTAT_NFertilizerProdDemand_175Regs_1Item_1973to2020.csv
# Title: FAO fertilizer production by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2022-06-10T00:00:00)
# Date of CSV last update: 2022-09-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
33,Canada,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,512641,531200,563000,599100,755300,834400,831100,937800,965900,1069800,1254900,1338500,1225000,1144600,1182800,1160166,1197188,1157764,1253287,1317640,1405920,1456136,1576205,1670630,1652700,1625800,1682052,1564348,1541191,1642988,1649912,1539450,1776685,1371962,2068032,1909243,1914550,2051264,2490486,2787716.1,2461000,2543000,2581000,2461000,2471000,2769000,2520000,3083000
33,Canada,3102,Nutrient nitrogen N (total),5510,Production,tonnes,802930,895000,774700,1204000,1577700,1673900,1708600,1755000,1825000,1897100,2370900,2542900,2825300,2466500,2762000,3000000,2706001,2842790,2904173,2971740,3850610,3801330,4018940,3864200,3654300,3737100,4141400,3831040,3331790,3087621,2905009,3048059,3109020,2309320,3234810,3192990,3129160,3361936,3443253,3358080,3820380,3707220,3994220,4122960,3735920,3822840,3927800,2726165.07
37,Central African Republic,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,937,1800,600,1200,1200,1200,100,1400,1200,700,278,1100,2500,622,769,518,690,800,800,900,1000,100,100,100,100,200,200,200,200,0.77,0.07,11.85,245.07,300.82,349.7,176.77,190.06,221.67,402.7,226.51,113.26,0,219.25,210.43,86.18,86.18,213.5,213.5
37,Central African Republic,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sri Lanka,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,56800,55300,40100,52300,65400,80900,77200,91600,78500,79400,83009,100313,101727,99261,103908,106000,108531,92406,95824,102196,115061,123800,115924,117568,122494,142226,163798,157473,158448,188317,150656,163234,181556,175249,161607,209393,181732,166096,209380,164271.63,127751.91,227848.88,150059.65,117776.99,109729.92,68829.65,142851.89,237696.88
38,Sri Lanka,3102,Nutrient nitrogen N (total),5510,Production,tonnes,6300,6300,6300,6300,6300,6300,6300,6300,38403,96981,57574,64302,5500,5303.571428571428,5107.142857142857,4910.714285714286,4714.285714285715,4517.857142857143,4321.428571428572,4125,3928.5714285714284,3732.142857142857,3535.714285714286,3339.285714285714,3142.857142857143,2946.4285714285716,2750,2553.5714285714284,2357.1428571428573,2160.714285714286,1964.2857142857142,1767.8571428571427,1571.4285714285716,1375,1178.5714285714284,982.1428571428569,785.7142857142862,589.2857142857138,392.8571428571431,196.42857142857156,0,0,0,0,0,0,0,0
40,Chile,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,59301,52080,36693,48545,37105,49336,56722,50836,47733,48057,64871,86290,104465,135978,142700,152500,156900,164098,157400,174000,195000,195000,215000,225000,220000,215000,235996,235000,226000,246316,221073,292680,240708,271154,324391,394599,354384,348444,276078,273403,288847,279778,328963,263680.38,213986.37,205522.83,235689.85,243896.67
40,Chile,3102,Nutrient nitrogen N (total),5510,Production,tonnes,106654,111410,85268,95872,88890,90218,93863,100730,98220,90728,98080,112750,126700,122260,115000,115000,105000,110000,98000,126000,116000,97000,111000,111000,115000,97000,95000,112500,115000,115000,167555,120370,130750,122776,167056,207643,198198,190000,150000,130000,106000,0,0,0,48700,40900,40900,40900
41,"China, mainland",3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,4451000,3849000,5039000,4755000,7073000,9280000,10641000,12112100,11528300,12274900,13722000,15179500,13838300,13576100,16803900,18514000,18855296,19557800,19970500,20329000,18003300,19160000,23781500,25275000,22949700,22887000,24142000,22139168,22422712,25040933.33,25198324.67,26232233.33,26636828.33,27244473.86,27982007.23,28390797.04,28961333.33,29531824.95,30131119.67,30632100.21,30800704.19,30981666.67,30795477,30387931,29544991,28141472,26737666.67,25741925.33
41,"China, mainland",3102,Nutrient nitrogen N (total),5510,Production,tonnes,3220000,3017000,3964000,4042000,5751000,7903100,9095900,10286000,10154000,10458000,11322500,12452000,11666700,11858500,13684900,13953700,14519300,14915500,15300700,15962619,15581034,16342016,19035070,21042778,20232134,21530000,22833057,21559100,22075728,23352352.03,25766680.19,27608176.86,26932057.59,27733734.66,31252787.07,30942146.41,30965619.35,33928761.36,33856908.59,35234573.55,36138484.63,39595785.82,40465381.83,37436500.24,34812344.29,32657767.24,32396037.49,31941569.2
44,Colombia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,125700,122700,111305,142740,144000,133749,151024,151200,143000,149400,157360,180990,184100,224429,244999,261700,268900,311800,298900,255400,251900,252800,241400,236000,265200,296800,299800,334300,301383,358695.41,374170.86,378297.92,345419.36,345085.17,355499.99,338896.47,367566.92,404440.08,442646.39,421988.8,387838.16,463158.22,468536.73,433134.51,532467.51,490329.17,462365.73,529909.48
44,Colombia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,81336,86673,65547,66392,71600,59395,56669,41900,42200,48300,53940,60444,65065,97400,91386,97759,100400,99700,98800,85600,82100,95000,92700,109000,92300,93000,75500,76700,77762,81000,86200,77200,54700,67500,70200,70200,83300,116900,107800,80500,77700,98100,95400,84900,87200,92400,92400,92400
46,Congo,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1200,200,200,120,110,100,90,176,154,900,800,900,1300,700,100,500,207,641,1300,1100,1000,900,1000,2000,2000,2000,2000,2000,2648,2010,1372,734,9,24,64,252,913,110,282,681.61,637.43,290.4,636.84,318.76,332.94,328.05,820.85,3087.68
46,Congo,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Cook Islands,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,12,19,28,4,18,19,7,7,15.21,7.98,7.37,23.17,32.22,13.62,11.7,13.22,18.74
47,Cook Islands,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Costa Rica,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,34000,33900,31100,28488,40543,40880,39400,40500,45200,49000,54000,50600,49000,52000,55000,58970,63000,55600,62400,65000,60000,70000,70000,89000,100000,104000,80000,68000,53223,54917.3,77398.81,63074.05,68020.16,71534.41,74154.9,81537.78,45373.7,61204.54,94606.97,87871.7,89977.62,77922.43,85177.55,98943.49,90742.34,96211.93,93281.24,94724.11
48,Costa Rica,3102,Nutrient nitrogen N (total),5510,Production,tonnes,27000,30000,30000,30791,32355,33100,36000,40000,42000,50000,36000,40500,30500,32000,30000,27700,24000,30200,39400,39900,49000,40600,44000,56000,41000,32000,52600,13400,500,458.3333333333333,416.6666666666667,375,333.33333333333337,291.66666666666663,250,208.33333333333331,166.66666666666669,125,83.33333333333331,41.666666666666686,0,0,0,0,0,0,0,0
49,Cuba,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,130400,139800,156300,187200,223000,225000,280400,267400,314992,276703,248700,294400,293600,328400,306400,304700,366700,283000,240000,192000,120000,72000,100000,100000,133000,107000,72300,78000,116600,63804.92,21886.79,39887.54,29194.24,44389.23,35586.05,33216.63,13650.9,56986.27,56496.34,59659.05,70564.42,78389.09,62384.01,48839.25,52766.36,40019.11,40019.11,40019.11
49,Cuba,3102,Nutrient nitrogen N (total),5510,Production,tonnes,20000,45900,82000,68700,49600,34300,131500,111900,142198,96050,91571,169062,175518,167174,156937,142114,145927,140000,120000,100000,70000,15000,55000,60000,62000,50000,50000,50000,50000,5053.14,7175.03,17189.86,9338.13,14173.52,15866.94,13967.12,9103.29,12044.26,15135.97,19844.06,21327.44,18945.26,19600,13400,9600,9400,9400,9400
