# File: FAO_USA_an_Prod_t_PRODSTAT.csv
# Title: FAO USA historical production animal products
# Units: tonnes
# Column types: ciciciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii 
# ----------
countries,country.codes,item,item.codes,element,element.codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States of America,231,"Goat milk, whole, fresh",1020,Production,5510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14286,14539,15025,15483,16384,18148,20341,21964,23605,25216,26801,28423,26810,27205,27988,28380,29997,30912,31821,33392,33694,33699,33704,25597,25850,25671,25805
United States of America,231,Sheepskins,995,Production,5510,52611,51504,48441,44685,39900,39012,39105,36360,32768,32405,32895,31575,29397,27192,24141,20733,19664,16629,15567,17226,18591,19932,20376,20700,18901,17286,15936,16176,16677,17250,17439,16755,15888,15042,13884,12747,11907,11583,11298,10581,9870,10052,9127,8719,8288,8303,7584,7942,7834,7658,6773,6826,7237,7237,7237,,
United States of America,231,"Wool, greasy",987,Production,5510,144156,134838,127642,115666,109349,107058,102995,96273,88368,85017,81899,79377,71367,63989,54220,52590,49804,47150,47980,48290,50320,48140,46670,43395,39940,38270,38305,40588,40469,39931,39799,37622,35169,31106,28809,25700,24440,22334,21130,20662,19122,18633,17326,17046,16865,16284,15750,14952,13770,13776,13286,14000,14000,14000,14000,,
United States of America,231,"Bird meat, nes",1089,Production (tonnes),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,231,Buffalo Hide,957,Production (tonnes),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,231,Buffalo meat,947,Production (tonnes),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,231,"Buffalo milk, whole, fresh",951,Production (tonnes),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,231,Camel meat,1127,Production (tonnes),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,231,"Camel milk, whole, fresh",1130,Production (tonnes),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,231,Goatskins,1025,Production (tonnes),51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
