# File: FAO_For_Exp_m3_FORESTAT.csv
# Title: FAO forests export qunatity by country.year
# Units: Export Quantity in m3
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2021-04-15
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,22,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,1,0,0,0,0,0
Australia,10,Roundwood,1861,Export Quantity (m3),5916,31200,23400,14800,21400,16800,12100,37500,29500,13000,12400,25900,13200,6700,12500,56400,55800,2100,3900,7200,38000,3400,5500,8400,7000,4800,6300,27300,32500,5400,15498,149034,183318,241700,417900,296900,345900,694800,489100,972000,1127000,998000,1280000,1275000,1048283,748582,1064658,1064679,942855,1144822,1448510,2016410,1395691,2014284,2610812,3324304,4363205,5236594,4959406,6367636
Austria,11,Roundwood,1861,Export Quantity (m3),5916,456000,404900,403900,344500,293900,335500,373500,379200,456100,454500,436600,399100,441000,606100,582900,709500,728400,753000,819500,842800,788900,659800,524600,627500,570400,534700,815400,600300,706600,1193315,819808,607656,553000,659000,638000,638000,828000,803000,1050000,942000,957000,893000,841000,1037000,901000,772000,921000,1013000,805400,1030625,1081825,884324,882630,762550,843620,891370,889790,968200,917725
Azerbaijan,52,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,1538,1500,72,272,272,0,1611,1600,900,0,0,0,0,0,10,10,10,10,10,0,0,0,0,1000,0,0,0
Bahamas,12,Roundwood,1861,Export Quantity (m3),5916,242300,335800,242200,409500,337500,358200,330600,362900,418100,380100,373200,382000,283500,183100,99500,99500,52500,,,,,,,,,,0,,,10,,106,1378,2404,1000,100,0,0,0,0,0,4034,6419,4088,4088,97,1336,13,13,139,645,645,656,646,1,25,0,0,0
Bahrain,13,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,59,60,161,161,1300,0,0,0,0,0,160,2152,256,256,4982,569,827,449,306,469,341,364,901,292,84,737,37,0
Bangladesh,16,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,,28,476,228,400,131200,131200,131200,0,0,293,677,677,720,564,589,589,589,186,149,243,187,52,48,0,21,394
Barbados,14,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,41,3,4,4,3,3,3,3,53,53,51,51,51,50,50,0,0,0
Belarus,57,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127507,166208,174500,443500,670348,513148,881400,834200,945000,1107845,1341800,1517550,1517550,1517550,1517550,1517550,1517550,1479488,2221923,2520000,2503354,2699649,2469830,3001552,2995434,1975700,5213,267937
Belgium,255,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181000,1041100,1028953,1141521,1088278,1113000,1033369,820575,1106738,682989,872479,1030592,1077620,1285230,1278584,1326487,1158686,1543266,1802587,2740933
Belgium-Luxembourg,15,Roundwood,1861,Export Quantity (m3),5916,466800,470100,449100,507300,505800,481000,360300,338200,404400,561000,682300,541300,489700,328000,441100,436600,592400,692200,689300,764800,778900,780700,771900,1018300,975200,1156800,1358900,1354500,1464500,1050910,1529744,1280026,1000800,1077100,879400,793300,954100,935300,1559000,,,,,,,,,,,,,,,,,,,,
Belize,23,Roundwood,1861,Export Quantity (m3),5916,2400,1200,1200,2400,1300,3200,300,600,900,1600,800,400,600,600,900,1600,1500,800,3200,6700,1000,900,600,300,300,6200,7500,6000,1800,,,319,,0,0,0,0,0,0,0,0,0,10,475,475,230,66,2080,2126,1646,3508,1975,708,2163,6304,2415,656,312,277
Benin,53,Roundwood,1861,Export Quantity (m3),5916,,,,200,,,,,,,,,,,,,,,,,,,,,,,0,,,,9,218,75,11,11,0,0,701,600,591,2000,15300,28300,47900,53900,51900,50216,50516,14911,86400,241233,262024,237025,354013,220151,133671,41208,66872,34942
Bermuda,17,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0
Bhutan,18,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,7400,7400,7400,7400,7400,7400,7400,7400,109,510,510,1758,,0,225,,0,0,0,0,0,0,0,0,0,17163,2767,2767,2767,2767,2767,2767,2812,2812,2832,2832,2832,20,20,0,0,0
Bolivia (Plurinational State of),19,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,2300,,,,,,,,,,0,,,1325,2220,300,13500,15300,2300,2900,0,0,3200,3070,958,2305,4320,6267,5619,8641,10553,17226,14394,12621,20508,16000,10338,10732,12996,12920,15610,13381,14052
Bosnia and Herzegovina,80,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3198,1057,,,,25737,0,0,0,0,0,132970,437733,445510,445510,409002,555710,586230,706100,826000,742000,825000,814000,739080,898150,973050,894390,708410
Botswana,20,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,44,1,130,2,37,0,3,43
Brazil,21,Roundwood,1861,Export Quantity (m3),5916,55100,40300,43800,50800,53100,58100,79100,117300,114300,84400,119400,130200,426000,140000,12400,22600,4300,10300,12700,7000,6100,8000,4200,30300,26200,9400,9500,46000,17100,80085,78692,364276,260635,654500,1240400,513300,793100,935300,442000,753600,563079,950611,123305,100021,25004,7225,18553,27473,5610,28750,90315,85138,115017,196279,110555,174206,248974,398453,1025175
British Virgin Islands,239,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Brunei Darussalam,26,Roundwood,1861,Export Quantity (m3),5916,26400,14100,600,1400,600,,,,,,,,,,,,,,,,,,,,,,0,,,,,49,,1724,1834,0,0,0,1035,1035,1035,1035,303,303,303,303,303,289,289,289,289,4,28,67,12,12,0,0,0
Bulgaria,27,Roundwood,1861,Export Quantity (m3),5916,,23800,36500,15600,9900,19600,75000,54900,52500,45000,14500,11800,9500,38815,37600,20200,25500,46700,25400,8200,2800,3000,2000,5100,29800,35500,34800,125400,135500,160484,64530,123917,201600,50800,92200,243900,256100,256100,227000,360000,308045,224273,224270,460000,556310,516000,892635,413075,278217,679366,919314,1031185,665788,1159870,525358,494462,466840,463883,370644
Burkina Faso,233,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,1098,1098,3496,3496,3496,3496,2760,2140,669,492,17866,12589,12129,16,14,68,136,0
Burundi,29,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,0,0,0,3602,4505,6856,6856,6856,3201,3210,3270,2845,2845,3754,3754,3763,3040,1039,20,2,0
Cote dIvoire,107,Roundwood,1861,Export Quantity (m3),5916,1019000,1179000,1445000,1858900,1904800,1822000,2172500,2620000,3326800,2510900,2932600,3168000,3497100,3034000,2419000,3275000,3229000,2699500,3199100,3055400,2233000,2275900,2253400,2203100,1394000,998000,617000,550000,550000,410974,398792,246386,320327,376727,311000,332000,107200,93000,105000,136000,127000,86000,73000,120000,142000,99200,130000,152046,144811,147431,116132,133852,290327,212616,152152,94063,28248,5114,902
Cabo Verde,35,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,409,409,409,409,409,409,409,409,409,530,530,530,530,530,530,17,0,0,0,0
Cambodia,115,Roundwood,1861,Export Quantity (m3),5916,127000,82800,75200,66100,56600,65600,85700,95700,124400,61600,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,100,,,,700,700,9100,17600,35839,84665,506390,350000,458000,459100,300000,100000,7000,3000,100,0,234,84,3376,2406,421,15883,3921,5451,5648,13607,15532,32625,62020,113283,198960,80117,43591,55620
Cameroon,32,Roundwood,1861,Export Quantity (m3),5916,164700,156800,206600,228300,218400,285900,279300,364400,425500,511200,546300,515000,703000,647000,472000,598600,396700,654300,843400,743300,443700,447800,391000,496000,745700,411200,442000,537600,456700,756000,770825,679864,791500,1255000,1236000,1307000,1706000,1604000,975000,894000,233000,144844,70081,29350,237271,502461,524891,363848,450331,702349,777207,852232,804465,1051235,1152600,1391052,1418041,1285698,1028286
Canada,33,Roundwood,1861,Export Quantity (m3),5916,3506400,3606100,3362200,3513100,3783000,4050100,3909600,3516500,3277600,4166600,2872500,1959900,1705200,2099300,1522000,1650400,1822200,1668900,1755800,2319700,1972600,1635500,2840300,3875000,2985400,3356800,4508800,4107000,2649000,1196591,1355948,2291685,1546329,1653000,1386800,1179300,801400,2067100,2247595,3048104,4004105,4636853,5243544,4060733,5932499,4858207,3819375,2951833,2792065,4069069,5771163,6137000,7061531,6758295,6129593,8235467,7469436,8529295,7628815
Cayman Islands,36,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2254
Central African Republic,37,Roundwood,1861,Export Quantity (m3),5916,11200,17500,10000,9400,10200,11000,11300,18900,38800,86000,101000,109000,155000,131000,82800,127700,125500,111000,125000,137400,122500,90000,65000,84000,95000,62600,41000,55000,54700,35836,16342,41700,36600,84200,72800,41600,109500,117000,154000,249900,313000,91958,126149,93171,86417,95394,78314,155301,110842,147893,152278,158178,144615,113993,110015,232640,328000,169218,123503
Chad,39,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2854,0,23,786,70,0,0
Chile,40,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,6200,17000,147600,679200,965700,1052400,361100,892000,1026300,905600,1275100,1302500,1950300,2799600,1993500,2245416,1837582,1441261,1585300,1842400,2226300,1615900,1728900,415000,915000,681000,512000,522000,300000,347000,149000,111000,85000,44000,10644,35000,43402,5700,7700,28000,16532,30677,174572,298777,352760
"China, Hong Kong SAR",96,Roundwood,1861,Export Quantity (m3),5916,22000,31500,29200,31600,37600,27400,20400,22700,20500,24400,35600,30300,42900,33900,23500,23900,27700,27700,27700,72400,,,,,,,61600,58700,114200,14178,31024,46444,29418,212243,211500,319200,70000,70000,1666,911,1248,430724,1388,11624,8610,81761,127724,62292,5667,2247,1306,2611,3004,2543,4296,628,7372,5152,876
"China, Macao SAR",128,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713,9484,402,961,261,261,213,184,208,142,400,16,25,0,64,45,90,168,12,0,0,0,0,0,0,0,0,0,0,0
"China, mainland",41,Roundwood,1861,Export Quantity (m3),5916,4900,6100,4300,6600,3000,6600,8300,5500,3200,4500,32200,47900,31700,31700,31700,31600,52500,29600,30000,37000,24200,34000,25000,9000,9000,31100,55200,132400,43200,371000,634158,719563,747717,665191,485563,74300,74000,33000,33400,27041,26646,15000,13417,8000,7927,6282,5066,6489,14503,30114,15619,4187,13194,15905,21370,153063,97055,78488,78613
"China, Taiwan Province of",214,Roundwood,1861,Export Quantity (m3),5916,22000,27600,40700,93800,64600,67200,49800,30400,37500,37100,57900,46100,32800,11500,49500,37500,37500,37500,36200,22900,34900,29900,48800,84000,35300,6200,4400,1200,12000,,98947,67652,57559,51816,43946,43900,26250,33900,25054,10100,10500,13317,9051,18055,15112,52177,41582,30756,29169,18933,25994,31231,43567,39947,24849,25126,22751,11884,6850
Christmas Island,42,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cocos (Keeling) Islands,43,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,657,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
Colombia,44,Roundwood,1861,Export Quantity (m3),5916,52600,84900,92600,66100,87500,89100,41800,41500,49500,78300,37000,37300,43400,24500,6500,6500,6500,6500,,,,,,,,,0,,,156,178,116,16,6850,9000,2500,12100,17000,17000,20641,13167,25640,55326,65949,17088,9287,17782,26926,33513,17746,23911,25568,46496,55920,47141,38054,33555,62977,66835
Comoros,45,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Congo,46,Roundwood,1861,Export Quantity (m3),5916,321300,360200,425000,536900,526000,556000,504400,569600,609000,592400,602700,472900,312000,277000,128000,144000,155000,166700,173100,280600,220600,202000,188300,250300,275200,287000,565900,881700,861100,731715,567625,530881,339508,258992,254000,258300,496000,638000,211000,281834,481438,455400,776013,844020,742243,659000,648795,630000,514248,606082,789196,774531,661000,790000,641710,786302,922000,889750,853043
Cook Islands,47,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,1738,4320,4343,4343,4343,4343,4343,4343,4343,800,800,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0
Costa Rica,48,Roundwood,1861,Export Quantity (m3),5916,2400,5100,800,2300,100,1500,5000,7900,3100,2700,2300,,,,,,,1100,100,100,100,300,100,500,500,500,2400,4100,,14,105,300,377,484,2900,3100,15700,15700,16100,500,500,1500,34186,62268,62268,102268,122268,103947,107821,114384,193955,221300,99175,106760,187685,167728,176916,157245,152284
Croatia,98,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274444,198468,213000,387400,385700,445500,339100,361000,586000,575000,544000,562000,540260,548000,907000,835000,728000,752000,825000,1080000,972000,1232849,1095643,1020156,1178010,1030867,903783,903783
Cuba,49,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,36,164,100,100,100,100,100,0,0,0,0,46,46,46,20,25,25,25,25,25,498,146,24,130,0,0,0
Curacao,279,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cyprus,50,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1622,216,0,0,0,0,0,0,4,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,167,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263490,1989000,2335000,2817000,2827000,2661000,2798000,2030000,2485000,2514000,3174000,3096000,3216000,2959000,2511000,2006000,2729606,1839000,3599200,4049000,4464000,5100000,4690350,5420145,6800799,8516500,14385044
Czechoslovakia,51,Roundwood,1861,Export Quantity (m3),5916,600700,557100,762200,744700,829200,1070500,1311800,1442100,1436100,1463200,1303000,1410600,1956800,2329400,2301000,2101000,2395000,2636000,2988000,3098000,2539000,2173100,1759600,1449400,1462000,1233300,820500,967400,747800,723903,889772,1154200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,5800,400,115300,14293,76649,92198,141227,124881,83627,372000,353294,219040,219040,219040,39800,39800,39800,146100,99900,210711,162758,92476,97418,30404,13649,14350,27684,109774,142772,112083,43906,11357,0
Democratic Republic of the Congo,250,Roundwood,1861,Export Quantity (m3),5916,79800,75900,88800,84400,72300,84600,68900,44800,40000,33500,12600,30800,43000,29900,29900,50107,56600,43200,48200,66100,58000,53000,76000,97000,112000,176000,112000,133000,116400,105508,135194,100463,94464,112056,127811,137724,81024,62024,65424,74928,33024,46024,68165,116738,128484,209387,317861,227934,124510,164002,183975,161178,155315,157388,182005,117202,63539,69503,97748
Denmark,54,Roundwood,1861,Export Quantity (m3),5916,72000,73000,87300,118500,134000,123300,147300,369900,388800,310700,200400,157900,133200,69600,446200,534400,487320,506300,474100,391600,455700,1131700,1168100,930600,844000,748900,744600,619500,560600,417731,506022,433801,197537,292000,324800,222000,255600,288000,290000,877000,726000,239600,249533,306458,681479,473018,893861,891270,658794,851884,792556,599051,672706,672706,854562,833580,676349,545145,691618
Djibouti,72,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,0,0,0,0,0,15,2099,1695,1256,0,0,0
Dominica,55,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,25,25,25,25,477,477,64,64,64,64,147,147,147,147,147,24,24,138,0,0
Dominican Republic,56,Roundwood,1861,Export Quantity (m3),5916,3700,2600,2900,2900,1500,1800,1200,1400,500,400,100,100,300,300,300,300,,,,,100,,,,,,0,,,,,,,,,,,,,,,,,,,2681,1699,771,174,2659,7266,2282,2408,11855,4060,1102,116,328,267
Ecuador,58,Roundwood,1861,Export Quantity (m3),5916,,,3000,,4600,,,,,,,,,,,,,,,,,,,,,,,,,583,19688,199,52680,29000,20400,115700,112100,39000,149400,108188,174226,81520,78569,116806,38150,63522,145244,95817,56791,110525,140445,168440,174185,203391,186174,241772,220898,308691,307527
Egypt,59,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,34,,,0,100,100,0,0,0,0,0,0,0,0,0,0,1600,28,522,2017,2598,4896,2823,2625,5617,6610,6491,1361,2529
El Salvador,60,Roundwood,1861,Export Quantity (m3),5916,,100,300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,0,0,0,0,0,0,0,0,0,10909,9888,8762,1819,20421,28007,23614,23804,23804,27829,17044,16889,14372,9157,16356,10894,8966
Equatorial Guinea,61,Roundwood,1861,Export Quantity (m3),5916,273000,345000,371000,409000,400000,457000,413000,437000,400000,380000,,4900,17500,17500,17500,17500,13000,900,5300,16000,54000,95300,71800,72800,76100,121300,121300,119900,124400,109786,114548,133436,156400,216500,267300,406400,510000,253000,423800,504000,514800,432000,597000,390000,388000,452000,551000,272000,27000,226811,329700,355000,370000,490000,466102,684866,1096046,1243231,720850
Eritrea,178,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,174,174,174,174,174,174,177,177,9,0,0,0,0
Estonia,63,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531543,1108628,1759700,2657600,1927000,3041000,3874800,4016243,4431960,3682900,3359540,3364978,2434169,1923766,1656591,1543752,1555837,1275174,2453141,2798617,2565328,3080206,2989047,2719319,2841950,2823454,3225106,2659239
Ethiopia,238,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2534,4604,2100,0,0,0,0,0,0,0,0,0,0,0,23,23,23,74,71,2671,2672,2679,2671,4,0,55
Ethiopia PDR,62,Roundwood,1861,Export Quantity (m3),5916,,300,,100,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),65,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Faroe Islands,64,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2,0,0,0,0
Fiji,66,Roundwood,1861,Export Quantity (m3),5916,,,7200,4700,4400,8800,5200,4800,5200,1900,100,,,,,,,,,13100,2300,2300,1600,15500,4100,4100,9800,9800,9800,8228,3157,6727,25,1900,2200,600,600,700,600,600,600,130,9879,7492,7825,5099,5140,6384,3251,3904,8856,9818,43034,44164,10661,3666,2679,635,289
Finland,67,Roundwood,1861,Export Quantity (m3),5916,5995900,3707400,2155900,1378700,803000,709300,662500,484400,738600,1077700,916800,489000,487800,472000,490000,536000,929000,544400,1173000,1766000,2365000,986000,647000,902600,1042100,1344500,1496000,783600,472300,294671,178364,478600,924600,1461000,872000,582000,644000,716800,768362,533276,404098,408040,442478,530731,753555,717985,655804,716304,539492,501939,730682,696886,885397,869480,842183,894889,976682,1591838,1447303
France,68,Roundwood,1861,Export Quantity (m3),5916,2265500,2388600,2157700,2082700,1934100,1932800,1826800,1639100,2058800,2390200,2531800,2478600,2726600,2779600,2335000,2220800,2507600,2477000,2520900,2753400,2877800,2898000,2995000,3319000,4271000,5104000,4528000,4674000,5463000,5043144,4873085,3956094,2418100,2884900,2976900,2743300,2815600,3257500,3441819,5859116,5429191,4618873,4519279,4268582,4325471,4254589,4467266,4002983,5637345,7478314,7228337,5328873,5490495,5054576,5021326,4551568,4641697,4650669,4364208
French Polynesia,70,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,78,,0,0,0,0,412,412,463,463,463,463,32,32,32,32,32,32,32,32,32,32,32,1,0,0,0,0
Gabon,74,Roundwood,1861,Export Quantity (m3),5916,1224000,1064000,1157400,1339000,1225400,1198200,1180400,1294200,1592700,1633500,1287000,1548000,1749000,1354000,1100000,1201000,1627300,1894000,1173000,1071000,1112700,1159900,1134000,1536200,1088800,982800,1229000,1200000,1350000,1158861,1307235,1252342,1334256,1330102,1587000,2351000,2719000,1773000,2337700,2584000,2500000,2016000,1927744,1513002,1677780,1716226,1859781,2162094,1741788,905002,42120,57651,31297,18322,37256,20939,34918,39709,49000
Gambia,75,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,30,,0,0,0,14,14,0,5,5,5,16,2318,2318,227,1075,153,266,19272,85999,150450,123894,85246,204458,328507,253649,35437,113425
Georgia,73,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985,1743,595,0,0,45473,57524,57468,56814,55198,55198,55198,55198,55337,2674,941,941,941,941,32,0,0,0,4665,7078,8737,8833,8828
Germany,79,Roundwood,1861,Export Quantity (m3),5916,371600,358900,421900,438000,345700,506600,1026500,1138400,874000,848900,818600,785000,2008500,4173900,4167900,3529900,2706900,1777800,1985800,2850500,2692200,2403900,2025400,3197300,4507800,3892900,3615100,4304200,4832500,4523706,8266756,5858630,4423575,4756000,5012000,3044000,4077000,4902000,4598000,5604000,4954000,4932000,4607000,5621000,6889000,7635124,7757000,7181000,4009838,3858698,3774922,3511647,3433945,3535805,3915056,4083760,4393671,5505334,8696478
Ghana,81,Roundwood,1861,Export Quantity (m3),5916,774900,576300,670500,688600,559800,476600,504200,569400,697000,472000,554000,747000,856000,434000,440000,345000,454300,312400,198400,104900,54100,53200,61600,70000,129900,176700,318600,338900,201000,141285,183686,169091,495600,653000,149900,25000,0,0,0,0,0,0,109,96379,115784,175827,281865,209243,158234,156658,171965,279197,256549,452620,391120,661768,334733,408066,480084
Gibraltar,82,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,80,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
