# File: A44.dens_state_flsp_usa.csv
# Title: Population density per GCAM-USA state and period
# Units: pop/km2
# Column types: cin
# ----------
region,year,tot_dens
CA,1980,59
CO,1980,11
CT,1980,248
DE,1980,118
DC,1980,4040
FL,1980,70
GA,1980,37
HI,1980,58
ID,1980,4
IL,1980,79
IN,1980,59
IA,1980,20
KS,1980,11
KY,1980,36
LA,1980,38
ME,1980,14
MD,1980,168
MA,1980,284
MI,1980,63
MN,1980,20
MS,1980,21
MO,1980,28
MT,1980,2
NE,1980,8
NV,1980,3
NH,1980,40
NJ,1980,387
NM,1980,4
NY,1980,144
NC,1980,47
ND,1980,4
OH,1980,102
OK,1980,17
OR,1980,11
PA,1980,102
RI,1980,354
SC,1980,40
SD,1980,4
TN,1980,43
TX,1980,21
UT,1980,7
VT,1980,21
VA,1980,52
WA,1980,24
WV,1980,31
WI,1980,34
WY,1980,2
AL,1981,30
AK,1981,0
AZ,1981,10
AR,1981,17
CA,1981,60
CO,1981,11
CT,1981,249
DE,1981,118
DC,1981,4031
FL,1981,73
GA,1981,37
HI,1981,59
ID,1981,4
IL,1981,80
IN,1981,59
IA,1981,20
KS,1981,11
KY,1981,36
LA,1981,38
ME,1981,14
MD,1981,170
MA,1981,286
MI,1981,63
MN,1981,20
MS,1981,21
MO,1981,28
MT,1981,2
NE,1981,8
NV,1981,3
NH,1981,40
NJ,1981,389
NM,1981,4
NY,1981,144
NC,1981,47
ND,1981,4
OH,1981,102
OK,1981,17
OR,1981,11
PA,1981,102
RI,1981,356
SC,1981,41
SD,1981,4
TN,1981,43
TX,1981,22
UT,1981,7
VT,1981,22
VA,1981,53
WA,1981,25
WV,1981,31
WI,1981,34
WY,1981,2
AL,1982,30
AK,1982,0
AZ,1982,10
AR,1982,17
CA,1982,62
CO,1982,11
CT,1982,250
DE,1982,119
DC,1982,4014
FL,1982,75
GA,1982,38
HI,1982,60
ID,1982,5
IL,1982,79
IN,1982,59
IA,1982,20
KS,1982,11
KY,1982,36
LA,1982,39
ME,1982,14
MD,1982,170
MA,1982,286
MI,1982,62
MN,1982,20
MS,1982,21
MO,1982,28
MT,1982,2
NE,1982,8
NV,1982,3
NH,1982,41
NJ,1982,390
NM,1982,4
NY,1982,144
NC,1982,48
ND,1982,4
OH,1982,102
OK,1982,18
OR,1982,11
PA,1982,102
RI,1982,356
SC,1982,41
SD,1982,4
TN,1982,44
TX,1982,23
UT,1982,7
VT,1982,22
VA,1982,54
WA,1982,25
WV,1982,31
WI,1982,34
WY,1982,2
AL,1983,30
AK,1983,0
AZ,1983,10
AR,1983,17
CA,1983,63
CO,1983,12
CT,1983,252
DE,1983,120
DC,1983,4003
FL,1983,77
GA,1983,38
HI,1983,61
ID,1983,5
IL,1983,79
IN,1983,59
IA,1983,20
KS,1983,11
KY,1983,36
LA,1983,39
ME,1983,14
MD,1983,172
MA,1983,287
MI,1983,62
MN,1983,20
MS,1983,21
MO,1983,28
MT,1983,2
NE,1983,8
NV,1983,3
NH,1983,41
NJ,1983,392
NM,1983,4
NY,1983,145
NC,1983,48
ND,1983,4
OH,1983,101
OK,1983,19
OR,1983,11
PA,1983,102
RI,1983,357
SC,1983,42
SD,1983,4
TN,1983,44
TX,1983,23
UT,1983,7
VT,1983,22
VA,1983,54
WA,1983,25
WV,1983,31
WI,1983,34
WY,1983,2
AL,1984,30
AK,1984,0
AZ,1984,10
AR,1984,17
CA,1984,64
CO,1984,12
CT,1984,254
DE,1984,121
DC,1984,4009
FL,1984,79
GA,1984,39
HI,1984,62
ID,1984,5
IL,1984,79
IN,1984,59
IA,1984,20
KS,1984,11
KY,1984,36
LA,1984,39
ME,1984,14
MD,1984,174
MA,1984,289
MI,1984,62
MN,1984,20
MS,1984,21
MO,1984,28
MT,1984,2
NE,1984,8
NV,1984,3
NH,1984,42
NJ,1984,395
NM,1984,5
NY,1984,145
NC,1984,49
ND,1984,4
OH,1984,101
OK,1984,18
OR,1984,11
PA,1984,102
RI,1984,359
SC,1984,42
SD,1984,4
TN,1984,44
TX,1984,24
UT,1984,8
VT,1984,22
VA,1984,55
WA,1984,25
WV,1984,31
WI,1984,34
WY,1984,2
AL,1985,30
AK,1985,0
AZ,1985,11
AR,1985,17
CA,1985,66
CO,1985,12
CT,1985,255
DE,1985,123
DC,1985,4016
FL,1985,82
GA,1985,40
HI,1985,63
ID,1985,5
IL,1985,79
IN,1985,59
IA,1985,20
KS,1985,11
KY,1985,36
LA,1985,39
ME,1985,15
MD,1985,176
MA,1985,291
MI,1985,62
MN,1985,20
MS,1985,21
MO,1985,28
MT,1985,2
NE,1985,8
NV,1985,3
NH,1985,43
NJ,1985,397
NM,1985,5
NY,1985,146
NC,1985,50
ND,1985,4
OH,1985,101
OK,1985,18
OR,1985,11
PA,1985,102
RI,1985,362
SC,1985,42
SD,1985,4
TN,1985,44
TX,1985,24
UT,1985,8
VT,1985,22
VA,1985,56
WA,1985,26
WV,1985,31
WI,1985,34
WY,1985,2
AL,1986,30
AK,1986,0
AZ,1986,11
AR,1986,17
CA,1986,67
CO,1986,12
CT,1986,257
DE,1986,124
DC,1986,4040
FL,1986,84
GA,1986,41
HI,1986,63
ID,1986,5
IL,1986,79
IN,1986,59
IA,1986,19
KS,1986,11
KY,1986,36
LA,1986,39
ME,1986,15
MD,1986,178
MA,1986,292
MI,1986,62
MN,1986,20
MS,1986,21
MO,1986,28
MT,1986,2
NE,1986,8
NV,1986,3
NH,1986,44
NJ,1986,400
NM,1986,5
NY,1986,146
NC,1986,50
ND,1986,4
OH,1986,101
OK,1986,18
OR,1986,11
PA,1986,102
RI,1986,365
SC,1986,43
SD,1986,4
TN,1986,44
TX,1986,24
UT,1986,8
VT,1986,22
VA,1986,57
WA,1986,26
WV,1986,30
WI,1986,34
WY,1986,2
AL,1987,31
AK,1987,0
AZ,1987,12
AR,1987,17
CA,1987,69
CO,1987,12
CT,1987,259
DE,1987,126
DC,1987,4031
FL,1987,86
GA,1987,42
HI,1987,64
ID,1987,5
IL,1987,79
IN,1987,59
IA,1987,19
KS,1987,12
KY,1987,36
LA,1987,39
ME,1987,15
MD,1987,182
MA,1987,294
MI,1987,63
MN,1987,21
MS,1987,21
MO,1987,28
MT,1987,2
NE,1987,8
NV,1987,4
NH,1987,45
NJ,1987,403
NM,1987,5
NY,1987,146
NC,1987,51
ND,1987,4
OH,1987,102
OK,1987,18
OR,1987,11
PA,1987,102
RI,1987,370
SC,1987,43
SD,1987,4
TN,1987,45
TX,1987,25
UT,1987,8
VT,1987,23
VA,1987,58
WA,1987,26
WV,1987,30
WI,1987,34
WY,1987,2
AL,1988,31
AK,1988,0
AZ,1988,12
AR,1988,17
CA,1988,71
CO,1988,12
CT,1988,261
DE,1988,128
DC,1988,3990
FL,1988,89
GA,1988,42
HI,1988,65
ID,1988,5
IL,1988,79
IN,1988,59
IA,1988,19
KS,1988,12
KY,1988,36
LA,1988,38
ME,1988,15
MD,1988,185
MA,1988,296
MI,1988,63
MN,1988,21
MS,1988,21
MO,1988,29
MT,1988,2
NE,1988,8
NV,1988,4
NH,1988,47
NJ,1988,405
NM,1988,5
NY,1988,147
NC,1988,51
ND,1988,4
OH,1988,102
OK,1988,18
OR,1988,11
PA,1988,102
RI,1988,372
SC,1988,44
SD,1988,4
TN,1988,45
TX,1988,25
UT,1988,8
VT,1988,23
VA,1988,59
WA,1988,27
WV,1988,29
WI,1988,34
WY,1988,2
AL,1989,31
AK,1989,0
AZ,1989,12
AR,1989,17
CA,1989,72
CO,1989,12
CT,1989,262
DE,1989,130
DC,1989,3950
FL,1989,91
GA,1989,43
HI,1989,66
ID,1989,5
IL,1989,79
IN,1989,60
IA,1989,19
KS,1989,12
KY,1989,36
LA,1989,38
ME,1989,15
MD,1989,188
MA,1989,298
MI,1989,63
MN,1989,21
MS,1989,21
MO,1989,29
MT,1989,2
NE,1989,8
NV,1989,4
NH,1989,48
NJ,1989,406
NM,1989,5
NY,1989,147
NC,1989,52
ND,1989,4
OH,1989,102
OK,1989,18
OR,1989,11
PA,1989,102
RI,1989,374
SC,1989,44
SD,1989,4
TN,1989,45
TX,1989,25
UT,1989,8
VT,1989,23
VA,1989,60
WA,1989,28
WV,1989,29
WI,1989,35
WY,1989,2
AL,1990,31
AK,1990,0
AZ,1990,13
AR,1990,17
CA,1990,74
CO,1990,12
CT,1990,262
DE,1990,133
DC,1990,3822
FL,1990,94
GA,1990,44
HI,1990,67
ID,1990,5
IL,1990,80
IN,1990,60
IA,1990,19
KS,1990,12
KY,1990,36
LA,1990,38
ME,1990,15
MD,1990,191
MA,1990,298
MI,1990,64
MN,1990,21
MS,1990,21
MO,1990,29
MT,1990,2
NE,1990,8
NV,1990,4
NH,1990,48
NJ,1990,407
NM,1990,5
NY,1990,147
NC,1990,53
ND,1990,4
OH,1990,103
OK,1990,18
OR,1990,11
PA,1990,103
RI,1990,375
SC,1990,45
SD,1990,4
TN,1990,46
TX,1990,25
UT,1990,8
VT,1990,24
VA,1990,61
WA,1990,28
WV,1990,29
WI,1990,35
WY,1990,2
AL,1991,31
AK,1991,0
AZ,1991,13
AR,1991,18
CA,1991,75
CO,1991,13
CT,1991,262
DE,1991,135
DC,1991,3755
FL,1991,96
GA,1991,44
HI,1991,68
ID,1991,5
IL,1991,80
IN,1991,60
IA,1991,19
KS,1991,12
KY,1991,36
LA,1991,38
ME,1991,15
MD,1991,193
MA,1991,297
MI,1991,64
MN,1991,21
MS,1991,21
MO,1991,29
MT,1991,2
NE,1991,8
NV,1991,5
NH,1991,48
NJ,1991,409
NM,1991,5
NY,1991,148
NC,1991,54
ND,1991,4
OH,1991,103
OK,1991,18
OR,1991,12
PA,1991,103
RI,1991,375
SC,1991,46
SD,1991,4
TN,1991,46
TX,1991,26
UT,1991,8
VT,1991,24
VA,1991,61
WA,1991,29
WV,1991,29
WI,1991,35
WY,1991,2
AL,1992,32
AK,1992,0
AZ,1992,13
AR,1992,18
CA,1992,77
CO,1992,13
CT,1992,261
DE,1992,137
DC,1992,3697
FL,1992,97
GA,1992,45
HI,1992,69
ID,1992,5
IL,1992,81
IN,1992,61
IA,1992,19
KS,1992,12
KY,1992,37
LA,1992,38
ME,1992,15
MD,1992,195
MA,1992,297
MI,1992,65
MN,1992,22
MS,1992,21
MO,1992,29
MT,1992,2
NE,1992,8
NV,1992,5
NH,1992,48
NJ,1992,411
NM,1992,5
NY,1992,148
NC,1992,54
ND,1992,4
OH,1992,104
OK,1992,18
OR,1992,12
PA,1992,103
RI,1992,374
SC,1992,46
SD,1992,4
TN,1992,47
TX,1992,26
UT,1992,9
VT,1992,24
VA,1992,62
WA,1992,30
WV,1992,29
WI,1992,36
WY,1992,2
AL,1993,32
AK,1993,0
AZ,1993,14
AR,1993,18
CA,1993,77
CO,1993,13
CT,1993,261
DE,1993,139
DC,1993,3648
FL,1993,99
GA,1993,46
HI,1993,70
ID,1993,5
IL,1993,82
IN,1993,61
IA,1993,19
KS,1993,12
KY,1993,37
LA,1993,38
ME,1993,16
MD,1993,197
MA,1993,298
MI,1993,65
MN,1993,22
MS,1993,22
MO,1993,29
MT,1993,2
NE,1993,8
NV,1993,5
NH,1993,48
NJ,1993,413
NM,1993,5
NY,1993,149
NC,1993,55
ND,1993,4
OH,1993,105
OK,1993,18
OR,1993,12
PA,1993,104
RI,1993,373
SC,1993,47
SD,1993,4
TN,1993,48
TX,1993,27
UT,1993,9
VT,1993,24
VA,1993,63
WA,1993,30
WV,1993,29
WI,1993,36
WY,1993,2
AL,1994,32
AK,1994,0
AZ,1994,14
AR,1994,18
CA,1994,78
CO,1994,14
CT,1994,261
DE,1994,140
DC,1994,3576
FL,1994,101
GA,1994,47
HI,1994,71
ID,1994,5
IL,1994,82
IN,1994,62
IA,1994,20
KS,1994,12
KY,1994,37
LA,1994,38
ME,1994,15
MD,1994,198
MA,1994,299
MI,1994,65
MN,1994,22
MS,1994,22
MO,1994,30
MT,1994,2
NE,1994,8
NV,1994,5
NH,1994,49
NJ,1994,416
NM,1994,5
NY,1994,149
NC,1994,56
ND,1994,4
OH,1994,105
OK,1994,18
OR,1994,12
PA,1994,104
RI,1994,371
SC,1994,47
SD,1994,4
TN,1994,48
TX,1994,27
UT,1994,9
VT,1994,24
VA,1994,64
WA,1994,31
WV,1994,29
WI,1994,36
WY,1994,2
AL,1995,32
AK,1995,0
AZ,1995,15
AR,1995,18
CA,1995,78
CO,1995,14
CT,1995,260
DE,1995,142
DC,1995,3489
FL,1995,102
GA,1995,48
HI,1995,71
ID,1995,5
IL,1995,83
IN,1995,62
IA,1995,20
KS,1995,12
KY,1995,38
LA,1995,39
ME,1995,15
MD,1995,200
MA,1995,300
MI,1995,66
MN,1995,22
MS,1995,22
MO,1995,30
MT,1995,2
NE,1995,8
NV,1995,5
NH,1995,49
NJ,1995,418
NM,1995,5
NY,1995,149
NC,1995,57
ND,1995,4
OH,1995,105
OK,1995,18
OR,1995,13
PA,1995,104
RI,1995,369
SC,1995,48
SD,1995,4
TN,1995,49
TX,1995,28
UT,1995,9
VT,1995,24
VA,1995,65
WA,1995,32
WV,1995,29
WI,1995,37
WY,1995,2
AL,1996,33
AK,1996,0
AZ,1996,15
AR,1996,19
CA,1996,79
CO,1996,14
CT,1996,260
DE,1996,144
DC,1996,3407
FL,1996,104
GA,1996,49
HI,1996,71
ID,1996,6
IL,1996,83
IN,1996,63
IA,1996,20
KS,1996,12
KY,1996,38
LA,1996,39
ME,1996,16
MD,1996,201
MA,1996,301
MI,1996,67
MN,1996,23
MS,1996,22
MO,1996,30
MT,1996,2
NE,1996,8
NV,1996,6
NH,1996,50
NJ,1996,421
NM,1996,5
NY,1996,149
NC,1996,58
ND,1996,4
OH,1996,106
OK,1996,19
OR,1996,13
PA,1996,104
RI,1996,369
SC,1996,48
SD,1996,4
TN,1996,50
TX,1996,28
UT,1996,10
VT,1996,25
VA,1996,65
WA,1996,32
WV,1996,29
WI,1996,37
WY,1996,2
AL,1997,33
AK,1997,0
AZ,1997,15
AR,1997,19
CA,1997,80
CO,1997,14
CT,1997,261
DE,1997,146
DC,1997,3347
FL,1997,106
GA,1997,50
HI,1997,71
ID,1997,6
IL,1997,84
IN,1997,63
IA,1997,20
KS,1997,12
KY,1997,38
LA,1997,39
ME,1997,16
MD,1997,203
MA,1997,303
MI,1997,67
MN,1997,23
MS,1997,22
MO,1997,30
MT,1997,2
NE,1997,8
NV,1997,6
NH,1997,51
NJ,1997,423
NM,1997,5
NY,1997,149
NC,1997,59
ND,1997,4
OH,1997,106
OK,1997,19
OR,1997,13
PA,1997,104
RI,1997,369
SC,1997,49
SD,1997,4
TN,1997,50
TX,1997,29
UT,1997,10
VT,1997,25
VA,1997,66
WA,1997,33
WV,1997,29
WI,1997,37
WY,1997,2
AL,1998,33
AK,1998,0
AZ,1998,16
AR,1998,19
CA,1998,81
CO,1998,15
CT,1998,261
DE,1998,147
DC,1998,3300
FL,1998,107
GA,1998,51
HI,1998,72
ID,1998,6
IL,1998,84
IN,1998,64
IA,1998,20
KS,1998,12
KY,1998,38
LA,1998,39
ME,1998,16
MD,1998,204
MA,1998,304
MI,1998,67
MN,1998,23
MS,1998,23
MO,1998,31
MT,1998,2
NE,1998,8
NV,1998,6
NH,1998,51
NJ,1998,425
NM,1998,6
NY,1998,149
NC,1998,60
ND,1998,4
OH,1998,106
OK,1998,19
OR,1998,13
PA,1998,104
RI,1998,369
SC,1998,49
SD,1998,4
TN,1998,51
TX,1998,29
UT,1998,10
VT,1998,25
VA,1998,66
WA,1998,33
WV,1998,29
WI,1998,37
WY,1998,2
AL,1999,33
AK,1999,0
AZ,1999,16
AR,1999,19
CA,1999,82
CO,1999,15
CT,1999,262
DE,1999,149
DC,1999,3285
FL,1999,109
GA,1999,52
HI,1999,71
ID,1999,6
IL,1999,84
IN,1999,64
IA,1999,20
KS,1999,13
KY,1999,39
LA,1999,39
ME,1999,16
MD,1999,206
MA,1999,306
MI,1999,67
MN,1999,23
MS,1999,23
MO,1999,31
MT,1999,2
NE,1999,8
NV,1999,6
NH,1999,52
NJ,1999,428
NM,1999,6
NY,1999,149
NC,1999,61
ND,1999,4
OH,1999,106
OK,1999,19
OR,1999,13
PA,1999,104
RI,1999,370
SC,1999,50
SD,1999,4
TN,1999,51
TX,1999,30
UT,1999,10
VT,1999,25
VA,1999,67
WA,1999,33
WV,1999,29
WI,1999,37
WY,1999,2
AL,2000,34
AK,2000,0
AZ,2000,18
AR,2000,20
CA,2000,84
CO,2000,16
CT,2000,272
DE,2000,156
DC,2000,3621
FL,2000,116
GA,2000,55
HI,2000,73
ID,2000,6
IL,2000,86
IN,2000,66
IA,2000,20
KS,2000,13
KY,2000,40
LA,2000,40
ME,2000,16
MD,2000,211
MA,2000,315
MI,2000,68
MN,2000,24
MS,2000,23
MO,2000,31
MT,2000,2
NE,2000,9
NV,2000,7
NH,2000,53
NJ,2000,443
NM,2000,6
NY,2000,156
NC,2000,64
ND,2000,4
OH,2000,107
OK,2000,19
OR,2000,14
PA,2000,106
RI,2000,392
SC,2000,52
SD,2000,4
TN,2000,53
TX,2000,31
UT,2000,11
VT,2000,26
VA,2000,69
WA,2000,34
WV,2000,29
WI,2000,38
WY,2000,2
AL,2001,34
AK,2001,0
AZ,2001,18
AR,2001,20
CA,2001,85
CO,2001,16
CT,2001,274
DE,2001,158
DC,2001,3636
FL,2001,118
GA,2001,56
HI,2001,74
ID,2001,6
IL,2001,87
IN,2001,66
IA,2001,20
KS,2001,13
KY,2001,40
LA,2001,40
ME,2001,16
MD,2001,214
MA,2001,317
MI,2001,68
MN,2001,24
MS,2001,23
MO,2001,32
MT,2001,2
NE,2001,9
NV,2001,7
NH,2001,54
NJ,2001,446
NM,2001,6
NY,2001,156
NC,2001,65
ND,2001,4
OH,2001,108
OK,2001,20
OR,2001,14
PA,2001,106
RI,2001,395
SC,2001,52
SD,2001,4
TN,2001,54
TX,2001,32
UT,2001,11
VT,2001,26
VA,2001,70
WA,2001,35
WV,2001,29
WI,2001,39
WY,2001,2
AL,2002,34
AK,2002,0
AZ,2002,18
AR,2002,20
CA,2002,86
CO,2002,17
CT,2002,276
DE,2002,160
DC,2002,3628
FL,2002,120
GA,2002,57
HI,2002,75
ID,2002,6
IL,2002,87
IN,2002,66
IA,2002,20
KS,2002,13
KY,2002,40
LA,2002,40
ME,2002,16
MD,2002,216
MA,2002,318
MI,2002,68
MN,2002,24
MS,2002,24
MO,2002,32
MT,2002,2
NE,2002,9
NV,2002,8
NH,2002,55
NJ,2002,449
NM,2002,6
NY,2002,157
NC,2002,66
ND,2002,4
OH,2002,108
OK,2002,20
OR,2002,14
PA,2002,106
RI,2002,398
SC,2002,53
SD,2002,4
TN,2002,54
TX,2002,32
UT,2002,11
VT,2002,26
VA,2002,71
WA,2002,35
WV,2002,29
WI,2002,39
WY,2002,2
AL,2003,34
AK,2003,0
AZ,2003,19
AR,2003,20
CA,2003,87
CO,2003,17
CT,2003,278
DE,2003,162
DC,2003,3598
FL,2003,122
GA,2003,58
HI,2003,75
ID,2003,6
IL,2003,87
IN,2003,67
IA,2003,20
KS,2003,13
KY,2003,40
LA,2003,40
ME,2003,16
MD,2003,219
MA,2003,318
MI,2003,69
MN,2003,25
MS,2003,24
MO,2003,32
MT,2003,2
NE,2003,9
NV,2003,8
NH,2003,55
NJ,2003,452
NM,2003,6
NY,2003,157
NC,2003,67
ND,2003,4
OH,2003,108
