# File: EIA_coal_generation_2023.csv
# Title: Net generation for electric power annual - coal
# Unit: thousand megawatthours (GWh)
# Comments: Selected columns from original form
# Source: U.S. Energy Information Administration Electricity Data Browser - https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=8&geo=00fvvvvvvvvvo&sec=008&freq=A&start=2001&end=2023&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnn
# ----------
fuel,state,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Coal,Nebraska,thousand megawatthours,ELEC.GEN.COW-NE-98.A,20193.542,19899.803,20907.97,20414.96,20772.59,20632.855,19611.84922,21479.7232,23307.74635,23214.61642,25707.79293,24685.62783,26434.15254,24580.23729,23804.46729,21550.87168,20813.15328,22931.36634,20037.85978,18549.44747,18603.10589,19620.66648,17618.479
Coal,North Dakota,thousand megawatthours,ELEC.GEN.COW-ND-98.A,28769.721,29518.865,29298.347,27938.264,30133.242,28761.82,29041.8264,29551.64719,29486.19414,28349.07864,27010.56709,28154.78828,27376.87057,27334.4345,27631.80593,26471.69883,26648.49709,27540.66508,25151.43729,24400.35811,24292.60683,24684.97127,22390.46639
Coal,South Dakota,thousand megawatthours,ELEC.GEN.COW-SD-98.A,3611.68,3271.523,3431.203,3620.001,2996.347,3315.911,2655.33357,3660.48235,3217.35272,3298.25554,2585.56506,2918.75597,2849.38343,2689.21574,1495.07944,2082.68049,2062.46249,2339.33668,2617.07129,1648.2221,1638.39008,1874.80217,1562.74207
Coal,Delaware,thousand megawatthours,ELEC.GEN.COW-DE-98.A,3287.891,3382.142,3993.612,4626.26483,4710.81522,4871.75293,5526.02933,5191.18604,2831.99549,2568.37,1454.99588,1422.70252,1544.72051,865.38424,598.58802,479.34983,358.7971,273.38813,119.1201,102.27417,276.72937,104.74978,-6.49842
Coal,District of Columbia,thousand megawatthours,ELEC.GEN.COW-DC-98.A,,,,,,,,,,,,,,,,,,,,,,,
Coal,Florida,thousand megawatthours,ELEC.GEN.COW-FL-98.A,67921.113,65763.537,67409.197,64600.9882,62260.43891,65182.98965,67639.86371,64539.4432,53724.86304,59539.2941,51673.496,44053.80032,46143.59884,51791.63534,42717.12317,39254.6263,37374.10525,30174.54534,21197.40872,16562.26981,18338.49654,15495.86207,11664.86683
Coal,Georgia,thousand megawatthours,ELEC.GEN.COW-GA-98.A,73443.695,77288.328,77858.022,79185.166,86358.096,85700.96,89532.91344,84652.24633,68863.42019,72550.37467,59452.22305,40197.37619,39767.90139,44844.29745,36914.68675,37674.40576,32311.48867,31983.00564,25064.69989,13745.39865,18895.39388,16623.08616,16664.31159
Coal,Maryland,thousand megawatthours,ELEC.GEN.COW-MD-98.A,28379.409,28365.561,29674.268,28921.04766,29024.59929,29122.01631,29428.36503,26978.99867,23933.45497,23434.75422,20859.9085,16005.44637,15394.7473,17443.85127,13809.93756,13751.43431,8439.87276,10007.17971,5689.95178,3359.55972,5173.97896,4639.31405,1708.9704
Coal,North Carolina,thousand megawatthours,ELEC.GEN.COW-NC-98.A,71946.261,74308.205,73945.056,74964.30166,77882.51302,75028.45729,79504.00364,75428.59797,64713.24788,71516.02503,59406.23417,50633.25123,46751.18021,48909.70974,39685.6858,37185.33586,34248.85644,31510.19373,30499.10256,20630.65355,20236.01293,14505.75812,14125.87914
Coal,South Carolina,thousand megawatthours,ELEC.GEN.COW-SC-98.A,36302.69,36490.769,37065.509,38516.633,39352.428,39140.908,41270.23031,41296.70199,34253.71553,37465.91952,33906.14975,28234.68546,24248.29202,28747.51776,22487.78436,20900.19526,18126.77593,19481.43238,14851.6954,12442.56096,15163.3698,14223.96247,15128.0804
Coal,Virginia,thousand megawatthours,ELEC.GEN.COW-VA-98.A,37028.036,37015.047,36121.827,34741.08104,34604.47175,33446.43569,34617.95797,30839.66393,24797.65467,24731.56386,19202.01875,13543.27412,20626.14835,20340.11379,16901.29499,16214.62117,10523.09771,9077.78407,3246.94201,3638.80815,3112.67029,3223.59214,1324.82215
Coal,West Virginia,thousand megawatthours,ELEC.GEN.COW-WV-98.A,79354.673,92022.164,91659.277,86857.12016,90796.50779,90899.63839,91303.66117,88696.42575,67781.4624,77770.93551,75522.79053,69854.19348,71836.98667,76940.99884,67516.40473,71400.85237,68349.00948,62038.83544,58181.62912,50216.39807,59667.58933,50717.50168,44797.56958
Coal,Alabama,thousand megawatthours,ELEC.GEN.COW-AL-98.A,71751.252,71849.23,76458.092,74619.33142,77901.51396,77870.76103,77767.54686,74431.1216,55193.27908,62614.91122,56596.80993,45409.73092,46859.709,47170.20065,41311.03276,34186.11513,31411.13017,31733.66804,26638.14302,21729.52225,26900.88874,25943.99013,19181.95839
Coal,Kentucky,thousand megawatthours,ELEC.GEN.COW-KY-98.A,90798.578,83274.246,84060.54,86120.511,89083.113,91198.488,90483.05925,91620.58792,84037.5957,91053.85847,91656.02965,82761.66846,83303.26047,83601.96115,72620.429,66822.05835,57236.50896,59168.14328,51714.42966,43638.31323,49862.72893,47053.32664,43447.44888
Coal,Mississippi,thousand megawatthours,ELEC.GEN.COW-MS-98.A,19196.065,14853.143,17057.885,17469.661,16627.763,18095.787,17404.20318,16675.49292,12955.46497,13628.99696,9723.11079,7211.97285,8701.29508,10742.56585,6399.60523,5342.02601,4628.22956,5280.04337,4414.33994,4593.52454,5530.68764,5651.36728,4036.97435
Coal,Tennessee,thousand megawatthours,ELEC.GEN.COW-TN-98.A,58166.973,58080.553,53376.149,56583.558,57560.6,59146.323,58849.25507,55752.21008,40426.48717,42259.56913,39430.04688,34249.0907,31264.11373,34776.08678,29584.3637,30292.78356,27031.48821,20319.51898,18208.69982,13839.1621,17834.78128,15521.53129,15393.90818
Coal,Arkansas,thousand megawatthours,ELEC.GEN.COW-AR-98.A,24678.344,22986.65,23422.401,25248.81,22940.659,24095.405,25642.17524,25993.2572,24986.33329,28041.0021,29317.02375,28332.24775,31802.74708,33163.63668,21682.55404,23750.17557,26240.06409,29950.59564,23270.69465,15388.29796,21384.68694,20322.55978,16811.10701
Coal,Louisiana,thousand megawatthours,ELEC.GEN.COW-LA-98.A,21923.394,22025.375,22839.076,23613.596,23036.541,24350.9,23003.52992,24071.87983,23065.54585,23923.74892,24608.88765,21421.4288,20843.71252,19221.019,15164.95786,12013.64898,12315.92531,11786.72367,7418.81416,3918.42413,7872.9514,8172.86284,4833.62695
Coal,Oklahoma,thousand megawatthours,ELEC.GEN.COW-OK-98.A,34154.47,35440.537,36158.649,33338.18517,35894.37981,34592.56871,34005.24948,35875.38182,33660.83265,31064.84713,34086.14116,28925.15085,29618.69177,29519.91728,24494.20556,18790.77364,17079.06829,14701.99615,7707.50088,5870.84749,11204.82538,8893.64673,5179.65577
Coal,Texas,thousand megawatthours,ELEC.GEN.COW-TX-98.A,132296.611,139283.015,144263.86,146214.137,145803.046,143901.454,147278.8893,147131.8405,139106.597,146849.9474,157889.5229,138088.1705,149404.2433,148173.7264,121554.2838,121230.9324,134648.3579,111722.6428,91816.73526,78825.27459,88818.13948,85336.95279,71614.7898
Coal,Arizona,thousand megawatthours,ELEC.GEN.COW-AZ-98.A,39731.623,37957.468,37739.559,39419.177,39750.729,40056.468,40911.23393,43505.01214,39464.05994,43347.74806,43411.76487,39930.48586,43492.37581,42665.01057,36167.16893,30403.3921,31396.13826,30744.62287,23217.97445,13747.25305,14300.57241,13449.46816,12068.55331
Coal,Colorado,thousand megawatthours,ELEC.GEN.COW-CO-98.A,35951.028,35388.251,36115.623,35848.39047,35570.13487,36269.42495,35935.73925,34827.54509,31636.02285,34559.28995,33954.68658,34512.69462,33696.28482,32537.31889,31532.68369,29940.91705,29232.92153,26370.12116,25315.64841,19478.40504,23602.04163,21723.00385,18787.6167
Coal,Idaho,thousand megawatthours,ELEC.GEN.COW-ID-98.A,,,,,,,,,,,,,,,,,,,,,,,
Coal,Montana,thousand megawatthours,ELEC.GEN.COW-MT-98.A,17035.883,15337.829,17048.635,17380.228,17823.339,17085.08,18356.77452,18331.53249,15611.27909,18600.63422,15047.14169,13978.73934,14870.43549,15570.60344,16006.7059,14263.43184,13857.94356,13349.79815,14091.47226,8479.0137,10866.99001,11642.99148,11547.79842
Coal,Nevada,thousand megawatthours,ELEC.GEN.COW-NV-98.A,17736.97,16413.025,17085.959,18257.265,18384.261,7253.521,7090.91059,7812.35246,7539.93646,6997.30248,5407.30431,4079.43163,5254.55325,6547.86359,2657.28896,2166.83075,1865.59152,2485.04578,2735.45681,1953.20122,2752.47316,2735.26225,2059.63557
Coal,New Mexico,thousand megawatthours,ELEC.GEN.COW-NM-98.A,28402.187,26902.88,28812.844,29263.899,29947.248,29859.008,27603.64738,27014.23306,29117.30823,25617.78909,27140.86343,24994.04891,24145.27091,20355.63131,20439.53176,18365.26988,18414.4826,13401.53167,14691.66505,12788.18425,12536.31904,13291.99638,7371.81332
Coal,Utah,thousand megawatthours,ELEC.GEN.COW-UT-98.A,33591.722,34471.964,35978.648,36029.681,35240.801,36053.7,36314.37641,37176.12847,34694.99428,33217.65973,32696.70502,30393.83431,33795.45747,32929.51719,31232.79562,25502.11166,26172.59913,25912.47403,25241.02571,22806.02092,26375.56481,22390.21837,15600.23136
Coal,Wyoming,thousand megawatthours,ELEC.GEN.COW-WY-98.A,42560.578,41685.278,42099.361,43112.446,43112.061,42662.233,42908.2994,43600.71916,41758.49076,42765.5799,40494.83839,43000.81384,45975.25487,42944.89581,42671.36194,39629.79197,39674.42162,39279.70061,35015.64609,33059.39275,31676.31726,33102.3138,30473.35012
Coal,California,thousand megawatthours,ELEC.GEN.COW-CA-98.A,1748.125,1832.114,1838.984,1797.06079,1670.50043,1754.3441,1844.10428,1916.90068,1677.20099,1751.47722,1608.2707,1004.52827,468.88394,499.42914,0,0,0,0,0,0,0,0,0
Coal,Oregon,thousand megawatthours,ELEC.GEN.COW-OR-98.A,4423.843,3768.531,4285.697,3535.764,3463.644,2370.628,4351.6239,4044.3188,3196.90153,4126.435,3333.5162,2634.33454,3758.99572,3192.59303,2377.35943,1898.20212,1728.1047,1476.39096,2569.15953,1630.14477,,,
Coal,Washington,thousand megawatthours,ELEC.GEN.COW-WA-98.A,9042.666,8626.101,11055.239,10385.874,10474.438,6349.054,8517.81051,8727.17585,7438.65317,8486.57149,5199.97303,3728.43562,6703.71475,6675.7664,5015.94773,4568.72711,5462.64256,5359.26508,7146.2716,5143.21783,3107.48922,3545.80393,4138.44562
Coal,Alaska,thousand megawatthours,ELEC.GEN.COW-AK-98.A,427.983,445.422,330.033,393.2199,393.26202,397.32766,413.56185,397.46651,422.32256,393.67268,387.08974,416.71515,378.90684,447.71695,558.6467,487.12953,451.88713,525.08736,592.19451,605.36977,608.6148,610.7736,577.11299
Coal,Hawaii,thousand megawatthours,ELEC.GEN.COW-HI-98.A,1559.938,1518.723,1644.137,1603.75132,1630.91804,1548.59518,1578.93135,1647.59189,1500.1659,1496.1389,1376.80216,1497.51937,1357.31213,1465.83756,1302.89842,1491.85375,1375.72395,1311.20296,1301.94598,1165.14671,1084.55509,647.75791,
