# File: A44.CalPrice_service_gcamusa.csv
# Title: Prices by service in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM-USA output
# Column types: ccnnnn 
# ----------
region,sector,1990,2005,2010,2015
TN,coal to liquids,0,0,0,6.86186
TX,coal to liquids,0,0,0,6.14209
UT,coal to liquids,0,0,0,6.52647
VA,coal to liquids,0,0,0,6.86186
VT,coal to liquids,0,0,0,7.99748
WA,coal to liquids,0,0,0,6.52647
WI,coal to liquids,0,0,0,6.29584
WV,coal to liquids,0,0,0,6.50556
WY,coal to liquids,0,0,0,6.22256
AK,comm cooking,11.6766,12.0316,13.4879,12.7652
AL,comm cooking,14.2041,12.9005,13.9382,12.3893
AR,comm cooking,13.039,10.2458,11.2156,10.3844
AZ,comm cooking,13.4972,10.8119,11.4898,10.6924
CA,comm cooking,10.4479,11.1762,12.3136,11.9236
CO,comm cooking,13.3937,10.4676,11.0246,10.3237
CT,comm cooking,14.5084,13.3567,14.0093,12.7655
DC,comm cooking,13.4371,12.9632,13.2268,11.871
DE,comm cooking,15.0177,12.9952,12.4488,11.3788
FL,comm cooking,12.9624,10.8151,11.7044,10.7604
GA,comm cooking,12.5388,12.5347,12.6199,11.4979
HI,comm cooking,19.2817,20.3094,23.1146,22.76
IA,comm cooking,10.0136,11.2934,12.7243,11.6588
ID,comm cooking,17.9625,11.3843,11.63,10.7285
IL,comm cooking,11.5217,12.5536,13.6985,12.4016
IN,comm cooking,11.0527,12.2793,13.2427,12.0461
KS,comm cooking,9.23084,11.6439,13.223,11.4747
KY,comm cooking,14.4736,12.7707,13.697,12.5092
LA,comm cooking,14.4144,10.9864,12.6245,11.8192
MA,comm cooking,14.9779,14.2251,13.4678,12.9474
MD,comm cooking,13.657,11.1052,12.9892,11.6215
ME,comm cooking,21.0078,17.0752,17.4391,14.44
MI,comm cooking,10.1673,11.9626,13.1614,11.8434
MN,comm cooking,9.47711,11.5589,13.4852,12.2037
MO,comm cooking,11.8898,13.2556,15.319,14.091
MS,comm cooking,13.5117,11.6162,12.9829,11.738
MT,comm cooking,15.0671,11.3278,11.1391,10.5062
NC,comm cooking,15.372,13.6115,13.4563,11.8935
ND,comm cooking,11.2942,13.5388,15.6216,14.5184
NE,comm cooking,10.1667,11.9097,13.3338,12.1698
NH,comm cooking,15.5712,14.7981,16.2692,14.7379
NJ,comm cooking,10.8627,10.3057,11.651,11.2049
NM,comm cooking,12.6875,10.1731,10.7893,10.1007
NV,comm cooking,13.2113,10.0574,10.6556,10.2203
NY,comm cooking,11.8104,11.22,12.6246,11.9084
OH,comm cooking,11.2257,12.0627,13.157,11.9226
OK,comm cooking,12.9039,10.1952,11.4792,10.8542
OR,comm cooking,12.442,11.2668,12.4829,12.0623
PA,comm cooking,11.0376,10.9547,12.6076,11.5406
RI,comm cooking,14.1835,12.9503,14.2433,13.2229
SC,comm cooking,14.5841,12.7965,13.0177,11.5803
SD,comm cooking,10.6804,13.1272,14.7238,13.6459
TN,comm cooking,13.5319,12.5661,13.4267,12.2867
TX,comm cooking,11.4095,9.56799,10.8822,10.6244
UT,comm cooking,15.1316,10.5526,11.0569,10.598
VA,comm cooking,15.27,13.134,13.3867,11.7549
VT,comm cooking,18.8027,17.1885,18.4531,14.2416
WA,comm cooking,12.1627,11.2938,12.4015,11.9022
WI,comm cooking,12.1647,13.4094,14.6384,13.1549
WV,comm cooking,11.5665,11.3051,11.881,11.0833
WY,comm cooking,14.3094,11.2838,11.5314,10.2776
AK,comm cooling,6.8437,6.75509,7.02807,6.65287
AL,comm cooling,7.14708,6.62809,6.60542,5.99802
AR,comm cooling,7.15672,6.67506,6.81613,6.41405
AZ,comm cooling,6.58246,5.96776,5.98792,5.64873
CA,comm cooling,6.91612,6.63188,6.67147,6.08671
CO,comm cooling,6.58243,5.97588,5.99667,5.66024
CT,comm cooling,7.12486,7.38158,7.53613,7.37759
DC,comm cooling,7.00722,6.74245,6.70794,6.17746
DE,comm cooling,6.9756,6.74139,6.72871,6.19233
FL,comm cooling,6.56246,6.23665,6.11507,5.59833
GA,comm cooling,7.25168,6.71037,6.64364,6.0187
HI,comm cooling,7.70095,7.47352,8.76403,8.15655
IA,comm cooling,6.76902,6.58973,6.28554,5.84898
ID,comm cooling,6.88189,6.19457,6.2211,5.90649
IL,comm cooling,7.11426,6.96431,6.76624,6.52438
IN,comm cooling,6.7543,6.70227,6.50511,6.20486
KS,comm cooling,6.06859,5.965,5.83078,5.18277
KY,comm cooling,6.67977,6.30471,6.31553,6.0453
LA,comm cooling,7.15375,6.65369,6.71206,6.16947
MA,comm cooling,7.1027,7.19743,7.71678,7.28245
MD,comm cooling,7.00164,6.8693,6.71324,6.18402
ME,comm cooling,6.97247,6.88028,7.02802,6.82231
MI,comm cooling,6.79288,6.75403,6.51148,6.22308
MN,comm cooling,6.77381,6.55336,6.25287,5.84233
MO,comm cooling,7.03833,6.72561,6.61771,6.33236
MS,comm cooling,7.14721,6.64168,6.6107,6.00223
MT,comm cooling,6.88173,6.19582,6.23338,5.91723
NC,comm cooling,7.19867,6.68076,6.6303,6.01294
ND,comm cooling,6.76371,6.39302,6.20209,5.82915
NE,comm cooling,6.76797,6.51298,6.25845,5.84268
NH,comm cooling,7.07886,7.10727,7.13538,6.76745
NJ,comm cooling,7.21356,7.59368,7.71904,7.44808
NM,comm cooling,6.5825,5.98497,6.00294,5.6714
NV,comm cooling,6.88211,6.23901,6.25451,5.93936
NY,comm cooling,6.80583,7.19785,7.32512,7.22774
OH,comm cooling,6.74925,6.73679,6.51186,6.2156
OK,comm cooling,6.05852,5.77059,5.89259,5.38226
OR,comm cooling,6.90352,6.28087,6.27095,5.93948
PA,comm cooling,7.19103,7.29021,7.32369,7.191
RI,comm cooling,7.14253,7.49724,7.47368,7.16137
SC,comm cooling,7.20912,6.70197,6.6366,6.01737
SD,comm cooling,6.76532,6.4159,6.21859,5.83247
TN,comm cooling,7.1472,6.63089,6.60797,5.99856
TX,comm cooling,6.255,5.86201,6.11154,5.61276
UT,comm cooling,6.8819,6.21596,6.23594,5.91206
VA,comm cooling,7.19989,6.69237,6.63122,6.01478
VT,comm cooling,7.00148,6.87269,6.95958,6.86195
WA,comm cooling,6.90555,6.27934,6.274,5.94591
WI,comm cooling,7.09557,6.83722,6.70149,6.46365
WV,comm cooling,6.82138,6.45174,6.37644,6.08489
WY,comm cooling,6.58216,5.95968,5.98711,5.66245
AK,comm heating,5.87172,6.62145,7.32092,6.94658
AL,comm heating,5.17315,6.47243,7.03712,7.62677
