# File: pca_electricity_trade.csv
# Title: Received and Delivered electricity for individual Power Control Areas (PCAs)
# Units: MWh per year
# Comments:  This file contains individual Power Control Area electricity imported from a corresponding PCA
# Source: Chini  C. M.  Djehdian  L. A.  Lubega  W. N.  & Stillwell  A. S. (2018). Virtual water transfers of the US electric grid. Nature Energy  3(12)  1115-1123. https://doi.org/10.1038/s41560-018-0266-1
# Column types: nnnnn
# ----------
Reporting_PCA,Year,Connected_PCA,Received_Electricity,Delivered_Electricity
164,2013,110,2692690,966499
164,2010,110,2764597,1504082
174,2010,110,3225271,4375642
174,2011,110,3239545,4462528
174,2012,110,3131329,4315537
174,2013,110,2770454,5104076
190,2010,110,867107,1238299
190,2011,110,926069,749990
190,2012,110,1672221,554946
190,2013,110,681282,860950
220,2010,110,5939462,8005353
220,2011,110,7421368,9254660
220,2012,110,7021080,9627271
220,2013,110,6737141,9144197
258,2010,110,636121,1676044
258,2011,110,974347,1389004
258,2012,110,1192811,1262901
258,2013,110,1101186,1307630
259,2010,110,540691,1031265
259,2011,110,768911,829172
259,2012,110,918659,787924
259,2013,110,703651,992258
277,2010,110,1940732,2706375
277,2011,110,2236296,2836721
277,2012,110,2494680,3048089
277,2013,110,2819922,3484666
321,2013,110,110380,73164
321,2014,110,645766,237484
133,2010,112,199161,82447
133,2011,112,241935,80898
133,2012,112,225840,142053
133,2013,112,225840,142053
133,2014,112,162481,519819
133,2015,112,291412,479513
118,2010,113,988925,2138896
118,2011,113,978876,1842598
118,2012,113,1463507,1351890
118,2013,113,1676110,1431954
188,2010,113,7770688,8408835
188,2011,113,7513376,9605885
188,2012,113,7527185,11611351
188,2013,113,6777338,11228684
190,2011,113,1473137,71666
190,2012,113,1272191,89465
190,2013,113,1319845,113781
190,2010,113,1308308,328980
209,2010,113,9614,3703645
209,2011,113,10782,3275742
209,2012,113,153931,1782285
209,2013,113,149110,1777271
321,2010,113,166861,299744
321,2011,113,129320,275597
321,2012,113,240290,174432
321,2013,113,238695,221549
321,2014,113,75182,47870
125,2013,116,7054809,0
125,2014,116,7400051,0
125,2010,116,7850534,0
125,2011,116,7447354,0
125,2012,116,7142882,0
125,2015,116,8028132,0
154,2010,116,285095,6146851
154,2011,116,469944,4032939
154,2012,116,171788,5268082
154,2013,116,158619,6329030
154,2014,116,0,4398190
154,2015,116,0,6472496
182,2010,116,0,447750
182,2011,116,0,424259
182,2012,116,0,430276
182,2013,116,0,423453
182,2014,116,0,329517
182,2015,116,0,162238
194,2010,116,9041224,0
194,2011,116,8832485,0
194,2012,116,7877797,0
194,2013,116,7787006,0
194,2014,116,8092575,0
194,2015,116,7236023,0
228,2010,116,26786,2694987
228,2011,116,19661,2945152
228,2012,116,184,3531138
228,2015,116,17950,3250992
228,2013,116,30378,2513113
228,2014,116,14949,3670382
236,2010,116,3513116,175
236,2011,116,3535063,14398
236,2012,116,4379941,1163
236,2013,116,3203135,2504
236,2014,116,2840123,9608
236,2015,116,3366019,1436
244,2014,116,5504927,2313345
244,2011,116,2745221,771812
244,2012,116,4077927,59426
244,2013,116,4183716,772882
244,2015,116,6799997,564187
244,2010,116,3680412,509337
266,2010,116,2809154,0
266,2011,116,3177089,0
266,2012,116,4634258,0
266,2013,116,3713667,0
266,2014,116,3442884,0
266,2015,116,3596971,0
273,2012,116,0,166342
273,2013,116,0,1697091
273,2014,116,0,2180194
273,2015,116,0,1699065
274,2012,116,7787167,0
274,2013,116,9379479,0
274,2014,116,7728964,0
274,2015,116,6303749,0
274,2010,116,7058796,0
274,2011,116,6326883,0
110,2010,118,139846,988081
110,2011,118,153231,989455
110,2012,118,63939,1592905
110,2013,118,116764,940635
113,2010,118,2138896,988925
113,2011,118,1842598,978876
113,2012,118,1351890,1463507
113,2013,118,1431954,1676110
141,2011,118,0,9065
141,2012,118,0,819772
141,2013,118,0,615136
163,2010,118,1934502,861494
163,2011,118,2048539,825781
163,2012,118,1596902,751556
163,2013,118,1901613,766852
164,2010,118,5313219,230709
164,2011,118,4541824,305112
164,2012,118,3428873,796522
164,2013,118,4931622,169689
174,2010,118,4021350,5566327
174,2011,118,5543368,5787276
174,2012,118,5968358,5127690
174,2013,118,5626859,5350421
188,2010,118,1281386,2685076
188,2011,118,1292580,2569850
188,2012,118,1158606,2306492
188,2013,118,1242866,2251036
190,2010,118,1306968,1866403
190,2011,118,1405743,1678613
190,2012,118,1370973,2175361
190,2013,118,1454297,1950727
220,2012,118,372,233711
220,2013,118,2872,211038
220,2010,118,4457,174130
220,2011,118,9645,161694
272,2010,118,165056,22034
272,2011,118,261823,7521
272,2012,118,317964,2595
272,2013,118,356166,1443
272,2014,118,262292,21890
122,2010,119,4964,4635544
122,2011,119,2027,4776281
122,2012,119,657,4935090
122,2013,119,3698,3839017
122,2014,119,1779,4266726
122,2015,119,41828,3901139
139,2010,119,0,227456
139,2011,119,0,221003
139,2012,119,0,238186
139,2013,119,0,238487
139,2014,119,0,256738
139,2015,119,0,242702
180,2010,119,468039,128997
180,2011,119,699607,79953
180,2012,119,939610,69667
180,2014,119,910413,67408
180,2015,119,987164,5555
217,2010,119,1721509,878082
217,2011,119,1495656,706443
217,2012,119,1694046,585201
217,2013,119,1313274,630912
217,2014,119,1550175,664954
217,2015,119,1671934,706001
229,2010,119,233617,271359
229,2011,119,343324,263573
229,2012,119,378750,235684
229,2015,119,440545,183580
229,2013,119,379016,202274
229,2014,119,473833,215248
237,2010,119,25548,66776
237,2011,119,3265,119566
237,2012,119,8494,101601
237,2013,119,11060,93039
237,2014,119,162997,35078
237,2015,119,392224,75468
238,2015,119,188621,0
239,2010,119,1488037,521876
239,2011,119,1664624,490586
239,2012,119,1725478,326509
239,2013,119,1707668,558762
239,2014,119,1487414,582220
239,2015,119,669741,335415
240,2010,119,0,141480
240,2011,119,0,143386
247,2010,119,0,227753
247,2011,119,0,221001
247,2012,119,0,238186
247,2013,119,0,238485
247,2014,119,0,256735
247,2015,119,0,242696
197,2010,120,3802484,1063344
263,2010,120,1198892,1082748
263,2011,120,2342912,3500152
321,2010,120,205812,1637610
119,2010,122,8310856,3680276
119,2011,122,8721578,3947324
119,2012,122,9318709,4384276
119,2013,122,9150787,5315468
119,2014,122,9730636,5465689
119,2015,122,9654363,5795052
125,2011,122,14061541,0
125,2014,122,14241127,0
125,2015,122,17717671,0
125,2010,122,11061460,0
125,2012,122,16239817,0
125,2013,122,13834745,0
139,2010,122,5745541,3471510
139,2011,122,6700709,4561395
139,2012,122,6598797,4591423
139,2013,122,6408958,3680110
139,2014,122,6295450,3997396
139,2015,122,6246189,3460286
180,2010,122,245484,315326
180,2011,122,100812,321081
180,2012,122,112025,187887
180,2013,122,57463,166290
180,2014,122,13922,212760
180,2015,122,145246,138052
194,2010,122,6294132,129568
194,2011,122,13139648,10016
194,2012,122,14552357,14795
194,2013,122,12273874,85972
194,2014,122,13259942,79327
194,2015,122,7440427,10773
217,2010,122,2891884,14139724
217,2011,122,2938208,10814085
217,2012,122,3323490,9937050
217,2013,122,2936847,10719883
217,2014,122,2851705,10944676
217,2015,122,3282780,11554371
229,2010,122,6291648,109717
229,2011,122,7521098,55481
229,2012,122,9487469,56832
229,2013,122,9517042,8861
229,2014,122,5945052,162663
229,2015,122,9683775,298
232,2010,122,17754901,9222264
232,2011,122,18623796,7050453
232,2012,122,18432159,7188453
232,2013,122,17824187,7148267
232,2014,122,18244312,7494648
232,2015,122,18041352,7425384
237,2010,122,78941,4869391
237,2011,122,181068,5002192
237,2012,122,319750,5094603
237,2013,122,283992,4376749
237,2014,122,351856,4728758
237,2015,122,223949,4429336
238,2010,122,760867,2708662
238,2011,122,681072,4286640
238,2012,122,702989,3729454
238,2013,122,767045,3455802
238,2015,122,673183,3131863
238,2014,122,722837,3364742
239,2010,122,2369397,9138021
239,2011,122,1795927,12070654
239,2012,122,2765743,11413915
239,2013,122,2145355,11152762
239,2014,122,3175585,9537041
239,2015,122,4425288,8951663
240,2011,122,21192424,2678714
240,2010,122,19616794,3201211
240,2012,122,21062640,3623868
240,2013,122,20058731,5182333
243,2010,122,6138170,0
243,2011,122,8391721,0
243,2012,122,7557612,0
243,2013,122,6647683,0
243,2014,122,7447688,0
243,2015,122,8563680,0
247,2010,122,8346488,4007213
247,2011,122,8397824,5422521
247,2012,122,7858147,4797265
247,2013,122,8047651,4165512
247,2014,122,7884351,5051395
247,2015,122,7489853,4213139
249,2010,122,714628,1065
249,2011,122,882475,304
249,2012,122,902847,6171
249,2013,122,702790,8582
249,2014,122,667742,48887
249,2015,122,733854,6797
116,2015,125,2007290,10032381
116,2010,125,0,7850434
116,2011,125,0,7447484
116,2012,125,0,7142449
116,2013,125,1032395,8078478
116,2014,125,1174904,8571542
122,2013,125,44112,13877019
122,2014,125,23767,15696803
122,2015,125,0,17717596
122,2010,125,8737,11069152
122,2011,125,1611,14064746
122,2012,125,1615,16239056
182,2010,125,0,1607971
182,2011,125,0,1503872
182,2012,125,0,1712700
182,2013,125,0,2036702
182,2014,125,0,1946437
182,2015,125,0,2101384
194,2010,125,693924,18977091
194,2011,125,717967,21864567
194,2012,125,550347,24570260
194,2013,125,243308,22424214
194,2014,125,413322,22378788
194,2015,125,428545,17880612
210,2010,125,277163,1446093
210,2011,125,371407,1152765
210,2012,125,1608280,816010
210,2013,125,2584844,1063224
210,2014,125,1692524,1017492
210,2015,125,2626951,1645284
229,2010,125,397,83241
229,2011,125,3176,324375
229,2012,125,992,361241
229,2013,125,4882,314553
229,2014,125,414,370216
229,2015,125,787,427767
243,2010,125,108597,2895898
243,2011,125,0,5379807
243,2012,125,1010610,3646183
243,2013,125,915799,3002859
243,2014,125,365784,1893447
243,2015,125,153660,2850783
244,2014,125,56701,14418468
244,2015,125,0,14248824
244,2011,125,0,14081158
244,2012,125,0,17430149
244,2013,125,0,16572928
244,2010,125,0,16993641
249,2010,125,138562,123702
249,2011,125,138562,123702
249,2012,125,171571,133464
249,2013,125,191821,117684
249,2014,125,169136,137851
249,2015,125,158677,118499
267,2010,125,1217965,0
267,2011,125,548111,61834
267,2012,125,609407,101020
267,2013,125,379561,12386
267,2014,125,616018,639
267,2015,125,700172,7931
274,2010,125,0,1278230
274,2011,125,0,650552
274,2012,125,0,753458
274,2013,125,0,1159820
274,2014,125,0,1476779
274,2015,125,0,1955849
112,2010,133,79741,173216
112,2011,133,78661,243248
112,2012,133,116925,227136
112,2013,133,459823,135227
112,2014,133,519797,162436
112,2015,133,506934,242392
171,2010,136,201883,647852
171,2011,136,204407,663745
171,2012,136,6332,104756
171,2013,136,252562,733877
171,2014,136,225698,724642
171,2015,136,274182,821048
113,2010,137,914,916809
113,2011,137,3490,828399
113,2012,137,3926,853584
113,2013,137,936,845848
118,2013,137,658344,82314
118,2010,137,607098,105464
118,2011,137,677475,112476
118,2012,137,672635,102368
188,2010,137,96396,702150
188,2011,137,119951,804298
188,2012,137,158562,865856
188,2013,137,141335,839791
190,2010,137,55523,0
190,2011,137,56615,0
190,2012,137,54137,0
190,2013,137,56032,0
142,2010,138,433069,2204398
142,2011,138,339805,1810605
142,2012,138,154770,2387359
142,2013,138,283288,3153281
164,2011,138,437915,100139
164,2012,138,678939,103208
164,2013,138,1019549,21753
164,2010,138,406212,90198
119,2010,139,227456,0
119,2011,139,221003,0
119,2012,139,238186,0
119,2013,139,238487,0
119,2014,139,256738,0
119,2015,139,242702,0
122,2010,139,955,2541450
122,2011,139,3428172,6082983
122,2012,139,27711,2035085
122,2013,139,403,2729251
122,2014,139,19500,2317554
122,2015,139,14691,2800594
239,2015,139,25360,0
240,2010,139,415496,0
240,2011,139,351577,0
240,2012,139,376541,0
240,2013,139,367614,0
240,2014,139,19726834,3957613
240,2015,139,20177862,5520789
234,2010,140,1062326,19507
234,2011,140,1140761,14591
234,2012,140,964456,6825
234,2013,140,1076434,7284
234,2014,140,995908,24344
234,2015,140,954358,4488
253,2010,140,0,1328582
253,2011,140,36,1214782
253,2012,140,1,1152787
253,2013,140,204,1066895
253,2014,140,1258,916968
253,2015,140,143,1004038
118,2013,141,1132919,1748055
118,2011,141,1392611,1383546
118,2012,141,1344176,2163948
163,2011,141,112259,0
163,2012,141,189894,5
163,2013,141,180345,139
258,2013,141,252063,158702
138,2010,142,2204398,433069
138,2011,142,1810605,339805
138,2012,142,2387359,154770
138,2013,142,3031077,271317
164,2010,142,7474506,9128556
164,2011,142,7781387,9970206
164,2012,142,9046848,10846490
164,2013,142,7731168,10154010
195,2010,142,171746,101
195,2011,142,182451,72
195,2012,142,139692,1342
195,2013,142,157755,4
272,2010,149,12039,11551
244,2013,153,1328586,6221
244,2011,153,1172574,5460
244,2015,153,1823869,4347
244,2010,153,1216541,6312
244,2012,153,1734999,4867
244,2014,153,1130467,8766
116,2010,154,5883761,21739
116,2011,154,3662000,98821
116,2012,154,5095855,0
116,2013,154,6327302,156732
266,2014,154,0,1001
266,2015,154,0,2176080
156,2013,156,940007,832807
164,2011,156,755970,1000061
164,2012,156,920118,1004045
164,2013,156,832743,937636
164,2010,156,541186,1026797
103,2010,157,143621,595193
103,2011,157,112305,497697
103,2012,157,100172,589563
103,2013,157,46504,900314
103,2014,157,34640,723370
103,2015,157,31907,656181
230,2010,157,156635,3132216
230,2011,157,292862,2664175
230,2012,157,1384778,667483
230,2013,157,1036119,843909
230,2014,157,1043700,1502276
230,2015,157,1723443,569618
233,2013,157,10912716,4056679
233,2014,157,9601189,5879588
233,2015,157,8886961,4394189
233,2010,157,11310992,6973986
233,2011,157,10392185,4737034
233,2012,157,10233585,5736864
250,2010,157,71310,1180298
250,2011,157,95377,1403576
250,2012,157,113868,1449344
250,2013,157,219632,1085479
250,2014,157,293322,1289605
250,2015,157,377149,1171427
251,2010,157,3703311,2812867
251,2011,157,3477815,3709632
251,2012,157,3349072,4273531
251,2013,157,2924513,3624854
251,2014,157,2538071,3398562
251,2015,157,1977027,5097243
253,2010,157,2284746,298341
253,2011,157,1263545,757730
253,2012,157,485552,1484392
253,2013,157,1957409,298771
253,2014,157,1913803,522076
253,2015,157,1123883,961167
263,2010,157,5230,1486932
263,2011,157,9060,3359040
263,2012,157,5454,2655994
263,2013,157,1196,1568774
263,2014,157,5798,1361651
263,2015,157,9530,1292338
197,2010,159,7627963,8134181
197,2011,159,7131977,8050107
197,2012,159,128829,1499234
197,2013,159,2879448,3424263
230,2013,159,1614196,657338
230,2011,159,3546766,726619
230,2012,159,1228797,3684219
230,2010,159,2350567,1285908
263,2010,159,133373,1297998
263,2011,159,65696,4339102
263,2012,159,7530,5421016
263,2013,159,4329,2455196
321,2010,159,117038,82230
321,2011,159,326265,78473
236,2010,160,54215,1792612
236,2011,160,103418,1633829
236,2012,160,5155,2152337
236,2013,160,9280,2104264
236,2014,160,13513,1964052
236,2015,160,33075,1848997
259,2010,160,91008,0
259,2011,160,1225,90916
259,2012,160,4391,220674
259,2013,160,26,1277
266,2010,160,0,3533740
266,2011,160,0,3462227
266,2012,160,0,2671552
266,2013,160,0,2475532
266,2014,160,0,2302049
266,2015,160,0,2579201
197,2010,161,1016281,0
197,2011,161,1012489,0
197,2012,161,675882,2160077
197,2013,161,1504535,2
197,2014,161,1897664,0
197,2015,161,1761063,0
263,2010,161,8599120,2356920
263,2011,161,15516356,4682482
263,2012,161,13960512,1387202
263,2013,161,4362208,1020292
263,2014,161,2420249,1520141
263,2015,161,1963937,1265251
321,2010,161,647359,1489553
321,2011,161,791148,902291
321,2012,161,660722,1884446
321,2013,161,2477362,508569
321,2014,161,4308038,38390
321,2015,161,2582041,198926
110,2010,163,123808,821294
110,2011,163,145199,885423
110,2012,163,88895,1068239
110,2013,163,113299,778976
118,2010,163,861494,1934502
118,2011,163,825781,2048539
118,2012,163,751556,1596902
118,2013,163,766852,1901613
141,2011,163,0,112259
141,2012,163,0,189889
141,2013,163,0,180206
164,2010,163,300320,23830
164,2011,163,406614,18020
164,2012,163,425042,27621
164,2013,163,740770,15035
174,2010,163,137777,139157
174,2011,163,118128,155777
174,2012,163,114760,271771
174,2013,163,106192,173093
190,2010,163,718121,1748909
190,2011,163,822062,1678795
190,2012,163,769673,1726105
190,2013,163,706976,1942478
258,2010,163,1821214,929754
258,2011,163,1578071,706871
258,2012,163,1863214,725474
258,2013,163,1835110,742971
261,2010,163,323948,0
261,2011,163,327486,0
261,2012,163,323093,0
261,2013,163,339669,0
321,2013,163,32636,1433
321,2014,163,152194,5404
110,2013,164,966499,2692690
110,2010,164,1504082,2764597
110,2011,164,1284140,2443825
110,2012,164,1182395,2491522
118,2010,164,230709,5313219
118,2011,164,305122,4641824
118,2012,164,796522,3428873
118,2013,164,169689,4931622
138,2010,164,90198,406212
138,2011,164,100139,437915
138,2012,164,103208,678939
138,2013,164,21752,1015453
142,2010,164,9128556,7474506
142,2011,164,9970206,7781387
142,2012,164,10846490,9046848
142,2013,164,10598018,7963980
156,2010,164,1026797,541186
156,2011,164,1000061,755970
163,2010,164,23830,300320
163,2011,164,18020,406614
163,2012,164,27621,425042
163,2013,164,15035,740843
195,2010,164,843589,67373
195,2011,164,815443,61701
195,2012,164,786221,40791
195,2013,164,802104,59851
220,2010,164,1297845,203260
220,2011,164,1416879,191484
220,2012,164,1685568,101423
220,2013,164,1842544,449422
252,2010,164,126780,2239139
252,2011,164,491396,3499208
252,2012,164,519631,3437515
252,2013,164,654171,3133397
253,2010,164,3298748,5184425
253,2011,164,3999030,4240123
253,2012,164,4356661,4528477
253,2013,164,3680196,5666185
253,2014,164,2451905,7878446
258,2010,164,1742150,2201133
258,2011,164,1877081,2334342
258,2012,164,2422581,2101177
258,2013,164,1759476,2281225
263,2010,164,16010176,5228721
263,2011,164,30208158,8317338
263,2012,164,32445508,9732096
263,2013,164,14447163,4771824
288,2010,164,212542,484903
288,2011,164,300704,501463
288,2012,164,797476,35238
288,2013,164,514880,127548
289,2010,164,1048459,9129
289,2011,164,1054201,412705
290,2010,164,292071,7187
290,2011,164,291155,6226
291,2010,164,166152,6377445
291,2011,164,88003,7193271
291,2012,164,295066,9917732
291,2013,164,219822,6070495
292,2010,164,426341,8262
292,2011,164,408867,128276
294,2010,164,301263,7370
294,2011,164,291067,5997
294,2012,164,288130,2050
294,2013,164,273337,2248
313,2010,164,105329,2775757
313,2011,164,1706675,4194531
313,2012,164,1929052,4374877
313,2013,164,2050631,3804599
321,2010,164,331900,0
321,2011,164,309822,0
321,2012,164,312059,0
321,2013,164,294172,0
110,2010,165,525290,2428220
110,2011,165,656745,2836030
110,2012,165,416251,2574442
110,2013,165,228943,2742308
257,2015,165,554603,1005215
257,2014,165,58049,2029865
171,2010,170,3253521,2803493
171,2011,170,2994935,2812650
171,2012,170,3160504,3105076
171,2013,170,2152168,3971139
171,2014,170,2173035,4490414
171,2015,170,1965553,4907667
186,2010,170,6,905922
186,2011,170,1,751720
186,2012,170,0,650623
186,2013,170,24,682208
186,2014,170,1,687151
186,2015,170,37,609468
234,2010,170,8294389,6887010
234,2011,170,7439345,6363856
234,2012,170,7811057,6886421
234,2013,170,8921741,6243623
234,2014,170,9637069,6286773
234,2015,170,10692919,6790110
262,2015,170,808315,1872864
262,2011,170,935479,1857708
262,2012,170,921196,2241849
262,2013,170,781941,2098757
262,2014,170,723984,1906683
262,2010,170,786231,2400747
136,2015,171,543030,0
136,2010,171,445942,0
136,2011,171,474015,0
136,2012,171,496316,0
136,2013,171,486381,0
136,2014,171,507930,0
170,2010,171,3029835,3334155
170,2011,171,3011935,3072041
170,2012,171,3094235,3800426
170,2013,171,4002144,3999269
170,2014,171,4508537,4089497
170,2015,171,4933875,3681880
172,2010,171,395588,28222
172,2011,171,416251,22592
172,2012,171,287951,137694
172,2013,171,363439,2311
172,2014,171,354155,2233
172,2015,171,366133,1595
186,2012,171,1590594,977803
186,2010,171,2007958,7243192
186,2011,171,2157602,5078457
186,2013,171,2093175,4745366
186,2014,171,2026794,6127819
186,2015,171,2222578,4372903
234,2010,171,7954448,4536861
234,2011,171,7859590,4339113
234,2012,171,6866811,4424321
234,2013,171,7005577,3929231
234,2014,171,7882354,2812326
234,2015,171,7521560,3423332
248,2010,171,290143,6559686
248,2011,171,287843,6668560
248,2012,171,298025,6538594
248,2013,171,176330,6548750
248,2014,171,34098,6219074
248,2015,171,9029,6113758
253,2010,171,5196851,18604507
253,2011,171,5801056,16439124
253,2012,171,4809450,13017991
253,2013,171,6300675,14029908
253,2014,171,5085095,9822052
253,2015,171,4289052,10993360
262,2015,171,193015,2288989
262,2010,171,83253,3392518
262,2011,171,67807,3279845
262,2012,171,159804,2376272
262,2013,171,35002,3450148
262,2014,171,45013,3239215
171,2010,172,384,447082
171,2011,172,486,416210
171,2012,172,3448,260854
171,2013,172,2167,362101
171,2014,172,2293,354952
171,2015,172,1648,366768
234,2010,172,228597,196338
234,2011,172,185852,287811
234,2012,172,138566,291749
234,2013,172,146966,235200
234,2014,172,217629,96600
234,2015,172,268410,145036
110,2010,174,4375642,3225271
110,2011,174,4462528,3239545
110,2012,174,4315537,3131329
110,2013,174,5104076,2770454
118,2013,174,5350421,5626859
118,2010,174,5566327,4021350
118,2011,174,5787276,5543368
118,2012,174,5127690,5968358
163,2010,174,139157,137777
163,2011,174,155777,118128
163,2012,174,271771,114760
163,2013,174,173093,106192
220,2010,174,313203,397564
220,2011,174,318085,391515
220,2012,174,195287,561033
220,2013,174,706598,1903077
258,2010,174,231471,1475507
258,2011,174,286950,1284262
258,2012,174,179695,1145775
258,2013,174,307714,1162750
277,2010,174,750552,113254
277,2011,174,741570,150508
277,2012,174,646433,229893
277,2013,174,574677,207125
149,2010,175,157474,2808
119,2010,180,129957,468960
119,2011,180,80788,700444
119,2012,180,70103,940172
119,2013,180,65700,858247
119,2014,180,67733,910929
119,2015,180,5829,987386
122,2013,180,341356,117518
122,2014,180,344990,146262
122,2015,180,168327,175549
122,2010,180,584202,23468
122,2011,180,468744,46829
122,2012,180,273173,197397
217,2010,180,0,93486
217,2011,180,0,95391
217,2012,180,0,92031
217,2013,180,0,99544
217,2014,180,91,101168
217,2015,180,15,99198
228,2010,180,61569,2901510
228,2011,180,42501,1754609
228,2012,180,24876,1877197
228,2013,180,25978,2166496
228,2014,180,32539,2280650
228,2015,180,22717,2675988
229,2010,180,2148874,544444
229,2011,180,2543603,164372
229,2012,180,1627732,495920
229,2013,180,1118263,610031
229,2014,180,1843046,505262
229,2015,180,1387510,447684
249,2010,180,223745,669786
249,2011,180,937035,65458
249,2012,180,964554,46798
249,2013,180,477211,240974
249,2014,180,505772,170362
249,2015,180,1262629,44972
116,2010,182,456572,8797
116,2011,182,427219,2964
116,2012,182,430244,0
116,2013,182,436352,12889
116,2014,182,336423,6895
116,2015,182,172753,10527
125,2011,182,1503728,0
125,2014,182,1946596,0
125,2015,182,2101384,0
125,2010,182,1608004,0
125,2012,182,1712497,0
125,2013,182,2036753,0
274,2010,182,77592,0
274,2011,182,161526,0
274,2012,182,52422,0
274,2013,182,66603,0
274,2014,182,176219,0
274,2015,182,276378,0
211,2014,185,5406771,0
211,2010,185,0,2091090
211,2011,185,992489,971618
211,2012,185,1653875,519328
211,2013,185,3675371,216361
211,2015,185,5553759,100536
170,2010,186,905916,0
170,2011,186,751718,0
170,2012,186,650645,0
170,2013,186,682222,25
170,2014,186,687152,1
170,2015,186,609470,37
171,2010,186,6245878,2001694
171,2011,186,6148120,2150181
171,2012,186,5630687,1590608
171,2013,186,6129578,2083098
171,2014,186,3991640,2017226
171,2015,186,5522127,2206023
248,2010,186,810531,585
248,2011,186,580985,22063
248,2012,186,438478,14695
248,2013,186,539897,23718
248,2014,186,675157,3161
248,2015,186,664071,5210
253,2010,186,5140606,0
253,2011,186,5706637,0
253,2012,186,4714066,0
253,2013,186,6173534,0
253,2014,186,4172919,0
253,2015,186,5524829,0
188,2010,187,664780,430890
188,2011,187,697776,425838
188,2012,187,624942,673028
188,2013,187,711212,492282
190,2013,187,115792,490230
190,2010,187,113230,205758
190,2011,187,108246,374200
190,2012,187,101272,505899
113,2010,188,8408835,7770688
113,2011,188,9605885,7513376
113,2012,188,11611351,7527185
113,2013,188,11228684,6777338
118,2013,188,2272166,1242866
118,2010,188,2685076,1281386
118,2011,188,2569850,1292580
118,2012,188,2306617,1158606
163,2010,188,3501,845056
163,2011,188,4272,1091380
163,2012,188,2658,1331839
163,2013,188,3754,1247972
187,2013,188,492282,711212
187,2010,188,430890,664780
187,2011,188,425838,697776
187,2012,188,673028,624942
190,2010,188,14517370,12390270
190,2011,188,13822957,12859099
190,2012,188,14874707,13526620
190,2013,188,19537729,18937825
261,2010,188,565195,0
261,2011,188,758399,0
261,2012,188,995123,0
261,2013,188,1651590,0
321,2010,188,1725703,131417
321,2011,188,1494375,195049
321,2012,188,1851000,91946
321,2013,188,1562228,207792
321,2014,188,285009,28204
110,2010,190,1238299,867107
110,2011,190,749990,926069
110,2012,190,554946,1672221
110,2013,190,860950,681282
113,2010,190,283297,201169
113,2011,190,25664,344899
113,2012,190,52139,283186
113,2013,190,66163,226422
118,2010,190,1866403,1306968
118,2011,190,1678613,1405743
118,2012,190,2175361,1370973
118,2013,190,1950727,1454297
163,2010,190,1748909,718121
163,2011,190,1678795,822062
163,2012,190,1726105,769673
163,2013,190,1942478,706976
187,2010,190,205758,113230
187,2011,190,374200,108246
187,2012,190,505908,101272
187,2013,190,490230,115792
188,2010,190,7707052,9960861
188,2011,190,8229240,10334957
188,2012,190,8824309,10944175
188,2013,190,14651526,16120209
209,2012,190,33051,140992
