# File: EIA_923_generator_gen_fuel_2023.csv# Title: EIA Form 923 generation data for year 2023# Unit: MWh# Comments: Selected columns from original form# Source: https://www.eia.gov/electricity/data/eia923/archive/xls/f923_2023.zip; EIA923_Schedules_2_3_4_5_M_12_2023_Final; Page 4 Generator Data from file# Column types: cicn# ----------State,Plant.Id,Generator.Id,Net.Generation.Year.To.Date
LA,1396,U6CT,844857
LA,1396,7,853853
LA,1400,3,170078
LA,1402,2,12482
LA,1402,3,563494
LA,1403,6(4),1499566
LA,1403,6A,1376849
LA,1403,6C,1551786
LA,1403,5,2238208
LA,1403,6B,1382342
LA,1416,5,177828
LA,1417,3,75663
LA,1417,4,63586
LA,1439,14,0
LA,1439,16,0
LA,1439,15,-1089
LA,1464,2,62211
LA,1464,1,90814
ME,1507,3,2448
ME,1507,1,0
ME,1507,4,38086
ME,1507,2,0
MD,1554,4,19221
MD,1554,3,41834
MD,1554,1,7013
MD,1564,8,2812
MD,1571,4,291165
MD,1571,3,377986
MA,1588,ST85,223875
MA,1588,GT94,212852
MA,1588,GT93,215782
MA,1588,GT82,214769
MA,1588,GT81,212895
MA,1588,ST96,226264
MA,1595,GEN4,1356851
MA,1595,3,166149
MA,1599,2,43764
MA,1599,1,16687
MA,1660,CC2,0
MA,1660,CC3,0
MA,1682,9A,12263
MA,1682,CA9,37501
MI,1702,4,9472
MI,1702,1B,0
MI,1702,2B,0
MI,1702,1A,438520
MI,1702,3,4987
MI,1702,2A,160198
MI,1710,2,779654
MI,1710,3,4589679
MI,1710,1,1245439
MI,1733,2,3721994
MI,1733,1,2380852
MI,1733,3,3040786
MI,1733,4,2331661
MI,1743,2,0
MI,1743,7,0
MI,1743,6,0
MI,1743,3,0
MI,1745,9,0
MI,1772,1,125510
MI,1866,6,0
MI,1866,4,0
MI,1866,5,0
MI,1866,7,0
MN,1891,1,60451
MN,1891,2,49839
MN,1893,4,2902785
MN,1893,3,2139333
MN,1897,3,36329
MN,1897,4,31860
MN,1904,5,871073
MN,1904,2,516489
MN,1912,9,969122
MN,1912,8,697204
MN,1912,7,773349
MN,1915,1,928387
MN,1926,2,68901
MN,1926,1,65676
MN,1927,10,774129
MN,1927,9,847063
MN,1927,ST7,847899
MN,1934,2,54587
MN,1934,1,42446
MN,1943,3,0
MN,1943,2,0
MN,1979,3,2800
MN,1979,6,24113
MN,1979,5,41389
MN,2001,6,317
MN,2001,4,789
MN,2001,3,0
MS,2049,5,2005807
MS,2049,4,1264240
MS,2050,1,0
MS,2059,9,57
MS,2059,7,0
MS,2059,8,33
MS,2059,6,0
MS,2067,GT1,0
MS,2067,2,0
MS,2067,3,0
MS,2070,3,57710
MS,2070,GTG2,585648
MS,2070,2,402158
MS,2070,1,338270
MS,2070,GTG1,510604
MO,2079,5,2230848
MO,2079,6,132858
MO,2079,9,-201890
MO,2098,3,-3171
MO,2098,1,-1241
MO,2098,4,46941
MO,2098,2,-5107
MO,2103,3,3807613
MO,2103,2,4267979
MO,2103,4,3441672
MO,2103,1,4265230
MO,2104,3,-703
MO,2104,2,0
MO,2104,4,0
MO,2104,1,-1199
MO,2107,2,1484022
MO,2107,1,1566489
MO,2123,8,4223
MO,2167,1,2903414
MO,2167,2,1807290
MO,2168,1,1027472
MO,2168,2,1737897
MO,2168,3,3172274
NE,2226,1,23527
NE,2240,6,42108
NE,2240,7,79853
NE,2240,8,382369
NE,2244,5,2989
NE,2244,4,2461
NE,2277,2,351272
NE,2277,1,369637
NE,2291,2,24103
NE,2291,1,10243
NE,2291,5,904677
NE,2291,3,127519
NE,2291,4,502957
NV,2322,GT7,41659
NV,2322,GT8,96229
NV,2322,GT5,63344
NV,2322,9,57111
NV,2322,GT6,96013
NV,2322,10,78428
NV,2330,2,205169
NV,2330,1,213048
NV,2336,3,38365
NV,2336,4,273533
NV,2336,8,1064740
NV,2336,9,1040391
NV,2336,5,111149
NV,2336,10,1239720
NH,2364,2,126531
NH,2364,1,33888
NH,2367,4,0
NH,2367,5,0
NH,2367,6,0
NJ,2393,6,4352
NJ,2393,4,3833
NJ,2393,7,4872
NJ,2393,5,3720
NJ,2393,8,2974
NJ,2398,2101,519765
NJ,2398,2201,567163
NJ,2398,1401,196015
NJ,2398,1201,126615
NJ,2398,1101,73909
NJ,2398,1501,267656
NJ,2398,1301,188319
NJ,2398,2301,670640
NJ,2406,2201,764895
NJ,2406,2101,866121
NJ,2406,1001,772906
NJ,2406,1201,644263
NJ,2406,1101,587491
NJ,2406,2001,1032811
NJ,2411,701,2117431
NJ,2411,702,1084551
NM,2442,4,3755189
NM,2442,5,3679722
NM,2444,7,96724
NM,2444,8,643151
NM,2444,6,81266
NM,2446,1,479994
NM,2450,3,211082
NM,2450,2,82733
NM,2450,1,126786
NM,2454,1,-591
NM,2454,2,619916
NY,2480,1,1485
NY,2480,3,4456
NY,2480,2,1321
NY,2480,4,11945
NY,2490,3,225794
NY,2490,2,817923
NY,2493,7,557882
NY,2493,6,498737
NY,2500,3,323862
NY,2500,1,257203
NY,2500,4,1909641
NY,2500,4S,0
NY,2500,2,211036
NY,2511,ST2,491691
NY,2511,ST1,806895
NY,2516,ST1,730139
NY,2516,2,659117
NY,2516,4,281336
NY,2516,3,719572
NY,2517,4,122109
NY,2517,3,169910
NY,2527,4,624116
NY,2539,5,1365426
NY,2539,7,1359921
NY,2539,6,1364805
NY,2539,8,267718
NY,2594,ST6,30760
NY,2594,ST5,16174
NY,2625,2,234586
NY,2625,1,701243
NY,2682,6,8906
NY,2682,5,1658
NC,2706,CT5,1366017
NC,2706,CT7,1108276
NC,2706,ST8,562047
NC,2706,ST6,708552
NC,2712,2,1250394
NC,2712,1,915694
NC,2712,3,1334918
NC,2712,4,539819
NC,2718,4,0
NC,2718,1,42964
NC,2718,2,0
NC,2718,5,37795
NC,2720,CT12,1126791
NC,2720,CT11,1111803
NC,2720,ST10,1580825
NC,2721,6,4293742
NC,2721,5,951065
NC,2723,CT8,1056661
NC,2723,CT9,1096716
NC,2723,ST7,1576101
NC,2727,4,3018573
NC,2727,3,2294386
NC,2727,2,797444
NC,2727,1,788992
ND,2790,1,0
ND,2790,2,0
ND,2817,2,2328164
ND,2817,1,927943
ND,2823,2,2754393
ND,2823,1,1749503
OH,2828,1,2966543
OH,2828,2,3648583
OH,2828,3,3064733
OH,2832,7,1535076
OH,2832,8,1246457
OH,2866,5,-2040
OH,2866,7,176462
OH,2866,6,721791
OH,2876,4,898474
OH,2876,1,928111
OH,2876,3,872731
OH,2876,5,933381
OH,2876,2,929125
OH,2878,1,938385
OH,2935,11,4231
OH,2935,10,4576
OH,2935,9,1816
OH,2936,ST2,0
OH,2936,5,1
OH,2936,7,698
OH,2936,3,0
OK,2951,ST7,0
OK,2951,8,374323
OK,2951,6,300280
OK,2952,6,786861
OK,2952,4,598163
OK,2952,5,419958
OK,2956,1,814089
OK,2956,3,850377
OK,2956,2,996161
OK,2963,2,971131
OK,2963,3,1520314
OK,2963,1A,617252
OK,2963,1B,113233
OK,2963,1,267867
OK,2964,1,36756
OK,2964,2,105578
OK,2964,3,705648
OK,2965,4,129099
OK,2965,2,85218
OK,3006,2,0
OK,3006,3,0
OK,3006,1,0
OK,3006,4,299764
OK,3006,5,465829
OK,3006,6,179438
OK,3008,3,41374
OK,3008,1,13135
OK,3008,2,32310
PA,3096,2B,25243
PA,3096,ST4,25270
PA,3096,2A,27919
PA,3096,3,26965
PA,3118,2,758095
PA,3118,1,2101222
PA,3122,3,663217
PA,3122,1,384559
PA,3122,2,-33115
PA,3130,FB1,2031753
PA,3131,3,607383
PA,3131,4,610927
PA,3131,1,172727
PA,3131,2,159744
PA,3136,1,1403806
PA,3136,2,1359644
PA,3138,3,254647
PA,3138,4,333350
PA,3138,5,310144
PA,3140,2,1114997
PA,3140,3,892045
PA,3140,1,677851
PA,3148,3,216297
PA,3148,4,326495
PA,3149,2,283266
PA,3149,1,279019
PA,3161,3,14387
PA,3161,4,12237
PA,3176,6,239394
PA,3176,3,116796
PA,3176,5,246833
RI,3236,G10A,381776
RI,3236,G11A,413923
RI,3236,GE9A,372024
RI,3236,GE11,203896
RI,3236,GE10,178980
RI,3236,GEN9,173820
SC,3264,3,0
SC,3264,CT11,1741479
SC,3264,CT12,1781111
SC,3264,ST10,2428290
SC,3287,2,410346
SC,3287,1,318725
SC,3295,3,130438
SC,3295,CT1,557699
SC,3295,2,211732
SC,3295,CT2,710126
SC,3295,1,187418
SC,3297,1,435151
SC,3297,2,1308855
SC,3298,ST1,1994060
TN,3393,STG1,1492199
TN,3393,CTG1,1921986
TN,3393,CTG2,1921118
TN,3396,1,755288
TN,3399,1,3637986
TN,3399,2,4981532
TN,3403,4,1090798
TN,3403,1,814914
TN,3403,2,812820
TN,3403,3,983111
TN,3405,CTG2,891754
TN,3405,STG1,1549101
TN,3405,CTG1,869495
TN,3405,CTG3,970193
TN,3407,1,158856
TN,3407,9,161696
TN,3407,5,444411
TN,3407,2,260046
TN,3407,6,196748
TN,3407,8,256052
TN,3407,7,118690
TN,3407,3,395319
TN,3407,4,420261
TX,3441,8,491007
TX,3441,9,533389
TX,3441,7,42042
TX,3443,5,371736
TX,3443,7,602342
TX,3452,1,116459
TX,3452,2,783210
TX,3453,7,133579
TX,3453,8,374610
TX,3453,6,97063
TX,3456,1,261051
TX,3456,2,238630
TX,3456,5CT2,387964
TX,3456,CT2,413036
TX,3456,3,96960
TX,3456,CT1,440362
TX,3456,5CT1,396543
TX,3456,4,395342
TX,3456,5CA1,521244
TX,3457,2,949829
TX,3457,1,838946
TX,3459,5,647556
TX,3459,4,1925440
TX,3459,1,449119
TX,3459,3,780595
TX,3460,1,1565028
TX,3460,2,1375312
TX,3469,31,72325
TX,3469,43,64933
TX,3469,41,55995
TX,3469,33,72724
TX,3469,44,79010
TX,3469,32,95301
TX,3469,34,69449
TX,3469,3,119354
TX,3469,4,80962
TX,3469,42,65665
TX,3470,4,559297
TX,3470,5,2903410
TX,3470,8,1147128
TX,3470,6,2683142
TX,3470,2,170326
TX,3470,7,2786399
TX,3470,1,139615
TX,3470,3,352449
TX,3476,5,476641
TX,3478,2,432948
TX,3478,3,547417
TX,3478,1,134562
TX,3482,1,768250
TX,3482,2,569989
TX,3484,2,368464
TX,3484,1,316080
TX,3484,3,526108
TX,3485,2,0
TX,3485,1,0
TX,3485,3,0
TX,3485,4,660298
TX,3490,1,497016
TX,3490,2,653086
TX,3491,4,517971
TX,3491,5,476968
TX,3491,3,524215
TX,3504,ST2,865524
TX,3504,ST1,214515
TX,3507,6,330587
TX,3548,2,0
TX,3559,9,67408
TX,3559,6,8317
TX,3576,3,49482
TX,3576,1,0
TX,3576,2,35838
TX,3601,1,221472
TX,3601,2,280536
TX,3601,3,693703
TX,3602,2,0
TX,3602,1,0
TX,3604,8,29766
TX,3604,7,5517
TX,3604,6A,0
TX,3611,2,788665
TX,3611,1,1116137
TX,3612,3,935670
TX,3612,2,160225
TX,3612,1,331258
TX,3628,1,0
TX,3628,3,215621
TX,3628,2,146593
TX,3631,8,77980
TX,3631,7,88130
TX,3631,10,64758
TX,3631,9,83092
UT,3648,1,40744
UT,3648,3,138388
UT,3648,2,56025
VA,3775,1,41208
VA,3775,2,44552
VA,3797,5,120314
VA,3797,6,313580
VA,3797,CT7,934114
VA,3797,CW7,0
VA,3797,CW8,0
VA,3797,CT8,1061166
VA,3804,6A,273069
VA,3804,6B,1595787
VA,3804,6ST,0
VA,3809,3,0
WA,3845,2,4143372
WV,3935,1,1767650
WV,3935,2,2264979
WV,3935,3,4497597
WV,3943,2,2529090
WV,3943,1,1838764
WV,3944,2,4304333
WV,3944,1,4034373
WV,3944,3,2853965
WV,3948,2,2002355
WV,3948,1,1324949
WV,3954,2,1207488
WV,3954,3,1314067
WV,3954,1,997714
WI,3982,5,154889
WI,3982,6,0
WI,3992,6,9834
WI,3992,7,-273
WI,4005,2,32281
WI,4005,1,30327
WI,4040,1CT1,1360355
WI,4040,2CT1,1330759
WI,4040,2CT2,1304039
WI,4040,1CT2,1385180
WI,4040,ST2,1527338
WI,4040,ST1,1562749
WI,4041,8,1018644
WI,4041,7,1222345
WI,4041,6,738604
WI,4041,5,602128
WI,4042,1,256269
WI,4042,2,120877
WI,4050,5,1938022
WI,4078,3,585582
WI,4078,2,0
WI,4078,4,2845247
WI,4125,6,-491
WI,4125,9,103309
WI,4125,5,91566
WY,4158,4,1610685
WY,4158,1,477461
WY,4158,2,407460
WY,4158,3,1041791
WY,4162,2,946345
WY,4162,3,879601
WY,4162,1,940757
TX,4195,ST1,6111
TX,4195,ST3,17879
TX,4195,ST2,9879
TX,4266,4,19308
TX,4266,5,26619
WI,4271,1,1249276
TX,4937,CT-2,1164968
TX,4937,CT-1,1220028
TX,4937,STG,1389340
TX,4939,1,186317
TX,4939,4,639824
TX,4939,3,635088
TX,4939,2,79467
OK,4940,1,574635
OK,4940,2,527599
AL,6002,1,3370452
AL,6002,2,3491576
AL,6002,3,4498145
AL,6002,4,4485913
WV,6004,2,2362655
WV,6004,1,2220360
AR,6009,2,2314118
AR,6009,1,1246735
CA,6013,O1,0
CA,6013,O2,0
IL,6017,1,3082246
IL,6017,2,0
KY,6018,2,2215274
CO,6021,1,1796984
CO,6021,3,1801183
CO,6021,2,1112362
ND,6030,2,4254067
ND,6030,1,2912469
MI,6034,ST1,3269756
MI,6034,ST2,2584118
MI,6035,1,897138
KY,6041,2,2826017
KY,6041,3,1661098
KY,6041,1,1336490
KY,6041,4,1673516
FL,6042,1,-12747
FL,6042,2,-10387
FL,6042,A,1172113
FL,6042,D,915060
FL,6042,C,1017701
FL,6042,B,1149509
FL,6042,3,2408788
FL,6043,4GT1,491805
FL,6043,8A,870255
FL,6043,8D,838752
FL,6043,8B,927434
FL,6043,3GT2,475465
FL,6043,3GT1,459957
FL,6043,8C,776829
FL,6043,4GT2,500609
FL,6043,3ST,534105
FL,6043,4ST,514676
FL,6043,8,2056349
GA,6052,1,0
GA,6052,2,0
LA,6055,2,944543
LA,6055,3,1070741
LA,6055,1,309329
HI,6056,3,58468
HI,6056,2,11173
HI,6056,4,59426
HI,6056,1,10929
MS,6061,MOR2,2002231
MS,6061,MOR1,857316
KS,6064,1,683047
MO,6065,1,2130661
MO,6065,2,2731229
KS,6068,2,3162680
KS,6068,3,-25768
KS,6068,1,2714027
KY,6071,2,3869159
KY,6071,1,3107855
MS,6073,3ST,1412235.1
MS,6073,4ST,1375124
MS,6073,1,111752
MS,6073,2,1391583
MS,6073,3,1321519
MS,6073,4CT,1237017.8
MS,6073,4,1316073.3
MS,6073,3CT,1322738.1
MT,6076,3,5444165
MT,6076,4,5376279
NE,6077,2,3908856
NE,6077,1,3768143
MA,6081,CT1,5840
MA,6081,CT2,3667
MA,6081,CT3,5104
MA,6081,CA1,2165
IN,6085,18,704410
IN,6085,14,-8315
IN,6085,15,-2883
IN,6085,17,838621
MN,6090,2,1111751
MN,6090,1,2609169
MN,6090,3,2987619
OK,6095,2,487211
OK,6095,1,500814
NE,6096,2,2711617
NE,6096,1,3246354
SD,6098,1,1566639
WY,6101,1,1776490
CO,6112,4,852046
CO,6112,3,912609
CO,6112,2,799968
CO,6112,1,1431470
IN,6113,4,1190223
IN,6113,1,2436622
IN,6113,2,1940823
IN,6113,5,1461369
IN,6113,3,941873
IN,6137,1,758554
IN,6137,2,992840
AR,6138,1,2065083
TX,6139,3,1643848
TX,6139,1,1935485
TX,6146,3,3616114
TX,6146,2,3730768
TX,6146,1,3975274
MO,6155,1,363416
MO,6155,2,405802
CT,6156,1,17592
UT,6165,3,985417
UT,6165,1,1362245
UT,6165,2,1246632
IN,6166,2,1359809
IN,6166,1,1133843
AZ,6177,CO1,1367989
AZ,6177,CO2,1714140
TX,6178,1,2660191
TX,6179,1,2709980
TX,6179,2,2780930
TX,6179,3,2154356
TX,6180,OG1,6031273
TX,6180,OG2,5980510
TX,6183,1,1384087
LA,6190,3,1130088
LA,6190,2,1589560
LA,6190,1,1385858
TX,6193,3,1280554
TX,6193,2,915905
TX,6193,1,1014833
TX,6194,2,1276064
TX,6194,1,1431554
MO,6195,ST2,1010706
MO,6195,ST1,849463
WY,6204,2,3764689
WY,6204,1,1938968
WY,6204,3,3761269
IN,6213,1,2293076
IN,6213,2,1991379
TX,6243,1,93634
CO,6248,1,2711798
SC,6249,2,898610
SC,6249,4,531119
SC,6249,1,796660
SC,6249,3,420287
NC,6250,1,1216965
IA,6254,1,3140616
GA,6257,1,3421699
GA,6257,2,1159954
GA,6257,3,1879800
WV,6264,1,4968702
AK,6285,GT3,292458
AK,6285,STG1,63862
AK,6288,1,144933
AK,6288,2,230845
MN,6358,2,24910
MN,6358,3,24
ND,6469,1,2617162
ND,6469,2,2317387
HI,6474,ST1,0
UT,6481,1,2338703
UT,6481,2,2110177
HI,6504,14,74960
HI,6504,19,106394
HI,6504,16,101808
HI,6504,17,104907
HI,6504,15,61285
HI,6504,18,64234
AK,6559,7,43448
AK,6559,10,301650
AK,6559,9,326524
AK,6559,11,196295
KY,6639,2,12888
KY,6639,1,130809
AR,6641,1,2672817
AR,6641,2,2070433
IA,6664,1,3612095
IN,6705,3,684550
IN,6705,1,703889
IN,6705,4,1827740
IN,6705,2,922744
CO,6761,1,1311515
MO,6768,1,1359345
OK,6772,1,635257
KY,6823,1,2899169
KS,7013,4,3701
TX,7030,2,1212535
TX,7030,1,1106881
NV,7082,5,633912
NV,7082,6,584540
NV,7082,7,672294
TX,7097,2,3225287
TX,7097,1,1852607
HI,7130,1,0
DE,7153,HR3,183272
DE,7153,HR6,226292
DE,7153,HR2,194521
DE,7153,HR7,225394
DE,7153,HR5,253393
DE,7153,HR1,208101
DE,7153,HR8,369372
DE,7153,HR4,296739
SC,7210,ST1,1375971
VA,7213,1,101588
VA,7213,2,146341
FL,7238,4,1212429
FL,7238,2,274386
FL,7238,3,998702
FL,7238,2A,175102
FL,7238,3A,590761
FL,7238,4A,922350
FL,7242,5,873581
FL,7242,3,916557
FL,7242,2,934754
FL,7242,1CT,100168
FL,7242,4,870598
FL,7242,2CC,2111150
FL,7242,1CA,41116
CA,7266,3,190072
CA,7266,2,56208
