# File: CBECS_1989.csv
# Title: Commercial Buildings Energy Consumption Survey 1989
# Units: BLDGID4: building identifier;SQFT4: square footage;YRCONC4: year constructed;PBA4: principal building activity;ADJWT4: adjusted sampling weight
# Source: https://www.eia.gov/consumption/commercial/data/previous/
# Column types: iiiiiin 
# ----------
BLDGID4,REGION4,CENDIV4,SQFT4,YRCONC4,PBA4,ADJWT4
221,4,8,20000,6,2,1790.57
222,3,5,6000,6,4,496.13
223,3,6,1500,3,1,2124.65
224,4,8,30000,5,13,5.2
225,1,2,700000,4,15,10.04
226,4,9,140000,6,12,163.32
227,4,8,15000,2,2,497.58
228,3,5,4500,8,6,10
229,4,9,17500,9,3,657.7
230,2,3,6000,1,1,682.05
231,1,1,60000,9,12,9.91
232,3,5,25001,6,12,239.78
233,4,9,17500,8,12,268.52
234,4,9,7000,7,12,502.74
235,4,9,8000,5,6,1654.84
236,1,2,1500,3,14,1468.67
237,4,8,60000,9,13,463.53
238,1,1,140000,6,2,10.28
239,1,2,15000,8,3,2039.07
240,4,9,300000,9,19,1.07
241,4,9,22500,7,2,256.39
242,2,3,10000,5,4,1636.49
243,4,9,6000,4,3,418.26
244,3,7,6000,8,13,10.73
245,1,2,1500000,5,2,7.37
246,2,3,10000,6,3,1991.37
247,3,7,2000,4,2,1616.48
248,1,2,2000,5,19,2184.21
249,3,7,6000,4,12,2170.72
250,3,7,40000,5,12,22.3
251,1,2,8000,4,3,597.34
252,3,5,600000,5,15,20.54
253,3,7,1001,6,3,2650.99
254,3,7,800000,6,2,10.39
255,3,5,5000,8,2,1597.65
256,1,2,8000,1,12,1849.99
257,1,2,350000,6,15,20.84
258,1,1,9000,7,2,20.83
259,3,5,140000,2,13,22.94
260,2,3,2500,4,12,1991.37
261,3,7,180000,5,4,306.28
262,2,4,3000,5,12,1991.37
263,2,3,40000,5,3,610.82
264,3,5,22500,4,2,459.35
265,4,9,180000,9,19,10.09
266,3,5,2000,3,14,3.13
267,1,2,6000,5,16,1468.67
268,4,9,35000,1,12,268.52
269,1,2,250000,6,13,10.05
270,3,7,10001,3,4,496.13
271,2,3,120000,8,15,306.28
272,3,5,17500,3,3,358.11
273,4,8,25000,6,17,497.58
274,4,9,12500,5,2,1735.25
275,4,9,250000,4,12,163.32
276,3,6,30000,2,2,1597.65
277,1,2,1500000,6,15,10.04
278,4,9,2000,5,2,1.44
279,4,9,25000,7,12,657.7
280,3,7,50001,7,13,1.13
281,3,7,12500,8,12,235.53
282,2,3,350000,7,12,10.74
283,2,3,9000,5,12,6.25
284,2,4,30000,6,12,1904.68
285,4,9,30000,5,12,673.4
286,2,4,45000,5,12,306.28
287,3,5,1500,5,13,1472.34
288,2,3,17500,6,13,306.28
289,1,2,12500,7,4,654.5
290,2,4,600000,6,2,10.06
291,2,3,80000,4,13,389.8
292,2,3,400000,7,13,10.06
293,3,6,2000,7,12,2774.63
294,3,5,2500,4,2,98.36
295,3,5,80000,6,3,470.24
296,1,2,10001,1,14,1468.67
297,3,7,500001,9,2,21.38
298,1,1,120000,5,7,317.29
299,3,6,70000,4,13,320.86
300,3,5,60000,5,3,358.11
301,1,2,1500000,6,2,5.02
302,3,7,100001,5,3,358.11
303,2,4,22500,7,13,282.68
304,3,5,2000,7,2,1597.65
305,2,3,8000,6,3,610.82
306,2,4,120000,9,17,12.8
307,1,2,600000,3,6,10.28
308,2,3,12500,6,3,487.36
309,2,3,500001,6,3,10
310,2,4,1500,4,3,1636.49
311,2,4,35000,7,12,98.23
312,3,5,15000,7,17,496.13
313,4,9,1500,3,3,2004.53
314,4,8,2000,4,3,657.7
315,1,2,500000,6,4,10.28
316,3,6,500000,5,1,10.39
317,2,3,4000,5,1,1991.37
318,1,2,50000,1,2,306.28
319,3,5,7000,6,4,1595.2
320,4,9,7000,5,2,1735.25
321,2,3,1500000,5,3,10.74
322,4,8,35000,8,4,268.52
323,3,7,500001,7,2,10.39
324,3,6,10001,5,3,2650.99
325,4,9,2000,5,13,1.1
326,2,3,500000,2,12,10.74
327,2,3,1001,6,12,474.3
328,1,1,2000,3,20,490.89
329,1,1,15000,1,4,490.89
330,3,5,50001,6,12,22.79
331,4,8,2000,4,2,1509.24
332,4,9,3000,5,4,1654.84
333,3,7,17500,4,4,235.53
334,3,5,15000,4,2,2155.25
335,2,4,7000,4,3,1904.68
336,2,3,1001,4,12,98.23
337,3,5,35000,5,13,2.56
338,1,2,6000,5,3,1627.29
339,4,9,250000,4,2,163.32
340,2,3,250000,5,13,306.28
341,3,7,15000,5,13,321.32
342,2,4,1500,6,14,1508.84
343,4,9,22500,8,10,461.96
344,3,5,1000000,7,15,21.23
345,2,4,400000,4,13,20.14
346,4,8,3000,3,4,1935.1
347,3,5,5001,4,3,26.35
348,1,2,350000,5,3,98.71
349,3,6,10001,9,7,661.4
350,2,3,50001,3,16,306.28
351,3,5,25001,5,12,358.11
352,3,7,1500,5,3,1595.2
353,3,7,2500,8,4,498.98
354,1,1,30000,4,3,476.91
355,1,2,6000,4,13,1638.2
356,3,5,3000,3,12,2124.65
357,3,7,3000,8,13,1472.34
358,1,1,10001,6,3,796.43
359,3,5,100000,6,12,156.48
360,2,4,2500,4,12,5
361,3,6,4000,6,3,2650.99
362,4,9,90000,6,15,1.1
363,2,3,1500,5,12,10.04
364,4,8,3000,8,12,502.74
365,2,4,60000,6,2,229.73
366,3,6,45000,5,12,314.04
367,2,3,45000,8,20,157.88
368,4,9,30000,5,4,362.37
369,3,5,10000,5,4,498.98
370,3,7,10000,5,4,1595.2
371,1,2,5000,6,3,597.34
372,2,4,17500,6,3,1636.49
373,4,8,3000,5,3,2806.34
374,3,7,250000,5,4,156.48
375,4,9,1001,1,4,1654.84
376,3,5,10000,3,13,1472.34
377,2,4,2500,4,2,652.96
378,4,9,1300000,6,3,5.74
379,2,3,22500,4,13,509.17
380,3,5,100000,6,3,259.98
381,4,8,450000,9,2,10.09
382,3,7,4000,2,12,2170.72
383,4,9,45000,9,2,256.39
384,3,5,6000,5,4,498.98
385,3,7,2000,5,3,1859.44
386,1,1,4000,3,4,1377.41
387,3,7,1001,2,6,2170.72
388,1,2,45000,4,12,157.78
389,1,1,90000,5,3,1.87
390,2,3,35000,4,3,306.28
391,3,5,3000,3,12,2124.65
392,2,3,1500,9,12,1583.83
393,1,2,300000,8,2,20.83
394,2,3,12500,5,3,610.82
395,1,1,10000,3,1,1627.29
396,3,5,6000,6,12,498.98
397,2,3,2000,8,4,1991.37
398,4,9,12500,6,3,537.78
399,2,4,350000,6,3,26.97
400,2,3,2000,4,2,1636.1
401,2,3,6000,4,12,474.3
402,3,5,20000,6,13,25.89
403,4,8,900000,2,1,163.32
404,3,5,300000,9,17,21.38
405,2,4,1500,6,7,1636.1
406,2,3,50001,6,3,412.5
407,4,9,30000,7,2,256.39
408,2,3,45000,7,2,229.73
409,2,3,2000,3,3,389.8
410,1,2,300000,5,13,20.14
411,4,8,17500,7,2,492.68
412,2,3,35000,5,2,10.74
413,3,6,4000,3,4,652.28
414,2,3,17500,4,1,509.17
415,3,7,12500,5,1,470.24
416,2,3,45000,6,12,157.88
417,3,7,1500,5,12,2170.72
418,1,2,8000,7,2,1627.29
419,3,5,180000,6,12,346.63
420,3,6,1500,3,3,2650.99
421,2,3,1001,3,1,1583.83
422,1,2,12500,7,3,597.34
423,3,7,6000,5,4,1595.2
424,2,4,5000,6,3,1904.68
425,3,7,8000,7,3,22.3
426,3,6,2500,5,12,2170.72
427,3,5,2000,7,3,347.16
428,3,6,500000,6,15,10.04
429,4,9,25001,5,4,460.95
430,4,9,40000,6,19,1.17
431,2,3,35000,6,2,306.28
432,4,9,4500,3,4,1735.25
433,2,3,3000,7,2,1636.1
434,3,7,60000,9,1,1.02
435,3,5,250000,9,3,10.09
436,1,2,60000,4,16,20.83
437,3,5,4000,3,1,2170.72
438,4,8,25000,6,4,268.52
439,3,7,450000,6,12,10.39
440,2,3,500001,6,15,10.04
441,2,3,45000,2,12,157.88
442,4,9,60000,5,13,306.28
443,3,7,10000,5,4,235.53
444,3,5,12500,8,12,1570.09
445,4,8,22500,8,2,497.58
446,4,9,8000,9,1,1654.84
447,1,2,7000,6,3,1468.67
448,4,8,25000,6,3,375.93
449,2,3,30000,5,7,509.17
450,3,5,3000,4,3,2774.63
451,1,1,5001,3,2,1574.57
452,4,8,15000,7,4,502.74
453,3,5,17500,2,1,1895.05
454,1,2,12500,4,13,490.89
455,4,9,6000,6,13,1654.84
456,3,7,4500,5,1,1595.2
457,3,5,70000,6,7,10.04
458,2,3,5000,7,3,1904.68
459,3,7,15000,7,12,470.24
460,3,5,100000,7,4,347.16
461,3,5,3500,3,17,1595.2
462,4,9,2000,3,12,2004.53
463,2,3,2000,7,3,1904.68
464,3,7,6000,6,3,597.74
465,2,4,1500,2,1,1636.1
466,1,2,500000,3,2,10.28
467,3,6,5000,6,12,1597.65
468,1,2,180000,6,13,10.05
469,4,9,30000,5,4,163.32
470,3,6,1500,5,10,20
471,1,2,120000,4,15,6.41
472,2,3,12500,6,1,610.82
473,3,7,17500,8,17,1597.65
474,3,6,2500,6,1,2170.72
475,1,1,600000,9,2,10.09
476,2,3,800000,3,2,10.74
477,3,5,50001,9,12,165.55
478,4,9,3500,4,13,1382.22
479,4,9,25001,4,4,497.58
480,2,3,30000,1,3,157.88
481,3,5,3500,5,3,1895.05
482,1,2,2500,4,5,1849.99
483,2,4,4000,4,3,1636.49
484,3,5,15000,5,17,321.32
485,3,6,4000,5,3,98.36
486,1,2,600000,4,2,10.28
487,3,7,4000,7,3,316.94
488,3,7,35000,4,13,229.73
489,3,6,35000,4,13,640.89
490,2,3,4000,1,12,487.36
491,2,3,120000,6,2,21.19
492,4,9,3000,2,6,1654.84
493,1,2,7000,3,13,1468.67
494,2,3,120000,6,3,1.39
495,2,3,500000,2,15,20.84
496,4,8,5000,4,4,2316.77
497,4,9,4000,4,13,1509.24
498,4,9,1500000,6,2,5.74
499,3,7,15000,3,13,459.35
500,4,9,45000,6,12,268.52
501,4,8,1500,4,4,1654.84
502,2,4,60000,6,12,98.23
503,4,9,2000,5,4,1509.24
504,1,2,9000,1,1,1958.18
505,2,4,3000,3,3,1991.37
506,2,4,10000,6,3,10.74
507,2,3,140000,3,1,229.73
508,3,6,45000,6,12,314.04
509,3,7,1300000,7,15,10.04
510,2,3,7000,4,1,1636.49
511,3,7,5000,5,2,1895.05
512,3,5,5000,7,12,1859.44
513,4,9,4500,5,13,1.1
514,2,3,15000,5,1,487.36
515,1,2,90000,6,12,250.94
516,4,9,3500,4,4,1509.24
517,4,8,4500,4,3,1654.84
518,2,3,22500,6,3,412.5
519,1,2,2000,7,2,1627.29
520,4,8,3500,3,1,2806.34
521,3,5,200000,5,2,239.78
522,1,2,160000,3,3,157.78
523,1,2,2500,2,14,1638.2
524,3,5,8000,5,2,320.86
525,1,2,90000,1,2,229.73
526,2,3,12500,9,3,610.82
527,1,2,100000,3,4,157.78
528,3,6,12500,8,12,612.45
529,3,5,12500,8,20,498.98
530,4,9,3000,5,3,2004.53
531,4,9,12500,5,2,492.68
532,3,5,2500,6,3,2146.52
533,3,7,1500,5,2,2170.72
534,1,2,70000,4,12,157.78
535,2,4,7000,5,3,682.05
536,1,1,90000,8,2,21.38
537,3,6,70000,5,2,256.12
538,3,5,2500,6,12,208.64
539,3,5,2500,5,5,1932.25
540,3,7,2000,9,13,1377.41
541,3,7,2000,6,3,470.24
542,3,7,60000,8,2,347.16
543,4,8,120000,5,3,288.37
544,4,9,90000,5,10,229.73
545,3,7,5000,4,3,833.61
546,4,9,2000,6,3,1735.25
547,1,2,3000,3,4,1638.2
548,4,8,4500,6,2,1735.25
549,1,1,50000,4,2,334.58
550,2,3,10000,2,3,2392.14
551,4,9,7000,3,3,288.37
552,2,4,10000,5,1,1508.84
553,3,5,9000,8,2,470.24
554,2,3,3500,5,19,20.14
555,2,3,60000,7,2,513.05
556,2,3,1500000,3,1,12.49
557,2,3,2000,9,3,1893.87
558,4,9,10001,4,13,460.95
559,1,2,10000,5,3,1627.29
560,3,7,70000,6,2,358.11
561,2,3,3500,4,14,1508.84
562,2,3,50001,7,16,324.11
563,3,6,35000,5,13,21.1
564,1,2,3000,3,14,476.91
565,1,1,1500000,5,3,10.28
566,3,5,7000,7,12,1595.2
567,1,2,35000,4,1,6.64
568,3,5,30000,6,3,347.16
569,3,5,12500,4,13,459.35
570,3,6,4500,1,4,2170.72
571,4,8,2500,6,3,1509.24
572,4,9,12500,5,13,460.95
573,3,7,5001,6,1,5.1
574,1,1,20000,3,13,476.91
575,1,2,35000,2,2,20.83
576,2,3,2000,4,19,1636.49
577,2,3,3000,4,4,1636.49
578,2,4,2000,9,3,1893.87
579,2,4,1001,4,3,1636.1
580,2,3,20000,6,4,1636.49
581,1,2,500000,3,12,157.78
582,3,7,35000,4,4,208.64
583,4,8,25001,2,13,362.37
584,3,5,250000,9,2,21.38
585,4,8,15000,9,4,2316.77
586,3,7,7000,6,12,235.53
587,3,6,60000,6,13,408.36
588,3,7,800000,8,2,10.39
589,4,9,350000,9,11,21.38
590,3,5,2000,3,15,1932.25
591,4,9,6000,8,12,323.85
592,1,1,4000,6,12,1638.2
593,3,7,1001,4,12,1595.2
594,4,9,40000,6,4,307.35
595,3,7,3500,4,2,1472.34
596,3,6,200001,7,3,27.21
597,2,3,4500,6,12,1636.1
598,1,2,300000,3,15,20.84
599,4,8,100001,6,12,268.52
600,2,3,200000,5,12,121.75
601,1,1,70000,4,7,20.84
602,4,8,1500,6,1,2429.36
603,2,3,900000,8,3,21.48
604,1,2,1001,4,3,1638.2
605,3,6,2000,9,2,2124.65
606,3,5,35000,8,12,498.98
607,3,7,2000,5,1,1895.05
608,3,7,20000,7,20,235.53
609,3,7,1500,9,14,1836.5
610,1,2,20000,7,2,469.94
611,1,2,450000,6,2,10.28
612,4,9,800000,8,3,10.09
613,3,7,300000,5,12,20.77
614,3,5,1500,5,12,1895.05
615,1,2,60000,1,17,306.28
616,2,4,2000,6,3,98.23
617,3,6,25001,6,3,2146.52
618,2,3,250000,6,2,7.93
619,2,4,3500,6,12,1991.37
620,4,9,45000,5,20,323.85
621,2,3,300000,7,2,21.19
622,3,7,70000,6,12,156.48
623,2,3,30000,6,4,5.03
624,4,9,200000,6,12,20.41
625,3,6,1500,5,5,1472.34
626,3,5,1500,3,14,1472.34
627,3,7,60000,5,17,306.28
628,3,5,12500,6,3,1895.05
629,3,7,4000,4,3,1895.05
630,1,2,900000,5,2,7.37
631,3,7,2500,5,2,626.97
632,3,5,6000,5,13,1930.52
633,4,9,17500,5,1,163.32
634,2,4,5000,5,2,652.96
635,2,3,160000,3,3,306.28
636,2,3,1500,2,4,584.61
637,2,3,30000,8,4,487.36
638,3,5,2500,7,3,2650.99
639,3,7,60000,3,4,235.53
640,2,3,60000,8,10,157.88
641,2,4,45000,5,4,487.36
642,3,6,17500,8,4,314.04
643,3,6,2000,8,12,612.45
644,1,2,1500,5,12,2184.21
645,1,1,8000,5,4,4.51
646,4,9,2500,4,2,1.12
647,3,7,2500,5,14,1472.34
648,3,7,5001,7,3,1472.34
649,3,5,2500,4,3,1895.05
650,4,9,2000,5,2,1536.74
651,2,3,180000,7,2,229.73
652,3,7,3000,6,7,640.89
653,3,5,4000,6,12,208.64
654,2,3,4000,3,17,509.17
655,3,7,9000,5,12,652.28
656,2,3,10000,5,13,1508.84
657,2,4,2500,4,3,1904.68
658,1,2,800000,6,2,2.56
659,3,6,120000,9,2,74.79
660,2,3,5000,4,12,474.3
661,3,7,180000,6,4,1531.39
662,3,7,20000,4,2,235.53
663,3,7,3500,7,3,1895.05
664,2,3,500001,6,3,10.74
665,2,3,140000,1,2,8.65
666,3,5,7000,3,4,1836.5
667,1,1,10001,2,3,4.7
668,3,5,50000,4,2,239.78
669,4,8,4000,6,6,1509.24
670,3,6,4000,7,4,1472.34
671,1,2,90000,3,17,408.36
672,3,7,4000,6,3,1895.05
673,4,8,6000,4,2,689.75
674,4,9,6000,4,13,497.58
675,2,4,30000,7,2,306.28
676,3,7,25001,7,1,498.98
677,3,5,22500,5,12,358.11
678,3,6,5000,5,2,1595.2
679,2,3,50001,6,12,157.88
680,4,9,17500,4,12,163.32
681,1,2,3000,1,14,1468.67
682,2,3,10000,3,3,306.28
683,2,3,20000,4,2,10.74
684,1,1,80000,3,6,469.94
685,3,7,15000,5,3,597.74
686,4,9,100001,9,3,248.34
687,3,6,1001,4,3,2650.99
688,1,2,10000,6,14,1468.67
689,2,3,1001,3,3,1904.68
690,1,2,100000,5,12,99.99
691,1,1,15000,1,16,317.29
692,1,2,1300000,6,15,10.04
693,2,3,40000,6,12,157.88
694,3,7,8000,7,5,1472.34
695,4,9,45000,3,3,20.41
696,4,9,4500,4,13,1382.22
697,3,7,20000,9,2,470.24
698,3,7,40000,2,13,321.32
699,4,9,180000,6,10,256.39
700,1,2,30000,5,12,327.35
701,3,6,25001,5,4,498.98
702,3,5,35000,4,13,320.86
703,4,9,6000,3,3,1735.25
704,1,2,800000,4,3,10.28
705,4,8,1500,6,3,2806.34
706,4,8,10001,9,1,492.68
707,2,3,1001,5,3,1636.1
708,1,1,450000,3,12,20.83
709,3,5,30000,4,13,25.89
710,2,4,10000,9,2,603.64
711,4,9,4000,2,2,1735.25
712,1,2,22500,2,13,476.91
713,2,3,45000,9,12,263.93
714,1,2,30000,8,12,250.94
715,4,9,22500,4,12,502.74
716,2,3,400000,5,2,10.74
717,3,7,5000,7,11,235.53
718,4,9,45000,5,4,1.17
719,1,1,3500,9,3,1627.29
720,3,7,15000,3,2,459.35
721,2,3,7000,4,3,299.15
722,3,6,4000,1,3,3790.09
723,2,3,12500,2,12,487.36
724,4,9,10000,3,3,358.11
725,3,6,6000,6,3,1895.05
726,2,4,2500,5,3,1636.1
727,3,7,15000,7,4,314.04
728,4,8,1500,5,1,2316.77
729,4,8,60000,7,13,320.86
730,3,5,25001,7,3,597.74
731,2,4,1000000,7,3,6.25
732,1,2,1500000,6,3,7.37
733,1,2,2500,8,3,2039.07
734,1,2,15000,2,12,490.89
735,3,5,2000,5,3,1595.2
736,2,4,250000,8,17,306.28
737,4,9,20000,6,3,163.32
738,2,3,1001,8,3,682.05
739,2,4,30000,9,4,263.93
740,1,1,15000,5,2,469.94
741,2,4,2000,3,13,306.28
742,3,5,10000,9,1,612.45
743,2,4,1500,5,5,1991.37
744,3,5,450000,5,3,22.3
745,1,1,7000,2,10,1638.2
746,1,2,15000,4,12,157.78
747,2,4,30000,3,17,37.1
748,3,6,5000,7,4,2041.81
749,4,9,15000,5,17,1509.24
750,2,3,5000,4,4,1904.68
751,2,3,15000,3,13,1508.84
752,2,4,4000,1,14,518.79
753,1,1,12500,3,3,597.34
754,4,9,1001,4,4,1509.24
755,2,3,250000,4,15,306.28
756,3,5,4000,4,5,1859.44
757,4,9,800000,5,19,20.41
758,4,9,4500,4,13,1382.22
759,4,9,1001,5,14,1509.24
760,4,9,40000,2,2,245.34
761,4,9,250000,6,13,10.06
762,2,3,1500,4,14,1508.84
763,3,7,8000,3,3,346.63
764,2,4,30000,3,2,37.66
765,3,7,3000,4,4,1595.2
766,4,9,500000,5,2,5.74
767,1,2,6000,1,16,476.91
768,3,6,3000,4,4,1595.2
769,2,4,30000,2,1,200.93
770,1,1,4000,3,12,1638.2
771,4,9,45000,6,3,358.11
772,1,1,45000,6,1,423.05
773,1,2,6000,5,17,1377.41
774,3,6,4500,6,1,10.39
775,3,7,2500,5,1,1595.2
776,3,6,1500,3,2,1472.34
777,3,5,20000,6,2,459.35
778,3,5,900000,6,2,10.39
779,1,2,300000,5,15,10.04
780,3,5,250000,6,4,20.11
781,3,6,60000,8,2,1.87
782,1,2,25000,6,5,476.91
783,4,8,1500,4,4,2316.77
784,2,3,900000,5,13,20.14
