# File: EIA_923_generator_gen_fuel_2018.csv
# Title: EIA Form 923 generation data for year 2018
# Unit: MWh
# Comments: Selected columns from original form
# Source: https://www.eia.gov/electricity/data/eia923/archive/xls/f923_2015.zip; Schedules_2_3_4_5_M_12_2018_Final_Revision; Page 4 Generator Data from file
# Column types: cici
# ----------
State,Plant.Id,Generator.Id,Net.Generation.Year.To.Date
FL,621,ST1,0
FL,621,ST2,0
FL,621,5CTA,976753
FL,621,5CTB,886099
FL,621,5CTC,989010
FL,621,5CTD,1068101
FL,628,1,99401
FL,628,2,717074
FL,628,5,4226269
FL,628,ST4,3408455
FL,628,1GTA,306889
FL,628,1GTB,251709
FL,628,2GTA,187244
FL,628,2GTB,169112
FL,628,CC1ST,292416
FL,628,CC2ST,162953
FL,634,4ST,2292575
FL,634,4AGT,1319435
FL,634,4BGT,1115441
FL,634,4CGT,1018108
FL,634,4DGT,1297688
FL,641,4,87693
FL,641,5,90509
FL,641,6,1201414
FL,641,7,1877909
FL,643,3A,1278095
FL,643,3B,1270044
FL,643,3S,1483289
FL,645,ST1,487018
FL,645,ST2,598775
FL,645,ST3,1552716
FL,645,ST4,2099105
FL,663,1,162746
FL,663,2,591394
FL,664,8,189618
FL,664,CT04,424143
FL,667,1,1687523
FL,667,2,858549
FL,667,ST3,1725589
FL,673,S3,4211
FL,673,S5,1069
FL,673,GT2,5998
FL,675,5,20561
FL,675,8,61310
FL,676,3,1615594
FL,676,5CT,1417041
FL,676,5ST,771591
FL,676,ST2,0
FL,688,1,189681
FL,688,2,410876
FL,688,CT 2A,806596
FL,689,8,748353
FL,689,9,447108
GA,703,1,2687178
GA,703,2,1989212
GA,703,3,3936434
GA,703,4,5007090
GA,708,1,4000
GA,708,2,17649
GA,708,3,18342
GA,708,4,141390
GA,710,4,2134489
GA,710,5,2163328
GA,710,6,1599830
GA,710,5ACT,2072668
GA,710,5BCT,1878421
GA,710,6ACT,1532869
GA,710,6BCT,1437293
GA,710,CT4A,1967917
GA,710,CT4B,2012342
GA,728,6,598906
GA,728,7,579085
GA,753,1,29
OK,762,2,0
HI,765,K1,216981
HI,765,K2,323879
HI,765,K3,336891
HI,765,K4,354350
HI,765,K5,623943
HI,765,K6,590425
HI,766,W3,18145
HI,766,W4,18868
HI,766,W5,66212
HI,766,W6,87966
HI,766,W7,423653
HI,766,W8,348285
HI,772,5,55497
HI,772,6,104645
IL,856,2,1607550
IL,856,3,1681684
IL,861,1,1721026
IL,861,2,3580977
IL,862,1,252522
IL,862,2,369873
IL,862,3,0
IL,862,4,0
IL,874,6,-57596
IL,876,1,2556522
IL,876,2,2242151
IL,879,5,2299187
IL,879,6,2212662
IL,883,7,890650
IL,883,8,746163
IL,884,4,1003780
IL,887,1,933238
IL,887,2,892119
IL,887,3,798475
IL,887,4,799661
IL,887,5,652313
IL,887,6,763670
IL,889,1,3242469
IL,889,2,3966917
IL,889,3,0
IL,891,6,2446872
IL,892,1,340353
IL,892,2,1390481
IL,963,1,169095
IL,963,2,328250
IL,963,3,735570
IL,963,4,1122914
IL,972,4,1187
IL,972,6,815
IL,972,7,1750
IL,976,1,230046
IL,976,2,229131
IL,976,3,233424
IL,976,4,1017327
IN,983,1,1142146
IN,983,2,1045771
IN,983,3,1199274
IN,983,4,1067577
IN,983,5,1114309
IN,983,6,800228
IN,990,5,91818
IN,990,6,82264
IN,990,7,805185
IN,991,GT1,896346
IN,991,GT2,783656
IN,991,STG1,957635
IN,992,4,0
IN,992,6,9207
IN,992,7,4383
IN,992,8,3689
IN,994,4,3441385
IN,994,ST1,1490479
IN,994,ST2,1973634
IN,994,ST3,2195710
IN,995,7,208826
IN,995,8,-25058
IN,997,12,2040518
IN,1001,1,2915098
IN,1001,2,3167011
IN,1004,ST,1828443
IN,1004,CT1,1061286
IN,1004,CT2,1072289
IN,1007,1,0
IN,1007,2,0
IN,1007,3,502136
IN,1007,4,502136
IN,1007,5,502136
IN,1008,2,171576
IN,1008,4,113576
IN,1012,2,253666
IN,1012,3,1658578
NC,1016,1,7191
NC,1016,2,6602
NC,1016,3,7983
NC,1016,6,7814
NC,1016,7,8063
NC,1016,8,8719
NC,1016,9,12282
IN,1024,4,0
IN,1024,5,0
IN,1040,1,12155
IN,1040,2,28937
IA,1047,4,883151
IA,1048,2,303
IA,1073,1,64835
IA,1073,3,14009
IA,1073,4,51830
IA,1081,5,-1973
IA,1082,3,4238316
IA,1082,4,5801549
IA,1091,3,2277961
IA,1104,1,1189433
IA,1122,7,596
IA,1122,8,185468
IA,1131,6,-65
IA,1131,7,2888
IA,1167,7,26621
IA,1167,8,99536
IA,1167,9,698220
IA,1167,8A,58623
IA,1206,1,1074
IA,1206,2,1017
IA,1206,3,104
IA,1206,GT1,1843
IA,1206,GT2,6208
IA,1217,1,1760
KS,1230,1,621
KS,1233,4,1193
KS,1235,3,-661
KS,1239,12,846194
KS,1239,2-Dec,446589
KS,1240,1,69664
KS,1240,2,103100
KS,1241,1,2274569
KS,1241,2,3230445
KS,1242,3,76154
KS,1242,4,54502
KS,1250,4,754124
KS,1250,5,2057925
KS,1252,7,274643
KS,1270,5,0
KS,1270,6,0
KS,1271,6,126
KS,1271,7,18888
KS,1295,ST1,10846
KS,1295,ST2,14573
KS,1317,5,279
KS,1330,4,62
KS,1336,S2,18498
KY,1353,1,624804
KY,1355,1,209898
KY,1355,2,518911
KY,1355,3,1306545
KY,1356,1,2978805
KY,1356,2,3275277
KY,1356,3,2209776
KY,1356,4,2800834
KY,1363,7A,1479673
KY,1363,7B,1536537
KY,1363,7S,1694913
KY,1364,1,1955583
KY,1364,2,1545094
KY,1364,3,2466571
KY,1364,4,2672552
KY,1374,1,729304
KY,1374,2,1480611
KY,1378,3,3822806
KY,1378,CTG1,1356957
KY,1378,CTG2,1333871
KY,1378,CTG3,1131116
KY,1378,STG1,2057712
KY,1379,1,765199
KY,1379,2,610492
KY,1379,3,646176
KY,1379,4,658354
KY,1379,5,750977
KY,1379,6,637847
KY,1379,7,815625
KY,1379,8,651952
KY,1379,9,748758
KY,1382,1,426423
KY,1382,2,222525
KY,1383,1,-17467
KY,1384,1,163467
KY,1384,2,398623
LA,1391,1A,0
LA,1391,2A,280279
LA,1391,3A,486290
LA,1393,1,735893
LA,1393,2,744830
LA,1393,4,-8701
LA,1393,6,2811286
LA,1396,6,379517
LA,1396,7,631144
LA,1396,U72,614590
LA,1396,U6CT,766203
LA,1396,U7CT,616660
LA,1400,1,0
LA,1400,3,886396
LA,1402,2,910586
LA,1402,3,707594
LA,1403,5,2156096
LA,1403,6A,1378348
LA,1403,6B,1406741
LA,1403,6C,1777657
LA,1403,6(4),2537234
LA,1404,7A,3131
LA,1404,7C,0
LA,1416,5,25526
LA,1417,2,4252
LA,1417,3,30371
LA,1417,4,32086
LA,1439,14,6138
LA,1439,15,8139
LA,1439,16,19221
LA,1464,1,41913
LA,1464,2,35462
ME,1507,1,4882
ME,1507,2,3692
ME,1507,3,17755
ME,1507,4,132408
MD,1552,1,91317
MD,1552,2,119455
MD,1553,3,14839
MD,1554,1,596
MD,1554,2,31519
MD,1554,3,416268
MD,1554,4,38871
MD,1564,8,4416
MD,1571,3,274799
MD,1571,4,297913
MD,1571,ST1,462096
MD,1571,ST2,403193
MD,1572,2,80087
MD,1572,3,93757
MD,1572,ST1,59291
MD,1573,ST1,1174959
MD,1573,ST2,1328513
MA,1588,7,140776
MA,1588,GT81,732753
MA,1588,GT82,723180
MA,1588,GT93,781661
MA,1588,GT94,773593
MA,1588,ST85,738371
MA,1588,ST96,797481
MA,1595,1,0
MA,1595,2,0
MA,1595,3,130005
MA,1595,GEN4,1013598
MA,1599,1,82595
MA,1599,2,56536
MA,1642,3,2950
MA,1660,CC2,6414
MA,1660,CC3,1262
MA,1682,8,2247
MA,1682,9A,17363
MA,1682,CA9,57287
MI,1702,3,25998
MI,1702,4,27037
MI,1702,1A,1103171
MI,1702,1B,100457
MI,1702,2A,1142860
MI,1702,2B,0
MI,1710,1,1152567
MI,1710,2,1199050
MI,1710,3,5309049
MI,1733,1,3518409
MI,1733,2,4231191
MI,1733,3,4421085
MI,1733,4,4286946
MI,1740,1,0
MI,1740,3,785550
MI,1743,1,700982
MI,1743,2,655494
MI,1743,3,660463
MI,1743,6,869457
MI,1743,7,1642135
MI,1745,9,1068363
MI,1769,5,67178
MI,1769,6,99223
MI,1769,7,333088
MI,1769,8,463684
MI,1769,9,443821
MI,1772,1,122858
MI,1825,3,171381
MI,1831,1,0
MI,1831,3,0
MI,1831,4,245059
MI,1831,5,79831
MI,1831,6,59167
MI,1832,1,728489
MI,1843,2,-98
MI,1843,3,125373
MI,1866,4,0
MI,1866,5,0
MI,1866,6,0
MI,1866,7,4022
MI,1880,6,8223
MN,1891,1,8546
MN,1891,2,5347
MN,1893,1,436982
MN,1893,2,398242
MN,1893,3,2293291
MN,1893,4,4147090
MN,1897,3,1664
MN,1897,4,8621
MN,1904,2,245348
MN,1904,5,551363
MN,1912,7,808473
MN,1912,8,649115
MN,1912,9,837187
MN,1915,1,2698691
MN,1926,1,70756
MN,1926,2,50583
MN,1927,9,823414
MN,1927,10,783714
MN,1927,ST7,842521
MN,1934,1,60088
MN,1934,2,39995
MN,1943,2,220357
MN,1943,3,303781
MN,1979,3,14017
MN,1979,5,40576
MN,1979,6,14178
MN,1980,8,6354
MN,2001,3,0
MN,2001,4,1683
MN,2001,6,453
MN,2018,5,19668
MN,2018,6,59506
MN,2022,3,8178
MN,2022,ST2,0
MN,2039,1,39259
MN,2039,2,47301
MN,2039,3,73307
MS,2049,3,9166
MS,2049,4,329984
MS,2049,5,1013795
MS,2050,1,947684
MS,2050,2,-765
MS,2053,3,0
MS,2053,4,157949
MS,2059,6,0
MS,2059,7,0
MS,2059,8,165
MS,2059,9,61
MS,2062,1,0
MS,2062,3,0
MS,2067,2,0
MS,2067,3,0
MS,2067,GT1,0
MS,2070,1,178558
MS,2070,2,184443
MS,2070,3,26536
MS,2070,GTG1,225508
MS,2070,GTG2,251464
MO,2076,1,842928
MO,2079,5,2788687
MO,2079,6,89233
MO,2079,9,30900
MO,2080,2,189600
MO,2080,3,228474
MO,2094,2,0
MO,2094,3,966327
MO,2098,1,-4894
MO,2098,2,-7369
MO,2098,3,-6084
MO,2098,4,4148
MO,2103,1,4359789
MO,2103,2,4334286
MO,2103,3,2806816
MO,2103,4,4264808
MO,2104,1,-1413829
MO,2104,2,24767
MO,2104,3,-754550
MO,2104,4,-172926
MO,2107,1,2641190
MO,2107,2,3023701
MO,2123,5,0
MO,2123,7,0
MO,2123,8,23058
MO,2132,2,2991
MO,2132,3,13977
MO,2132,ST1,2461
MO,2161,4,0
MO,2161,5,264
MO,2167,1,3900849
MO,2167,2,4001694
MO,2168,1,1170463
MO,2168,2,1731634
MO,2168,3,4897537
NE,2226,1,720
NE,2240,6,33737
NE,2240,7,76567
NE,2240,8,359210
NE,2241,1,0
NE,2241,2,0
NE,2241,3,0
NE,2244,4,-70
NE,2244,5,-503
NE,2277,1,490624
NE,2277,2,414525
NE,2291,1,307
NE,2291,2,-70
NE,2291,3,333
NE,2291,4,716560
NE,2291,5,1040409
NV,2322,9,106664
NV,2322,10,85070
NV,2322,GT5,86771
NV,2322,GT6,89607
NV,2322,GT7,80588
NV,2322,GT8,87181
NV,2330,1,261324
NV,2330,2,218495
NV,2336,3,140068
NV,2336,4,288425
NV,2336,5,113825
NV,2336,8,1098992
NV,2336,9,1096645
NV,2336,10,1413955
NH,2364,1,162099
NH,2364,2,386955
NH,2367,4,45948
NH,2367,5,245495
NH,2367,6,64496
NJ,2378,2,14044
NJ,2378,3,0
NJ,2393,4,-483
NJ,2393,5,-371
NJ,2393,6,-139
NJ,2393,7,-392
NJ,2393,8,-2738
NJ,2398,1101,252546
NJ,2398,1201,243480
NJ,2398,1301,266990
NJ,2398,1401,206014
NJ,2398,1501,426703
NJ,2398,2101,867338
NJ,2398,2201,732795
NJ,2398,2301,953451
NJ,2406,1001,828737
NJ,2406,1101,820867
NJ,2406,1201,590650
NJ,2406,2001,1130603
NJ,2406,2101,967907
NJ,2406,2201,880244
NJ,2411,1,-993
NJ,2411,2,-586
NJ,2411,3,-852
NJ,2411,4,-451
NJ,2411,701,1458477
NJ,2411,702,636755
NM,2442,4,3170419
NM,2442,5,4338426
NM,2444,6,56425
NM,2444,7,118000
NM,2444,8,381017
NM,2446,1,362494
NM,2450,1,42142
NM,2450,2,42151
NM,2450,3,108968
NM,2451,1,1445406
NM,2451,2,0
NM,2451,3,0
NM,2451,4,3228842
NM,2454,1,232382
NM,2454,2,449616
NY,2480,1,2663
NY,2480,2,2672
NY,2480,3,14162
NY,2480,4,10884
NY,2490,2,454432
NY,2490,3,534303
NY,2493,6,511564
NY,2493,7,209606
NY,2500,1,598705
NY,2500,2,580494
NY,2500,3,800189
NY,2500,4,1356350
NY,2500,4S,-2713
NY,2511,ST1,566931
NY,2511,ST2,721365
NY,2516,2,665413
NY,2516,3,932136
NY,2516,4,746071
NY,2516,ST1,340349
NY,2517,3,172713
NY,2517,4,156271
NY,2527,4,190219
NY,2535,1,82505
NY,2535,2,12882
NY,2539,5,1108766
NY,2539,6,1103059
NY,2539,7,1233556
NY,2539,8,1696734
NY,2594,ST5,20347
NY,2594,ST6,21378
NY,2625,1,238893
NY,2625,2,234225
NY,2682,5,765
NY,2682,6,23435
NC,2706,1,669236
NC,2706,2,568667
NC,2712,1,824171
NC,2712,2,1895245
NC,2712,3,1530179
NC,2712,4,1678281
NC,2718,1,72521
NC,2718,2,87141
NC,2718,3,158697
NC,2718,4,175298
NC,2718,5,326131
NC,2720,CT11,1463456
NC,2720,CT12,1471968
NC,2720,ST10,2237637
NC,2721,5,1243104
NC,2721,6,4311369
NC,2723,CT8,1433925
NC,2723,CT9,1410200
NC,2723,ST7,2118133
NC,2727,1,958416
NC,2727,2,675957
NC,2727,3,3176205
NC,2727,4,3675692
ND,2790,1,77440
ND,2790,2,426917
ND,2817,1,1251295
ND,2817,2,2108170
ND,2823,1,1473717
ND,2823,2,3435234
OH,2828,1,3430750
OH,2828,2,2962150
OH,2828,3,3645435
OH,2832,7,2489694
OH,2832,8,2919326
OH,2836,9,1068946
OH,2840,4,2921676
OH,2840,5,555109
OH,2840,6,640727
OH,2850,2,333698
OH,2850,3,841900
OH,2850,4,901892
OH,2866,1,23351
OH,2866,2,10955
OH,2866,3,53173
OH,2866,4,82868
OH,2866,5,991243
OH,2866,6,1593780
OH,2866,7,2011276
OH,2876,1,1302071
OH,2876,2,1287397
OH,2876,3,1092177
OH,2876,4,1065004
OH,2876,5,1054436
OH,2878,1,1088039
OH,2914,3,0
OH,2914,4,57636
OH,2917,5,0
OH,2917,7,0
OH,2917,8,0
OH,2917,9,0
OH,2935,9,5409
OH,2935,10,8865
OH,2935,11,16936
OH,2936,3,0
OH,2936,5,840
OH,2936,7,2427
OH,2936,ST2,0
OK,2951,6,206445
OK,2951,8,186055
OK,2951,ST7,240298
OK,2952,4,756200
OK,2952,5,1355549
OK,2952,6,1745545
OK,2953,3,0
OK,2953,4,0
OK,2956,1,443551
OK,2956,2,217410
OK,2956,3,694909
OK,2963,1,628629
OK,2963,2,450435
OK,2963,3,2673030
OK,2963,1A,597125
OK,2963,1B,648538
OK,2964,1,8261
OK,2964,2,25002
OK,2964,3,492710
OK,2965,2,206617
OK,2965,4,224412
OK,3006,1,0
OK,3006,2,0
OK,3006,3,308
OK,3006,4,380043
OK,3006,5,416729
OK,3006,6,351349
OK,3008,1,131
OK,3008,2,44584
OK,3008,3,52423
PA,3096,3,9114
PA,3096,2A,7608
PA,3096,2B,7857
PA,3096,ST4,11714
PA,3118,1,5122584
PA,3118,2,6322806
PA,3122,1,1702180
PA,3122,2,1567044
PA,3122,3,1861721
PA,3130,FB1,2570873
PA,3131,1,38675
PA,3131,2,130261
PA,3131,3,196430
PA,3131,4,173810
PA,3136,1,6504837
PA,3136,2,5912799
PA,3138,3,134181
PA,3138,4,120659
PA,3138,5,185468
PA,3140,1,604719
PA,3140,2,463878
PA,3140,3,784703
PA,3148,3,372739
PA,3148,4,330098
PA,3149,1,1317537
PA,3149,2,1063147
PA,3149,11,238826
PA,3161,3,28963
PA,3161,4,10628
PA,3176,3,111464
PA,3176,5,216646
PA,3176,6,220339
RI,3236,G10A,447168
RI,3236,G11A,436183
RI,3236,GE10,208255
RI,3236,GE11,210372
RI,3236,GE9A,382989
RI,3236,GEN9,181114
SC,3264,3,54152
SC,3264,CT11,1030538
SC,3264,CT12,1090492
SC,3264,ST10,1402639
SC,3287,1,324784
SC,3287,2,279915
SC,3295,1,363899
SC,3295,2,295711
SC,3295,3,80127
SC,3295,CT1,730215
SC,3295,CT2,647773
SC,3297,1,1772320
SC,3297,2,2027682
SC,3298,ST1,2961014
TN,3393,1,123727
TN,3393,2,210285
TN,3393,3,58225
TN,3393,CTG1,822320
TN,3393,CTG2,893997
TN,3393,STG1,926732
TN,3396,1,1410751
TN,3399,1,4606262
TN,3399,2,5834849
TN,3403,1,1168848
TN,3403,2,1116799
TN,3403,3,1247302
TN,3403,4,1597320
TN,3405,CTG1,939048
TN,3405,CTG2,1068656
TN,3405,CTG3,1054505
TN,3405,STG1,1724740
TN,3406,1,0
TN,3406,2,0
TN,3406,3,0
TN,3406,4,0
TN,3407,1,380337
TN,3407,2,442133
TN,3407,3,445928
TN,3407,4,422177
TN,3407,5,271864
TN,3407,6,273703
TN,3407,7,255245
TN,3407,8,283012
TN,3407,9,273014
TX,3441,7,133905
TX,3441,8,1051452
TX,3441,9,987182
TX,3443,5,394300
TX,3443,7,633301
TX,3452,1,59258
TX,3452,2,216162
TX,3453,6,20916
TX,3453,7,34970
TX,3453,8,352769
TX,3456,1,262956
TX,3456,2,149034
TX,3456,3,309365
TX,3456,4,336585
TX,3456,CT1,310684
TX,3456,CT2,416621
TX,3456,5CA1,548005
TX,3456,5CT1,413218
TX,3456,5CT2,446064
TX,3457,1,1014198
TX,3457,2,982153
TX,3459,1,275643
TX,3459,3,1123750
TX,3459,4,1746741
TX,3459,5,1045376
TX,3460,1,736920
TX,3460,2,700843
TX,3464,5,0
TX,3469,3,63560
TX,3469,4,80154
TX,3469,31,40578
TX,3469,32,42699
TX,3469,33,45177
TX,3469,34,36341
TX,3469,41,52816
TX,3469,42,44825
TX,3469,43,49671
TX,3469,44,56907
TX,3470,1,102154
TX,3470,2,73328
TX,3470,3,156270
TX,3470,4,301641
TX,3470,5,4316462
TX,3470,6,3583770
TX,3470,7,3762916
TX,3470,8,3553690
TX,3476,2,3838
TX,3476,3,1635
TX,3476,4,41799
TX,3476,5,95583
TX,3477,1,5917
TX,3478,1,240599
TX,3478,2,160807
TX,3478,3,175969
TX,3482,1,780158
TX,3482,2,902728
TX,3484,1,198956
TX,3484,2,248400
TX,3484,3,422450
TX,3485,1,61764
TX,3485,2,220184
TX,3485,3,269089
TX,3485,4,670140
TX,3490,1,50996
TX,3490,2,80168
TX,3491,3,315482
TX,3491,4,201095
TX,3491,5,240779
TX,3494,5,0
TX,3494,6,0
TX,3497,1,423240
TX,3497,2,395902
TX,3504,ST1,19652
TX,3504,ST2,95375
TX,3507,6,40262
TX,3548,1,472816
TX,3548,2,358060
TX,3559,6,4758
TX,3559,9,16200
TX,3576,1,9479
TX,3576,2,32557
TX,3576,3,26026
TX,3601,1,91010
TX,3601,2,99219
TX,3601,3,359967
TX,3602,1,0
TX,3602,2,0
TX,3604,7,15085
TX,3604,8,143046
TX,3604,6A,13110
TX,3611,1,403765
TX,3611,2,508662
TX,3612,1,76562
TX,3612,2,52631
TX,3612,3,284190
TX,3628,1,23557
TX,3628,2,73662
TX,3628,3,204700
TX,3630,1,0
TX,3630,2,0
TX,3630,3,0
TX,3631,7,57323
TX,3631,8,59633
TX,3631,9,60821
TX,3631,10,45206
UT,3648,1,9593
UT,3648,2,12554
UT,3648,3,29117
VA,3775,1,257771
VA,3775,2,305775
VA,3796,3,6504
VA,3796,4,7579
VA,3797,3,17662
VA,3797,4,85748
VA,3797,5,683772
VA,3797,6,1116657
VA,3797,CT7,2245838
VA,3797,CT8,0
VA,3797,CW7,0
VA,3797,CW8,0
VA,3804,3,18547
VA,3804,4,78402
VA,3804,5,51881
VA,3804,6A,3572342
VA,3804,6B,0
VA,3804,6ST,0
VA,3809,1,96145
VA,3809,2,269072
VA,3809,3,260841
WA,3845,1,2495903
WA,3845,2,2871480
WV,3935,1,2921341
WV,3935,2,3747589
WV,3935,3,6315792
WV,3943,1,3486883
WV,3943,2,2527172
WV,3944,1,3955330
WV,3944,2,4480939
WV,3944,3,4814743
WV,3948,1,2571250
WV,3948,2,2932041
WV,3954,1,2090944
WV,3954,2,1560000
WV,3954,3,1877801
WI,3982,4,166914
WI,3982,5,0
WI,3982,6,0
WI,3992,6,11558
WI,3992,7,14026
WI,4005,1,21623
WI,4005,2,32462
WI,4040,ST1,894849
WI,4040,ST2,1105192
WI,4040,1CT1,866850
WI,4040,1CT2,867072
WI,4040,2CT1,1041764
WI,4040,2CT2,1053382
WI,4041,5,1212161
WI,4041,6,904136
WI,4041,7,1304507
WI,4041,8,1346349
WI,4042,1,145976
WI,4042,2,130146
WI,4050,4,1274426
WI,4050,5,2012632
WI,4072,7,156530
WI,4072,8,348089
WI,4078,2,0
WI,4078,3,1198520
WI,4078,4,3400951
WI,4125,5,9518
WI,4125,6,2071
WI,4125,9,134490
WI,4143,ST3,1681622
WY,4158,1,547548
WY,4158,2,676293
WY,4158,3,1506038
WY,4158,4,2070492
WY,4162,1,1224135
WY,4162,2,1579434
WY,4162,3,1936509
TX,4195,ST1,1488
TX,4195,ST2,-659
TX,4195,ST3,-33
TX,4266,4,5415
TX,4266,5,3962
WI,4271,1,1891522
TX,4937,STG,1149410
TX,4937,CT-1,969388
TX,4937,CT-2,967342
TX,4939,1,72907
TX,4939,2,145898
TX,4939,3,822031
TX,4939,4,759810
OK,4940,1,178592
OK,4940,2,340226
AZ,4941,NAV1,4296280
AZ,4941,NAV2,4359192
AZ,4941,NAV3,4361965
AL,6002,1,3882197
AL,6002,2,3656115
AL,6002,3,5421945
AL,6002,4,5364927
WV,6004,1,2885585
WV,6004,2,4135743
AR,6009,1,3294388
AR,6009,2,4957579
CA,6013,O1,0
