# File: EIA_elec_gen_hydro.csv
# Title: U.S. EIA Historical Electricity Generation from Hydropower
# Units: MWh
# Comments: Filtered from Net Generation by State by Type of Producer by Energy Source. Filters: 'TYPE OF PRODUCER = 'Total Electric Power Industry; 'ENERGY SOURCE = 'Hydroelectric Conventional; State != 'U.S-Total'
# Source: U.S. Energy Information Administration - Electricity Data Browser (https://www.eia.gov/electricity/data/state/)
# Column types: ici 
# ----------
year,state,EIA
1992,MN,1062506
1992,MO,1481265
1992,MT,8270838
1992,NC,5768453
1992,ND,1698854
1992,NE,1075446
1992,NH,1393631
1992,NJ,22380
1992,NM,255046
1992,NV,1985691
1992,NY,28056647
1992,OH,253165
1992,OK,3241701
1992,OR,31718535
1992,PA,2577615
1992,RI,9946
1992,SC,3310446
1992,SD,3612010
1992,TN,10011047
1992,TX,2638164
1992,UT,602384
1992,VA,1089975
1992,VT,921498
1992,WA,68324659
1992,WI,2401605
1992,WV,1271063
1992,WY,635640
1993,AK,1302992
1993,AL,9034210
1993,AR,4509292
1993,AZ,6697088
1993,CA,40492526
1993,CO,1911842
1993,CT,414685
1993,FL,210776
1993,GA,4456651
1993,HI,56243
1993,IA,747182
1993,ID,9715485
1993,IL,130194
1993,IN,448400
1993,KS,4985
1993,KY,3155113
1993,LA,1231946
1993,MA,882373
1993,MD,1658271
1993,ME,3245780
1993,MI,1761842
1993,MN,1150808
1993,MO,3184483
1993,MT,9614088
1993,NC,4987070
1993,ND,1415110
1993,NE,1001663
1993,NH,1410609
1993,NJ,19005
1993,NM,293827
1993,NV,1972180
1993,NY,29443296
1993,OH,189613
1993,OK,4357456
1993,OR,35864080
1993,PA,2376466
1993,RI,9385
1993,SC,2950139
1993,SD,2591115
1993,TN,8954227
1993,TX,1786405
1993,UT,860019
1993,VA,1313303
1993,VT,981286
1993,WA,67312383
1993,WI,2486587
1993,WV,1114101
1993,WY,787427
1994,AK,1345407
1994,AL,11429120
1994,AR,3462641
1994,AZ,7365425
1994,CA,23012615
1994,CO,1544037
1994,CT,481162
1994,FL,274474
1994,GA,4331435
1994,HI,139426
1994,IA,1071023
1994,ID,7916153
1994,IL,120633
1994,IN,406867
1994,KS,9854
1994,KY,4013590
1994,LA,971978
1994,MA,937917
1994,MD,2009536
1994,ME,3510767
1994,MI,1660268
1994,MN,1138733
1994,MO,1916293
1994,MT,8149507
1994,NC,7192276
1994,ND,1856461
1994,NE,1311883
1994,NH,1461327
1994,NJ,15083
1994,NM,212890
1994,NV,1875889
1994,NY,27791257
1994,OH,191771
1994,OK,2514648
1994,OR,31220298
1994,PA,2749785
1994,RI,9349
1994,SC,3034952
1994,SD,5128760
1994,TN,12027959
1994,TX,1530436
1994,UT,750438
1994,VA,1146116
1994,VT,1038653
1994,WA,65575487
1994,WI,2228309
1994,WV,1145635
1994,WY,897209
1995,AK,1372115
1995,AL,9501510
1995,AR,3217714
1995,AZ,8288419
1995,CA,48033130
1995,CO,2131189
1995,CT,363803
1995,FL,230840
1995,GA,4196741
1995,HI,97810
1995,IA,1002974
1995,ID,10989334
1995,IL,123936
1995,IN,467261
1995,KS,11214
1995,KY,3423478
1995,LA,952144
1995,MA,868649
1995,MD,1442006
1995,ME,3353912
1995,MI,1597186
1995,MN,1098125
1995,MO,1918507
1995,MT,10745853
1995,NC,5520810
1995,ND,2457401
1995,NE,1426058
1995,NH,1369890
1995,NJ,10955
1995,NM,263920
1995,NV,1941534
1995,NY,25993197
1995,OH,232221
1995,OK,2779920
1995,OR,40764465
1995,PA,2030207
1995,RI,9169
1995,SC,3457143
1995,SD,6009871
1995,TN,9628551
1995,TX,1703348
1995,UT,968743
1995,VA,995026
1995,VT,972657
1995,WA,82500153
1995,WI,2378472
1995,WV,1192679
1995,WY,798503
1996,AK,1265863
1996,AL,11081921
1996,AR,2796966
1996,AZ,9214356
1996,CA,44751343
1996,CO,1820368
1996,CT,625923
1996,FL,215560
1996,GA,4678960
1996,HI,104032
1996,IA,935333
1996,ID,13283248
1996,IL,105589
1996,IN,448364
1996,KS,10969
1996,KY,3496989
1996,LA,963924
1996,MA,1188625
1996,MD,2457463
1996,ME,4157394
1996,MI,1783531
1996,MN,1187114
1996,MO,1313738
1996,MT,13794931
1996,NC,5952177
1996,ND,3150873
1996,NE,1601919
1996,NH,1919205
1996,NJ,19033
1996,NM,211499
1996,NV,2164467
1996,NY,28951250
1996,OH,397354
1996,OK,2157775
1996,OR,44906458
1996,PA,3012078
1996,RI,10367
1996,SC,3041064
1996,SD,7977670
1996,TN,11466983
1996,TX,959842
1996,UT,1048957
1996,VA,1428502
1996,VT,1231384
1996,WA,98517855
1996,WI,2696014
1996,WV,1425035
1996,WY,1231797
1997,AK,1098953
1997,AL,11520637
1997,AR,3515704
1997,AZ,12049393
1997,CA,41054546
1997,CO,2031811
1997,CT,446695
1997,FL,241280
1997,GA,4279689
1997,HI,115330
1997,IA,804944
1997,ID,14675627
1997,IL,97174
1997,IN,561593
1997,KS,13881
1997,KY,3380233
1997,LA,1035961
1997,MA,1031687
1997,MD,1588375
1997,ME,3647931
1997,MI,1712464
1997,MN,1034697
1997,MO,1593309
1997,MT,13406494
1997,NC,5625884
1997,ND,3319577
1997,NE,1672419
1997,NH,1621591
1997,NJ,18371
1997,NM,258810
1997,NV,2586974
1997,NY,30617995
1997,OH,507368
1997,OK,2921206
1997,OR,46703700
1997,PA,2249115
1997,RI,7509
1997,SC,2958153
1997,SD,9012260
1997,TN,11037998
1997,TX,1790750
1997,UT,1344161
1997,VA,1020276
1997,VT,1067442
1997,WA,104170551
1997,WI,2483293
1997,WV,1138769
1997,WY,1380713
1998,AK,1113332
1998,AL,10564857
1998,AR,3116743
1998,AZ,10970189
1998,CA,49548200
1998,CO,1461961
1998,CT,448285
1998,FL,198505
1998,GA,5234521
1998,HI,121273
1998,IA,912915
1998,ID,12935550
1998,IL,137713
1998,IN,478668
1998,KS,11425
1998,KY,3116018
1998,LA,1062824
1998,MA,1029741
1998,MD,1739737
1998,ME,3715966
1998,MI,1397118
1998,MN,954643
1998,MO,2346585
1998,MT,11117940
1998,NC,5738207
1998,ND,2295948
1998,NE,1682834
1998,NH,1596748
1998,NJ,20670
1998,NM,236412
1998,NV,3166325
1998,NY,29315778
1998,OH,406427
1998,OK,3508748
1998,OR,39902167
1998,PA,2381352
1998,RI,8676
1998,SC,3569417
1998,SD,5757600
1998,TN,10806028
1998,TX,1424821
1998,UT,1314711
1998,VA,1283295
1998,VT,1194049
1998,WA,79814652
1998,WI,1747424
1998,WV,1086344
1998,WY,1342322
1999,AK,816608
1999,AL,7759602
1999,AR,2694334
1999,AZ,9758817
1999,CA,40736667
1999,CO,1562485
1999,CT,421962
1999,FL,140175
1999,GA,2751174
1999,HI,114902
1999,IA,945622
1999,ID,13499151
1999,IL,142094
1999,IN,406974
1999,KS,12367
1999,KY,2556572
1999,LA,801826
1999,MA,974568
1999,MD,1424197
1999,ME,3755956
1999,MI,1458333
1999,MN,1178933
1999,MO,1853065
1999,MT,13822062
1999,NC,3684186
1999,ND,2609159
1999,NE,1719030
1999,NH,1411282
1999,NJ,17303
1999,NM,242710
1999,NV,2827671
1999,NY,24752318
1999,OH,423031
1999,OK,3175399
1999,OR,45639050
1999,PA,1946598
1999,RI,6050
1999,SC,1687351
1999,SD,6677303
1999,TN,7801957
1999,TX,1120206
1999,UT,1255142
1999,VA,681687
1999,VT,1195696
1999,WA,96989382
1999,WI,1984594
1999,WV,930255
1999,WY,1170225
2000,AK,1001819
2000,AL,5817631
2000,AR,2370483
2000,AZ,8354216
2000,CA,38333786
2000,CO,1454415
2000,CT,526312
2000,FL,86769
2000,GA,2480797
2000,HI,103458
2000,IA,904010
2000,ID,10966695
2000,IL,143828
2000,IN,588276
2000,KS,15332
2000,KY,2324568
2000,LA,532290
2000,MA,1065159
2000,MD,1732619
2000,ME,3590815
2000,MI,1427679
2000,MN,931383
2000,MO,599920
2000,MT,9623257
2000,NC,3137816
2000,ND,2122561
2000,NE,1500724
2000,NH,1427214
2000,NJ,14036
2000,NM,221152
2000,NV,2429468
2000,NY,24909572
2000,OH,583048
2000,OK,2276933
2000,OR,38115630
2000,PA,2290232
2000,RI,4867
2000,SC,1533490
2000,SD,5715508
2000,TN,6396209
2000,TX,828963
2000,UT,746125
2000,VA,711983
2000,VT,1221090
2000,WA,80262889
2000,WI,1985634
2000,WV,1150903
2000,WY,1011035
2001,AK,1345665
2001,AL,8356382
2001,AR,2548250
2001,AZ,7623565
2001,CA,25541776
2001,CO,1494697
2001,CT,286373
2001,FL,147718
2001,GA,2596427
2001,HI,100750
2001,IA,845154
2001,ID,7223126
2001,IL,144027
2001,IN,570692
2001,KS,25562
2001,KY,3855508
2001,LA,732217
2001,MA,702505
2001,MD,1183518
2001,ME,2645123
2001,MI,1561923
2001,MN,831618
2001,MO,1104135
2001,MT,6613474
2001,NC,2595705
2001,ND,1332076
2001,NE,1124122
2001,NH,990579
2001,NJ,18002
2001,NM,237320
2001,NV,2513722
2001,NY,23083955
2001,OH,510785
2001,OK,2344690
2001,OR,28644552
2001,PA,1650004
2001,RI,3143
2001,SC,1225443
2001,SD,3431865
2001,TN,6946529
2001,TX,1200332
2001,UT,508405
2001,VA,1014224
2001,VT,884213
2001,WA,54733895
2001,WI,2056244
2001,WV,951943
2001,WY,879111
2002,AK,1439351
2002,AL,8824787
2002,AR,3435829
2002,AZ,7427180
2002,CA,31140628
2002,CO,1209007
2002,CT,335088
2002,FL,184114
2002,GA,2715722
2002,HI,95068
2002,IA,946383
2002,ID,8769321
2002,IL,128822
2002,IN,411270
2002,KS,12746
2002,KY,4024749
2002,LA,891441
2002,MA,875076
2002,MD,1660989
2002,ME,2767848
2002,MI,1669252
2002,MN,809084
2002,MO,1356928
2002,MT,9566909
2002,NC,3492048
2002,ND,1592616
2002,NE,1097486
2002,NH,1140940
2002,NJ,12030
2002,NM,264591
2002,NV,2267586
2002,NY,25047895
2002,OH,488329
2002,OK,1987844
2002,OR,34413167
2002,PA,2210563
2002,RI,3685
2002,SC,1389751
2002,SD,4353653
2002,TN,7973662
2002,TX,1123492
2002,UT,457732
2002,VA,868216
2002,VT,1114922
2002,WA,78166664
2002,WI,2515017
2002,WV,1065736
2002,WY,583615
2003,AK,1582536
2003,AL,12664867
2003,AR,2654618
2003,AZ,7074984
2003,CA,36370704
2003,CO,1262197
2003,CT,564416
2003,FL,262667
2003,GA,4140270
2003,HI,90505
2003,IA,788593
2003,ID,8354034
2003,IL,138500
2003,IN,423953
2003,KS,12435
2003,KY,3948052
2003,LA,891991
2003,MA,1075182
2003,MD,2646984
2003,ME,3172622
2003,MI,1385823
2003,MN,814573
2003,MO,652477
2003,MT,8701772
2003,NC,7200943
2003,ND,1723904
2003,NE,980110
2003,NH,1331269
2003,NJ,38891
2003,NM,170699
2003,NV,1756705
2003,NY,24268660
2003,OH,510835
2003,OK,1798412
2003,OR,33250332
2003,PA,3346267
2003,RI,6021
2003,SC,3665426
2003,SD,4276303
2003,TN,12003646
2003,TX,896539
2003,UT,421339
2003,VA,1781569
2003,VT,1154038
2003,WA,71756783
2003,WI,1843295
2003,WV,1356031
2003,WY,593555
2004,AK,1498020
2004,AL,10626221
2004,AR,3643439
2004,AZ,6973147
2004,CA,34140929
2004,CO,1194665
2004,CT,462612
2004,FL,265258
2004,GA,3692396
2004,HI,93901
2004,IA,945959
2004,ID,8461655
2004,IL,153529
2004,IN,443721
2004,KS,12547
2004,KY,3780251
2004,LA,1098825
2004,MA,998281
2004,MD,2507521
2004,ME,3430249
2004,MI,1539584
2004,MN,738311
2004,MO,1479914
2004,MT,8856031
2004,NC,5435199
2004,ND,1545864
2004,NE,913021
2004,NH,1315756
2004,NJ,37503
2004,NM,138947
2004,NV,1615123
2004,NY,23989661
2004,OH,729876
2004,OK,2976676
2004,OR,33080819
2004,PA,3155338
2004,RI,5461
2004,SC,2446909
2004,SD,3597509
2004,TN,10408112
2004,TX,1300609
2004,UT,449848
2004,VA,1583050
2004,VT,1187256
2004,WA,71575700
2004,WI,1980676
2004,WV,1318279
2004,WY,593147
2005,AK,1463942
2005,AL,10144581
2005,AR,3082516
2005,AZ,6410064
2005,CA,39631867
2005,CO,1415296
2005,CT,478199
2005,FL,266159
2005,GA,4032053
2005,HI,96188
2005,IA,959526
2005,ID,8542121
2005,IL,129037
2005,IN,438282
2005,KS,11337
2005,KY,2961193
2005,LA,810948
2005,MA,1041950
2005,MD,1703639
2005,ME,4090926
2005,MI,1461708
2005,MN,774729
2005,MO,1159326
2005,MT,9587349
2005,NC,5396502
2005,ND,1341824
2005,NE,871473
2005,NH,1798903
2005,NJ,31113
2005,NM,164993
2005,NV,1702380
2005,NY,25782518
2005,OH,515744
2005,OK,2630361
2005,OR,30948345
2005,PA,2232179
2005,RI,6734
2005,SC,2938147
2005,SD,3074566
2005,TN,9309541
2005,TX,1332560
2005,UT,784463
2005,VA,1484353
2005,VT,1210811
2005,WA,72074649
2005,WI,1740219
2005,WV,1447566
2005,WY,808375
2006,AK,1223607
2006,AL,7251786
2006,AR,1550558
2006,AZ,6792904
2006,CA,48047380
2006,CO,1791207
2006,CT,543892
2006,FL,203422
2006,GA,2568837
2006,HI,120087
2006,IA,909348
2006,ID,11242372
2006,IL,173272
2006,IN,489515
2006,KS,9649
2006,KY,2591701
2006,LA,713215
2006,MA,1512645
2006,MD,2104275
2006,ME,4278132
2006,MI,1520353
2006,MN,571730
2006,MO,199214
2006,MT,10130161
2006,NC,3839012
2006,ND,1521034
2006,NE,893386
2006,NH,1528910
2006,NJ,35436
2006,NM,198211
2006,NV,2057626
2006,NY,27344655
2006,OH,631936
2006,OK,623579
2006,OR,37850297
2006,PA,2844142
2006,RI,5909
2006,SC,1806948
2006,SD,3396833
2006,TN,7748650
2006,TX,661971
2006,UT,746783
2006,VA,1351194
2006,VT,1518665
2006,WA,82007629
2006,WI,1678598
2006,WV,1572433
2006,WY,843316
2007,AK,1291223
2007,AL,4136114
2007,AR,3236753
2007,AZ,6597671
2007,CA,27327751
2007,CO,1729533
2007,CT,363261
2007,FL,154446
2007,GA,2236188
2007,HI,92343
2007,IA,962346
2007,ID,9021690
2007,IL,153727
2007,IN,449936
2007,KS,10501
2007,KY,1668587
2007,LA,826642
2007,MA,797482
2007,MD,1652216
2007,ME,3738168
2007,MI,1269989
2007,MN,653822
2007,MO,1204326
2007,MT,9364336
2007,NC,2984159
2007,ND,1305393
2007,NE,347444
2007,NH,1265229
2007,NJ,20909
2007,NM,267978
2007,NV,2003191
2007,NY,25252555
2007,OH,410436
2007,OK,3065862
2007,OR,33587439
2007,PA,2235982
2007,RI,4364
2007,SC,1555912
2007,SD,2917283
2007,TN,4939601
2007,TX,1644437
2007,UT,538782
2007,VA,1248264
2007,VT,646605
2007,WA,78829195
2007,WI,1516083
2007,WV,1254397
2007,WY,729424
2008,AK,1171801
2008,AL,6136148
2008,AR,4660297
2008,AZ,7285902
2008,CA,24127810
2008,CO,2039327
2008,CT,556177
2008,FL,206158
2008,GA,2144618
2008,HI,84343
2008,IA,819047
2008,ID,9362501
2008,IL,138549
2008,IN,436780
2008,KS,10574
2008,KY,1917470
2008,LA,1064373
2008,MA,1155811
2008,MD,1974078
2008,ME,4457405
2008,MI,1364378
2008,MN,727061
2008,MO,2046773
2008,MT,9999557
2008,NC,3033642
2008,ND,1252790
2008,NE,346456
2008,NH,1633224
2008,NJ,25773
2008,NM,312288
2008,NV,1750620
2008,NY,26723131
2008,OH,386435
2008,OK,3811273
2008,OR,33805024
2008,PA,2548858
2008,RI,4977
2008,SC,1123115
2008,SD,2993107
2008,TN,5646073
2008,TX,1039467
2008,UT,668084
2008,VA,1010993
2008,VT,1492904
2008,WA,77636758
2008,WI,1616142
2008,WV,1248037
2008,WY,835275
2009,AK,1323744
2009,AL,12535373
2009,AR,4192706
2009,AZ,6427345
2009,CA,27888036
2009,CO,1885724
2009,CT,509546
2009,FL,208202
2009,GA,3259683
2009,HI,112649
2009,IA,971165
2009,ID,10434264
2009,IL,136380
2009,IN,503470
2009,KS,12798
2009,KY,3317641
2009,LA,1236351
2009,MA,1201076
2009,MD,1888769
2009,ME,4211679
2009,MI,1371926
2009,MN,809088
2009,MO,1816693
2009,MT,9505940
2009,NC,5171257
2009,ND,1475251
2009,NE,433690
2009,NH,1680492
2009,NJ,32081
2009,NM,270963
2009,NV,2460595
2009,NY,27615106
2009,OH,527746
2009,OK,3552573
2009,OR,33033513
2009,PA,2682866
2009,RI,4736
2009,SC,2332005
2009,SD,4432451
2009,TN,10211962
2009,TX,1028657
2009,UT,835257
2009,VA,1478630
2009,VT,1485825
2009,WA,72932704
2009,WI,1393988
2009,WV,1645927
2009,WY,966572
2010,AK,1433141
2010,AL,8704254
2010,AR,3658962
2010,AZ,6622160
2010,CA,33430870
2010,CO,1578264
2010,CT,390667
2010,FL,177474
2010,GA,3321702
2010,HI,70423
2010,IA,948168
2010,ID,9154244
2010,IL,118543
2010,IN,453712
2010,KS,13214
2010,KY,2580246
2010,LA,1108794
2010,MA,996339
2010,MD,1667396
2010,ME,3810381
2010,MI,1250553
2010,MN,840410
2010,MO,1539347
2010,MT,9414662
2010,NC,4756549
2010,ND,2042118
2010,NE,1313856
2010,NH,1477583
2010,NJ,18119
2010,NM,217010
2010,NV,2157296
2010,NY,25471697
2010,OH,429024
2010,OK,2808788
2010,OR,30542260
2010,PA,2332201
2010,RI,3706
2010,SC,2376444
2010,SD,5238801
2010,TN,8137795
2010,TX,1261832
2010,UT,695512
2010,VA,1500182
2010,VT,1346887
2010,WA,68288383
2010,WI,2111852
2010,WV,1367361
2010,WY,1023887
2011,AK,1344746
2011,AL,8883598
2011,AR,2957845
2011,AZ,9174092
2011,CA,42557467
2011,CO,2082621
2011,CT,567442
2011,FL,182042
2011,GA,2705058
2011,HI,93141
2011,IA,925352
2011,ID,13404799
2011,IL,140462
2011,IN,408779
2011,KS,14745
2011,KY,2969312
2011,LA,1044019
2011,MA,1148762
2011,MD,2547123
2011,ME,3978978
2011,MI,1357308
2011,MN,746148
2011,MO,1185144
2011,MT,12595881
2011,NC,3893396
2011,ND,2580042
2011,NE,1617228
2011,NH,1604811
2011,NJ,24407
2011,NM,194766
2011,NV,2190583
2011,NY,27996988
2011,OH,383655
2011,OK,1506941
2011,OR,42314821
2011,PA,3217216
2011,RI,7411
2011,SC,1554181
2011,SD,6608164
2011,TN,9575639
2011,TX,563054
2011,UT,1230165
2011,VA,1210389
2011,VT,1424733
2011,WA,91817702
2011,WI,2146910
2011,WV,1453109
2011,WY,1223730
2012,AK,1575045
2012,AL,7435223
2012,AR,2198472
2012,AZ,6716934
2012,CA,26837370
2012,CO,1497209
2012,CT,312141
2012,FL,150511
2012,GA,2236300
2012,HI,114581
2012,IA,766191
2012,ID,10940405
2012,IL,111208
2012,IN,433505
2012,KS,10399
2012,KY,2361782
2012,LA,679944
2012,MA,912482
2012,MD,1656539
2012,ME,3732604
2012,MI,1206826
2012,MN,561022
2012,MO,714269
2012,MT,11283465
2012,NC,3727938
2012,ND,2477230
2012,NE,1257054
2012,NH,1247270
2012,NJ,10755
2012,NM,222819
2012,NV,2440415
2012,NY,24652491
2012,OH,414161
2012,OK,1145514
2012,OR,39410178
2012,PA,2241920
2012,RI,4266
2012,SC,1420272
2012,SD,5980965
2012,TN,8295660
2012,TX,584474
2012,UT,747786
2012,VA,1043774
2012,VT,1151321
2012,WA,89464355
2012,WI,1530263
2012,WV,1431440
2012,WY,893470
2013,AK,1435479
2013,AL,12899178
2013,AR,2654740
2013,AZ,5914658
2013,CA,23754599
2013,CO,1212872
2013,CT,401928
2013,FL,254214
2013,GA,3713590
2013,HI,78295
2013,IA,749122
2013,ID,8473451
2013,IL,120295
2013,IN,386928
2013,KS,14518
2013,KY,3275214
2013,LA,1044561
2013,MA,991504
2013,MD,1727020
2013,ME,3560455
2013,MI,1419049
2013,MN,511112
2013,MO,1136427
2013,MT,9638260
2013,NC,6900533
2013,ND,1852421
2013,NE,1123915
2013,NH,1427198
2013,NJ,18274
2013,NM,91838
2013,NV,2681943
2013,NY,24973289
2013,OH,549238
2013,OK,2178078
2013,OR,33097667
2013,PA,2524673
2013,RI,4447
2013,SC,3160274
2013,SD,4062609
2013,TN,12443283
2013,TX,480042
2013,UT,504996
2013,VA,1253670
2013,VT,1285912
2013,WA,78155087
2013,WI,1978872
2013,WV,1738776
2013,WY,710878
2014,AK,1538738
2014,AL,9466872
2014,AR,2639776
2014,AZ,6118261
2014,CA,16531340
2014,CO,1769801
2014,CT,433960
2014,FL,211388
2014,GA,3064347
2014,HI,94083
2014,IA,878605
2014,ID,9002210
2014,IL,132298
2014,IN,371153
2014,KS,16214
2014,KY,3143567
2014,LA,1090038
2014,MA,902077
2014,MD,1615523
2014,ME,3623249
2014,MI,1600022
2014,MN,548488
2014,MO,697336
2014,MT,11482751
2014,NC,4756083
2014,ND,2531360
2014,NE,1157781
2014,NH,1381362
2014,NJ,17296
2014,NM,98381
2014,NV,2389000
2014,NY,26086902
2014,OH,478007
2014,OK,1428473
2014,OR,35261936
2014,PA,2641157
2014,RI,3964
2014,SC,2569126
2014,SD,5498214
2014,TN,8900650
2014,TX,385898
2014,UT,632823
2014,VA,955188
2014,VT,1175321
2014,WA,79463144
2014,WI,2471773
2014,WV,1241974
2014,WY,868710
2015,AK,1568929
2015,AL,9861804
2015,AR,3569195
2015,AZ,6535722
2015,CA,13808498
2015,CO,1620161
2015,CT,302467
2015,FL,244294
2015,GA,2983563
2015,HI,121170
2015,IA,960145
2015,ID,8756622
2015,IL,124460
2015,IN,381236
2015,KS,18963
2015,KY,3403481
2015,LA,999036
2015,MA,827184
2015,MD,1623190
2015,ME,3360527
2015,MI,1499223
2015,MN,849054
2015,MO,1595020
2015,MT,9887729
2015,NC,4742004
2015,ND,2094168
2015,NE,1684980
2015,NH,1270222
2015,NJ,9541
2015,NM,99473
2015,NV,2264136
2015,NY,26014520
2015,OH,456669
2015,OK,2663901
2015,OR,31253851
2015,PA,2603704
2015,RI,3148
2015,SC,2564360
2015,SD,4850485
2015,TN,9581240
2015,TX,956410
2015,UT,768773
2015,VA,1158428
2015,VT,1139498
2015,WA,73404916
2015,WI,2340681
2015,WV,1385043
2015,WY,868261
2016,AK,1659152
2016,AL,6984803
2016,AR,3569986
2016,AZ,7167763
2016,CA,28942121
2016,CO,1902571
2016,CT,224145
2016,FL,174551
2016,GA,3372677
2016,HI,90849
2016,IA,916789
2016,ID,9033272
2016,IL,132834
2016,IN,426265
2016,KS,30538
2016,KY,3477930
2016,LA,1103023
2016,MA,712516
2016,MD,1392187
2016,ME,2999688
2016,MI,1564355
2016,MN,1208502
2016,MO,1268473
2016,MT,10082529
2016,NC,4417186
2016,ND,1912005
2016,NE,856408
2016,NH,1145386
2016,NJ,9478
2016,NM,147972
2016,NV,1789219
2016,NY,26888234
2016,OH,500320
2016,OK,2573424
2016,OR,34549366
2016,PA,2374519
2016,RI,2128
2016,SC,2226074
2016,SD,4805526
2016,TN,6774061
2016,TX,1342005
2016,UT,759542
2016,VA,1471462
2016,VT,1077517
2016,WA,78345809
2016,WI,2795258
2016,WV,1638247
2016,WY,973488
