# File: EIA_oil_first_purchase_price_states.csv
# Title: US Domestic Crude Oil First Purchase Prices by Area
# Units: Dollars per Barrel (nominal dollar)
# Source: EIA https://www.eia.gov/dnav/pet/pet_pri_dfp1_k_m.htm
# Comments: release data May 1 2023
# Column types: innnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Date,U.S. Crude Oil First Purchase Price $/bbl,East Coast (PADD 1) Crude Oil First Purchase Price $/bbl,New York Crude Oil First Purchase Price $/bbl,Pennsylvania Crude Oil First Purchase Price $/bbl,West Virginia Crude Oil First Purchase Price $/bbl,Midwest (PADD 2) Crude Oil First Purchase Price $/bbl,Illinois Crude Oil First Purchase Price $/bbl,Indiana Crude Oil First Purchase Price $/bbl,Kansas Crude Oil First Purchase Price $/bbl,Kentucky Crude Oil First Purchase Price $/bbl,Michigan Crude Oil First Purchase Price $/bbl,Nebraska Crude Oil First Purchase Price $/bbl,North Dakota Crude Oil First Purchase Price $/bbl,Ohio Crude Oil First Purchase Price $/bbl,Oklahoma Crude Oil First Purchase Price $/bbl,South Dakota Crude Oil First Purchase Price $/bbl,Gulf Coast (PADD 3) Crude Oil First Purchase Price $/bbl,Alabama Crude Oil First Purchase Price $/bbl,Arkansas Crude Oil First Purchase Price $/bbl,Louisiana Crude Oil First Purchase Price $/bbl,Mississippi Crude Oil First Purchase Price $/bbl,New Mexico Crude Oil First Purchase Price $/bbl,Texas Crude Oil First Purchase Price $/bbl,Federal Offshore U.S. Gulf Coast Crude Oil First Purchase Price $/bbl,Rocky Mountain (PADD 4) Crude Oil First Purchase Price $/bbl,Colorado Crude Oil First Purchase Price $/bbl,Montana Crude Oil First Purchase Price $/bbl,Utah Crude Oil First Purchase Price $/bbl,Wyoming Crude Oil First Purchase Price $/bbl,West Coast (PADD 5) Crude Oil First Purchase Price $/bbl,California Crude Oil First Purchase Price $/bbl,Alaska Other Crude Oil First Purchase Price $/bbl,Alaska North Slope First Purchase Price $/bbl,Federal Offshore California Crude Oil First Purchase Price $/bbl,U.S. less Alaskan North Slope Crude Oil First Purchase Price $/bbl
2012,94.52,91.19,,88.41,87.16,86.29,88.74,88.62,87.85,87.02,90.91,84.95,84.06,92.87,89.97,83.1,96.11,104.81,89.39,105.97,100.8,88.01,92.5,105.95,82.91,85.78,82.98,82.73,80.7,101.33,104.1,,98.7,97.04,94.11
2011,95.73,90.77,,87.16,86.56,89.38,88.73,88.15,88.52,86,92.4,85.48,88.74,90.79,90.94,87.08,96.79,105.99,87.61,106.2,100.43,90.93,91.99,105.65,85.64,88.26,88.61,82.53,83.45,100.39,102.5,,98.79,96.01,95.35
2010,74.71,71.74,,69.8,70.74,72.45,73.18,72.82,72.43,70.63,74.91,69.65,70.26,73.68,75.18,69.04,76.57,75.54,71.01,78.25,76.41,75.64,76.23,77.06,69.72,72.75,70.24,68.09,68.1,73.29,74.51,,72.33,69.8,75.04
2009,56.35,56.56,,56.96,55.77,55,55.47,55.65,54.41,55.24,56.39,50.93,53.75,56.35,56.56,50.75,57.77,55.25,53.07,59.18,58.29,57.08,57.4,58.22,52.16,52.33,52.96,50.22,52.3,55.23,56.11,,54.41,53.59,56.65
2008,94.04,96.6,,96.76,95.07,92.51,93.48,91.92,92.08,90.87,95.75,87.99,88.68,96.43,96.15,87.42,97.64,96.71,90.91,100.89,94.6,96.23,96.85,99.1,88.23,90.8,89.96,86.58,86.07,90.16,90.47,95.04,90.1,85.68,94.72
2007,66.52,69,69.46,70,67.27,67.16,65.66,65.47,66.85,63.6,66.87,62.78,65.3,68.09,69.31,62.78,68.37,71.1,64.25,71.63,68.65,68.94,68.3,67.4,62.54,67.04,64.64,62.48,58.34,64.24,65.07,69.6,63.69,59.39,67.04
2006,59.69,63.99,63.51,64.02,63.07,60.48,59.7,59.31,60.74,58.33,60.89,57.77,56.69,62.89,63.11,51.85,61.49,63.16,58.67,64.23,59.35,61.74,61.31,60.8,57.38,63.8,56.69,59.7,53.25,57.03,57.34,64.1,56.86,53.37,60.22
2005,50.28,53.84,54.64,54.57,53.75,53.33,51.2,51.02,53.41,49.45,53.67,52.38,52.38,53.47,54.46,50.65,51.96,53.26,50.86,54.05,49.58,52.84,52.61,49.78,50.65,55.34,52.66,53.98,45.63,47.03,47.08,54.19,47.05,43.48,51.02
2004,36.77,39.08,39.4,39.48,38.38,39.4,38.74,38.18,39.18,36.82,39.14,38.42,39.3,38.27,39.95,38.4,38.41,38.79,36.67,40.48,37.03,39.25,38.79,37.07,37.34,40.38,38.53,39.35,35.1,33.69,34.47,38.76,33.03,32.23,37.63
2003,27.56,29.12,28.91,29.6,28.06,29.24,29.1,28.38,28.68,27.21,29.18,28.63,29.27,28.18,29.72,28.94,29.08,28.97,26.57,30.52,27.46,29.52,29.13,28.72,28.09,30.71,28.66,28.88,26.63,24.97,26.43,28.48,23.78,24.25,28.47
2002,22.51,23.94,24.28,24.86,22.55,24.05,23.84,23.43,23.61,22.49,23.68,23.62,24.15,22.61,24.49,23.96,23.74,23.39,21.5,24.84,22.11,24.11,23.77,23.49,23.01,25.29,22.76,23.87,21.96,20.39,21.87,24.47,19.37,19.03,23.33
2001,21.84,23.98,24.19,24.82,22.35,23.95,23.76,23.46,23.56,22.53,22.69,23.67,23.55,22.55,24.68,23.89,23.43,23.18,21.82,24.51,21.13,23.72,23.41,23.29,22.73,24.82,23.16,24.09,21.55,19.03,20.11,23.3,18.18,18.38,22.77
2000,26.72,28.12,28.78,28.8,27.12,28.49,28.14,27.91,28.16,26.47,28.12,27.97,28.19,27.49,29.08,28.18,28.22,27.63,26.98,29.03,26.23,28.8,28.6,27.59,27.6,28.85,27.82,28.53,26.89,24.16,24.82,28.23,23.62,23.32,27.48
1999,15.56,17.36,18.65,18.49,16.46,17.27,17.37,17.31,17.08,16.68,16.63,17.21,16.7,16.41,17.77,16.86,17.07,16.71,15.89,17.73,15.42,17.46,17.29,16.66,16.79,17.37,16.54,17.69,16.47,13.1,14.08,17.44,12.46,11.78,16.38
1998,10.87,13.21,13.66,13.67,11.95,12.29,12.78,12.49,12.19,11.67,12.39,11.5,11.39,12.2,12.73,12.29,12.19,12.08,11.1,12.59,10.33,12.36,12.28,12.03,11.38,12.56,11.28,12.52,10.7,8.8,9.55,11.55,8.47,6.99,11.51
1997,17.23,19.25,18.49,18.79,17.56,18.6,19.11,18.73,18.63,17.97,18.75,18.1,17.63,17.77,19.05,17.8,18.69,18.58,17.58,19.22,16.94,19.02,18.66,18.63,17.8,19.03,17,18.57,17.41,15.06,15.78,17.43,14.84,12.97,17.92
1996,18.46,20.82,20.95,20.99,19.59,20.33,20.86,20.67,20.47,20.24,20.32,19.57,19.46,19.96,20.6,19.56,20.29,20.24,18.67,20.88,18.95,20.79,20.31,20.03,19.85,20.47,18.89,21.1,19.56,15.73,16.72,18.43,15.32,13.82,19.41
1995,14.62,17.18,16.74,16.93,16.53,16.39,16.95,16.88,16.19,16.43,16.63,15.18,15.58,16.67,16.68,15.53,16.38,16.35,14.84,17.06,14.76,16.74,16.38,16.17,15.9,16.67,14.93,17.71,15.5,12.08,14,15.28,11.12,10.81,15.72
1994,13.19,16.23,15.94,16.13,15.68,15.05,15.76,15.66,14.71,15.33,15.43,13.6,14.08,15.98,15.33,14.24,14.97,15,13.74,15.6,13.45,15.32,14.98,14.75,14.27,15.44,13.43,16.38,13.67,10.53,12.12,13.87,9.77,9.32,14.3
1993,14.25,17.28,17.2,17.53,16.76,16.27,16.97,16.97,15.95,16.51,16.79,14.9,15.42,17.44,16.47,15.39,16.23,16.21,15.03,16.9,14.59,16.44,16.19,16.15,15.3,16.59,14.7,17.48,14.59,11.23,12.11,14.11,10.84,9.2,15.31
1992,15.99,18.52,19.05,19.01,18.09,18.63,19.26,19.27,18.5,18.75,18.99,17.51,18.02,18.96,18.74,18.19,18.37,18.22,17.33,19,16.7,18.55,18.32,18.35,17.27,19.04,17.08,19.39,16.38,12.32,13.55,15.56,11.73,10.78,17.38
1991,16.54,19.01,19.67,19.48,,19.58,20.19,20.2,19.84,19.84,19.88,18.78,18.8,19.59,19.59,19.21,19.23,19.05,18.06,20.14,17.65,19.35,19.04,19.41,18.21,19.95,18.17,19.99,17.33,12.3,13.72,15.36,11.57,11.33,18.16
1990,20.03,22.06,23.32,23,22.16,22.88,23.36,23.46,23.21,23.2,22.92,21.94,21.94,23.09,22.95,22.32,22.42,22.09,21.56,23.04,21.06,22.44,22.37,22.4,21.68,23.16,21.61,22.61,21.04,16.15,17.81,21.16,15.23,16.21,21.57
1989,15.86,17.16,,18.15,17.18,18.04,18.36,18.37,18.18,18.36,18.06,17.36,17.12,18.06,18.23,17.33,17.86,17.27,17.34,18.39,17,17.86,17.81,17.83,17.37,18.86,17.03,18.63,16.73,12.71,14.06,16.17,12,12.64,17.13
1988,12.58,14.21,,15.26,14.35,14.65,14.79,14.78,14.55,14.58,14.92,14.08,13.85,15.19,14.86,14.04,14.75,13.86,14.41,15.22,13.98,14.78,14.71,14.71,13.85,14.83,13.84,14.24,13.47,9.28,10.97,12.92,8.43,9.41,13.97
1987,15.4,16.52,17.4,17.43,16.56,17.42,17.53,17.49,17.37,17.19,17.63,17.08,16.76,17.42,17.62,16.96,17.57,16.8,17.23,17.97,16.78,17.57,17.55,17.54,16.77,17.71,16.57,17.22,16.45,11.89,13.92,15.48,10.83,11.82,16.83
1986,12.51,14.76,16.03,15.77,14.68,14.3,14.7,14.55,14.02,14.2,14.61,13.7,13.54,15.51,14.47,13.81,14.89,13.91,14.54,15.32,13.63,14.93,14.73,15.27,13.24,13.98,13.58,13.33,12.94,8.53,11.9,13.13,6.45,9.48,14.13
1985,24.09,25.88,25.19,25.05,24.35,25.94,26.9,26.82,25.33,26.2,26.16,25.42,25.32,25.11,26.28,25.79,26.91,25.77,25.79,27.22,25.51,26.84,26.8,27.33,24.78,25.64,25.29,23.98,24.67,19.11,22.14,22.46,16.98,20.08,25.74
1984,25.88,27.76,27.7,27.71,26.9,28.62,28.76,28.72,27.99,28.24,28.54,27.83,28.39,27.71,29.11,28.36,29.03,29.39,28.15,29.67,27.26,28.69,28.87,29.36,27.18,28.09,28.07,27.21,26.73,19.52,22.09,24.37,17.91,20.41,27.59
1983,26.19,28.32,28.19,28.28,27.27,29.17,29.12,29.06,28.45,28.6,28.93,28.58,29.27,28.14,29.67,29.1,29.45,30.07,28.28,30.02,26.76,29.26,29.35,29.77,27.81,28.92,28.8,28.12,27.19,19.66,22.61,23.59,17.69,20.54,28
1982,28.52,31.77,30.91,30.77,29.98,31.65,31.69,31.66,30.79,31.19,31.8,30.98,31.89,30.9,32.04,31.63,31.92,32.32,30.12,32.44,29.04,31.82,31.77,32.61,30.14,31.56,31.25,30.5,29.37,21.84,24.58,27.74,19.92,23.37,30.43
1981,31.77,35.22,,36.03,35.63,35.63,36.03,36.07,35.8,35.9,35.74,35.32,35.63,36.11,35.43,35.55,35,35.8,33.69,35.45,30.47,35.04,35.06,35.07,33.38,35.69,34.69,34.14,32.3,24.79,26.8,30.15,23.23,24.56,33.71
1980,21.59,22.66,,37.46,36.92,30.12,35.78,35.91,34.2,34.98,23.54,30.6,26.42,36.64,29.25,28.81,21.24,20.57,24.17,19.87,20.85,24.06,21.84,18.87,21.29,22.91,20.53,19.79,21.34,19.09,23.87,10.25,16.87,16.28,22.65
1979,12.64,14.3,,24.13,23.35,18.33,23.49,23.28,21.57,22.55,14.47,18.13,13.64,22.79,17.53,15.35,12.33,11.97,14.72,11.42,10.74,14.33,12.65,11.23,11.98,13.28,12.03,11.41,11.73,11.17,12.78,6.22,10.57,8.06,13.01
1978,9,12.25,,14.72,14.48,11.91,13.81,13.7,13.2,13.73,11.86,11.4,9.75,13.8,11.3,12.16,9.37,10.52,10.63,9.03,7.91,10.17,9.29,9.86,9.5,10.84,9.04,9.98,9.16,6.6,8.58,5.45,5.21,6.1,9.56
1977,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
