# File: AEO_2016_pop_regional.csv
# Title: AEO 2016 Regional Population Assumptions
# Units: million persons
# Comments: Population assumptions by US Census Division from 1990-2040
# region names modified from original dataset to match subregion9 names in states_subregions.csv
# Source: U.S. Energy Information Administration.  Provided by Elizabeth Sendich via email on 12/4/16.  Assumptions correspond to Annual Energy Outlook 2016.
# Column types: iinnnnnnnnn 
# ----------
Year,Quarter,New England,Atlantic-N,Central-NE,Central-NW,Atlantic-S,Central-SE,Central-SW,Mountain,Pacific
2020,2,14.83,41.81,47.39,21.45,67.15,19.62,41.18,26.38,54.86
2020,3,14.84,41.83,47.41,21.47,67.36,19.65,41.3,26.49,54.98
2020,4,14.85,41.85,47.44,21.49,67.56,19.68,41.42,26.59,55.1
2021,1,14.85,41.87,47.46,21.52,67.76,19.71,41.53,26.7,55.22
2021,2,14.86,41.89,47.48,21.54,67.97,19.74,41.65,26.81,55.34
2021,3,14.86,41.91,47.5,21.56,68.17,19.77,41.77,26.92,55.47
2021,4,14.87,41.93,47.53,21.59,68.37,19.8,41.88,27.03,55.59
2022,1,14.88,41.95,47.55,21.61,68.58,19.83,42,27.13,55.71
2022,2,14.88,41.97,47.57,21.63,68.78,19.86,42.12,27.24,55.83
2022,3,14.89,41.98,47.59,21.65,68.98,19.89,42.23,27.35,55.95
2022,4,14.89,42,47.61,21.68,69.18,19.92,42.35,27.46,56.07
2023,1,14.9,42.02,47.63,21.7,69.39,19.95,42.46,27.57,56.19
2023,2,14.91,42.03,47.65,21.72,69.59,19.98,42.58,27.68,56.3
2023,3,14.91,42.05,47.67,21.74,69.79,20.01,42.7,27.78,56.42
2023,4,14.92,42.06,47.69,21.76,69.99,20.04,42.81,27.89,56.54
2024,1,14.92,42.08,47.71,21.79,70.19,20.07,42.93,28,56.66
2024,2,14.93,42.1,47.73,21.81,70.4,20.1,43.04,28.11,56.78
2024,3,14.93,42.11,47.75,21.83,70.6,20.13,43.16,28.22,56.9
2024,4,14.93,42.12,47.77,21.85,70.8,20.15,43.27,28.33,57.01
2025,1,14.94,42.14,47.79,21.87,71,20.18,43.39,28.44,57.13
2025,2,14.94,42.15,47.81,21.9,71.2,20.21,43.5,28.55,57.25
2025,3,14.95,42.16,47.83,21.92,71.4,20.24,43.61,28.66,57.36
2025,4,14.95,42.18,47.85,21.94,71.6,20.27,43.73,28.77,57.48
2026,1,14.95,42.19,47.87,21.96,71.8,20.29,43.84,28.88,57.59
2026,2,14.96,42.2,47.89,21.98,72,20.32,43.95,28.99,57.71
2026,3,14.96,42.21,47.9,22,72.2,20.35,44.07,29.1,57.82
2026,4,14.96,42.22,47.92,22.03,72.4,20.37,44.18,29.21,57.94
2027,1,14.97,42.24,47.94,22.05,72.6,20.4,44.29,29.32,58.05
2027,2,14.97,42.25,47.96,22.07,72.8,20.43,44.41,29.43,58.16
2027,3,14.97,42.26,47.97,22.09,72.99,20.45,44.52,29.54,58.28
2027,4,14.97,42.27,47.99,22.11,73.19,20.48,44.63,29.65,58.39
2028,1,14.98,42.28,48,22.13,73.39,20.5,44.74,29.76,58.5
2028,2,14.98,42.28,48.02,22.15,73.58,20.53,44.85,29.87,58.61
2028,3,14.98,42.29,48.03,22.17,73.78,20.55,44.97,29.98,58.72
2028,4,14.98,42.3,48.05,22.19,73.98,20.58,45.08,30.09,58.83
2029,1,14.98,42.31,48.06,22.21,74.17,20.6,45.19,30.2,58.94
2029,2,14.98,42.32,48.07,22.23,74.36,20.63,45.3,30.31,59.05
2029,3,14.98,42.33,48.09,22.25,74.56,20.65,45.41,30.42,59.16
2029,4,14.99,42.34,48.1,22.27,74.75,20.68,45.52,30.53,59.26
2030,1,14.99,42.34,48.11,22.29,74.95,20.7,45.63,30.64,59.37
2030,2,14.99,42.35,48.12,22.3,75.14,20.72,45.74,30.75,59.48
2030,3,14.99,42.36,48.13,22.32,75.33,20.75,45.84,30.86,59.58
2030,4,14.99,42.37,48.14,22.34,75.52,20.77,45.95,30.97,59.69
2031,1,14.99,42.37,48.15,22.36,75.71,20.79,46.06,31.08,59.79
2031,2,14.99,42.38,48.16,22.38,75.9,20.81,46.17,31.19,59.9
2031,3,14.98,42.39,48.16,22.4,76.09,20.84,46.28,31.3,60
2031,4,14.98,42.39,48.17,22.42,76.28,20.86,46.38,31.41,60.1
2032,1,14.98,42.4,48.18,22.43,76.47,20.88,46.49,31.52,60.2
2032,2,14.98,42.4,48.18,22.45,76.66,20.9,46.6,31.63,60.31
2032,3,14.98,42.41,48.19,22.47,76.84,20.92,46.7,31.74,60.41
2032,4,14.98,42.41,48.19,22.49,77.03,20.94,46.81,31.85,60.51
2033,1,14.98,42.42,48.19,22.51,77.22,20.96,46.91,31.96,60.61
2033,2,14.97,42.42,48.19,22.52,77.4,20.99,47.02,32.06,60.7
2033,3,14.97,42.43,48.2,22.54,77.59,21.01,47.13,32.17,60.8
2033,4,14.97,42.43,48.2,22.56,77.77,21.03,47.23,32.28,60.9
2034,1,14.97,42.43,48.2,22.58,77.96,21.05,47.33,32.39,61
2034,2,14.96,42.44,48.2,22.59,78.14,21.07,47.44,32.5,61.09
2034,3,14.96,42.44,48.2,22.61,78.32,21.08,47.54,32.61,61.19
2034,4,14.96,42.44,48.2,22.63,78.51,21.1,47.65,32.72,61.29
2035,1,14.95,42.45,48.19,22.64,78.69,21.12,47.75,32.83,61.38
2035,2,14.95,42.45,48.19,22.66,78.87,21.14,47.85,32.94,61.47
2035,3,14.94,42.45,48.19,22.68,79.05,21.16,47.95,33.05,61.57
2035,4,14.94,42.45,48.18,22.69,79.23,21.18,48.06,33.16,61.66
2036,1,14.94,42.45,48.18,22.71,79.41,21.2,48.16,33.27,61.75
2036,2,14.93,42.45,48.17,22.73,79.59,21.22,48.26,33.38,61.85
2036,3,14.93,42.46,48.17,22.74,79.77,21.23,48.36,33.49,61.94
2036,4,14.92,42.46,48.16,22.76,79.95,21.25,48.46,33.6,62.03
2037,1,14.92,42.46,48.15,22.77,80.13,21.27,48.56,33.71,62.12
2037,2,14.91,42.46,48.15,22.79,80.31,21.29,48.66,33.82,62.22
2037,3,14.9,42.45,48.14,22.81,80.49,21.3,48.76,33.93,62.31
2037,4,14.9,42.45,48.13,22.82,80.67,21.32,48.86,34.04,62.4
2038,1,14.89,42.45,48.12,22.84,80.84,21.34,48.96,34.15,62.49
2038,2,14.89,42.45,48.11,22.85,81.02,21.35,49.06,34.25,62.58
2038,3,14.88,42.45,48.1,22.87,81.2,21.37,49.16,34.36,62.67
2038,4,14.87,42.44,48.09,22.88,81.37,21.39,49.26,34.47,62.76
2039,1,14.87,42.44,48.07,22.9,81.55,21.4,49.36,34.58,62.85
2039,2,14.86,42.44,48.06,22.91,81.72,21.42,49.46,34.69,62.94
2039,3,14.85,42.43,48.05,22.92,81.9,21.43,49.56,34.8,63.03
2039,4,14.85,42.43,48.03,22.94,82.08,21.45,49.66,34.91,63.12
2040,1,14.84,42.42,48.02,22.95,82.25,21.47,49.76,35.02,63.21
2040,2,14.83,42.41,48.01,22.97,82.43,21.48,49.85,35.14,63.3
2040,3,14.82,42.41,47.99,22.98,82.6,21.5,49.95,35.25,63.39
2040,4,14.82,42.4,47.98,22.99,82.78,21.51,50.05,35.36,63.48
