# File: reeds_PV_curve_grid_cost.csv
# Title: Solar PV Grid Interconnection Costs by ReEDS Region; PV Class; and Bin
# Units: 2005$/MW
# Comments: These costs are the additional cost in $/MW (2005 USD) for interconnecting to the grid on top of the capital and OM costs. Note that we need to apply an FCR to these interconnection costs.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: ccnnnnn 
# ----------
BA,PV.class,upvsc1,upvsc2,upvsc3,upvsc4,upvsc5
p31,class8,121923.7229,212143.9016,282434.2307,352419.808,426492.638
p32,class5,116780.2968,173406.6158,213937.9955,245927.8809,285784.4452
p32,class6,51254.87759,105811.4948,138956.8609,181645.3089,213499.4909
p33,class4,215145.5271,289347.6408,326556.387,368540.9445,392649.3602
p33,class5,116517.9833,247324.4117,320194.8248,436064.4357,485965.2708
p33,class6,168400.2213,252383.0105,306724.5868,370900.7892,457656.1565
p33,class7,58486.65706,94320.31113,154485.6238,230456.3421,510953.934
p34,class4,228859.845,251154.5402,255693.2396,0,0
p34,class5,157912.416,305028.1791,397507.1089,485843.0178,558815.3194
p34,class6,192104.4342,264508.7888,318619.3689,382085.1549,517644.0981
p34,class7,187412.957,270859.4169,326189.5566,372625.7078,453276.5525
p34,class8,40206.97675,75945.09724,283895.7761,304484.7093,414351.3154
p35,class3,229430.0771,304910.7221,340795.9432,389395.0662,440317.2818
p35,class4,118436.4316,185059.0968,238153.3296,299903.8215,383862.6805
p35,class5,91116.98428,279399.9898,328917.3658,374387.1661,425272.8193
p36,class3,90085.23171,213326.4406,417386.4831,468318.4686,517594.8074
p36,class4,148855.9314,232277.7805,286483.3153,337872.79,400363.1931
p36,class5,138570.8145,318323.9864,374520.5672,408061.29,432062.9298
p37,class3,133056.4073,213531.7207,278216.5666,340154.333,438602.593
p37,class4,184458.9011,244250.7367,283246.9961,321697.0756,406276.5902
p38,class3,113586.9134,361333.527,416049.5743,452501.5062,476896.8486
p38,class4,149717.4616,238693.1642,317135.9332,398599.2896,468174.0322
p38,class5,197010.6985,306144.3348,357073.6505,401244.9736,457662.1908
p39,class5,97167.97597,160726.4502,206373.5924,256986.0909,309684.7077
p39,class6,100782.4676,152635.1451,191860.0073,264926.2548,376848.8056
p40,class4,179919.9988,230281.6356,269041.0322,303338.9876,333927.457
p40,class5,132959.6325,214393.1482,278229.381,334018.7444,396785.3357
p40,class6,58779.74183,263081.6881,385945.6448,412024.4774,434170.9596
p41,class4,71309.41077,105004.441,142826.3472,185166.3952,245470.2469
p41,class5,48297.79673,133269.7393,171811.7139,218417.8342,259476.453
p42,class3,109580.1624,176385.1048,231925.708,295759.6091,380538.5515
p42,class4,92499.5545,150086.3541,176379.2806,222954.2113,324842.5589
p43,class3,156526.9651,241037.3585,322371.6495,392949.4736,487017.6963
p43,class4,125203.5011,233837.7378,304488.0559,366564.6385,460707.283
p44,class4,85747.45872,130069.7475,163335.4498,197074.6152,235759.9042
p45,class3,41716.59204,162287.474,187386.9307,209670.4381,229097.277
p45,class4,114310.6846,173276.4731,206914.4579,239217.5901,282675.9196
p46,class3,111496.8267,169250.1217,217673.419,289445.1829,411031.9905
p46,class4,104678.8127,177286.3056,236038.101,289182.5753,360977.6382
p47,class7,104583.5927,163429.3917,208231.7672,255772.1321,328491.2099
p47,class8,84447.6263,192796.7721,239697.7152,270201.8861,291644.0058
p48,class6,152519.8209,220013.0568,268441.3794,306651.0219,347484.0026
p48,class7,112727.2234,173549.5131,208553.674,239800.7627,289171.4451
p49,class6,63527.39463,98951.77784,138576.5899,181327.9928,225792.4333
p49,class7,84667.17057,126798.3457,173075.8438,220237.3962,266899.4986
p50,class4,123104.2991,262179.1304,309209.5048,342926.0306,375047.9031
p50,class5,120367.8223,184069.4027,233701.1129,284015.7296,339722.6855
p50,class6,227315.382,291976.2758,332372.3674,366167.7743,399710.2445
p51,class4,79807.18947,198451.0674,206068.058,225183.098,230667.5099
p51,class5,86800.98194,130136.7487,158744.2313,185705.6337,224137.4669
p52,class5,65355.62075,348189.105,367417.0229,379359.1842,390302.2264
p52,class6,100670.4386,153695.9921,195555.184,244705.4978,323915.1935
p52,class7,46812.83935,132624.2717,157528.4508,186360.3097,232925.209
p53,class4,132228.5223,163412.5313,192930.6737,223099.4825,268784.9884
p53,class5,134041.1646,217102.5767,269909.978,323273.6294,381031.684
p53,class6,185131.2798,242013.6891,296855.2895,350399.8057,424029.5544
p54,class4,109687.3935,166618.7469,202016.9604,234080.9764,282313.4601
p55,class4,86774.29625,134948.9508,176031.8048,215033.806,252363.679
p55,class5,69173.63866,147070.9508,165221.9337,189406.8865,214965.1701
p56,class4,100818.8988,175158.1245,224932.5739,288195.3965,331483.4826
p56,class5,69422.488,113348.8658,144174.144,176534.245,231522.5779
p57,class5,74001.38906,104949.0879,127613.2186,155873.4169,194959.1015
p58,class4,78733.38113,326888.835,371818.211,412651.8596,472062.8203
p58,class5,163057.3295,259876.3092,324936.5044,382300.6632,462850.4054
p58,class6,104056.9234,294247.8257,325063.4263,334774.2493,342162.4436
p59,class7,68772.95286,149865.0648,0,0,0
p59,class8,52563.60132,71229.83222,88142.86531,104740.9894,129495.0837
p60,class6,107913.0061,176470.3335,221025.8466,280012.3157,364647.0453
p60,class7,129371.9102,178844.6347,207822.7408,225274.1956,246998.323
p61,class5,260747.1178,480001.7594,503086.7161,522459.9454,547168.5381
p61,class6,108218.5195,170978.8744,222069.4435,279115.9932,383557.035
p61,class7,255635.5273,331090.5587,381567.7362,438927.5991,534831.2571
p61,class8,185805.9601,287296.0988,407156.1009,546723.4547,643290.832
p62,class6,67542.59757,150146.8035,168424.9052,181499.5653,210438.9679
p62,class7,93235.09632,138586.459,167543.1651,192450.7184,243175.4119
p63,class5,154053.5046,213421.3313,253514.2234,291180.471,337092.5128
p63,class6,266039.8619,317612.5339,349309.8544,374253.6639,406904.6443
p64,class4,40389.46542,74328.6503,172476.7478,178469.3684,0
p64,class5,120192.362,184243.8547,226500.3998,264737.4848,346097.636
p64,class6,219411.4583,274528.4912,322123.4837,349034.2898,381733.9425
p65,class4,224698.3165,264547.908,272191.4739,279572.235,286480.8377
p65,class5,138360.7718,221409.1825,277532.9148,338604.1403,438736.7364
p65,class6,130716.5737,322595.2606,354347.3065,393476.7026,444696.7007
p66,class4,92441.53079,149388.9093,195118.6706,250450.7656,344500.3494
p66,class5,117904.5467,208002.85,274934.8019,361283.4927,431340.7286
p67,class4,36738.18851,92919.38352,127019.5547,168347.8449,201075.6626
p67,class5,45135.7897,108546.4095,131320.9905,153221.8661,188982.6108
p68,class3,79383.3286,121173.4388,176776.7181,226810.6145,263227.6259
p68,class4,86250.8404,135071.2079,165094.8069,192242.5646,226401.221
p69,class3,83317.51632,120542.4403,154349.7383,188447.8086,214699.9585
p69,class4,69275.63367,109395.2989,139131.7665,160181.66,186327.0737
p70,class3,93408.59697,170336.6649,232305.6377,274066.3519,313346.6766
p70,class4,122043.227,193312.401,237932.6471,275834.3317,338817.4761
p71,class4,76524.3467,112179.1865,137444.1464,162857.3695,190573.8214
p72,class4,117847.5691,184607.4494,228712.6363,284141.8198,350265.8873
p73,class4,68410.77229,111834.0517,145670.686,201857.5124,274199.1587
p74,class3,92741.83992,151947.2973,200684.1349,252585.9843,323729.2585
p74,class4,43434.31121,126527.0604,221903.9382,239538.755,290469.2172
p75,class3,137592.3637,180485.839,211764.8227,251462.7615,307153.7625
p75,class4,66266.33333,142488.1536,189106.9838,223374.158,295260.9865
p76,class3,74428.16727,113647.9412,139204.1832,163906.3222,218892.1587
p76,class4,68834.37923,95057.70157,123516.504,194604.2802,255488.9152
p77,class3,96607.33152,135515.8728,165623.772,199172.4181,236885.6576
p77,class4,69285.26051,101754.9319,171295.4903,227469.2728,265286.3054
p78,class3,65176.22056,88708.68479,108821.0645,126517.8606,150364.1176
p78,class4,39258.49918,48667.26224,66050.63186,79016.09959,98522.99592
p79,class3,87041.68417,129080.8962,164070.9301,198506.015,247949.2035
p79,class4,35692.71261,49912.76513,178752.8775,241495.7196,273767.235
p80,class3,151251.5788,209094.4544,249107.1623,288648.1449,359816.4206
p80,class4,70598.65581,259093.0457,316951.9749,355045.7452,449956.4178
p81,class3,35822.22674,211214.4028,234859.9913,245144.3712,253160.1345
p81,class4,113852.1379,183278.7836,231389.1595,280790.4956,340343.2221
p82,class3,68057.34589,224151.8451,225475.3943,227003.9677,0
p82,class4,68368.2731,109081.702,141481.591,167183.4963,199200.8625
p83,class3,145713.3124,229080.9747,246857.1449,262109.8491,272923.3759
p83,class4,97156.87089,145343.3805,180083.1071,231054.1601,295072.8412
p84,class4,121802.0802,203495.5389,273242.7959,356105.365,472564.6368
p84,class5,60558.4996,250534.8724,320671.4232,398537.3536,456744.026
p85,class4,153353.3049,261395.662,340137.8438,401618.9491,475865.3991
p85,class5,176378.8138,281410.0964,337393.4017,385956.881,466346.244
p86,class5,103678.0858,157593.7037,204710.3798,251906.3302,306664.5423
p87,class4,34777.10578,368135.2688,394655.0794,420507.2031,454786.6205
p87,class5,168466.1826,275421.7753,341251.301,403747.7376,510264.295
p88,class4,159510.9559,183257.9239,208493.1189,233303.328,259108.5127
p88,class5,82998.28478,126301.8282,162212.7764,206555.5756,261361.9282
p89,class4,125585.6891,203142.0473,258695.4373,302226.1163,350265.8416
p89,class5,113898.0393,207935.4431,261543.6388,318282.4182,382270.9136
p90,class4,72329.87592,141105.5361,199430.3641,290949.3738,355274.5247
p90,class5,132838.9724,219208.6858,271529.7367,324416.0895,396336.8962
p90,class6,49251.83629,66316.02444,95276.00677,108104.0847,127697.0682
p91,class5,101573.8793,164906.8913,221860.3938,289298.3394,360092.7185
p91,class6,32541.2223,47291.63683,86932.81113,159399.146,307392.6557
p92,class4,106789.2872,190168.8566,277915.3543,342398.2803,406829.9756
p92,class5,35562.33442,62660.37013,199395.6149,356727.5844,399447.9688
p93,class4,82463.31963,141492.4425,227719.6939,286677.5844,352507.303
p94,class4,102186.5946,357278.965,395745.1201,426963.9662,459836.749
p94,class5,183143.9534,314876.9183,414986.1179,529382.1781,683794.0558
p95,class5,69232.37315,109741.6187,141243.6671,174839.1331,215722.3772
p96,class5,103312.3569,161128.6914,199022.84,229469.9268,276315.306
p96,class6,55604.69047,0,0,0,0
p97,class4,52453.72779,118992.1513,178032.1851,252650.71,347068.1607
p97,class5,75049.44467,120700.6861,156125.6911,191822.8758,239847.7119
p98,class4,66432.6716,169884.5704,284515.6561,333469.5875,356007.7008
p98,class5,110786.901,181365.3774,226312.2871,265726.5147,326860.1868
p99,class4,92402.93401,152745.4109,202545.2751,254385.1865,358909.96
p99,class5,207618.3449,301486.9561,377156.9082,430455.3683,475294.6102
p100,class4,68625.97514,110272.5955,147836.7577,207250.8474,254972.2497
p101,class5,132252.0687,254488.5991,347122.3742,445991.0142,555496.2468
p101,class6,69095.93726,210151.0669,268477.3654,312386.6571,365401.6247
p102,class5,81865.46266,130992.386,209486.4227,280312.3666,339247.1457
p102,class6,39883.11793,62610.06291,98688.42676,170515.4976,322600.5291
p103,class3,138977.7011,223731.1191,306684.931,421066.5781,548956.7485
p103,class4,100551.6002,294116.4095,342194.1889,377474.1244,519986.667
p104,class3,70138.76001,107905.9033,137691.0254,164607.0638,210548.5864
p105,class3,94675.56563,146902.1597,178605.2279,208677.143,251697.5375
p105,class4,100581.943,146873.9591,188191.337,217286.3644,243749.4689
p106,class3,50215.30054,123254.9443,126020.4053,126426.8384,130867.1103
p106,class4,38154.01353,75318.32963,87876.42188,102016.5689,119109.4001
p107,class3,45442.4539,152825.0376,183499.1887,197067.2381,211123.5114
p107,class4,102733.1697,147283.6924,172672.1987,194978.0956,230384.7361
p108,class4,69138.57036,99518.03436,122838.4124,153599.5089,191891.9216
p109,class4,97945.69233,173327.6593,230992.4013,292808.4086,361843.4626
p110,class4,37090.711,48028.54472,81550.31436,109111.0767,165299.5646
p111,class3,99237.80876,183782.5718,260673.5703,329445.1534,453554.2811
p112,class3,132204.22,208628.6692,269830.9806,344609.7716,446832.6298
p112,class4,57527.32227,196665.7926,261500.3936,322731.3511,396360.7922
p113,class3,33132.65145,109022.5577,138214.0506,160185.6399,182446.7567
p113,class4,65661.50534,109400.6826,146301.4772,178651.503,214297.6462
p114,class4,49761.56405,107705.51,137264.6815,178957.3254,235104.1203
p115,class3,39826.8181,96033.66659,155774.8607,206243.6949,254746.7203
p116,class3,48220.42344,113530.9523,165279.8089,216074.2336,306386.2553
p116,class4,60923.82393,112727.4492,179189.4746,244277.0146,336271.2852
p117,class3,81153.9201,154860.0654,220294.6547,221435.7939,228434.726
p117,class4,41971.5575,95475.55546,191903.0594,244986.4414,293611.0644
p118,class4,67614.56064,148803.9739,223796.1724,300897.6035,409148.1416
p118,class5,40405.09034,140363.9548,252697.7541,313606.1757,432247.2308
p119,class3,68685.05376,121790.566,165093.6015,251080.3365,309876.4567
p120,class3,79639.86348,121081.2136,140119.3133,150793.1216,159328.6961
p120,class4,53781.16345,75827.35826,98956.52753,132266.6801,162354.5818
p121,class3,64228.24817,187577.0317,212253.6132,243581.7251,285220.4179
p121,class4,51461.36236,85732.19731,123033.0232,161518.2719,210106.6624
p122,class2,129202.0676,503243.6499,547822.2094,562547.4383,573497.3402
p122,class3,110412.2818,214534.8416,288492.8925,366458.0111,472688.9045
p122,class4,52539.06796,121125.4645,168023.3896,205883.3722,244746.7241
p123,class4,89036.65968,155645.6586,198530.6219,238983.4448,288922.6014
p123,class5,56154.0728,108090.7498,158053.2365,188230.8479,210205.4131
p124,class4,116299.3591,124997.7556,134013.3315,143699.1596,161388.206
p124,class5,61128.10133,94084.82246,123131.1575,155682.6637,200050.9781
p125,class4,74704.27188,127753.2362,200618.7041,265228.546,321541.4075
p126,class3,55577.23339,61949.29647,108737.2227,210776.0812,219185.4274
p126,class4,75447.60542,124775.0779,170941.1982,218557.9126,269593.0936
p127,class2,82581.06732,385100.9492,393556.4865,427721.3081,472767.8378
p127,class3,201594.123,318209.016,402306.6255,471714.5751,549021.3456
p127,class4,38951.73618,89457.73177,139813.0231,182442.0236,262912.301
p128,class4,116453.5672,214903.2844,294103.5122,377325.1842,413595.6389
p129,class2,284463.0535,391446.2111,468794.6385,0,0
p129,class3,88512.61618,214104.2765,341272.9827,437174.3396,559570.5608
p129,class4,51995.49181,0,0,0,0
p130,class3,74398.54785,242682.6955,350021.4897,497234.72,611768.1378
p130,class4,69372.91691,136515.9512,201424.3209,267164.33,379529.2045
p131,class3,72751.50992,215453.3996,374116.599,461641.7015,579846.702
p131,class4,67052.30624,172871.3866,260255.1808,346496.4039,499371.4036
p132,class3,100842.2482,256544.5703,295824.3736,334098.4489,366487.0098
p132,class4,61136.72288,146146.9233,218988.6147,278322.3114,353831.9209
p133,class4,56094.00858,112769.1201,146381.294,185782.6473,230719.5135
p134,class3,228638.943,484482.2781,628269.5178,766706.3717,963329.6562
p134,class4,117802.8342,234992.6857,328156.7786,430539.3644,615471.6368
