# File: AEO_2016_GDP_regional.csv
# Title: AEO 2016 Gross Regional Product Assumptions
# Units: billion 2005 dollars
# Comments: GDP assumptions by US Census Division from 1990-2040
# region names modified from original dataset to match subregion9 names in states_subregions.csv
# Source: U.S. Energy Information Administration.  Provided by Elizabeth Sendich via email on 12/4/16.  Assumptions correspond to Annual Energy Outlook 2016.
# Column types: iinnnnnnnnn 
# ----------
Year,Quarter,New England,Atlantic-N,Central-NE,Central-NW,Atlantic-S,Central-SE,Central-SW,Mountain,Pacific
2007,3,810.82,2235.91,2134.21,952.26,2766.77,698.03,1669.11,1004.47,2666.9
2007,4,813.45,2243.37,2138.23,956.76,2773.86,698.63,1678.57,1010.72,2678.2
2008,1,812.12,2232.68,2119.11,960.84,2739.4,700.31,1667.35,999.33,2658.36
2008,2,817.67,2245.27,2125.7,970.56,2745.23,705.23,1677.81,1004.07,2671.86
2008,3,815.27,2235.99,2111.59,970.85,2724.33,703.29,1671.94,999.01,2659.32
2008,4,799.54,2190.24,2063.17,955.17,2659.23,689.85,1638.75,977.66,2603.38
2009,1,786.89,2145.19,2023.2,940.3,2634.37,677.62,1633.33,962.78,2571.31
2009,2,786.07,2137.34,2013.69,941.25,2631.14,676.47,1639.47,960.79,2569.39
2009,3,788.89,2139.31,2013.41,946.59,2640.08,678.44,1653.27,963.18,2579.33
2009,4,796.83,2155.95,2027.51,958.42,2667.91,685.52,1673.67,972.95,2603.14
2010,1,800.39,2163.37,2032.44,961.6,2681.61,687.76,1684.15,976.56,2616.91
2010,2,808.16,2182.45,2051.62,971.2,2706.29,693.18,1705.96,985.49,2641.55
2010,3,814.71,2192.9,2062.06,978.05,2725.62,697.04,1722.65,992.91,2659.55
2010,4,818.7,2205.56,2072.98,983.44,2746.12,701.55,1734.22,999.9,2676.52
2011,1,814.96,2196.65,2064.06,978.13,2736.58,698.71,1729.66,996.61,2665.95
2011,2,820.22,2212.86,2075.65,985.07,2757.83,703.24,1744.36,1004.1,2686.27
2011,3,821.32,2216.02,2077.88,986.1,2764.83,704.77,1750.6,1006.68,2692.88
2011,4,829.76,2240.51,2101.76,996.46,2796.37,712.47,1771.8,1018.37,2722.8
2012,1,833.98,2252.88,2114.31,1002.19,2817.18,717.59,1787.5,1025.77,2739.6
2012,2,836.8,2261.46,2121.77,1005.87,2831.8,721.4,1799.79,1030.99,2752.53
2012,3,836.59,2261.28,2121.35,1006.93,2837.41,722.5,1804.36,1032.96,2757.42
2012,4,835.4,2259.87,2117.33,1005.63,2840.65,722.99,1806.65,1033.53,2762.26
2013,1,838.49,2268.06,2127.13,1010.22,2855.06,726.72,1817.23,1038.41,2775.87
2013,2,839.96,2271.54,2132.99,1012.82,2866.13,728.79,1823.74,1041.76,2782.47
2013,3,845.28,2285.28,2148.17,1020.12,2888.71,734.21,1838.38,1049.91,2804.35
2013,4,852.21,2305.46,2167.82,1029.14,2918.27,740.92,1855.94,1060.52,2831.24
2014,1,849.13,2297.24,2160.48,1026.23,2915.55,739.33,1854.17,1058.71,2824.07
2014,2,857.95,2320.45,2182.3,1037.55,2952.01,747.87,1876.72,1071.81,2854.85
2014,3,866.04,2341.62,2202.56,1048.25,2986.05,755.32,1897.74,1084.03,2887.19
2014,4,869.7,2350.86,2211.7,1053.31,3003.73,758.76,1908.9,1090.84,2903.6
2015,1,869.92,2353,2213.19,1054,3010.39,759.67,1913.18,1093.68,2910.28
2015,2,877.54,2373.97,2232.29,1063.47,3041.17,766.75,1933.49,1104.95,2939.96
2015,3,880.14,2380.82,2238.31,1067.63,3053.81,769.23,1942.58,1109.61,2952.08
2015,4,884.73,2393.27,2249.24,1073.3,3073.32,773.3,1956.11,1116.54,2970.29
2016,1,891.49,2409.93,2263.63,1081.32,3101.05,779.42,1975.4,1129.71,2995.59
2016,2,897.84,2425.49,2276.96,1088.83,3127.51,785.24,1993.84,1142.43,3019.42
2016,3,905.47,2444.48,2293.47,1097.89,3158.46,792.22,2015.12,1156.84,3047.47
2016,4,913.19,2463.71,2310.2,1107.06,3189.83,799.31,2036.67,1171.47,3075.82
2017,1,919.23,2478.37,2322.61,1114.16,3215.34,804.93,2054.47,1184,3098.46
2017,2,923.89,2489.32,2331.53,1119.6,3236.09,809.37,2069.22,1194.82,3116.47
2017,3,928.48,2499.99,2340.23,1124.92,3256.61,813.76,2083.82,1205.59,3134.23
2017,4,932.27,2508.52,2346.9,1129.27,3274.32,817.45,2096.62,1215.37,3149.3
2018,1,937.63,2521.26,2357.5,1135.52,3297.56,822.52,2112.97,1227.26,3169.68
2018,2,942.62,2533.01,2367.13,1141.3,3319.5,827.27,2128.49,1238.71,3188.81
2018,3,947.69,2544.91,2376.95,1147.18,3341.74,832.1,2144.21,1250.31,3208.25
2018,4,952.6,2556.4,2386.35,1152.86,3363.44,836.79,2159.59,1261.77,3227.17
2019,1,957.73,2568.46,2396.27,1158.8,3385.9,841.68,2175.47,1273.56,3246.84
2019,2,962.26,2578.91,2404.66,1163.99,3406.24,846.04,2190,1284.6,3264.49
2019,3,967.22,2590.45,2414.11,1169.71,3428.12,850.78,2205.52,1296.25,3283.62
2019,4,972.15,2601.92,2423.48,1175.4,3449.91,855.5,2221.01,1307.93,3302.69
2020,1,977.17,2613.62,2433.03,1181.18,3472.02,860.31,2236.7,1319.77,3322.07
2020,2,981.74,2624.12,2441.44,1186.41,3492.52,864.71,2251.37,1331.05,3339.94
2020,3,985.69,2632.97,2448.31,1190.9,3510.86,868.58,2264.65,1341.53,3355.75
2020,4,989.92,2642.55,2455.83,1195.72,3530.16,872.68,2278.57,1352.42,3372.49
2021,1,994.58,2653.31,2464.43,1201.07,3551.02,877.18,2293.5,1363.95,3390.75
2021,2,998.75,2662.74,2471.77,1205.81,3570.11,881.23,2307.3,1374.84,3407.33
2021,3,1003.09,2672.54,2479.52,1210.78,3589.84,885.44,2321.52,1385.99,3424.51
2021,4,1007.63,2682.89,2487.75,1215.99,3610.3,889.83,2336.22,1397.47,3442.41
2022,1,1012.7,2694.67,2497.28,1221.84,3632.69,894.69,2352.17,1409.73,3462.16
2022,2,1017.59,2705.96,2506.34,1227.48,3654.44,899.4,2367.73,1421.8,3481.3
2022,3,1022.59,2717.47,2515.64,1233.24,3676.59,904.2,2383.55,1434.06,3500.83
2022,4,1027.98,2730.02,2525.88,1239.49,3700.18,909.35,2400.31,1446.93,3521.73
2023,1,1034.27,2744.96,2538.29,1246.81,3727.01,915.29,2419.19,1461.11,3545.71
2023,2,1039.89,2758.1,2549.02,1253.32,3751.43,920.64,2436.52,1474.4,3567.41
2023,3,1045.6,2771.37,2559.94,1259.93,3776.19,926.06,2454.09,1487.86,3589.44
2023,4,1051.38,2784.85,2571.01,1266.63,3801.24,931.56,2471.86,1501.49,3611.74
2024,1,1057.27,2798.59,2582.3,1273.45,3826.67,937.14,2489.89,1515.32,3634.42
2024,2,1062.57,2810.79,2592.15,1279.58,3850.02,942.21,2506.59,1528.37,3655.12
2024,3,1068.02,2823.29,2602.33,1285.89,3873.92,947.41,2523.65,1541.69,3676.35
2024,4,1073.67,2836.31,2612.96,1292.44,3898.54,952.78,2541.21,1555.35,3698.27
2025,1,1079.67,2850.23,2624.4,1299.4,3924.43,958.46,2559.61,1569.56,3721.4
2025,2,1085.36,2863.35,2635.07,1306,3949.23,963.87,2577.32,1583.39,3743.5
2025,3,1090.93,2876.13,2645.42,1312.47,3973.62,969.17,2594.78,1597.1,3765.23
2025,4,1096.33,2888.44,2655.33,1318.73,3997.38,974.32,2611.85,1610.6,3786.36
2026,1,1101.73,2900.75,2665.19,1324.99,4021.14,979.46,2628.93,1624.15,3807.49
2026,2,1106.98,2912.66,2674.67,1331.06,4044.35,984.47,2645.68,1637.54,3828.12
2026,3,1112.58,2925.39,2684.97,1337.55,4068.88,989.79,2663.32,1651.5,3849.99
2026,4,1118.32,2938.47,2695.57,1344.2,4093.9,995.23,2681.3,1665.72,3872.33
2027,1,1123.9,2951.09,2705.73,1350.64,4118.31,1000.52,2698.91,1679.74,3894.11
2027,2,1129.27,2963.17,2715.37,1356.84,4141.96,1005.62,2716.04,1693.51,3915.17
2027,3,1134.9,2975.91,2725.59,1363.35,4166.57,1010.95,2733.83,1707.72,3937.15
2027,4,1140.73,2989.19,2736.28,1370.1,4191.95,1016.47,2752.15,1722.29,3959.86
2028,1,1146.58,3002.49,2746.97,1376.86,4217.37,1021.99,2770.52,1736.94,3982.59
2028,2,1152.02,3014.69,2756.62,1383.12,4241.26,1027.13,2787.92,1751,4003.9
2028,3,1157.7,3027.54,2766.84,1389.69,4266.07,1032.51,2805.95,1765.48,4026.09
2028,4,1163.3,3040.15,2776.81,1396.15,4290.56,1037.8,2823.79,1779.9,4047.99
2029,1,1168.61,3051.99,2786.03,1402.26,4313.96,1042.83,2840.95,1793.91,4068.88
2029,2,1173.67,3063.2,2794.65,1408.09,4336.47,1047.65,2857.55,1807.61,4088.95
2029,3,1179.13,3075.44,2804.16,1414.38,4360.43,1052.81,2875.14,1821.97,4110.41
2029,4,1184.72,3088.01,2813.92,1420.84,4384.87,1058.1,2893.07,1836.58,4132.33
2030,1,1190.2,3100.29,2823.39,1427.18,4408.91,1063.28,2910.76,1851.07,4153.88
2030,2,1196.3,3114.17,2834.27,1434.25,4435.22,1069.02,2929.99,1866.58,4177.6
2030,3,1201.7,3126.23,2843.45,1440.49,4458.95,1074.13,2947.54,1881.06,4198.89
2030,4,1207.41,3139.09,2853.32,1447.1,4483.82,1079.52,2965.88,1896.09,4221.28
2031,1,1213.2,3152.15,2863.32,1453.82,4508.98,1084.99,2984.45,1911.27,4243.96
2031,2,1218.52,3163.98,2872.17,1459.97,4532.39,1090.02,3001.89,1925.77,4265.01
2031,3,1223.97,3176.14,2881.28,1466.28,4556.26,1095.18,3019.67,1940.53,4286.51
2031,4,1229.26,3187.9,2889.97,1472.4,4579.55,1100.19,3037.11,1955.09,4307.49
2032,1,1234.75,3200.15,2899.06,1478.76,4603.54,1105.38,3055.03,1970.01,4329.14
2032,2,1240.06,3211.96,2907.72,1484.92,4626.89,1110.41,3072.58,1984.72,4350.21
2032,3,1245.85,3224.98,2917.42,1491.64,4651.97,1115.86,3091.31,2000.23,4372.93
2032,4,1251.82,3238.45,2927.49,1498.59,4677.71,1121.47,3110.53,2016.09,4396.29
2033,1,1257.59,3251.42,2937.05,1505.29,4702.71,1126.9,3129.28,2031.7,4418.97
2033,2,1263.36,3264.37,2946.56,1512.01,4727.69,1132.33,3148.07,2047.36,4441.66
2033,3,1269.53,3278.35,2956.94,1519.2,4754.15,1138.12,3167.88,2063.72,4465.75
2033,4,1275.74,3292.41,2967.35,1526.44,4780.73,1143.94,3187.82,2080.19,4489.99
2034,1,1281.99,3306.58,2977.81,1533.73,4807.45,1149.8,3207.91,2096.79,4514.38
2034,2,1288.1,3320.38,2987.89,1540.86,4833.63,1155.53,3227.67,2113.23,4538.29
2034,3,1294.55,3335.03,2998.68,1548.38,4861.04,1161.55,3248.31,2130.27,4563.38
2034,4,1300.76,3349.08,3008.87,1555.64,4887.57,1167.37,3268.4,2147,4587.66
2035,1,1306.69,3362.39,3018.36,1562.56,4913.02,1172.94,3287.81,2163.32,4610.96
2035,2,1312.78,3376.11,3028.15,1569.68,4939.06,1178.65,3307.67,2179.98,4634.84
2035,3,1319.22,3390.72,3038.68,1577.21,4966.4,1184.67,3328.42,2197.27,4659.96
2035,4,1325.9,3405.97,3049.73,1585.05,4994.66,1190.91,3349.85,2215.06,4685.99
2036,1,1332.37,3420.62,3060.21,1592.63,5022.09,1196.96,3370.76,2232.54,4711.27
2036,2,1338.61,3434.7,3070.12,1599.95,5048.67,1202.81,3391.16,2249.73,4735.8
2036,3,1345.01,3449.13,3080.32,1607.44,5075.8,1208.8,3411.96,2267.21,4760.9
2036,4,1351.37,3463.44,3090.37,1614.9,5102.76,1214.75,3432.71,2284.7,4785.9
2037,1,1357.85,3478.04,3100.64,1622.49,5130.16,1220.82,3453.8,2302.45,4811.36
2037,2,1364.26,3492.45,3110.7,1630.01,5157.31,1226.82,3474.76,2320.18,4836.63
2037,3,1371.1,3507.9,3121.65,1638.04,5186.01,1233.2,3496.83,2338.67,4863.4
2037,4,1378.08,3523.69,3132.85,1646.23,5215.23,1239.72,3519.29,2357.49,4890.72
2038,1,1384.71,3538.56,3143.19,1654,5243.11,1245.91,3540.9,2375.78,4916.84
2038,2,1391.3,3553.31,3153.37,1661.73,5270.82,1252.08,3562.46,2394.07,4942.86
2038,3,1398.15,3568.69,3164.06,1669.76,5299.48,1258.47,3584.71,2412.87,4969.82
2038,4,1404.99,3584.02,3174.7,1677.79,5328.11,1264.87,3606.99,2431.74,4996.8
2039,1,1411.68,3598.9,3184.91,1685.61,5356.12,1271.12,3628.91,2450.4,5023.26
2039,2,1418.09,3613.02,3194.42,1693.09,5383.03,1277.11,3650.15,2468.64,5048.75
2039,3,1424.93,3628.21,3204.86,1701.08,5411.59,1283.5,3672.57,2487.72,5075.83
2039,4,1431.98,3643.87,3215.68,1709.31,5440.89,1290.07,3695.55,2507.22,5103.69
2040,1,1438.65,3658.52,3225.59,1717.07,5468.74,1296.29,3717.61,2526.13,5130.23
2040,2,1445.78,3674.32,3236.48,1725.38,5498.36,1302.94,3740.93,2545.94,5158.47
2040,3,1452.26,3688.42,3245.84,1732.9,5525.47,1308.99,3762.6,2564.68,5184.41
2040,4,1459.29,3703.85,3256.36,1741.06,5554.64,1315.54,3785.73,2584.46,5212.32
